* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -29.0 dBFS with no timing reference
* Dated: Jan 18, 2025 7:18:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Letshuoer S08 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 95.720 -122.8197
20.600000 95.772 -123.6324
20.900000 95.829 -124.4991
21.200001 95.887 -125.3606
21.400000 95.925 -125.9326
21.799999 96.002 -127.0730
22.000000 96.040 -127.6385
22.400000 96.114 -128.7467
22.700001 96.167 -129.5461
23.000000 96.217 -130.3121
23.299999 96.264 -131.0462
23.600000 96.310 -131.7559
24.000000 96.367 -132.6825
24.299999 96.407 -133.3735
24.700001 96.454 -134.2951
25.000000 96.484 -134.9836
25.400000 96.522 -135.8908
25.799999 96.557 -136.7827
26.200001 96.593 -137.6633
26.500000 96.621 -138.3188
26.900000 96.656 -139.1828
27.200001 96.681 -139.8153
27.600000 96.713 -140.6256
28.000000 96.745 -141.3953
28.500000 96.789 -142.3264
29.000000 96.837 -143.2740
29.500000 96.880 -144.2640
30.000000 96.910 -145.2606
30.400000 96.924 -146.0181
30.700001 96.933 -146.5469
31.100000 96.946 -147.2002
31.500000 96.963 -147.8156
32.000000 96.991 -148.5816
32.500000 97.021 -149.3838
33.000000 97.046 -150.2204
33.500000 97.061 -151.0518
34.000000 97.072 -151.8382
34.500000 97.083 -152.5716
35.000000 97.100 -153.2780
35.500000 97.117 -153.9874
36.000000 97.130 -154.7019
36.500000 97.137 -155.3943
37.000000 97.139 -156.0415
37.500000 97.145 -156.6544
38.200001 97.159 -157.5288
38.700001 97.168 -158.1943
39.500000 97.169 -159.2662
40.000000 97.166 -159.8907
40.599998 97.165 -160.5922
41.200001 97.169 -161.2719
41.799999 97.171 -161.9384
42.500000 97.170 -162.6891
43.099998 97.171 -163.3301
43.700001 97.171 -163.9963
44.400002 97.167 -164.7852
45.000000 97.158 -165.4209
45.500000 97.151 -165.9085
46.200001 97.142 -166.5568
46.799999 97.136 -167.1168
47.500000 97.128 -167.7895
48.200001 97.120 -168.4572
48.700001 97.114 -168.9090
49.400002 97.105 -169.4954
50.000000 97.096 -169.9745
50.799999 97.079 -170.6260
51.500000 97.057 -171.2124
52.200001 97.034 -171.7947
53.000000 97.017 -172.4700
53.799999 97.005 -173.1750
54.500000 96.995 -173.7641
55.200001 96.987 -174.2742
56.000000 96.982 -174.8052
57.000000 96.957 -175.5102
58.000000 96.902 -176.2460
59.000000 96.850 -176.9565
60.000000 96.820 -177.5954
60.799999 96.809 -178.0683
61.500000 96.797 -178.4884
62.200001 96.778 -178.9162
63.000000 96.750 -179.4022
64.000000 96.715 -179.9982
65.000000 96.684 179.4144
66.000000 96.650 178.8311
67.000000 96.612 178.2766
68.000000 96.574 177.7537
69.000000 96.536 177.2467
70.000000 96.502 176.7709
71.000000 96.472 176.3191
72.000000 96.438 175.8560
73.000000 96.397 175.3796
74.000000 96.355 174.9001
75.000000 96.316 174.4270
76.199997 96.272 173.8979
77.500000 96.224 173.3684
78.800003 96.174 172.8513
80.000000 96.125 172.3746
81.199997 96.074 171.9051
82.500000 96.023 171.4435
83.800003 95.977 170.9976
85.000000 95.932 170.5950
86.199997 95.886 170.1891
87.500000 95.837 169.7534
88.500000 95.798 169.4232
90.000000 95.737 168.9510
91.199997 95.687 168.5923
92.500000 95.634 168.2212
93.800003 95.584 167.8629
95.000000 95.538 167.5435
96.199997 95.493 167.2236
97.500000 95.443 166.8688
98.800003 95.393 166.5460
100.000000 95.347 166.2368
101.500000 95.284 165.8625
103.000000 95.222 165.5647
104.400002 95.168 165.2763
106.000000 95.110 164.9217
107.500000 95.053 164.6080
109.000000 94.992 164.3156
110.599998 94.931 164.0228
112.000000 94.878 163.7720
113.800003 94.809 163.4733
115.000000 94.763 163.2798
117.199997 94.679 162.9199
118.000000 94.648 162.7848
120.599998 94.552 162.3889
122.000000 94.501 162.2150
124.099998 94.421 161.9478
125.000000 94.386 161.8358
126.500000 94.331 161.6581
128.000000 94.277 161.4840
131.500000 94.152 161.1035
132.000000 94.135 161.0559
134.000000 94.064 160.8678
136.000000 93.993 160.6890
138.000000 93.922 160.5405
140.000000 93.852 160.4064
143.000000 93.752 160.2185
145.000000 93.687 160.0980
147.500000 93.608 159.9915
150.000000 93.538 159.8600
152.500000 93.467 159.7017
155.000000 93.386 159.5421
157.500000 93.313 159.4149
160.000000 93.238 159.3054
162.500000 93.157 159.2111
165.000000 93.080 159.1185
167.500000 93.004 159.0376
170.000000 92.930 158.9767
172.500000 92.857 158.9214
175.000000 92.784 158.8728
177.500000 92.711 158.8548
180.000000 92.638 158.8350
182.500000 92.566 158.8186
185.000000 92.494 158.8333
187.500000 92.423 158.8579
190.000000 92.355 158.8828
192.500000 92.287 158.9073
195.000000 92.216 158.9329
197.500000 92.142 158.9948
200.000000 92.070 159.1123
203.000000 91.991 159.3347
206.000000 91.926 159.6245
209.000000 91.872 159.9098
212.000000 91.831 160.0885
214.000000 91.809 160.1442
218.000000 91.757 160.1628
220.000000 91.727 160.1334
224.000000 91.659 160.1335
227.000000 91.601 160.1702
230.000000 91.538 160.2188
233.000000 91.472 160.3099
236.000000 91.406 160.4817
240.000000 91.322 160.5468
243.000000 91.270 160.5415
247.000000 91.197 160.6661
250.000000 91.141 160.7693
254.000000 91.069 160.9364
258.000000 90.998 161.1199
262.000000 90.927 161.3044
265.000000 90.875 161.4754
269.000000 90.807 161.7128
272.000000 90.759 161.8754
276.000000 90.695 162.0976
280.000000 90.630 162.3265
285.000000 90.554 162.6124
290.000000 90.480 162.9088
295.000000 90.408 163.2259
300.000000 90.338 163.5514
304.000000 90.283 163.8090
307.000000 90.245 163.9937
311.000000 90.196 164.2339
315.000000 90.146 164.4880
320.000000 90.085 164.8068
325.000000 90.029 165.1432
330.000000 89.970 165.4853
335.000000 89.911 165.8222
340.000000 89.856 166.1423
345.000000 89.806 166.4699
350.000000 89.760 166.8040
355.000000 89.712 167.1610
360.000000 89.665 167.4990
365.000000 89.620 167.8275
370.000000 89.574 168.1738
375.000000 89.527 168.5231
382.000000 89.467 169.0131
387.000000 89.428 169.3477
395.000000 89.364 169.8988
400.000000 89.324 170.2370
406.000000 89.281 170.6512
412.000000 89.242 171.0886
418.000000 89.201 171.5147
425.000000 89.154 171.9960
431.000000 89.116 172.4199
437.000000 89.080 172.8436
444.000000 89.040 173.3249
450.000000 89.006 173.7545
455.000000 88.978 174.1075
462.000000 88.942 174.6003
468.000000 88.912 175.0186
475.000000 88.880 175.5117
482.000000 88.848 176.0080
487.000000 88.827 176.3649
494.000000 88.797 176.8612
500.000000 88.773 177.2877
508.000000 88.743 177.8615
515.000000 88.718 178.3658
522.000000 88.694 178.8581
530.000000 88.669 179.4177
538.000000 88.645 179.9914
545.000000 88.626 -179.5139
552.000000 88.607 -179.0231
560.000000 88.589 -178.4603
570.000000 88.569 -177.7538
580.000000 88.551 -177.0413
590.000000 88.534 -176.3267
600.000000 88.518 -175.6217
608.000000 88.508 -175.0555
615.000000 88.501 -174.5629
622.000000 88.496 -174.0724
630.000000 88.490 -173.5078
640.000000 88.486 -172.7941
650.000000 88.484 -172.0818
660.000000 88.484 -171.3711
670.000000 88.485 -170.6483
680.000000 88.489 -169.9381
690.000000 88.497 -169.2316
700.000000 88.508 -168.5185
710.000000 88.521 -167.8043
720.000000 88.536 -167.0945
730.000000 88.554 -166.3891
740.000000 88.574 -165.6789
750.000000 88.596 -164.9674
762.000000 88.626 -164.1165
775.000000 88.664 -163.1954
788.000000 88.708 -162.2799
800.000000 88.752 -161.4423
812.000000 88.799 -160.6085
825.000000 88.856 -159.7186
838.000000 88.920 -158.8287
850.000000 88.982 -158.0190
862.000000 89.048 -157.2366
875.000000 89.126 -156.4021
885.000000 89.189 -155.7696
900.000000 89.289 -154.8435
912.000000 89.373 -154.1270
925.000000 89.470 -153.3791
938.000000 89.570 -152.6593
950.000000 89.666 -152.0202
962.000000 89.765 -151.4087
975.000000 89.877 -150.7778
988.000000 89.991 -150.1787
1000.000000 90.098 -149.6575
1015.000000 90.234 -149.0541
1030.000000 90.372 -148.4985
1044.000000 90.502 -148.0202
1060.000000 90.650 -147.5218
1075.000000 90.791 -147.1035
1090.000000 90.930 -146.7254
1106.000000 91.078 -146.3556
1120.000000 91.206 -146.0593
1138.000000 91.370 -145.7224
1150.000000 91.478 -145.5198
1172.000000 91.675 -145.1823
1180.000000 91.746 -145.0692
1206.000000 91.974 -144.7309
1220.000000 92.098 -144.5616
1241.000000 92.285 -144.3264
1250.000000 92.367 -144.2340
1265.000000 92.505 -144.0918
1280.000000 92.646 -143.9650
1315.000000 92.992 -143.7697
1320.000000 93.044 -143.7588
1340.000000 93.257 -143.7747
1360.000000 93.478 -143.9128
1380.000000 93.702 -144.2024
1400.000000 93.921 -144.6623
1430.000000 94.226 -145.6547
1450.000000 94.404 -146.4746
1475.000000 94.592 -147.5906
1500.000000 94.745 -148.7192
1525.000000 94.869 -149.7976
1550.000000 94.974 -150.8029
1575.000000 95.066 -151.7322
1600.000000 95.152 -152.5973
1625.000000 95.233 -153.4178
1650.000000 95.311 -154.2110
1675.000000 95.388 -154.9918
1700.000000 95.461 -155.7721
1725.000000 95.533 -156.5614
1750.000000 95.601 -157.3649
1775.000000 95.664 -158.1869
1800.000000 95.723 -159.0290
1825.000000 95.775 -159.8926
1850.000000 95.821 -160.7765
1875.000000 95.859 -161.6801
1900.000000 95.889 -162.6012
1925.000000 95.910 -163.5390
1950.000000 95.921 -164.4899
1975.000000 95.921 -165.4457
2000.000000 95.908 -166.3994
2030.000000 95.876 -167.5259
2060.000000 95.823 -168.6093
2090.000000 95.751 -169.6174
2120.000000 95.662 -170.5215
2140.000000 95.594 -171.0499
2180.000000 95.446 -171.8956
2200.000000 95.371 -172.2092
2240.000000 95.227 -172.6400
2270.000000 95.131 -172.8264
2300.000000 95.047 -172.9375
2330.000000 94.975 -173.0064
2360.000000 94.914 -173.0557
2400.000000 94.845 -173.1175
2430.000000 94.799 -173.1699
2470.000000 94.742 -173.2440
2500.000000 94.702 -173.2979
2540.000000 94.651 -173.3621
2580.000000 94.602 -173.4122
2620.000000 94.556 -173.4429
2650.000000 94.522 -173.4490
2690.000000 94.481 -173.4360
2720.000000 94.452 -173.4108
2760.000000 94.418 -173.3573
2800.000000 94.388 -173.2880
2850.000000 94.359 -173.1855
2900.000000 94.340 -173.0707
2950.000000 94.331 -172.9536
3000.000000 94.332 -172.8486
3040.000000 94.340 -172.7853
3070.000000 94.350 -172.7515
3110.000000 94.370 -172.7282
3150.000000 94.396 -172.7389
3200.000000 94.437 -172.8089
3250.000000 94.491 -172.9582
3300.000000 94.557 -173.2226
3350.000000 94.635 -173.6621
3400.000000 94.717 -174.3408
3450.000000 94.790 -175.3001
3500.000000 94.839 -176.5401
3550.000000 94.849 -178.0251
3600.000000 94.808 -179.6992
3650.000000 94.705 178.5180
3700.000000 94.530 176.7358
3750.000000 94.279 175.1031
3820.000000 93.809 173.3893
3870.000000 93.411 172.7846
3950.000000 92.741 173.1493
4000.000000 92.351 174.2020
4060.000000 91.960 176.1298
4120.000000 91.679 178.5055
4180.000000 91.513 -178.9825
4250.000000 91.443 -176.2181
4310.000000 91.463 -174.1660
4370.000000 91.530 -172.4751
4440.000000 91.637 -170.9515
4500.000000 91.735 -169.9768
4550.000000 91.814 -169.3472
4620.000000 91.916 -168.6703
4680.000000 91.996 -168.2364
4750.000000 92.082 -167.8864
4820.000000 92.157 -167.7111
4870.000000 92.200 -167.6897
4940.000000 92.240 -167.7774
5000.000000 92.251 -167.9239
5080.000000 92.234 -168.1383
5150.000000 92.189 -168.2845
5220.000000 92.122 -168.3511
5300.000000 92.025 -168.2856
5380.000000 91.912 -168.0523
5450.000000 91.806 -167.7063
5520.000000 91.698 -167.2191
5600.000000 91.579 -166.4972
