* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -32.0 dBFS with no timing reference
* Dated: Jan 20, 2025 1:46:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Monster Turbine Pro Gold L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 95.816 177.3705
20.600000 95.778 176.8772
20.900000 95.734 176.3405
21.200001 95.688 175.7930
21.400000 95.659 175.4224
21.799999 95.602 174.6754
22.000000 95.574 174.3053
22.400000 95.522 173.5890
22.700001 95.484 173.0817
23.000000 95.447 172.6024
23.299999 95.410 172.1479
23.600000 95.372 171.7129
24.000000 95.320 171.1543
24.299999 95.279 170.7466
24.700001 95.223 170.2124
25.000000 95.182 169.8155
25.400000 95.128 169.2878
25.799999 95.075 168.7619
26.200001 95.024 168.2452
26.500000 94.985 167.8709
26.900000 94.934 167.3972
27.200001 94.894 167.0622
27.600000 94.842 166.6379
28.000000 94.790 166.2298
28.500000 94.724 165.7309
29.000000 94.657 165.2398
29.500000 94.592 164.7574
30.000000 94.529 164.2838
30.400000 94.480 163.9128
30.700001 94.443 163.6419
31.100000 94.393 163.2955
31.500000 94.343 162.9696
32.000000 94.280 162.5891
32.500000 94.219 162.2271
33.000000 94.159 161.8710
33.500000 94.101 161.5151
34.000000 94.043 161.1613
34.500000 93.986 160.8154
35.000000 93.929 160.4835
35.500000 93.873 160.1687
36.000000 93.818 159.8674
36.500000 93.763 159.5730
37.000000 93.708 159.2830
37.500000 93.651 159.0024
38.200001 93.573 158.6339
38.700001 93.520 158.3823
39.500000 93.440 157.9822
40.000000 93.389 157.7385
40.599998 93.326 157.4648
41.200001 93.264 157.2085
41.799999 93.204 156.9544
42.500000 93.137 156.6524
43.099998 93.081 156.4003
43.700001 93.027 156.1684
44.400002 92.963 155.9244
45.000000 92.909 155.7220
45.500000 92.863 155.5472
46.200001 92.797 155.2949
46.799999 92.741 155.0864
47.500000 92.679 154.8623
48.200001 92.619 154.6523
48.700001 92.577 154.5093
49.400002 92.516 154.3194
50.000000 92.465 154.1591
50.799999 92.398 153.9358
51.500000 92.338 153.7428
52.200001 92.280 153.5654
53.000000 92.218 153.3685
53.799999 92.157 153.1753
54.500000 92.103 153.0342
55.200001 92.052 152.9168
56.000000 91.994 152.7696
57.000000 91.919 152.5466
58.000000 91.841 152.3192
59.000000 91.764 152.1245
60.000000 91.690 151.9807
60.799999 91.638 151.8524
61.500000 91.592 151.7158
62.200001 91.544 151.5848
63.000000 91.489 151.4598
64.000000 91.422 151.3172
65.000000 91.357 151.1676
66.000000 91.294 151.0158
67.000000 91.234 150.8755
68.000000 91.173 150.7439
69.000000 91.111 150.6158
70.000000 91.050 150.4889
71.000000 90.988 150.3671
72.000000 90.928 150.2553
73.000000 90.871 150.1368
74.000000 90.812 150.0245
75.000000 90.751 149.9386
76.199997 90.682 149.8329
77.500000 90.609 149.7207
78.800003 90.538 149.6193
80.000000 90.473 149.5088
81.199997 90.408 149.4080
82.500000 90.340 149.3148
83.800003 90.271 149.2207
85.000000 90.209 149.1383
86.199997 90.147 149.0493
87.500000 90.081 148.9539
88.500000 90.031 148.8918
90.000000 89.958 148.8174
91.199997 89.900 148.7458
92.500000 89.836 148.6637
93.800003 89.775 148.5950
95.000000 89.720 148.5395
96.199997 89.664 148.4802
97.500000 89.603 148.4200
98.800003 89.542 148.3775
100.000000 89.488 148.3526
101.500000 89.422 148.3238
103.000000 89.354 148.2791
104.400002 89.291 148.2215
106.000000 89.223 148.1674
107.500000 89.160 148.1421
109.000000 89.095 148.1110
110.599998 89.029 148.0668
112.000000 88.971 148.0352
113.800003 88.895 148.0068
115.000000 88.847 147.9938
117.199997 88.762 147.9851
118.000000 88.732 147.9713
120.599998 88.632 147.9175
122.000000 88.573 147.9322
124.099998 88.488 147.9567
125.000000 88.453 147.9588
126.500000 88.397 147.9542
128.000000 88.341 147.9496
131.500000 88.213 147.9765
132.000000 88.195 147.9804
134.000000 88.123 148.0103
136.000000 88.051 148.0291
138.000000 87.980 148.0376
140.000000 87.912 148.0624
143.000000 87.807 148.1315
145.000000 87.740 148.1683
147.500000 87.654 148.2376
150.000000 87.570 148.2932
152.500000 87.488 148.3526
155.000000 87.406 148.4411
157.500000 87.324 148.5211
160.000000 87.243 148.5844
162.500000 87.166 148.6718
165.000000 87.089 148.7921
167.500000 87.013 148.9230
170.000000 86.939 149.0379
172.500000 86.862 149.1479
175.000000 86.788 149.2869
177.500000 86.720 149.4787
180.000000 86.650 149.6858
182.500000 86.576 149.8594
185.000000 86.513 150.0699
187.500000 86.458 150.2770
190.000000 86.409 150.4353
192.500000 86.361 150.5718
195.000000 86.310 150.6585
197.500000 86.253 150.7070
200.000000 86.191 150.7594
203.000000 86.115 150.8681
206.000000 86.041 151.0025
209.000000 85.970 151.1420
212.000000 85.897 151.2939
214.000000 85.849 151.4008
218.000000 85.755 151.6387
220.000000 85.713 151.7545
224.000000 85.631 151.9852
227.000000 85.559 152.2194
230.000000 85.489 152.4449
233.000000 85.428 152.6590
236.000000 85.367 152.8562
240.000000 85.283 153.1056
243.000000 85.220 153.3035
247.000000 85.141 153.5833
250.000000 85.082 153.8016
254.000000 85.004 154.1118
258.000000 84.929 154.4017
262.000000 84.855 154.6710
265.000000 84.800 154.9005
269.000000 84.726 155.2132
272.000000 84.671 155.4548
276.000000 84.596 155.7953
280.000000 84.526 156.1155
285.000000 84.442 156.5466
290.000000 84.360 157.0094
295.000000 84.284 157.5008
300.000000 84.216 157.9931
304.000000 84.162 158.3544
307.000000 84.122 158.6210
311.000000 84.074 158.9840
315.000000 84.029 159.3320
320.000000 83.977 159.7166
325.000000 83.921 160.0630
330.000000 83.864 160.4068
335.000000 83.804 160.7609
340.000000 83.743 161.1265
345.000000 83.681 161.5025
350.000000 83.621 161.8740
355.000000 83.561 162.2596
360.000000 83.502 162.6514
365.000000 83.444 163.0453
370.000000 83.389 163.4599
375.000000 83.335 163.8712
382.000000 83.261 164.4522
387.000000 83.209 164.8729
395.000000 83.129 165.5396
400.000000 83.080 165.9554
406.000000 83.023 166.4707
412.000000 82.967 166.9698
418.000000 82.916 167.4697
425.000000 82.857 168.0889
431.000000 82.806 168.6035
437.000000 82.757 169.1194
444.000000 82.703 169.7261
450.000000 82.658 170.2485
455.000000 82.621 170.6841
462.000000 82.570 171.2914
468.000000 82.530 171.8107
475.000000 82.483 172.4094
482.000000 82.436 173.0105
487.000000 82.405 173.4421
494.000000 82.364 174.0500
500.000000 82.329 174.5755
508.000000 82.285 175.2824
515.000000 82.249 175.8939
522.000000 82.213 176.4890
530.000000 82.172 177.1789
538.000000 82.132 177.8809
545.000000 82.102 178.4837
552.000000 82.074 179.0889
560.000000 82.042 179.7888
570.000000 82.003 -179.3391
580.000000 81.966 -178.4695
590.000000 81.930 -177.5938
600.000000 81.896 -176.7286
608.000000 81.875 -176.0153
615.000000 81.859 -175.3912
622.000000 81.844 -174.7732
630.000000 81.827 -174.0671
640.000000 81.806 -173.1844
650.000000 81.787 -172.3003
660.000000 81.772 -171.4220
670.000000 81.760 -170.5466
680.000000 81.750 -169.6459
690.000000 81.743 -168.7499
700.000000 81.738 -167.8493
710.000000 81.737 -166.9445
720.000000 81.739 -166.0348
730.000000 81.741 -165.1431
740.000000 81.746 -164.2484
750.000000 81.756 -163.3409
762.000000 81.770 -162.2570
775.000000 81.791 -161.0930
788.000000 81.820 -159.9225
800.000000 81.852 -158.8453
812.000000 81.887 -157.7764
825.000000 81.933 -156.6318
838.000000 81.984 -155.4868
850.000000 82.035 -154.4344
862.000000 82.091 -153.3943
875.000000 82.158 -152.2879
885.000000 82.215 -151.4566
900.000000 82.306 -150.2354
912.000000 82.383 -149.2771
925.000000 82.471 -148.2735
938.000000 82.565 -147.3026
950.000000 82.655 -146.4433
962.000000 82.749 -145.6103
975.000000 82.853 -144.7237
988.000000 82.962 -143.8848
1000.000000 83.065 -143.1563
1015.000000 83.197 -142.2931
1030.000000 83.329 -141.4797
1044.000000 83.454 -140.7669
1060.000000 83.597 -140.0082
1075.000000 83.729 -139.3600
1090.000000 83.861 -138.7513
1106.000000 83.999 -138.1475
1120.000000 84.116 -137.6618
1138.000000 84.264 -137.0919
1150.000000 84.360 -136.7293
1172.000000 84.528 -136.1013
1180.000000 84.587 -135.8900
1206.000000 84.767 -135.2051
1220.000000 84.860 -134.8004
1241.000000 85.010 -134.1603
1250.000000 85.078 -133.9126
1265.000000 85.191 -133.5546
1280.000000 85.297 -133.2389
1315.000000 85.520 -132.5340
1320.000000 85.551 -132.4326
1340.000000 85.671 -132.0210
1360.000000 85.789 -131.5903
1380.000000 85.904 -131.1451
1400.000000 86.018 -130.6960
1430.000000 86.188 -129.9993
1450.000000 86.302 -129.5300
1475.000000 86.444 -128.9446
1500.000000 86.590 -128.3464
1525.000000 86.736 -127.7415
1550.000000 86.884 -127.1371
1575.000000 87.035 -126.5281
1600.000000 87.188 -125.9168
1625.000000 87.346 -125.3057
1650.000000 87.507 -124.7040
1675.000000 87.671 -124.1076
1700.000000 87.839 -123.5258
1725.000000 88.011 -122.9536
1750.000000 88.188 -122.3922
1775.000000 88.369 -121.8528
1800.000000 88.555 -121.3294
1825.000000 88.744 -120.8140
1850.000000 88.939 -120.3183
1875.000000 89.138 -119.8524
1900.000000 89.342 -119.4169
1925.000000 89.550 -119.0117
1950.000000 89.763 -118.6359
1975.000000 89.980 -118.2904
2000.000000 90.202 -117.9780
2030.000000 90.473 -117.6505
2060.000000 90.751 -117.3828
2090.000000 91.034 -117.1774
2120.000000 91.324 -117.0345
2140.000000 91.521 -116.9783
2180.000000 91.921 -116.9738
2200.000000 92.124 -117.0255
2240.000000 92.538 -117.2419
2270.000000 92.853 -117.5135
2300.000000 93.172 -117.8860
2330.000000 93.493 -118.3650
2360.000000 93.815 -118.9575
2400.000000 94.244 -119.9346
2430.000000 94.564 -120.8155
2470.000000 94.984 -122.1934
2500.000000 95.292 -123.3842
2540.000000 95.689 -125.1840
2580.000000 96.063 -127.2190
2620.000000 96.410 -129.4722
2650.000000 96.647 -131.2878
2690.000000 96.931 -133.8367
2720.000000 97.118 -135.8127
2760.000000 97.335 -138.4866
2800.000000 97.523 -141.1816
2850.000000 97.726 -144.6312
2900.000000 97.883 -148.2748
2950.000000 97.965 -152.0811
3000.000000 97.957 -155.8434
3040.000000 97.893 -158.6790
3070.000000 97.818 -160.6670
3110.000000 97.691 -163.1161
3150.000000 97.540 -165.3277
3200.000000 97.330 -167.7590
3250.000000 97.106 -169.8422
3300.000000 96.877 -171.6075
3350.000000 96.651 -173.0865
3400.000000 96.431 -174.3125
3450.000000 96.223 -175.3176
3500.000000 96.027 -176.1341
3550.000000 95.847 -176.7898
3600.000000 95.682 -177.3130
3650.000000 95.535 -177.7264
3700.000000 95.405 -178.0533
3750.000000 95.293 -178.3112
3820.000000 95.164 -178.5902
3870.000000 95.092 -178.7564
3950.000000 95.010 -179.0090
4000.000000 94.979 -179.1795
4060.000000 94.958 -179.4221
4120.000000 94.955 -179.7302
4180.000000 94.965 179.8745
4250.000000 94.989 179.2843
4310.000000 95.012 178.6700
4370.000000 95.034 177.9758
4440.000000 95.055 177.1162
4500.000000 95.078 176.3694
4550.000000 95.105 175.7245
4620.000000 95.161 174.7131
4680.000000 95.221 173.6604
4750.000000 95.290 172.1407
4820.000000 95.341 170.2985
4870.000000 95.354 168.8120
4940.000000 95.334 166.5567
5000.000000 95.273 164.5278
5080.000000 95.128 161.7900
5150.000000 94.942 159.4561
5220.000000 94.705 157.2621
5300.000000 94.379 155.0096
5380.000000 94.007 153.1017
5450.000000 93.654 151.7569
5520.000000 93.287 150.7281
5600.000000 92.864 149.9268
5700.000000 92.345 149.4333
5800.000000 91.850 149.4214
5900.000000 91.387 149.8106
6000.000000 90.963 150.5416
6080.000000 90.654 151.3338
6150.000000 90.408 152.1539
