* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -32.0 dBFS with no timing reference
* Dated: Jan 20, 2025 1:47:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Monster Turbine Pro Gold R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 101.629 -160.1225
20.600000 101.640 -160.6179
20.900000 101.650 -161.1517
21.200001 101.659 -161.6898
21.400000 101.666 -162.0515
21.799999 101.682 -162.7802
22.000000 101.690 -163.1439
22.400000 101.707 -163.8584
22.700001 101.718 -164.3745
23.000000 101.729 -164.8700
23.299999 101.738 -165.3467
23.600000 101.746 -165.8100
24.000000 101.755 -166.4192
24.299999 101.760 -166.8773
24.700001 101.766 -167.4955
25.000000 101.770 -167.9635
25.400000 101.775 -168.5863
25.799999 101.780 -169.1974
26.200001 101.787 -169.7874
26.500000 101.792 -170.2136
26.900000 101.798 -170.7613
27.200001 101.802 -171.1599
27.600000 101.806 -171.6810
28.000000 101.807 -172.1956
28.500000 101.805 -172.8354
29.000000 101.802 -173.4734
29.500000 101.799 -174.1091
30.000000 101.798 -174.7372
30.400000 101.796 -175.2279
30.700001 101.794 -175.5860
31.100000 101.792 -176.0493
31.500000 101.789 -176.4986
32.000000 101.784 -177.0494
32.500000 101.779 -177.5968
33.000000 101.772 -178.1424
33.500000 101.765 -178.6818
34.000000 101.757 -179.2121
34.500000 101.749 -179.7337
35.000000 101.740 179.7528
35.500000 101.730 179.2490
36.000000 101.719 178.7559
36.500000 101.708 178.2717
37.000000 101.697 177.7938
37.500000 101.685 177.3225
38.200001 101.669 176.6770
38.700001 101.656 176.2252
39.500000 101.636 175.5127
40.000000 101.622 175.0742
40.599998 101.604 174.5565
41.200001 101.585 174.0435
41.799999 101.567 173.5309
42.500000 101.544 172.9412
43.099998 101.524 172.4553
43.700001 101.505 171.9873
44.400002 101.483 171.4499
45.000000 101.463 170.9899
45.500000 101.446 170.6097
46.200001 101.420 170.0884
46.799999 101.398 169.6519
47.500000 101.372 169.1511
48.200001 101.345 168.6584
48.700001 101.325 168.3110
49.400002 101.298 167.8282
50.000000 101.276 167.4173
50.799999 101.245 166.8800
51.500000 101.216 166.4235
52.200001 101.186 165.9761
53.000000 101.150 165.4739
53.799999 101.114 164.9826
54.500000 101.085 164.5569
55.200001 101.056 164.1333
56.000000 101.022 163.6584
57.000000 100.980 163.0782
58.000000 100.938 162.5022
59.000000 100.894 161.9472
60.000000 100.848 161.4132
60.799999 100.811 160.9874
61.500000 100.778 160.6176
62.200001 100.746 160.2541
63.000000 100.710 159.8448
64.000000 100.662 159.3393
65.000000 100.614 158.8434
66.000000 100.567 158.3601
67.000000 100.520 157.8898
68.000000 100.472 157.4312
69.000000 100.424 156.9803
70.000000 100.377 156.5340
71.000000 100.330 156.0975
72.000000 100.282 155.6743
73.000000 100.233 155.2602
74.000000 100.183 154.8532
75.000000 100.134 154.4506
76.199997 100.076 153.9738
77.500000 100.012 153.4765
78.800003 99.949 152.9926
80.000000 99.889 152.5540
81.199997 99.829 152.1247
82.500000 99.765 151.6731
83.800003 99.701 151.2314
85.000000 99.641 150.8323
86.199997 99.581 150.4426
87.500000 99.518 150.0254
88.500000 99.468 149.7111
90.000000 99.393 149.2547
91.199997 99.334 148.9019
92.500000 99.270 148.5293
93.800003 99.207 148.1605
95.000000 99.147 147.8290
96.199997 99.088 147.5101
97.500000 99.023 147.1657
98.800003 98.959 146.8167
100.000000 98.902 146.5023
101.500000 98.831 146.1418
103.000000 98.758 145.7977
104.400002 98.689 145.4694
106.000000 98.613 145.0939
107.500000 98.542 144.7706
109.000000 98.469 144.4597
110.599998 98.391 144.1221
112.000000 98.325 143.8337
113.800003 98.242 143.4769
115.000000 98.186 143.2469
117.199997 98.084 142.8432
118.000000 98.046 142.6962
120.599998 97.924 142.2262
122.000000 97.860 141.9911
124.099998 97.765 141.6486
125.000000 97.724 141.5034
126.500000 97.656 141.2669
128.000000 97.589 141.0421
131.500000 97.433 140.5360
132.000000 97.410 140.4654
134.000000 97.322 140.1913
136.000000 97.235 139.9270
138.000000 97.147 139.6711
140.000000 97.060 139.4324
143.000000 96.931 139.0972
145.000000 96.847 138.8819
147.500000 96.742 138.6048
150.000000 96.638 138.3436
152.500000 96.534 138.0904
155.000000 96.430 137.8623
157.500000 96.328 137.6553
160.000000 96.226 137.4478
162.500000 96.126 137.2492
165.000000 96.026 137.0593
167.500000 95.926 136.8775
170.000000 95.827 136.7137
172.500000 95.729 136.5637
175.000000 95.629 136.4214
177.500000 95.528 136.2955
180.000000 95.426 136.1805
182.500000 95.324 136.1030
185.000000 95.225 136.0803
187.500000 95.128 136.1356
190.000000 95.039 136.2165
192.500000 94.978 136.2756
195.000000 94.945 136.2629
197.500000 94.903 136.2012
200.000000 94.832 136.0043
203.000000 94.729 135.6714
206.000000 94.632 135.4883
209.000000 94.526 135.3332
212.000000 94.422 135.2148
214.000000 94.356 135.1507
218.000000 94.227 135.0458
220.000000 94.163 135.0095
224.000000 94.026 134.8974
227.000000 93.925 134.9451
230.000000 93.839 134.9188
233.000000 93.752 134.8636
236.000000 93.658 134.8384
240.000000 93.533 134.8647
243.000000 93.441 134.8976
247.000000 93.325 134.9379
250.000000 93.241 134.9796
254.000000 93.134 135.0403
258.000000 93.033 135.0898
262.000000 92.934 135.1133
265.000000 92.859 135.1116
269.000000 92.757 135.1154
272.000000 92.678 135.1276
276.000000 92.571 135.1579
280.000000 92.464 135.2037
285.000000 92.335 135.2794
290.000000 92.208 135.3791
295.000000 92.083 135.4996
300.000000 91.960 135.6347
304.000000 91.864 135.7269
307.000000 91.791 135.8052
311.000000 91.695 135.9246
315.000000 91.600 136.0554
320.000000 91.483 136.2301
325.000000 91.367 136.4152
330.000000 91.254 136.6086
335.000000 91.146 136.8104
340.000000 91.040 137.0419
345.000000 90.940 137.3123
350.000000 90.845 137.5420
355.000000 90.751 137.7553
360.000000 90.655 137.9734
365.000000 90.562 138.1923
370.000000 90.472 138.4064
375.000000 90.383 138.6122
382.000000 90.261 138.8705
387.000000 90.171 139.0411
395.000000 90.023 139.3533
400.000000 89.928 139.5722
406.000000 89.819 139.8812
412.000000 89.715 140.1873
418.000000 89.612 140.4918
425.000000 89.494 140.8495
431.000000 89.396 141.1591
437.000000 89.299 141.4776
444.000000 89.186 141.8671
450.000000 89.090 142.2032
455.000000 89.012 142.4818
462.000000 88.904 142.8853
468.000000 88.814 143.2413
475.000000 88.712 143.6643
482.000000 88.611 144.0910
487.000000 88.539 144.3932
494.000000 88.442 144.8187
500.000000 88.361 145.1873
508.000000 88.253 145.7023
515.000000 88.160 146.1638
522.000000 88.067 146.6202
530.000000 87.966 147.1453
538.000000 87.868 147.6715
545.000000 87.783 148.1454
552.000000 87.701 148.6280
560.000000 87.608 149.1730
570.000000 87.496 149.8659
580.000000 87.385 150.5662
590.000000 87.278 151.2715
600.000000 87.175 151.9873
608.000000 87.094 152.5831
615.000000 87.025 153.1121
622.000000 86.957 153.6389
630.000000 86.882 154.2302
640.000000 86.792 154.9805
650.000000 86.704 155.7549
660.000000 86.621 156.5316
670.000000 86.539 157.3108
680.000000 86.460 158.1028
690.000000 86.386 158.9073
700.000000 86.316 159.7179
710.000000 86.250 160.5295
720.000000 86.187 161.3477
730.000000 86.125 162.1704
740.000000 86.066 162.9959
750.000000 86.013 163.8291
762.000000 85.954 164.8338
775.000000 85.895 165.9372
788.000000 85.844 167.0397
800.000000 85.802 168.0601
812.000000 85.765 169.0817
825.000000 85.734 170.1935
838.000000 85.709 171.3027
850.000000 85.691 172.3107
862.000000 85.679 173.3076
875.000000 85.672 174.3741
885.000000 85.671 175.1891
900.000000 85.678 176.3884
912.000000 85.690 177.3314
925.000000 85.709 178.3316
938.000000 85.733 179.2916
950.000000 85.760 -179.8450
962.000000 85.789 -178.9989
975.000000 85.823 -178.1159
988.000000 85.858 -177.2672
1000.000000 85.891 -176.4868
1015.000000 85.935 -175.4722
1030.000000 85.996 -174.3828
1044.000000 86.086 -173.3819
1060.000000 86.217 -172.5049
1075.000000 86.334 -171.9767
1090.000000 86.430 -171.5873
1106.000000 86.518 -171.2159
1120.000000 86.588 -170.9243
1138.000000 86.673 -170.6253
1150.000000 86.726 -170.4904
1172.000000 86.803 -170.4209
1180.000000 86.820 -170.4565
1206.000000 86.812 -170.6737
1220.000000 86.759 -170.7047
1241.000000 86.634 -170.3443
1250.000000 86.578 -169.9943
1265.000000 86.502 -169.1810
1280.000000 86.456 -168.1925
1315.000000 86.467 -165.8737
1320.000000 86.478 -165.5745
1340.000000 86.531 -164.4754
1360.000000 86.593 -163.5093
1380.000000 86.657 -162.6382
1400.000000 86.718 -161.8304
1430.000000 86.808 -160.6778
1450.000000 86.865 -159.9320
1475.000000 86.936 -159.0210
1500.000000 87.007 -158.1195
1525.000000 87.080 -157.2162
1550.000000 87.155 -156.3222
1575.000000 87.232 -155.4327
1600.000000 87.311 -154.5392
1625.000000 87.393 -153.6473
1650.000000 87.479 -152.7610
1675.000000 87.570 -151.8732
1700.000000 87.665 -150.9889
1725.000000 87.766 -150.1144
1750.000000 87.871 -149.2484
1775.000000 87.982 -148.3870
1800.000000 88.099 -147.5420
1825.000000 88.221 -146.7242
1850.000000 88.348 -145.9254
1875.000000 88.482 -145.1413
1900.000000 88.621 -144.3779
1925.000000 88.767 -143.6407
1950.000000 88.919 -142.9354
1975.000000 89.076 -142.2610
2000.000000 89.240 -141.6229
2030.000000 89.446 -140.9134
2060.000000 89.659 -140.2767
2090.000000 89.880 -139.7213
2120.000000 90.109 -139.2512
2140.000000 90.264 -138.9884
2180.000000 90.581 -138.5966
2200.000000 90.742 -138.4722
2240.000000 91.064 -138.3758
2270.000000 91.305 -138.4423
2300.000000 91.542 -138.6272
2330.000000 91.772 -138.9222
2360.000000 91.993 -139.3206
2400.000000 92.271 -139.9948
2430.000000 92.466 -140.5886
2470.000000 92.704 -141.4722
2500.000000 92.866 -142.1870
2540.000000 93.061 -143.1790
2580.000000 93.233 -144.1839
2620.000000 93.384 -145.1746
2650.000000 93.486 -145.8928
2690.000000 93.610 -146.8058
2720.000000 93.699 -147.4498
2760.000000 93.816 -148.2673
2800.000000 93.937 -149.0893
2850.000000 94.090 -150.2198
2900.000000 94.227 -151.5113
2950.000000 94.333 -152.8961
3000.000000 94.404 -154.2759
3040.000000 94.440 -155.3336
3070.000000 94.457 -156.0882
3110.000000 94.470 -157.0386
3150.000000 94.473 -157.9258
3200.000000 94.466 -158.9457
3250.000000 94.448 -159.8661
3300.000000 94.421 -160.6868
3350.000000 94.389 -161.4068
3400.000000 94.353 -162.0297
3450.000000 94.314 -162.5540
3500.000000 94.276 -162.9824
3550.000000 94.240 -163.3212
3600.000000 94.207 -163.5794
3650.000000 94.178 -163.7635
3700.000000 94.156 -163.8776
3750.000000 94.140 -163.9299
3820.000000 94.133 -163.9122
3870.000000 94.138 -163.8422
3950.000000 94.167 -163.6616
4000.000000 94.200 -163.5188
4060.000000 94.255 -163.3329
4120.000000 94.326 -163.1483
4180.000000 94.413 -162.9852
4250.000000 94.535 -162.8414
4310.000000 94.653 -162.7605
4370.000000 94.784 -162.7159
4440.000000 94.957 -162.6978
4500.000000 95.129 -162.7302
4550.000000 95.292 -162.8461
4620.000000 95.543 -163.1967
4680.000000 95.776 -163.6941
4750.000000 96.064 -164.5526
4820.000000 96.361 -165.7522
4870.000000 96.573 -166.8338
4940.000000 96.861 -168.6836
5000.000000 97.091 -170.5911
5080.000000 97.353 -173.5723
5150.000000 97.526 -176.5337
5220.000000 97.635 -179.7521
5300.000000 97.669 176.3880
5380.000000 97.601 172.5122
5450.000000 97.465 169.2401
5520.000000 97.265 166.1600
5600.000000 96.969 162.9496
5700.000000 96.519 159.5161
5800.000000 96.011 156.8094
5900.000000 95.479 154.8316
6000.000000 94.949 153.5129
6080.000000 94.539 152.8604
