* Measurement data measured by REW V5.30
* Source: EXCL: Q5K Mic (Qudelix-5K USB DAC/MIC 48KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 11, 2024 2:27:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Sing (Velvet) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 101.369 175.2531
20.600000 101.351 174.6810
20.900000 101.328 174.0609
21.200001 101.304 173.4348
21.400000 101.288 173.0159
21.799999 101.255 172.1814
22.000000 101.239 171.7707
22.400000 101.208 170.9727
22.700001 101.186 170.3975
23.000000 101.164 169.8386
23.299999 101.143 169.2891
23.600000 101.120 168.7423
24.000000 101.088 168.0135
24.299999 101.060 167.4707
24.700001 101.021 166.7638
25.000000 100.991 166.2527
25.400000 100.954 165.5975
25.799999 100.919 164.9633
26.200001 100.887 164.3366
26.500000 100.863 163.8671
26.900000 100.829 163.2436
27.200001 100.801 162.7821
27.600000 100.763 162.1789
28.000000 100.725 161.5869
28.500000 100.680 160.8492
29.000000 100.636 160.1046
29.500000 100.590 159.3654
30.000000 100.539 158.6594
30.400000 100.497 158.1294
30.700001 100.466 157.7499
31.100000 100.426 157.2578
31.500000 100.387 156.7703
32.000000 100.339 156.1591
32.500000 100.289 155.5522
33.000000 100.239 154.9604
33.500000 100.189 154.3849
34.000000 100.139 153.8190
34.500000 100.089 153.2598
35.000000 100.038 152.7117
35.500000 99.987 152.1778
36.000000 99.936 151.6540
36.500000 99.886 151.1333
37.000000 99.835 150.6139
37.500000 99.785 150.1002
38.200001 99.715 149.4020
38.700001 99.665 148.9217
39.500000 99.580 148.1817
40.000000 99.526 147.7281
40.599998 99.463 147.1792
41.200001 99.405 146.6193
41.799999 99.351 146.0665
42.500000 99.284 145.4807
43.099998 99.223 145.0314
43.700001 99.158 144.5650
44.400002 99.075 143.9464
45.000000 99.003 143.4267
45.500000 98.951 143.0580
46.200001 98.895 142.6004
46.799999 98.839 142.1971
47.500000 98.752 141.7200
48.200001 98.685 141.1194
48.700001 98.659 140.4700
49.400002 98.615 139.3712
50.000000 98.541 138.7029
50.799999 98.433 138.6233
51.500000 98.371 138.8114
52.200001 98.313 138.6528
53.000000 98.230 138.0741
53.799999 98.150 137.4109
54.500000 98.076 136.9720
55.200001 97.992 136.7210
56.000000 97.895 136.4714
57.000000 97.785 136.0082
58.000000 97.704 135.5947
59.000000 97.629 135.3287
60.000000 97.535 135.1205
60.799999 97.471 134.8156
61.500000 97.431 134.3589
62.200001 97.395 133.8020
63.000000 97.343 133.2298
64.000000 97.265 132.7829
65.000000 97.184 132.4837
66.000000 97.100 132.1300
67.000000 97.014 131.6916
68.000000 96.927 131.2675
69.000000 96.848 130.8862
70.000000 96.767 130.4777
71.000000 96.673 130.0826
72.000000 96.574 129.6982
73.000000 96.477 129.3082
74.000000 96.384 128.9568
75.000000 96.292 128.6626
76.199997 96.183 128.3092
77.500000 96.057 127.9650
78.800003 95.909 127.9348
80.000000 95.800 128.1921
81.199997 95.759 128.1174
82.500000 95.716 127.6539
83.800003 95.666 127.2030
85.000000 95.614 126.7246
86.199997 95.550 126.2058
87.500000 95.463 125.7022
88.500000 95.387 125.3086
90.000000 95.254 124.6108
91.199997 95.161 124.2947
92.500000 95.091 124.1143
93.800003 95.009 123.8820
95.000000 94.924 123.6153
96.199997 94.839 123.3481
97.500000 94.751 123.0860
98.800003 94.669 122.8656
100.000000 94.592 122.6573
101.500000 94.481 122.3296
103.000000 94.371 122.0096
104.400002 94.275 121.7467
106.000000 94.169 121.4704
107.500000 94.069 121.2346
109.000000 93.969 121.0046
110.599998 93.863 120.7385
112.000000 93.769 120.5193
113.800003 93.646 120.2422
115.000000 93.564 120.0737
117.199997 93.415 119.8315
118.000000 93.360 119.7368
120.599998 93.176 119.4477
122.000000 93.083 119.3626
124.099998 92.933 119.2168
125.000000 92.865 119.1361
126.500000 92.753 119.0094
128.000000 92.640 118.7082
131.500000 92.366 118.9252
132.000000 92.310 119.1265
134.000000 92.069 119.9497
136.000000 91.981 120.8270
138.000000 91.977 122.4747
140.000000 91.971 124.0778
143.000000 92.190 123.7614
145.000000 92.318 123.2147
147.500000 92.344 122.6024
150.000000 92.281 122.2983
152.500000 92.229 120.9679
155.000000 92.162 120.0573
157.500000 92.064 119.3945
160.000000 91.954 118.7016
162.500000 91.834 118.2690
165.000000 91.720 117.7952
167.500000 91.648 117.2398
170.000000 91.576 116.6676
172.500000 91.413 116.8951
175.000000 91.259 117.0473
177.500000 91.108 116.9199
180.000000 90.952 116.7101
182.500000 90.894 116.8516
185.000000 90.865 116.9871
187.500000 90.837 116.9769
190.000000 90.802 116.9679
192.500000 90.739 117.1090
195.000000 90.688 117.0397
197.500000 90.647 116.6405
200.000000 90.591 116.1999
203.000000 90.489 116.0617
206.000000 90.380 115.8728
209.000000 90.277 115.6470
212.000000 90.174 115.4640
214.000000 90.107 115.3551
218.000000 89.974 115.1837
220.000000 89.908 115.1268
224.000000 89.782 115.0632
227.000000 89.691 115.0016
230.000000 89.605 114.9111
233.000000 89.517 114.8882
236.000000 89.426 114.8993
240.000000 89.310 114.9151
243.000000 89.230 114.9473
247.000000 89.119 115.0101
250.000000 89.036 115.0805
254.000000 88.948 115.2195
258.000000 88.873 115.3171
262.000000 88.803 115.3470
265.000000 88.745 115.3399
269.000000 88.660 115.3127
272.000000 88.596 115.2941
276.000000 88.513 115.3092
280.000000 88.433 115.3524
285.000000 88.334 115.4021
290.000000 88.238 115.4853
295.000000 88.152 115.5667
300.000000 88.070 115.6434
304.000000 88.006 115.7063
307.000000 87.958 115.7460
311.000000 87.898 115.7969
315.000000 87.838 115.8395
320.000000 87.765 115.8800
325.000000 87.695 115.9126
330.000000 87.625 115.9469
335.000000 87.554 115.9662
340.000000 87.480 115.9826
345.000000 87.410 116.0387
350.000000 87.340 116.1082
355.000000 87.269 116.1844
360.000000 87.199 116.2759
365.000000 87.136 116.3682
370.000000 87.076 116.4644
375.000000 87.017 116.6014
382.000000 86.938 116.8005
387.000000 86.884 116.9373
395.000000 86.810 117.1373
400.000000 86.770 117.2563
406.000000 86.723 117.3997
412.000000 86.678 117.5308
418.000000 86.635 117.6447
425.000000 86.586 117.7511
431.000000 86.545 117.8348
437.000000 86.505 117.9106
444.000000 86.459 117.9927
450.000000 86.419 118.0597
455.000000 86.386 118.1128
462.000000 86.340 118.1844
468.000000 86.302 118.2450
475.000000 86.257 118.3193
482.000000 86.213 118.3971
487.000000 86.182 118.4534
494.000000 86.139 118.5343
500.000000 86.103 118.6083
508.000000 86.056 118.7146
515.000000 86.017 118.8143
522.000000 85.979 118.9171
530.000000 85.937 119.0352
538.000000 85.896 119.1621
545.000000 85.862 119.2751
552.000000 85.829 119.3918
560.000000 85.793 119.5288
570.000000 85.749 119.7099
580.000000 85.708 119.8922
590.000000 85.669 120.0901
600.000000 85.632 120.2936
608.000000 85.605 120.4611
615.000000 85.583 120.6106
622.000000 85.562 120.7658
630.000000 85.539 120.9474
640.000000 85.514 121.1768
650.000000 85.491 121.4131
660.000000 85.472 121.6526
670.000000 85.455 121.8957
680.000000 85.441 122.1448
690.000000 85.429 122.4006
700.000000 85.421 122.6583
710.000000 85.415 122.9208
720.000000 85.412 123.1906
730.000000 85.413 123.4662
740.000000 85.416 123.7433
750.000000 85.422 124.0265
762.000000 85.434 124.3759
775.000000 85.451 124.7631
788.000000 85.475 125.1563
800.000000 85.503 125.5238
812.000000 85.536 125.8951
825.000000 85.578 126.2974
838.000000 85.628 126.6984
850.000000 85.679 127.0642
862.000000 85.737 127.4206
875.000000 85.807 127.7908
885.000000 85.866 128.0636
900.000000 85.961 128.4496
912.000000 86.043 128.7368
925.000000 86.140 129.0224
938.000000 86.242 129.2725
950.000000 86.342 129.4701
962.000000 86.447 129.6287
975.000000 86.564 129.7607
988.000000 86.685 129.8513
1000.000000 86.800 129.8908
1015.000000 86.947 129.8866
1030.000000 87.096 129.8150
1044.000000 87.236 129.6859
1060.000000 87.397 129.4697
1075.000000 87.547 129.2021
1090.000000 87.693 128.8790
1106.000000 87.846 128.4719
1120.000000 87.977 128.0709
1138.000000 88.138 127.5013
1150.000000 88.242 127.0900
1172.000000 88.422 126.2891
1180.000000 88.485 125.9856
1206.000000 88.679 124.9689
1220.000000 88.777 124.4036
1241.000000 88.916 123.5452
1250.000000 88.973 123.1759
1265.000000 89.065 122.5598
1280.000000 89.153 121.9487
1315.000000 89.347 120.5431
1320.000000 89.374 120.3441
1340.000000 89.478 119.5570
1360.000000 89.579 118.7913
1380.000000 89.676 118.0505
1400.000000 89.772 117.3335
1430.000000 89.914 116.3001
1450.000000 90.008 115.6297
1475.000000 90.124 114.8031
1500.000000 90.240 113.9870
1525.000000 90.356 113.1819
1550.000000 90.472 112.3825
1575.000000 90.589 111.5831
1600.000000 90.708 110.7861
1625.000000 90.827 109.9891
1650.000000 90.947 109.1877
1675.000000 91.068 108.3800
1700.000000 91.191 107.5679
1725.000000 91.315 106.7492
1750.000000 91.440 105.9205
1775.000000 91.566 105.0817
1800.000000 91.693 104.2315
1825.000000 91.821 103.3676
1850.000000 91.950 102.4877
1875.000000 92.079 101.5936
1900.000000 92.209 100.6790
1925.000000 92.339 99.7400
1950.000000 92.469 98.7777
1975.000000 92.599 97.7894
2000.000000 92.727 96.7762
2030.000000 92.880 95.5307
2060.000000 93.032 94.2436
2090.000000 93.181 92.9069
2120.000000 93.326 91.5140
2140.000000 93.421 90.5577
2180.000000 93.606 88.5893
2200.000000 93.695 87.5802
2240.000000 93.867 85.5183
2270.000000 93.990 83.9316
2300.000000 94.107 82.3176
2330.000000 94.216 80.6768
2360.000000 94.319 79.0130
2400.000000 94.444 76.7661
2430.000000 94.529 75.0620
2470.000000 94.629 72.7726
2500.000000 94.695 71.0446
2540.000000 94.768 68.7411
2580.000000 94.824 66.4445
2620.000000 94.865 64.1711
2650.000000 94.884 62.4883
2690.000000 94.896 60.2824
2720.000000 94.893 58.6694
2760.000000 94.877 56.5894
2800.000000 94.846 54.6162
2850.000000 94.796 52.3437
2900.000000 94.747 50.3231
2950.000000 94.722 48.5014
3000.000000 94.733 46.6929
3040.000000 94.758 45.1196
3070.000000 94.774 43.8464
3110.000000 94.782 42.0663
3150.000000 94.771 40.2550
3200.000000 94.731 38.0376
3250.000000 94.670 35.9224
3300.000000 94.596 33.9242
3350.000000 94.512 32.0480
3400.000000 94.422 30.2997
3450.000000 94.329 28.6870
3500.000000 94.240 27.2031
3550.000000 94.158 25.8286
3600.000000 94.086 24.5244
3650.000000 94.024 23.2596
3700.000000 93.969 22.0176
3750.000000 93.919 20.7865
3820.000000 93.856 19.0790
3870.000000 93.813 17.8623
3950.000000 93.742 15.9308
4000.000000 93.693 14.7545
4060.000000 93.631 13.4673
4120.000000 93.589 12.3635
4180.000000 93.596 11.2254
4250.000000 93.618 9.5015
4310.000000 93.611 7.8587
4370.000000 93.584 6.2121
4440.000000 93.541 4.2885
4500.000000 93.492 2.6237
4550.000000 93.442 1.2237
4620.000000 93.355 -0.7370
4680.000000 93.261 -2.3889
4750.000000 93.131 -4.2344
4820.000000 92.983 -5.9388
4870.000000 92.872 -7.0626
4940.000000 92.716 -8.5224
5000.000000 92.583 -9.6975
5080.000000 92.404 -11.1933
5150.000000 92.244 -12.4431
5220.000000 92.077 -13.6343
5300.000000 91.879 -14.9022
5380.000000 91.674 -16.0562
5450.000000 91.489 -16.9601
5520.000000 91.303 -17.7599
5600.000000 91.087 -18.5485
5700.000000 90.817 -19.3453
5800.000000 90.546 -19.9285
5900.000000 90.275 -20.2700
6000.000000 90.009 -20.3377
6080.000000 89.806 -20.1731
6150.000000 89.640 -19.8685
6220.000000 89.490 -19.4178
6300.000000 89.343 -18.7494
6400.000000 89.204 -17.7349
6500.000000 89.121 -16.5922
6600.000000 89.094 -15.4078
6700.000000 89.121 -14.2492
6800.000000 89.198 -13.1642
