* Measurement data measured by REW V5.30
* Source: EXCL: Q5K Mic (Qudelix-5K USB DAC/MIC 48KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 11, 2024 2:30:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Sing (Velvet) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 101.481 -177.8499
20.600000 101.456 -178.3956
20.900000 101.428 -178.9725
21.200001 101.402 -179.5440
21.400000 101.388 -179.9254
21.799999 101.367 179.3031
22.000000 101.359 178.9128
22.400000 101.347 178.1321
22.700001 101.337 177.5568
23.000000 101.325 176.9985
23.299999 101.309 176.4602
23.600000 101.291 175.9408
24.000000 101.261 175.2702
24.299999 101.237 174.7779
24.700001 101.203 174.1297
25.000000 101.178 173.6483
25.400000 101.145 173.0129
25.799999 101.114 172.3870
26.200001 101.084 171.7739
26.500000 101.062 171.3247
26.900000 101.030 170.7414
27.200001 101.005 170.3144
27.600000 100.971 169.7543
28.000000 100.934 169.1987
28.500000 100.885 168.5084
29.000000 100.836 167.8335
29.500000 100.789 167.1869
30.000000 100.747 166.5663
30.400000 100.717 166.0804
30.700001 100.694 165.7209
31.100000 100.662 165.2542
31.500000 100.628 164.8127
32.000000 100.583 164.3057
32.500000 100.539 163.8328
33.000000 100.496 163.3546
33.500000 100.452 162.8372
34.000000 100.403 162.2750
34.500000 100.348 161.6910
35.000000 100.292 161.1197
35.500000 100.239 160.5862
36.000000 100.193 160.0939
36.500000 100.152 159.6277
37.000000 100.112 159.1710
37.500000 100.067 158.7211
38.200001 99.993 158.1201
38.700001 99.937 157.7157
39.500000 99.852 157.0949
40.000000 99.800 156.7249
40.599998 99.739 156.3179
41.200001 99.680 155.9533
41.799999 99.627 155.5970
42.500000 99.573 155.1429
43.099998 99.531 154.7349
43.700001 99.493 154.3599
44.400002 99.449 153.9817
45.000000 99.407 153.6522
45.500000 99.364 153.3254
46.200001 99.294 152.7499
46.799999 99.234 152.1693
47.500000 99.172 151.5244
48.200001 99.129 151.0873
48.700001 99.114 150.8909
49.400002 99.093 150.5924
50.000000 99.045 150.2133
50.799999 98.928 149.6625
51.500000 98.825 149.2517
52.200001 98.751 148.8453
53.000000 98.682 148.3982
53.799999 98.611 148.0606
54.500000 98.551 147.7630
55.200001 98.486 147.3930
56.000000 98.411 146.9655
57.000000 98.332 146.4771
58.000000 98.247 146.0063
59.000000 98.155 145.5708
60.000000 98.067 145.1348
60.799999 97.995 144.8224
61.500000 97.931 144.5728
62.200001 97.865 144.3171
63.000000 97.789 144.0220
64.000000 97.702 143.6867
65.000000 97.620 143.3956
66.000000 97.536 143.1113
67.000000 97.451 142.8311
68.000000 97.369 142.5914
69.000000 97.280 142.3862
70.000000 97.197 142.1708
71.000000 97.138 141.8186
72.000000 97.085 141.4069
73.000000 97.029 141.0884
74.000000 96.962 140.7955
75.000000 96.882 140.4792
76.199997 96.779 140.1024
77.500000 96.677 139.7693
78.800003 96.599 139.5103
80.000000 96.524 139.2134
81.199997 96.423 138.9113
82.500000 96.314 138.6609
83.800003 96.212 138.4442
85.000000 96.122 138.2396
86.199997 96.038 138.0182
87.500000 95.945 137.7700
88.500000 95.872 137.5317
90.000000 95.771 137.0726
91.199997 95.686 136.9207
92.500000 95.597 136.9194
93.800003 95.505 136.8054
95.000000 95.423 136.6507
96.199997 95.344 136.5052
97.500000 95.259 136.3536
98.800003 95.178 136.2109
100.000000 95.100 136.0786
101.500000 94.993 135.9089
103.000000 94.892 135.7573
104.400002 94.802 135.6342
106.000000 94.699 135.4958
107.500000 94.603 135.3631
109.000000 94.507 135.2363
110.599998 94.404 135.1160
112.000000 94.316 135.0168
113.800003 94.203 134.8822
115.000000 94.129 134.7982
117.199997 93.986 134.7055
118.000000 93.931 134.6769
120.599998 93.751 134.6168
122.000000 93.654 134.5873
124.099998 93.512 134.5929
125.000000 93.453 134.6320
126.500000 93.358 134.7456
128.000000 93.273 135.0383
131.500000 93.014 135.6229
132.000000 92.979 135.7186
134.000000 92.865 136.2291
136.000000 92.793 136.8644
138.000000 92.780 138.0744
140.000000 92.822 139.1999
143.000000 92.863 138.7993
145.000000 92.895 138.3491
147.500000 92.873 137.7861
150.000000 92.793 136.9313
152.500000 92.739 136.6445
155.000000 92.645 136.2871
157.500000 92.527 135.9500
160.000000 92.405 135.7668
162.500000 92.290 135.6346
165.000000 92.176 135.5682
167.500000 92.070 135.6032
170.000000 91.972 135.6985
172.500000 91.867 135.5934
175.000000 91.763 135.5459
177.500000 91.648 135.5943
180.000000 91.546 135.6157
182.500000 91.470 135.5609
185.000000 91.385 135.5838
187.500000 91.281 135.6706
190.000000 91.169 135.7348
192.500000 91.081 135.8484
195.000000 91.002 135.9708
197.500000 90.931 135.9830
200.000000 90.855 136.0771
203.000000 90.740 136.6030
206.000000 90.640 136.9243
209.000000 90.558 137.1264
212.000000 90.484 137.1998
214.000000 90.431 137.2483
218.000000 90.309 137.4218
220.000000 90.250 137.5222
224.000000 90.133 137.7842
227.000000 90.027 138.0833
230.000000 89.921 138.4636
233.000000 89.859 138.6915
236.000000 89.814 138.9075
240.000000 89.747 139.2560
243.000000 89.697 139.4341
247.000000 89.630 139.5134
250.000000 89.576 139.5643
254.000000 89.495 139.7604
258.000000 89.405 139.9340
262.000000 89.314 140.1132
265.000000 89.248 140.2597
269.000000 89.163 140.5026
272.000000 89.097 140.6950
276.000000 89.011 140.9334
280.000000 88.928 141.1664
285.000000 88.830 141.4670
290.000000 88.733 141.7710
295.000000 88.633 142.0754
300.000000 88.535 142.3948
304.000000 88.459 142.6566
307.000000 88.404 142.8557
311.000000 88.332 143.1249
315.000000 88.260 143.3998
320.000000 88.171 143.7572
325.000000 88.086 144.1207
330.000000 88.001 144.4962
335.000000 87.919 144.8738
340.000000 87.840 145.2528
345.000000 87.766 145.6268
350.000000 87.693 146.0111
355.000000 87.620 146.4176
360.000000 87.551 146.8170
365.000000 87.485 147.1859
370.000000 87.422 147.5576
375.000000 87.361 147.9700
382.000000 87.276 148.5265
387.000000 87.217 148.9107
395.000000 87.129 149.5385
400.000000 87.077 149.9316
406.000000 87.015 150.3806
412.000000 86.955 150.8188
418.000000 86.897 151.2559
425.000000 86.832 151.7599
431.000000 86.777 152.1901
437.000000 86.722 152.6160
444.000000 86.659 153.1078
450.000000 86.607 153.5348
455.000000 86.564 153.8931
462.000000 86.505 154.3945
468.000000 86.456 154.8233
475.000000 86.400 155.3204
482.000000 86.345 155.8146
487.000000 86.306 156.1733
494.000000 86.253 156.6818
500.000000 86.209 157.1172
508.000000 86.153 157.7002
515.000000 86.105 158.2111
522.000000 86.058 158.7249
530.000000 86.006 159.3187
538.000000 85.957 159.9157
545.000000 85.916 160.4371
552.000000 85.876 160.9615
560.000000 85.832 161.5625
570.000000 85.780 162.3212
580.000000 85.732 163.0841
590.000000 85.685 163.8519
600.000000 85.643 164.6242
608.000000 85.611 165.2438
615.000000 85.586 165.7839
622.000000 85.561 166.3292
630.000000 85.535 166.9599
640.000000 85.505 167.7509
650.000000 85.479 168.5418
660.000000 85.455 169.3353
670.000000 85.434 170.1281
680.000000 85.418 170.9265
690.000000 85.404 171.7299
700.000000 85.394 172.5338
710.000000 85.388 173.3393
720.000000 85.384 174.1495
730.000000 85.385 174.9628
740.000000 85.389 175.7752
750.000000 85.397 176.5812
762.000000 85.413 177.5513
775.000000 85.435 178.6083
788.000000 85.464 179.6550
800.000000 85.498 -179.3871
812.000000 85.537 -178.4346
825.000000 85.587 -177.4114
838.000000 85.644 -176.4073
850.000000 85.703 -175.4964
862.000000 85.768 -174.6071
875.000000 85.845 -173.6723
885.000000 85.909 -172.9708
900.000000 86.012 -171.9539
912.000000 86.101 -171.1791
925.000000 86.203 -170.3783
938.000000 86.311 -169.6258
950.000000 86.414 -168.9706
962.000000 86.520 -168.3577
975.000000 86.637 -167.7397
988.000000 86.757 -167.1655
1000.000000 86.869 -166.6753
1015.000000 87.011 -166.1240
1030.000000 87.153 -165.6338
1044.000000 87.285 -165.2280
1060.000000 87.434 -164.8284
1075.000000 87.570 -164.5082
1090.000000 87.703 -164.2407
1106.000000 87.842 -164.0044
1120.000000 87.959 -163.8340
1138.000000 88.105 -163.6618
1150.000000 88.198 -163.5707
1172.000000 88.362 -163.4412
1180.000000 88.420 -163.4047
1206.000000 88.598 -163.3182
1220.000000 88.690 -163.2876
1241.000000 88.821 -163.2557
1250.000000 88.875 -163.2461
1265.000000 88.963 -163.2326
1280.000000 89.047 -163.2194
1315.000000 89.236 -163.1909
1320.000000 89.261 -163.1862
1340.000000 89.363 -163.1647
1360.000000 89.461 -163.1393
1380.000000 89.557 -163.1103
1400.000000 89.652 -163.0783
1430.000000 89.791 -163.0209
1450.000000 89.883 -162.9781
1475.000000 89.997 -162.9194
1500.000000 90.112 -162.8629
1525.000000 90.226 -162.8220
1550.000000 90.341 -162.7982
1575.000000 90.456 -162.7897
1600.000000 90.572 -162.7877
1625.000000 90.690 -162.7922
1650.000000 90.809 -162.8092
1675.000000 90.930 -162.8374
1700.000000 91.051 -162.8805
1725.000000 91.174 -162.9431
1750.000000 91.299 -163.0252
1775.000000 91.425 -163.1306
1800.000000 91.551 -163.2590
1825.000000 91.678 -163.4119
1850.000000 91.804 -163.5904
1875.000000 91.931 -163.7916
1900.000000 92.059 -164.0215
1925.000000 92.187 -164.2825
1950.000000 92.314 -164.5684
1975.000000 92.441 -164.8845
2000.000000 92.567 -165.2328
2030.000000 92.717 -165.6889
2060.000000 92.865 -166.1922
2090.000000 93.011 -166.7406
2120.000000 93.153 -167.3339
2140.000000 93.245 -167.7543
2180.000000 93.424 -168.6541
2200.000000 93.510 -169.1319
2240.000000 93.676 -170.1412
2270.000000 93.794 -170.9441
2300.000000 93.905 -171.7816
2330.000000 94.009 -172.6536
2360.000000 94.106 -173.5559
2400.000000 94.223 -174.7988
2430.000000 94.301 -175.7569
2470.000000 94.391 -177.0586
2500.000000 94.449 -178.0481
2540.000000 94.512 -179.3755
2580.000000 94.559 179.2962
2620.000000 94.589 177.9857
2650.000000 94.601 177.0215
2690.000000 94.602 175.7737
2720.000000 94.593 174.8778
2760.000000 94.567 173.7549
2800.000000 94.530 172.7440
2850.000000 94.475 171.6731
2900.000000 94.427 170.8362
2950.000000 94.410 170.1357
3000.000000 94.426 169.3551
3040.000000 94.445 168.5736
3070.000000 94.453 167.9029
3110.000000 94.448 166.9470
3150.000000 94.424 165.9840
3200.000000 94.372 164.8378
3250.000000 94.303 163.7845
3300.000000 94.224 162.8344
3350.000000 94.137 161.9800
3400.000000 94.045 161.2169
3450.000000 93.950 160.5536
3500.000000 93.855 159.9979
3550.000000 93.765 159.5463
3600.000000 93.685 159.1697
3650.000000 93.613 158.8315
3700.000000 93.547 158.5047
3750.000000 93.486 158.1799
3820.000000 93.400 157.7296
3870.000000 93.336 157.4221
3950.000000 93.221 157.0594
4000.000000 93.153 157.0389
4060.000000 93.121 157.1933
4120.000000 93.147 157.0899
4180.000000 93.170 156.5878
4250.000000 93.159 155.8436
4310.000000 93.131 155.2006
4370.000000 93.095 154.5529
4440.000000 93.044 153.7661
4500.000000 92.992 153.0604
4550.000000 92.940 152.4483
4620.000000 92.853 151.5636
4680.000000 92.761 150.7970
4750.000000 92.633 149.9274
4820.000000 92.483 149.1358
4870.000000 92.364 148.6400
4940.000000 92.189 148.0574
5000.000000 92.034 147.6486
5080.000000 91.823 147.2079
5150.000000 91.634 146.9028
5220.000000 91.440 146.6645
5300.000000 91.211 146.4659
5380.000000 90.974 146.3273
5450.000000 90.762 146.2808
5520.000000 90.547 146.3413
5600.000000 90.299 146.5582
5700.000000 89.994 147.0552
5800.000000 89.701 147.7934
5900.000000 89.423 148.7670
6000.000000 89.165 149.9588
6080.000000 88.976 151.0534
6150.000000 88.825 152.1084
6220.000000 88.689 153.2511
6300.000000 88.555 154.6621
6400.000000 88.425 156.5572
