* Measurement data measured by REW V5.30
* Source: EXCL: Q5K Mic (Qudelix-5K USB DAC/MIC 48KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 25, 2024 3:27:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NJ Singularity (RAG AET07) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 90.375 171.2278
20.600000 90.354 170.6127
20.900000 90.328 169.9611
21.200001 90.301 169.3214
21.400000 90.284 168.9017
21.799999 90.247 168.0770
22.000000 90.228 167.6729
22.400000 90.187 166.8853
22.700001 90.154 166.3136
23.000000 90.120 165.7544
23.299999 90.087 165.1999
23.600000 90.053 164.6420
24.000000 90.010 163.8861
24.299999 89.977 163.3140
24.700001 89.932 162.5610
25.000000 89.898 162.0154
25.400000 89.854 161.3203
25.799999 89.813 160.6542
26.200001 89.772 160.0019
26.500000 89.740 159.5168
26.900000 89.693 158.8795
27.200001 89.656 158.4137
27.600000 89.605 157.8094
28.000000 89.558 157.2095
28.500000 89.501 156.4349
29.000000 89.439 155.6334
29.500000 89.369 154.8698
30.000000 89.297 154.2184
30.400000 89.247 153.7820
30.700001 89.217 153.4803
31.100000 89.184 153.0740
31.500000 89.154 152.6360
32.000000 89.109 152.0475
32.500000 89.050 151.4509
33.000000 88.984 150.8687
33.500000 88.916 150.2866
34.000000 88.850 149.6862
34.500000 88.786 149.0714
35.000000 88.727 148.4592
35.500000 88.672 147.8613
36.000000 88.618 147.2837
36.500000 88.563 146.7367
37.000000 88.507 146.2316
37.500000 88.450 145.7696
38.200001 88.368 145.1692
38.700001 88.308 144.7429
39.500000 88.205 144.0185
40.000000 88.135 143.5468
40.599998 88.050 143.0013
41.200001 87.973 142.4927
41.799999 87.907 141.9845
42.500000 87.835 141.3469
43.099998 87.770 140.7890
43.700001 87.705 140.2719
44.400002 87.636 139.7551
45.000000 87.587 139.3733
45.500000 87.549 139.0632
46.200001 87.493 138.5856
46.799999 87.431 138.1523
47.500000 87.345 137.7199
48.200001 87.255 137.4144
48.700001 87.187 137.2369
49.400002 87.087 136.9553
50.000000 87.003 136.5983
50.799999 86.910 135.8967
51.500000 86.848 135.2281
52.200001 86.802 134.7453
53.000000 86.748 134.4358
53.799999 86.664 134.1607
54.500000 86.572 133.8196
55.200001 86.495 133.3521
56.000000 86.434 132.7457
57.000000 86.361 132.1831
58.000000 86.260 131.8731
59.000000 86.139 131.5027
60.000000 86.026 131.0276
60.799999 85.951 130.6410
61.500000 85.890 130.3152
62.200001 85.828 130.0038
63.000000 85.754 129.6622
64.000000 85.663 129.2530
65.000000 85.574 128.8558
66.000000 85.483 128.4903
67.000000 85.391 128.1940
68.000000 85.305 127.8628
69.000000 85.220 127.4580
70.000000 85.136 127.0951
71.000000 85.051 126.7893
72.000000 84.958 126.4934
73.000000 84.871 126.1779
74.000000 84.793 125.8336
75.000000 84.713 125.5124
76.199997 84.614 125.1604
77.500000 84.508 124.8097
78.800003 84.405 124.5147
80.000000 84.311 124.2217
81.199997 84.220 123.8672
82.500000 84.121 123.5061
83.800003 84.023 123.2028
85.000000 83.933 122.9299
86.199997 83.847 122.6618
87.500000 83.754 122.3559
88.500000 83.679 122.1456
90.000000 83.569 121.8955
91.199997 83.485 121.6612
92.500000 83.392 121.3570
93.800003 83.301 121.1060
95.000000 83.223 120.9286
96.199997 83.150 120.7190
97.500000 83.068 120.5035
98.800003 82.983 120.3176
100.000000 82.902 120.1140
101.500000 82.804 119.8367
103.000000 82.710 119.6201
104.400002 82.623 119.4184
106.000000 82.526 119.1511
107.500000 82.434 118.9236
109.000000 82.341 118.7305
110.599998 82.246 118.5257
112.000000 82.164 118.3339
113.800003 82.064 118.1195
115.000000 82.001 117.9943
117.199997 81.876 117.8087
118.000000 81.829 117.7452
120.599998 81.683 117.5069
122.000000 81.608 117.3198
124.099998 81.497 117.0980
125.000000 81.451 117.0180
126.500000 81.375 116.8879
128.000000 81.301 116.7714
131.500000 81.127 116.4886
132.000000 81.102 116.4474
134.000000 81.011 116.2857
136.000000 80.920 116.1439
138.000000 80.822 116.0204
140.000000 80.731 115.9001
143.000000 80.596 115.7561
145.000000 80.503 115.6367
147.500000 80.394 115.4810
150.000000 80.289 115.3678
152.500000 80.185 115.2554
155.000000 80.086 115.0889
157.500000 79.984 114.9077
160.000000 79.875 114.7957
162.500000 79.771 114.7399
165.000000 79.662 114.6814
167.500000 79.546 114.7044
170.000000 79.440 114.8716
172.500000 79.365 115.1553
175.000000 79.334 115.3612
177.500000 79.314 115.2553
180.000000 79.278 114.9101
182.500000 79.214 114.5623
185.000000 79.133 114.3156
187.500000 79.049 114.1204
190.000000 78.962 113.9270
192.500000 78.878 113.8085
195.000000 78.797 113.7094
197.500000 78.717 113.6193
200.000000 78.638 113.5426
203.000000 78.545 113.4683
206.000000 78.455 113.3932
209.000000 78.366 113.3259
212.000000 78.281 113.2622
214.000000 78.224 113.2233
218.000000 78.113 113.1687
220.000000 78.058 113.1560
224.000000 77.951 113.1258
227.000000 77.871 113.1084
230.000000 77.792 113.1135
233.000000 77.714 113.1316
236.000000 77.641 113.1680
240.000000 77.555 113.2165
243.000000 77.500 113.2187
247.000000 77.428 113.1883
250.000000 77.369 113.1393
254.000000 77.286 113.0563
258.000000 77.206 113.0222
262.000000 77.126 112.9964
265.000000 77.067 112.9749
269.000000 76.986 112.9511
272.000000 76.926 112.9385
276.000000 76.848 112.9268
280.000000 76.773 112.9073
285.000000 76.683 112.8819
290.000000 76.598 112.8614
295.000000 76.515 112.8535
300.000000 76.434 112.8466
304.000000 76.370 112.8557
307.000000 76.322 112.8559
311.000000 76.259 112.8576
315.000000 76.199 112.8607
320.000000 76.124 112.8582
325.000000 76.048 112.8414
330.000000 75.975 112.8346
335.000000 75.903 112.8260
340.000000 75.831 112.8189
345.000000 75.758 112.8130
350.000000 75.685 112.8055
355.000000 75.612 112.8082
360.000000 75.539 112.8356
365.000000 75.464 112.8920
370.000000 75.392 112.9658
375.000000 75.323 113.0447
382.000000 75.228 113.1761
387.000000 75.165 113.3053
395.000000 75.071 113.5202
400.000000 75.019 113.6600
406.000000 74.958 113.8323
412.000000 74.899 114.0000
418.000000 74.844 114.1719
425.000000 74.786 114.3837
431.000000 74.741 114.5479
437.000000 74.700 114.6999
444.000000 74.654 114.8548
450.000000 74.618 114.9733
455.000000 74.589 115.0794
462.000000 74.549 115.2169
468.000000 74.515 115.3273
475.000000 74.478 115.4590
482.000000 74.443 115.5798
487.000000 74.419 115.6621
494.000000 74.385 115.7652
500.000000 74.358 115.8358
508.000000 74.323 115.9336
515.000000 74.293 116.0369
522.000000 74.263 116.1388
530.000000 74.230 116.2383
538.000000 74.199 116.3319
545.000000 74.174 116.4129
552.000000 74.149 116.4967
560.000000 74.120 116.6016
570.000000 74.086 116.7391
580.000000 74.054 116.8795
590.000000 74.025 117.0263
600.000000 73.995 117.1717
608.000000 73.973 117.2956
615.000000 73.956 117.4076
622.000000 73.942 117.5252
630.000000 73.928 117.6640
640.000000 73.912 117.8374
650.000000 73.897 118.0098
660.000000 73.884 118.1856
670.000000 73.874 118.3746
680.000000 73.866 118.5626
690.000000 73.861 118.7513
700.000000 73.857 118.9435
710.000000 73.856 119.1476
720.000000 73.860 119.3605
730.000000 73.866 119.5758
740.000000 73.874 119.7902
750.000000 73.885 120.0132
762.000000 73.902 120.2792
775.000000 73.925 120.5817
788.000000 73.953 120.8804
800.000000 73.984 121.1664
812.000000 74.021 121.4524
825.000000 74.067 121.7523
838.000000 74.119 122.0386
850.000000 74.172 122.3009
862.000000 74.229 122.5654
875.000000 74.300 122.8279
885.000000 74.358 123.0143
900.000000 74.450 123.2752
912.000000 74.528 123.4671
925.000000 74.620 123.6509
938.000000 74.716 123.8077
950.000000 74.809 123.9219
962.000000 74.906 124.0127
975.000000 75.015 124.0821
988.000000 75.128 124.1175
1000.000000 75.235 124.1108
1015.000000 75.372 124.0400
1030.000000 75.511 123.9182
1044.000000 75.642 123.7634
1060.000000 75.792 123.5231
1075.000000 75.933 123.2354
1090.000000 76.072 122.8943
1106.000000 76.218 122.4762
1120.000000 76.342 122.0757
1138.000000 76.498 121.4979
1150.000000 76.599 121.0846
1172.000000 76.776 120.2945
1180.000000 76.838 119.9945
1206.000000 77.030 118.9713
1220.000000 77.127 118.4053
1241.000000 77.266 117.5510
1250.000000 77.324 117.1800
1265.000000 77.417 116.5604
1280.000000 77.506 115.9442
1315.000000 77.700 114.5172
1320.000000 77.727 114.3148
1340.000000 77.833 113.5152
1360.000000 77.934 112.7367
1380.000000 78.032 111.9661
1400.000000 78.130 111.1994
1430.000000 78.274 110.0709
1450.000000 78.368 109.3338
1475.000000 78.485 108.4237
1500.000000 78.601 107.5222
1525.000000 78.717 106.6357
1550.000000 78.834 105.7522
1575.000000 78.950 104.8666
1600.000000 79.067 103.9912
1625.000000 79.184 103.1256
1650.000000 79.303 102.2561
1675.000000 79.424 101.3771
1700.000000 79.545 100.4981
1725.000000 79.667 99.6171
1750.000000 79.791 98.7353
1775.000000 79.916 97.8428
1800.000000 80.042 96.9382
1825.000000 80.169 96.0231
1850.000000 80.297 95.0936
1875.000000 80.425 94.1444
1900.000000 80.555 93.1764
1925.000000 80.685 92.1882
1950.000000 80.813 91.1787
1975.000000 80.942 90.1516
2000.000000 81.071 89.1028
2030.000000 81.224 87.8077
2060.000000 81.376 86.4818
2090.000000 81.526 85.1249
2120.000000 81.673 83.7336
2140.000000 81.770 82.7884
2180.000000 81.961 80.8561
2200.000000 82.054 79.8707
2240.000000 82.233 77.8611
2270.000000 82.363 76.3206
2300.000000 82.489 74.7532
2330.000000 82.608 73.1636
2360.000000 82.722 71.5503
2400.000000 82.864 69.3665
2430.000000 82.964 67.7113
2470.000000 83.086 65.4798
2500.000000 83.169 63.7922
2540.000000 83.269 61.5252
2580.000000 83.356 59.2485
2620.000000 83.430 56.9757
2650.000000 83.476 55.2815
2690.000000 83.527 53.0437
2720.000000 83.557 51.3825
2760.000000 83.586 49.1979
2800.000000 83.603 47.0559
2850.000000 83.610 44.4408
2900.000000 83.602 41.9055
2950.000000 83.579 39.4552
3000.000000 83.545 37.0942
3040.000000 83.511 35.2742
3070.000000 83.481 33.9492
3110.000000 83.438 32.2359
3150.000000 83.391 30.5802
3200.000000 83.327 28.5900
3250.000000 83.258 26.6967
3300.000000 83.187 24.8940
3350.000000 83.114 23.1746
3400.000000 83.040 21.5397
3450.000000 82.966 19.9888
3500.000000 82.894 18.5207
3550.000000 82.826 17.1318
3600.000000 82.765 15.8067
3650.000000 82.714 14.5232
3700.000000 82.669 13.2532
3750.000000 82.630 11.9796
3820.000000 82.578 10.1836
3870.000000 82.541 8.9010
3950.000000 82.477 6.8524
4000.000000 82.434 5.5730
4060.000000 82.383 4.0848
4120.000000 82.348 2.6364
4180.000000 82.327 1.0880
4250.000000 82.292 -0.8602
4310.000000 82.246 -2.5557
4370.000000 82.190 -4.2444
4440.000000 82.112 -6.2032
4500.000000 82.033 -7.8675
4550.000000 81.959 -9.2336
4620.000000 81.842 -11.0910
4680.000000 81.731 -12.6158
4750.000000 81.594 -14.3128
4820.000000 81.453 -15.9365
4870.000000 81.349 -17.0645
4940.000000 81.196 -18.6040
5000.000000 81.057 -19.8828
5080.000000 80.859 -21.5062
5150.000000 80.673 -22.8221
5220.000000 80.478 -24.0245
5300.000000 80.246 -25.2477
5380.000000 80.008 -26.2959
5450.000000 79.798 -27.0661
5520.000000 79.588 -27.6987
5600.000000 79.352 -28.2616
5700.000000 79.067 -28.7260
5800.000000 78.798 -28.9388
5900.000000 78.550 -28.9184
6000.000000 78.328 -28.6902
6080.000000 78.169 -28.3714
6150.000000 78.047 -28.0067
6220.000000 77.940 -27.5774
6300.000000 77.840 -27.0205
6400.000000 77.747 -26.2342
6500.000000 77.694 -25.3829
6600.000000 77.685 -24.5154
6700.000000 77.719 -23.6748
