* Measurement data measured by REW V5.30
* Source: EXCL: Q5K Mic (Qudelix-5K USB DAC/MIC 48KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 25, 2024 3:29:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NJ Sing (RAG AET07) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 89.972 179.0611
20.600000 89.957 178.4609
20.900000 89.935 177.8228
21.200001 89.912 177.1931
21.400000 89.896 176.7774
21.799999 89.868 175.9501
22.000000 89.855 175.5373
22.400000 89.831 174.7137
22.700001 89.814 174.1008
23.000000 89.796 173.4958
23.299999 89.777 172.9024
23.600000 89.757 172.3238
24.000000 89.728 171.5780
24.299999 89.704 171.0368
24.700001 89.673 170.3319
25.000000 89.649 169.8084
25.400000 89.618 169.1084
25.799999 89.586 168.4044
26.200001 89.555 167.7055
26.500000 89.531 167.1938
26.900000 89.501 166.5376
27.200001 89.480 166.0667
27.600000 89.452 165.4640
28.000000 89.423 164.8844
28.500000 89.380 164.1892
29.000000 89.329 163.5277
29.500000 89.276 162.8856
30.000000 89.228 162.2241
30.400000 89.197 161.6555
30.700001 89.175 161.2040
31.100000 89.148 160.5837
31.500000 89.118 159.9725
32.000000 89.076 159.2695
32.500000 89.029 158.6579
33.000000 88.981 158.1143
33.500000 88.935 157.5861
34.000000 88.890 157.0315
34.500000 88.845 156.4464
35.000000 88.800 155.8590
35.500000 88.756 155.3006
36.000000 88.712 154.7804
36.500000 88.665 154.2832
37.000000 88.615 153.7872
37.500000 88.564 153.2770
38.200001 88.496 152.5277
38.700001 88.453 151.9737
39.500000 88.389 151.1159
40.000000 88.347 150.6388
40.599998 88.294 150.1239
41.200001 88.239 149.6198
41.799999 88.180 149.0889
42.500000 88.108 148.4523
43.099998 88.049 147.9109
43.700001 87.993 147.3646
44.400002 87.921 146.7331
45.000000 87.853 146.2477
45.500000 87.801 145.8972
46.200001 87.744 145.4313
46.799999 87.704 144.9888
47.500000 87.648 144.4310
48.200001 87.578 143.9195
48.700001 87.527 143.6012
49.400002 87.466 143.1611
50.000000 87.422 142.7350
50.799999 87.358 142.1405
51.500000 87.293 141.7000
52.200001 87.228 141.3354
53.000000 87.158 140.8874
53.799999 87.087 140.3534
54.500000 87.023 139.8648
55.200001 86.957 139.4027
56.000000 86.880 138.9361
57.000000 86.786 138.4055
58.000000 86.699 137.8213
59.000000 86.611 137.2724
60.000000 86.529 136.8267
60.799999 86.463 136.4546
61.500000 86.403 136.0945
62.200001 86.342 135.7231
63.000000 86.273 135.3156
64.000000 86.188 134.8786
65.000000 86.109 134.4974
66.000000 86.038 134.0668
67.000000 85.966 133.6008
68.000000 85.885 133.1830
69.000000 85.798 132.7816
70.000000 85.711 132.3600
71.000000 85.633 131.9411
72.000000 85.561 131.5409
73.000000 85.486 131.1495
74.000000 85.403 130.7850
75.000000 85.320 130.4633
76.199997 85.227 130.0781
77.500000 85.136 129.6588
78.800003 85.053 129.2082
80.000000 84.965 128.8254
81.199997 84.873 128.4858
82.500000 84.777 128.0980
83.800003 84.687 127.7414
85.000000 84.604 127.4097
86.199997 84.519 127.0676
87.500000 84.428 126.7127
88.500000 84.357 126.4410
90.000000 84.257 126.0438
91.199997 84.183 125.7466
92.500000 84.097 125.4724
93.800003 84.013 125.1822
95.000000 83.937 124.8565
96.199997 83.857 124.5456
97.500000 83.770 124.2662
98.800003 83.689 124.0230
100.000000 83.618 123.8006
101.500000 83.525 123.5116
103.000000 83.431 123.2476
104.400002 83.344 123.0139
106.000000 83.240 122.7427
107.500000 83.148 122.4752
109.000000 83.062 122.1828
110.599998 82.965 121.8913
112.000000 82.884 121.6603
113.800003 82.786 121.3701
115.000000 82.720 121.1853
117.199997 82.593 120.8810
118.000000 82.548 120.7738
120.599998 82.403 120.4245
122.000000 82.328 120.2392
124.099998 82.215 119.9783
125.000000 82.167 119.8681
126.500000 82.087 119.6917
128.000000 82.006 119.5364
131.500000 81.819 119.1918
132.000000 81.795 119.1510
134.000000 81.703 119.0187
136.000000 81.608 118.8437
138.000000 81.511 118.6277
140.000000 81.408 118.4847
143.000000 81.256 118.3758
145.000000 81.164 118.3671
147.500000 81.062 118.3673
150.000000 80.975 118.3212
152.500000 80.896 118.1661
155.000000 80.815 117.9699
157.500000 80.730 117.7615
160.000000 80.643 117.5567
162.500000 80.556 117.3346
165.000000 80.468 117.1082
167.500000 80.379 116.8813
170.000000 80.287 116.6686
172.500000 80.195 116.4810
175.000000 80.102 116.3115
177.500000 80.009 116.1483
180.000000 79.917 115.9891
182.500000 79.825 115.8483
185.000000 79.735 115.7243
187.500000 79.647 115.6080
190.000000 79.561 115.4996
192.500000 79.477 115.4026
195.000000 79.393 115.3089
197.500000 79.310 115.2202
200.000000 79.230 115.1394
203.000000 79.137 115.0495
206.000000 79.043 114.9634
209.000000 78.950 114.8796
212.000000 78.857 114.7905
214.000000 78.796 114.7414
218.000000 78.678 114.6764
220.000000 78.618 114.6567
224.000000 78.499 114.6302
227.000000 78.413 114.6151
230.000000 78.334 114.6196
233.000000 78.260 114.6470
236.000000 78.188 114.6405
240.000000 78.094 114.5799
243.000000 78.024 114.5266
247.000000 77.931 114.4576
250.000000 77.860 114.4219
254.000000 77.766 114.3886
258.000000 77.670 114.3708
262.000000 77.575 114.3596
265.000000 77.508 114.3561
269.000000 77.420 114.3594
272.000000 77.354 114.3715
276.000000 77.268 114.4000
280.000000 77.187 114.4083
285.000000 77.088 114.4051
290.000000 76.989 114.4266
295.000000 76.890 114.4531
300.000000 76.793 114.5047
304.000000 76.719 114.5452
307.000000 76.665 114.5690
311.000000 76.596 114.6204
315.000000 76.528 114.6868
320.000000 76.443 114.7557
325.000000 76.360 114.7911
330.000000 76.278 114.8518
335.000000 76.198 114.9337
340.000000 76.119 115.0115
345.000000 76.044 115.0876
350.000000 75.970 115.1705
355.000000 75.896 115.2738
360.000000 75.822 115.3745
365.000000 75.753 115.4817
370.000000 75.686 115.5817
375.000000 75.618 115.6975
382.000000 75.527 115.8780
387.000000 75.465 116.0049
395.000000 75.372 116.1939
400.000000 75.315 116.3200
406.000000 75.250 116.4867
412.000000 75.187 116.6573
418.000000 75.124 116.8346
425.000000 75.055 117.0490
431.000000 74.999 117.2283
437.000000 74.944 117.4110
444.000000 74.884 117.6349
450.000000 74.834 117.8358
455.000000 74.797 118.0004
462.000000 74.748 118.2375
468.000000 74.709 118.4482
475.000000 74.667 118.6747
482.000000 74.630 118.8820
487.000000 74.606 119.0252
494.000000 74.577 119.2131
500.000000 74.550 119.3695
508.000000 74.514 119.5427
515.000000 74.485 119.6691
522.000000 74.454 119.7902
530.000000 74.419 119.9525
538.000000 74.386 120.1093
545.000000 74.357 120.2383
552.000000 74.327 120.3741
560.000000 74.292 120.5326
570.000000 74.253 120.7352
580.000000 74.216 120.9394
590.000000 74.180 121.1649
600.000000 74.146 121.3860
608.000000 74.122 121.5713
615.000000 74.102 121.7602
622.000000 74.083 121.9504
630.000000 74.063 122.1561
640.000000 74.041 122.4247
650.000000 74.023 122.6910
660.000000 74.007 122.9528
670.000000 73.994 123.2308
680.000000 73.983 123.5175
690.000000 73.977 123.8190
700.000000 73.974 124.1164
710.000000 73.975 124.4101
720.000000 73.979 124.7206
730.000000 73.985 125.0311
740.000000 73.995 125.3254
750.000000 74.011 125.6180
762.000000 74.035 125.9813
775.000000 74.064 126.3796
788.000000 74.102 126.7709
800.000000 74.142 127.1252
812.000000 74.188 127.4727
825.000000 74.245 127.8407
838.000000 74.309 128.1847
850.000000 74.374 128.4743
862.000000 74.444 128.7484
875.000000 74.524 129.0206
885.000000 74.589 129.2095
900.000000 74.693 129.4605
912.000000 74.782 129.6223
925.000000 74.881 129.7517
938.000000 74.983 129.8344
950.000000 75.081 129.8834
962.000000 75.181 129.9085
975.000000 75.290 129.9008
988.000000 75.400 129.8486
1000.000000 75.502 129.7679
1015.000000 75.630 129.6364
1030.000000 75.757 129.4465
1044.000000 75.876 129.2276
1060.000000 76.010 128.9308
1075.000000 76.132 128.6193
1090.000000 76.252 128.2788
1106.000000 76.377 127.8699
1120.000000 76.483 127.4823
1138.000000 76.615 126.9564
1150.000000 76.700 126.5914
1172.000000 76.850 125.8807
1180.000000 76.902 125.6134
1206.000000 77.066 124.7232
1220.000000 77.149 124.2365
1241.000000 77.267 123.5011
1250.000000 77.317 123.1829
1265.000000 77.398 122.6534
1280.000000 77.475 122.1287
1315.000000 77.648 120.9114
1320.000000 77.672 120.7395
1340.000000 77.766 120.0616
1360.000000 77.857 119.3885
1380.000000 77.946 118.7245
1400.000000 78.034 118.0748
1430.000000 78.164 117.1098
1450.000000 78.250 116.4668
1475.000000 78.357 115.6600
1500.000000 78.464 114.8507
1525.000000 78.570 114.0474
1550.000000 78.676 113.2572
1575.000000 78.782 112.4751
1600.000000 78.889 111.6929
1625.000000 78.997 110.9053
1650.000000 79.107 110.1217
1675.000000 79.217 109.3350
1700.000000 79.328 108.5401
1725.000000 79.440 107.7363
1750.000000 79.553 106.9269
1775.000000 79.665 106.1173
1800.000000 79.778 105.2976
1825.000000 79.893 104.4617
1850.000000 80.008 103.6151
1875.000000 80.124 102.7556
1900.000000 80.240 101.8790
1925.000000 80.356 100.9830
1950.000000 80.471 100.0679
1975.000000 80.586 99.1315
2000.000000 80.701 98.1775
2030.000000 80.836 97.0098
2060.000000 80.971 95.8098
2090.000000 81.103 94.5802
2120.000000 81.232 93.3258
2140.000000 81.318 92.4747
2180.000000 81.486 90.7257
2200.000000 81.567 89.8210
2240.000000 81.725 87.9513
2270.000000 81.840 86.5182
2300.000000 81.948 85.0653
2330.000000 82.052 83.5942
2360.000000 82.151 82.1138
2400.000000 82.274 80.1283
2430.000000 82.361 78.6259
2470.000000 82.468 76.6090
2500.000000 82.541 75.0905
2540.000000 82.629 73.0594
2580.000000 82.706 71.0236
2620.000000 82.772 68.9877
2650.000000 82.814 67.4651
2690.000000 82.860 65.4493
2720.000000 82.888 63.9485
2760.000000 82.917 61.9693
2800.000000 82.936 60.0235
2850.000000 82.948 57.6410
2900.000000 82.947 55.3140
2950.000000 82.936 53.0518
3000.000000 82.916 50.8581
3040.000000 82.894 49.1532
3070.000000 82.874 47.9034
3110.000000 82.844 46.2771
3150.000000 82.810 44.6981
3200.000000 82.764 42.7908
3250.000000 82.714 40.9509
3300.000000 82.661 39.1751
3350.000000 82.605 37.4448
3400.000000 82.548 35.7613
3450.000000 82.492 34.1480
3500.000000 82.441 32.6030
3550.000000 82.396 31.1065
3600.000000 82.357 29.6284
3650.000000 82.323 28.1496
3700.000000 82.289 26.6632
3750.000000 82.252 25.1758
3820.000000 82.194 23.1130
3870.000000 82.148 21.6563
3950.000000 82.058 19.3891
4000.000000 81.990 18.0668
4060.000000 81.905 16.6936
4120.000000 81.855 15.5870
4180.000000 81.875 14.3649
4250.000000 81.911 12.3124
4310.000000 81.888 10.2928
4370.000000 81.825 8.3171
4440.000000 81.722 6.1291
4500.000000 81.618 4.3460
4550.000000 81.521 2.9197
4620.000000 81.374 1.0290
4680.000000 81.241 -0.4878
4750.000000 81.080 -2.1544
4820.000000 80.917 -3.7371
4870.000000 80.798 -4.8284
4940.000000 80.625 -6.3055
5000.000000 80.470 -7.5116
5080.000000 80.252 -9.0168
5150.000000 80.053 -10.2288
5220.000000 79.848 -11.3280
5300.000000 79.610 -12.4311
5380.000000 79.371 -13.3657
5450.000000 79.164 -14.0464
5520.000000 78.961 -14.6038
5600.000000 78.739 -15.0935
5700.000000 78.477 -15.5067
5800.000000 78.234 -15.7339
5900.000000 78.013 -15.8041
6000.000000 77.813 -15.7454
6080.000000 77.668 -15.6129
6150.000000 77.551 -15.4342
6220.000000 77.443 -15.1951
6300.000000 77.329 -14.8433
6400.000000 77.207 -14.2525
6500.000000 77.118 -13.4656
6600.000000 77.074 -12.5027
6700.000000 77.089 -11.4284
6800.000000 77.169 -10.3594
