* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Apr 4, 2025 12:54:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QDC Superior EX S1 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 92.812 -123.2961
20.600000 92.858 -124.0928
20.900000 92.909 -124.9428
21.200001 92.960 -125.7860
21.400000 92.994 -126.3446
21.799999 93.064 -127.4546
22.000000 93.099 -128.0035
22.400000 93.166 -129.0784
22.700001 93.214 -129.8569
23.000000 93.259 -130.6111
23.299999 93.303 -131.3473
23.600000 93.346 -132.0756
24.000000 93.398 -133.0493
24.299999 93.434 -133.7844
24.700001 93.477 -134.7602
25.000000 93.506 -135.4760
25.400000 93.544 -136.3941
25.799999 93.584 -137.2683
26.200001 93.628 -138.1117
26.500000 93.661 -138.7350
26.900000 93.704 -139.5631
27.200001 93.732 -140.1819
27.600000 93.764 -140.9967
28.000000 93.790 -141.7889
28.500000 93.818 -142.7401
29.000000 93.847 -143.6606
29.500000 93.879 -144.5797
30.000000 93.912 -145.5133
30.400000 93.936 -146.2581
30.700001 93.951 -146.8011
31.100000 93.970 -147.4897
31.500000 93.989 -148.1360
32.000000 94.018 -148.9120
32.500000 94.047 -149.6938
33.000000 94.070 -150.4905
33.500000 94.084 -151.2700
34.000000 94.094 -152.0045
34.500000 94.105 -152.7069
35.000000 94.120 -153.4109
35.500000 94.133 -154.1256
36.000000 94.141 -154.8289
36.500000 94.148 -155.5034
37.000000 94.157 -156.1621
37.500000 94.168 -156.8310
38.200001 94.179 -157.7862
38.700001 94.182 -158.4431
39.500000 94.184 -159.4021
40.000000 94.188 -159.9678
40.599998 94.190 -160.6520
41.200001 94.186 -161.3439
41.799999 94.177 -162.0171
42.500000 94.169 -162.7662
43.099998 94.171 -163.4010
43.700001 94.177 -164.0434
44.400002 94.181 -164.7820
45.000000 94.179 -165.3891
45.500000 94.174 -165.8842
46.200001 94.164 -166.5783
46.799999 94.154 -167.1631
47.500000 94.145 -167.7978
48.200001 94.143 -168.3966
48.700001 94.142 -168.8434
49.400002 94.126 -169.5109
50.000000 94.097 -170.0640
50.799999 94.063 -170.6914
51.500000 94.057 -171.1995
52.200001 94.061 -171.7485
53.000000 94.053 -172.3890
53.799999 94.030 -173.0025
54.500000 94.011 -173.5478
55.200001 93.995 -174.1042
56.000000 93.976 -174.6932
57.000000 93.945 -175.3468
58.000000 93.909 -176.1643
59.000000 93.855 -177.0813
60.000000 93.822 -177.6545
60.799999 93.823 -177.9846
61.500000 93.818 -178.3289
62.200001 93.799 -178.7143
63.000000 93.774 -179.1842
64.000000 93.744 -179.7945
65.000000 93.711 179.6318
66.000000 93.676 179.0791
67.000000 93.643 178.5353
68.000000 93.612 178.0079
69.000000 93.578 177.4872
70.000000 93.542 176.9728
71.000000 93.507 176.4895
72.000000 93.470 176.0267
73.000000 93.427 175.5766
74.000000 93.387 175.1510
75.000000 93.356 174.7304
76.199997 93.317 174.2285
77.500000 93.267 173.6849
78.800003 93.214 173.1295
80.000000 93.166 172.6169
81.199997 93.120 172.1888
82.500000 93.070 171.7711
83.800003 93.017 171.3256
85.000000 92.976 170.8845
86.199997 92.934 170.4578
87.500000 92.883 170.0426
88.500000 92.844 169.7297
90.000000 92.785 169.2708
91.199997 92.741 168.9299
92.500000 92.693 168.5606
93.800003 92.643 168.2068
95.000000 92.598 167.8794
96.199997 92.551 167.5519
97.500000 92.495 167.2332
98.800003 92.428 166.9429
100.000000 92.365 166.7050
101.500000 92.322 166.3344
103.000000 92.283 165.9230
104.400002 92.225 165.6568
106.000000 92.153 165.3559
107.500000 92.098 165.0413
109.000000 92.051 164.7259
110.599998 91.996 164.4064
112.000000 91.945 164.1498
113.800003 91.876 163.8072
115.000000 91.829 163.5934
117.199997 91.749 163.2696
118.000000 91.721 163.1745
120.599998 91.630 162.8341
122.000000 91.576 162.6264
124.099998 91.500 162.3485
125.000000 91.468 162.2368
126.500000 91.413 162.0516
128.000000 91.358 161.8682
131.500000 91.235 161.4745
132.000000 91.217 161.4188
134.000000 91.147 161.2058
136.000000 91.077 161.0236
138.000000 91.008 160.8583
140.000000 90.939 160.7055
143.000000 90.837 160.4859
145.000000 90.770 160.3427
147.500000 90.685 160.2044
150.000000 90.612 160.0646
152.500000 90.542 159.9010
155.000000 90.452 159.8256
157.500000 90.368 159.7715
160.000000 90.297 159.8300
162.500000 90.228 159.7665
165.000000 90.156 159.6226
167.500000 90.085 159.5498
170.000000 90.014 159.4921
172.500000 89.943 159.4328
175.000000 89.874 159.4159
177.500000 89.807 159.4235
180.000000 89.738 159.3802
182.500000 89.672 159.3472
185.000000 89.611 159.3469
187.500000 89.550 159.3524
190.000000 89.490 159.3533
192.500000 89.432 159.3831
195.000000 89.373 159.4231
197.500000 89.309 159.4452
200.000000 89.245 159.4803
203.000000 89.173 159.5563
206.000000 89.100 159.6034
209.000000 89.032 159.6459
212.000000 88.969 159.7455
214.000000 88.925 159.8258
218.000000 88.833 159.9276
220.000000 88.789 159.9827
224.000000 88.709 160.0957
227.000000 88.651 160.1903
230.000000 88.593 160.2929
233.000000 88.534 160.4078
236.000000 88.476 160.5276
240.000000 88.401 160.7006
243.000000 88.344 160.7967
247.000000 88.267 160.9229
250.000000 88.211 161.0540
254.000000 88.141 161.2396
258.000000 88.069 161.4238
262.000000 87.999 161.6188
265.000000 87.948 161.7740
269.000000 87.882 161.9981
272.000000 87.833 162.1641
276.000000 87.769 162.3794
280.000000 87.707 162.6025
285.000000 87.630 162.9039
290.000000 87.555 163.1931
295.000000 87.484 163.4958
300.000000 87.418 163.7986
304.000000 87.363 164.0199
307.000000 87.322 164.2046
311.000000 87.266 164.4891
315.000000 87.213 164.7678
320.000000 87.154 165.0894
325.000000 87.096 165.4150
330.000000 87.039 165.7673
335.000000 86.983 166.1244
340.000000 86.926 166.4670
345.000000 86.873 166.8118
350.000000 86.820 167.1766
355.000000 86.770 167.5655
360.000000 86.722 167.9243
365.000000 86.675 168.2447
370.000000 86.629 168.5849
375.000000 86.586 168.9299
382.000000 86.525 169.4192
387.000000 86.482 169.7848
395.000000 86.418 170.3751
400.000000 86.381 170.7361
406.000000 86.335 171.1506
412.000000 86.288 171.5752
418.000000 86.248 172.0125
425.000000 86.203 172.5299
431.000000 86.162 172.9641
437.000000 86.126 173.3977
444.000000 86.086 173.9163
450.000000 86.051 174.3664
455.000000 86.023 174.7412
462.000000 85.984 175.2586
468.000000 85.956 175.6982
475.000000 85.926 176.2047
482.000000 85.894 176.7238
487.000000 85.870 177.1005
494.000000 85.840 177.6184
500.000000 85.816 178.0621
508.000000 85.785 178.6590
515.000000 85.760 179.1787
522.000000 85.737 179.6950
530.000000 85.710 -179.7144
538.000000 85.686 -179.1162
545.000000 85.668 -178.5952
552.000000 85.649 -178.0804
560.000000 85.630 -177.4937
570.000000 85.610 -176.7413
580.000000 85.590 -175.9868
590.000000 85.574 -175.2444
600.000000 85.560 -174.5054
608.000000 85.551 -173.9153
615.000000 85.546 -173.3868
622.000000 85.542 -172.8555
630.000000 85.538 -172.2595
640.000000 85.534 -171.5097
650.000000 85.532 -170.7569
660.000000 85.532 -170.0125
670.000000 85.535 -169.2612
680.000000 85.541 -168.5006
690.000000 85.549 -167.7502
700.000000 85.559 -167.0017
710.000000 85.573 -166.2335
720.000000 85.590 -165.4580
730.000000 85.610 -164.6895
740.000000 85.632 -163.9279
750.000000 85.657 -163.1617
762.000000 85.691 -162.2354
775.000000 85.734 -161.2365
788.000000 85.782 -160.2299
800.000000 85.832 -159.3102
812.000000 85.887 -158.4034
825.000000 85.953 -157.4278
838.000000 86.025 -156.4603
850.000000 86.098 -155.5660
862.000000 86.174 -154.6799
875.000000 86.264 -153.7527
885.000000 86.339 -153.0595
900.000000 86.458 -152.0425
912.000000 86.559 -151.2511
925.000000 86.675 -150.4211
938.000000 86.796 -149.6305
950.000000 86.913 -148.9366
962.000000 87.034 -148.2746
975.000000 87.171 -147.6016
988.000000 87.311 -146.9869
1000.000000 87.444 -146.4745
1015.000000 87.613 -145.8999
1030.000000 87.784 -145.3999
1044.000000 87.942 -144.9991
1060.000000 88.119 -144.6215
1075.000000 88.279 -144.3310
1090.000000 88.435 -144.0713
1106.000000 88.598 -143.8133
1120.000000 88.740 -143.6059
1138.000000 88.921 -143.3822
1150.000000 89.042 -143.2594
1172.000000 89.264 -143.0920
1180.000000 89.344 -143.0529
1206.000000 89.599 -143.0114
1220.000000 89.733 -143.0373
1241.000000 89.928 -143.1210
1250.000000 90.009 -143.1704
1265.000000 90.142 -143.2686
1280.000000 90.271 -143.3878
1315.000000 90.562 -143.7324
1320.000000 90.602 -143.7871
1340.000000 90.761 -144.0230
1360.000000 90.915 -144.2831
1380.000000 91.065 -144.5592
1400.000000 91.212 -144.8506
1430.000000 91.427 -145.3126
1450.000000 91.568 -145.6482
1475.000000 91.741 -146.1001
1500.000000 91.909 -146.5832
1525.000000 92.076 -147.1019
1550.000000 92.239 -147.6597
1575.000000 92.399 -148.2615
1600.000000 92.554 -148.9042
1625.000000 92.705 -149.5881
1650.000000 92.851 -150.3198
1675.000000 92.992 -151.0970
1700.000000 93.126 -151.9186
1725.000000 93.254 -152.7807
1750.000000 93.374 -153.6840
1775.000000 93.487 -154.6316
1800.000000 93.591 -155.6186
1825.000000 93.686 -156.6362
1850.000000 93.771 -157.6776
1875.000000 93.846 -158.7447
1900.000000 93.911 -159.8324
1925.000000 93.964 -160.9326
1950.000000 94.006 -162.0358
1975.000000 94.038 -163.1387
2000.000000 94.058 -164.2384
2030.000000 94.068 -165.5450
2060.000000 94.064 -166.8250
2090.000000 94.044 -168.0637
2120.000000 94.012 -169.2586
2140.000000 93.983 -170.0284
2180.000000 93.910 -171.4916
2200.000000 93.867 -172.1789
2240.000000 93.769 -173.4639
2270.000000 93.687 -174.3491
2300.000000 93.597 -175.1647
2330.000000 93.502 -175.9086
2360.000000 93.403 -176.5771
2400.000000 93.268 -177.3532
2430.000000 93.163 -177.8559
2470.000000 93.021 -178.4265
2500.000000 92.915 -178.7796
2540.000000 92.776 -179.1506
2580.000000 92.639 -179.4175
2620.000000 92.505 -179.5950
2650.000000 92.407 -179.6727
2690.000000 92.282 -179.7048
2720.000000 92.192 -179.6761
2760.000000 92.077 -179.5736
2800.000000 91.968 -179.4032
2850.000000 91.841 -179.1036
2900.000000 91.725 -178.7084
2950.000000 91.620 -178.2169
3000.000000 91.527 -177.6260
3040.000000 91.463 -177.0626
3070.000000 91.425 -176.5803
3110.000000 91.391 -175.8698
3150.000000 91.384 -175.1228
3200.000000 91.412 -174.2434
3250.000000 91.472 -173.5412
3300.000000 91.543 -173.0337
3350.000000 91.613 -172.6525
3400.000000 91.680 -172.3340
3450.000000 91.748 -172.0411
3500.000000 91.821 -171.7630
3550.000000 91.902 -171.5061
3600.000000 91.994 -171.2836
3650.000000 92.096 -171.1155
3700.000000 92.208 -171.0121
3750.000000 92.331 -170.9860
3820.000000 92.519 -171.1038
3870.000000 92.662 -171.3193
3950.000000 92.903 -171.9269
4000.000000 93.058 -172.4938
4060.000000 93.243 -173.3888
4120.000000 93.422 -174.5165
4180.000000 93.589 -175.8831
4250.000000 93.760 -177.7849
4310.000000 93.876 -179.6760
4370.000000 93.956 178.2184
4440.000000 93.995 175.5474
4500.000000 93.974 173.1263
4550.000000 93.915 171.0555
4620.000000 93.762 168.1503
4680.000000 93.564 165.7467
4750.000000 93.259 163.1815
4820.000000 92.884 161.0152
4870.000000 92.585 159.7802
4940.000000 92.146 158.5205
5000.000000 91.767 157.8379
5080.000000 91.276 157.3856
5150.000000 90.866 157.3320
5220.000000 90.474 157.5278
5300.000000 90.046 158.0026
5380.000000 89.636 158.7268
5450.000000 89.290 159.5770
5520.000000 88.963 160.6537
5600.000000 88.621 162.1219
