* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Apr 4, 2025 12:56:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QDC Superior EX S1 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.426 -132.9026
20.600000 94.459 -133.6640
20.900000 94.494 -134.4681
21.200001 94.530 -135.2612
21.400000 94.554 -135.7879
21.799999 94.604 -136.8485
22.000000 94.628 -137.3840
22.400000 94.671 -138.4576
22.700001 94.698 -139.2522
23.000000 94.721 -140.0262
23.299999 94.742 -140.7745
23.600000 94.762 -141.4984
24.000000 94.791 -142.4358
24.299999 94.814 -143.1257
24.700001 94.847 -144.0304
25.000000 94.870 -144.6929
25.400000 94.901 -145.5447
25.799999 94.929 -146.3580
26.200001 94.956 -147.1445
26.500000 94.975 -147.7292
26.900000 94.998 -148.5142
27.200001 95.011 -149.1085
27.600000 95.024 -149.8996
28.000000 95.034 -150.6761
28.500000 95.047 -151.6130
29.000000 95.063 -152.5146
29.500000 95.079 -153.3885
30.000000 95.093 -154.2358
30.400000 95.102 -154.8953
30.700001 95.108 -155.3823
31.100000 95.117 -156.0273
31.500000 95.124 -156.6708
32.000000 95.133 -157.4678
32.500000 95.140 -158.2405
33.000000 95.146 -158.9778
33.500000 95.149 -159.6845
34.000000 95.151 -160.3738
34.500000 95.149 -161.0545
35.000000 95.144 -161.7293
35.500000 95.140 -162.3985
36.000000 95.137 -163.0606
36.500000 95.135 -163.7114
37.000000 95.134 -164.3458
37.500000 95.131 -164.9633
38.200001 95.125 -165.8059
38.700001 95.118 -166.3938
39.500000 95.107 -167.3080
40.000000 95.102 -167.8681
40.599998 95.095 -168.5372
41.200001 95.084 -169.1998
41.799999 95.069 -169.8460
42.500000 95.051 -170.5794
43.099998 95.039 -171.1986
43.700001 95.030 -171.8055
44.400002 95.020 -172.4812
45.000000 95.007 -173.0233
45.500000 94.992 -173.4482
46.200001 94.966 -174.0143
46.799999 94.947 -174.5017
47.500000 94.928 -175.1072
48.200001 94.911 -175.7263
48.700001 94.898 -176.1410
49.400002 94.883 -176.6800
50.000000 94.870 -177.1459
50.799999 94.844 -177.8057
51.500000 94.811 -178.3664
52.200001 94.780 -178.8793
53.000000 94.749 -179.4531
53.799999 94.715 179.9681
54.500000 94.685 179.4810
55.200001 94.660 179.0045
56.000000 94.630 178.4734
57.000000 94.587 177.8366
58.000000 94.537 177.0690
59.000000 94.470 176.2909
60.000000 94.433 175.7867
60.799999 94.429 175.4172
61.500000 94.415 175.0422
62.200001 94.384 174.6691
63.000000 94.344 174.2599
64.000000 94.300 173.7454
65.000000 94.257 173.2496
66.000000 94.212 172.7661
67.000000 94.167 172.2657
68.000000 94.128 171.7461
69.000000 94.096 171.2511
70.000000 94.064 170.7810
71.000000 94.021 170.3262
72.000000 93.969 169.9029
73.000000 93.920 169.4897
74.000000 93.875 169.0760
75.000000 93.832 168.6906
76.199997 93.781 168.2469
77.500000 93.725 167.7655
78.800003 93.664 167.2948
80.000000 93.604 166.8483
81.199997 93.550 166.4164
82.500000 93.499 166.0014
83.800003 93.448 165.5969
85.000000 93.395 165.2305
86.199997 93.340 164.8658
87.500000 93.281 164.4666
88.500000 93.238 164.1773
90.000000 93.172 163.7674
91.199997 93.116 163.4487
92.500000 93.058 163.1155
93.800003 93.004 162.7881
95.000000 92.952 162.5072
96.199997 92.899 162.2440
97.500000 92.845 161.9897
98.800003 92.795 161.8343
100.000000 92.747 161.6638
101.500000 92.671 161.2252
103.000000 92.600 160.8495
104.400002 92.538 160.5764
106.000000 92.464 160.2256
107.500000 92.409 159.9270
109.000000 92.350 159.6338
110.599998 92.275 159.3588
112.000000 92.214 159.1915
113.800003 92.139 158.9921
115.000000 92.091 158.8421
117.199997 92.000 158.5775
118.000000 91.962 158.4959
120.599998 91.844 158.2099
122.000000 91.797 158.0122
124.099998 91.721 157.7760
125.000000 91.685 157.6930
126.500000 91.626 157.5511
128.000000 91.569 157.4142
131.500000 91.446 157.1063
132.000000 91.428 157.0606
134.000000 91.357 156.8886
136.000000 91.283 156.7416
138.000000 91.210 156.6118
140.000000 91.138 156.4654
143.000000 91.036 156.2642
145.000000 90.961 156.1565
147.500000 90.871 156.0331
150.000000 90.787 155.9516
152.500000 90.705 155.9251
155.000000 90.612 155.7546
157.500000 90.529 155.7044
160.000000 90.453 155.7299
162.500000 90.363 155.6147
165.000000 90.273 155.5483
167.500000 90.189 155.5526
170.000000 90.110 155.6020
172.500000 90.033 155.6535
175.000000 89.957 155.7547
177.500000 89.895 155.8669
180.000000 89.838 155.9098
182.500000 89.780 155.9193
185.000000 89.721 155.9265
187.500000 89.660 155.9238
190.000000 89.597 155.9121
192.500000 89.529 155.8895
195.000000 89.459 155.8707
197.500000 89.396 155.8650
200.000000 89.337 155.8867
203.000000 89.264 156.0110
206.000000 89.188 156.1082
209.000000 89.112 156.1930
212.000000 89.034 156.2837
214.000000 88.984 156.3512
218.000000 88.891 156.5106
220.000000 88.846 156.5987
224.000000 88.758 156.7698
227.000000 88.691 156.9041
230.000000 88.626 157.0444
233.000000 88.565 157.1979
236.000000 88.509 157.3685
240.000000 88.430 157.5786
243.000000 88.368 157.6843
247.000000 88.288 157.8502
250.000000 88.230 157.9982
254.000000 88.155 158.2151
258.000000 88.078 158.4371
262.000000 88.004 158.6708
265.000000 87.952 158.8458
269.000000 87.882 159.0737
272.000000 87.829 159.2585
276.000000 87.760 159.5216
280.000000 87.694 159.8012
285.000000 87.614 160.1380
290.000000 87.539 160.4747
295.000000 87.473 160.8312
300.000000 87.404 161.1671
304.000000 87.345 161.4049
307.000000 87.300 161.5976
311.000000 87.242 161.8759
315.000000 87.188 162.1646
320.000000 87.124 162.5307
325.000000 87.063 162.8761
330.000000 87.002 163.2189
335.000000 86.942 163.5830
340.000000 86.883 163.9526
345.000000 86.825 164.3070
350.000000 86.769 164.6546
355.000000 86.714 164.9972
360.000000 86.660 165.3735
365.000000 86.610 165.7744
370.000000 86.559 166.1618
375.000000 86.511 166.5374
382.000000 86.448 167.0753
387.000000 86.405 167.4553
395.000000 86.333 168.0652
400.000000 86.288 168.4593
406.000000 86.239 168.9152
412.000000 86.194 169.3481
418.000000 86.149 169.8163
425.000000 86.099 170.3769
431.000000 86.057 170.8392
437.000000 86.016 171.2983
444.000000 85.969 171.8308
450.000000 85.930 172.2994
455.000000 85.900 172.6990
462.000000 85.858 173.2434
468.000000 85.822 173.6996
475.000000 85.782 174.2549
482.000000 85.746 174.8078
487.000000 85.721 175.2021
494.000000 85.688 175.7651
500.000000 85.661 176.2610
508.000000 85.624 176.9084
515.000000 85.593 177.4865
522.000000 85.567 178.0645
530.000000 85.540 178.7174
538.000000 85.516 179.3771
545.000000 85.497 179.9471
552.000000 85.481 -179.4883
560.000000 85.463 -178.8535
570.000000 85.444 -178.0690
580.000000 85.428 -177.3017
590.000000 85.412 -176.5191
600.000000 85.395 -175.7416
608.000000 85.382 -175.1217
615.000000 85.372 -174.5654
622.000000 85.364 -174.0041
630.000000 85.357 -173.3544
640.000000 85.352 -172.5440
650.000000 85.348 -171.7352
660.000000 85.345 -170.9120
670.000000 85.345 -170.0761
680.000000 85.351 -169.2200
690.000000 85.361 -168.3571
700.000000 85.374 -167.4884
710.000000 85.392 -166.6215
720.000000 85.416 -165.7558
730.000000 85.446 -164.8837
740.000000 85.480 -164.0133
750.000000 85.520 -163.1544
762.000000 85.576 -162.1297
775.000000 85.643 -161.0532
788.000000 85.720 -160.0135
800.000000 85.797 -159.0996
812.000000 85.880 -158.2170
825.000000 85.973 -157.3067
838.000000 86.068 -156.4329
850.000000 86.157 -155.6516
862.000000 86.247 -154.8896
875.000000 86.347 -154.0705
885.000000 86.428 -153.4490
900.000000 86.555 -152.5276
912.000000 86.663 -151.8203
925.000000 86.788 -151.1056
938.000000 86.918 -150.4345
950.000000 87.040 -149.8634
962.000000 87.163 -149.3365
975.000000 87.296 -148.8126
988.000000 87.431 -148.3303
1000.000000 87.555 -147.9187
1015.000000 87.711 -147.4555
1030.000000 87.866 -147.0413
1044.000000 88.012 -146.6969
1060.000000 88.177 -146.3549
1075.000000 88.331 -146.0793
1090.000000 88.484 -145.8528
1106.000000 88.645 -145.6541
1120.000000 88.784 -145.5119
1138.000000 88.959 -145.3805
1150.000000 89.073 -145.3215
1172.000000 89.279 -145.2684
1180.000000 89.352 -145.2647
1206.000000 89.584 -145.3051
1220.000000 89.706 -145.3540
1241.000000 89.884 -145.4551
1250.000000 89.958 -145.5094
1265.000000 90.081 -145.6162
1280.000000 90.201 -145.7414
1315.000000 90.471 -146.0817
1320.000000 90.509 -146.1354
1340.000000 90.657 -146.3642
1360.000000 90.803 -146.6232
1380.000000 90.945 -146.9038
1400.000000 91.085 -147.2024
1430.000000 91.289 -147.6951
1450.000000 91.422 -148.0469
1475.000000 91.585 -148.5184
1500.000000 91.744 -149.0328
1525.000000 91.900 -149.5857
1550.000000 92.050 -150.1767
1575.000000 92.197 -150.8087
1600.000000 92.338 -151.4821
1625.000000 92.475 -152.1949
1650.000000 92.605 -152.9514
1675.000000 92.729 -153.7477
1700.000000 92.846 -154.5806
1725.000000 92.955 -155.4542
1750.000000 93.056 -156.3649
1775.000000 93.149 -157.3031
1800.000000 93.233 -158.2670
1825.000000 93.308 -159.2558
1850.000000 93.372 -160.2632
1875.000000 93.427 -161.2812
1900.000000 93.471 -162.3047
1925.000000 93.505 -163.3338
1950.000000 93.529 -164.3613
1975.000000 93.543 -165.3790
2000.000000 93.547 -166.3831
2030.000000 93.539 -167.5587
2060.000000 93.518 -168.6988
2090.000000 93.485 -169.7972
2120.000000 93.441 -170.8464
2140.000000 93.405 -171.5168
2180.000000 93.322 -172.7814
2200.000000 93.275 -173.3709
2240.000000 93.171 -174.4646
2270.000000 93.087 -175.2113
2300.000000 92.997 -175.8932
2330.000000 92.905 -176.5102
2360.000000 92.809 -177.0628
2400.000000 92.678 -177.6995
2430.000000 92.578 -178.1070
2470.000000 92.445 -178.5633
2500.000000 92.345 -178.8412
2540.000000 92.214 -179.1310
2580.000000 92.085 -179.3396
2620.000000 91.959 -179.4643
2650.000000 91.867 -179.5081
2690.000000 91.747 -179.5070
2720.000000 91.660 -179.4636
2760.000000 91.547 -179.3492
2800.000000 91.439 -179.1745
2850.000000 91.310 -178.8722
2900.000000 91.186 -178.4733
2950.000000 91.070 -177.9549
3000.000000 90.965 -177.2946
3040.000000 90.895 -176.6541
3070.000000 90.853 -176.1064
3110.000000 90.820 -175.3114
3150.000000 90.815 -174.5137
3200.000000 90.847 -173.6394
3250.000000 90.898 -172.9711
3300.000000 90.951 -172.4610
3350.000000 90.999 -172.0235
3400.000000 91.046 -171.6007
3450.000000 91.096 -171.1797
3500.000000 91.155 -170.7641
3550.000000 91.225 -170.3625
3600.000000 91.306 -169.9901
3650.000000 91.399 -169.6652
3700.000000 91.503 -169.4033
3750.000000 91.617 -169.2176
3820.000000 91.793 -169.1045
3870.000000 91.927 -169.1422
3950.000000 92.155 -169.4335
4000.000000 92.302 -169.7668
4060.000000 92.481 -170.3307
4120.000000 92.661 -171.0853
4180.000000 92.839 -172.0507
4250.000000 93.038 -173.4790
4310.000000 93.194 -174.9868
4370.000000 93.325 -176.7647
4440.000000 93.433 -179.1612
4500.000000 93.474 178.5537
4550.000000 93.465 176.5363
4620.000000 93.377 173.6397
4680.000000 93.229 171.2013
4750.000000 92.975 168.5688
4820.000000 92.648 166.3160
4870.000000 92.384 164.9937
4940.000000 91.990 163.5513
5000.000000 91.644 162.6573
5080.000000 91.180 161.8865
5150.000000 90.778 161.5614
5220.000000 90.383 161.5202
5300.000000 89.942 161.7878
5380.000000 89.510 162.4064
5450.000000 89.149 163.2657
5520.000000 88.815 164.3691
5600.000000 88.467 165.8607
5700.000000 88.085 168.0437
