* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -38.0 dBFS with no timing reference
* Dated: Feb 10, 2025 8:57:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QDC Superior EX R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 93.935 -119.2163
20.600000 93.992 -120.0092
20.900000 94.053 -120.8805
21.200001 94.113 -121.7707
21.400000 94.151 -122.3684
21.799999 94.224 -123.5532
22.000000 94.260 -124.1300
22.400000 94.332 -125.2359
22.700001 94.388 -126.0242
23.000000 94.446 -126.7890
23.299999 94.505 -127.5445
23.600000 94.562 -128.3014
24.000000 94.632 -129.3144
24.299999 94.676 -130.0667
24.700001 94.727 -131.0378
25.000000 94.761 -131.7323
25.400000 94.804 -132.6156
25.799999 94.847 -133.4691
26.200001 94.891 -134.3166
26.500000 94.923 -134.9552
26.900000 94.961 -135.8077
27.200001 94.988 -136.4420
27.600000 95.024 -137.2758
28.000000 95.063 -138.0998
28.500000 95.114 -139.1283
29.000000 95.161 -140.1468
29.500000 95.197 -141.1124
30.000000 95.223 -141.9929
30.400000 95.243 -142.6568
30.700001 95.260 -143.1605
31.100000 95.284 -143.8735
31.500000 95.307 -144.6444
32.000000 95.330 -145.6421
32.500000 95.351 -146.5849
33.000000 95.380 -147.4165
33.500000 95.418 -148.1589
34.000000 95.457 -148.8622
34.500000 95.487 -149.5502
35.000000 95.504 -150.2277
35.500000 95.514 -150.9102
36.000000 95.521 -151.6157
36.500000 95.527 -152.3337
37.000000 95.537 -153.0347
37.500000 95.554 -153.7093
38.200001 95.586 -154.6450
38.700001 95.602 -155.3067
39.500000 95.612 -156.2872
40.000000 95.620 -156.8730
40.599998 95.631 -157.6241
41.200001 95.637 -158.4143
41.799999 95.638 -159.1464
42.500000 95.645 -159.8830
43.099998 95.656 -160.4715
43.700001 95.659 -161.0397
44.400002 95.657 -161.6726
45.000000 95.661 -162.2576
45.500000 95.667 -162.8176
46.200001 95.665 -163.6514
46.799999 95.655 -164.3066
47.500000 95.645 -164.9778
48.200001 95.637 -165.6356
48.700001 95.628 -166.1224
49.400002 95.612 -166.7929
50.000000 95.599 -167.3160
50.799999 95.590 -167.9367
51.500000 95.589 -168.4779
52.200001 95.588 -169.0866
53.000000 95.578 -169.8547
53.799999 95.559 -170.5907
54.500000 95.538 -171.1223
55.200001 95.521 -171.5613
56.000000 95.511 -172.0699
57.000000 95.500 -172.8644
58.000000 95.469 -173.7591
59.000000 95.419 -174.5013
60.000000 95.387 -175.0683
60.799999 95.380 -175.5437
61.500000 95.374 -175.9738
62.200001 95.367 -176.3765
63.000000 95.358 -176.8401
64.000000 95.338 -177.4925
65.000000 95.311 -178.1535
66.000000 95.285 -178.7997
67.000000 95.251 -179.4230
68.000000 95.211 -179.9684
69.000000 95.170 179.5207
70.000000 95.126 179.0201
71.000000 95.089 178.5474
72.000000 95.062 178.0905
73.000000 95.038 177.6382
74.000000 95.008 177.1678
75.000000 94.975 176.6819
76.199997 94.937 176.1045
77.500000 94.897 175.5087
78.800003 94.853 174.9639
80.000000 94.811 174.4734
81.199997 94.769 173.9544
82.500000 94.728 173.4105
83.800003 94.697 172.9243
85.000000 94.659 172.4816
86.199997 94.606 172.0730
87.500000 94.550 171.6534
88.500000 94.511 171.3286
90.000000 94.453 170.8101
91.199997 94.408 170.3620
92.500000 94.363 169.8884
93.800003 94.321 169.4872
95.000000 94.282 169.1699
96.199997 94.238 168.8736
97.500000 94.186 168.5205
98.800003 94.133 168.1212
100.000000 94.087 167.7585
101.500000 94.033 167.3904
103.000000 93.977 167.0305
104.400002 93.926 166.6678
106.000000 93.872 166.3024
107.500000 93.819 165.9765
109.000000 93.763 165.6250
110.599998 93.709 165.2825
112.000000 93.657 165.0303
113.800003 93.586 164.6659
115.000000 93.543 164.4124
117.199997 93.468 164.0135
118.000000 93.440 163.8756
120.599998 93.348 163.4425
122.000000 93.295 163.2260
124.099998 93.220 162.8956
125.000000 93.189 162.7599
126.500000 93.136 162.5453
128.000000 93.082 162.3361
131.500000 92.958 161.8659
132.000000 92.940 161.8004
134.000000 92.870 161.5440
136.000000 92.802 161.3052
138.000000 92.735 161.0698
140.000000 92.669 160.8574
143.000000 92.564 160.5726
145.000000 92.497 160.3857
147.500000 92.409 160.1432
150.000000 92.315 159.8976
152.500000 92.230 159.7558
155.000000 92.144 159.6049
157.500000 92.059 159.4182
160.000000 91.971 159.2109
162.500000 91.881 159.3393
165.000000 91.804 159.5520
167.500000 91.743 159.7148
170.000000 91.701 159.7498
172.500000 91.673 159.6190
175.000000 91.634 159.4164
177.500000 91.582 159.2133
180.000000 91.511 159.0316
182.500000 91.439 158.9217
185.000000 91.376 158.8146
187.500000 91.312 158.6960
190.000000 91.247 158.5961
192.500000 91.182 158.5451
195.000000 91.110 158.5005
197.500000 91.034 158.4980
200.000000 90.965 158.5364
203.000000 90.899 158.5676
206.000000 90.829 158.5587
209.000000 90.758 158.5323
212.000000 90.684 158.4943
214.000000 90.634 158.5186
218.000000 90.540 158.6132
220.000000 90.494 158.6652
224.000000 90.408 158.7563
227.000000 90.342 158.8050
230.000000 90.277 158.8787
233.000000 90.217 158.9960
236.000000 90.172 159.1284
240.000000 90.113 159.1280
243.000000 90.029 159.2206
247.000000 89.924 159.3630
250.000000 89.863 159.4592
254.000000 89.789 159.6304
258.000000 89.713 159.7822
262.000000 89.640 159.9290
265.000000 89.586 160.0526
269.000000 89.514 160.2203
272.000000 89.463 160.3524
276.000000 89.395 160.5458
280.000000 89.327 160.7535
285.000000 89.242 161.0151
290.000000 89.160 161.2721
295.000000 89.083 161.5106
300.000000 89.001 161.7589
304.000000 88.941 161.9944
307.000000 88.902 162.1718
311.000000 88.852 162.4187
315.000000 88.798 162.6705
320.000000 88.729 162.9748
325.000000 88.658 163.2657
330.000000 88.598 163.5888
335.000000 88.541 163.9277
340.000000 88.477 164.2260
345.000000 88.412 164.5228
350.000000 88.355 164.8273
355.000000 88.296 165.1569
360.000000 88.239 165.4919
365.000000 88.188 165.8184
370.000000 88.136 166.1279
375.000000 88.083 166.4556
382.000000 88.020 166.9478
387.000000 87.972 167.2723
395.000000 87.887 167.8771
400.000000 87.842 168.2847
406.000000 87.798 168.7480
412.000000 87.756 169.1472
418.000000 87.712 169.5179
425.000000 87.657 169.9664
431.000000 87.609 170.3913
437.000000 87.562 170.8462
444.000000 87.507 171.3374
450.000000 87.464 171.7262
455.000000 87.434 172.0795
462.000000 87.390 172.6123
468.000000 87.353 173.0599
475.000000 87.313 173.5856
482.000000 87.275 174.1023
487.000000 87.249 174.4763
494.000000 87.214 174.9927
500.000000 87.185 175.4275
508.000000 87.148 176.0163
515.000000 87.118 176.5466
522.000000 87.090 177.0719
530.000000 87.059 177.6517
538.000000 87.031 178.2542
545.000000 87.006 178.7885
552.000000 86.982 179.3050
560.000000 86.958 179.8823
570.000000 86.932 -179.3903
580.000000 86.909 -178.6455
590.000000 86.887 -177.9143
600.000000 86.867 -177.1885
608.000000 86.853 -176.5886
615.000000 86.842 -176.0648
622.000000 86.833 -175.5417
630.000000 86.823 -174.9412
640.000000 86.811 -174.1881
650.000000 86.803 -173.4430
660.000000 86.798 -172.7023
670.000000 86.796 -171.9454
680.000000 86.795 -171.1845
690.000000 86.797 -170.4350
700.000000 86.802 -169.6776
710.000000 86.809 -168.9034
720.000000 86.819 -168.1264
730.000000 86.835 -167.3605
740.000000 86.853 -166.6055
750.000000 86.874 -165.8476
762.000000 86.902 -164.9232
775.000000 86.937 -163.9176
788.000000 86.978 -162.9182
800.000000 87.022 -162.0020
812.000000 87.071 -161.0903
825.000000 87.130 -160.1132
838.000000 87.195 -159.1537
850.000000 87.260 -158.2824
862.000000 87.329 -157.4185
875.000000 87.411 -156.4962
885.000000 87.479 -155.8052
900.000000 87.588 -154.8004
912.000000 87.679 -154.0334
925.000000 87.779 -153.2470
938.000000 87.881 -152.5002
950.000000 87.974 -151.8339
962.000000 88.065 -151.1612
975.000000 88.163 -150.3963
988.000000 88.269 -149.5749
1000.000000 88.382 -148.7905
1015.000000 88.548 -147.8586
1030.000000 88.732 -147.0625
1044.000000 88.910 -146.4643
1060.000000 89.110 -145.9254
1075.000000 89.295 -145.5235
1090.000000 89.476 -145.1958
1106.000000 89.664 -144.9158
1120.000000 89.826 -144.7264
1138.000000 90.029 -144.5544
1150.000000 90.160 -144.4710
1172.000000 90.392 -144.3810
1180.000000 90.474 -144.3685
1206.000000 90.733 -144.3905
1220.000000 90.867 -144.4388
1241.000000 91.062 -144.5502
1250.000000 91.144 -144.6097
1265.000000 91.277 -144.7227
1280.000000 91.407 -144.8499
1315.000000 91.698 -145.1931
1320.000000 91.738 -145.2477
1340.000000 91.897 -145.4774
1360.000000 92.053 -145.7238
1380.000000 92.205 -145.9897
1400.000000 92.354 -146.2804
1430.000000 92.573 -146.7494
1450.000000 92.716 -147.0803
1475.000000 92.892 -147.5233
1500.000000 93.065 -148.0053
1525.000000 93.234 -148.5247
1550.000000 93.399 -149.0811
1575.000000 93.562 -149.6791
1600.000000 93.722 -150.3211
1625.000000 93.877 -151.0073
1650.000000 94.026 -151.7360
1675.000000 94.171 -152.5151
1700.000000 94.311 -153.3385
1725.000000 94.444 -154.2027
1750.000000 94.569 -155.1096
1775.000000 94.687 -156.0592
1800.000000 94.797 -157.0480
1825.000000 94.898 -158.0713
1850.000000 94.989 -159.1238
1875.000000 95.071 -160.2033
1900.000000 95.142 -161.3054
1925.000000 95.203 -162.4223
1950.000000 95.253 -163.5471
1975.000000 95.292 -164.6751
2000.000000 95.320 -165.8015
2030.000000 95.340 -167.1436
2060.000000 95.344 -168.4617
2090.000000 95.334 -169.7459
2120.000000 95.310 -170.9886
2140.000000 95.287 -171.7922
2180.000000 95.225 -173.3297
2200.000000 95.187 -174.0591
2240.000000 95.099 -175.4332
2270.000000 95.023 -176.3854
2300.000000 94.941 -177.2655
2330.000000 94.853 -178.0760
2360.000000 94.760 -178.8182
2400.000000 94.631 -179.6976
2430.000000 94.532 179.7224
2470.000000 94.397 179.0530
2500.000000 94.295 178.6266
2540.000000 94.161 178.1536
2580.000000 94.028 177.7845
2620.000000 93.899 177.5066
2650.000000 93.806 177.3547
2690.000000 93.684 177.2212
2720.000000 93.596 177.1697
2760.000000 93.482 177.1700
2800.000000 93.373 177.2488
2850.000000 93.245 177.4519
2900.000000 93.126 177.7903
2950.000000 93.023 178.2887
3000.000000 92.946 178.9680
3040.000000 92.915 179.6093
3070.000000 92.914 -179.9069
3110.000000 92.940 -179.3426
3150.000000 92.987 -178.9383
3200.000000 93.051 -178.6545
3250.000000 93.107 -178.5143
3300.000000 93.156 -178.4200
3350.000000 93.204 -178.3333
3400.000000 93.257 -178.2417
3450.000000 93.318 -178.1483
3500.000000 93.392 -178.0724
3550.000000 93.480 -178.0363
3600.000000 93.583 -178.0691
3650.000000 93.701 -178.2073
3700.000000 93.830 -178.4754
3750.000000 93.966 -178.8904
3820.000000 94.164 -179.7419
3870.000000 94.305 179.4478
3950.000000 94.521 177.7920
4000.000000 94.643 176.5264
4060.000000 94.771 174.7737
4120.000000 94.871 172.7785
4180.000000 94.934 170.5609
4250.000000 94.951 167.7399
4310.000000 94.911 165.1789
4370.000000 94.813 162.5464
4440.000000 94.621 159.4804
4500.000000 94.388 156.9507
4550.000000 94.147 154.9795
4620.000000 93.743 152.5446
4680.000000 93.348 150.8616
4750.000000 92.858 149.4417
4820.000000 92.362 148.5732
4870.000000 92.016 148.2287
4940.000000 91.549 148.0444
5000.000000 91.163 148.1129
5080.000000 90.668 148.4853
5150.000000 90.254 149.0594
5220.000000 89.859 149.8432
5300.000000 89.430 150.9732
5380.000000 89.029 152.3269
5450.000000 88.699 153.6799
5520.000000 88.392 155.1879
5600.000000 88.071 157.0868
5700.000000 87.717 159.6934
5800.000000 87.423 162.5057
