* Measurement data measured by REW V5.30
* Source: EXCL: Q5K Mic (Qudelix-5K USB DAC/MIC 48KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 11, 2024 1:54:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QKZ x HBB (AET07) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 92.502 -151.5161
20.600000 92.514 -152.2619
20.900000 92.525 -153.0424
21.200001 92.539 -153.8021
21.400000 92.550 -154.3003
21.799999 92.576 -155.2914
22.000000 92.590 -155.7885
22.400000 92.619 -156.7879
22.700001 92.639 -157.5379
23.000000 92.655 -158.2821
23.299999 92.668 -159.0146
23.600000 92.677 -159.7312
24.000000 92.686 -160.6580
24.299999 92.691 -161.3312
24.700001 92.699 -162.2011
25.000000 92.705 -162.8348
25.400000 92.715 -163.6593
25.799999 92.726 -164.4668
26.200001 92.736 -165.2649
26.500000 92.742 -165.8605
26.900000 92.746 -166.6512
27.200001 92.747 -167.2391
27.600000 92.746 -168.0101
28.000000 92.743 -168.7608
28.500000 92.741 -169.6676
29.000000 92.740 -170.5422
29.500000 92.737 -171.3821
30.000000 92.730 -172.1762
30.400000 92.723 -172.7769
30.700001 92.717 -173.2148
31.100000 92.712 -173.8003
31.500000 92.709 -174.4091
32.000000 92.704 -175.2178
32.500000 92.695 -176.0562
33.000000 92.680 -176.8742
33.500000 92.664 -177.6364
34.000000 92.651 -178.3455
34.500000 92.641 -179.0270
35.000000 92.632 -179.6992
35.500000 92.622 179.6382
36.000000 92.610 178.9920
36.500000 92.595 178.3618
37.000000 92.577 177.7404
37.500000 92.557 177.1211
38.200001 92.528 176.2540
38.700001 92.511 175.6351
39.500000 92.490 174.6588
40.000000 92.477 174.0724
40.599998 92.456 173.4004
41.200001 92.429 172.7497
41.799999 92.399 172.0995
42.500000 92.369 171.3220
43.099998 92.347 170.6430
43.700001 92.324 169.9929
44.400002 92.292 169.3188
45.000000 92.269 168.7565
45.500000 92.253 168.2343
46.200001 92.226 167.4677
46.799999 92.201 166.9243
47.500000 92.178 166.4251
48.200001 92.128 165.8669
48.700001 92.051 165.4484
49.400002 91.923 165.0105
50.000000 91.868 164.7043
50.799999 91.904 163.9427
51.500000 91.947 162.9929
52.200001 91.940 162.2340
53.000000 91.903 161.6907
53.799999 91.867 161.0814
54.500000 91.834 160.3839
55.200001 91.795 159.7269
56.000000 91.748 159.2107
57.000000 91.694 158.7507
58.000000 91.646 158.1394
59.000000 91.606 157.4302
60.000000 91.572 156.7418
60.799999 91.535 156.2107
61.500000 91.495 155.7570
62.200001 91.455 155.3153
63.000000 91.415 154.8188
64.000000 91.371 154.1526
65.000000 91.318 153.4960
66.000000 91.264 152.9507
67.000000 91.213 152.3807
68.000000 91.157 151.7350
69.000000 91.101 151.0881
70.000000 91.046 150.5308
71.000000 90.995 150.0672
72.000000 90.947 149.5849
73.000000 90.896 149.0845
74.000000 90.846 148.5917
75.000000 90.798 148.0902
76.199997 90.739 147.4786
77.500000 90.667 146.8434
78.800003 90.595 146.2265
80.000000 90.537 145.6783
81.199997 90.478 145.1719
82.500000 90.411 144.6691
83.800003 90.353 144.1276
85.000000 90.295 143.6505
86.199997 90.234 143.2012
87.500000 90.169 142.7041
88.500000 90.114 142.3619
90.000000 90.019 141.8826
91.199997 89.956 141.4266
92.500000 89.900 140.8782
93.800003 89.841 140.3979
95.000000 89.784 139.9772
96.199997 89.728 139.5816
97.500000 89.664 139.1551
98.800003 89.594 138.6644
100.000000 89.531 138.2376
101.500000 89.464 137.8539
103.000000 89.399 137.4634
104.400002 89.335 137.0581
106.000000 89.260 136.6015
107.500000 89.189 136.1917
109.000000 89.118 135.7875
110.599998 89.044 135.3707
112.000000 88.980 135.0204
113.800003 88.900 134.5570
115.000000 88.847 134.2491
117.199997 88.746 133.7615
118.000000 88.712 133.5754
120.599998 88.604 132.9515
122.000000 88.542 132.6584
124.099998 88.448 132.2401
125.000000 88.409 132.0489
126.500000 88.340 131.7361
128.000000 88.253 131.4838
131.500000 88.077 130.7881
132.000000 88.059 130.6745
134.000000 87.970 130.2731
136.000000 87.901 129.9087
138.000000 87.822 129.7166
140.000000 87.701 129.3941
143.000000 87.627 128.7842
145.000000 87.561 128.3559
147.500000 87.496 128.2162
150.000000 87.441 128.3120
152.500000 87.306 127.9216
155.000000 87.191 127.4118
157.500000 87.099 126.9698
160.000000 87.014 126.6762
162.500000 86.972 126.5132
165.000000 86.899 126.3553
167.500000 86.800 126.4432
170.000000 86.749 126.6245
172.500000 86.673 125.9805
175.000000 86.588 125.5012
177.500000 86.527 125.4614
180.000000 86.471 125.4508
182.500000 86.380 124.8351
185.000000 86.289 124.3427
187.500000 86.223 124.1233
190.000000 86.160 124.0315
192.500000 86.071 123.7401
195.000000 85.976 123.4572
197.500000 85.869 123.2411
200.000000 85.773 123.0554
203.000000 85.733 122.9204
206.000000 85.676 122.9691
209.000000 85.598 122.5137
212.000000 85.511 122.1390
214.000000 85.459 122.1644
218.000000 85.390 122.1914
220.000000 85.336 122.1617
224.000000 85.217 122.1641
227.000000 85.156 122.0361
230.000000 85.106 121.9473
233.000000 85.054 121.7669
236.000000 84.993 121.5420
240.000000 84.907 121.1803
243.000000 84.855 120.9565
247.000000 84.775 120.7027
250.000000 84.710 120.5189
254.000000 84.628 120.4789
258.000000 84.545 120.3713
262.000000 84.456 120.2068
265.000000 84.394 120.0846
269.000000 84.321 119.9595
272.000000 84.266 119.8149
276.000000 84.189 119.5684
280.000000 84.121 119.5165
285.000000 84.034 119.4653
290.000000 83.943 119.3970
295.000000 83.867 119.2675
300.000000 83.797 119.1928
304.000000 83.735 119.1321
307.000000 83.691 119.0751
311.000000 83.636 118.9881
315.000000 83.579 118.8681
320.000000 83.506 118.7900
325.000000 83.437 118.7948
330.000000 83.375 118.7260
335.000000 83.312 118.6415
340.000000 83.251 118.5965
345.000000 83.192 118.5135
350.000000 83.137 118.4198
355.000000 83.085 118.3252
360.000000 83.030 118.2162
365.000000 82.972 118.1151
370.000000 82.914 118.0315
375.000000 82.861 117.9249
382.000000 82.789 117.8084
387.000000 82.738 117.7679
395.000000 82.649 117.7301
400.000000 82.593 117.7301
406.000000 82.532 117.7491
412.000000 82.476 117.7814
418.000000 82.425 117.8342
425.000000 82.373 117.8903
431.000000 82.335 117.9234
437.000000 82.300 117.9254
444.000000 82.263 117.9016
450.000000 82.233 117.8597
455.000000 82.208 117.8036
462.000000 82.168 117.7108
468.000000 82.131 117.6353
475.000000 82.088 117.5616
482.000000 82.045 117.5046
487.000000 82.015 117.4749
494.000000 81.973 117.4462
500.000000 81.940 117.4237
508.000000 81.898 117.3918
515.000000 81.861 117.3827
522.000000 81.825 117.3805
530.000000 81.786 117.3721
538.000000 81.751 117.3618
545.000000 81.720 117.3563
552.000000 81.691 117.3590
560.000000 81.660 117.3628
570.000000 81.624 117.3784
580.000000 81.591 117.3926
590.000000 81.561 117.4073
600.000000 81.534 117.4227
608.000000 81.513 117.4387
615.000000 81.496 117.4472
622.000000 81.482 117.4548
630.000000 81.467 117.4727
640.000000 81.450 117.4914
650.000000 81.437 117.5049
660.000000 81.426 117.5052
670.000000 81.418 117.4924
680.000000 81.412 117.4641
690.000000 81.407 117.4064
700.000000 81.400 117.3059
710.000000 81.382 117.1642
720.000000 81.344 117.0465
730.000000 81.292 117.1145
740.000000 81.255 117.4463
750.000000 81.259 117.8419
762.000000 81.297 118.1406
775.000000 81.344 118.2591
788.000000 81.382 118.2471
800.000000 81.401 118.1868
812.000000 81.407 118.1785
825.000000 81.412 118.3041
838.000000 81.432 118.5275
850.000000 81.466 118.7450
862.000000 81.511 118.9376
875.000000 81.569 119.1103
885.000000 81.618 119.2223
900.000000 81.698 119.3655
912.000000 81.765 119.4578
925.000000 81.840 119.5336
938.000000 81.919 119.5789
950.000000 81.996 119.5950
962.000000 82.076 119.5876
975.000000 82.164 119.5564
988.000000 82.255 119.4951
1000.000000 82.340 119.4072
1015.000000 82.450 119.2662
1030.000000 82.561 119.0892
1044.000000 82.666 118.8875
1060.000000 82.788 118.6137
1075.000000 82.902 118.3090
1090.000000 83.015 117.9685
1106.000000 83.135 117.5707
1120.000000 83.239 117.1897
1138.000000 83.370 116.6559
1150.000000 83.456 116.2742
1172.000000 83.610 115.5398
1180.000000 83.665 115.2620
1206.000000 83.836 114.3212
1220.000000 83.925 113.7961
1241.000000 84.053 112.9882
1250.000000 84.107 112.6371
1265.000000 84.195 112.0448
1280.000000 84.280 111.4453
1315.000000 84.471 110.0344
1320.000000 84.498 109.8295
1340.000000 84.601 108.9988
1360.000000 84.703 108.1556
1380.000000 84.801 107.3081
1400.000000 84.897 106.4583
1430.000000 85.037 105.1802
1450.000000 85.128 104.3247
1475.000000 85.240 103.2500
1500.000000 85.349 102.1724
1525.000000 85.457 101.0947
1550.000000 85.563 100.0151
1575.000000 85.667 98.9320
1600.000000 85.770 97.8459
1625.000000 85.871 96.7595
1650.000000 85.971 95.6694
1675.000000 86.070 94.5756
1700.000000 86.167 93.4772
1725.000000 86.263 92.3764
1750.000000 86.358 91.2738
1775.000000 86.452 90.1680
1800.000000 86.546 89.0556
1825.000000 86.637 87.9377
1850.000000 86.728 86.8168
1875.000000 86.817 85.6925
1900.000000 86.904 84.5621
1925.000000 86.990 83.4258
1950.000000 87.075 82.2840
1975.000000 87.159 81.1388
2000.000000 87.242 79.9903
2030.000000 87.341 78.6169
2060.000000 87.441 77.2543
2090.000000 87.541 75.8894
2120.000000 87.641 74.5016
2140.000000 87.708 73.5617
2180.000000 87.841 71.6351
2200.000000 87.908 70.6331
2240.000000 88.034 68.5325
2270.000000 88.117 66.8828
2300.000000 88.187 65.1957
2330.000000 88.242 63.4926
2360.000000 88.281 61.8028
2400.000000 88.313 59.6111
2430.000000 88.325 58.0345
2470.000000 88.330 56.0226
2500.000000 88.329 54.5805
2540.000000 88.325 52.7372
2580.000000 88.319 50.9640
2620.000000 88.312 49.2466
2650.000000 88.306 47.9916
2690.000000 88.297 46.3542
2720.000000 88.290 45.1518
2760.000000 88.280 43.5806
2800.000000 88.268 42.0425
2850.000000 88.253 40.1624
2900.000000 88.237 38.3251
2950.000000 88.220 36.5334
3000.000000 88.202 34.7805
3040.000000 88.187 33.4040
3070.000000 88.176 32.3769
3110.000000 88.160 31.0037
3150.000000 88.144 29.6319
3200.000000 88.122 27.9412
3250.000000 88.100 26.2849
3300.000000 88.078 24.6671
3350.000000 88.057 23.0969
3400.000000 88.042 21.5715
3450.000000 88.034 20.0741
3500.000000 88.036 18.5652
3550.000000 88.047 16.9960
3600.000000 88.059 15.3448
3650.000000 88.066 13.6138
3700.000000 88.064 11.8281
3750.000000 88.051 10.0089
3820.000000 88.017 7.4370
3870.000000 87.981 5.5905
3950.000000 87.904 2.6307
4000.000000 87.843 0.7828
4060.000000 87.756 -1.4296
4120.000000 87.652 -3.6276
4180.000000 87.532 -5.7996
4250.000000 87.371 -8.2839
4310.000000 87.214 -10.3555
4370.000000 87.039 -12.3575
4440.000000 86.815 -14.5911
4500.000000 86.605 -16.4034
4550.000000 86.419 -17.8318
4620.000000 86.140 -19.6938
4680.000000 85.887 -21.1448
4750.000000 85.576 -22.6400
4820.000000 85.253 -23.8900
4870.000000 85.019 -24.6201
4940.000000 84.694 -25.4150
5000.000000 84.422 -25.9076
5080.000000 84.074 -26.3468
5150.000000 83.783 -26.5719
5220.000000 83.501 -26.6724
5300.000000 83.185 -26.6508
5380.000000 82.866 -26.4277
5450.000000 82.590 -25.9478
5520.000000 82.342 -25.1951
5600.000000 82.105 -24.2103
5700.000000 81.857 -22.9064
5800.000000 81.646 -21.5810
5900.000000 81.456 -20.1420
6000.000000 81.295 -18.5403
6080.000000 81.194 -17.1536
6150.000000 81.125 -15.8743
6220.000000 81.077 -14.5427
6300.000000 81.047 -12.9674
6400.000000 81.049 -10.9337
6500.000000 81.098 -8.8457
