* Measurement data measured by REW V5.30
* Source: EXCL: Q5K Mic (Qudelix-5K USB DAC/MIC 48KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 11, 2024 1:57:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QKZ x HBB (AET07) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 92.149 -153.5508
20.600000 92.143 -154.2347
20.900000 92.139 -154.9192
21.200001 92.146 -155.5755
21.400000 92.159 -156.0191
21.799999 92.201 -156.9757
22.000000 92.226 -157.5004
22.400000 92.271 -158.6262
22.700001 92.294 -159.4921
23.000000 92.304 -160.3264
23.299999 92.306 -161.0961
23.600000 92.303 -161.7914
24.000000 92.300 -162.6313
24.299999 92.302 -163.2348
24.700001 92.309 -164.0550
25.000000 92.314 -164.6940
25.400000 92.319 -165.5638
25.799999 92.320 -166.4213
26.200001 92.322 -167.2431
26.500000 92.324 -167.8358
26.900000 92.328 -168.6058
27.200001 92.330 -169.1750
27.600000 92.328 -169.9257
28.000000 92.322 -170.6640
28.500000 92.311 -171.5670
29.000000 92.299 -172.4556
29.500000 92.291 -173.3362
30.000000 92.285 -174.1982
30.400000 92.282 -174.8600
30.700001 92.279 -175.3350
31.100000 92.275 -175.9411
31.500000 92.270 -176.5249
32.000000 92.263 -177.2437
32.500000 92.252 -177.9680
33.000000 92.236 -178.6987
33.500000 92.218 -179.4181
34.000000 92.201 179.8908
34.500000 92.190 179.2266
35.000000 92.183 178.5674
35.500000 92.177 177.8925
36.000000 92.166 177.2031
36.500000 92.147 176.5238
37.000000 92.124 175.8787
37.500000 92.102 175.2682
38.200001 92.077 174.4212
38.700001 92.062 173.7936
39.500000 92.031 172.7918
40.000000 92.010 172.2052
40.599998 91.988 171.5302
41.200001 91.966 170.8479
41.799999 91.936 170.1643
42.500000 91.896 169.4184
43.099998 91.870 168.8171
43.700001 91.854 168.2051
44.400002 91.835 167.4738
45.000000 91.807 166.8834
45.500000 91.778 166.4327
46.200001 91.740 165.8063
46.799999 91.717 165.1982
47.500000 91.692 164.4474
48.200001 91.663 163.8862
48.700001 91.652 163.6652
49.400002 91.656 163.3874
50.000000 91.653 162.9146
50.799999 91.590 161.9601
51.500000 91.505 161.1516
52.200001 91.448 160.4891
53.000000 91.416 159.7937
53.799999 91.382 159.1649
54.500000 91.345 158.6720
55.200001 91.308 158.1569
56.000000 91.267 157.5359
57.000000 91.218 156.8013
58.000000 91.169 156.0997
59.000000 91.115 155.3947
60.000000 91.062 154.7078
60.799999 91.022 154.1917
61.500000 90.985 153.7489
62.200001 90.946 153.2961
63.000000 90.901 152.7737
64.000000 90.849 152.1485
65.000000 90.802 151.5505
66.000000 90.750 150.9513
67.000000 90.693 150.3749
68.000000 90.640 149.8204
69.000000 90.585 149.2667
70.000000 90.530 148.7235
71.000000 90.478 148.1635
72.000000 90.426 147.6621
73.000000 90.380 147.2451
74.000000 90.334 146.7731
75.000000 90.274 146.2404
76.199997 90.197 145.7199
77.500000 90.141 145.2707
78.800003 90.095 144.5978
80.000000 90.030 143.9292
81.199997 89.961 143.3805
82.500000 89.891 142.8396
83.800003 89.822 142.3394
85.000000 89.757 141.9085
86.199997 89.704 141.4456
87.500000 89.646 140.9173
88.500000 89.596 140.4693
90.000000 89.506 139.6868
91.199997 89.441 139.2759
92.500000 89.384 138.9552
93.800003 89.320 138.5356
95.000000 89.261 138.1109
96.199997 89.202 137.7106
97.500000 89.138 137.2908
98.800003 89.083 136.8929
100.000000 89.033 136.5238
101.500000 88.956 136.0475
103.000000 88.878 135.5966
104.400002 88.813 135.1933
106.000000 88.737 134.7520
107.500000 88.667 134.3519
109.000000 88.598 133.9439
110.599998 88.523 133.5163
112.000000 88.459 133.1581
113.800003 88.379 132.7261
115.000000 88.325 132.4462
117.199997 88.229 131.9250
118.000000 88.194 131.7475
120.599998 88.079 131.1816
122.000000 88.027 130.8484
124.099998 87.948 130.3858
125.000000 87.909 130.2062
126.500000 87.836 129.9349
128.000000 87.747 129.6956
131.500000 87.593 128.9029
132.000000 87.580 128.7937
134.000000 87.523 128.4658
136.000000 87.469 128.0424
138.000000 87.420 127.7503
140.000000 87.355 127.5962
143.000000 87.207 126.8814
145.000000 87.118 126.5921
147.500000 87.014 126.3673
150.000000 86.917 126.1693
152.500000 86.831 125.6020
155.000000 86.743 125.1588
157.500000 86.649 124.8597
160.000000 86.556 124.6403
162.500000 86.470 124.2792
165.000000 86.376 123.8774
167.500000 86.261 123.5457
170.000000 86.115 123.1634
172.500000 86.073 123.1146
175.000000 86.060 122.9213
177.500000 86.047 122.6218
180.000000 86.002 122.4359
182.500000 85.871 122.3448
185.000000 85.765 122.2909
187.500000 85.668 122.2575
190.000000 85.581 122.1355
192.500000 85.548 121.8271
195.000000 85.509 121.5514
197.500000 85.445 121.5196
200.000000 85.379 121.5698
203.000000 85.310 121.0201
206.000000 85.228 120.4731
209.000000 85.141 120.2643
212.000000 85.058 120.0848
214.000000 85.000 119.9561
218.000000 84.870 119.5317
220.000000 84.793 119.3748
224.000000 84.664 119.4704
227.000000 84.642 119.4028
230.000000 84.622 119.2791
233.000000 84.571 119.2429
236.000000 84.509 119.2409
240.000000 84.430 119.2345
243.000000 84.413 119.1918
247.000000 84.394 118.9782
250.000000 84.356 118.8194
254.000000 84.268 118.3659
258.000000 84.184 118.0095
262.000000 84.108 117.7633
265.000000 84.056 117.5748
269.000000 83.994 117.3077
272.000000 83.942 117.1873
276.000000 83.863 117.0381
280.000000 83.787 116.9119
285.000000 83.710 116.7616
290.000000 83.635 116.5439
295.000000 83.549 116.3301
300.000000 83.468 116.1704
304.000000 83.403 116.0645
307.000000 83.356 115.9891
311.000000 83.296 115.8990
315.000000 83.238 115.8140
320.000000 83.168 115.7205
325.000000 83.104 115.6673
330.000000 83.044 115.6136
335.000000 82.980 115.5833
340.000000 82.921 115.5681
345.000000 82.869 115.5027
350.000000 82.823 115.4224
355.000000 82.781 115.3662
360.000000 82.744 115.3087
365.000000 82.713 115.2682
370.000000 82.683 115.2041
375.000000 82.641 115.0681
382.000000 82.583 114.8737
387.000000 82.545 114.6822
395.000000 82.476 114.4953
400.000000 82.432 114.4269
406.000000 82.385 114.3262
412.000000 82.344 114.2453
418.000000 82.306 114.1594
425.000000 82.268 114.0312
431.000000 82.234 113.8888
437.000000 82.199 113.7124
444.000000 82.156 113.5249
450.000000 82.119 113.3849
455.000000 82.086 113.2800
462.000000 82.041 113.1424
468.000000 82.003 113.0339
475.000000 81.961 112.9203
482.000000 81.922 112.8181
487.000000 81.895 112.7495
494.000000 81.858 112.6567
500.000000 81.828 112.5786
508.000000 81.791 112.4863
515.000000 81.759 112.4123
522.000000 81.729 112.3372
530.000000 81.698 112.2492
538.000000 81.667 112.1649
545.000000 81.642 112.0965
552.000000 81.619 112.0305
560.000000 81.593 111.9539
570.000000 81.562 111.8548
580.000000 81.536 111.7772
590.000000 81.511 111.6988
600.000000 81.488 111.6311
608.000000 81.472 111.5717
615.000000 81.458 111.5166
622.000000 81.445 111.4637
630.000000 81.432 111.4112
640.000000 81.418 111.3585
650.000000 81.407 111.3119
660.000000 81.400 111.2645
670.000000 81.395 111.2181
680.000000 81.392 111.1808
690.000000 81.393 111.1442
700.000000 81.396 111.0948
710.000000 81.401 111.0460
720.000000 81.408 110.9981
730.000000 81.417 110.9467
740.000000 81.428 110.8849
750.000000 81.439 110.8202
762.000000 81.453 110.7157
775.000000 81.468 110.6005
788.000000 81.480 110.5068
800.000000 81.491 110.4532
812.000000 81.503 110.4412
825.000000 81.522 110.4836
838.000000 81.553 110.5608
850.000000 81.591 110.6398
862.000000 81.636 110.7082
875.000000 81.692 110.7674
885.000000 81.739 110.7980
900.000000 81.817 110.8115
912.000000 81.883 110.8043
925.000000 81.959 110.7726
938.000000 82.039 110.7122
950.000000 82.117 110.6365
962.000000 82.196 110.5388
975.000000 82.286 110.4045
988.000000 82.378 110.2435
1000.000000 82.465 110.0713
1015.000000 82.576 109.8134
1030.000000 82.689 109.5208
1044.000000 82.795 109.2157
1060.000000 82.918 108.8224
1075.000000 83.032 108.4164
1090.000000 83.147 107.9769
1106.000000 83.269 107.4751
1120.000000 83.374 107.0068
1138.000000 83.507 106.3676
1150.000000 83.594 105.9174
1172.000000 83.750 105.0456
1180.000000 83.805 104.7167
1206.000000 83.980 103.6176
1220.000000 84.071 103.0062
1241.000000 84.202 102.0681
1250.000000 84.258 101.6579
1265.000000 84.347 100.9640
1280.000000 84.434 100.2582
1315.000000 84.627 98.5658
1320.000000 84.654 98.3208
1340.000000 84.758 97.3400
1360.000000 84.859 96.3598
1380.000000 84.958 95.3796
1400.000000 85.054 94.4017
1430.000000 85.195 92.9368
1450.000000 85.286 91.9652
1475.000000 85.397 90.7528
1500.000000 85.506 89.5408
1525.000000 85.613 88.3262
1550.000000 85.719 87.1129
1575.000000 85.823 85.8960
1600.000000 85.925 84.6721
1625.000000 86.025 83.4378
1650.000000 86.123 82.1962
1675.000000 86.220 80.9528
1700.000000 86.316 79.7064
1725.000000 86.410 78.4581
1750.000000 86.503 77.2060
1775.000000 86.593 75.9524
1800.000000 86.683 74.6977
1825.000000 86.770 73.4402
1850.000000 86.856 72.1779
1875.000000 86.940 70.9155
1900.000000 87.022 69.6524
1925.000000 87.102 68.3827
1950.000000 87.181 67.1086
1975.000000 87.258 65.8319
2000.000000 87.333 64.5504
2030.000000 87.421 63.0059
2060.000000 87.506 61.4571
2090.000000 87.589 59.9072
2120.000000 87.672 58.3494
2140.000000 87.726 57.3019
2180.000000 87.832 55.1834
2200.000000 87.884 54.1128
2240.000000 87.985 51.9318
2270.000000 88.056 50.2515
2300.000000 88.121 48.5381
2330.000000 88.178 46.7985
2360.000000 88.224 45.0374
2400.000000 88.267 42.6975
2430.000000 88.287 40.9745
2470.000000 88.299 38.7433
2500.000000 88.300 37.1281
2540.000000 88.294 35.0539
2580.000000 88.284 33.0620
2620.000000 88.271 31.1400
2650.000000 88.260 29.7355
2690.000000 88.245 27.9044
2720.000000 88.232 26.5617
2760.000000 88.214 24.8076
2800.000000 88.195 23.0886
2850.000000 88.171 20.9874
2900.000000 88.146 18.9382
2950.000000 88.119 16.9329
3000.000000 88.091 14.9644
3040.000000 88.069 13.4172
3070.000000 88.052 12.2719
3110.000000 88.028 10.7607
3150.000000 88.005 9.2708
3200.000000 87.973 7.4367
3250.000000 87.941 5.6301
3300.000000 87.907 3.8522
3350.000000 87.871 2.1046
3400.000000 87.833 0.3913
3450.000000 87.796 -1.2828
3500.000000 87.761 -2.9209
3550.000000 87.731 -4.5394
3600.000000 87.707 -6.1711
3650.000000 87.686 -7.8533
3700.000000 87.662 -9.6032
3750.000000 87.630 -11.4075
3820.000000 87.566 -13.9849
3870.000000 87.507 -15.8327
3950.000000 87.387 -18.7634
4000.000000 87.299 -20.5675
4060.000000 87.179 -22.6986
4120.000000 87.043 -24.7809
4180.000000 86.893 -26.8040
4250.000000 86.700 -29.0787
4310.000000 86.520 -30.9466
4370.000000 86.324 -32.7284
4440.000000 86.079 -34.6866
4500.000000 85.857 -36.2573
4550.000000 85.663 -37.4845
4620.000000 85.379 -39.0593
4680.000000 85.126 -40.2668
4750.000000 84.821 -41.4951
4820.000000 84.509 -42.5159
4870.000000 84.285 -43.1049
4940.000000 83.973 -43.7303
5000.000000 83.713 -44.0993
5080.000000 83.380 -44.3914
5150.000000 83.102 -44.5017
5220.000000 82.833 -44.5046
5300.000000 82.528 -44.3575
5380.000000 82.229 -43.9008
5450.000000 82.001 -43.2760
5520.000000 81.802 -42.6485
5600.000000 81.585 -41.8981
5700.000000 81.329 -40.7765
5800.000000 81.102 -39.4378
5900.000000 80.910 -37.9161
6000.000000 80.754 -36.2362
6080.000000 80.656 -34.7960
6150.000000 80.591 -33.4780
6220.000000 80.547 -32.1162
6300.000000 80.522 -30.5164
6400.000000 80.529 -28.4556
