* Measurement data measured by REW V5.30
* Source: EXCL: Microphone (Qudelix-5K USB DAC/MIC 44.1KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Mar 15, 2024 12:27:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Samsung Buds FE L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 87.955 173.2266
20.600000 88.060 171.0095
20.900000 88.170 168.7758
21.200001 88.262 166.8109
21.400000 88.310 165.6176
21.799999 88.367 163.2899
22.000000 88.371 162.0401
22.400000 88.322 159.1314
22.700001 88.235 156.5037
23.000000 88.124 153.5211
23.299999 88.020 150.3144
23.600000 87.962 147.0850
24.000000 88.015 143.1011
24.299999 88.165 140.5405
24.700001 88.468 137.7618
25.000000 88.715 136.0927
25.400000 88.978 134.2817
25.799999 89.100 132.7948
26.200001 89.066 131.4492
26.500000 88.962 130.3774
26.900000 88.776 128.5976
27.200001 88.643 126.8475
27.600000 88.520 123.9126
28.000000 88.484 120.5353
28.500000 88.547 116.4388
29.000000 88.668 113.2343
29.500000 88.775 111.0444
30.000000 88.821 109.3613
30.400000 88.804 107.9267
30.700001 88.766 106.6359
31.100000 88.702 104.5643
31.500000 88.651 102.1648
32.000000 88.634 98.9948
32.500000 88.670 96.0107
33.000000 88.723 93.4271
33.500000 88.757 91.1856
34.000000 88.757 89.0553
34.500000 88.732 86.8093
35.000000 88.703 84.3661
35.500000 88.688 81.8161
36.000000 88.690 79.3266
36.500000 88.699 77.0113
37.000000 88.704 74.8545
37.500000 88.697 72.7435
38.200001 88.675 69.6638
38.700001 88.661 67.3510
39.500000 88.658 63.6207
40.000000 88.660 61.3680
40.599998 88.650 58.7909
41.200001 88.623 56.3224
41.799999 88.593 53.8506
42.500000 88.572 50.8380
43.099998 88.563 48.2102
43.700001 88.557 45.6852
44.400002 88.544 42.9008
45.000000 88.508 40.5791
45.500000 88.465 38.6336
46.200001 88.427 35.7380
46.799999 88.423 33.0461
47.500000 88.417 30.1606
48.200001 88.426 28.2705
48.700001 88.480 27.3129
49.400002 88.574 25.3534
50.000000 88.551 22.6156
50.799999 88.334 18.3483
51.500000 88.161 15.0353
52.200001 88.122 12.1330
53.000000 88.127 9.0428
53.799999 88.078 6.2268
54.500000 88.014 3.7934
55.200001 87.954 1.2312
56.000000 87.899 -1.6921
57.000000 87.850 -5.1877
58.000000 87.786 -8.6610
59.000000 87.715 -12.1797
60.000000 87.647 -15.7465
60.799999 87.588 -18.5481
61.500000 87.537 -20.9422
62.200001 87.485 -23.3007
63.000000 87.427 -25.9657
64.000000 87.357 -29.2793
65.000000 87.286 -32.5790
66.000000 87.206 -35.8121
67.000000 87.117 -39.0155
68.000000 87.029 -42.2270
69.000000 86.963 -45.4204
70.000000 86.904 -48.6044
71.000000 86.819 -51.6840
72.000000 86.731 -54.6186
73.000000 86.663 -57.5924
74.000000 86.591 -60.6433
75.000000 86.496 -63.6204
76.199997 86.365 -67.1472
77.500000 86.226 -70.8701
78.800003 86.136 -74.5920
80.000000 86.056 -78.1809
81.199997 85.971 -81.6649
82.500000 85.885 -85.3725
83.800003 85.780 -89.0626
85.000000 85.670 -92.3937
86.199997 85.572 -95.5928
87.500000 85.476 -99.0257
88.500000 85.382 -101.7427
90.000000 85.237 -105.8685
91.199997 85.152 -109.0764
92.500000 85.054 -112.3536
93.800003 84.957 -115.5467
95.000000 84.886 -118.6493
96.199997 84.822 -121.7174
97.500000 84.758 -124.9129
98.800003 84.680 -128.1317
100.000000 84.574 -131.2079
101.500000 84.424 -134.8983
103.000000 84.289 -138.4694
104.400002 84.187 -141.7514
106.000000 84.093 -145.5739
107.500000 83.996 -149.1617
109.000000 83.886 -152.7113
110.599998 83.764 -156.3306
112.000000 83.664 -159.5072
113.800003 83.553 -163.6635
115.000000 83.474 -166.3828
117.199997 83.361 -171.3497
118.000000 83.331 -173.1434
120.599998 83.203 -178.7831
122.000000 83.109 178.0391
124.099998 82.987 173.3423
125.000000 82.946 171.3870
126.500000 82.875 168.2444
128.000000 82.806 165.1183
131.500000 82.645 157.3807
132.000000 82.622 156.3011
134.000000 82.524 152.0819
136.000000 82.423 147.8680
138.000000 82.331 143.6740
140.000000 82.252 139.4788
143.000000 82.128 133.5455
145.000000 82.044 129.4805
147.500000 82.002 124.1648
150.000000 81.903 119.1265
152.500000 81.739 114.2917
155.000000 81.640 109.5215
157.500000 81.549 104.7568
160.000000 81.463 99.6878
162.500000 81.374 94.7035
165.000000 81.273 89.9868
167.500000 81.148 85.7091
170.000000 81.029 81.4230
172.500000 81.031 76.2228
175.000000 81.049 71.3826
177.500000 81.002 66.5269
180.000000 80.973 61.5815
182.500000 80.928 56.7849
185.000000 80.871 51.9093
187.500000 80.812 47.2396
190.000000 80.772 42.6252
192.500000 80.771 37.8934
195.000000 80.737 33.3661
197.500000 80.659 28.8430
200.000000 80.600 24.0140
203.000000 80.574 18.3997
206.000000 80.540 13.3495
209.000000 80.471 8.2278
212.000000 80.412 2.9418
214.000000 80.433 -0.7302
218.000000 80.464 -7.9512
220.000000 80.455 -11.6321
224.000000 80.439 -19.3619
227.000000 80.417 -24.9771
230.000000 80.346 -30.4458
233.000000 80.280 -35.7502
236.000000 80.262 -41.0051
240.000000 80.198 -48.3552
243.000000 80.151 -53.6211
247.000000 80.104 -60.6383
250.000000 80.076 -65.7231
254.000000 80.048 -72.6072
258.000000 80.038 -79.4167
262.000000 80.027 -86.3125
265.000000 80.004 -91.5519
269.000000 79.950 -98.3843
272.000000 79.926 -103.7001
276.000000 79.907 -110.7793
280.000000 79.884 -117.5386
285.000000 79.850 -125.9055
290.000000 79.815 -134.2672
295.000000 79.789 -142.6850
300.000000 79.761 -151.0006
304.000000 79.737 -157.6206
307.000000 79.719 -162.6137
311.000000 79.692 -169.2677
315.000000 79.671 -175.8427
320.000000 79.648 175.9937
325.000000 79.619 167.8716
330.000000 79.586 159.8019
335.000000 79.544 151.8436
340.000000 79.506 143.9103
345.000000 79.496 135.7897
350.000000 79.477 127.7914
355.000000 79.449 119.9204
360.000000 79.423 112.0247
365.000000 79.408 104.0046
370.000000 79.391 96.1640
375.000000 79.373 88.4777
382.000000 79.334 77.7377
387.000000 79.297 70.1375
395.000000 79.272 57.9047
400.000000 79.257 50.3201
406.000000 79.232 41.2909
412.000000 79.206 32.2719
418.000000 79.181 23.2277
425.000000 79.155 12.8167
431.000000 79.132 3.9709
437.000000 79.108 -4.8442
444.000000 79.087 -15.1077
450.000000 79.066 -23.8470
455.000000 79.045 -31.1157
462.000000 79.015 -41.2421
468.000000 78.992 -49.8600
475.000000 78.972 -59.8412
482.000000 78.956 -69.7458
487.000000 78.943 -76.7733
494.000000 78.921 -86.5685
500.000000 78.901 -94.9945
508.000000 78.873 -106.1598
515.000000 78.848 -115.8828
522.000000 78.830 -125.5295
530.000000 78.810 -136.4613
538.000000 78.786 -147.2874
545.000000 78.765 -156.7319
552.000000 78.745 -166.1190
560.000000 78.722 -176.8076
570.000000 78.690 169.9170
580.000000 78.655 156.7654
590.000000 78.618 143.7415
600.000000 78.582 130.8395
608.000000 78.558 120.5999
615.000000 78.543 111.6965
622.000000 78.530 102.8462
630.000000 78.517 92.7971
640.000000 78.503 80.3097
650.000000 78.492 67.8899
660.000000 78.486 55.5309
670.000000 78.484 43.2594
680.000000 78.481 31.0677
690.000000 78.479 18.9646
700.000000 78.481 6.9502
710.000000 78.485 -5.0190
720.000000 78.491 -16.9006
730.000000 78.495 -28.7230
740.000000 78.500 -40.4559
750.000000 78.509 -52.0957
762.000000 78.527 -65.9778
775.000000 78.549 -80.8831
788.000000 78.570 -95.6790
800.000000 78.593 -109.2413
812.000000 78.623 -122.7059
825.000000 78.660 -137.1757
838.000000 78.699 -151.5579
850.000000 78.739 -164.7433
862.000000 78.786 -177.8488
875.000000 78.842 168.0625
885.000000 78.887 157.3019
900.000000 78.960 141.2412
912.000000 79.022 128.4691
925.000000 79.093 114.6971
938.000000 79.169 101.0057
950.000000 79.245 88.4456
962.000000 79.325 75.9360
975.000000 79.414 62.4419
988.000000 79.506 49.0122
1000.000000 79.594 36.6713
1015.000000 79.704 21.3054
1030.000000 79.817 6.0143
1044.000000 79.924 -8.1960
1060.000000 80.048 -24.3601
1075.000000 80.162 -39.4495
1090.000000 80.275 -54.4696
1106.000000 80.396 -70.4154
1120.000000 80.502 -84.2988
1138.000000 80.632 -102.0691
1150.000000 80.717 -113.8710
1172.000000 80.867 -135.3882
1180.000000 80.920 -143.1619
1206.000000 81.083 -168.2712
1220.000000 81.169 178.3038
1241.000000 81.290 158.3037
1250.000000 81.340 149.7821
1265.000000 81.420 135.6492
1280.000000 81.496 121.6000
1315.000000 81.664 89.1567
1320.000000 81.687 84.5643
1340.000000 81.777 66.2900
1360.000000 81.861 48.1686
1380.000000 81.941 30.2040
1400.000000 82.019 12.4061
1430.000000 82.131 -14.0076
1450.000000 82.202 -31.4293
1475.000000 82.287 -52.9883
1500.000000 82.370 -74.3115
1525.000000 82.451 -95.4158
1550.000000 82.529 -116.2981
1575.000000 82.605 -136.9565
1600.000000 82.681 -157.3923
1625.000000 82.754 -177.6162
1650.000000 82.827 162.3613
1675.000000 82.900 142.5415
1700.000000 82.971 122.9292
1725.000000 83.043 103.5251
1750.000000 83.114 84.3213
1775.000000 83.183 65.3123
1800.000000 83.251 46.4832
1825.000000 83.317 27.8389
1850.000000 83.383 9.3687
1875.000000 83.448 -8.9270
1900.000000 83.511 -27.0527
1925.000000 83.574 -45.0110
1950.000000 83.635 -62.8064
1975.000000 83.696 -80.4426
2000.000000 83.755 -97.9209
2030.000000 83.822 -118.6802
2060.000000 83.886 -139.2124
2090.000000 83.946 -159.5225
2120.000000 84.004 -179.6169
2140.000000 84.041 167.1033
2180.000000 84.108 140.8391
2200.000000 84.139 127.8540
2240.000000 84.194 102.1641
2270.000000 84.231 83.1399
2300.000000 84.265 64.3320
2330.000000 84.296 45.7322
2360.000000 84.324 27.3396
2400.000000 84.356 3.1318
2430.000000 84.377 -14.7832
2470.000000 84.399 -38.3584
2500.000000 84.412 -55.8127
2540.000000 84.425 -78.7788
2580.000000 84.432 -101.3916
2620.000000 84.431 -123.6516
2650.000000 84.426 -140.1218
2690.000000 84.415 -161.7842
2720.000000 84.402 -177.7998
2760.000000 84.379 161.1421
2800.000000 84.350 140.4141
2850.000000 84.305 114.9810
2900.000000 84.250 90.0654
2950.000000 84.189 65.6562
3000.000000 84.122 41.7551
3040.000000 84.064 23.0005
3070.000000 84.017 9.1426
3110.000000 83.953 -9.0569
3150.000000 83.885 -26.9426
3200.000000 83.798 -48.8665
3250.000000 83.708 -70.3135
3300.000000 83.617 -91.2834
3350.000000 83.526 -111.7778
3400.000000 83.434 -131.7976
3450.000000 83.345 -151.3398
3500.000000 83.259 -170.4243
3550.000000 83.181 170.9302
3600.000000 83.111 152.7134
3650.000000 83.049 134.9121
3700.000000 82.995 117.4966
3750.000000 82.948 100.4451
3820.000000 82.892 77.1619
3870.000000 82.857 60.9441
3950.000000 82.803 35.7168
4000.000000 82.771 20.3845
4060.000000 82.730 2.4424
4120.000000 82.690 -15.0029
4180.000000 82.649 -31.9463
4250.000000 82.603 -51.0845
4310.000000 82.568 -66.9590
4370.000000 82.539 -82.3489
4440.000000 82.516 -99.7126
4500.000000 82.504 -114.1108
4550.000000 82.500 -125.7812
4620.000000 82.502 -141.6357
4680.000000 82.511 -154.7920
4750.000000 82.528 -169.6509
4820.000000 82.551 176.0061
4870.000000 82.570 166.0647
4940.000000 82.596 152.5693
5000.000000 82.617 141.3958
5080.000000 82.642 127.0737
5150.000000 82.662 115.1045
5220.000000 82.684 103.6533
5300.000000 82.712 91.1904
5380.000000 82.745 79.3823
5450.000000 82.778 69.5625
5520.000000 82.816 60.1895
5600.000000 82.862 49.9963
5700.000000 82.914 38.0327
5800.000000 82.953 26.9307
5900.000000 82.984 16.7388
