* Measurement data measured by REW V5.30
* Source: EXCL: Microphone (Qudelix-5K USB DAC/MIC 44.1KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Mar 15, 2024 12:31:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Samsung Buds FE R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 87.597 174.2285
20.600000 87.678 172.1326
20.900000 87.765 169.8268
21.200001 87.843 167.5516
21.400000 87.888 166.0510
21.799999 87.967 163.0465
22.000000 88.000 161.5239
22.400000 88.056 158.4135
22.700001 88.088 156.0321
23.000000 88.113 153.6417
23.299999 88.134 151.2868
23.600000 88.154 149.0100
24.000000 88.189 146.1352
24.299999 88.222 144.0953
24.700001 88.270 141.4827
25.000000 88.300 139.5671
25.400000 88.322 137.0419
25.799999 88.319 134.5527
26.200001 88.299 132.1131
26.500000 88.286 130.3096
26.900000 88.285 127.9024
27.200001 88.301 126.0660
27.600000 88.338 123.5620
28.000000 88.377 121.0348
28.500000 88.408 117.9797
29.000000 88.412 115.1796
29.500000 88.401 112.6347
30.000000 88.393 110.1997
30.400000 88.393 108.2221
30.700001 88.397 106.6963
31.100000 88.404 104.6149
31.500000 88.412 102.5190
32.000000 88.424 99.9423
32.500000 88.433 97.4493
33.000000 88.440 95.0259
33.500000 88.443 92.6295
34.000000 88.443 90.2225
34.500000 88.442 87.7984
35.000000 88.441 85.3839
35.500000 88.441 83.0151
36.000000 88.443 80.7044
36.500000 88.445 78.4327
37.000000 88.443 76.1739
37.500000 88.437 73.9209
38.200001 88.424 70.7870
38.700001 88.415 68.5584
39.500000 88.397 64.9944
40.000000 88.384 62.7835
40.599998 88.377 60.1602
41.200001 88.382 57.5635
41.799999 88.388 55.0213
42.500000 88.378 52.1712
43.099998 88.348 49.7577
43.700001 88.300 47.2600
44.400002 88.241 44.2893
45.000000 88.223 41.8125
45.500000 88.236 39.7985
46.200001 88.241 37.0446
46.799999 88.195 34.7964
47.500000 88.132 32.0177
48.200001 88.107 28.3538
48.700001 88.073 25.2359
49.400002 87.964 21.3302
50.000000 87.888 19.3280
50.799999 87.932 17.9324
51.500000 88.002 16.3073
52.200001 87.970 13.9597
53.000000 87.873 10.9931
53.799999 87.824 7.9686
54.500000 87.798 5.3239
55.200001 87.755 2.7662
56.000000 87.693 -0.1184
57.000000 87.619 -3.7399
58.000000 87.560 -7.2164
59.000000 87.495 -10.5914
60.000000 87.423 -13.9785
60.799999 87.373 -16.7069
61.500000 87.330 -19.0930
62.200001 87.281 -21.4629
63.000000 87.219 -24.1477
64.000000 87.143 -27.4900
65.000000 87.065 -30.7805
66.000000 86.983 -34.0047
67.000000 86.904 -37.2551
68.000000 86.829 -40.4662
69.000000 86.763 -43.5635
70.000000 86.688 -46.6496
71.000000 86.588 -49.7048
72.000000 86.485 -52.6411
73.000000 86.406 -55.5910
74.000000 86.341 -58.6815
75.000000 86.278 -61.8613
76.199997 86.193 -65.5633
77.500000 86.099 -69.3921
78.800003 85.993 -73.0573
80.000000 85.897 -76.2139
81.199997 85.798 -79.4641
82.500000 85.691 -83.1592
83.800003 85.593 -86.7847
85.000000 85.505 -90.0092
86.199997 85.417 -93.3612
87.500000 85.311 -96.9002
88.500000 85.219 -99.4675
90.000000 85.073 -103.4745
91.199997 84.986 -106.7572
92.500000 84.931 -109.9501
93.800003 84.889 -112.9724
95.000000 84.829 -116.0519
96.199997 84.734 -119.3323
97.500000 84.599 -122.7907
98.800003 84.469 -126.2218
100.000000 84.362 -129.5274
101.500000 84.237 -132.9464
103.000000 84.142 -135.9633
104.400002 84.053 -139.2168
106.000000 83.948 -143.1134
107.500000 83.853 -146.7329
109.000000 83.759 -150.0731
110.599998 83.653 -153.5734
112.000000 83.588 -156.8182
113.800003 83.498 -160.9627
115.000000 83.428 -164.1166
117.199997 83.312 -169.5482
118.000000 83.200 -171.2750
120.599998 82.981 -177.6918
122.000000 83.012 179.1049
124.099998 82.934 175.3031
125.000000 82.840 173.7381
126.500000 82.707 170.6808
128.000000 82.662 167.2702
131.500000 82.551 160.1440
132.000000 82.524 159.1560
134.000000 82.426 154.8051
136.000000 82.345 150.1977
138.000000 82.256 146.1642
140.000000 82.167 142.3543
143.000000 82.016 136.2566
145.000000 81.925 131.8936
147.500000 81.772 126.1210
150.000000 81.693 121.0582
152.500000 81.663 116.6937
155.000000 81.554 112.0912
157.500000 81.480 107.2837
160.000000 81.435 102.1194
162.500000 81.350 97.2837
165.000000 81.244 92.4422
167.500000 81.091 87.5763
170.000000 80.962 82.7994
172.500000 80.959 78.4982
175.000000 80.962 74.3555
177.500000 80.944 70.1385
180.000000 80.928 65.0097
182.500000 80.915 59.8148
185.000000 80.884 54.7658
187.500000 80.853 49.8284
190.000000 80.824 45.6397
192.500000 80.796 41.0815
195.000000 80.738 36.3090
197.500000 80.641 31.7597
200.000000 80.601 26.9672
203.000000 80.599 21.2053
206.000000 80.568 15.5721
209.000000 80.522 10.0714
212.000000 80.486 4.5205
214.000000 80.462 0.7888
218.000000 80.409 -6.4363
220.000000 80.388 -10.0300
224.000000 80.345 -17.2893
227.000000 80.309 -22.7196
230.000000 80.292 -28.0522
233.000000 80.269 -33.3525
236.000000 80.238 -38.6528
240.000000 80.199 -45.7652
243.000000 80.172 -51.0426
247.000000 80.137 -57.8099
250.000000 80.114 -63.1299
254.000000 80.080 -70.3448
258.000000 80.041 -77.2709
262.000000 80.005 -84.1531
265.000000 79.980 -89.3195
269.000000 79.940 -96.2184
272.000000 79.916 -101.4080
276.000000 79.890 -108.2377
280.000000 79.867 -115.0506
285.000000 79.831 -123.4647
290.000000 79.802 -131.7908
295.000000 79.758 -140.1415
300.000000 79.715 -148.5090
304.000000 79.687 -155.1874
307.000000 79.668 -160.1495
311.000000 79.640 -166.6172
315.000000 79.597 -172.9559
320.000000 79.553 178.9984
325.000000 79.539 170.6422
330.000000 79.518 162.4896
335.000000 79.516 154.4128
340.000000 79.514 146.3500
345.000000 79.487 138.4136
350.000000 79.464 130.4945
355.000000 79.444 122.5794
360.000000 79.414 114.6797
365.000000 79.373 106.9310
370.000000 79.338 99.1495
375.000000 79.318 91.2849
382.000000 79.264 80.4648
387.000000 79.220 72.7523
395.000000 79.185 60.6442
400.000000 79.173 53.1272
406.000000 79.156 44.1096
412.000000 79.131 35.1453
418.000000 79.105 26.2081
425.000000 79.078 15.8672
431.000000 79.055 7.0578
437.000000 79.032 -1.6945
444.000000 79.004 -11.9036
450.000000 78.980 -20.6577
455.000000 78.964 -27.9022
462.000000 78.942 -37.9355
468.000000 78.918 -46.5133
475.000000 78.891 -56.4847
482.000000 78.867 -66.3837
487.000000 78.849 -73.4102
494.000000 78.824 -83.1896
500.000000 78.802 -91.5501
508.000000 78.775 -102.6527
515.000000 78.752 -112.2764
522.000000 78.729 -121.8180
530.000000 78.705 -132.6716
538.000000 78.682 -143.4752
545.000000 78.662 -152.8635
552.000000 78.644 -162.2059
560.000000 78.624 -172.8257
570.000000 78.602 173.9824
580.000000 78.580 160.8724
590.000000 78.557 147.8771
600.000000 78.536 134.9846
608.000000 78.521 124.7109
615.000000 78.508 115.7819
622.000000 78.496 106.9093
630.000000 78.480 96.8279
640.000000 78.461 84.3271
650.000000 78.445 71.8993
660.000000 78.431 59.5544
670.000000 78.418 47.3074
680.000000 78.407 35.1438
690.000000 78.399 23.0796
700.000000 78.394 11.0995
710.000000 78.390 -0.8044
720.000000 78.389 -12.6222
730.000000 78.392 -24.3662
740.000000 78.397 -36.0306
750.000000 78.403 -47.6182
762.000000 78.414 -61.4272
775.000000 78.429 -76.2648
788.000000 78.448 -90.9910
800.000000 78.470 -104.4829
812.000000 78.496 -117.8643
825.000000 78.530 -132.2585
838.000000 78.567 -146.5402
850.000000 78.607 -159.6354
862.000000 78.651 -172.6368
875.000000 78.703 173.3679
885.000000 78.746 162.6609
900.000000 78.818 146.7112
912.000000 78.881 134.0388
925.000000 78.954 120.3677
938.000000 79.032 106.7644
950.000000 79.109 94.2810
962.000000 79.189 81.8630
975.000000 79.277 68.4762
988.000000 79.369 55.1520
1000.000000 79.458 42.9036
1015.000000 79.572 27.6550
1030.000000 79.690 12.4731
1044.000000 79.803 -1.6290
1060.000000 79.933 -17.6716
1075.000000 80.055 -32.6417
1090.000000 80.177 -47.5383
1106.000000 80.307 -63.3535
1120.000000 80.418 -77.1349
1138.000000 80.561 -94.7638
1150.000000 80.654 -106.4609
1172.000000 80.819 -127.7878
1180.000000 80.878 -135.4985
1206.000000 81.064 -160.3873
1220.000000 81.161 -173.6993
1241.000000 81.301 166.4550
1250.000000 81.360 157.9976
1265.000000 81.456 143.9661
1280.000000 81.549 130.0206
1315.000000 81.757 97.8118
1320.000000 81.785 93.2463
1340.000000 81.896 75.0800
1360.000000 82.004 57.0752
1380.000000 82.110 39.2212
1400.000000 82.214 21.5104
1430.000000 82.363 -4.7898
1450.000000 82.460 -22.1357
1475.000000 82.578 -43.6250
1500.000000 82.694 -64.8999
1525.000000 82.807 -85.9604
1550.000000 82.919 -106.8184
1575.000000 83.029 -127.4800
1600.000000 83.136 -147.9468
1625.000000 83.241 -168.2327
1650.000000 83.344 171.6624
1675.000000 83.445 151.7439
1700.000000 83.544 132.0117
1725.000000 83.640 112.4587
1750.000000 83.733 93.0803
1775.000000 83.825 73.8804
1800.000000 83.913 54.8486
1825.000000 83.997 35.9854
1850.000000 84.078 17.2893
1875.000000 84.156 -1.2407
1900.000000 84.229 -19.6040
1925.000000 84.299 -37.8000
1950.000000 84.365 -55.8303
1975.000000 84.427 -73.6990
2000.000000 84.484 -91.4104
2030.000000 84.548 -112.4521
2060.000000 84.606 -133.2678
2090.000000 84.658 -153.8613
2120.000000 84.702 -174.2251
2140.000000 84.729 172.3271
2180.000000 84.774 145.7410
2200.000000 84.792 132.5981
2240.000000 84.823 106.6113
2270.000000 84.840 87.3823
2300.000000 84.852 68.3757
2330.000000 84.860 49.5876
2360.000000 84.863 31.0210
2400.000000 84.860 6.6211
2430.000000 84.854 -11.4102
2470.000000 84.842 -35.0959
2500.000000 84.828 -52.6084
2540.000000 84.804 -75.6321
2580.000000 84.774 -98.2773
2620.000000 84.738 -120.5566
2650.000000 84.708 -137.0266
2690.000000 84.663 -158.6709
2720.000000 84.626 -174.6702
2760.000000 84.574 164.3110
2800.000000 84.515 143.6382
2850.000000 84.437 118.2852
2900.000000 84.353 93.4675
2950.000000 84.266 69.1831
3000.000000 84.176 45.4219
3040.000000 84.102 26.7861
3070.000000 84.047 13.0239
3110.000000 83.975 -5.0432
3150.000000 83.904 -22.7986
3200.000000 83.821 -44.5632
3250.000000 83.744 -65.8687
3300.000000 83.670 -86.7415
3350.000000 83.599 -107.1980
3400.000000 83.527 -127.2368
3450.000000 83.455 -146.8518
3500.000000 83.380 -166.0471
3550.000000 83.305 175.1780
3600.000000 83.232 156.8201
3650.000000 83.160 138.8672
3700.000000 83.090 121.3108
3750.000000 83.023 104.1367
3820.000000 82.927 80.7278
3870.000000 82.858 64.4575
3950.000000 82.747 39.2263
4000.000000 82.679 23.9629
4060.000000 82.600 6.1548
4120.000000 82.528 -11.1025
4180.000000 82.467 -27.8315
4250.000000 82.410 -46.7163
4310.000000 82.375 -62.3936
4370.000000 82.348 -77.6150
4440.000000 82.328 -94.8118
4500.000000 82.320 -109.0759
4550.000000 82.319 -120.6362
4620.000000 82.326 -136.3354
4680.000000 82.339 -149.3472
4750.000000 82.364 -164.0210
4820.000000 82.399 -178.1606
4870.000000 82.430 172.0620
4940.000000 82.483 158.8113
5000.000000 82.536 147.8496
5080.000000 82.622 133.7881
5150.000000 82.713 121.9844
5220.000000 82.818 110.6123
5300.000000 82.954 98.0947
5380.000000 83.100 86.0361
5450.000000 83.227 75.8181
5520.000000 83.343 65.9055
5600.000000 83.453 54.9854
5700.000000 83.543 42.0347
5800.000000 83.583 29.9790
5900.000000 83.585 18.9111
