* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -25.0 dBFS with no timing reference
* Dated: Aug 17, 2024 2:37:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Skullcandy JIB (AET07) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.043 -129.2832
20.600000 86.080 -130.1116
20.900000 86.115 -130.9957
21.200001 86.148 -131.8710
21.400000 86.170 -132.4503
21.799999 86.214 -133.6066
22.000000 86.237 -134.1853
22.400000 86.282 -135.3380
22.700001 86.314 -136.1870
23.000000 86.345 -137.0115
23.299999 86.375 -137.8063
23.600000 86.407 -138.5755
24.000000 86.452 -139.5846
24.299999 86.487 -140.3488
24.700001 86.532 -141.3907
25.000000 86.561 -142.1783
25.400000 86.592 -143.1976
25.799999 86.618 -144.1393
26.200001 86.647 -144.9951
26.500000 86.674 -145.6047
26.900000 86.714 -146.4237
27.200001 86.741 -147.0640
27.600000 86.765 -147.9446
28.000000 86.770 -148.8065
28.500000 86.761 -149.7776
29.000000 86.758 -150.6362
29.500000 86.779 -151.5030
30.000000 86.813 -152.4809
30.400000 86.836 -153.3238
30.700001 86.847 -153.9483
31.100000 86.855 -154.7217
31.500000 86.860 -155.4111
32.000000 86.874 -156.2092
32.500000 86.892 -157.0363
33.000000 86.905 -157.9352
33.500000 86.904 -158.8460
34.000000 86.895 -159.6740
34.500000 86.890 -160.3796
35.000000 86.894 -161.0120
35.500000 86.905 -161.6618
36.000000 86.911 -162.3863
36.500000 86.905 -163.1678
37.000000 86.891 -163.9425
37.500000 86.879 -164.6614
38.200001 86.880 -165.5949
38.700001 86.884 -166.2679
39.500000 86.873 -167.4146
40.000000 86.856 -168.1711
40.599998 86.838 -169.0948
41.200001 86.836 -169.9562
41.799999 86.857 -170.6395
42.500000 86.902 -171.2007
43.099998 86.933 -171.6437
43.700001 86.926 -172.1841
44.400002 86.863 -172.9240
45.000000 86.795 -173.5835
45.500000 86.746 -174.1218
46.200001 86.701 -174.8012
46.799999 86.681 -175.2902
47.500000 86.679 -175.8915
48.200001 86.682 -176.7029
48.700001 86.673 -177.3573
49.400002 86.655 -178.1746
50.000000 86.645 -178.7199
50.799999 86.623 -179.3244
51.500000 86.573 -179.7719
52.200001 86.512 179.8205
53.000000 86.449 179.2523
53.799999 86.395 178.6029
54.500000 86.372 178.0554
55.200001 86.375 177.4525
56.000000 86.369 176.7217
57.000000 86.320 176.0074
58.000000 86.235 175.3036
59.000000 86.139 174.5066
60.000000 86.112 173.7657
60.799999 86.123 173.1905
61.500000 86.118 172.7188
62.200001 86.089 172.2346
63.000000 86.028 171.6790
64.000000 85.954 171.1647
65.000000 85.906 170.7486
66.000000 85.856 170.2552
67.000000 85.820 169.6183
68.000000 85.803 168.8755
69.000000 85.775 168.1952
70.000000 85.711 167.6827
71.000000 85.641 167.3478
72.000000 85.593 166.9589
73.000000 85.548 166.4507
74.000000 85.500 165.9285
75.000000 85.455 165.3982
76.199997 85.400 164.8302
77.500000 85.340 164.3361
78.800003 85.274 163.8240
80.000000 85.211 163.2700
81.199997 85.148 162.7543
82.500000 85.096 162.2936
83.800003 85.042 161.8217
85.000000 84.979 161.4099
86.199997 84.921 161.0106
87.500000 84.860 160.5852
88.500000 84.808 160.2810
90.000000 84.726 159.7861
91.199997 84.662 159.3776
92.500000 84.593 158.9056
93.800003 84.519 158.4046
95.000000 84.458 158.0237
96.199997 84.408 157.6958
97.500000 84.347 157.3978
98.800003 84.283 157.0455
100.000000 84.221 156.4344
101.500000 84.142 155.8880
103.000000 84.084 155.8417
104.400002 84.026 155.7319
106.000000 83.950 155.4257
107.500000 83.868 155.2436
109.000000 83.798 154.8504
110.599998 83.745 154.4549
112.000000 83.696 154.1718
113.800003 83.606 153.9133
115.000000 83.550 153.6593
117.199997 83.439 153.2299
118.000000 83.410 153.0864
120.599998 83.302 152.7768
122.000000 83.217 152.6809
124.099998 83.121 152.0648
125.000000 83.102 151.8281
126.500000 83.060 151.8699
128.000000 82.970 151.8076
131.500000 82.819 151.2561
132.000000 82.789 151.2444
134.000000 82.709 150.8956
136.000000 82.647 150.7239
138.000000 82.546 150.5198
140.000000 82.459 150.3932
143.000000 82.352 150.0137
145.000000 82.262 149.7018
147.500000 82.145 149.6427
150.000000 82.053 149.5293
152.500000 81.978 149.2332
155.000000 81.888 148.9823
157.500000 81.779 148.8689
160.000000 81.720 148.9509
162.500000 81.681 148.9391
165.000000 81.546 148.7039
167.500000 81.419 148.5393
170.000000 81.319 148.4695
172.500000 81.240 148.4198
175.000000 81.153 148.3250
177.500000 81.055 148.2780
180.000000 80.959 148.2695
182.500000 80.867 148.1933
185.000000 80.802 148.0146
187.500000 80.760 147.9479
190.000000 80.685 147.8977
192.500000 80.572 147.8791
195.000000 80.470 147.8549
197.500000 80.413 147.8326
200.000000 80.393 147.7886
203.000000 80.334 147.7548
206.000000 80.196 147.7385
209.000000 80.093 147.7787
212.000000 80.004 147.9111
214.000000 79.928 148.0583
218.000000 79.748 148.1373
220.000000 79.680 147.9611
224.000000 79.621 147.8659
227.000000 79.552 148.1980
230.000000 79.470 148.3154
233.000000 79.416 148.4348
236.000000 79.367 148.5773
240.000000 79.263 149.0399
243.000000 79.175 149.4000
247.000000 79.037 149.2122
250.000000 78.964 149.1762
254.000000 78.895 149.4518
258.000000 78.804 149.7296
262.000000 78.693 149.9014
265.000000 78.613 150.0212
269.000000 78.520 150.1738
272.000000 78.448 150.2725
276.000000 78.356 150.5030
280.000000 78.272 150.8076
285.000000 78.181 151.1833
290.000000 78.115 151.5760
295.000000 78.054 151.7318
300.000000 77.960 151.9739
304.000000 77.874 152.2339
307.000000 77.820 152.2811
311.000000 77.750 152.3028
315.000000 77.681 152.4141
320.000000 77.599 152.5725
325.000000 77.508 152.8678
330.000000 77.401 153.1974
335.000000 77.298 153.5206
340.000000 77.203 153.9437
345.000000 77.119 154.4022
350.000000 77.050 154.7962
355.000000 76.996 155.0918
360.000000 76.931 155.4123
365.000000 76.853 155.7219
370.000000 76.777 156.0428
375.000000 76.702 156.3401
382.000000 76.597 156.7350
387.000000 76.532 157.1470
395.000000 76.424 157.7461
400.000000 76.359 158.0726
406.000000 76.283 158.5082
412.000000 76.203 159.0659
418.000000 76.129 159.5161
425.000000 76.049 159.9376
431.000000 75.978 160.3986
437.000000 75.913 160.8737
444.000000 75.839 161.4215
450.000000 75.774 161.9028
455.000000 75.722 162.2941
462.000000 75.648 162.7830
468.000000 75.585 163.2036
475.000000 75.514 163.7313
482.000000 75.451 164.2728
487.000000 75.410 164.6699
494.000000 75.351 165.2222
500.000000 75.294 165.7062
508.000000 75.216 166.3323
515.000000 75.150 166.8391
522.000000 75.090 167.3074
530.000000 75.033 167.9545
538.000000 74.981 168.6464
545.000000 74.927 169.2220
552.000000 74.870 169.8234
560.000000 74.808 170.5112
570.000000 74.730 171.3334
580.000000 74.660 172.1740
590.000000 74.595 173.0866
600.000000 74.528 173.9893
608.000000 74.480 174.7220
615.000000 74.447 175.3767
622.000000 74.420 176.0488
630.000000 74.387 176.8227
640.000000 74.352 177.7291
650.000000 74.329 178.7113
660.000000 74.339 179.7280
670.000000 74.395 -179.6019
680.000000 74.396 -179.6235
690.000000 74.285 -179.2877
700.000000 74.182 -178.3781
710.000000 74.120 -177.3918
720.000000 74.082 -176.4340
730.000000 74.056 -175.5016
740.000000 74.029 -174.5795
750.000000 74.001 -173.7074
762.000000 73.979 -172.6671
775.000000 73.962 -171.5051
788.000000 73.938 -170.3694
800.000000 73.919 -169.3459
812.000000 73.898 -168.3412
825.000000 73.864 -167.2485
838.000000 73.836 -166.1016
850.000000 73.806 -165.0356
862.000000 73.761 -163.9147
875.000000 73.688 -162.5334
885.000000 73.613 -161.1869
900.000000 73.503 -158.2846
912.000000 73.549 -154.9485
925.000000 73.898 -151.2933
938.000000 74.440 -149.6609
950.000000 74.834 -149.9899
962.000000 75.046 -150.7593
975.000000 75.148 -151.2729
988.000000 75.202 -151.3666
1000.000000 75.248 -151.1667
1015.000000 75.307 -150.7137
1030.000000 75.372 -150.1580
1044.000000 75.434 -149.5910
1060.000000 75.511 -148.9366
1075.000000 75.590 -148.3753
1090.000000 75.670 -147.8250
1106.000000 75.759 -147.2124
1120.000000 75.839 -146.6638
1138.000000 75.939 -146.0035
1150.000000 76.006 -145.5822
1172.000000 76.128 -144.8521
1180.000000 76.172 -144.5932
1206.000000 76.312 -143.7877
1220.000000 76.384 -143.3668
1241.000000 76.489 -142.7627
1250.000000 76.533 -142.4998
1265.000000 76.605 -142.0592
1280.000000 76.674 -141.6434
1315.000000 76.838 -140.6897
1320.000000 76.861 -140.5521
1340.000000 76.952 -139.9967
1360.000000 77.041 -139.4445
1380.000000 77.129 -138.8949
1400.000000 77.214 -138.3364
1430.000000 77.343 -137.4889
1450.000000 77.428 -136.9104
1475.000000 77.537 -136.1631
1500.000000 77.648 -135.4252
1525.000000 77.763 -134.6983
1550.000000 77.877 -133.9586
1575.000000 77.989 -133.2085
1600.000000 78.105 -132.4572
1625.000000 78.228 -131.7116
1650.000000 78.353 -130.9587
1675.000000 78.479 -130.2193
1700.000000 78.609 -129.4776
1725.000000 78.743 -128.7318
1750.000000 78.878 -127.9901
1775.000000 79.019 -127.2376
1800.000000 79.164 -126.4926
1825.000000 79.314 -125.7642
1850.000000 79.466 -125.0457
1875.000000 79.624 -124.3202
1900.000000 79.786 -123.5940
1925.000000 79.951 -122.8746
1950.000000 80.121 -122.1672
1975.000000 80.298 -121.4650
2000.000000 80.482 -120.7644
2030.000000 80.711 -119.9280
2060.000000 80.952 -119.1036
2090.000000 81.206 -118.2965
2120.000000 81.476 -117.5141
2140.000000 81.665 -117.0143
2180.000000 82.069 -116.0997
2200.000000 82.285 -115.6980
2240.000000 82.744 -115.0676
2270.000000 83.107 -114.8076
2300.000000 83.480 -114.7617
2330.000000 83.854 -114.9326
2360.000000 84.223 -115.3078
2400.000000 84.696 -116.0913
2430.000000 85.032 -116.8433
2470.000000 85.460 -117.9958
2500.000000 85.766 -118.9440
2540.000000 86.158 -120.3129
2580.000000 86.538 -121.7942
2620.000000 86.907 -123.4085
2650.000000 87.176 -124.7204
2690.000000 87.522 -126.6207
2720.000000 87.770 -128.1682
2760.000000 88.081 -130.3952
2800.000000 88.364 -132.7988
2850.000000 88.671 -136.0134
2900.000000 88.919 -139.4030
2950.000000 89.108 -142.8748
3000.000000 89.241 -146.3888
3040.000000 89.308 -149.2376
3070.000000 89.332 -151.3939
3110.000000 89.326 -154.2657
3150.000000 89.271 -157.0695
3200.000000 89.140 -160.3701
3250.000000 88.953 -163.3565
3300.000000 88.724 -165.9850
3350.000000 88.468 -168.2461
3400.000000 88.196 -170.1519
3450.000000 87.916 -171.7257
3500.000000 87.636 -172.9924
3550.000000 87.361 -173.9766
3600.000000 87.096 -174.7150
3650.000000 86.843 -175.2399
3700.000000 86.605 -175.5791
3750.000000 86.382 -175.7478
3820.000000 86.097 -175.7395
3870.000000 85.913 -175.5886
3950.000000 85.654 -175.1258
4000.000000 85.516 -174.7076
4060.000000 85.377 -174.1122
4120.000000 85.268 -173.4388
4180.000000 85.190 -172.7065
4250.000000 85.140 -171.8468
4310.000000 85.130 -171.1680
4370.000000 85.145 -170.5797
4440.000000 85.180 -170.0147
4500.000000 85.218 -169.6135
4550.000000 85.254 -169.3058
4620.000000 85.316 -168.9060
4680.000000 85.384 -168.5988
4750.000000 85.481 -168.3123
4820.000000 85.590 -168.1368
4870.000000 85.671 -168.0722
4940.000000 85.787 -168.0240
5000.000000 85.890 -167.9693
5080.000000 86.053 -167.8367
5150.000000 86.239 -167.7431
5220.000000 86.470 -167.8154
5300.000000 86.780 -168.2733
5380.000000 87.118 -169.2486
5450.000000 87.422 -170.5855
5520.000000 87.712 -172.4062
5600.000000 87.998 -175.0539
5700.000000 88.254 -179.0354
5800.000000 88.361 176.5301
5900.000000 88.311 172.0562
