* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -25.0 dBFS with no timing reference
* Dated: Aug 17, 2024 2:38:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Skullcandy JIB (AET07) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 85.974 -132.4022
20.600000 86.001 -133.2264
20.900000 86.024 -134.1112
21.200001 86.042 -134.9851
21.400000 86.055 -135.5602
21.799999 86.089 -136.7063
22.000000 86.112 -137.2852
22.400000 86.166 -138.4662
22.700001 86.209 -139.3657
23.000000 86.248 -140.2558
23.299999 86.282 -141.1096
23.600000 86.309 -141.9042
24.000000 86.340 -142.8596
24.299999 86.362 -143.5147
24.700001 86.394 -144.3583
25.000000 86.417 -145.0027
25.400000 86.445 -145.9022
25.799999 86.464 -146.8365
26.200001 86.477 -147.7723
26.500000 86.485 -148.4579
26.900000 86.497 -149.3416
27.200001 86.508 -149.9808
27.600000 86.524 -150.7974
28.000000 86.542 -151.5639
28.500000 86.569 -152.4526
29.000000 86.601 -153.3156
29.500000 86.633 -154.2327
30.000000 86.648 -155.2194
30.400000 86.644 -156.0074
30.700001 86.635 -156.5631
31.100000 86.624 -157.2397
31.500000 86.623 -157.8630
32.000000 86.640 -158.6392
32.500000 86.667 -159.4631
33.000000 86.688 -160.3065
33.500000 86.698 -161.1080
34.000000 86.701 -161.8529
34.500000 86.698 -162.5748
35.000000 86.689 -163.3004
35.500000 86.676 -164.0249
36.000000 86.663 -164.7418
36.500000 86.656 -165.4625
37.000000 86.652 -166.1887
37.500000 86.645 -166.8887
38.200001 86.635 -167.7674
38.700001 86.632 -168.3523
39.500000 86.626 -169.3218
40.000000 86.612 -169.9230
40.599998 86.592 -170.5713
41.200001 86.579 -171.1668
41.799999 86.566 -171.7900
42.500000 86.532 -172.5540
43.099998 86.494 -173.1998
43.700001 86.466 -173.8878
44.400002 86.447 -174.8080
45.000000 86.429 -175.5748
45.500000 86.414 -176.0837
46.200001 86.405 -176.6365
46.799999 86.402 -177.1622
47.500000 86.377 -177.9388
48.200001 86.340 -178.7098
48.700001 86.332 -179.1901
49.400002 86.350 -179.8530
50.000000 86.357 179.5468
50.799999 86.314 178.8794
51.500000 86.265 178.4434
52.200001 86.243 177.8776
53.000000 86.220 177.0244
53.799999 86.173 176.3417
54.500000 86.129 175.9517
55.200001 86.083 175.5849
56.000000 86.037 175.1390
57.000000 86.002 174.4501
58.000000 85.909 173.8311
59.000000 85.814 173.6601
60.000000 85.808 173.0026
60.799999 85.800 172.0723
61.500000 85.789 171.3886
62.200001 85.789 170.8364
63.000000 85.776 170.2194
64.000000 85.713 169.5424
65.000000 85.634 169.0443
66.000000 85.576 168.5949
67.000000 85.535 168.1201
68.000000 85.488 167.6924
69.000000 85.434 167.2665
70.000000 85.383 166.6841
71.000000 85.333 166.0451
72.000000 85.291 165.5399
73.000000 85.252 165.0921
74.000000 85.201 164.6061
75.000000 85.145 164.1550
76.199997 85.091 163.6686
77.500000 85.028 163.1455
78.800003 84.959 162.6448
80.000000 84.894 162.1458
81.199997 84.819 161.7027
82.500000 84.752 161.2530
83.800003 84.689 160.7104
85.000000 84.619 160.2091
86.199997 84.563 159.6606
87.500000 84.519 159.0536
88.500000 84.489 158.7167
90.000000 84.435 158.2902
91.199997 84.384 157.9584
92.500000 84.321 157.5993
93.800003 84.239 157.2746
95.000000 84.172 156.9238
96.199997 84.114 156.4566
97.500000 84.062 156.0851
98.800003 84.005 155.9058
100.000000 83.911 155.8258
101.500000 83.807 155.5026
103.000000 83.758 154.9406
104.400002 83.720 154.5217
106.000000 83.642 154.0190
107.500000 83.566 153.6202
109.000000 83.502 153.3886
110.599998 83.432 153.1628
112.000000 83.371 152.8967
113.800003 83.287 152.5674
115.000000 83.225 152.3250
117.199997 83.118 151.8727
118.000000 83.080 151.7368
120.599998 82.965 151.3116
122.000000 82.907 151.1062
124.099998 82.811 150.7890
125.000000 82.771 150.6661
126.500000 82.707 150.4689
128.000000 82.644 150.2653
131.500000 82.502 149.8582
132.000000 82.481 149.7909
134.000000 82.397 149.5298
136.000000 82.309 149.2931
138.000000 82.222 149.0434
140.000000 82.144 148.8185
143.000000 82.030 148.5559
145.000000 81.953 148.3773
147.500000 81.852 148.1133
150.000000 81.744 147.7219
152.500000 81.636 147.5071
155.000000 81.535 147.4887
157.500000 81.435 147.3879
160.000000 81.312 147.3938
162.500000 81.196 147.3780
165.000000 81.160 147.0778
167.500000 81.093 146.8568
170.000000 80.997 146.7556
172.500000 80.895 146.6488
175.000000 80.804 146.4954
177.500000 80.728 146.4634
180.000000 80.653 146.5417
182.500000 80.574 146.5758
185.000000 80.481 146.4464
187.500000 80.384 146.4037
190.000000 80.290 146.2702
192.500000 80.214 146.2263
195.000000 80.146 146.2003
197.500000 80.080 146.0944
200.000000 80.033 145.8075
203.000000 79.945 145.8280
206.000000 79.819 146.2283
209.000000 79.715 146.2761
212.000000 79.595 146.1230
214.000000 79.534 146.0531
218.000000 79.458 145.9399
220.000000 79.419 146.0852
224.000000 79.319 146.1016
227.000000 79.238 146.1859
230.000000 79.153 146.5097
233.000000 79.046 146.5544
236.000000 78.958 146.7758
240.000000 78.846 146.3630
243.000000 78.751 145.6887
247.000000 78.629 146.4612
250.000000 78.556 146.9407
254.000000 78.477 147.1813
258.000000 78.369 147.3750
262.000000 78.244 147.5900
265.000000 78.163 147.7112
269.000000 78.071 147.8771
272.000000 78.002 148.1018
276.000000 77.925 148.4684
280.000000 77.863 148.8564
285.000000 77.790 149.2986
290.000000 77.724 149.2509
295.000000 77.662 149.2319
300.000000 77.584 149.3030
304.000000 77.499 149.4983
307.000000 77.433 149.6949
311.000000 77.341 149.9000
315.000000 77.245 150.1613
320.000000 77.129 150.4918
325.000000 77.016 150.7635
330.000000 76.906 150.9016
335.000000 76.810 151.1426
340.000000 76.725 151.6947
345.000000 76.663 152.1429
350.000000 76.591 152.3587
355.000000 76.511 152.5767
360.000000 76.442 152.8026
365.000000 76.375 153.0926
370.000000 76.303 153.3858
375.000000 76.229 153.8058
382.000000 76.130 154.4416
387.000000 76.055 154.7611
395.000000 75.929 155.2722
400.000000 75.855 155.6558
406.000000 75.771 156.0487
412.000000 75.703 156.3050
418.000000 75.634 156.7285
425.000000 75.535 157.3480
431.000000 75.451 157.8250
437.000000 75.394 158.2795
444.000000 75.324 158.8077
450.000000 75.249 159.1602
455.000000 75.183 159.5612
462.000000 75.101 160.2111
468.000000 75.041 160.7485
475.000000 74.980 161.2025
482.000000 74.918 161.6623
487.000000 74.863 162.0408
494.000000 74.786 162.6224
500.000000 74.734 163.0863
508.000000 74.673 163.6637
515.000000 74.617 164.1864
522.000000 74.560 164.6432
530.000000 74.501 165.2122
538.000000 74.452 165.8887
545.000000 74.410 166.3378
552.000000 74.369 166.7015
560.000000 74.322 167.1536
570.000000 74.252 167.7012
580.000000 74.167 168.1176
590.000000 74.056 168.3185
600.000000 73.811 168.3574
608.000000 73.512 169.6769
615.000000 73.403 172.1569
622.000000 73.486 173.9921
630.000000 73.604 174.8100
640.000000 73.660 175.3641
650.000000 73.658 175.9318
660.000000 73.635 176.6068
670.000000 73.601 177.3441
680.000000 73.573 178.1176
690.000000 73.548 178.9284
700.000000 73.527 179.7207
710.000000 73.503 -179.5012
720.000000 73.481 -178.7021
730.000000 73.460 -177.8972
740.000000 73.443 -177.0783
750.000000 73.440 -176.2842
762.000000 73.441 -175.3651
775.000000 73.445 -174.4638
788.000000 73.462 -173.6820
800.000000 73.472 -173.3685
812.000000 73.382 -173.3820
825.000000 73.147 -172.3860
838.000000 73.014 -169.9830
850.000000 73.050 -167.9666
862.000000 73.125 -166.4680
875.000000 73.195 -165.1797
885.000000 73.245 -164.3251
900.000000 73.319 -163.1337
912.000000 73.375 -162.2033
925.000000 73.434 -161.2358
938.000000 73.493 -160.2495
950.000000 73.552 -159.3506
962.000000 73.613 -158.4786
975.000000 73.682 -157.5963
988.000000 73.755 -156.7348
1000.000000 73.826 -155.9319
1015.000000 73.916 -154.9880
1030.000000 74.005 -154.0848
1044.000000 74.090 -153.3122
1060.000000 74.188 -152.5168
1075.000000 74.282 -151.7701
1090.000000 74.375 -151.0569
1106.000000 74.472 -150.3168
1120.000000 74.557 -149.7050
1138.000000 74.659 -148.9682
1150.000000 74.725 -148.4831
1172.000000 74.853 -147.6637
1180.000000 74.898 -147.3832
1206.000000 75.036 -146.4884
1220.000000 75.107 -146.0396
1241.000000 75.214 -145.3633
1250.000000 75.259 -145.0718
1265.000000 75.331 -144.6013
1280.000000 75.401 -144.1525
1315.000000 75.558 -143.1063
1320.000000 75.579 -142.9561
1340.000000 75.665 -142.3585
1360.000000 75.748 -141.7579
1380.000000 75.832 -141.1578
1400.000000 75.916 -140.5396
1430.000000 76.038 -139.6038
1450.000000 76.120 -138.9852
1475.000000 76.224 -138.1992
1500.000000 76.324 -137.4185
1525.000000 76.429 -136.6278
1550.000000 76.537 -135.8420
1575.000000 76.649 -135.0444
1600.000000 76.762 -134.2608
1625.000000 76.876 -133.4668
1650.000000 76.994 -132.6755
1675.000000 77.112 -131.8860
1700.000000 77.233 -131.0921
1725.000000 77.359 -130.2867
1750.000000 77.491 -129.4956
1775.000000 77.624 -128.7193
1800.000000 77.760 -127.9548
1825.000000 77.903 -127.1985
1850.000000 78.048 -126.4550
1875.000000 78.197 -125.7266
1900.000000 78.351 -125.0101
1925.000000 78.511 -124.3043
1950.000000 78.673 -123.6052
1975.000000 78.837 -122.9107
2000.000000 79.004 -122.2337
2030.000000 79.212 -121.4506
2060.000000 79.427 -120.6774
2090.000000 79.651 -119.9163
2120.000000 79.882 -119.1789
2140.000000 80.040 -118.7103
2180.000000 80.368 -117.8150
2200.000000 80.539 -117.3868
2240.000000 80.897 -116.5830
2270.000000 81.177 -116.0302
2300.000000 81.469 -115.5320
2330.000000 81.774 -115.1107
2360.000000 82.093 -114.7739
2400.000000 82.542 -114.4849
2430.000000 82.896 -114.4221
2470.000000 83.386 -114.6130
2500.000000 83.760 -115.0014
2540.000000 84.259 -115.8725
2580.000000 84.738 -117.1380
2620.000000 85.187 -118.7293
2650.000000 85.499 -120.0928
2690.000000 85.882 -122.0893
2720.000000 86.145 -123.6893
2760.000000 86.466 -125.9365
2800.000000 86.750 -128.2993
2850.000000 87.055 -131.3990
2900.000000 87.303 -134.5979
2950.000000 87.492 -137.8566
3000.000000 87.627 -141.1376
3040.000000 87.695 -143.7696
3070.000000 87.720 -145.7420
3110.000000 87.715 -148.3410
3150.000000 87.664 -150.8461
3200.000000 87.539 -153.7285
3250.000000 87.361 -156.2042
3300.000000 87.155 -158.1850
3350.000000 86.952 -159.6710
3400.000000 86.782 -160.8125
3450.000000 86.654 -161.8494
3500.000000 86.545 -162.9942
3550.000000 86.422 -164.2325
3600.000000 86.269 -165.4124
3650.000000 86.093 -166.4071
3700.000000 85.907 -167.1644
3750.000000 85.725 -167.6955
3820.000000 85.491 -168.1464
3870.000000 85.339 -168.3278
3950.000000 85.118 -168.4411
4000.000000 84.993 -168.4030
4060.000000 84.855 -168.2488
4120.000000 84.734 -167.9899
4180.000000 84.630 -167.6522
4250.000000 84.531 -167.1847
4310.000000 84.463 -166.7428
4370.000000 84.409 -166.2679
4440.000000 84.364 -165.6776
4500.000000 84.337 -165.1561
4550.000000 84.320 -164.7150
4620.000000 84.297 -164.0425
4680.000000 84.281 -163.3159
4750.000000 84.287 -162.2078
4820.000000 84.346 -160.8661
4870.000000 84.433 -159.8576
4940.000000 84.616 -158.5302
5000.000000 84.823 -157.5574
5080.000000 85.156 -156.5866
5150.000000 85.489 -156.0838
5220.000000 85.853 -155.9180
5300.000000 86.297 -156.1757
5380.000000 86.761 -156.9417
5450.000000 87.175 -158.0620
5520.000000 87.586 -159.6311
5600.000000 88.040 -161.9972
5700.000000 88.552 -165.8205
5800.000000 88.963 -170.5574
5900.000000 89.224 -176.0464
