* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Sep 19, 2024 7:40:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony MH750 (AET07) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 96.751 173.8365
20.600000 96.715 173.1988
20.900000 96.671 172.5173
21.200001 96.624 171.8390
21.400000 96.594 171.3880
21.799999 96.534 170.4877
22.000000 96.504 170.0400
22.400000 96.446 169.1574
22.700001 96.401 168.5131
23.000000 96.357 167.8876
23.299999 96.311 167.2813
23.600000 96.265 166.6927
24.000000 96.202 165.9322
24.299999 96.155 165.3778
24.700001 96.092 164.6574
25.000000 96.046 164.1290
25.400000 95.986 163.4363
25.799999 95.926 162.7541
26.200001 95.865 162.0843
26.500000 95.818 161.5946
26.900000 95.753 160.9658
27.200001 95.704 160.5147
27.600000 95.640 159.9364
28.000000 95.577 159.3724
28.500000 95.501 158.6658
29.000000 95.425 157.9498
29.500000 95.344 157.2445
30.000000 95.260 156.5781
30.400000 95.194 156.0796
30.700001 95.146 155.7211
31.100000 95.085 155.2535
31.500000 95.026 154.7902
32.000000 94.951 154.2196
32.500000 94.875 153.6724
33.000000 94.797 153.1541
33.500000 94.720 152.6494
34.000000 94.643 152.1399
34.500000 94.565 151.6269
35.000000 94.484 151.1299
35.500000 94.406 150.6636
36.000000 94.331 150.2216
36.500000 94.260 149.7872
37.000000 94.188 149.3538
37.500000 94.114 148.9283
38.200001 94.009 148.3590
38.700001 93.934 147.9688
39.500000 93.817 147.3644
40.000000 93.745 147.0007
40.599998 93.659 146.5777
41.200001 93.573 146.1647
41.799999 93.488 145.7627
42.500000 93.389 145.3140
43.099998 93.306 144.9466
43.700001 93.225 144.5918
44.400002 93.132 144.1935
45.000000 93.053 143.8654
45.500000 92.988 143.5993
46.200001 92.896 143.2352
46.799999 92.816 142.9326
47.500000 92.722 142.5930
48.200001 92.631 142.2625
48.700001 92.566 142.0301
49.400002 92.478 141.7164
50.000000 92.405 141.4633
50.799999 92.308 141.1402
51.500000 92.220 140.8726
52.200001 92.130 140.6304
53.000000 92.033 140.3625
53.799999 91.940 140.0730
54.500000 91.858 139.8227
55.200001 91.775 139.5945
56.000000 91.682 139.3396
57.000000 91.564 139.0125
58.000000 91.452 138.7137
59.000000 91.345 138.4609
60.000000 91.237 138.2733
60.799999 91.153 138.1315
61.500000 91.080 137.9640
62.200001 91.005 137.7818
63.000000 90.919 137.6047
64.000000 90.813 137.4145
65.000000 90.707 137.2482
66.000000 90.614 137.0300
67.000000 90.516 136.7831
68.000000 90.417 136.6430
69.000000 90.323 136.5157
70.000000 90.232 136.3656
71.000000 90.148 136.1777
72.000000 90.055 136.0086
73.000000 89.957 135.9075
74.000000 89.862 135.7984
75.000000 89.772 135.6834
76.199997 89.671 135.5482
77.500000 89.557 135.4038
78.800003 89.440 135.2768
80.000000 89.336 135.1991
81.199997 89.238 135.1285
82.500000 89.132 135.0262
83.800003 89.028 134.9409
85.000000 88.934 134.8888
86.199997 88.841 134.8283
87.500000 88.742 134.7736
88.500000 88.666 134.7509
90.000000 88.553 134.7138
91.199997 88.464 134.6650
92.500000 88.370 134.6318
93.800003 88.277 134.6146
95.000000 88.193 134.5973
96.199997 88.109 134.5840
97.500000 88.018 134.5961
98.800003 87.931 134.6005
100.000000 87.853 134.5872
101.500000 87.754 134.5978
103.000000 87.658 134.6312
104.400002 87.571 134.6564
106.000000 87.472 134.6730
107.500000 87.380 134.6879
109.000000 87.291 134.7240
110.599998 87.197 134.7734
112.000000 87.114 134.8221
113.800003 87.009 134.8959
115.000000 86.940 134.9429
117.199997 86.816 135.0223
118.000000 86.770 135.0358
120.599998 86.621 135.0951
122.000000 86.554 135.1879
124.099998 86.450 135.3234
125.000000 86.405 135.3766
126.500000 86.329 135.4562
128.000000 86.254 135.5334
131.500000 86.080 135.7779
132.000000 86.056 135.8137
134.000000 85.962 135.9393
136.000000 85.870 136.0441
138.000000 85.780 136.1608
140.000000 85.689 136.2982
143.000000 85.553 136.4977
145.000000 85.466 136.6327
147.500000 85.363 136.8251
150.000000 85.259 136.9914
152.500000 85.158 137.1682
155.000000 85.060 137.3758
157.500000 84.961 137.5933
160.000000 84.866 137.7959
162.500000 84.774 138.0007
165.000000 84.679 138.2091
167.500000 84.587 138.4100
170.000000 84.500 138.6240
172.500000 84.415 138.8449
175.000000 84.330 139.0559
177.500000 84.244 139.2681
180.000000 84.162 139.4865
182.500000 84.084 139.7023
185.000000 84.006 139.9171
187.500000 83.932 140.1173
190.000000 83.856 140.3251
192.500000 83.777 140.5561
195.000000 83.705 140.7822
197.500000 83.636 141.0222
200.000000 83.566 141.2695
203.000000 83.481 141.5293
206.000000 83.397 141.7963
209.000000 83.318 142.0727
212.000000 83.240 142.3393
214.000000 83.187 142.5289
218.000000 83.086 142.9306
220.000000 83.038 143.1203
224.000000 82.945 143.4778
227.000000 82.875 143.7585
230.000000 82.802 144.0514
233.000000 82.732 144.3360
236.000000 82.667 144.6136
240.000000 82.579 144.9785
243.000000 82.513 145.2601
247.000000 82.429 145.6742
250.000000 82.369 145.9647
254.000000 82.289 146.3375
258.000000 82.208 146.6983
262.000000 82.128 147.0541
265.000000 82.070 147.3274
269.000000 81.996 147.7063
272.000000 81.942 148.0089
276.000000 81.874 148.4241
280.000000 81.807 148.8289
285.000000 81.725 149.3828
290.000000 81.646 149.9639
295.000000 81.574 150.5269
300.000000 81.518 151.0356
304.000000 81.479 151.3976
307.000000 81.450 151.6402
311.000000 81.406 151.9253
315.000000 81.353 152.1927
320.000000 81.284 152.5349
325.000000 81.216 152.9318
330.000000 81.148 153.3448
335.000000 81.082 153.7274
340.000000 81.019 154.1387
345.000000 80.961 154.5804
350.000000 80.905 155.0094
355.000000 80.845 155.4380
360.000000 80.785 155.8826
365.000000 80.728 156.3433
370.000000 80.675 156.7678
375.000000 80.622 157.1596
382.000000 80.546 157.7787
387.000000 80.498 158.2582
395.000000 80.431 159.0095
400.000000 80.392 159.4355
406.000000 80.347 159.9337
412.000000 80.302 160.3948
418.000000 80.256 160.8384
425.000000 80.201 161.3610
431.000000 80.153 161.8160
437.000000 80.103 162.3110
444.000000 80.052 162.8945
450.000000 80.011 163.3748
455.000000 79.978 163.7743
462.000000 79.932 164.3247
468.000000 79.894 164.7953
475.000000 79.853 165.3731
482.000000 79.814 165.9604
487.000000 79.784 166.3516
494.000000 79.743 166.8859
500.000000 79.711 167.3489
508.000000 79.671 167.9637
515.000000 79.637 168.5073
522.000000 79.603 169.0480
530.000000 79.566 169.6746
538.000000 79.530 170.2727
545.000000 79.501 170.8060
552.000000 79.474 171.3312
560.000000 79.446 171.9305
570.000000 79.409 172.6797
580.000000 79.376 173.4090
590.000000 79.346 174.1651
600.000000 79.318 174.8875
608.000000 79.296 175.4478
615.000000 79.277 175.9299
622.000000 79.255 176.3932
630.000000 79.226 176.9237
640.000000 79.186 177.6262
650.000000 79.148 178.4373
660.000000 79.122 179.2889
670.000000 79.108 -179.8912
680.000000 79.095 -179.0918
690.000000 79.078 -178.3058
700.000000 79.060 -177.5222
710.000000 79.047 -176.7271
720.000000 79.040 -175.9248
730.000000 79.033 -175.1189
740.000000 79.030 -174.3105
750.000000 79.031 -173.4932
762.000000 79.032 -172.4997
775.000000 79.035 -171.4062
788.000000 79.042 -170.2488
800.000000 79.056 -169.1414
812.000000 79.082 -167.9875
825.000000 79.131 -166.7195
838.000000 79.207 -165.4881
850.000000 79.298 -164.4260
862.000000 79.397 -163.5020
875.000000 79.503 -162.6353
885.000000 79.583 -162.0467
900.000000 79.699 -161.2374
912.000000 79.783 -160.6146
925.000000 79.868 -159.9599
938.000000 79.953 -159.3246
950.000000 80.032 -158.7425
962.000000 80.111 -158.1582
975.000000 80.201 -157.5483
988.000000 80.293 -156.9702
1000.000000 80.379 -156.4452
1015.000000 80.488 -155.8240
1030.000000 80.598 -155.2534
1044.000000 80.702 -154.7732
1060.000000 80.824 -154.2616
1075.000000 80.939 -153.8196
1090.000000 81.051 -153.4255
1106.000000 81.168 -153.0458
1120.000000 81.269 -152.7501
1138.000000 81.395 -152.4243
1150.000000 81.478 -152.2275
1172.000000 81.623 -151.8998
1180.000000 81.674 -151.7928
1206.000000 81.833 -151.4930
1220.000000 81.914 -151.3495
1241.000000 82.030 -151.1569
1250.000000 82.078 -151.0834
1265.000000 82.157 -150.9612
1280.000000 82.233 -150.8336
1315.000000 82.401 -150.5600
1320.000000 82.423 -150.5217
1340.000000 82.511 -150.3695
1360.000000 82.597 -150.2156
1380.000000 82.678 -150.0580
1400.000000 82.757 -149.8925
1430.000000 82.877 -149.6295
1450.000000 82.954 -149.4568
1475.000000 83.047 -149.2234
1500.000000 83.142 -148.9723
1525.000000 83.236 -148.7230
1550.000000 83.330 -148.4678
1575.000000 83.424 -148.2070
1600.000000 83.518 -147.9399
1625.000000 83.615 -147.6676
1650.000000 83.713 -147.3956
1675.000000 83.812 -147.1277
1700.000000 83.913 -146.8514
1725.000000 84.016 -146.5823
1750.000000 84.122 -146.3211
1775.000000 84.229 -146.0659
1800.000000 84.339 -145.8158
1825.000000 84.450 -145.5732
1850.000000 84.564 -145.3428
1875.000000 84.679 -145.1262
1900.000000 84.796 -144.9243
1925.000000 84.915 -144.7349
1950.000000 85.036 -144.5605
1975.000000 85.160 -144.3947
2000.000000 85.287 -144.2406
2030.000000 85.440 -144.0834
2060.000000 85.597 -143.9587
2090.000000 85.755 -143.8630
2120.000000 85.917 -143.7976
2140.000000 86.026 -143.7704
2180.000000 86.250 -143.7537
2200.000000 86.363 -143.7683
2240.000000 86.591 -143.8421
2270.000000 86.764 -143.9453
2300.000000 86.940 -144.0950
2330.000000 87.117 -144.2877
2360.000000 87.296 -144.5196
2400.000000 87.536 -144.8983
2430.000000 87.716 -145.2411
2470.000000 87.957 -145.7736
2500.000000 88.138 -146.2321
2540.000000 88.378 -146.9317
2580.000000 88.614 -147.7306
2620.000000 88.848 -148.6266
2650.000000 89.020 -149.3618
2690.000000 89.243 -150.4335
2720.000000 89.404 -151.3013
2760.000000 89.611 -152.5403
2800.000000 89.806 -153.8694
2850.000000 90.030 -155.6218
2900.000000 90.234 -157.4364
2950.000000 90.425 -159.2761
3000.000000 90.614 -161.1642
3040.000000 90.766 -162.7860
3070.000000 90.877 -164.1070
3110.000000 91.010 -166.0135
3150.000000 91.119 -168.0595
3200.000000 91.212 -170.7375
3250.000000 91.256 -173.4583
3300.000000 91.256 -176.1559
3350.000000 91.215 -178.7835
3400.000000 91.139 178.6929
3450.000000 91.032 176.2925
3500.000000 90.900 174.0364
3550.000000 90.746 171.9290
3600.000000 90.576 169.9670
3650.000000 90.393 168.1388
3700.000000 90.199 166.4319
3750.000000 89.993 164.8370
3820.000000 89.683 162.8169
3870.000000 89.448 161.5569
3950.000000 89.063 159.9088
4000.000000 88.828 159.0877
4060.000000 88.558 158.2340
4120.000000 88.295 157.4591
4180.000000 88.030 156.7687
4250.000000 87.716 156.1406
4310.000000 87.452 155.8082
4370.000000 87.209 155.6240
4440.000000 86.952 155.3967
4500.000000 86.728 155.1317
4550.000000 86.528 154.9626
4620.000000 86.238 154.9508
4680.000000 86.003 155.1913
4750.000000 85.774 155.5948
4820.000000 85.570 155.7946
4870.000000 85.409 155.8895
4940.000000 85.170 156.1916
5000.000000 84.971 156.6186
5080.000000 84.726 157.3343
5150.000000 84.531 158.0563
5220.000000 84.354 158.8570
5300.000000 84.176 159.8522
5380.000000 84.031 160.8736
5450.000000 83.929 161.7064
5520.000000 83.836 162.4151
5600.000000 83.717 163.1579
5700.000000 83.559 164.3127
5800.000000 83.441 165.7298
5900.000000 83.379 167.1615
6000.000000 83.362 168.4771
6080.000000 83.371 169.4055
6150.000000 83.389 170.1075
6220.000000 83.412 170.7147
6300.000000 83.438 171.3252
