* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Sep 19, 2024 7:42:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony MH750 (AET07) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.930 165.7505
20.600000 94.882 165.1963
20.900000 94.824 164.6067
21.200001 94.766 164.0226
21.400000 94.727 163.6354
21.799999 94.653 162.8617
22.000000 94.618 162.4745
22.400000 94.546 161.7019
22.700001 94.491 161.1315
23.000000 94.434 160.5784
23.299999 94.375 160.0513
23.600000 94.315 159.5547
24.000000 94.236 158.9348
24.299999 94.179 158.4884
24.700001 94.108 157.8957
25.000000 94.055 157.4448
25.400000 93.981 156.8413
25.799999 93.904 156.2557
26.200001 93.825 155.7023
26.500000 93.768 155.3025
26.900000 93.695 154.7664
27.200001 93.642 154.3481
27.600000 93.569 153.7702
28.000000 93.491 153.2025
28.500000 93.387 152.5804
29.000000 93.287 152.0925
29.500000 93.200 151.6853
30.000000 93.123 151.2663
30.400000 93.061 150.8902
30.700001 93.011 150.5874
31.100000 92.942 150.1698
31.500000 92.870 149.7494
32.000000 92.778 149.2343
32.500000 92.685 148.7546
33.000000 92.590 148.3466
33.500000 92.500 148.0216
34.000000 92.420 147.7332
34.500000 92.347 147.4088
35.000000 92.273 147.0218
35.500000 92.190 146.6212
36.000000 92.100 146.2782
36.500000 92.014 146.0081
37.000000 91.937 145.7551
37.500000 91.866 145.4537
38.200001 91.757 144.9526
38.700001 91.672 144.6124
39.500000 91.542 144.1672
40.000000 91.469 143.9125
40.599998 91.381 143.6072
41.200001 91.289 143.3323
41.799999 91.200 143.0891
42.500000 91.103 142.7816
43.099998 91.018 142.4919
43.700001 90.928 142.2348
44.400002 90.828 141.9958
45.000000 90.749 141.7921
45.500000 90.684 141.6094
46.200001 90.588 141.3746
46.799999 90.506 141.2110
47.500000 90.413 141.0247
48.200001 90.318 140.8158
48.700001 90.250 140.6595
49.400002 90.159 140.4320
50.000000 90.083 140.2301
50.799999 89.978 140.0055
51.500000 89.887 139.8896
52.200001 89.808 139.7909
53.000000 89.723 139.6031
53.799999 89.631 139.3776
54.500000 89.542 139.2406
55.200001 89.457 139.1639
56.000000 89.366 139.0664
57.000000 89.253 138.8781
58.000000 89.141 138.7198
59.000000 89.038 138.5983
60.000000 88.932 138.4525
60.799999 88.843 138.3618
61.500000 88.768 138.3093
62.200001 88.697 138.2558
63.000000 88.617 138.1849
64.000000 88.518 138.0988
65.000000 88.417 138.0205
66.000000 88.317 137.9626
67.000000 88.223 137.9042
68.000000 88.133 137.8409
69.000000 88.043 137.8024
70.000000 87.953 137.7719
71.000000 87.863 137.7245
72.000000 87.773 137.6801
73.000000 87.684 137.6904
74.000000 87.601 137.7372
75.000000 87.520 137.7511
76.199997 87.420 137.7260
77.500000 87.314 137.7032
78.800003 87.212 137.6916
80.000000 87.116 137.6874
81.199997 87.019 137.7235
82.500000 86.918 137.7787
83.800003 86.818 137.8478
85.000000 86.729 137.8918
86.199997 86.646 137.9058
87.500000 86.559 137.9661
88.500000 86.492 138.0444
90.000000 86.389 138.1359
91.199997 86.306 138.1696
92.500000 86.217 138.2352
93.800003 86.130 138.3432
95.000000 86.056 138.4251
96.199997 85.986 138.4928
97.500000 85.909 138.5706
98.800003 85.830 138.6544
100.000000 85.755 138.7355
101.500000 85.666 138.8680
103.000000 85.583 138.9947
104.400002 85.503 139.0641
106.000000 85.412 139.1654
107.500000 85.328 139.3000
109.000000 85.247 139.4475
110.599998 85.166 139.6066
112.000000 85.097 139.7360
113.800003 85.007 139.8741
115.000000 84.946 139.9764
117.199997 84.835 140.1942
118.000000 84.793 140.2873
120.599998 84.659 140.5699
122.000000 84.603 140.6695
124.099998 84.515 140.8422
125.000000 84.473 140.9272
126.500000 84.407 141.0848
128.000000 84.345 141.2355
131.500000 84.201 141.6105
132.000000 84.180 141.6615
134.000000 84.096 141.8510
136.000000 84.016 142.0547
138.000000 83.939 142.2827
140.000000 83.864 142.4933
143.000000 83.755 142.8095
145.000000 83.683 143.0376
147.500000 83.595 143.3063
150.000000 83.509 143.5563
152.500000 83.427 143.8093
155.000000 83.343 144.0948
157.500000 83.260 144.3776
160.000000 83.180 144.6535
162.500000 83.105 144.9087
165.000000 83.030 145.1654
167.500000 82.957 145.4447
170.000000 82.887 145.7312
172.500000 82.818 146.0007
175.000000 82.749 146.2711
177.500000 82.680 146.5450
180.000000 82.613 146.8093
182.500000 82.550 147.0758
185.000000 82.487 147.3659
187.500000 82.423 147.6294
190.000000 82.362 147.8851
192.500000 82.305 148.1479
195.000000 82.249 148.4203
197.500000 82.192 148.7033
200.000000 82.137 148.9863
203.000000 82.071 149.3032
206.000000 82.008 149.6245
209.000000 81.947 149.9495
212.000000 81.887 150.2721
214.000000 81.848 150.4819
218.000000 81.769 150.8998
220.000000 81.730 151.1069
224.000000 81.656 151.5097
227.000000 81.602 151.8430
230.000000 81.549 152.1683
233.000000 81.497 152.4647
236.000000 81.446 152.7702
240.000000 81.380 153.1912
243.000000 81.332 153.4969
247.000000 81.269 153.8857
250.000000 81.223 154.1612
254.000000 81.163 154.5703
258.000000 81.102 154.9858
262.000000 81.046 155.3885
265.000000 81.004 155.6875
269.000000 80.949 156.0860
272.000000 80.910 156.3774
276.000000 80.861 156.7374
280.000000 80.809 157.1240
285.000000 80.741 157.6801
290.000000 80.675 158.2153
295.000000 80.614 158.8003
300.000000 80.565 159.4515
304.000000 80.546 159.9681
307.000000 80.541 160.2741
311.000000 80.531 160.5329
315.000000 80.506 160.6992
320.000000 80.464 160.9950
325.000000 80.417 161.3743
330.000000 80.369 161.8006
335.000000 80.323 162.2285
340.000000 80.277 162.6248
345.000000 80.233 163.0424
350.000000 80.191 163.4315
355.000000 80.156 163.8180
360.000000 80.128 164.2376
365.000000 80.090 164.6538
370.000000 80.050 165.0694
375.000000 80.017 165.4701
382.000000 79.973 165.9974
387.000000 79.936 166.3590
395.000000 79.875 167.0406
400.000000 79.846 167.4695
406.000000 79.810 167.9478
412.000000 79.775 168.4357
418.000000 79.743 168.9081
425.000000 79.707 169.4533
431.000000 79.682 169.9269
437.000000 79.659 170.4102
444.000000 79.626 170.9311
450.000000 79.599 171.3586
455.000000 79.576 171.7197
462.000000 79.547 172.2413
468.000000 79.526 172.7094
475.000000 79.503 173.2567
482.000000 79.481 173.7827
487.000000 79.464 174.1400
494.000000 79.438 174.6437
500.000000 79.417 175.0755
508.000000 79.396 175.6394
515.000000 79.379 176.1228
522.000000 79.362 176.6184
530.000000 79.342 177.1964
538.000000 79.321 177.7579
545.000000 79.305 178.2357
552.000000 79.290 178.7205
560.000000 79.271 179.2908
570.000000 79.253 -179.9776
580.000000 79.234 -179.2639
590.000000 79.215 -178.5637
600.000000 79.200 -177.8585
608.000000 79.189 -177.2941
615.000000 79.182 -176.7948
622.000000 79.179 -176.2855
630.000000 79.176 -175.7034
640.000000 79.171 -174.9774
650.000000 79.169 -174.2739
660.000000 79.170 -173.5614
670.000000 79.174 -172.8510
680.000000 79.181 -172.1502
690.000000 79.188 -171.4266
700.000000 79.198 -170.7227
710.000000 79.214 -170.0314
720.000000 79.234 -169.3318
730.000000 79.253 -168.6158
740.000000 79.274 -167.8863
750.000000 79.300 -167.1763
762.000000 79.341 -166.3437
775.000000 79.392 -165.4553
788.000000 79.453 -164.5762
800.000000 79.520 -163.8021
812.000000 79.603 -163.0928
825.000000 79.717 -162.5071
838.000000 79.842 -162.3464
850.000000 79.895 -162.8540
862.000000 79.780 -163.4415
875.000000 79.548 -162.6344
885.000000 79.455 -161.0807
900.000000 79.498 -158.8769
912.000000 79.600 -157.6097
925.000000 79.723 -156.5997
938.000000 79.840 -155.8035
950.000000 79.937 -155.1699
962.000000 80.022 -154.5556
975.000000 80.110 -153.8689
988.000000 80.200 -153.1563
1000.000000 80.288 -152.5169
1015.000000 80.405 -151.7508
1030.000000 80.528 -151.0392
1044.000000 80.648 -150.4316
1060.000000 80.787 -149.8267
1075.000000 80.917 -149.3287
1090.000000 81.045 -148.8813
1106.000000 81.179 -148.4629
1120.000000 81.296 -148.1564
1138.000000 81.443 -147.8258
1150.000000 81.537 -147.6243
1172.000000 81.701 -147.2953
1180.000000 81.759 -147.1953
1206.000000 81.939 -146.9148
1220.000000 82.032 -146.7832
1241.000000 82.165 -146.6188
1250.000000 82.220 -146.5577
1265.000000 82.309 -146.4597
1280.000000 82.393 -146.3624
1315.000000 82.578 -146.1624
1320.000000 82.604 -146.1349
1340.000000 82.702 -146.0147
1360.000000 82.798 -145.9013
1380.000000 82.890 -145.7831
1400.000000 82.979 -145.6456
1430.000000 83.111 -145.4278
1450.000000 83.197 -145.2830
1475.000000 83.304 -145.0988
1500.000000 83.408 -144.9146
1525.000000 83.513 -144.7128
1550.000000 83.616 -144.5035
1575.000000 83.719 -144.2908
1600.000000 83.823 -144.0710
1625.000000 83.929 -143.8524
1650.000000 84.035 -143.6325
1675.000000 84.142 -143.4091
1700.000000 84.252 -143.1851
1725.000000 84.364 -142.9686
1750.000000 84.476 -142.7602
1775.000000 84.591 -142.5565
1800.000000 84.708 -142.3609
1825.000000 84.827 -142.1785
1850.000000 84.947 -142.0005
1875.000000 85.070 -141.8383
1900.000000 85.196 -141.6937
1925.000000 85.322 -141.5594
1950.000000 85.451 -141.4343
1975.000000 85.582 -141.3268
2000.000000 85.715 -141.2483
2030.000000 85.878 -141.1837
2060.000000 86.043 -141.1456
2090.000000 86.210 -141.1384
2120.000000 86.378 -141.1711
2140.000000 86.490 -141.2140
2180.000000 86.717 -141.3410
2200.000000 86.831 -141.4250
2240.000000 87.062 -141.6255
2270.000000 87.240 -141.8226
2300.000000 87.419 -142.0706
2330.000000 87.598 -142.3655
2360.000000 87.777 -142.7092
2400.000000 88.016 -143.2291
2430.000000 88.198 -143.6748
2470.000000 88.441 -144.3723
2500.000000 88.622 -144.9767
2540.000000 88.859 -145.8866
2580.000000 89.087 -146.9081
2620.000000 89.305 -148.0400
2650.000000 89.460 -148.9597
2690.000000 89.652 -150.2678
2720.000000 89.784 -151.2936
2760.000000 89.942 -152.6849
2800.000000 90.083 -154.0569
2850.000000 90.245 -155.6957
2900.000000 90.411 -157.2719
2950.000000 90.596 -158.9248
3000.000000 90.788 -160.8213
3040.000000 90.929 -162.5454
3070.000000 91.020 -163.9389
3110.000000 91.119 -165.8944
3150.000000 91.188 -167.9229
3200.000000 91.232 -170.4911
3250.000000 91.233 -173.0157
3300.000000 91.198 -175.4587
3350.000000 91.132 -177.7970
3400.000000 91.041 179.9755
3450.000000 90.929 177.8627
3500.000000 90.799 175.8610
3550.000000 90.652 173.9673
3600.000000 90.489 172.1864
3650.000000 90.312 170.5221
3700.000000 90.123 168.9732
3750.000000 89.922 167.5350
3820.000000 89.623 165.7295
3870.000000 89.397 164.6060
3950.000000 89.025 163.1285
4000.000000 88.791 162.4099
4060.000000 88.515 161.7482
4120.000000 88.251 161.2948
4180.000000 88.012 161.0134
4250.000000 87.771 160.7469
4310.000000 87.583 160.3774
4370.000000 87.376 159.9039
4440.000000 87.102 159.5600
4500.000000 86.873 159.5577
4550.000000 86.710 159.6566
4620.000000 86.514 159.6103
4680.000000 86.321 159.3624
4750.000000 86.048 159.3200
4820.000000 85.781 159.7090
4870.000000 85.614 160.1259
4940.000000 85.410 160.7612
5000.000000 85.255 161.3166
5080.000000 85.066 162.0555
5150.000000 84.915 162.7062
5220.000000 84.776 163.3607
5300.000000 84.632 164.1012
5380.000000 84.495 164.8200
5450.000000 84.376 165.4655
5520.000000 84.263 166.2032
5600.000000 84.159 167.1369
5700.000000 84.064 168.2276
5800.000000 83.982 169.1826
5900.000000 83.904 170.1153
6000.000000 83.837 171.0588
6080.000000 83.789 171.8286
6150.000000 83.753 172.5302
6220.000000 83.723 173.2674
