* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Sep 19, 2024 8:57:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony MH755 (AET07 fix) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 93.264 -154.0551
20.600000 93.275 -154.6323
20.900000 93.286 -155.2496
21.200001 93.295 -155.8676
21.400000 93.302 -156.2816
21.799999 93.316 -157.1163
22.000000 93.324 -157.5348
22.400000 93.338 -158.3631
22.700001 93.347 -158.9679
23.000000 93.356 -159.5535
23.299999 93.365 -160.1190
23.600000 93.373 -160.6662
24.000000 93.383 -161.3712
24.299999 93.390 -161.8842
24.700001 93.398 -162.5508
25.000000 93.405 -163.0412
25.400000 93.413 -163.6893
25.799999 93.421 -164.3382
26.200001 93.426 -164.9903
26.500000 93.429 -165.4785
26.900000 93.430 -166.1203
27.200001 93.431 -166.5903
27.600000 93.432 -167.1994
28.000000 93.435 -167.7910
28.500000 93.441 -168.5130
29.000000 93.446 -169.2181
29.500000 93.448 -169.9031
30.000000 93.447 -170.5687
30.400000 93.443 -171.0929
30.700001 93.439 -171.4843
31.100000 93.433 -172.0036
31.500000 93.426 -172.5161
32.000000 93.419 -173.1402
32.500000 93.415 -173.7458
33.000000 93.413 -174.3430
33.500000 93.411 -174.9387
34.000000 93.404 -175.5267
34.500000 93.394 -176.0950
35.000000 93.382 -176.6402
35.500000 93.371 -177.1714
36.000000 93.360 -177.6993
36.500000 93.349 -178.2275
37.000000 93.338 -178.7531
37.500000 93.325 -179.2726
38.200001 93.309 -179.9851
38.700001 93.299 179.5188
39.500000 93.283 178.7474
40.000000 93.271 178.2805
40.599998 93.253 177.7386
41.200001 93.234 177.2062
41.799999 93.216 176.6579
42.500000 93.195 175.9960
43.099998 93.175 175.4559
43.700001 93.159 174.9682
44.400002 93.147 174.4210
45.000000 93.134 173.9282
45.500000 93.116 173.5117
46.200001 93.086 172.9561
46.799999 93.063 172.4959
47.500000 93.040 171.9446
48.200001 93.013 171.3985
48.700001 92.994 171.0313
49.400002 92.969 170.5343
50.000000 92.949 170.0996
50.799999 92.919 169.5150
51.500000 92.891 169.0220
52.200001 92.863 168.5445
53.000000 92.828 168.0089
53.799999 92.794 167.4745
54.500000 92.765 167.0033
55.200001 92.737 166.5518
56.000000 92.708 166.0717
57.000000 92.673 165.4669
58.000000 92.629 164.8536
59.000000 92.584 164.2533
60.000000 92.543 163.6570
60.799999 92.509 163.1993
61.500000 92.479 162.7969
62.200001 92.446 162.3939
63.000000 92.407 161.9582
64.000000 92.365 161.4521
65.000000 92.322 160.9698
66.000000 92.277 160.4762
67.000000 92.228 159.9505
68.000000 92.180 159.4412
69.000000 92.137 158.9419
70.000000 92.090 158.4558
71.000000 92.043 157.9995
72.000000 91.997 157.5615
73.000000 91.953 157.1303
74.000000 91.910 156.6889
75.000000 91.865 156.2382
76.199997 91.805 155.7117
77.500000 91.741 155.1761
78.800003 91.680 154.6711
80.000000 91.625 154.2293
81.199997 91.569 153.7550
82.500000 91.507 153.2500
83.800003 91.444 152.7746
85.000000 91.385 152.3510
86.199997 91.331 151.9301
87.500000 91.273 151.4636
88.500000 91.224 151.1167
90.000000 91.149 150.6311
91.199997 91.091 150.2553
92.500000 91.029 149.8528
93.800003 90.968 149.4467
95.000000 90.913 149.0831
96.199997 90.856 148.7316
97.500000 90.793 148.3598
98.800003 90.729 147.9812
100.000000 90.671 147.6440
101.500000 90.599 147.2516
103.000000 90.528 146.8628
104.400002 90.463 146.4996
106.000000 90.388 146.1013
107.500000 90.318 145.7359
109.000000 90.250 145.3718
110.599998 90.177 145.0098
112.000000 90.113 144.6975
113.800003 90.029 144.2972
115.000000 89.974 144.0405
117.199997 89.877 143.5809
118.000000 89.842 143.4137
120.599998 89.725 142.8864
122.000000 89.660 142.6140
124.099998 89.563 142.2389
125.000000 89.521 142.0844
126.500000 89.452 141.8170
128.000000 89.386 141.5494
131.500000 89.234 140.9537
132.000000 89.213 140.8743
134.000000 89.128 140.5539
136.000000 89.042 140.2318
138.000000 88.956 139.9472
140.000000 88.870 139.6758
143.000000 88.742 139.2691
145.000000 88.658 139.0027
147.500000 88.552 138.6746
150.000000 88.448 138.3666
152.500000 88.346 138.0729
155.000000 88.244 137.8051
157.500000 88.145 137.5294
160.000000 88.046 137.2711
162.500000 87.945 137.0270
165.000000 87.844 136.7964
167.500000 87.747 136.5703
170.000000 87.651 136.3430
172.500000 87.557 136.1396
175.000000 87.462 135.9418
177.500000 87.367 135.7511
180.000000 87.273 135.5855
182.500000 87.180 135.4201
185.000000 87.088 135.2600
187.500000 86.997 135.1213
190.000000 86.908 134.9831
192.500000 86.819 134.8346
195.000000 86.731 134.6946
197.500000 86.643 134.5660
200.000000 86.554 134.4466
203.000000 86.451 134.3270
206.000000 86.350 134.2014
209.000000 86.248 134.0905
212.000000 86.146 133.9907
214.000000 86.080 133.9199
218.000000 85.950 133.7942
220.000000 85.885 133.7506
224.000000 85.758 133.6832
227.000000 85.662 133.6082
230.000000 85.565 133.5383
233.000000 85.470 133.4756
236.000000 85.379 133.4227
240.000000 85.256 133.3792
243.000000 85.163 133.3446
247.000000 85.043 133.3112
250.000000 84.953 133.2981
254.000000 84.835 133.2995
258.000000 84.719 133.3128
262.000000 84.606 133.3381
265.000000 84.523 133.3681
269.000000 84.414 133.4176
272.000000 84.333 133.4602
276.000000 84.230 133.5160
280.000000 84.129 133.5749
285.000000 84.001 133.6424
290.000000 83.878 133.6947
295.000000 83.757 133.7700
300.000000 83.635 133.8459
304.000000 83.536 133.9013
307.000000 83.464 133.9533
311.000000 83.369 134.0309
315.000000 83.277 134.1183
320.000000 83.163 134.2266
325.000000 83.047 134.3494
330.000000 82.934 134.4763
335.000000 82.822 134.5923
340.000000 82.711 134.7032
345.000000 82.600 134.8378
350.000000 82.493 134.9821
355.000000 82.388 135.1268
360.000000 82.283 135.2716
365.000000 82.175 135.4261
370.000000 82.066 135.6049
375.000000 81.960 135.8070
382.000000 81.817 136.1033
387.000000 81.718 136.3046
395.000000 81.559 136.6577
400.000000 81.464 136.8965
406.000000 81.354 137.1871
412.000000 81.248 137.4781
418.000000 81.144 137.7725
425.000000 81.019 138.0995
431.000000 80.915 138.3590
437.000000 80.811 138.6262
444.000000 80.689 138.9782
450.000000 80.590 139.2922
455.000000 80.509 139.5369
462.000000 80.398 139.8961
468.000000 80.303 140.2269
475.000000 80.191 140.6302
482.000000 80.080 141.0090
487.000000 80.003 141.2811
494.000000 79.898 141.6882
500.000000 79.808 142.0262
508.000000 79.690 142.4768
515.000000 79.592 142.9003
522.000000 79.494 143.3338
530.000000 79.382 143.8135
538.000000 79.274 144.3005
545.000000 79.178 144.7521
552.000000 79.085 145.2025
560.000000 78.983 145.7086
570.000000 78.859 146.3625
580.000000 78.734 147.0434
590.000000 78.612 147.7209
600.000000 78.494 148.4158
608.000000 78.400 148.9857
615.000000 78.318 149.5010
622.000000 78.239 150.0338
630.000000 78.153 150.6536
640.000000 78.050 151.4097
650.000000 77.952 152.1686
660.000000 77.861 152.9507
670.000000 77.774 153.7362
680.000000 77.689 154.4987
690.000000 77.609 155.2666
700.000000 77.530 156.0453
710.000000 77.452 156.8135
720.000000 77.376 157.5778
730.000000 77.304 158.3594
740.000000 77.238 159.1852
750.000000 77.176 160.0222
762.000000 77.103 161.0080
775.000000 77.031 162.0882
788.000000 76.970 163.1452
800.000000 76.919 164.1057
812.000000 76.870 165.0912
825.000000 76.827 166.1801
838.000000 76.797 167.2324
850.000000 76.783 168.1610
862.000000 76.777 169.0573
875.000000 76.786 169.9270
885.000000 76.809 170.4515
900.000000 76.833 170.7103
912.000000 76.750 170.3846
925.000000 76.484 170.6927
938.000000 76.255 172.8286
950.000000 76.232 175.0071
962.000000 76.292 176.5615
975.000000 76.364 177.7738
988.000000 76.421 178.7558
1000.000000 76.467 179.5874
1015.000000 76.521 -179.4318
1030.000000 76.569 -178.5268
1044.000000 76.610 -177.7381
1060.000000 76.658 -176.8572
1075.000000 76.703 -176.0720
1090.000000 76.746 -175.3612
1106.000000 76.790 -174.6373
1120.000000 76.827 -174.0298
1138.000000 76.871 -173.3046
1150.000000 76.898 -172.8320
1172.000000 76.948 -171.9903
1180.000000 76.965 -171.6965
1206.000000 77.013 -170.7789
1220.000000 77.037 -170.2896
1241.000000 77.069 -169.5899
1250.000000 77.081 -169.3000
1265.000000 77.100 -168.8171
1280.000000 77.117 -168.3366
1315.000000 77.153 -167.2020
1320.000000 77.158 -167.0358
1340.000000 77.176 -166.3825
1360.000000 77.192 -165.7398
1380.000000 77.208 -165.0822
1400.000000 77.224 -164.4102
1430.000000 77.250 -163.4320
1450.000000 77.267 -162.7701
1475.000000 77.293 -161.9456
1500.000000 77.323 -161.1304
1525.000000 77.353 -160.3303
1550.000000 77.388 -159.5613
1575.000000 77.430 -158.7963
1600.000000 77.478 -158.0731
1625.000000 77.530 -157.4375
1650.000000 77.588 -156.8845
1675.000000 77.654 -156.4650
1700.000000 77.726 -156.2435
1725.000000 77.803 -156.3267
1750.000000 77.875 -156.8791
1775.000000 77.910 -158.2258
1800.000000 77.819 -160.8905
1825.000000 77.352 -165.0204
1850.000000 76.110 -168.0667
1875.000000 74.269 -160.6488
1900.000000 73.815 -141.5415
1925.000000 74.910 -131.2491
1950.000000 75.971 -129.0655
1975.000000 76.659 -128.9993
2000.000000 77.111 -129.1359
2030.000000 77.494 -129.0504
2060.000000 77.785 -128.6820
2090.000000 78.028 -128.1337
2120.000000 78.248 -127.4581
2140.000000 78.388 -126.9545
2180.000000 78.656 -125.8598
2200.000000 78.788 -125.2826
2240.000000 79.050 -124.1081
2270.000000 79.247 -123.2212
2300.000000 79.447 -122.3353
2330.000000 79.650 -121.4396
2360.000000 79.857 -120.5544
2400.000000 80.141 -119.3931
2430.000000 80.359 -118.5379
2470.000000 80.660 -117.4392
2500.000000 80.893 -116.6468
2540.000000 81.212 -115.6427
2580.000000 81.542 -114.6970
2620.000000 81.882 -113.8221
2650.000000 82.146 -113.2184
2690.000000 82.509 -112.4760
2720.000000 82.791 -111.9677
2760.000000 83.181 -111.3649
2800.000000 83.594 -110.8739
2850.000000 84.147 -110.5153
2900.000000 84.735 -110.5957
2950.000000 85.330 -111.2091
3000.000000 85.912 -112.3513
3040.000000 86.357 -113.6083
3070.000000 86.675 -114.7368
3110.000000 87.074 -116.4798
3150.000000 87.439 -118.4743
3200.000000 87.838 -121.2776
3250.000000 88.161 -124.3430
3300.000000 88.401 -127.5569
3350.000000 88.555 -130.7909
3400.000000 88.629 -133.9155
3450.000000 88.632 -136.8153
3500.000000 88.577 -139.4183
3550.000000 88.482 -141.6910
3600.000000 88.360 -143.6307
3650.000000 88.222 -145.2543
3700.000000 88.076 -146.5888
3750.000000 87.928 -147.6584
3820.000000 87.725 -148.7657
3870.000000 87.588 -149.3212
3950.000000 87.389 -149.8630
4000.000000 87.277 -150.0119
4060.000000 87.157 -150.0375
4120.000000 87.055 -149.9145
4180.000000 86.967 -149.6539
4250.000000 86.887 -149.1915
4310.000000 86.838 -148.6697
4370.000000 86.806 -148.0346
4440.000000 86.798 -147.1673
4500.000000 86.818 -146.3356
4550.000000 86.857 -145.6145
4620.000000 86.936 -144.6053
4680.000000 87.022 -143.7085
4750.000000 87.157 -142.5701
4820.000000 87.342 -141.4530
4870.000000 87.497 -140.7510
4940.000000 87.734 -139.8617
5000.000000 87.956 -139.1381
5080.000000 88.286 -138.2298
5150.000000 88.613 -137.5149
5220.000000 88.977 -136.8999
5300.000000 89.446 -136.3524
5380.000000 89.981 -136.0400
5450.000000 90.509 -136.0668
5520.000000 91.093 -136.5038
5600.000000 91.817 -137.6758
5700.000000 92.775 -140.3634
5800.000000 93.747 -144.6741
5900.000000 94.650 -150.9048
6000.000000 95.350 -159.0768
