* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 5, 2024 5:32:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony WF-C510 (AET07) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 83.762 144.4221
20.600000 83.984 142.4396
20.900000 84.230 140.3720
21.200001 84.473 138.3581
21.400000 84.629 137.0386
21.799999 84.925 134.4290
22.000000 85.064 133.1314
22.400000 85.325 130.5386
22.700001 85.508 128.5884
23.000000 85.682 126.6263
23.299999 85.849 124.6494
23.600000 86.008 122.6612
24.000000 86.213 120.0121
24.299999 86.359 118.0470
24.700001 86.549 115.4812
25.000000 86.688 113.6040
25.400000 86.870 111.1541
25.799999 87.046 108.7418
26.200001 87.211 106.3475
26.500000 87.326 104.5627
26.900000 87.469 102.2088
27.200001 87.569 100.4722
27.600000 87.697 98.2006
28.000000 87.823 95.9714
28.500000 87.976 93.2210
29.000000 88.116 90.5010
29.500000 88.236 87.8370
30.000000 88.337 85.2644
30.400000 88.409 83.2755
30.700001 88.462 81.8141
31.100000 88.532 79.8893
31.500000 88.599 77.9823
32.000000 88.675 75.6356
32.500000 88.739 73.3669
33.000000 88.792 71.2077
33.500000 88.837 69.1622
34.000000 88.878 67.2168
34.500000 88.918 65.3568
35.000000 88.958 63.5672
35.500000 88.998 61.8282
36.000000 89.036 60.1169
36.500000 89.070 58.4169
37.000000 89.099 56.7230
37.500000 89.127 55.0436
38.200001 89.171 52.7579
38.700001 89.207 51.2085
39.500000 89.268 48.9029
40.000000 89.301 47.5521
40.599998 89.335 45.9832
41.200001 89.368 44.4192
41.799999 89.406 42.8073
42.500000 89.455 40.8718
43.099998 89.494 39.2550
43.700001 89.532 37.7320
44.400002 89.584 35.9998
45.000000 89.629 34.4639
45.500000 89.659 33.1574
46.200001 89.693 31.3795
46.799999 89.724 29.9379
47.500000 89.766 28.3008
48.200001 89.806 26.6642
48.700001 89.831 25.4999
49.400002 89.865 23.8809
50.000000 89.891 22.4872
50.799999 89.919 20.6068
51.500000 89.938 18.9577
52.200001 89.959 17.3145
53.000000 89.983 15.4699
53.799999 90.003 13.7219
54.500000 90.016 12.2506
55.200001 90.024 10.7609
56.000000 90.025 9.0402
57.000000 90.027 6.9347
58.000000 90.020 4.8943
59.000000 90.001 2.9854
60.000000 89.998 1.0713
60.799999 89.998 -0.5026
61.500000 89.996 -1.8249
62.200001 89.992 -3.0959
63.000000 89.979 -4.5349
64.000000 89.947 -6.3031
65.000000 89.914 -8.0257
66.000000 89.886 -9.7382
67.000000 89.862 -11.4164
68.000000 89.839 -13.0268
69.000000 89.817 -14.6036
70.000000 89.793 -16.1865
71.000000 89.768 -17.7377
72.000000 89.741 -19.2305
73.000000 89.702 -20.6688
74.000000 89.660 -22.0643
75.000000 89.628 -23.4888
76.199997 89.591 -25.2193
77.500000 89.549 -26.9597
78.800003 89.511 -28.6434
80.000000 89.476 -30.1910
81.199997 89.439 -31.7487
82.500000 89.394 -33.4361
83.800003 89.353 -35.0847
85.000000 89.316 -36.5514
86.199997 89.279 -37.9750
87.500000 89.233 -39.5401
88.500000 89.193 -40.7643
90.000000 89.134 -42.5718
91.199997 89.089 -43.9808
92.500000 89.039 -45.5093
93.800003 88.991 -47.0451
95.000000 88.943 -48.4570
96.199997 88.884 -49.8248
97.500000 88.814 -51.2525
98.800003 88.748 -52.6742
100.000000 88.688 -54.0026
101.500000 88.610 -55.5995
103.000000 88.531 -57.1111
104.400002 88.452 -58.5187
106.000000 88.362 -60.1320
107.500000 88.277 -61.5857
109.000000 88.188 -62.9817
110.599998 88.091 -64.4318
112.000000 87.999 -65.6389
113.800003 87.878 -67.1201
115.000000 87.804 -68.0840
117.199997 87.675 -69.8820
118.000000 87.628 -70.5245
120.599998 87.469 -72.4477
122.000000 87.387 -73.4310
124.099998 87.272 -74.8362
125.000000 87.224 -75.4165
126.500000 87.144 -76.3693
128.000000 87.065 -77.3184
131.500000 86.887 -79.4916
132.000000 86.862 -79.7864
134.000000 86.766 -80.9644
136.000000 86.670 -82.1272
138.000000 86.581 -83.2770
140.000000 86.498 -84.3934
143.000000 86.382 -85.9809
145.000000 86.310 -86.9814
147.500000 86.216 -88.2251
150.000000 86.121 -89.5061
152.500000 86.036 -90.7755
155.000000 85.950 -91.9732
157.500000 85.863 -93.1318
160.000000 85.775 -94.2801
162.500000 85.713 -95.4656
165.000000 85.654 -96.6196
167.500000 85.589 -97.7231
170.000000 85.524 -98.8095
172.500000 85.463 -99.9049
175.000000 85.413 -100.9941
177.500000 85.368 -102.0350
180.000000 85.315 -102.9994
182.500000 85.254 -103.9774
185.000000 85.196 -104.9874
187.500000 85.160 -105.9267
190.000000 85.135 -106.8651
192.500000 85.113 -107.8907
195.000000 85.092 -108.9965
197.500000 85.070 -110.1320
200.000000 85.041 -111.2452
203.000000 85.008 -112.5733
206.000000 84.970 -113.8591
209.000000 84.930 -115.0346
212.000000 84.900 -116.2427
214.000000 84.877 -117.0888
218.000000 84.823 -118.6871
220.000000 84.798 -119.4656
224.000000 84.756 -121.0525
227.000000 84.727 -122.2073
230.000000 84.702 -123.3636
233.000000 84.679 -124.5166
236.000000 84.657 -125.6205
240.000000 84.613 -127.1367
243.000000 84.592 -128.2621
247.000000 84.582 -129.6972
250.000000 84.577 -130.7599
254.000000 84.572 -132.2816
258.000000 84.559 -133.9069
262.000000 84.541 -135.5484
265.000000 84.532 -136.7618
269.000000 84.518 -138.3225
272.000000 84.502 -139.4709
276.000000 84.481 -140.9835
280.000000 84.465 -142.4857
285.000000 84.450 -144.3533
290.000000 84.434 -146.2511
295.000000 84.414 -148.1257
300.000000 84.397 -149.9767
304.000000 84.387 -151.4539
307.000000 84.380 -152.5618
311.000000 84.369 -154.0555
315.000000 84.359 -155.5654
320.000000 84.347 -157.4266
325.000000 84.336 -159.2290
330.000000 84.329 -161.0508
335.000000 84.325 -162.8881
340.000000 84.317 -164.7050
345.000000 84.305 -166.5342
350.000000 84.296 -168.3764
355.000000 84.289 -170.1899
360.000000 84.280 -171.9885
365.000000 84.273 -173.7701
370.000000 84.267 -175.5312
375.000000 84.261 -177.3123
382.000000 84.251 -179.7538
387.000000 84.246 178.5353
395.000000 84.243 175.8445
400.000000 84.240 174.1841
406.000000 84.232 172.1573
412.000000 84.224 170.1328
418.000000 84.221 168.1046
425.000000 84.213 165.7646
431.000000 84.199 163.8023
437.000000 84.189 161.8531
444.000000 84.182 159.5518
450.000000 84.174 157.5826
455.000000 84.169 155.9755
462.000000 84.163 153.7814
468.000000 84.161 151.8979
475.000000 84.156 149.7118
482.000000 84.153 147.6046
487.000000 84.156 146.1150
494.000000 84.163 144.0027
500.000000 84.170 142.1583
508.000000 84.183 139.6848
515.000000 84.196 137.5011
522.000000 84.204 135.3347
530.000000 84.208 132.8493
538.000000 84.206 130.4093
545.000000 84.200 128.3100
552.000000 84.194 126.2154
560.000000 84.190 123.8726
570.000000 84.182 120.9853
580.000000 84.170 118.0984
590.000000 84.161 115.2838
600.000000 84.154 112.4952
608.000000 84.148 110.2556
615.000000 84.142 108.3229
622.000000 84.137 106.4228
630.000000 84.134 104.2598
640.000000 84.134 101.5418
650.000000 84.134 98.8567
660.000000 84.131 96.2632
670.000000 84.129 93.6618
680.000000 84.131 91.0360
690.000000 84.134 88.4605
700.000000 84.135 85.9279
710.000000 84.137 83.4392
720.000000 84.142 81.0057
730.000000 84.150 78.6236
740.000000 84.160 76.3044
750.000000 84.174 74.0119
762.000000 84.188 71.2707
775.000000 84.202 68.3605
788.000000 84.227 65.4684
800.000000 84.258 62.8355
812.000000 84.284 60.2618
825.000000 84.315 57.4710
838.000000 84.356 54.6840
850.000000 84.395 52.1706
862.000000 84.437 49.7130
875.000000 84.494 47.0099
885.000000 84.541 44.9378
900.000000 84.609 41.8944
912.000000 84.667 39.4793
925.000000 84.740 36.8448
938.000000 84.815 34.2119
950.000000 84.885 31.8069
962.000000 84.960 29.3722
975.000000 85.041 26.6989
988.000000 85.124 24.0300
1000.000000 85.202 21.5842
1015.000000 85.304 18.5004
1030.000000 85.408 15.3895
1044.000000 85.501 12.4978
1060.000000 85.611 9.1616
1075.000000 85.715 6.0032
1090.000000 85.813 2.8419
1106.000000 85.912 -0.5524
1120.000000 86.002 -3.5556
1138.000000 86.116 -7.3876
1150.000000 86.182 -9.9138
1172.000000 86.293 -14.5463
1180.000000 86.335 -16.2202
1206.000000 86.465 -21.5116
1220.000000 86.524 -24.3225
1241.000000 86.610 -28.4719
1250.000000 86.648 -30.2217
1265.000000 86.712 -33.1396
1280.000000 86.768 -36.0541
1315.000000 86.859 -42.6089
1320.000000 86.872 -43.5295
1340.000000 86.924 -47.2115
1360.000000 86.967 -50.8731
1380.000000 87.009 -54.4739
1400.000000 87.054 -57.9984
1430.000000 87.106 -63.1270
1450.000000 87.133 -66.4717
1475.000000 87.174 -70.6111
1500.000000 87.213 -74.6362
1525.000000 87.246 -78.5403
1550.000000 87.288 -82.3586
1575.000000 87.327 -86.0983
1600.000000 87.359 -89.8026
1625.000000 87.395 -93.4385
1650.000000 87.445 -96.9232
1675.000000 87.504 -100.2465
1700.000000 87.558 -103.4380
1725.000000 87.619 -106.5618
1750.000000 87.685 -109.6067
1775.000000 87.744 -112.6204
1800.000000 87.807 -115.6352
1825.000000 87.879 -118.5938
1850.000000 87.946 -121.5270
1875.000000 88.000 -124.4486
1900.000000 88.059 -127.3091
1925.000000 88.117 -130.1057
1950.000000 88.166 -132.8702
1975.000000 88.206 -135.6050
2000.000000 88.250 -138.2849
2030.000000 88.314 -141.3429
2060.000000 88.376 -144.3466
2090.000000 88.429 -147.3536
2120.000000 88.483 -150.2573
2140.000000 88.527 -152.1096
2180.000000 88.622 -155.7793
2200.000000 88.663 -157.6055
2240.000000 88.744 -161.1790
2270.000000 88.817 -163.7279
2300.000000 88.886 -166.1664
2330.000000 88.949 -168.5076
2360.000000 89.021 -170.6472
2400.000000 89.124 -173.3040
2430.000000 89.195 -175.3062
2470.000000 89.278 -177.9429
2500.000000 89.337 -179.8398
2540.000000 89.426 177.8034
2580.000000 89.522 175.5885
2620.000000 89.602 173.4054
2650.000000 89.657 171.8484
2690.000000 89.736 169.7991
2720.000000 89.787 168.3620
2760.000000 89.859 166.7582
2800.000000 89.954 165.4814
2850.000000 90.110 163.9854
2900.000000 90.297 162.3638
2950.000000 90.516 160.5741
3000.000000 90.719 158.6022
3040.000000 90.846 156.8027
3070.000000 90.923 155.4405
3110.000000 91.005 153.7558
3150.000000 91.084 152.2894
3200.000000 91.176 150.6249
3250.000000 91.241 148.9186
3300.000000 91.298 147.3383
3350.000000 91.356 146.0336
3400.000000 91.398 144.7114
3450.000000 91.425 143.4640
3500.000000 91.453 142.4960
3550.000000 91.462 141.6154
3600.000000 91.451 140.7319
3650.000000 91.447 140.0786
3700.000000 91.452 139.6548
3750.000000 91.435 139.2723
3820.000000 91.385 138.9023
3870.000000 91.349 139.1059
3950.000000 91.304 140.2238
4000.000000 91.258 141.0286
4060.000000 91.179 142.0832
4120.000000 91.099 143.4694
4180.000000 91.016 145.0450
4250.000000 90.882 146.9363
4310.000000 90.755 148.7255
4370.000000 90.621 150.9106
4440.000000 90.475 153.9912
4500.000000 90.341 156.7593
4550.000000 90.223 159.1484
4620.000000 90.069 162.8912
4680.000000 89.949 166.3947
4750.000000 89.792 170.5214
4820.000000 89.633 174.7557
4870.000000 89.529 177.9518
4940.000000 89.397 -177.1526
5000.000000 89.294 -172.7381
5080.000000 89.140 -166.8981
5150.000000 89.001 -161.5718
5220.000000 88.877 -155.8235
5300.000000 88.721 -148.9276
5380.000000 88.567 -141.4927
5450.000000 88.452 -134.2625
5520.000000 88.345 -126.5950
5600.000000 88.215 -117.7981
5700.000000 88.049 -106.7960
5800.000000 87.883 -95.2399
5900.000000 87.743 -82.9666
6000.000000 87.601 -70.6226
