* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 5, 2024 5:34:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony WF-C510 (AET07) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.104 139.1861
20.600000 86.323 137.1668
20.900000 86.565 135.0530
21.200001 86.802 132.9981
21.400000 86.955 131.6598
21.799999 87.242 129.0386
22.000000 87.377 127.7470
22.400000 87.630 125.1805
22.700001 87.806 123.2523
23.000000 87.973 121.3073
23.299999 88.131 119.3403
23.600000 88.281 117.3567
24.000000 88.468 114.7148
24.299999 88.603 112.7626
24.700001 88.776 110.2283
25.000000 88.906 108.3827
25.400000 89.078 105.9753
25.799999 89.247 103.5948
26.200001 89.405 101.2167
26.500000 89.514 99.4352
26.900000 89.647 97.0778
27.200001 89.738 95.3337
27.600000 89.852 93.0471
28.000000 89.963 90.8025
28.500000 90.094 88.0540
29.000000 90.216 85.3866
29.500000 90.328 82.8257
30.000000 90.433 80.3665
30.400000 90.511 78.4474
30.700001 90.566 77.0233
31.100000 90.631 75.1402
31.500000 90.686 73.2824
32.000000 90.742 71.0155
32.500000 90.787 68.8211
33.000000 90.828 66.6945
33.500000 90.867 64.6318
34.000000 90.905 62.6391
34.500000 90.943 60.7232
35.000000 90.981 58.8834
35.500000 91.016 57.1170
36.000000 91.043 55.4225
36.500000 91.067 53.7887
37.000000 91.090 52.1869
37.500000 91.115 50.5850
38.200001 91.151 48.3373
38.700001 91.177 46.7721
39.500000 91.217 44.4276
40.000000 91.241 43.0671
40.599998 91.271 41.5075
41.200001 91.302 39.9834
41.799999 91.340 38.4509
42.500000 91.390 36.6175
43.099998 91.433 35.0208
43.700001 91.470 33.4434
44.400002 91.504 31.6712
45.000000 91.531 30.2107
45.500000 91.555 29.0157
46.200001 91.590 27.3451
46.799999 91.618 25.9072
47.500000 91.646 24.2344
48.200001 91.674 22.5715
48.700001 91.696 21.3825
49.400002 91.729 19.7156
50.000000 91.756 18.3014
50.799999 91.784 16.4603
51.500000 91.801 14.8803
52.200001 91.811 13.3102
53.000000 91.820 11.5299
53.799999 91.833 9.7700
54.500000 91.846 8.2411
55.200001 91.853 6.7329
56.000000 91.853 5.0621
57.000000 91.846 3.0349
58.000000 91.830 1.0184
59.000000 91.805 -0.9363
60.000000 91.792 -2.8238
60.799999 91.789 -4.3357
61.500000 91.781 -5.6428
62.200001 91.767 -6.9095
63.000000 91.747 -8.3257
64.000000 91.719 -10.0990
65.000000 91.688 -11.8331
66.000000 91.661 -13.4916
67.000000 91.635 -15.1311
68.000000 91.604 -16.7551
69.000000 91.572 -18.3446
70.000000 91.541 -19.9105
71.000000 91.507 -21.4170
72.000000 91.475 -22.8612
73.000000 91.440 -24.2808
74.000000 91.401 -25.6719
75.000000 91.365 -27.0598
76.199997 91.322 -28.7476
77.500000 91.275 -30.5239
78.800003 91.233 -32.2529
80.000000 91.190 -33.7709
81.199997 91.146 -35.2284
82.500000 91.097 -36.8408
83.800003 91.054 -38.5161
85.000000 91.012 -40.0453
86.199997 90.965 -41.4876
87.500000 90.916 -43.0364
88.500000 90.877 -44.2412
90.000000 90.815 -45.9886
91.199997 90.762 -47.3659
92.500000 90.703 -48.8811
93.800003 90.648 -50.4094
95.000000 90.599 -51.7802
96.199997 90.541 -53.1173
97.500000 90.473 -54.5811
98.800003 90.408 -56.0553
100.000000 90.346 -57.3797
101.500000 90.253 -58.9707
103.000000 90.160 -60.4911
104.400002 90.077 -61.8627
106.000000 89.986 -63.4122
107.500000 89.902 -64.8432
109.000000 89.808 -66.2195
110.599998 89.700 -67.6620
112.000000 89.603 -68.8998
113.800003 89.478 -70.4188
115.000000 89.401 -71.3867
117.199997 89.267 -73.1128
118.000000 89.219 -73.7297
120.599998 89.055 -75.6566
122.000000 88.966 -76.6417
124.099998 88.841 -78.0330
125.000000 88.789 -78.6157
126.500000 88.705 -79.5950
128.000000 88.624 -80.5586
131.500000 88.436 -82.6899
132.000000 88.409 -82.9872
134.000000 88.305 -84.1689
136.000000 88.206 -85.3367
138.000000 88.112 -86.4704
140.000000 88.024 -87.5638
143.000000 87.902 -89.1357
145.000000 87.824 -90.1365
147.500000 87.725 -91.3741
150.000000 87.622 -92.6484
152.500000 87.522 -93.9275
155.000000 87.438 -95.1278
157.500000 87.353 -96.3283
160.000000 87.266 -97.5588
162.500000 87.185 -98.6511
165.000000 87.112 -99.7190
167.500000 87.044 -100.8158
170.000000 86.978 -101.9403
172.500000 86.906 -103.0395
175.000000 86.836 -104.1070
177.500000 86.773 -105.1282
180.000000 86.716 -106.2206
182.500000 86.655 -107.2101
185.000000 86.595 -108.0728
187.500000 86.542 -108.8428
190.000000 86.511 -109.6326
192.500000 86.498 -110.5801
195.000000 86.487 -111.6333
197.500000 86.466 -112.7585
200.000000 86.429 -113.9784
203.000000 86.406 -115.3222
206.000000 86.376 -116.4896
209.000000 86.318 -117.7616
212.000000 86.269 -119.1010
214.000000 86.244 -119.9985
218.000000 86.199 -121.7209
220.000000 86.177 -122.5033
224.000000 86.126 -124.0254
227.000000 86.091 -125.1617
230.000000 86.062 -126.3056
233.000000 86.033 -127.4198
236.000000 86.001 -128.4906
240.000000 85.967 -130.0609
243.000000 85.940 -131.1598
247.000000 85.907 -132.6203
250.000000 85.887 -133.7468
254.000000 85.868 -135.2511
258.000000 85.849 -136.7433
262.000000 85.826 -138.2558
265.000000 85.812 -139.4228
269.000000 85.793 -140.9753
272.000000 85.773 -142.1005
276.000000 85.747 -143.5913
280.000000 85.726 -145.0616
285.000000 85.707 -146.9348
290.000000 85.690 -148.8022
295.000000 85.665 -150.6714
300.000000 85.639 -152.4957
304.000000 85.624 -153.9619
307.000000 85.613 -155.0654
311.000000 85.600 -156.5236
315.000000 85.586 -157.9710
320.000000 85.568 -159.7915
325.000000 85.553 -161.6198
330.000000 85.541 -163.4351
335.000000 85.528 -165.2483
340.000000 85.511 -167.0265
345.000000 85.493 -168.7883
350.000000 85.481 -170.5514
355.000000 85.470 -172.3191
360.000000 85.463 -174.0989
365.000000 85.457 -175.8706
370.000000 85.448 -177.6124
375.000000 85.440 -179.3424
382.000000 85.431 178.2316
387.000000 85.425 176.5097
395.000000 85.411 173.8294
400.000000 85.401 172.1636
406.000000 85.388 170.1530
412.000000 85.380 168.1371
418.000000 85.372 166.1322
425.000000 85.365 163.8458
431.000000 85.356 161.9003
437.000000 85.346 159.9339
444.000000 85.339 157.6282
450.000000 85.329 155.6619
455.000000 85.321 154.0439
462.000000 85.311 151.7829
468.000000 85.302 149.8789
475.000000 85.292 147.6668
482.000000 85.278 145.4293
487.000000 85.267 143.8380
494.000000 85.256 141.6267
500.000000 85.248 139.7538
508.000000 85.233 137.2847
515.000000 85.217 135.1703
522.000000 85.211 133.1187
530.000000 85.205 130.7816
538.000000 85.200 128.4629
545.000000 85.198 126.4568
552.000000 85.193 124.4278
560.000000 85.185 122.1227
570.000000 85.175 119.2906
580.000000 85.165 116.4896
590.000000 85.156 113.7122
600.000000 85.147 110.9398
608.000000 85.141 108.7377
615.000000 85.134 106.8336
622.000000 85.129 104.9516
630.000000 85.125 102.8030
640.000000 85.117 100.1271
650.000000 85.113 97.4918
660.000000 85.113 94.9091
670.000000 85.113 92.3432
680.000000 85.107 89.7806
690.000000 85.103 87.2353
700.000000 85.100 84.7200
710.000000 85.099 82.2469
720.000000 85.100 79.8314
730.000000 85.105 77.4774
740.000000 85.113 75.1776
750.000000 85.122 72.9221
762.000000 85.132 70.2171
775.000000 85.145 67.2962
788.000000 85.167 64.4445
800.000000 85.191 61.8536
812.000000 85.213 59.2749
825.000000 85.240 56.4948
838.000000 85.274 53.7718
850.000000 85.310 51.2775
862.000000 85.349 48.7705
875.000000 85.397 46.0502
885.000000 85.438 43.9935
900.000000 85.500 40.9564
912.000000 85.553 38.5194
925.000000 85.618 35.8728
938.000000 85.689 33.2192
950.000000 85.759 30.7913
962.000000 85.829 28.3470
975.000000 85.903 25.6837
988.000000 85.982 23.0156
1000.000000 86.059 20.5468
1015.000000 86.154 17.4453
1030.000000 86.249 14.3315
1044.000000 86.339 11.4249
1060.000000 86.444 8.0815
1075.000000 86.539 4.9214
1090.000000 86.631 1.7560
1106.000000 86.728 -1.6608
1120.000000 86.812 -4.6509
1138.000000 86.919 -8.4510
1150.000000 86.985 -10.9791
1172.000000 87.093 -15.5952
1180.000000 87.131 -17.2623
1206.000000 87.257 -22.6055
1220.000000 87.323 -25.4233
1241.000000 87.410 -29.5653
1250.000000 87.444 -31.3264
1265.000000 87.500 -34.2427
1280.000000 87.555 -37.1371
1315.000000 87.660 -43.8044
1320.000000 87.675 -44.7549
1340.000000 87.731 -48.5093
1360.000000 87.780 -52.1883
1380.000000 87.827 -55.8293
1400.000000 87.869 -59.4415
1430.000000 87.927 -64.7213
1450.000000 87.961 -68.1654
1475.000000 87.999 -72.4445
1500.000000 88.041 -76.6351
1525.000000 88.079 -80.7289
1550.000000 88.111 -84.7618
1575.000000 88.142 -88.7069
1600.000000 88.170 -92.5793
1625.000000 88.203 -96.3954
1650.000000 88.233 -100.0965
1675.000000 88.268 -103.5807
1700.000000 88.307 -106.8737
1725.000000 88.342 -110.1099
1750.000000 88.372 -113.3064
1775.000000 88.403 -116.3956
1800.000000 88.438 -119.4114
1825.000000 88.473 -122.3738
1850.000000 88.507 -125.2855
1875.000000 88.541 -128.1246
1900.000000 88.580 -130.9061
1925.000000 88.614 -133.6503
1950.000000 88.647 -136.3522
1975.000000 88.680 -138.9988
2000.000000 88.716 -141.6078
2030.000000 88.771 -144.6703
2060.000000 88.820 -147.6880
2090.000000 88.857 -150.5625
2120.000000 88.895 -153.3680
2140.000000 88.927 -155.2215
2180.000000 88.995 -158.8912
2200.000000 89.028 -160.6916
2240.000000 89.094 -164.1762
2270.000000 89.145 -166.7236
2300.000000 89.196 -169.1830
2330.000000 89.248 -171.5117
2360.000000 89.299 -173.6954
2400.000000 89.360 -176.4211
2430.000000 89.403 -178.3885
2470.000000 89.451 179.1613
2500.000000 89.483 177.4069
2540.000000 89.526 175.2296
2580.000000 89.571 173.2665
2620.000000 89.620 171.4803
2650.000000 89.669 170.3015
2690.000000 89.767 168.8613
2720.000000 89.866 167.8300
2760.000000 90.045 166.4765
2800.000000 90.243 164.8662
2850.000000 90.456 162.4012
2900.000000 90.621 159.8837
2950.000000 90.748 157.4432
3000.000000 90.847 155.1577
3040.000000 90.914 153.4129
3070.000000 90.960 152.1863
3110.000000 91.013 150.6528
3150.000000 91.056 149.2376
3200.000000 91.100 147.6057
3250.000000 91.143 146.0574
3300.000000 91.186 144.6468
3350.000000 91.223 143.4410
3400.000000 91.258 142.3251
3450.000000 91.283 141.3116
3500.000000 91.297 140.4301
3550.000000 91.304 139.6322
3600.000000 91.308 138.9436
3650.000000 91.308 138.4368
3700.000000 91.303 138.0247
3750.000000 91.290 137.7126
3820.000000 91.257 137.5818
3870.000000 91.232 137.8681
3950.000000 91.179 138.8042
4000.000000 91.127 139.5576
4060.000000 91.043 140.6188
4120.000000 90.940 141.8381
4180.000000 90.820 143.2016
4250.000000 90.638 145.1172
4310.000000 90.452 147.1193
4370.000000 90.255 149.5538
4440.000000 90.034 152.9393
4500.000000 89.865 156.2198
4550.000000 89.749 159.1259
4620.000000 89.613 163.3376
4680.000000 89.509 167.0531
4750.000000 89.390 171.5068
4820.000000 89.270 176.1156
4870.000000 89.189 179.4886
4940.000000 89.071 -175.6174
5000.000000 88.963 -171.2856
5080.000000 88.814 -165.2538
5150.000000 88.683 -159.5953
5220.000000 88.563 -153.6765
5300.000000 88.435 -146.6089
5380.000000 88.334 -138.9390
5450.000000 88.265 -131.8011
5520.000000 88.197 -124.4860
5600.000000 88.120 -115.9937
5700.000000 88.018 -105.1880
5800.000000 87.900 -94.1639
5900.000000 87.772 -82.9282
6000.000000 87.619 -71.4192
