* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 5, 2024 5:39:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony WF-C510 (CBEQ) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 85.470 169.7710
20.600000 85.659 168.1514
20.900000 85.884 166.1783
21.200001 86.129 163.9888
21.400000 86.299 162.4551
21.799999 86.649 159.3610
22.000000 86.822 157.8682
22.400000 87.150 155.1141
22.700001 87.373 153.2898
23.000000 87.575 151.6533
23.299999 87.759 150.1461
23.600000 87.931 148.6912
24.000000 88.153 146.7013
24.299999 88.325 145.1003
24.700001 88.572 142.7689
25.000000 88.774 140.8698
25.400000 89.059 138.1592
25.799999 89.347 135.2858
26.200001 89.612 132.3056
26.500000 89.782 130.0428
26.900000 89.961 127.0559
27.200001 90.063 124.8833
27.600000 90.173 122.1246
28.000000 90.280 119.5335
28.500000 90.448 116.4659
29.000000 90.666 113.4733
29.500000 90.909 110.5071
30.000000 91.140 107.6397
30.400000 91.304 105.4862
30.700001 91.414 103.9643
31.100000 91.547 102.0269
31.500000 91.667 100.1265
32.000000 91.793 97.7001
32.500000 91.883 95.1905
33.000000 91.937 92.6804
33.500000 91.973 90.2881
34.000000 92.015 88.0719
34.500000 92.078 86.0106
35.000000 92.159 84.0483
35.500000 92.248 82.1387
36.000000 92.335 80.2449
36.500000 92.414 78.3290
37.000000 92.484 76.3649
37.500000 92.542 74.3614
38.200001 92.608 71.5731
38.700001 92.645 69.6522
39.500000 92.691 66.7368
40.000000 92.715 65.0013
40.599998 92.749 62.9899
41.200001 92.798 61.0449
41.799999 92.866 59.1645
42.500000 92.959 57.0663
43.099998 93.043 55.3489
43.700001 93.126 53.6756
44.400002 93.215 51.7367
45.000000 93.279 50.0854
45.500000 93.322 48.7223
46.200001 93.368 46.7913
46.799999 93.398 45.0421
47.500000 93.427 42.8637
48.200001 93.462 40.6364
48.700001 93.496 39.0850
49.400002 93.550 37.0077
50.000000 93.588 35.3258
50.799999 93.620 33.2294
51.500000 93.646 31.4730
52.200001 93.677 29.7152
53.000000 93.703 27.7485
53.799999 93.710 25.8901
54.500000 93.703 24.2664
55.200001 93.687 22.5653
56.000000 93.667 20.5787
57.000000 93.659 18.1439
58.000000 93.644 15.7896
59.000000 93.600 13.5174
60.000000 93.546 11.2892
60.799999 93.511 9.5620
61.500000 93.487 8.1049
62.200001 93.461 6.6881
63.000000 93.426 5.1084
64.000000 93.378 3.1539
65.000000 93.329 1.1947
66.000000 93.273 -0.7268
67.000000 93.206 -2.5866
68.000000 93.127 -4.3950
69.000000 93.045 -6.1904
70.000000 92.974 -7.9804
71.000000 92.919 -9.7287
72.000000 92.868 -11.3974
73.000000 92.807 -12.9750
74.000000 92.737 -14.4864
75.000000 92.659 -15.9766
76.199997 92.559 -17.7745
77.500000 92.461 -19.7086
78.800003 92.381 -21.5542
80.000000 92.302 -23.1356
81.199997 92.205 -24.7066
82.500000 92.093 -26.5017
83.800003 91.986 -28.2838
85.000000 91.882 -29.8326
86.199997 91.778 -31.3485
87.500000 91.674 -32.9690
88.500000 91.596 -34.1175
90.000000 91.477 -35.7422
91.199997 91.376 -37.0615
92.500000 91.258 -38.4971
93.800003 91.134 -39.9604
95.000000 91.017 -41.2983
96.199997 90.900 -42.5687
97.500000 90.771 -43.9099
98.800003 90.641 -45.2250
100.000000 90.519 -46.3786
101.500000 90.357 -47.7297
103.000000 90.187 -49.0541
104.400002 90.029 -50.3482
106.000000 89.847 -51.8148
107.500000 89.678 -53.1042
109.000000 89.511 -54.3377
110.599998 89.325 -55.5291
112.000000 89.159 -56.4403
113.800003 88.951 -57.5166
115.000000 88.814 -58.2043
117.199997 88.575 -59.3784
118.000000 88.491 -59.7812
120.599998 88.203 -61.1150
122.000000 88.051 -61.7714
124.099998 87.835 -62.5889
125.000000 87.745 -62.9272
126.500000 87.596 -63.5304
128.000000 87.445 -64.1250
131.500000 87.109 -65.2649
132.000000 87.063 -65.4087
134.000000 86.878 -65.9486
136.000000 86.694 -66.4716
138.000000 86.518 -67.0462
140.000000 86.344 -67.5685
143.000000 86.088 -68.1313
145.000000 85.920 -68.4304
147.500000 85.710 -68.7842
150.000000 85.511 -69.1250
152.500000 85.320 -69.4055
155.000000 85.135 -69.6008
157.500000 84.959 -69.7904
160.000000 84.790 -69.9905
162.500000 84.628 -70.1924
165.000000 84.482 -70.3168
167.500000 84.339 -70.3682
170.000000 84.198 -70.4307
172.500000 84.067 -70.4357
175.000000 83.938 -70.4613
177.500000 83.811 -70.4926
180.000000 83.692 -70.4237
182.500000 83.578 -70.2690
185.000000 83.461 -70.1175
187.500000 83.356 -69.9419
190.000000 83.277 -69.6923
192.500000 83.202 -69.4299
195.000000 83.144 -69.3092
197.500000 83.110 -69.2787
200.000000 83.061 -69.2123
203.000000 82.982 -69.1357
206.000000 82.918 -68.9582
209.000000 82.866 -68.8890
212.000000 82.813 -68.8376
214.000000 82.778 -68.7985
218.000000 82.717 -68.7536
220.000000 82.683 -68.7355
224.000000 82.634 -68.6300
227.000000 82.615 -68.6451
230.000000 82.581 -68.6931
233.000000 82.541 -68.6404
236.000000 82.509 -68.5117
240.000000 82.476 -68.3896
243.000000 82.450 -68.3635
247.000000 82.415 -68.3718
250.000000 82.391 -68.3750
254.000000 82.368 -68.3900
258.000000 82.354 -68.3886
262.000000 82.347 -68.3819
265.000000 82.340 -68.4212
269.000000 82.334 -68.4875
272.000000 82.333 -68.5116
276.000000 82.334 -68.5260
280.000000 82.332 -68.5959
285.000000 82.331 -68.7358
290.000000 82.338 -68.9331
295.000000 82.345 -69.1147
300.000000 82.345 -69.2410
304.000000 82.345 -69.3925
307.000000 82.348 -69.5219
311.000000 82.357 -69.6828
315.000000 82.366 -69.8677
320.000000 82.374 -70.1092
325.000000 82.379 -70.3736
330.000000 82.386 -70.6501
335.000000 82.393 -70.9199
340.000000 82.399 -71.1688
345.000000 82.403 -71.4445
350.000000 82.405 -71.7255
355.000000 82.411 -71.9892
360.000000 82.418 -72.2567
365.000000 82.420 -72.5092
370.000000 82.421 -72.7182
375.000000 82.427 -72.9513
382.000000 82.445 -73.2877
387.000000 82.453 -73.5077
395.000000 82.462 -73.8744
400.000000 82.465 -74.0775
406.000000 82.471 -74.3330
412.000000 82.476 -74.5818
418.000000 82.477 -74.8538
425.000000 82.481 -75.1176
431.000000 82.485 -75.3103
437.000000 82.488 -75.5005
444.000000 82.487 -75.7383
450.000000 82.486 -75.9487
455.000000 82.488 -76.0997
462.000000 82.493 -76.3010
468.000000 82.497 -76.4338
475.000000 82.498 -76.5949
482.000000 82.498 -76.7510
487.000000 82.496 -76.8233
494.000000 82.492 -76.9621
500.000000 82.495 -77.1195
508.000000 82.501 -77.2393
515.000000 82.502 -77.2831
522.000000 82.509 -77.3224
530.000000 82.521 -77.3849
538.000000 82.527 -77.4652
545.000000 82.533 -77.5112
552.000000 82.539 -77.5319
560.000000 82.544 -77.5540
570.000000 82.547 -77.5849
580.000000 82.547 -77.5889
590.000000 82.544 -77.5507
600.000000 82.539 -77.4687
608.000000 82.538 -77.3800
615.000000 82.540 -77.3061
622.000000 82.542 -77.2310
630.000000 82.541 -77.1091
640.000000 82.538 -76.9040
650.000000 82.538 -76.7041
660.000000 82.543 -76.4851
670.000000 82.547 -76.2124
680.000000 82.547 -75.9409
690.000000 82.550 -75.6645
700.000000 82.555 -75.3389
710.000000 82.558 -74.9597
720.000000 82.562 -74.5422
730.000000 82.574 -74.0714
740.000000 82.591 -73.5264
750.000000 82.607 -72.9626
762.000000 82.623 -72.2759
775.000000 82.641 -71.4869
788.000000 82.667 -70.6564
800.000000 82.694 -69.8387
812.000000 82.721 -69.0304
825.000000 82.759 -68.1325
838.000000 82.799 -67.2086
850.000000 82.836 -66.2886
862.000000 82.882 -65.3734
875.000000 82.941 -64.4087
885.000000 82.986 -63.6162
900.000000 83.052 -62.3775
912.000000 83.110 -61.3992
925.000000 83.181 -60.3094
938.000000 83.260 -59.2106
950.000000 83.336 -58.2276
962.000000 83.412 -57.2583
975.000000 83.489 -56.2012
988.000000 83.574 -55.1698
1000.000000 83.657 -54.2374
1015.000000 83.757 -53.0612
1030.000000 83.856 -51.8984
1044.000000 83.955 -50.8494
1060.000000 84.067 -49.6734
1075.000000 84.163 -48.5640
1090.000000 84.263 -47.4545
1106.000000 84.373 -46.3084
1120.000000 84.459 -45.2920
1138.000000 84.562 -43.9932
1150.000000 84.633 -43.1711
1172.000000 84.751 -41.6149
1180.000000 84.787 -41.0140
1206.000000 84.912 -38.9174
1220.000000 84.981 -37.7061
1241.000000 85.068 -35.8196
1250.000000 85.101 -34.9945
1265.000000 85.155 -33.6117
1280.000000 85.210 -32.1948
1315.000000 85.318 -28.7207
1320.000000 85.333 -28.2261
1340.000000 85.387 -26.2188
1360.000000 85.428 -24.1355
1380.000000 85.473 -22.0058
1400.000000 85.517 -19.8244
1430.000000 85.567 -16.4889
1450.000000 85.600 -14.2022
1475.000000 85.637 -11.2842
1500.000000 85.670 -8.2630
1525.000000 85.714 -5.0778
1550.000000 85.755 -1.8363
1575.000000 85.789 1.4712
1600.000000 85.831 4.9015
1625.000000 85.907 8.3321
1650.000000 86.001 11.0479
1675.000000 86.044 12.6369
1700.000000 86.060 13.1304
1725.000000 86.102 13.0440
1750.000000 86.154 12.9366
1775.000000 86.219 12.8853
1800.000000 86.288 12.8113
1825.000000 86.348 12.6939
1850.000000 86.409 12.5606
1875.000000 86.473 12.4301
1900.000000 86.532 12.3482
1925.000000 86.586 12.2813
1950.000000 86.641 12.1318
1975.000000 86.691 11.9060
2000.000000 86.741 11.6682
2030.000000 86.818 11.3943
2060.000000 86.886 11.0958
2090.000000 86.936 10.8201
2120.000000 86.997 10.5674
2140.000000 87.044 10.3907
2180.000000 87.127 9.9525
2200.000000 87.164 9.6948
2240.000000 87.249 9.2979
2270.000000 87.317 9.0315
2300.000000 87.376 8.7350
2330.000000 87.436 8.4295
2360.000000 87.504 8.1413
2400.000000 87.596 7.6809
2430.000000 87.659 7.2736
2470.000000 87.750 6.8480
2500.000000 87.820 6.5305
2540.000000 87.902 5.9754
2580.000000 87.987 5.4275
2620.000000 88.078 4.9152
2650.000000 88.135 4.5083
2690.000000 88.199 3.9469
2720.000000 88.252 3.6255
2760.000000 88.338 3.3309
2800.000000 88.433 3.0582
2850.000000 88.589 2.6891
2900.000000 88.807 2.1910
2950.000000 89.026 1.1084
3000.000000 89.212 -0.3339
3040.000000 89.343 -1.5498
3070.000000 89.423 -2.4948
3110.000000 89.504 -3.8210
3150.000000 89.572 -5.0755
3200.000000 89.650 -6.5030
3250.000000 89.711 -8.0048
3300.000000 89.764 -9.4809
3350.000000 89.819 -10.7258
3400.000000 89.864 -12.0479
3450.000000 89.887 -13.5257
3500.000000 89.903 -15.0136
3550.000000 89.910 -16.3959
3600.000000 89.911 -17.6199
3650.000000 89.908 -18.9514
3700.000000 89.904 -20.3127
3750.000000 89.890 -21.4930
3820.000000 89.852 -22.9141
3870.000000 89.817 -23.7474
3950.000000 89.764 -24.6066
4000.000000 89.721 -25.0517
4060.000000 89.642 -25.7059
4120.000000 89.557 -26.2763
4180.000000 89.475 -26.7012
4250.000000 89.339 -27.2386
4310.000000 89.204 -27.6643
4370.000000 89.081 -27.8057
4440.000000 88.935 -27.8435
4500.000000 88.800 -27.9408
4550.000000 88.692 -27.8857
4620.000000 88.552 -27.6098
4680.000000 88.423 -27.4279
4750.000000 88.260 -27.2109
4820.000000 88.113 -26.7119
4870.000000 88.021 -26.3056
4940.000000 87.888 -25.8855
5000.000000 87.775 -25.5561
5080.000000 87.636 -24.8548
5150.000000 87.510 -24.1854
5220.000000 87.370 -23.6867
5300.000000 87.212 -23.0940
5380.000000 87.069 -22.6450
5450.000000 86.942 -22.6896
5520.000000 86.816 -22.8827
5600.000000 86.689 -22.8952
