* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 5, 2024 5:40:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony WF-C510 (CBEQ) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 87.821 156.6684
20.600000 87.985 155.0876
20.900000 88.179 153.0785
21.200001 88.393 150.7679
21.400000 88.545 149.1146
21.799999 88.867 145.7280
22.000000 89.030 144.0837
22.400000 89.349 141.0640
22.700001 89.571 139.0990
23.000000 89.775 137.3828
23.299999 89.961 135.8541
23.600000 90.134 134.4221
24.000000 90.354 132.4941
24.299999 90.520 130.9313
24.700001 90.753 128.6008
25.000000 90.941 126.6516
25.400000 91.206 123.8114
25.799999 91.474 120.7632
26.200001 91.725 117.5971
26.500000 91.888 115.2021
26.900000 92.064 112.0544
27.200001 92.165 109.7712
27.600000 92.272 106.8760
28.000000 92.370 104.1658
28.500000 92.517 100.9910
29.000000 92.711 97.9394
29.500000 92.940 94.9136
30.000000 93.167 91.9087
30.400000 93.326 89.5632
30.700001 93.428 87.8623
31.100000 93.541 85.6817
31.500000 93.632 83.5859
32.000000 93.727 81.0268
32.500000 93.807 78.4723
33.000000 93.874 75.9137
33.500000 93.930 73.4141
34.000000 93.982 71.0585
34.500000 94.039 68.8847
35.000000 94.108 66.8497
35.500000 94.185 64.8579
36.000000 94.261 62.8231
36.500000 94.328 60.7143
37.000000 94.384 58.5534
37.500000 94.431 56.3842
38.200001 94.488 53.3986
38.700001 94.521 51.3315
39.500000 94.558 48.1828
40.000000 94.577 46.3254
40.599998 94.611 44.1834
41.200001 94.661 42.0929
41.799999 94.720 40.0426
42.500000 94.785 37.7468
43.099998 94.841 35.8842
43.700001 94.904 34.0805
44.400002 94.991 31.9742
45.000000 95.068 30.1409
45.500000 95.125 28.5955
46.200001 95.185 26.3935
46.799999 95.218 24.4401
47.500000 95.242 22.0664
48.200001 95.264 19.6456
48.700001 95.285 17.9525
49.400002 95.324 15.6992
50.000000 95.362 13.8624
50.799999 95.406 11.4482
51.500000 95.425 9.3582
52.200001 95.433 7.3669
53.000000 95.442 5.2240
53.799999 95.444 3.1283
54.500000 95.431 1.2854
55.200001 95.410 -0.5924
56.000000 95.392 -2.8023
57.000000 95.375 -5.5521
58.000000 95.351 -8.1718
59.000000 95.307 -10.7512
60.000000 95.254 -13.3477
60.799999 95.216 -15.3876
61.500000 95.186 -17.0966
62.200001 95.156 -18.7352
63.000000 95.119 -20.5704
64.000000 95.067 -22.8640
65.000000 95.010 -25.1245
66.000000 94.949 -27.3123
67.000000 94.879 -29.4287
68.000000 94.799 -31.5074
69.000000 94.715 -33.5898
70.000000 94.638 -35.6694
71.000000 94.574 -37.7228
72.000000 94.510 -39.7151
73.000000 94.439 -41.6354
74.000000 94.363 -43.5196
75.000000 94.286 -45.3723
76.199997 94.194 -47.5353
77.500000 94.094 -49.8203
78.800003 93.990 -52.0546
80.000000 93.892 -54.0654
81.199997 93.798 -56.0488
82.500000 93.689 -58.1789
83.800003 93.569 -60.3314
85.000000 93.458 -62.3670
86.199997 93.354 -64.3430
87.500000 93.249 -66.3352
88.500000 93.170 -67.7868
90.000000 93.052 -69.8881
91.199997 92.950 -71.5482
92.500000 92.829 -73.3758
93.800003 92.699 -75.2487
95.000000 92.574 -76.9894
96.199997 92.450 -78.7031
97.500000 92.321 -80.4937
98.800003 92.194 -82.2038
100.000000 92.070 -83.7115
101.500000 91.901 -85.5380
103.000000 91.721 -87.3624
104.400002 91.550 -89.0734
106.000000 91.365 -90.9875
107.500000 91.195 -92.7567
109.000000 91.017 -94.4482
110.599998 90.827 -96.1720
112.000000 90.661 -97.5847
113.800003 90.449 -99.3017
115.000000 90.307 -100.4169
117.199997 90.055 -102.3771
118.000000 89.967 -103.0342
120.599998 89.681 -105.1086
122.000000 89.523 -106.2252
124.099998 89.297 -107.8124
125.000000 89.206 -108.4671
126.500000 89.060 -109.5247
128.000000 88.911 -110.5363
131.500000 88.555 -112.7662
132.000000 88.506 -113.0776
134.000000 88.314 -114.3175
136.000000 88.124 -115.5292
138.000000 87.940 -116.7040
140.000000 87.759 -117.8118
143.000000 87.493 -119.3549
145.000000 87.318 -120.3680
147.500000 87.102 -121.5428
150.000000 86.893 -122.6912
152.500000 86.701 -123.7207
155.000000 86.520 -124.7209
157.500000 86.344 -125.7740
160.000000 86.175 -126.7947
162.500000 86.010 -127.7482
165.000000 85.854 -128.7054
167.500000 85.706 -129.6692
170.000000 85.562 -130.5851
172.500000 85.424 -131.4228
175.000000 85.287 -132.2435
177.500000 85.150 -132.9907
180.000000 85.021 -133.7246
182.500000 84.895 -134.4800
185.000000 84.776 -135.1922
187.500000 84.659 -135.8662
190.000000 84.534 -136.5026
192.500000 84.427 -136.9424
195.000000 84.369 -137.2097
197.500000 84.356 -137.6414
200.000000 84.358 -138.3839
203.000000 84.331 -139.5996
206.000000 84.274 -140.7609
209.000000 84.205 -141.8269
212.000000 84.130 -142.8498
214.000000 84.078 -143.5095
218.000000 83.976 -144.7092
220.000000 83.931 -145.3381
224.000000 83.857 -146.5287
227.000000 83.813 -147.4286
230.000000 83.775 -148.3612
233.000000 83.738 -149.2595
236.000000 83.706 -150.1557
240.000000 83.667 -151.4017
243.000000 83.641 -152.3353
247.000000 83.612 -153.5537
250.000000 83.592 -154.4863
254.000000 83.570 -155.7577
258.000000 83.549 -157.0364
262.000000 83.531 -158.3499
265.000000 83.521 -159.3703
269.000000 83.505 -160.7202
272.000000 83.489 -161.7126
276.000000 83.477 -163.0454
280.000000 83.473 -164.3951
285.000000 83.470 -166.0478
290.000000 83.476 -167.7342
295.000000 83.482 -169.5264
300.000000 83.486 -171.3641
304.000000 83.486 -172.8463
307.000000 83.485 -173.9696
311.000000 83.482 -175.4492
315.000000 83.482 -176.8849
320.000000 83.487 -178.7470
325.000000 83.493 179.3481
330.000000 83.498 177.4719
335.000000 83.498 175.5859
340.000000 83.494 173.7145
345.000000 83.496 171.8132
350.000000 83.499 169.9189
355.000000 83.502 168.0355
360.000000 83.502 166.1645
365.000000 83.502 164.3203
370.000000 83.501 162.4487
375.000000 83.505 160.5767
382.000000 83.514 158.0085
387.000000 83.512 156.1253
395.000000 83.510 153.2018
400.000000 83.513 151.3971
406.000000 83.515 149.2373
412.000000 83.517 147.0422
418.000000 83.517 144.8468
425.000000 83.518 142.3094
431.000000 83.518 140.1465
437.000000 83.519 137.9760
444.000000 83.521 135.4348
450.000000 83.521 133.2875
455.000000 83.520 131.4863
462.000000 83.520 128.9519
468.000000 83.521 126.8184
475.000000 83.517 124.3354
482.000000 83.514 121.8573
487.000000 83.512 120.0784
494.000000 83.505 117.5977
500.000000 83.500 115.4731
508.000000 83.488 112.6707
515.000000 83.474 110.2502
522.000000 83.461 107.8694
530.000000 83.451 105.2240
538.000000 83.447 102.6331
545.000000 83.444 100.3810
552.000000 83.438 98.0984
560.000000 83.432 95.4958
570.000000 83.428 92.3280
580.000000 83.429 89.1902
590.000000 83.423 86.0653
600.000000 83.417 82.9299
608.000000 83.417 80.4107
615.000000 83.416 78.2080
622.000000 83.417 76.0140
630.000000 83.417 73.5172
640.000000 83.408 70.4605
650.000000 83.403 67.4372
660.000000 83.407 64.4306
670.000000 83.411 61.4428
680.000000 83.412 58.4745
690.000000 83.413 55.5314
700.000000 83.411 52.5952
710.000000 83.409 49.6997
720.000000 83.411 46.8651
730.000000 83.420 44.0850
740.000000 83.428 41.3485
750.000000 83.437 38.6669
762.000000 83.452 35.5119
775.000000 83.472 32.0942
788.000000 83.495 28.6906
800.000000 83.522 25.5574
812.000000 83.550 22.4480
825.000000 83.579 19.1403
838.000000 83.609 15.8630
850.000000 83.648 12.8425
862.000000 83.691 9.8653
875.000000 83.738 6.6260
885.000000 83.777 4.1432
900.000000 83.844 0.4552
912.000000 83.898 -2.4835
925.000000 83.961 -5.6852
938.000000 84.030 -8.9043
950.000000 84.094 -11.8607
962.000000 84.160 -14.8075
975.000000 84.235 -18.0065
988.000000 84.317 -21.2290
1000.000000 84.393 -24.2086
1015.000000 84.483 -27.9093
1030.000000 84.574 -31.6527
1044.000000 84.665 -35.1700
1060.000000 84.769 -39.1908
1075.000000 84.863 -42.9664
1090.000000 84.956 -46.7594
1106.000000 85.052 -50.7708
1120.000000 85.134 -54.3074
1138.000000 85.238 -58.8632
1150.000000 85.309 -61.9180
1172.000000 85.431 -67.5136
1180.000000 85.474 -69.5175
1206.000000 85.614 -75.9833
1220.000000 85.683 -79.4274
1241.000000 85.770 -84.5145
1250.000000 85.804 -86.6763
1265.000000 85.858 -90.2590
1280.000000 85.908 -93.8226
1315.000000 86.023 -102.0490
1320.000000 86.037 -103.1989
1340.000000 86.085 -107.7687
1360.000000 86.128 -112.3336
1380.000000 86.173 -116.8333
1400.000000 86.216 -121.2747
1430.000000 86.277 -127.8606
1450.000000 86.313 -132.1946
1475.000000 86.349 -137.5375
1500.000000 86.385 -142.7925
1525.000000 86.421 -147.9313
1550.000000 86.455 -153.0005
1575.000000 86.493 -158.0207
1600.000000 86.529 -163.0167
1625.000000 86.563 -167.9160
1650.000000 86.595 -172.6943
1675.000000 86.624 -177.2833
1700.000000 86.656 178.2678
1725.000000 86.689 173.9838
1750.000000 86.722 169.8284
1775.000000 86.758 165.6592
1800.000000 86.794 161.5109
1825.000000 86.827 157.4319
1850.000000 86.864 153.4385
1875.000000 86.901 149.5216
1900.000000 86.934 145.6545
1925.000000 86.971 141.8442
1950.000000 87.016 138.0773
1975.000000 87.057 134.3579
2000.000000 87.097 130.6996
2030.000000 87.145 126.3424
2060.000000 87.198 122.0311
2090.000000 87.256 117.7889
2120.000000 87.312 113.5704
2140.000000 87.346 110.7783
2180.000000 87.411 105.3023
2200.000000 87.441 102.6168
2240.000000 87.500 97.3101
2270.000000 87.540 93.4027
2300.000000 87.581 89.5796
2330.000000 87.620 85.9434
2360.000000 87.659 82.5214
2400.000000 87.715 78.1873
2430.000000 87.756 74.9823
2470.000000 87.803 70.7833
2500.000000 87.838 67.7425
2540.000000 87.888 63.8893
2580.000000 87.937 60.2695
2620.000000 88.004 56.8589
2650.000000 88.080 54.4343
2690.000000 88.222 51.2579
2720.000000 88.349 48.7875
2760.000000 88.536 45.2133
2800.000000 88.722 41.3578
2850.000000 88.904 36.5367
2900.000000 89.022 31.7620
2950.000000 89.118 27.1677
3000.000000 89.203 22.7882
3040.000000 89.262 19.4247
3070.000000 89.305 16.9522
3110.000000 89.357 13.7512
3150.000000 89.404 10.6667
3200.000000 89.464 6.8866
3250.000000 89.516 3.2280
3300.000000 89.555 -0.3285
3350.000000 89.592 -3.7808
3400.000000 89.623 -7.0983
3450.000000 89.642 -10.2871
3500.000000 89.659 -13.3669
3550.000000 89.673 -16.3488
3600.000000 89.680 -19.2020
3650.000000 89.686 -21.9000
3700.000000 89.685 -24.5174
3750.000000 89.677 -27.0486
3820.000000 89.654 -30.2761
3870.000000 89.631 -32.2249
3950.000000 89.587 -34.8726
4000.000000 89.542 -36.3361
4060.000000 89.463 -37.9432
4120.000000 89.369 -39.4048
4180.000000 89.251 -40.6817
4250.000000 89.070 -41.8330
4310.000000 88.888 -42.4064
4370.000000 88.703 -42.5632
4440.000000 88.502 -42.2941
4500.000000 88.359 -41.7375
4550.000000 88.258 -41.1332
4620.000000 88.132 -40.1525
4680.000000 88.036 -39.1875
4750.000000 87.923 -37.9473
4820.000000 87.806 -36.5821
4870.000000 87.721 -35.4875
4940.000000 87.592 -33.7728
5000.000000 87.474 -32.1199
5080.000000 87.315 -29.5272
5150.000000 87.191 -26.8817
5220.000000 87.085 -23.9709
5300.000000 86.994 -20.4064
5380.000000 86.926 -16.4279
5450.000000 86.885 -12.5610
5520.000000 86.839 -8.4965
5600.000000 86.778 -3.6949
5700.000000 86.703 2.4493
5800.000000 86.613 8.7546
5900.000000 86.496 15.2444
6000.000000 86.346 21.9511
