* Measurement data measured by REW V5.30
* Source: EXCL: Microphone (Qudelix-5K USB DAC/MIC 44.1KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Mar 23, 2024 1:23:03 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony C700N L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 91.711 -76.2617
20.600000 91.839 -77.7572
20.900000 91.989 -79.4162
21.200001 92.137 -81.0679
21.400000 92.233 -82.1612
21.799999 92.418 -84.3377
22.000000 92.507 -85.4227
22.400000 92.678 -87.5819
22.700001 92.801 -89.1847
23.000000 92.919 -90.7666
23.299999 93.035 -92.3246
23.600000 93.150 -93.8599
24.000000 93.300 -95.8797
24.299999 93.409 -97.3814
24.700001 93.550 -99.3746
25.000000 93.651 -100.8649
25.400000 93.780 -102.8454
25.799999 93.903 -104.8163
26.200001 94.021 -106.7745
26.500000 94.107 -108.2318
26.900000 94.218 -110.1525
27.200001 94.297 -111.5699
27.600000 94.398 -113.4206
28.000000 94.493 -115.2248
28.500000 94.606 -117.4310
29.000000 94.714 -119.6198
29.500000 94.817 -121.8215
30.000000 94.914 -124.0331
30.400000 94.985 -125.7883
30.700001 95.036 -127.0840
31.100000 95.102 -128.7756
31.500000 95.165 -130.4271
32.000000 95.241 -132.4509
32.500000 95.311 -134.4526
33.000000 95.375 -136.4444
33.500000 95.431 -138.4213
34.000000 95.481 -140.3689
34.500000 95.527 -142.2776
35.000000 95.570 -144.1490
35.500000 95.609 -145.9928
36.000000 95.642 -147.8156
36.500000 95.669 -149.6150
37.000000 95.692 -151.3842
37.500000 95.714 -153.1212
38.200001 95.744 -155.5083
38.700001 95.763 -157.1868
39.500000 95.780 -159.8186
40.000000 95.783 -161.4266
40.599998 95.780 -163.3253
41.200001 95.775 -165.1968
41.799999 95.769 -167.0414
42.500000 95.763 -169.1573
43.099998 95.755 -170.9351
43.700001 95.741 -172.6676
44.400002 95.716 -174.6226
45.000000 95.690 -176.2556
45.500000 95.665 -177.6003
46.200001 95.628 -179.4612
46.799999 95.596 178.9734
47.500000 95.558 177.1911
48.200001 95.519 175.4604
48.700001 95.489 174.2550
49.400002 95.443 172.5975
50.000000 95.399 171.1918
50.799999 95.337 169.3474
51.500000 95.285 167.7787
52.200001 95.237 166.2443
53.000000 95.181 164.5195
53.799999 95.116 162.8411
54.500000 95.055 161.4125
55.200001 94.994 160.0098
56.000000 94.926 158.4421
57.000000 94.844 156.5435
58.000000 94.756 154.7088
59.000000 94.662 152.9501
60.000000 94.571 151.2351
60.799999 94.499 149.8886
61.500000 94.435 148.7390
62.200001 94.369 147.6111
63.000000 94.293 146.3404
64.000000 94.196 144.7859
65.000000 94.101 143.2809
66.000000 94.008 141.8250
67.000000 93.912 140.4080
68.000000 93.814 139.0345
69.000000 93.719 137.6947
70.000000 93.628 136.3806
71.000000 93.534 135.1141
72.000000 93.437 133.8907
73.000000 93.342 132.6712
74.000000 93.249 131.4495
75.000000 93.160 130.2613
76.199997 93.052 128.8907
77.500000 92.930 127.4857
78.800003 92.811 126.1355
80.000000 92.705 124.8994
81.199997 92.600 123.6737
82.500000 92.488 122.3855
83.800003 92.378 121.1630
85.000000 92.278 120.0717
86.199997 92.180 118.9874
87.500000 92.074 117.8335
88.500000 91.989 116.9764
90.000000 91.860 115.6956
91.199997 91.763 114.6859
92.500000 91.666 113.6245
93.800003 91.569 112.6014
95.000000 91.479 111.6671
96.199997 91.388 110.7592
97.500000 91.291 109.8221
98.800003 91.196 108.8808
100.000000 91.108 108.0042
101.500000 91.001 106.9537
103.000000 90.898 105.9313
104.400002 90.802 104.9809
106.000000 90.692 103.9189
107.500000 90.594 102.9634
109.000000 90.498 102.0269
110.599998 90.393 101.0320
112.000000 90.302 100.1740
113.800003 90.191 99.0914
115.000000 90.118 98.3700
117.199997 89.981 97.0765
118.000000 89.933 96.6216
120.599998 89.783 95.1623
122.000000 89.705 94.3975
124.099998 89.587 93.2468
125.000000 89.537 92.7447
126.500000 89.451 91.9133
128.000000 89.367 91.1104
131.500000 89.175 89.3723
132.000000 89.149 89.1321
134.000000 89.042 88.1762
136.000000 88.933 87.2320
138.000000 88.828 86.3171
140.000000 88.729 85.4244
143.000000 88.584 84.1195
145.000000 88.491 83.2618
147.500000 88.382 82.2294
150.000000 88.275 81.2163
152.500000 88.167 80.1429
155.000000 88.063 79.0789
157.500000 87.956 78.0290
160.000000 87.850 77.0254
162.500000 87.742 76.0595
165.000000 87.637 75.1185
167.500000 87.534 74.2173
170.000000 87.432 73.3589
172.500000 87.330 72.5098
175.000000 87.234 71.6981
177.500000 87.145 70.9429
180.000000 87.062 70.2121
182.500000 86.983 69.5196
185.000000 86.910 68.8447
187.500000 86.856 68.1118
190.000000 86.822 67.3591
192.500000 86.790 66.5166
195.000000 86.759 65.4643
197.500000 86.720 64.4531
200.000000 86.651 63.6943
203.000000 86.550 62.7285
206.000000 86.451 61.7529
209.000000 86.357 60.8553
212.000000 86.268 59.9716
214.000000 86.210 59.3707
218.000000 86.107 58.2136
220.000000 86.061 57.6896
224.000000 85.975 56.6556
227.000000 85.914 55.8112
230.000000 85.851 54.9744
233.000000 85.786 54.1968
236.000000 85.728 53.4023
240.000000 85.658 52.2706
243.000000 85.606 51.5436
247.000000 85.545 50.5291
250.000000 85.495 49.7515
254.000000 85.428 48.7525
258.000000 85.373 47.8267
262.000000 85.338 46.8404
265.000000 85.307 46.0462
269.000000 85.257 45.0377
272.000000 85.218 44.3098
276.000000 85.172 43.3778
280.000000 85.136 42.4907
285.000000 85.092 41.3189
290.000000 85.038 40.1281
295.000000 85.009 38.8376
300.000000 84.981 37.7239
304.000000 84.962 36.7404
307.000000 84.950 36.0171
311.000000 84.932 35.0833
315.000000 84.914 34.1107
320.000000 84.890 32.8759
325.000000 84.868 31.6348
330.000000 84.851 30.3896
335.000000 84.837 29.1479
340.000000 84.824 27.9125
345.000000 84.813 26.6799
350.000000 84.801 25.4124
355.000000 84.793 24.1320
360.000000 84.788 22.8478
365.000000 84.781 21.5848
370.000000 84.773 20.3123
375.000000 84.766 19.0398
382.000000 84.752 17.2841
387.000000 84.741 16.0232
395.000000 84.732 13.9503
400.000000 84.727 12.6541
406.000000 84.721 11.1024
412.000000 84.715 9.5780
418.000000 84.707 8.0975
425.000000 84.698 6.3580
431.000000 84.693 4.8636
437.000000 84.690 3.4069
444.000000 84.687 1.7234
450.000000 84.683 0.2670
455.000000 84.676 -0.9364
462.000000 84.665 -2.6365
468.000000 84.658 -4.0876
475.000000 84.648 -5.7140
482.000000 84.637 -7.3364
487.000000 84.630 -8.5004
494.000000 84.620 -10.1401
500.000000 84.612 -11.5128
508.000000 84.605 -13.3192
515.000000 84.599 -14.9133
522.000000 84.592 -16.5060
530.000000 84.584 -18.3288
538.000000 84.573 -20.1273
545.000000 84.563 -21.6988
552.000000 84.551 -23.2712
560.000000 84.540 -25.0444
570.000000 84.531 -27.2713
580.000000 84.523 -29.4788
590.000000 84.515 -31.6816
600.000000 84.490 -33.9738
608.000000 84.439 -35.6621
615.000000 84.407 -36.8910
622.000000 84.401 -38.1462
630.000000 84.399 -39.7291
640.000000 84.386 -41.8995
650.000000 84.314 -44.3085
660.000000 84.106 -46.2245
670.000000 83.996 -46.3589
680.000000 84.119 -47.1778
690.000000 84.222 -48.9006
700.000000 84.266 -50.7468
710.000000 84.289 -52.5156
720.000000 84.306 -54.2505
730.000000 84.323 -55.9589
740.000000 84.339 -57.6243
750.000000 84.355 -59.2628
762.000000 84.378 -61.1990
775.000000 84.403 -63.2856
788.000000 84.435 -65.3468
800.000000 84.465 -67.2316
812.000000 84.494 -69.1157
825.000000 84.531 -71.0908
838.000000 84.574 -73.0016
850.000000 84.617 -74.7197
862.000000 84.658 -76.4080
875.000000 84.706 -78.2180
885.000000 84.747 -79.5948
900.000000 84.803 -81.6630
912.000000 84.853 -83.3087
925.000000 84.912 -85.0935
938.000000 84.969 -86.8668
950.000000 85.020 -88.4750
962.000000 85.074 -90.0814
975.000000 85.138 -91.8364
988.000000 85.205 -93.5839
1000.000000 85.267 -95.1895
1015.000000 85.342 -97.1934
1030.000000 85.416 -99.2014
1044.000000 85.486 -101.0828
1060.000000 85.568 -103.2321
1075.000000 85.645 -105.2577
1090.000000 85.719 -107.2781
1106.000000 85.795 -109.4275
1120.000000 85.858 -111.3225
1138.000000 85.933 -113.7190
1150.000000 85.980 -115.2925
1172.000000 86.061 -118.1880
1180.000000 86.088 -119.2321
1206.000000 86.171 -122.5388
1220.000000 86.210 -124.2604
1241.000000 86.264 -126.7852
1250.000000 86.285 -127.8518
1265.000000 86.318 -129.5909
1280.000000 86.350 -131.2476
1315.000000 86.427 -134.6914
1320.000000 86.441 -135.1470
1340.000000 86.511 -136.8824
1360.000000 86.619 -138.5118
1380.000000 86.767 -140.1561
1400.000000 86.931 -141.9380
1430.000000 87.157 -144.9510
1450.000000 87.279 -147.0971
1475.000000 87.388 -149.7455
1500.000000 87.467 -152.2333
1525.000000 87.529 -154.5260
1550.000000 87.592 -156.5724
1575.000000 87.667 -158.4631
1600.000000 87.751 -160.3019
1625.000000 87.839 -162.1214
1650.000000 87.922 -163.8292
1675.000000 88.003 -165.3496
1700.000000 88.090 -166.6844
1725.000000 88.192 -167.8450
1750.000000 88.331 -168.7589
1775.000000 88.531 -169.5664
1800.000000 88.797 -170.5029
1825.000000 89.119 -171.7775
1850.000000 89.454 -173.5728
1875.000000 89.756 -175.8288
1900.000000 90.002 -178.3046
1925.000000 90.190 179.2404
1950.000000 90.323 176.9770
1975.000000 90.413 174.9233
2000.000000 90.480 173.1047
2030.000000 90.551 171.2261
2060.000000 90.625 169.6248
2090.000000 90.713 168.2228
2120.000000 90.820 166.9851
2140.000000 90.902 166.2358
2180.000000 91.100 164.7410
2200.000000 91.216 163.9195
2240.000000 91.454 162.0225
2270.000000 91.613 160.4360
2300.000000 91.743 158.7603
2330.000000 91.839 157.0912
2360.000000 91.905 155.5404
2400.000000 91.961 153.6665
2430.000000 91.993 152.4661
2470.000000 92.035 151.1397
2500.000000 92.066 150.2929
2540.000000 92.115 149.3109
2580.000000 92.180 148.4118
2620.000000 92.250 147.5728
2650.000000 92.298 147.0155
2690.000000 92.355 146.4614
2720.000000 92.387 146.1780
2760.000000 92.402 145.9490
2800.000000 92.409 145.9464
2850.000000 92.422 146.0652
2900.000000 92.433 146.4050
2950.000000 92.447 146.9163
3000.000000 92.450 147.5201
3040.000000 92.445 148.1027
3070.000000 92.436 148.6127
3110.000000 92.420 149.3751
3150.000000 92.399 150.2094
3200.000000 92.367 151.3788
3250.000000 92.321 152.6839
3300.000000 92.259 154.1666
3350.000000 92.192 155.8417
3400.000000 92.113 157.6942
3450.000000 92.031 159.7343
3500.000000 91.948 161.9458
3550.000000 91.859 164.3397
3600.000000 91.762 166.8979
3650.000000 91.660 169.6243
3700.000000 91.555 172.5452
3750.000000 91.454 175.6539
3820.000000 91.323 -179.7832
3870.000000 91.226 -176.3588
3950.000000 91.066 -170.5822
4000.000000 90.966 -166.8073
4060.000000 90.848 -162.1082
4120.000000 90.730 -157.2371
4180.000000 90.606 -152.2135
4250.000000 90.456 -146.0656
4310.000000 90.323 -140.4968
4370.000000 90.186 -134.5777
4440.000000 90.038 -127.0884
4500.000000 89.911 -120.2640
4550.000000 89.810 -114.3763
4620.000000 89.678 -105.9431
4680.000000 89.568 -98.5446
4750.000000 89.445 -89.6606
4820.000000 89.336 -80.5508
4870.000000 89.265 -73.9083
4940.000000 89.173 -64.4767
5000.000000 89.096 -56.2867
5080.000000 88.996 -45.1602
5150.000000 88.918 -35.2207
5220.000000 88.847 -25.1238
5300.000000 88.767 -13.4081
5380.000000 88.683 -1.4838
5450.000000 88.613 9.1415
5520.000000 88.548 19.9399
5600.000000 88.478 32.4612
5700.000000 88.394 48.4047
5800.000000 88.317 64.6725
5900.000000 88.254 81.1528
