* Measurement data measured by REW V5.30
* Source: EXCL: Microphone (Qudelix-5K USB DAC/MIC 44.1KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Mar 23, 2024 1:18:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony C700N R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 91.137 -74.9692
20.600000 91.269 -76.4893
20.900000 91.423 -78.1681
21.200001 91.574 -79.8330
21.400000 91.672 -80.9330
21.799999 91.859 -83.1214
22.000000 91.948 -84.2122
22.400000 92.120 -86.3837
22.700001 92.244 -87.9969
23.000000 92.366 -89.5917
23.299999 92.488 -91.1665
23.600000 92.608 -92.7229
24.000000 92.766 -94.7735
24.299999 92.880 -96.2953
24.700001 93.025 -98.3044
25.000000 93.128 -99.7983
25.400000 93.258 -101.7793
25.799999 93.383 -103.7567
26.200001 93.502 -105.7343
26.500000 93.589 -107.2127
26.900000 93.702 -109.1637
27.200001 93.784 -110.6028
27.600000 93.891 -112.4846
28.000000 93.995 -114.3307
28.500000 94.119 -116.6090
29.000000 94.231 -118.8669
29.500000 94.332 -121.0943
30.000000 94.427 -123.2788
30.400000 94.501 -124.9994
30.700001 94.557 -126.2803
31.100000 94.629 -127.9798
31.500000 94.696 -129.6674
32.000000 94.772 -131.7492
32.500000 94.840 -133.7943
33.000000 94.904 -135.8134
33.500000 94.964 -137.8184
34.000000 95.022 -139.8037
34.500000 95.075 -141.7510
35.000000 95.124 -143.6517
35.500000 95.169 -145.5177
36.000000 95.209 -147.3663
36.500000 95.240 -149.2009
37.000000 95.264 -151.0089
37.500000 95.286 -152.7766
38.200001 95.315 -155.1829
38.700001 95.336 -156.8643
39.500000 95.362 -159.5128
40.000000 95.369 -161.1503
40.599998 95.370 -163.1009
41.200001 95.364 -165.0240
41.799999 95.357 -166.8959
42.500000 95.351 -169.0060
43.099998 95.347 -170.7747
43.700001 95.338 -172.5288
44.400002 95.317 -174.5476
45.000000 95.293 -176.2355
45.500000 95.274 -177.6109
46.200001 95.248 -179.5007
46.799999 95.224 178.9096
47.500000 95.191 177.0970
48.200001 95.152 175.3310
48.700001 95.122 174.0932
49.400002 95.080 172.3861
50.000000 95.042 170.9456
50.799999 94.990 169.0602
51.500000 94.942 167.4435
52.200001 94.893 165.8539
53.000000 94.836 164.0766
53.799999 94.777 162.3614
54.500000 94.722 160.9158
55.200001 94.666 159.5049
56.000000 94.602 157.9105
57.000000 94.517 155.9530
58.000000 94.427 154.0784
59.000000 94.341 152.2576
60.000000 94.256 150.4572
60.799999 94.188 149.0583
61.500000 94.129 147.8663
62.200001 94.067 146.6927
63.000000 93.994 145.3720
64.000000 93.904 143.7592
65.000000 93.815 142.1921
66.000000 93.727 140.6822
67.000000 93.637 139.2206
68.000000 93.546 137.7817
69.000000 93.455 136.3712
70.000000 93.370 134.9985
71.000000 93.284 133.6538
72.000000 93.195 132.3456
73.000000 93.101 131.0732
74.000000 93.006 129.8208
75.000000 92.913 128.6000
76.199997 92.811 127.1718
77.500000 92.707 125.6511
78.800003 92.598 124.1761
80.000000 92.494 122.8410
81.199997 92.390 121.5470
82.500000 92.280 120.2122
83.800003 92.174 118.9055
85.000000 92.078 117.7029
86.199997 91.983 116.5363
87.500000 91.884 115.3178
88.500000 91.810 114.3825
90.000000 91.693 112.9778
91.199997 91.599 111.9211
92.500000 91.502 110.8216
93.800003 91.407 109.7141
95.000000 91.318 108.6758
96.199997 91.226 107.6565
97.500000 91.130 106.6050
98.800003 91.038 105.5821
100.000000 90.956 104.6452
101.500000 90.855 103.4779
103.000000 90.754 102.3597
104.400002 90.661 101.3322
106.000000 90.552 100.1643
107.500000 90.453 99.1079
109.000000 90.360 98.0563
110.599998 90.261 96.9563
112.000000 90.174 96.0160
113.800003 90.065 94.8029
115.000000 89.994 93.9940
117.199997 89.868 92.5402
118.000000 89.821 92.0252
120.599998 89.671 90.3822
122.000000 89.593 89.4918
124.099998 89.472 88.1772
125.000000 89.422 87.6364
126.500000 89.341 86.7433
128.000000 89.261 85.8457
131.500000 89.073 83.7942
132.000000 89.046 83.5195
134.000000 88.937 82.4193
136.000000 88.828 81.3018
138.000000 88.719 80.2623
140.000000 88.611 79.2728
143.000000 88.462 77.7196
145.000000 88.358 76.7431
147.500000 88.228 75.6114
150.000000 88.116 74.5733
152.500000 88.021 73.7189
155.000000 87.958 72.9154
157.500000 87.895 71.5731
160.000000 87.823 70.2382
162.500000 87.748 68.9603
165.000000 87.663 67.7205
167.500000 87.570 66.4807
170.000000 87.473 65.2935
172.500000 87.373 64.1651
175.000000 87.272 63.0857
177.500000 87.172 62.0029
180.000000 87.076 60.9102
182.500000 86.984 59.8478
185.000000 86.888 58.7859
187.500000 86.798 57.7435
190.000000 86.715 56.7590
192.500000 86.630 55.8892
195.000000 86.546 55.0172
197.500000 86.473 54.1584
200.000000 86.404 53.3590
203.000000 86.321 52.4041
206.000000 86.244 51.3677
209.000000 86.174 50.2598
212.000000 86.109 49.1751
214.000000 86.067 48.4594
218.000000 85.975 46.9942
220.000000 85.926 46.2989
224.000000 85.836 44.9652
227.000000 85.771 43.9580
230.000000 85.709 42.9814
233.000000 85.647 42.0114
236.000000 85.585 41.0119
240.000000 85.505 39.7087
243.000000 85.455 38.7108
247.000000 85.385 37.4131
250.000000 85.329 36.4721
254.000000 85.260 35.2231
258.000000 85.194 33.9948
262.000000 85.129 32.7465
265.000000 85.088 31.8344
269.000000 85.033 30.6668
272.000000 84.989 29.8087
276.000000 84.927 28.6594
280.000000 84.880 27.5429
285.000000 84.834 26.1422
290.000000 84.785 24.7922
295.000000 84.749 23.4646
300.000000 84.729 22.1313
304.000000 84.717 21.0103
307.000000 84.711 20.1248
311.000000 84.704 18.9434
315.000000 84.685 17.7220
320.000000 84.657 16.1714
325.000000 84.634 14.6285
330.000000 84.613 13.1010
335.000000 84.595 11.5402
340.000000 84.576 9.9957
345.000000 84.555 8.4764
350.000000 84.534 6.9648
355.000000 84.513 5.4449
360.000000 84.495 3.9423
365.000000 84.482 2.4504
370.000000 84.468 0.9392
375.000000 84.453 -0.5755
382.000000 84.432 -2.6840
387.000000 84.419 -4.1842
395.000000 84.399 -6.5783
400.000000 84.388 -8.0764
406.000000 84.375 -9.8646
412.000000 84.362 -11.6390
418.000000 84.350 -13.3859
425.000000 84.343 -15.3990
431.000000 84.345 -17.1117
437.000000 84.348 -18.8232
444.000000 84.350 -20.8441
450.000000 84.352 -22.5841
455.000000 84.353 -24.0347
462.000000 84.357 -26.0693
468.000000 84.357 -27.8207
475.000000 84.352 -29.8497
482.000000 84.349 -31.8804
487.000000 84.346 -33.3250
494.000000 84.339 -35.3290
500.000000 84.334 -37.0402
508.000000 84.327 -39.3239
515.000000 84.321 -41.3089
522.000000 84.315 -43.2951
530.000000 84.308 -45.5552
538.000000 84.301 -47.7807
545.000000 84.298 -49.7197
552.000000 84.294 -51.6526
560.000000 84.289 -53.8533
570.000000 84.285 -56.6173
580.000000 84.279 -59.3654
590.000000 84.281 -62.0861
600.000000 84.290 -64.8477
608.000000 84.282 -67.1591
615.000000 84.255 -69.0969
622.000000 84.227 -71.0923
630.000000 84.108 -73.3947
640.000000 83.954 -74.9149
650.000000 83.960 -76.3037
660.000000 84.005 -78.3212
670.000000 84.026 -80.6638
680.000000 84.041 -83.1479
690.000000 84.060 -85.7141
700.000000 84.036 -88.2686
710.000000 83.970 -90.2389
720.000000 83.981 -91.9148
730.000000 84.037 -93.9525
740.000000 84.085 -96.1042
750.000000 84.120 -98.2784
762.000000 84.153 -100.8668
775.000000 84.198 -103.6835
788.000000 84.247 -106.4833
800.000000 84.291 -109.0544
812.000000 84.334 -111.5958
825.000000 84.381 -114.3236
838.000000 84.439 -117.0085
850.000000 84.496 -119.4351
862.000000 84.552 -121.7991
875.000000 84.615 -124.3320
885.000000 84.665 -126.2889
900.000000 84.744 -129.2414
912.000000 84.809 -131.6206
925.000000 84.881 -134.1766
938.000000 84.954 -136.7112
950.000000 85.024 -139.0640
962.000000 85.098 -141.4091
975.000000 85.177 -143.9307
988.000000 85.260 -146.4362
1000.000000 85.338 -148.7402
1015.000000 85.431 -151.6447
1030.000000 85.528 -154.5355
1044.000000 85.619 -157.2216
1060.000000 85.724 -160.3033
1075.000000 85.825 -163.1887
1090.000000 85.924 -166.0952
1106.000000 86.025 -169.2051
1120.000000 86.112 -171.9349
1138.000000 86.224 -175.4210
1150.000000 86.296 -177.7183
1172.000000 86.420 178.0663
1180.000000 86.464 176.5310
1206.000000 86.605 171.5392
1220.000000 86.677 168.8743
1241.000000 86.783 164.9365
1250.000000 86.828 163.2555
1265.000000 86.900 160.4497
1280.000000 86.967 157.6475
1315.000000 87.112 151.2227
1320.000000 87.133 150.3194
1340.000000 87.215 146.7448
1360.000000 87.295 143.2574
1380.000000 87.378 139.8969
1400.000000 87.456 136.6900
1430.000000 87.565 132.0123
1450.000000 87.647 128.9838
1475.000000 87.761 125.2644
1500.000000 87.885 121.5490
1525.000000 88.017 117.7581
1550.000000 88.147 113.9616
1575.000000 88.268 110.1506
1600.000000 88.379 106.3160
1625.000000 88.475 102.5450
1650.000000 88.559 98.8580
1675.000000 88.642 95.2546
1700.000000 88.725 91.7028
1725.000000 88.804 88.1810
1750.000000 88.874 84.7227
1775.000000 88.935 81.3365
1800.000000 88.986 78.0482
1825.000000 89.031 74.8356
1850.000000 89.074 71.7106
1875.000000 89.107 68.7225
1900.000000 89.131 65.9958
1925.000000 89.156 63.6367
1950.000000 89.192 61.6308
1975.000000 89.248 59.9260
2000.000000 89.348 58.4620
2030.000000 89.552 56.9223
2060.000000 89.867 55.3077
2090.000000 90.277 53.2036
2120.000000 90.718 50.2795
2140.000000 90.991 47.9073
2180.000000 91.429 42.6603
2200.000000 91.598 39.9901
2240.000000 91.874 34.8197
2270.000000 92.053 31.0591
2300.000000 92.217 27.3256
2330.000000 92.359 23.5723
2360.000000 92.475 19.8260
2400.000000 92.579 14.9744
2430.000000 92.633 11.5175
2470.000000 92.689 7.1264
2500.000000 92.717 3.9538
2540.000000 92.739 -0.0924
2580.000000 92.748 -3.9435
2620.000000 92.744 -7.5583
2650.000000 92.737 -10.0378
2690.000000 92.730 -12.9793
2720.000000 92.729 -14.9661
2760.000000 92.728 -17.3576
2800.000000 92.747 -19.5306
2850.000000 92.804 -22.2451
2900.000000 92.871 -25.0388
2950.000000 92.927 -27.9272
3000.000000 92.946 -30.8162
3040.000000 92.932 -33.0067
3070.000000 92.908 -34.5422
3110.000000 92.868 -36.4214
3150.000000 92.823 -38.1220
3200.000000 92.762 -40.0688
3250.000000 92.698 -41.9142
3300.000000 92.627 -43.5552
3350.000000 92.542 -45.0143
3400.000000 92.446 -46.2591
3450.000000 92.347 -47.3248
3500.000000 92.241 -48.2006
3550.000000 92.135 -48.8798
3600.000000 92.026 -49.3799
3650.000000 91.919 -49.6378
3700.000000 91.817 -49.7067
3750.000000 91.721 -49.6138
3820.000000 91.595 -49.2787
3870.000000 91.507 -48.9193
3950.000000 91.365 -48.1025
4000.000000 91.272 -47.4716
4060.000000 91.155 -46.5669
4120.000000 91.031 -45.4297
4180.000000 90.904 -44.0652
4250.000000 90.749 -42.2132
4310.000000 90.613 -40.3725
4370.000000 90.480 -38.1929
4440.000000 90.340 -35.0153
4500.000000 90.229 -31.8464
4550.000000 90.140 -29.0370
4620.000000 90.026 -24.9430
4680.000000 89.936 -21.2782
4750.000000 89.838 -16.7809
4820.000000 89.740 -12.0936
4870.000000 89.674 -8.6333
4940.000000 89.590 -3.6238
5000.000000 89.523 0.8244
5080.000000 89.443 6.9996
5150.000000 89.381 12.6260
5220.000000 89.329 18.3790
5300.000000 89.277 25.0980
5380.000000 89.232 31.9832
5450.000000 89.198 38.1878
5520.000000 89.170 44.5426
5600.000000 89.145 51.9071
5700.000000 89.118 61.2761
5800.000000 89.091 70.8625
5900.000000 89.061 80.6355
