* Measurement data measured by REW V5.30
* Source: EXCL: Q5K Mic (Qudelix-5K USB DAC/MIC 48KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Feb 25, 2024 3:06:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sym Crimson (AET07) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 88.936 -153.8079
20.600000 88.961 -154.8059
20.900000 88.985 -155.8694
21.200001 89.008 -156.9205
21.400000 89.022 -157.6140
21.799999 89.051 -158.9907
22.000000 89.064 -159.6750
22.400000 89.089 -161.0318
22.700001 89.104 -162.0324
23.000000 89.116 -163.0117
23.299999 89.125 -163.9666
23.600000 89.132 -164.8983
24.000000 89.139 -166.1144
24.299999 89.144 -167.0162
24.700001 89.149 -168.2145
25.000000 89.150 -169.1096
25.400000 89.149 -170.2880
25.799999 89.144 -171.4348
26.200001 89.139 -172.5435
26.500000 89.136 -173.3553
26.900000 89.134 -174.4272
27.200001 89.133 -175.2322
27.600000 89.129 -176.3092
28.000000 89.119 -177.3770
28.500000 89.101 -178.6650
29.000000 89.080 -179.8806
29.500000 89.062 178.9555
30.000000 89.047 177.8004
30.400000 89.034 176.8656
30.700001 89.022 176.1601
31.100000 89.002 175.2239
31.500000 88.977 174.3058
32.000000 88.944 173.1967
32.500000 88.910 172.1342
33.000000 88.878 171.1130
33.500000 88.848 170.1204
34.000000 88.821 169.1380
34.500000 88.794 168.1500
35.000000 88.765 167.1541
35.500000 88.731 166.1638
36.000000 88.692 165.1990
36.500000 88.650 164.2758
37.000000 88.607 163.3993
37.500000 88.567 162.5598
38.200001 88.518 161.3963
38.700001 88.485 160.5363
39.500000 88.426 159.1161
40.000000 88.380 158.2534
40.599998 88.323 157.2909
41.200001 88.270 156.3931
41.799999 88.222 155.5121
42.500000 88.166 154.4732
43.099998 88.115 153.5885
43.700001 88.062 152.7275
44.400002 88.001 151.7561
45.000000 87.949 150.9451
45.500000 87.905 150.2787
46.200001 87.843 149.3469
46.799999 87.789 148.5392
47.500000 87.725 147.5959
48.200001 87.660 146.6859
48.700001 87.614 146.0681
49.400002 87.553 145.2324
50.000000 87.500 144.5211
50.799999 87.425 143.5793
51.500000 87.359 142.7770
52.200001 87.295 141.9888
53.000000 87.221 141.1053
53.799999 87.149 140.2633
54.500000 87.089 139.5481
55.200001 87.029 138.8408
56.000000 86.956 138.0723
57.000000 86.864 137.1538
58.000000 86.765 136.1949
59.000000 86.666 135.2256
60.000000 86.574 134.2591
60.799999 86.502 133.5157
61.500000 86.440 132.9122
62.200001 86.381 132.3295
63.000000 86.313 131.6648
64.000000 86.222 130.8563
65.000000 86.131 130.0576
66.000000 86.041 129.2375
67.000000 85.950 128.4426
68.000000 85.863 127.6826
69.000000 85.776 126.9346
70.000000 85.687 126.2105
71.000000 85.601 125.5062
72.000000 85.517 124.7973
73.000000 85.432 124.0853
74.000000 85.348 123.4036
75.000000 85.267 122.7534
76.199997 85.170 121.9800
77.500000 85.061 121.1584
78.800003 84.953 120.3875
80.000000 84.859 119.6946
81.199997 84.765 118.9963
82.500000 84.659 118.2556
83.800003 84.555 117.5329
85.000000 84.462 116.8764
86.199997 84.371 116.2431
87.500000 84.274 115.5639
88.500000 84.199 115.0388
90.000000 84.085 114.2800
91.199997 83.994 113.7097
92.500000 83.900 113.1054
93.800003 83.809 112.4985
95.000000 83.726 111.9409
96.199997 83.640 111.3912
97.500000 83.547 110.8110
98.800003 83.454 110.2590
100.000000 83.371 109.7693
101.500000 83.270 109.1609
103.000000 83.169 108.5632
104.400002 83.077 108.0211
106.000000 82.974 107.4001
107.500000 82.878 106.8258
109.000000 82.787 106.2753
110.599998 82.690 105.6978
112.000000 82.604 105.1965
113.800003 82.492 104.5811
115.000000 82.420 104.1823
117.199997 82.291 103.4692
118.000000 82.244 103.2148
120.599998 82.095 102.4064
122.000000 82.016 101.9847
124.099998 81.899 101.3643
125.000000 81.850 101.1031
126.500000 81.769 100.6754
128.000000 81.690 100.2554
131.500000 81.510 99.3292
132.000000 81.484 99.2053
134.000000 81.379 98.7261
136.000000 81.274 98.2687
138.000000 81.176 97.7803
140.000000 81.092 97.2842
143.000000 80.967 96.6173
145.000000 80.877 96.1171
147.500000 80.765 95.4498
150.000000 80.659 94.9176
152.500000 80.550 94.4434
155.000000 80.444 93.9833
157.500000 80.343 93.5723
160.000000 80.250 93.2210
162.500000 80.176 92.9089
165.000000 80.120 92.5619
167.500000 80.072 92.0965
170.000000 80.012 91.4994
172.500000 79.941 90.8389
175.000000 79.862 90.2349
177.500000 79.784 89.7040
180.000000 79.706 89.2288
182.500000 79.628 88.7668
185.000000 79.552 88.3010
187.500000 79.481 87.8673
190.000000 79.412 87.4618
192.500000 79.344 87.0563
195.000000 79.282 86.6529
197.500000 79.224 86.2606
200.000000 79.169 85.8741
203.000000 79.106 85.3943
206.000000 79.043 84.9092
209.000000 78.983 84.4296
212.000000 78.924 83.9580
214.000000 78.885 83.6451
218.000000 78.806 83.0329
220.000000 78.768 82.7409
224.000000 78.697 82.1701
227.000000 78.644 81.7613
230.000000 78.593 81.3663
233.000000 78.547 80.9899
236.000000 78.505 80.6348
240.000000 78.465 80.1814
243.000000 78.443 79.7834
247.000000 78.413 79.1510
250.000000 78.386 78.6837
254.000000 78.348 78.0821
258.000000 78.313 77.4732
262.000000 78.281 76.8896
265.000000 78.258 76.4614
269.000000 78.231 75.8810
272.000000 78.211 75.4431
276.000000 78.182 74.8566
280.000000 78.154 74.2739
285.000000 78.124 73.5580
290.000000 78.102 72.8524
295.000000 78.083 72.1313
300.000000 78.065 71.4224
304.000000 78.053 70.8485
307.000000 78.045 70.4129
311.000000 78.036 69.8290
315.000000 78.029 69.2453
320.000000 78.021 68.5140
325.000000 78.016 67.7754
330.000000 78.011 67.0164
335.000000 78.008 66.2740
340.000000 78.007 65.5415
345.000000 78.007 64.7919
350.000000 78.008 64.0397
355.000000 78.009 63.3034
360.000000 78.012 62.5620
365.000000 78.015 61.8217
370.000000 78.018 61.0898
375.000000 78.023 60.3558
382.000000 78.033 59.3400
387.000000 78.045 58.6183
395.000000 78.074 57.4448
400.000000 78.095 56.6515
406.000000 78.113 55.6459
412.000000 78.121 54.6468
418.000000 78.126 53.7117
425.000000 78.132 52.6940
431.000000 78.142 51.8534
437.000000 78.162 51.0284
444.000000 78.196 50.0406
450.000000 78.232 49.1405
455.000000 78.263 48.3351
462.000000 78.300 47.1300
468.000000 78.322 46.0678
475.000000 78.338 44.8553
482.000000 78.351 43.6723
487.000000 78.359 42.8316
494.000000 78.365 41.6584
500.000000 78.368 40.6635
508.000000 78.367 39.3637
515.000000 78.363 38.2531
522.000000 78.358 37.1676
530.000000 78.353 35.9616
538.000000 78.345 34.7777
545.000000 78.339 33.7626
552.000000 78.333 32.7705
560.000000 78.325 31.6473
570.000000 78.311 30.2803
580.000000 78.296 28.9535
590.000000 78.280 27.6544
600.000000 78.263 26.4003
608.000000 78.250 25.4237
615.000000 78.237 24.5880
622.000000 78.224 23.7722
630.000000 78.210 22.8564
640.000000 78.192 21.7379
650.000000 78.173 20.6559
660.000000 78.154 19.6141
670.000000 78.137 18.6008
680.000000 78.120 17.6133
690.000000 78.104 16.6598
700.000000 78.088 15.7477
710.000000 78.074 14.8715
720.000000 78.061 14.0215
730.000000 78.049 13.1945
740.000000 78.038 12.4004
750.000000 78.030 11.6407
762.000000 78.023 10.7656
775.000000 78.018 9.8599
788.000000 78.018 8.9969
800.000000 78.021 8.2371
812.000000 78.029 7.5096
825.000000 78.044 6.7516
838.000000 78.064 6.0199
850.000000 78.087 5.3561
862.000000 78.114 4.7007
875.000000 78.148 4.0070
885.000000 78.178 3.4863
900.000000 78.230 2.7173
912.000000 78.278 2.1161
925.000000 78.334 1.4574
938.000000 78.393 0.7899
950.000000 78.452 0.1697
962.000000 78.515 -0.4463
975.000000 78.587 -1.1200
988.000000 78.661 -1.8088
1000.000000 78.733 -2.4528
1015.000000 78.825 -3.2678
1030.000000 78.921 -4.1097
1044.000000 79.013 -4.9222
1060.000000 79.118 -5.8734
1075.000000 79.217 -6.7818
1090.000000 79.315 -7.7079
1106.000000 79.419 -8.7126
1120.000000 79.509 -9.6069
1138.000000 79.623 -10.7798
1150.000000 79.698 -11.5707
1172.000000 79.831 -13.0337
1180.000000 79.878 -13.5698
1206.000000 80.026 -15.3230
1220.000000 80.102 -16.2607
1241.000000 80.212 -17.6600
1250.000000 80.258 -18.2561
1265.000000 80.334 -19.2397
1280.000000 80.408 -20.2104
1315.000000 80.574 -22.4208
1320.000000 80.597 -22.7296
1340.000000 80.688 -23.9521
1360.000000 80.778 -25.1541
1380.000000 80.866 -26.3354
1400.000000 80.954 -27.4953
1430.000000 81.085 -29.1898
1450.000000 81.172 -30.2958
1475.000000 81.280 -31.6572
1500.000000 81.391 -32.9941
1525.000000 81.504 -34.3105
1550.000000 81.619 -35.6100
1575.000000 81.737 -36.8975
1600.000000 81.856 -38.1788
1625.000000 81.977 -39.4566
1650.000000 82.101 -40.7359
1675.000000 82.226 -42.0107
1700.000000 82.352 -43.2878
1725.000000 82.479 -44.5652
1750.000000 82.609 -45.8482
1775.000000 82.741 -47.1425
1800.000000 82.874 -48.4447
1825.000000 83.008 -49.7548
1850.000000 83.144 -51.0778
1875.000000 83.280 -52.4154
1900.000000 83.416 -53.7794
1925.000000 83.553 -55.1749
1950.000000 83.689 -56.6010
1975.000000 83.825 -58.0569
2000.000000 83.960 -59.5373
2030.000000 84.119 -61.3442
2060.000000 84.277 -63.1863
2090.000000 84.432 -65.0647
2120.000000 84.584 -66.9839
2140.000000 84.682 -68.2886
2180.000000 84.869 -70.9568
2200.000000 84.958 -72.3164
2240.000000 85.125 -75.0757
2270.000000 85.240 -77.1761
2300.000000 85.346 -79.2991
2330.000000 85.442 -81.4380
2360.000000 85.528 -83.5866
2400.000000 85.627 -86.4537
2430.000000 85.689 -88.5979
2470.000000 85.756 -91.4370
2500.000000 85.793 -93.5424
2540.000000 85.829 -96.3070
2580.000000 85.848 -99.0144
2620.000000 85.854 -101.6562
2650.000000 85.849 -103.5878
2690.000000 85.833 -106.0923
2720.000000 85.815 -107.9156
2760.000000 85.784 -110.2765
2800.000000 85.746 -112.5569
2850.000000 85.693 -115.2954
2900.000000 85.636 -117.9165
2950.000000 85.577 -120.4293
3000.000000 85.518 -122.8467
3040.000000 85.472 -124.7206
3070.000000 85.438 -126.0959
3110.000000 85.395 -127.8976
3150.000000 85.353 -129.6698
3200.000000 85.302 -131.8506
3250.000000 85.251 -134.0035
3300.000000 85.202 -136.1404
3350.000000 85.154 -138.2820
3400.000000 85.106 -140.4484
3450.000000 85.052 -142.6805
3500.000000 84.983 -144.9701
3550.000000 84.894 -147.2767
3600.000000 84.784 -149.5829
3650.000000 84.649 -151.8651
3700.000000 84.487 -154.0955
3750.000000 84.295 -156.2406
3820.000000 83.973 -159.0238
3870.000000 83.707 -160.7960
3950.000000 83.219 -163.1004
4000.000000 82.882 -164.1064
4060.000000 82.458 -164.7679
4120.000000 82.034 -164.7403
4180.000000 81.636 -163.9589
4250.000000 81.258 -162.0813
4310.000000 81.054 -159.7535
4370.000000 81.002 -157.0121
4440.000000 81.162 -153.7798
4500.000000 81.484 -151.4625
4550.000000 81.856 -150.1431
4620.000000 82.474 -149.5247
4680.000000 83.024 -150.2209
4750.000000 83.613 -152.3481
4820.000000 84.077 -155.5717
4870.000000 84.309 -158.3032
4940.000000 84.488 -162.3749
5000.000000 84.512 -165.8089
5080.000000 84.395 -169.9468
5150.000000 84.196 -172.9711
5220.000000 83.944 -175.3740
5300.000000 83.633 -177.3856
5380.000000 83.331 -178.7147
5450.000000 83.091 -179.4280
5520.000000 82.886 -179.8179
5600.000000 82.699 -179.9737
5700.000000 82.540 -179.8973
5800.000000 82.468 -179.6896
5900.000000 82.476 -179.5023
6000.000000 82.561 -179.4743
