* Measurement data measured by REW V5.30
* Source: EXCL: Q5K Mic (Qudelix-5K USB DAC/MIC 48KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Feb 25, 2024 3:07:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sym Crimson (AET07) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 89.115 -156.4824
20.600000 89.137 -157.4604
20.900000 89.159 -158.5103
21.200001 89.178 -159.5556
21.400000 89.190 -160.2476
21.799999 89.213 -161.6185
22.000000 89.224 -162.2952
22.400000 89.245 -163.6241
22.700001 89.259 -164.5953
23.000000 89.270 -165.5443
23.299999 89.280 -166.4736
23.600000 89.287 -167.3879
24.000000 89.293 -168.5909
24.299999 89.295 -169.4844
24.700001 89.296 -170.6651
25.000000 89.295 -171.5414
25.400000 89.293 -172.6947
25.799999 89.290 -173.8282
26.200001 89.285 -174.9398
26.500000 89.281 -175.7579
26.900000 89.273 -176.8259
27.200001 89.265 -177.6096
27.600000 89.254 -178.6329
28.000000 89.242 -179.6356
28.500000 89.228 179.1312
29.000000 89.212 177.9136
29.500000 89.194 176.7128
30.000000 89.173 175.5356
30.400000 89.153 174.6147
30.700001 89.137 173.9362
31.100000 89.116 173.0457
31.500000 89.094 172.1687
32.000000 89.067 171.0887
32.500000 89.039 170.0282
33.000000 89.010 168.9918
33.500000 88.979 167.9832
34.000000 88.947 167.0014
34.500000 88.914 166.0405
35.000000 88.880 165.0932
35.500000 88.845 164.1549
36.000000 88.810 163.2260
36.500000 88.774 162.3108
37.000000 88.737 161.4139
37.500000 88.698 160.5374
38.200001 88.643 159.3419
38.700001 88.602 158.5063
39.500000 88.535 157.1955
40.000000 88.494 156.3904
40.599998 88.445 155.4380
41.200001 88.396 154.5023
41.799999 88.346 153.5867
42.500000 88.287 152.5467
43.099998 88.235 151.6786
43.700001 88.183 150.8321
44.400002 88.121 149.8684
45.000000 88.069 149.0527
45.500000 88.024 148.3747
46.200001 87.960 147.4350
46.799999 87.905 146.6503
47.500000 87.843 145.7563
48.200001 87.783 144.8679
48.700001 87.739 144.2378
49.400002 87.673 143.3787
50.000000 87.617 142.6690
50.799999 87.544 141.7432
51.500000 87.480 140.9418
52.200001 87.416 140.1548
53.000000 87.342 139.2761
53.799999 87.269 138.4115
54.500000 87.205 137.6663
55.200001 87.139 136.9383
56.000000 87.063 136.1318
57.000000 86.971 135.1526
58.000000 86.883 134.1897
59.000000 86.795 133.2524
60.000000 86.706 132.3402
60.799999 86.632 131.6189
61.500000 86.568 130.9938
62.200001 86.506 130.3749
63.000000 86.437 129.6759
64.000000 86.347 128.8250
65.000000 86.256 128.0025
66.000000 86.169 127.1932
67.000000 86.084 126.3987
68.000000 85.998 125.6355
69.000000 85.911 124.8953
70.000000 85.824 124.1650
71.000000 85.739 123.4497
72.000000 85.654 122.7536
73.000000 85.568 122.0698
74.000000 85.483 121.3918
75.000000 85.401 120.7188
76.199997 85.303 119.9243
77.500000 85.197 119.0898
78.800003 85.091 118.2835
80.000000 84.996 117.5554
81.199997 84.901 116.8427
82.500000 84.799 116.0916
83.800003 84.698 115.3611
85.000000 84.606 114.7084
86.199997 84.515 114.0685
87.500000 84.416 113.3848
88.500000 84.342 112.8653
90.000000 84.231 112.1024
91.199997 84.143 111.5008
92.500000 84.048 110.8712
93.800003 83.954 110.2562
95.000000 83.869 109.6937
96.199997 83.786 109.1402
97.500000 83.696 108.5534
98.800003 83.607 107.9775
100.000000 83.525 107.4601
101.500000 83.423 106.8304
103.000000 83.324 106.2183
104.400002 83.235 105.6698
106.000000 83.130 105.0443
107.500000 83.032 104.4641
109.000000 82.938 103.9028
110.599998 82.840 103.3237
112.000000 82.756 102.8206
113.800003 82.648 102.1725
115.000000 82.576 101.7513
117.199997 82.446 101.0211
118.000000 82.399 100.7647
120.599998 82.251 99.9259
122.000000 82.171 99.4850
124.099998 82.055 98.8537
125.000000 82.007 98.5943
126.500000 81.926 98.1790
128.000000 81.846 97.7790
131.500000 81.661 96.8842
132.000000 81.635 96.7676
134.000000 81.539 96.3203
136.000000 81.453 95.8933
138.000000 81.378 95.4584
140.000000 81.304 94.9407
143.000000 81.188 94.1655
145.000000 81.115 93.7129
147.500000 81.034 93.1185
150.000000 80.956 92.3678
152.500000 80.861 91.5950
155.000000 80.753 90.9063
157.500000 80.646 90.3198
160.000000 80.547 89.7942
162.500000 80.456 89.2773
165.000000 80.371 88.7488
167.500000 80.291 88.2213
170.000000 80.212 87.6868
172.500000 80.132 87.1524
175.000000 80.055 86.6360
177.500000 79.981 86.1384
180.000000 79.908 85.6589
182.500000 79.836 85.1882
185.000000 79.767 84.7180
187.500000 79.701 84.2502
190.000000 79.638 83.7910
192.500000 79.576 83.3318
195.000000 79.517 82.8763
197.500000 79.459 82.4252
200.000000 79.401 81.9771
203.000000 79.334 81.4492
206.000000 79.269 80.9260
209.000000 79.208 80.4055
212.000000 79.149 79.9023
214.000000 79.110 79.5748
218.000000 79.036 78.9362
220.000000 79.001 78.6177
224.000000 78.934 77.9877
227.000000 78.885 77.5244
230.000000 78.840 77.0818
233.000000 78.800 76.6499
236.000000 78.766 76.2116
240.000000 78.722 75.5968
243.000000 78.689 75.1088
247.000000 78.647 74.4384
250.000000 78.618 73.9857
254.000000 78.582 73.3963
258.000000 78.548 72.7863
262.000000 78.516 72.1599
265.000000 78.494 71.6957
269.000000 78.472 71.0735
272.000000 78.458 70.5887
276.000000 78.439 69.9339
280.000000 78.420 69.2989
285.000000 78.399 68.4979
290.000000 78.378 67.7002
295.000000 78.358 66.8960
300.000000 78.343 66.0847
304.000000 78.332 65.4421
307.000000 78.326 64.9668
311.000000 78.318 64.3277
315.000000 78.311 63.6759
320.000000 78.306 62.8509
325.000000 78.304 62.0246
330.000000 78.304 61.2062
335.000000 78.304 60.3716
340.000000 78.304 59.5360
345.000000 78.306 58.7110
350.000000 78.310 57.8795
355.000000 78.315 57.0380
360.000000 78.321 56.1992
365.000000 78.328 55.3512
370.000000 78.335 54.4898
375.000000 78.341 53.6391
382.000000 78.351 52.4670
387.000000 78.361 51.6208
395.000000 78.379 50.2445
400.000000 78.390 49.3813
406.000000 78.402 48.3527
412.000000 78.415 47.3218
418.000000 78.430 46.2947
425.000000 78.445 45.0963
431.000000 78.458 44.0612
437.000000 78.470 43.0161
444.000000 78.483 41.7993
450.000000 78.494 40.7659
455.000000 78.502 39.9047
462.000000 78.512 38.7075
468.000000 78.520 37.6880
475.000000 78.528 36.4961
482.000000 78.536 35.3130
487.000000 78.540 34.4703
494.000000 78.546 33.3046
500.000000 78.551 32.3148
508.000000 78.556 30.9974
515.000000 78.561 29.8526
522.000000 78.566 28.7189
530.000000 78.570 27.4373
538.000000 78.572 26.1681
545.000000 78.573 25.0691
552.000000 78.572 23.9826
560.000000 78.572 22.7427
570.000000 78.569 21.2076
580.000000 78.562 19.7001
590.000000 78.552 18.2125
600.000000 78.538 16.7688
608.000000 78.526 15.6642
615.000000 78.517 14.7123
622.000000 78.507 13.7654
630.000000 78.495 12.6970
640.000000 78.478 11.3987
650.000000 78.460 10.1436
660.000000 78.442 8.9144
670.000000 78.424 7.7219
680.000000 78.407 6.5673
690.000000 78.390 5.4553
700.000000 78.374 4.3778
710.000000 78.358 3.3275
720.000000 78.343 2.3127
730.000000 78.329 1.3395
740.000000 78.317 0.4044
750.000000 78.307 -0.4944
762.000000 78.298 -1.5321
775.000000 78.292 -2.6109
788.000000 78.291 -3.6478
800.000000 78.293 -4.5670
812.000000 78.301 -5.4552
825.000000 78.313 -6.3856
838.000000 78.332 -7.2723
850.000000 78.353 -8.0683
862.000000 78.379 -8.8542
875.000000 78.412 -9.6861
885.000000 78.442 -10.3133
900.000000 78.494 -11.2413
912.000000 78.540 -11.9731
925.000000 78.595 -12.7595
938.000000 78.655 -13.5552
950.000000 78.714 -14.2868
962.000000 78.776 -15.0195
975.000000 78.847 -15.8251
988.000000 78.922 -16.6395
1000.000000 78.994 -17.3903
1015.000000 79.087 -18.3381
1030.000000 79.182 -19.3143
1044.000000 79.272 -20.2443
1060.000000 79.378 -21.3291
1075.000000 79.478 -22.3635
1090.000000 79.578 -23.4159
1106.000000 79.684 -24.5593
1120.000000 79.777 -25.5734
1138.000000 79.894 -26.9000
1150.000000 79.971 -27.7975
1172.000000 80.107 -29.4502
1180.000000 80.156 -30.0526
1206.000000 80.309 -32.0162
1220.000000 80.388 -33.0706
1241.000000 80.503 -34.6507
1250.000000 80.551 -35.3230
1265.000000 80.630 -36.4362
1280.000000 80.707 -37.5411
1315.000000 80.880 -40.0732
1320.000000 80.905 -40.4296
1340.000000 81.001 -41.8425
1360.000000 81.095 -43.2349
1380.000000 81.189 -44.6045
1400.000000 81.282 -45.9482
1430.000000 81.421 -47.9319
1450.000000 81.514 -49.2324
1475.000000 81.631 -50.8303
1500.000000 81.749 -52.4082
1525.000000 81.869 -53.9725
1550.000000 81.991 -55.5223
1575.000000 82.114 -57.0578
1600.000000 82.241 -58.5808
1625.000000 82.370 -60.0990
1650.000000 82.502 -61.6179
1675.000000 82.635 -63.1392
1700.000000 82.770 -64.6688
1725.000000 82.905 -66.2061
1750.000000 83.042 -67.7458
1775.000000 83.180 -69.2896
1800.000000 83.319 -70.8491
1825.000000 83.459 -72.4252
1850.000000 83.599 -74.0160
1875.000000 83.740 -75.6246
1900.000000 83.879 -77.2534
1925.000000 84.018 -78.9003
1950.000000 84.157 -80.5708
1975.000000 84.295 -82.2694
2000.000000 84.431 -83.9956
2030.000000 84.592 -86.1110
2060.000000 84.747 -88.2676
2090.000000 84.897 -90.4607
2120.000000 85.041 -92.6860
2140.000000 85.132 -94.1847
2180.000000 85.306 -97.2194
2200.000000 85.387 -98.7521
2240.000000 85.537 -101.8429
2270.000000 85.639 -104.1781
2300.000000 85.731 -106.5208
2330.000000 85.812 -108.8669
2360.000000 85.882 -111.2057
2400.000000 85.960 -114.3002
2430.000000 86.006 -116.5975
2470.000000 86.053 -119.6183
2500.000000 86.078 -121.8481
2540.000000 86.098 -124.7648
2580.000000 86.104 -127.6138
2620.000000 86.098 -130.3868
2650.000000 86.088 -132.4116
2690.000000 86.067 -135.0350
2720.000000 86.047 -136.9453
2760.000000 86.015 -139.4179
2800.000000 85.980 -141.8052
2850.000000 85.935 -144.6766
2900.000000 85.889 -147.4318
2950.000000 85.844 -150.0849
3000.000000 85.804 -152.6525
3040.000000 85.775 -154.6555
3070.000000 85.757 -156.1309
3110.000000 85.736 -158.0695
3150.000000 85.722 -159.9921
3200.000000 85.714 -162.4107
3250.000000 85.714 -164.8954
3300.000000 85.715 -167.4968
3350.000000 85.707 -170.2370
3400.000000 85.680 -173.0994
3450.000000 85.626 -176.0483
3500.000000 85.540 -179.0508
3550.000000 85.418 177.9357
3600.000000 85.259 174.9564
3650.000000 85.060 172.0486
3700.000000 84.818 169.2582
3750.000000 84.533 166.6402
3820.000000 84.064 163.3793
3870.000000 83.683 161.4333
3950.000000 83.012 159.1772
4000.000000 82.568 158.4017
4060.000000 82.033 158.2037
4120.000000 81.524 158.8608
4180.000000 81.077 160.3875
4250.000000 80.692 163.1631
4310.000000 80.525 166.1691
4370.000000 80.542 169.4081
4440.000000 80.802 172.9213
4500.000000 81.209 175.2236
4550.000000 81.644 176.3787
4620.000000 82.329 176.5898
4680.000000 82.915 175.4241
4750.000000 83.513 172.6617
4820.000000 83.948 168.7825
4870.000000 84.137 165.6303
4940.000000 84.227 161.1107
5000.000000 84.161 157.4600
5080.000000 83.920 153.2784
5150.000000 83.618 150.4089
5220.000000 83.277 148.2816
5300.000000 82.881 146.6688
5380.000000 82.509 145.7785
5450.000000 82.217 145.4658
5520.000000 81.963 145.4871
5600.000000 81.725 145.8240
5700.000000 81.507 146.5707
5800.000000 81.380 147.5288
5900.000000 81.346 148.5504
6000.000000 81.405 149.4534
6080.000000 81.515 149.9567
6150.000000 81.648 150.1447
