* Measurement data measured by REW V5.30
* Source: EXCL: Q5K Mic (Qudelix-5K USB DAC/MIC 48KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 25, 2024 2:49:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sym Meteor (AET07) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 87.112 -170.7733
20.600000 87.128 -171.4563
20.900000 87.145 -172.1946
21.200001 87.161 -172.9394
21.400000 87.172 -173.4393
21.799999 87.193 -174.4434
22.000000 87.203 -174.9431
22.400000 87.222 -175.9244
22.700001 87.235 -176.6372
23.000000 87.247 -177.3295
23.299999 87.259 -178.0058
23.600000 87.270 -178.6727
24.000000 87.282 -179.5552
24.299999 87.288 179.7864
24.700001 87.295 178.9154
25.000000 87.300 178.2680
25.400000 87.307 177.4090
25.799999 87.318 176.5458
26.200001 87.329 175.6719
26.500000 87.337 175.0121
26.900000 87.346 174.1393
27.200001 87.350 173.5008
27.600000 87.354 172.6833
28.000000 87.358 171.9064
28.500000 87.366 170.9730
29.000000 87.374 170.0466
29.500000 87.381 169.1045
30.000000 87.382 168.1534
30.400000 87.379 167.4022
30.700001 87.376 166.8514
31.100000 87.372 166.1358
31.500000 87.370 165.4368
32.000000 87.370 164.5746
32.500000 87.370 163.7177
33.000000 87.367 162.8697
33.500000 87.363 162.0344
34.000000 87.359 161.2054
34.500000 87.358 160.3697
35.000000 87.356 159.5236
35.500000 87.351 158.6793
36.000000 87.343 157.8541
36.500000 87.333 157.0542
37.000000 87.324 156.2716
37.500000 87.316 155.4956
38.200001 87.305 154.4142
38.700001 87.297 153.6472
39.500000 87.282 152.4324
40.000000 87.270 151.6844
40.599998 87.254 150.8002
41.200001 87.240 149.9207
41.799999 87.228 149.0383
42.500000 87.211 148.0251
43.099998 87.194 147.1920
43.700001 87.175 146.3799
44.400002 87.152 145.4255
45.000000 87.132 144.5961
45.500000 87.117 143.9062
46.200001 87.102 142.9509
46.799999 87.092 142.1437
47.500000 87.078 141.2142
48.200001 87.057 140.2862
48.700001 87.037 139.6212
49.400002 87.001 138.7018
50.000000 86.971 137.9342
50.799999 86.938 136.9198
51.500000 86.913 136.0254
52.200001 86.888 135.1404
53.000000 86.859 134.1581
53.799999 86.827 133.2012
54.500000 86.797 132.3751
55.200001 86.768 131.5441
56.000000 86.737 130.5822
57.000000 86.699 129.4002
58.000000 86.660 128.2720
59.000000 86.619 127.1558
60.000000 86.574 126.0123
60.799999 86.537 125.0909
61.500000 86.506 124.2921
62.200001 86.474 123.5022
63.000000 86.438 122.6150
64.000000 86.392 121.5291
65.000000 86.347 120.4561
66.000000 86.302 119.4065
67.000000 86.256 118.3757
68.000000 86.209 117.3445
69.000000 86.162 116.3181
70.000000 86.114 115.2960
71.000000 86.064 114.2867
72.000000 86.013 113.2975
73.000000 85.961 112.3098
74.000000 85.910 111.3206
75.000000 85.859 110.3440
76.199997 85.801 109.1911
77.500000 85.736 107.9714
78.800003 85.669 106.7654
80.000000 85.607 105.6569
81.199997 85.545 104.5595
82.500000 85.478 103.3945
83.800003 85.411 102.2453
85.000000 85.350 101.1882
86.199997 85.287 100.1414
87.500000 85.218 99.0192
88.500000 85.165 98.1676
90.000000 85.085 96.9095
91.199997 85.021 95.9164
92.500000 84.951 94.8467
93.800003 84.881 93.7787
95.000000 84.817 92.8054
96.199997 84.754 91.8435
97.500000 84.685 90.8222
98.800003 84.616 89.8256
100.000000 84.551 88.9143
101.500000 84.472 87.7844
103.000000 84.392 86.6795
104.400002 84.317 85.6559
106.000000 84.231 84.4858
107.500000 84.151 83.4033
109.000000 84.072 82.3448
110.599998 83.988 81.2187
112.000000 83.914 80.2408
113.800003 83.820 79.0080
115.000000 83.757 78.1969
117.199997 83.640 76.7475
118.000000 83.597 76.2289
120.599998 83.460 74.5491
122.000000 83.387 73.6637
124.099998 83.278 72.3604
125.000000 83.231 71.8069
126.500000 83.154 70.8885
128.000000 83.077 69.9844
131.500000 82.896 67.9178
132.000000 82.870 67.6277
134.000000 82.769 66.4925
136.000000 82.670 65.3717
138.000000 82.570 64.2500
140.000000 82.468 63.1611
143.000000 82.320 61.5847
145.000000 82.222 60.5352
147.500000 82.096 59.2662
150.000000 81.966 58.0635
152.500000 81.842 56.9299
155.000000 81.732 55.8383
157.500000 81.630 54.7260
160.000000 81.528 53.6044
162.500000 81.431 52.4796
165.000000 81.338 51.3593
167.500000 81.239 50.2261
170.000000 81.134 49.1066
172.500000 81.033 48.0078
175.000000 80.931 46.9547
177.500000 80.826 45.9381
180.000000 80.727 44.9728
182.500000 80.629 44.0307
185.000000 80.529 43.0972
187.500000 80.428 42.1833
190.000000 80.330 41.2510
192.500000 80.236 40.3444
195.000000 80.145 39.4766
197.500000 80.059 38.6230
200.000000 79.977 37.7792
203.000000 79.879 36.7243
206.000000 79.772 35.6884
209.000000 79.673 34.7791
212.000000 79.577 33.8903
214.000000 79.513 33.3060
218.000000 79.388 32.1288
220.000000 79.325 31.5444
224.000000 79.204 30.4262
227.000000 79.116 29.6077
230.000000 79.032 28.8002
233.000000 78.953 28.0094
236.000000 78.880 27.2049
240.000000 78.787 26.1342
243.000000 78.715 25.3953
247.000000 78.609 24.4507
250.000000 78.535 23.7336
254.000000 78.444 22.8190
258.000000 78.357 21.9353
262.000000 78.276 21.0680
265.000000 78.217 20.4102
269.000000 78.140 19.5338
272.000000 78.085 18.8852
276.000000 78.012 18.0458
280.000000 77.939 17.2268
285.000000 77.855 16.2401
290.000000 77.774 15.2864
295.000000 77.698 14.3265
300.000000 77.628 13.3965
304.000000 77.576 12.6678
307.000000 77.542 12.1216
311.000000 77.495 11.3936
315.000000 77.448 10.6792
320.000000 77.393 9.8119
325.000000 77.344 8.9280
330.000000 77.297 8.0518
335.000000 77.248 7.2162
340.000000 77.200 6.4003
345.000000 77.155 5.5822
350.000000 77.110 4.7617
355.000000 77.070 3.9653
360.000000 77.033 3.1987
365.000000 76.996 2.4182
370.000000 76.965 1.6201
375.000000 76.937 0.8669
382.000000 76.899 -0.1565
387.000000 76.871 -0.9024
395.000000 76.828 -2.0897
400.000000 76.809 -2.8156
406.000000 76.788 -3.6793
412.000000 76.766 -4.5521
418.000000 76.744 -5.4127
425.000000 76.715 -6.3936
431.000000 76.691 -7.2440
437.000000 76.671 -8.0867
444.000000 76.648 -9.0605
450.000000 76.629 -9.8835
455.000000 76.613 -10.5568
462.000000 76.592 -11.4852
468.000000 76.576 -12.2769
475.000000 76.557 -13.1959
482.000000 76.538 -14.1036
487.000000 76.525 -14.7422
494.000000 76.508 -15.6267
500.000000 76.494 -16.3768
508.000000 76.477 -17.3743
515.000000 76.463 -18.2422
522.000000 76.449 -19.1096
530.000000 76.434 -20.0962
538.000000 76.418 -21.0676
545.000000 76.402 -21.9113
552.000000 76.386 -22.7629
560.000000 76.368 -23.7420
570.000000 76.342 -24.9620
580.000000 76.307 -26.1728
590.000000 76.259 -27.3393
600.000000 76.204 -28.3966
608.000000 76.164 -29.1581
615.000000 76.135 -29.7815
622.000000 76.111 -30.3901
630.000000 76.085 -31.0912
640.000000 76.054 -31.9552
650.000000 76.024 -32.7733
660.000000 75.998 -33.5691
670.000000 75.977 -34.3587
680.000000 75.956 -35.1434
690.000000 75.936 -35.9179
700.000000 75.917 -36.6654
710.000000 75.900 -37.3931
720.000000 75.884 -38.1005
730.000000 75.869 -38.7913
740.000000 75.854 -39.4609
750.000000 75.842 -40.1086
762.000000 75.831 -40.8676
775.000000 75.822 -41.6626
788.000000 75.815 -42.4299
800.000000 75.812 -43.1118
812.000000 75.812 -43.7738
825.000000 75.816 -44.4714
838.000000 75.822 -45.1516
850.000000 75.832 -45.7664
862.000000 75.847 -46.3639
875.000000 75.867 -47.0004
885.000000 75.887 -47.4866
900.000000 75.921 -48.2023
912.000000 75.952 -48.7728
925.000000 75.990 -49.3961
938.000000 76.032 -50.0251
950.000000 76.076 -50.6080
962.000000 76.122 -51.2007
975.000000 76.174 -51.8536
988.000000 76.229 -52.5160
1000.000000 76.283 -53.1433
1015.000000 76.352 -53.9604
1030.000000 76.421 -54.7946
1044.000000 76.488 -55.5911
1060.000000 76.565 -56.5300
1075.000000 76.635 -57.4467
1090.000000 76.702 -58.3855
1106.000000 76.773 -59.4146
1120.000000 76.831 -60.3318
1138.000000 76.903 -61.5153
1150.000000 76.948 -62.3083
1172.000000 77.026 -63.7727
1180.000000 77.054 -64.3077
1206.000000 77.137 -66.0493
1220.000000 77.178 -66.9796
1241.000000 77.234 -68.3649
1250.000000 77.256 -68.9565
1265.000000 77.289 -69.9366
1280.000000 77.319 -70.9065
1315.000000 77.378 -73.1056
1320.000000 77.386 -73.4095
1340.000000 77.417 -74.6094
1360.000000 77.445 -75.7753
1380.000000 77.473 -76.9174
1400.000000 77.499 -78.0389
1430.000000 77.537 -79.6638
1450.000000 77.563 -80.7018
1475.000000 77.596 -81.9498
1500.000000 77.630 -83.1674
1525.000000 77.666 -84.3643
1550.000000 77.704 -85.5295
1575.000000 77.745 -86.6648
1600.000000 77.792 -87.7725
1625.000000 77.841 -88.8563
1650.000000 77.894 -89.9180
1675.000000 77.950 -90.9620
1700.000000 78.011 -91.9901
1725.000000 78.077 -93.0090
1750.000000 78.149 -94.0222
1775.000000 78.225 -95.0353
1800.000000 78.305 -96.0470
1825.000000 78.390 -97.0598
1850.000000 78.479 -98.0756
1875.000000 78.573 -99.0928
1900.000000 78.672 -100.1199
1925.000000 78.775 -101.1609
1950.000000 78.882 -102.2147
1975.000000 78.994 -103.2854
2000.000000 79.111 -104.3718
2030.000000 79.254 -105.6971
2060.000000 79.403 -107.0625
2090.000000 79.557 -108.4707
2120.000000 79.716 -109.9219
2140.000000 79.824 -110.9144
2180.000000 80.045 -112.9734
2200.000000 80.157 -114.0443
2240.000000 80.385 -116.2633
2270.000000 80.559 -117.9978
2300.000000 80.734 -119.7968
2330.000000 80.910 -121.6606
2360.000000 81.085 -123.5941
2400.000000 81.311 -126.2998
2430.000000 81.474 -128.4226
2470.000000 81.682 -131.3733
2500.000000 81.829 -133.6709
2540.000000 82.012 -136.8505
2580.000000 82.178 -140.1613
2620.000000 82.322 -143.5928
2650.000000 82.413 -146.2337
2690.000000 82.509 -149.8187
2720.000000 82.563 -152.5415
2760.000000 82.609 -156.1974
2800.000000 82.625 -159.8585
2850.000000 82.607 -164.4051
2900.000000 82.549 -168.8830
2950.000000 82.454 -173.2612
3000.000000 82.328 -177.5211
3040.000000 82.205 179.1694
3070.000000 82.103 176.7405
3110.000000 81.952 173.5754
3150.000000 81.784 170.5153
3200.000000 81.553 166.8657
3250.000000 81.302 163.4503
3300.000000 81.039 160.3143
3350.000000 80.777 157.4721
3400.000000 80.531 154.8987
3450.000000 80.312 152.5291
3500.000000 80.125 150.2789
3550.000000 79.973 148.0830
3600.000000 79.859 145.8937
3650.000000 79.784 143.6609
3700.000000 79.748 141.3159
3750.000000 79.748 138.7885
3820.000000 79.795 134.8433
3870.000000 79.855 131.6815
3950.000000 79.983 125.9319
4000.000000 80.073 121.8708
4060.000000 80.182 116.4647
4120.000000 80.280 110.4258
4180.000000 80.349 103.7213
4250.000000 80.364 95.0615
4310.000000 80.296 87.0104
4370.000000 80.134 78.5236
4440.000000 79.816 68.3173
4500.000000 79.440 59.5260
4550.000000 79.068 52.2986
4620.000000 78.485 42.4694
4680.000000 77.959 34.3910
4750.000000 77.352 25.3992
4820.000000 76.792 16.8663
4870.000000 76.440 11.0385
4940.000000 76.035 3.2126
5000.000000 75.783 -3.2164
5080.000000 75.600 -11.4012
5150.000000 75.596 -18.2412
5220.000000 75.738 -24.8511
5300.000000 76.072 -32.2308
5380.000000 76.564 -39.5706
5450.000000 77.100 -46.1040
5520.000000 77.704 -52.8848
5600.000000 78.432 -61.0773
5700.000000 79.309 -72.1493
5800.000000 80.017 -84.1205
5900.000000 80.431 -96.4904
