* Measurement data measured by REW V5.30
* Source: EXCL: Q5K Mic (Qudelix-5K USB DAC/MIC 48KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 25, 2024 2:52:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sym Meteor (AET07) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 87.354 -170.8748
20.600000 87.369 -171.5905
20.900000 87.383 -172.3661
21.200001 87.396 -173.1463
21.400000 87.404 -173.6667
21.799999 87.421 -174.7026
22.000000 87.430 -175.2144
22.400000 87.447 -176.2167
22.700001 87.460 -176.9465
23.000000 87.473 -177.6595
23.299999 87.486 -178.3603
23.600000 87.498 -179.0540
24.000000 87.511 -179.9734
24.299999 87.518 179.3413
24.700001 87.526 178.4364
25.000000 87.531 177.7657
25.400000 87.538 176.8802
25.799999 87.547 175.9996
26.200001 87.555 175.1193
26.500000 87.560 174.4601
26.900000 87.566 173.5889
27.200001 87.568 172.9468
27.600000 87.570 172.1123
28.000000 87.572 171.3034
28.500000 87.577 170.3183
29.000000 87.584 169.3458
29.500000 87.588 168.3787
30.000000 87.588 167.4252
30.400000 87.586 166.6785
30.700001 87.583 166.1260
31.100000 87.581 165.3907
31.500000 87.579 164.6465
32.000000 87.576 163.6992
32.500000 87.570 162.7553
33.000000 87.560 161.8511
33.500000 87.551 161.0028
34.000000 87.545 160.1906
34.500000 87.542 159.3767
35.000000 87.538 158.5353
35.500000 87.531 157.6667
36.000000 87.521 156.7908
36.500000 87.508 155.9331
37.000000 87.495 155.1100
37.500000 87.485 154.3201
38.200001 87.472 153.2371
38.700001 87.460 152.4595
39.500000 87.434 151.2177
40.000000 87.417 150.4550
40.599998 87.400 149.5427
41.200001 87.386 148.6192
41.799999 87.370 147.6994
42.500000 87.346 146.6701
43.099998 87.326 145.8238
43.700001 87.308 144.9824
44.400002 87.287 143.9881
45.000000 87.269 143.1302
45.500000 87.253 142.4158
46.200001 87.228 141.4247
46.799999 87.203 140.5941
47.500000 87.175 139.6428
48.200001 87.149 138.6838
48.700001 87.128 137.9922
49.400002 87.098 137.0405
50.000000 87.072 136.2561
50.799999 87.039 135.2394
51.500000 87.011 134.3546
52.200001 86.983 133.4677
53.000000 86.950 132.4525
53.799999 86.915 131.4504
54.500000 86.882 130.5972
55.200001 86.850 129.7561
56.000000 86.812 128.7929
57.000000 86.765 127.5939
58.000000 86.720 126.4077
59.000000 86.673 125.2286
60.000000 86.623 124.0618
60.799999 86.582 123.1407
61.500000 86.546 122.3513
62.200001 86.511 121.5817
63.000000 86.471 120.7183
64.000000 86.420 119.6344
65.000000 86.369 118.5367
66.000000 86.316 117.4531
67.000000 86.264 116.3912
68.000000 86.210 115.3358
69.000000 86.155 114.2916
70.000000 86.099 113.2656
71.000000 86.044 112.2541
72.000000 85.989 111.2570
73.000000 85.936 110.2669
74.000000 85.882 109.2769
75.000000 85.826 108.2941
76.199997 85.759 107.1406
77.500000 85.686 105.9290
78.800003 85.612 104.7259
80.000000 85.544 103.6182
81.199997 85.476 102.5199
82.500000 85.402 101.3513
83.800003 85.328 100.1927
85.000000 85.259 99.1292
86.199997 85.190 98.0827
87.500000 85.115 96.9731
88.500000 85.058 96.1316
90.000000 84.972 94.8815
91.199997 84.903 93.8926
92.500000 84.827 92.8386
93.800003 84.750 91.7986
95.000000 84.681 90.8474
96.199997 84.612 89.9073
97.500000 84.537 88.9078
98.800003 84.461 87.9179
100.000000 84.392 87.0068
101.500000 84.305 85.8954
103.000000 84.218 84.8112
104.400002 84.136 83.7928
106.000000 84.044 82.6409
107.500000 83.959 81.5988
109.000000 83.874 80.5667
110.599998 83.782 79.4659
112.000000 83.704 78.5211
113.800003 83.604 77.3348
115.000000 83.537 76.5610
117.199997 83.414 75.1884
118.000000 83.370 74.6968
120.599998 83.227 73.0824
122.000000 83.148 72.2188
124.099998 83.032 70.9560
125.000000 82.983 70.4227
126.500000 82.901 69.5403
128.000000 82.820 68.6703
131.500000 82.636 66.6956
132.000000 82.610 66.4162
134.000000 82.505 65.3127
136.000000 82.401 64.2567
138.000000 82.297 63.2161
140.000000 82.195 62.1725
143.000000 82.043 60.6492
145.000000 81.941 59.6659
147.500000 81.816 58.4569
150.000000 81.697 57.2574
152.500000 81.575 56.1102
155.000000 81.453 55.0137
157.500000 81.334 53.9415
160.000000 81.222 52.8818
162.500000 81.109 51.8885
165.000000 80.997 50.9556
167.500000 80.891 50.0487
170.000000 80.796 49.1604
172.500000 80.710 48.2603
175.000000 80.629 47.3215
177.500000 80.548 46.3429
180.000000 80.464 45.3465
182.500000 80.374 44.3578
185.000000 80.281 43.4081
187.500000 80.189 42.5063
190.000000 80.097 41.6359
192.500000 80.006 40.7876
195.000000 79.918 39.9651
197.500000 79.831 39.1302
200.000000 79.746 38.3226
203.000000 79.644 37.4252
206.000000 79.544 36.5399
209.000000 79.445 35.6849
212.000000 79.350 34.7904
214.000000 79.292 34.2252
218.000000 79.175 33.2288
220.000000 79.116 32.7094
224.000000 79.004 31.6879
227.000000 78.926 30.9491
230.000000 78.850 30.2224
233.000000 78.781 29.5064
236.000000 78.726 28.7920
240.000000 78.665 27.9254
243.000000 78.591 27.2849
247.000000 78.487 26.3845
250.000000 78.424 25.7102
254.000000 78.346 24.8473
258.000000 78.271 24.0289
262.000000 78.196 23.2413
265.000000 78.143 22.6686
269.000000 78.077 21.9081
272.000000 78.031 21.3653
276.000000 77.978 20.6621
280.000000 77.929 19.9740
285.000000 77.876 19.1189
290.000000 77.829 18.2444
295.000000 77.781 17.3723
300.000000 77.741 16.4703
304.000000 77.709 15.7258
307.000000 77.683 15.1780
311.000000 77.648 14.4701
315.000000 77.615 13.7836
320.000000 77.574 12.9342
325.000000 77.538 12.1079
330.000000 77.507 11.2957
335.000000 77.476 10.5037
340.000000 77.445 9.7107
345.000000 77.416 8.9362
350.000000 77.393 8.1940
355.000000 77.372 7.4732
360.000000 77.355 6.7587
365.000000 77.343 6.0520
370.000000 77.338 5.3438
375.000000 77.333 4.6204
382.000000 77.326 3.5504
387.000000 77.320 2.7708
395.000000 77.310 1.5532
400.000000 77.304 0.8018
406.000000 77.297 -0.0940
412.000000 77.290 -0.9818
418.000000 77.286 -1.8587
425.000000 77.280 -2.8641
431.000000 77.274 -3.7084
437.000000 77.269 -4.5496
444.000000 77.264 -5.5303
450.000000 77.262 -6.3700
455.000000 77.259 -7.0619
462.000000 77.255 -8.0106
468.000000 77.253 -8.8113
475.000000 77.252 -9.7399
482.000000 77.250 -10.6754
487.000000 77.247 -11.3406
494.000000 77.242 -12.2565
500.000000 77.239 -13.0335
508.000000 77.234 -14.0565
515.000000 77.230 -14.9407
522.000000 77.224 -15.8166
530.000000 77.215 -16.8080
538.000000 77.206 -17.7756
545.000000 77.199 -18.6019
552.000000 77.191 -19.4183
560.000000 77.178 -20.3314
570.000000 77.157 -21.4418
580.000000 77.134 -22.5066
590.000000 77.112 -23.5104
600.000000 77.089 -24.4404
608.000000 77.070 -25.1171
615.000000 77.058 -25.6617
622.000000 77.053 -26.1570
630.000000 77.060 -26.6735
640.000000 77.095 -27.3159
650.000000 77.155 -28.0787
660.000000 77.220 -29.0736
670.000000 77.268 -30.2529
680.000000 77.290 -31.4821
690.000000 77.290 -32.6656
700.000000 77.276 -33.7518
710.000000 77.258 -34.7474
720.000000 77.237 -35.6861
730.000000 77.218 -36.5610
740.000000 77.200 -37.3810
750.000000 77.185 -38.1620
762.000000 77.169 -39.0541
775.000000 77.156 -39.9785
788.000000 77.148 -40.8551
800.000000 77.142 -41.6189
812.000000 77.141 -42.3564
825.000000 77.145 -43.1357
838.000000 77.155 -43.8922
850.000000 77.167 -44.5682
862.000000 77.183 -45.2250
875.000000 77.205 -45.9238
885.000000 77.225 -46.4598
900.000000 77.260 -47.2561
912.000000 77.293 -47.8926
925.000000 77.331 -48.5798
938.000000 77.374 -49.2646
950.000000 77.416 -49.9054
962.000000 77.462 -50.5528
975.000000 77.514 -51.2596
988.000000 77.569 -51.9788
1000.000000 77.622 -52.6561
1015.000000 77.691 -53.5186
1030.000000 77.762 -54.4057
1044.000000 77.828 -55.2484
1060.000000 77.905 -56.2261
1075.000000 77.978 -57.1609
1090.000000 78.052 -58.1241
1106.000000 78.129 -59.1812
1120.000000 78.195 -60.1342
1138.000000 78.276 -61.4030
1150.000000 78.327 -62.2671
1172.000000 78.410 -63.8535
1180.000000 78.438 -64.4274
1206.000000 78.521 -66.2822
1220.000000 78.562 -67.2730
1241.000000 78.618 -68.7400
1250.000000 78.641 -69.3626
1265.000000 78.676 -70.3929
1280.000000 78.709 -71.4072
1315.000000 78.777 -73.6996
1320.000000 78.787 -74.0198
1340.000000 78.822 -75.2790
1360.000000 78.857 -76.5034
1380.000000 78.889 -77.6952
1400.000000 78.920 -78.8551
1430.000000 78.967 -80.5458
1450.000000 78.999 -81.6370
1475.000000 79.040 -82.9623
1500.000000 79.083 -84.2498
1525.000000 79.129 -85.5042
1550.000000 79.177 -86.7290
1575.000000 79.230 -87.9226
1600.000000 79.286 -89.0909
1625.000000 79.346 -90.2305
1650.000000 79.410 -91.3429
1675.000000 79.481 -92.4368
1700.000000 79.559 -93.5259
1725.000000 79.640 -94.6244
1750.000000 79.722 -95.7167
1775.000000 79.809 -96.7892
1800.000000 79.901 -97.8552
1825.000000 80.000 -98.9194
1850.000000 80.104 -99.9979
1875.000000 80.213 -101.0986
1900.000000 80.327 -102.2139
1925.000000 80.446 -103.3489
1950.000000 80.569 -104.5092
1975.000000 80.697 -105.7013
2000.000000 80.829 -106.9296
2030.000000 80.992 -108.4539
2060.000000 81.159 -110.0467
2090.000000 81.329 -111.7044
2120.000000 81.500 -113.4158
2140.000000 81.615 -114.5901
2180.000000 81.849 -117.0363
2200.000000 81.968 -118.3123
2240.000000 82.204 -120.9844
2270.000000 82.378 -123.1049
2300.000000 82.546 -125.3205
2330.000000 82.706 -127.6189
2360.000000 82.859 -129.9917
2400.000000 83.048 -133.2777
2430.000000 83.178 -135.8380
2470.000000 83.332 -139.3856
2500.000000 83.429 -142.1415
2540.000000 83.534 -145.9213
2580.000000 83.606 -149.7859
2620.000000 83.646 -153.6952
2650.000000 83.653 -156.6348
2690.000000 83.633 -160.5385
2720.000000 83.598 -163.4345
2760.000000 83.525 -167.2294
2800.000000 83.425 -170.9302
2850.000000 83.268 -175.3912
2900.000000 83.083 -179.6467
2950.000000 82.879 176.3069
3000.000000 82.663 172.4647
3040.000000 82.483 169.5205
3070.000000 82.347 167.3810
3110.000000 82.162 164.6089
3150.000000 81.973 161.9224
3200.000000 81.730 158.6904
3250.000000 81.481 155.6120
3300.000000 81.229 152.7257
3350.000000 80.981 150.0632
3400.000000 80.752 147.6096
3450.000000 80.551 145.3212
3500.000000 80.386 143.1276
3550.000000 80.261 140.9566
3600.000000 80.175 138.7341
3650.000000 80.128 136.3911
3700.000000 80.119 133.8737
3750.000000 80.145 131.1383
3820.000000 80.234 126.8423
3870.000000 80.325 123.3372
3950.000000 80.492 116.7781
4000.000000 80.593 112.0208
4060.000000 80.689 105.6059
4120.000000 80.731 98.4280
4180.000000 80.693 90.5452
4250.000000 80.514 80.6374
4310.000000 80.228 71.7589
4370.000000 79.819 62.7741
4440.000000 79.205 52.4614
4500.000000 78.594 43.9612
4550.000000 78.050 37.1847
4620.000000 77.279 28.1987
4680.000000 76.642 20.9428
4750.000000 75.966 12.9163
4820.000000 75.395 5.2921
4870.000000 75.064 0.0569
4940.000000 74.721 -7.0155
5000.000000 74.545 -12.8492
5080.000000 74.484 -20.2975
5150.000000 74.593 -26.5114
5220.000000 74.849 -32.4720
5300.000000 75.306 -39.0851
5380.000000 75.917 -45.6490
5450.000000 76.553 -51.5031
5520.000000 77.258 -57.6353
5600.000000 78.101 -65.2360
5700.000000 79.090 -75.8725
5800.000000 79.855 -87.6305
5900.000000 80.291 -99.7733
6000.000000 80.366 -111.3138
