* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -25.0 dBFS with no timing reference
* Dated: Aug 17, 2024 7:27:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tangzu Wan'er (AET07) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 92.442 -148.9217
20.600000 92.445 -149.5078
20.900000 92.448 -150.1395
21.200001 92.453 -150.7836
21.400000 92.458 -151.2219
21.799999 92.471 -152.1155
22.000000 92.478 -152.5637
22.400000 92.492 -153.4423
22.700001 92.501 -154.0728
23.000000 92.510 -154.6736
23.299999 92.516 -155.2459
23.600000 92.521 -155.7938
24.000000 92.525 -156.4955
24.299999 92.526 -157.0064
24.700001 92.527 -157.6757
25.000000 92.528 -158.1728
25.400000 92.528 -158.8320
25.799999 92.529 -159.4854
26.200001 92.528 -160.1292
26.500000 92.527 -160.6039
26.900000 92.525 -161.2253
27.200001 92.522 -161.6823
27.600000 92.518 -162.2774
28.000000 92.513 -162.8538
28.500000 92.507 -163.5502
29.000000 92.499 -164.2295
29.500000 92.487 -164.8914
30.000000 92.472 -165.5175
30.400000 92.464 -165.9903
30.700001 92.463 -166.3432
31.100000 92.471 -166.8441
31.500000 92.484 -167.4072
32.000000 92.492 -168.1794
32.500000 92.479 -168.9171
33.000000 92.450 -169.4954
33.500000 92.420 -169.8985
34.000000 92.402 -170.2287
34.500000 92.390 -170.5974
35.000000 92.378 -171.0373
35.500000 92.362 -171.5223
36.000000 92.347 -172.0312
36.500000 92.332 -172.5587
37.000000 92.315 -173.0852
37.500000 92.293 -173.5767
38.200001 92.265 -174.1937
38.700001 92.249 -174.6197
39.500000 92.223 -175.2988
40.000000 92.208 -175.6985
40.599998 92.191 -176.1621
41.200001 92.169 -176.6317
41.799999 92.136 -177.0766
42.500000 92.099 -177.5275
43.099998 92.082 -177.9257
43.700001 92.073 -178.3952
44.400002 92.054 -178.9625
45.000000 92.028 -179.3850
45.500000 92.004 -179.6956
46.200001 91.968 179.8929
46.799999 91.946 179.5319
47.500000 91.934 179.0364
48.200001 91.907 178.5275
48.700001 91.866 178.3270
49.400002 91.809 178.3726
50.000000 91.794 178.4372
50.799999 91.796 177.9935
51.500000 91.768 177.2384
52.200001 91.725 176.5839
53.000000 91.695 176.0846
53.799999 91.665 175.7299
54.500000 91.633 175.4796
55.200001 91.607 175.1760
56.000000 91.578 174.7358
57.000000 91.529 174.2720
58.000000 91.458 173.9704
59.000000 91.383 173.7527
60.000000 91.356 173.3696
60.799999 91.347 172.9102
61.500000 91.328 172.5670
62.200001 91.306 172.2951
63.000000 91.275 171.9660
64.000000 91.225 171.5296
65.000000 91.178 171.1630
66.000000 91.134 170.8444
67.000000 91.093 170.5594
68.000000 91.052 170.3253
69.000000 91.008 170.1788
70.000000 90.967 169.9662
71.000000 90.919 169.5759
72.000000 90.864 169.1951
73.000000 90.818 168.9320
74.000000 90.780 168.7088
75.000000 90.744 168.4549
76.199997 90.697 168.1283
77.500000 90.637 167.8338
78.800003 90.581 167.5901
80.000000 90.539 167.3682
81.199997 90.494 167.1079
82.500000 90.433 166.8382
83.800003 90.375 166.6118
85.000000 90.321 166.3994
86.199997 90.269 166.2077
87.500000 90.219 166.0115
88.500000 90.181 165.8883
90.000000 90.128 165.7042
91.199997 90.083 165.5089
92.500000 90.029 165.3095
93.800003 89.977 165.1501
95.000000 89.927 165.0502
96.199997 89.874 164.9517
97.500000 89.821 164.8292
98.800003 89.779 164.6354
100.000000 89.734 164.3818
101.500000 89.665 164.1302
103.000000 89.615 164.0949
104.400002 89.574 163.9798
106.000000 89.519 163.8715
107.500000 89.472 163.8373
109.000000 89.424 163.7935
110.599998 89.365 163.6963
112.000000 89.316 163.6071
113.800003 89.256 163.4756
115.000000 89.212 163.3985
117.199997 89.134 163.2634
118.000000 89.108 163.2286
120.599998 89.022 163.2236
122.000000 88.980 163.2061
124.099998 88.917 163.1606
125.000000 88.888 163.1371
126.500000 88.841 163.1046
128.000000 88.795 163.0735
131.500000 88.690 162.9194
132.000000 88.676 162.9272
134.000000 88.619 162.9905
136.000000 88.560 163.0076
138.000000 88.504 163.0027
140.000000 88.450 163.0068
143.000000 88.371 163.0769
145.000000 88.317 163.0882
147.500000 88.249 163.1179
150.000000 88.176 163.2119
152.500000 88.114 163.3377
155.000000 88.057 163.3092
157.500000 88.003 163.3670
160.000000 87.957 163.3839
162.500000 87.919 163.3619
165.000000 87.841 163.5157
167.500000 87.770 163.6419
170.000000 87.716 163.7408
172.500000 87.659 163.8718
175.000000 87.604 164.0142
177.500000 87.555 164.1585
180.000000 87.494 164.3168
182.500000 87.433 164.4720
185.000000 87.373 164.5461
187.500000 87.310 164.6662
190.000000 87.268 164.8760
192.500000 87.237 165.1040
195.000000 87.188 165.3108
197.500000 87.129 165.6383
200.000000 87.090 166.0450
203.000000 87.070 166.4662
206.000000 87.028 166.6664
209.000000 86.986 166.7820
212.000000 86.967 166.9850
214.000000 86.962 167.1033
218.000000 86.933 167.1471
220.000000 86.910 167.1486
224.000000 86.868 167.3483
227.000000 86.834 167.4981
230.000000 86.793 167.5870
233.000000 86.752 167.6475
236.000000 86.713 167.6543
240.000000 86.665 167.7670
243.000000 86.622 167.9120
247.000000 86.569 168.2921
250.000000 86.533 168.5392
254.000000 86.489 168.8302
258.000000 86.444 169.1079
262.000000 86.394 169.3234
265.000000 86.361 169.5240
269.000000 86.323 169.8179
272.000000 86.297 170.0201
276.000000 86.259 170.2433
280.000000 86.220 170.4890
285.000000 86.178 170.8514
290.000000 86.132 171.1639
295.000000 86.082 171.4200
300.000000 86.038 171.7762
304.000000 86.012 172.0883
307.000000 85.993 172.3011
311.000000 85.968 172.5827
315.000000 85.942 172.8596
320.000000 85.907 173.1794
325.000000 85.875 173.5505
330.000000 85.840 173.9227
335.000000 85.808 174.2102
340.000000 85.779 174.5107
345.000000 85.752 174.8410
350.000000 85.724 175.1679
355.000000 85.694 175.4904
360.000000 85.666 175.7898
365.000000 85.645 176.1305
370.000000 85.626 176.5177
375.000000 85.601 176.8630
382.000000 85.571 177.2932
387.000000 85.551 177.6396
395.000000 85.516 178.1784
400.000000 85.500 178.4585
406.000000 85.482 178.8194
412.000000 85.466 179.2197
418.000000 85.447 179.6176
425.000000 85.421 -179.9442
431.000000 85.399 -179.5687
437.000000 85.376 -179.2164
444.000000 85.353 -178.7861
450.000000 85.338 -178.3967
455.000000 85.324 -178.0801
462.000000 85.303 -177.6553
468.000000 85.288 -177.2790
475.000000 85.271 -176.8282
482.000000 85.253 -176.3906
487.000000 85.241 -176.0811
494.000000 85.225 -175.6333
500.000000 85.212 -175.2476
508.000000 85.196 -174.7426
515.000000 85.181 -174.2942
522.000000 85.166 -173.8460
530.000000 85.147 -173.3439
538.000000 85.126 -172.8266
545.000000 85.106 -172.3562
552.000000 85.081 -171.8391
560.000000 85.049 -171.1155
570.000000 85.042 -169.9261
580.000000 85.111 -168.9502
590.000000 85.171 -168.5003
600.000000 85.178 -168.0242
608.000000 85.173 -167.5152
615.000000 85.173 -166.9980
622.000000 85.182 -166.4300
630.000000 85.206 -165.7676
640.000000 85.252 -165.0023
650.000000 85.308 -164.3478
660.000000 85.362 -163.8217
670.000000 85.406 -163.3650
680.000000 85.441 -162.9073
690.000000 85.469 -162.4330
700.000000 85.494 -161.9476
710.000000 85.518 -161.4466
720.000000 85.543 -160.9219
730.000000 85.567 -160.3932
740.000000 85.594 -159.8534
750.000000 85.623 -159.2962
762.000000 85.659 -158.6062
775.000000 85.701 -157.8599
788.000000 85.748 -157.1202
800.000000 85.797 -156.4292
812.000000 85.849 -155.7430
825.000000 85.908 -154.9915
838.000000 85.972 -154.2404
850.000000 86.034 -153.5669
862.000000 86.100 -152.8971
875.000000 86.176 -152.1727
885.000000 86.237 -151.6223
900.000000 86.334 -150.8298
912.000000 86.416 -150.2141
925.000000 86.509 -149.5643
938.000000 86.605 -148.9357
950.000000 86.696 -148.3719
962.000000 86.791 -147.8300
975.000000 86.897 -147.2709
988.000000 87.005 -146.7398
1000.000000 87.108 -146.2739
1015.000000 87.239 -145.7289
1030.000000 87.372 -145.2158
1044.000000 87.497 -144.7788
1060.000000 87.641 -144.3367
1075.000000 87.777 -143.9563
1090.000000 87.913 -143.6134
1106.000000 88.057 -143.2899
1120.000000 88.184 -143.0379
1138.000000 88.345 -142.7594
1150.000000 88.451 -142.5995
1172.000000 88.641 -142.3532
1180.000000 88.710 -142.2782
1206.000000 88.928 -142.0907
1220.000000 89.044 -142.0172
1241.000000 89.215 -141.9408
1250.000000 89.287 -141.9181
1265.000000 89.404 -141.8888
1280.000000 89.519 -141.8720
1315.000000 89.779 -141.8913
1320.000000 89.815 -141.8988
1340.000000 89.960 -141.9369
1360.000000 90.102 -141.9883
1380.000000 90.241 -142.0550
1400.000000 90.378 -142.1322
1430.000000 90.580 -142.2636
1450.000000 90.713 -142.3677
1475.000000 90.878 -142.5107
1500.000000 91.041 -142.6666
1525.000000 91.204 -142.8452
1550.000000 91.366 -143.0411
1575.000000 91.529 -143.2549
1600.000000 91.690 -143.4942
1625.000000 91.852 -143.7632
1650.000000 92.013 -144.0578
1675.000000 92.175 -144.3823
1700.000000 92.336 -144.7369
1725.000000 92.497 -145.1277
1750.000000 92.657 -145.5493
1775.000000 92.815 -146.0066
1800.000000 92.973 -146.5066
1825.000000 93.129 -147.0434
1850.000000 93.284 -147.6192
1875.000000 93.436 -148.2372
1900.000000 93.585 -148.8967
1925.000000 93.731 -149.5993
1950.000000 93.873 -150.3439
1975.000000 94.011 -151.1261
2000.000000 94.145 -151.9488
2030.000000 94.300 -152.9880
2060.000000 94.447 -154.0816
2090.000000 94.585 -155.2278
2120.000000 94.714 -156.4252
2140.000000 94.794 -157.2510
2180.000000 94.940 -158.9549
2200.000000 95.005 -159.8278
2240.000000 95.119 -161.6096
2270.000000 95.189 -162.9677
2300.000000 95.247 -164.3342
2330.000000 95.293 -165.7041
2360.000000 95.326 -167.0688
2400.000000 95.351 -168.8680
2430.000000 95.357 -170.1956
2470.000000 95.347 -171.9219
2500.000000 95.329 -173.1794
2540.000000 95.290 -174.7983
2580.000000 95.237 -176.3444
2620.000000 95.171 -177.8149
2650.000000 95.114 -178.8640
2690.000000 95.030 179.8131
2720.000000 94.960 178.8777
2760.000000 94.862 177.7060
2800.000000 94.759 176.6194
2850.000000 94.625 175.3767
2900.000000 94.486 174.2542
2950.000000 94.346 173.2513
3000.000000 94.205 172.3563
3040.000000 94.092 171.7168
3070.000000 94.009 171.2801
3110.000000 93.899 170.7543
3150.000000 93.791 170.2948
3200.000000 93.660 169.8175
3250.000000 93.539 169.4497
3300.000000 93.435 169.1714
3350.000000 93.352 168.9290
3400.000000 93.287 168.6439
3450.000000 93.231 168.2794
3500.000000 93.177 167.8463
3550.000000 93.121 167.3752
3600.000000 93.062 166.8881
3650.000000 93.000 166.3874
3700.000000 92.936 165.8757
3750.000000 92.865 165.3497
3820.000000 92.742 164.6924
3870.000000 92.657 164.5186
3950.000000 92.635 164.2037
4000.000000 92.628 163.5352
4060.000000 92.581 162.6091
4120.000000 92.507 161.6871
4180.000000 92.420 160.7995
4250.000000 92.308 159.7689
4310.000000 92.200 158.8713
4370.000000 92.076 157.9782
4440.000000 91.913 156.9823
4500.000000 91.760 156.1816
4550.000000 91.624 155.5648
4620.000000 91.424 154.7958
4680.000000 91.249 154.2126
4750.000000 91.040 153.5911
4820.000000 90.824 153.0253
4870.000000 90.663 152.6648
4940.000000 90.430 152.2399
5000.000000 90.223 151.9636
5080.000000 89.941 151.7375
5150.000000 89.692 151.6774
5220.000000 89.444 151.7422
5300.000000 89.165 151.9663
5380.000000 88.894 152.3369
5450.000000 88.664 152.7719
5520.000000 88.443 153.3047
5600.000000 88.202 154.0232
5700.000000 87.920 155.0697
5800.000000 87.664 156.2503
5900.000000 87.432 157.5347
6000.000000 87.224 158.9224
6080.000000 87.077 160.0894
