* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -25.0 dBFS with no timing reference
* Dated: Aug 17, 2024 7:27:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tangzu Wan'er (AET07) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 93.101 -146.1177
20.600000 93.106 -146.7757
20.900000 93.111 -147.4659
21.200001 93.118 -148.1482
21.400000 93.125 -148.6050
21.799999 93.141 -149.5325
22.000000 93.149 -150.0005
22.400000 93.162 -150.9254
22.700001 93.170 -151.5917
23.000000 93.177 -152.2257
23.299999 93.185 -152.8299
23.600000 93.194 -153.4141
24.000000 93.207 -154.1832
24.299999 93.217 -154.7622
24.700001 93.225 -155.5367
25.000000 93.228 -156.1107
25.400000 93.228 -156.8513
25.799999 93.225 -157.5536
26.200001 93.224 -158.2207
26.500000 93.225 -158.7060
26.900000 93.231 -159.3441
27.200001 93.235 -159.8188
27.600000 93.240 -160.4417
28.000000 93.242 -161.0437
28.500000 93.240 -161.7635
29.000000 93.234 -162.4741
29.500000 93.224 -163.2143
30.000000 93.209 -163.9817
30.400000 93.195 -164.5784
30.700001 93.188 -164.9939
31.100000 93.187 -165.4963
31.500000 93.198 -165.9562
32.000000 93.220 -166.5254
32.500000 93.233 -167.1315
33.000000 93.222 -167.7624
33.500000 93.188 -168.3726
34.000000 93.147 -168.9418
34.500000 93.117 -169.4945
35.000000 93.104 -170.0660
35.500000 93.101 -170.6564
36.000000 93.095 -171.2242
36.500000 93.081 -171.7247
37.000000 93.059 -172.1559
37.500000 93.038 -172.5687
38.200001 93.015 -173.2248
38.700001 93.003 -173.7513
39.500000 92.982 -174.5537
40.000000 92.969 -174.9878
40.599998 92.948 -175.4805
41.200001 92.915 -175.9809
41.799999 92.879 -176.4750
42.500000 92.854 -177.0294
43.099998 92.852 -177.5170
43.700001 92.849 -178.0159
44.400002 92.823 -178.5498
45.000000 92.791 -178.9667
45.500000 92.765 -179.3377
46.200001 92.732 -179.9044
46.799999 92.704 179.6848
47.500000 92.682 179.3610
48.200001 92.664 178.9530
48.700001 92.626 178.5012
49.400002 92.520 177.8602
50.000000 92.432 177.5670
50.799999 92.420 177.3852
51.500000 92.476 176.9933
52.200001 92.497 176.4427
53.000000 92.461 175.9784
53.799999 92.417 175.5863
54.500000 92.384 175.1232
55.200001 92.353 174.6461
56.000000 92.326 174.2323
57.000000 92.295 173.8342
58.000000 92.233 173.4561
59.000000 92.166 173.1286
60.000000 92.137 172.6675
60.799999 92.120 172.1678
61.500000 92.097 171.7584
62.200001 92.067 171.4290
63.000000 92.027 171.1270
64.000000 91.976 170.7958
65.000000 91.927 170.4488
66.000000 91.882 170.0667
67.000000 91.842 169.6697
68.000000 91.797 169.2992
69.000000 91.739 169.0445
70.000000 91.692 168.8041
71.000000 91.660 168.3979
72.000000 91.626 167.9571
73.000000 91.586 167.6237
74.000000 91.541 167.3431
75.000000 91.493 167.0627
76.199997 91.438 166.7265
77.500000 91.378 166.3868
78.800003 91.315 166.0628
80.000000 91.251 165.7207
81.199997 91.190 165.4223
82.500000 91.147 165.1289
83.800003 91.102 164.8440
85.000000 91.053 164.6096
86.199997 91.001 164.3751
87.500000 90.943 164.1147
88.500000 90.897 163.9266
90.000000 90.832 163.6767
91.199997 90.785 163.4540
92.500000 90.737 163.2128
93.800003 90.692 163.0042
95.000000 90.647 162.7852
96.199997 90.596 162.5440
97.500000 90.536 162.3008
98.800003 90.473 162.2053
100.000000 90.427 162.2073
101.500000 90.378 162.1090
103.000000 90.312 161.8150
104.400002 90.247 161.5552
106.000000 90.185 161.4083
107.500000 90.129 161.3083
109.000000 90.074 161.1620
110.599998 90.014 160.9685
112.000000 89.962 160.7730
113.800003 89.893 160.6235
115.000000 89.850 160.5648
117.199997 89.770 160.4138
118.000000 89.742 160.3545
120.599998 89.657 160.1761
122.000000 89.606 160.0912
124.099998 89.531 159.9771
125.000000 89.500 159.9337
126.500000 89.449 159.8732
128.000000 89.400 159.8141
131.500000 89.287 159.5717
132.000000 89.270 159.5572
134.000000 89.200 159.5557
136.000000 89.133 159.5330
138.000000 89.070 159.4937
140.000000 89.009 159.4348
143.000000 88.918 159.3957
145.000000 88.855 159.3916
147.500000 88.776 159.3355
150.000000 88.683 159.3502
152.500000 88.608 159.3739
155.000000 88.552 159.3674
157.500000 88.487 159.3948
160.000000 88.426 159.3841
162.500000 88.369 159.3385
165.000000 88.296 159.4914
167.500000 88.223 159.5820
170.000000 88.153 159.6179
172.500000 88.093 159.7056
175.000000 88.029 159.7728
177.500000 87.960 159.7756
180.000000 87.902 159.8389
182.500000 87.843 160.0011
185.000000 87.784 160.1707
187.500000 87.730 160.3174
190.000000 87.679 160.4768
192.500000 87.624 160.6895
195.000000 87.564 160.7942
197.500000 87.516 160.8639
200.000000 87.494 160.9845
203.000000 87.453 161.5099
206.000000 87.377 161.7938
209.000000 87.328 161.7719
212.000000 87.299 161.8219
214.000000 87.276 161.8607
218.000000 87.221 161.9372
220.000000 87.185 161.9794
224.000000 87.105 162.1159
227.000000 87.050 162.2867
230.000000 86.998 162.4750
233.000000 86.945 162.6670
236.000000 86.893 162.8721
240.000000 86.813 163.0032
243.000000 86.752 163.0782
247.000000 86.707 163.3401
250.000000 86.675 163.6039
254.000000 86.623 163.8827
258.000000 86.568 164.1634
262.000000 86.514 164.4324
265.000000 86.476 164.6024
269.000000 86.428 164.8334
272.000000 86.394 165.0304
276.000000 86.351 165.2921
280.000000 86.308 165.5491
285.000000 86.252 165.8729
290.000000 86.199 166.1953
295.000000 86.152 166.5219
300.000000 86.102 166.8051
304.000000 86.061 167.0388
307.000000 86.032 167.2221
311.000000 85.992 167.4548
315.000000 85.951 167.6883
320.000000 85.903 168.0142
325.000000 85.856 168.3262
330.000000 85.811 168.6401
335.000000 85.769 168.9658
340.000000 85.728 169.3103
345.000000 85.689 169.6252
350.000000 85.653 169.9236
355.000000 85.619 170.2362
360.000000 85.580 170.5551
365.000000 85.539 170.8412
370.000000 85.498 171.1259
375.000000 85.458 171.5102
382.000000 85.412 172.0593
387.000000 85.382 172.4155
395.000000 85.351 172.9496
400.000000 85.331 173.2904
406.000000 85.298 173.6872
412.000000 85.265 174.0538
418.000000 85.237 174.4127
425.000000 85.210 174.7836
431.000000 85.186 175.1028
437.000000 85.160 175.4196
444.000000 85.130 175.7990
450.000000 85.104 176.1152
455.000000 85.081 176.3881
462.000000 85.048 176.7768
468.000000 85.023 177.0928
475.000000 84.993 177.4727
482.000000 84.962 177.8423
487.000000 84.939 178.1032
494.000000 84.907 178.4659
500.000000 84.881 178.7706
508.000000 84.845 179.1660
515.000000 84.814 179.4896
522.000000 84.783 179.8098
530.000000 84.742 -179.8477
538.000000 84.696 -179.5337
545.000000 84.651 -179.2602
552.000000 84.601 -179.0048
560.000000 84.534 -178.7486
570.000000 84.425 -178.4536
580.000000 84.267 -178.1513
590.000000 84.039 -177.6618
600.000000 83.729 -176.5415
608.000000 83.457 -174.6145
615.000000 83.297 -171.8887
622.000000 83.314 -168.6261
630.000000 83.562 -165.5412
640.000000 83.968 -163.7727
650.000000 84.268 -163.2823
660.000000 84.478 -163.0197
670.000000 84.638 -162.8754
680.000000 84.754 -162.8054
690.000000 84.833 -162.7173
700.000000 84.890 -162.5533
710.000000 84.932 -162.3101
720.000000 84.966 -162.0001
730.000000 84.995 -161.6385
740.000000 85.025 -161.2323
750.000000 85.055 -160.7871
762.000000 85.090 -160.2173
775.000000 85.127 -159.5493
788.000000 85.171 -158.8582
800.000000 85.213 -158.2239
812.000000 85.258 -157.5691
825.000000 85.310 -156.8413
838.000000 85.368 -156.1227
850.000000 85.426 -155.4506
862.000000 85.486 -154.7742
875.000000 85.555 -154.0552
885.000000 85.613 -153.5132
900.000000 85.705 -152.7157
912.000000 85.782 -152.0912
925.000000 85.870 -151.4337
938.000000 85.961 -150.7965
950.000000 86.049 -150.2234
962.000000 86.139 -149.6659
975.000000 86.240 -149.0872
988.000000 86.345 -148.5431
1000.000000 86.443 -148.0696
1015.000000 86.568 -147.5160
1030.000000 86.695 -146.9881
1044.000000 86.816 -146.5350
1060.000000 86.955 -146.0659
1075.000000 87.086 -145.6704
1090.000000 87.218 -145.3145
1106.000000 87.357 -144.9786
1120.000000 87.479 -144.7227
1138.000000 87.632 -144.4412
1150.000000 87.732 -144.2790
1172.000000 87.913 -144.0230
1180.000000 87.977 -143.9426
1206.000000 88.182 -143.7235
1220.000000 88.289 -143.6384
1241.000000 88.446 -143.5382
1250.000000 88.512 -143.4977
1265.000000 88.620 -143.4420
1280.000000 88.726 -143.4015
1315.000000 88.965 -143.3439
1320.000000 88.998 -143.3381
1340.000000 89.130 -143.3224
1360.000000 89.259 -143.3174
1380.000000 89.386 -143.3185
1400.000000 89.511 -143.3312
1430.000000 89.695 -143.3640
1450.000000 89.817 -143.3933
1475.000000 89.967 -143.4418
1500.000000 90.116 -143.5030
1525.000000 90.265 -143.5740
1550.000000 90.413 -143.6582
1575.000000 90.561 -143.7547
1600.000000 90.710 -143.8691
1625.000000 90.859 -144.0090
1650.000000 91.007 -144.1726
1675.000000 91.156 -144.3588
1700.000000 91.306 -144.5675
1725.000000 91.456 -144.7981
1750.000000 91.605 -145.0518
1775.000000 91.754 -145.3374
1800.000000 91.903 -145.6582
1825.000000 92.051 -146.0105
1850.000000 92.199 -146.3927
1875.000000 92.347 -146.8074
1900.000000 92.493 -147.2561
1925.000000 92.637 -147.7403
1950.000000 92.780 -148.2637
1975.000000 92.920 -148.8249
2000.000000 93.057 -149.4214
2030.000000 93.219 -150.1836
2060.000000 93.377 -150.9990
2090.000000 93.528 -151.8685
2120.000000 93.674 -152.7890
2140.000000 93.766 -153.4290
2180.000000 93.942 -154.7648
2200.000000 94.024 -155.4601
2240.000000 94.178 -156.9045
2270.000000 94.283 -158.0271
2300.000000 94.378 -159.1778
2330.000000 94.464 -160.3520
2360.000000 94.539 -161.5420
2400.000000 94.624 -163.1464
2430.000000 94.675 -164.3584
2470.000000 94.729 -165.9758
2500.000000 94.757 -167.1818
2540.000000 94.781 -168.7674
2580.000000 94.788 -170.3193
2620.000000 94.781 -171.8339
2650.000000 94.767 -172.9403
2690.000000 94.736 -174.3671
2720.000000 94.706 -175.3988
2760.000000 94.656 -176.7224
2800.000000 94.596 -177.9840
2850.000000 94.511 -179.4707
2900.000000 94.415 179.1469
2950.000000 94.312 177.8727
3000.000000 94.203 176.7030
3040.000000 94.111 175.8407
3070.000000 94.041 175.2376
3110.000000 93.947 174.4986
3150.000000 93.853 173.8391
3200.000000 93.740 173.1269
3250.000000 93.642 172.5159
3300.000000 93.564 171.9394
3350.000000 93.503 171.3080
3400.000000 93.449 170.5701
3450.000000 93.392 169.7359
3500.000000 93.327 168.8299
3550.000000 93.254 167.8463
3600.000000 93.170 166.7444
3650.000000 93.064 165.4304
3700.000000 92.897 163.7783
3750.000000 92.572 161.8834
3820.000000 91.680 162.1101
3870.000000 91.374 167.6383
3950.000000 92.135 170.8323
4000.000000 92.393 169.1265
4060.000000 92.460 167.1454
4120.000000 92.426 165.5764
4180.000000 92.354 164.2681
4250.000000 92.245 162.9218
4310.000000 92.134 161.8664
4370.000000 92.010 160.8889
4440.000000 91.850 159.8447
4500.000000 91.702 159.0390
4550.000000 91.573 158.4389
4620.000000 91.391 157.6885
4680.000000 91.234 157.1001
4750.000000 91.047 156.4573
4820.000000 90.853 155.8658
4870.000000 90.709 155.4851
4940.000000 90.502 155.0249
5000.000000 90.320 154.7084
5080.000000 90.074 154.3978
5150.000000 89.859 154.2229
5220.000000 89.646 154.1353
5300.000000 89.405 154.1367
5380.000000 89.169 154.2430
5450.000000 88.969 154.4061
5520.000000 88.776 154.6079
5600.000000 88.561 154.8627
5700.000000 88.292 155.2052
5800.000000 88.014 155.6025
5900.000000 87.719 156.1300
6000.000000 87.407 156.9017
6080.000000 87.152 157.7727
6150.000000 86.935 158.7524
