* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Jan 16, 2025 7:39:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tri Draco L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 92.699 -151.5468
20.600000 92.708 -152.0176
20.900000 92.716 -152.5115
21.200001 92.725 -152.9984
21.400000 92.732 -153.3228
21.799999 92.748 -153.9805
22.000000 92.757 -154.3150
22.400000 92.774 -154.9905
22.700001 92.786 -155.4937
23.000000 92.795 -155.9843
23.299999 92.802 -156.4552
23.600000 92.808 -156.9034
24.000000 92.816 -157.4694
24.299999 92.824 -157.8782
24.700001 92.835 -158.4169
25.000000 92.844 -158.8227
25.400000 92.854 -159.3666
25.799999 92.863 -159.9043
26.200001 92.868 -160.4227
26.500000 92.872 -160.7950
26.900000 92.877 -161.2731
27.200001 92.881 -161.6237
27.600000 92.887 -162.0884
28.000000 92.892 -162.5521
28.500000 92.896 -163.1221
29.000000 92.898 -163.6714
29.500000 92.902 -164.2023
30.000000 92.906 -164.7250
30.400000 92.908 -165.1376
30.700001 92.908 -165.4397
31.100000 92.906 -165.8265
31.500000 92.905 -166.1935
32.000000 92.904 -166.6350
32.500000 92.905 -167.0764
33.000000 92.905 -167.5267
33.500000 92.904 -167.9763
34.000000 92.902 -168.4117
34.500000 92.901 -168.8305
35.000000 92.900 -169.2401
35.500000 92.897 -169.6426
36.000000 92.892 -170.0309
36.500000 92.886 -170.3994
37.000000 92.881 -170.7551
37.500000 92.877 -171.1113
38.200001 92.871 -171.6157
38.700001 92.865 -171.9637
39.500000 92.858 -172.4841
40.000000 92.856 -172.8074
40.599998 92.855 -173.2157
41.200001 92.848 -173.6318
41.799999 92.836 -174.0216
42.500000 92.821 -174.4302
43.099998 92.811 -174.7682
43.700001 92.803 -175.1181
44.400002 92.792 -175.5327
45.000000 92.782 -175.8723
45.500000 92.775 -176.1401
46.200001 92.766 -176.5027
46.799999 92.759 -176.8100
47.500000 92.749 -177.1648
48.200001 92.741 -177.5161
48.700001 92.735 -177.7669
49.400002 92.727 -178.1136
50.000000 92.719 -178.3977
50.799999 92.705 -178.7547
51.500000 92.689 -179.0563
52.200001 92.670 -179.3521
53.000000 92.654 -179.6921
53.799999 92.645 179.9523
54.500000 92.637 179.6562
55.200001 92.628 179.4107
56.000000 92.618 179.1493
57.000000 92.601 178.7291
58.000000 92.573 178.2861
59.000000 92.551 177.9453
60.000000 92.537 177.6071
60.799999 92.520 177.2937
61.500000 92.503 177.0145
62.200001 92.488 176.7485
63.000000 92.474 176.4630
64.000000 92.455 176.1290
65.000000 92.435 175.8064
66.000000 92.415 175.4882
67.000000 92.396 175.1825
68.000000 92.375 174.8806
69.000000 92.353 174.5824
70.000000 92.332 174.3011
71.000000 92.312 174.0244
72.000000 92.294 173.7349
73.000000 92.278 173.4511
74.000000 92.261 173.1862
75.000000 92.240 172.9301
76.199997 92.213 172.6216
77.500000 92.188 172.2881
78.800003 92.162 171.9588
80.000000 92.136 171.6739
81.199997 92.115 171.3976
82.500000 92.089 171.1078
83.800003 92.061 170.8205
85.000000 92.036 170.5343
86.199997 92.011 170.2689
87.500000 91.985 170.0042
88.500000 91.965 169.7971
90.000000 91.935 169.4949
91.199997 91.910 169.2590
92.500000 91.882 168.9957
93.800003 91.856 168.7339
95.000000 91.832 168.5120
96.199997 91.807 168.3055
97.500000 91.780 168.0759
98.800003 91.754 167.8452
100.000000 91.732 167.6424
101.500000 91.702 167.3913
103.000000 91.669 167.1385
104.400002 91.640 166.9073
106.000000 91.610 166.6560
107.500000 91.581 166.4278
109.000000 91.552 166.2012
110.599998 91.519 165.9574
112.000000 91.489 165.7462
113.800003 91.454 165.4794
115.000000 91.432 165.3137
117.199997 91.391 165.0186
118.000000 91.376 164.9153
120.599998 91.325 164.5971
122.000000 91.296 164.3976
124.099998 91.254 164.1211
125.000000 91.237 164.0166
126.500000 91.208 163.8507
128.000000 91.177 163.6843
131.500000 91.108 163.2779
132.000000 91.098 163.2181
134.000000 91.062 162.9857
136.000000 91.024 162.7740
138.000000 90.985 162.5646
140.000000 90.946 162.3619
143.000000 90.889 162.0845
145.000000 90.853 161.9030
147.500000 90.806 161.6654
150.000000 90.759 161.4434
152.500000 90.714 161.2443
155.000000 90.669 161.0493
157.500000 90.623 160.8568
160.000000 90.577 160.6740
162.500000 90.533 160.4982
165.000000 90.487 160.3440
167.500000 90.442 160.2020
170.000000 90.404 160.0556
172.500000 90.373 159.9008
175.000000 90.336 159.7452
177.500000 90.295 159.5881
180.000000 90.254 159.4451
182.500000 90.217 159.2632
185.000000 90.179 159.0786
187.500000 90.139 158.8917
190.000000 90.096 158.7246
192.500000 90.054 158.5876
195.000000 90.013 158.4567
197.500000 89.972 158.3165
200.000000 89.931 158.1840
203.000000 89.881 158.0386
206.000000 89.832 157.8971
209.000000 89.785 157.7672
212.000000 89.737 157.6444
214.000000 89.705 157.5680
218.000000 89.642 157.4178
220.000000 89.611 157.3503
224.000000 89.548 157.2198
227.000000 89.503 157.1216
230.000000 89.459 157.0447
233.000000 89.415 156.9736
236.000000 89.371 156.8956
240.000000 89.314 156.7985
243.000000 89.272 156.7183
247.000000 89.217 156.6066
250.000000 89.176 156.5277
254.000000 89.118 156.4373
258.000000 89.062 156.3598
262.000000 89.006 156.2872
265.000000 88.963 156.2420
269.000000 88.907 156.1882
272.000000 88.865 156.1583
276.000000 88.812 156.1288
280.000000 88.759 156.0941
285.000000 88.694 156.0652
290.000000 88.632 156.0523
295.000000 88.572 156.0229
300.000000 88.514 155.9965
304.000000 88.467 156.0170
307.000000 88.431 156.0320
311.000000 88.384 156.0371
315.000000 88.338 156.0430
320.000000 88.281 156.0571
325.000000 88.226 156.0775
330.000000 88.170 156.1087
335.000000 88.115 156.1644
340.000000 88.062 156.2240
345.000000 88.014 156.2668
350.000000 87.966 156.3096
355.000000 87.918 156.3656
360.000000 87.872 156.4261
365.000000 87.827 156.4839
370.000000 87.782 156.5457
375.000000 87.738 156.6097
382.000000 87.675 156.6953
387.000000 87.632 156.7578
395.000000 87.563 156.8766
400.000000 87.518 156.9539
406.000000 87.467 157.0471
412.000000 87.418 157.1536
418.000000 87.371 157.2676
425.000000 87.313 157.4118
431.000000 87.263 157.5499
437.000000 87.215 157.6865
444.000000 87.162 157.8605
450.000000 87.119 158.0131
455.000000 87.084 158.1450
462.000000 87.034 158.3477
468.000000 86.993 158.5263
475.000000 86.946 158.7384
482.000000 86.899 158.9578
487.000000 86.868 159.1243
494.000000 86.826 159.3650
500.000000 86.791 159.5681
508.000000 86.746 159.8439
515.000000 86.707 160.0954
522.000000 86.669 160.3553
530.000000 86.629 160.6607
538.000000 86.592 160.9708
545.000000 86.560 161.2372
552.000000 86.530 161.5079
560.000000 86.497 161.8405
570.000000 86.458 162.2631
580.000000 86.421 162.6914
590.000000 86.389 163.1248
600.000000 86.360 163.5718
608.000000 86.336 163.9371
615.000000 86.317 164.2619
622.000000 86.300 164.5966
630.000000 86.284 164.9836
640.000000 86.267 165.4767
650.000000 86.253 165.9819
660.000000 86.241 166.4936
670.000000 86.233 167.0019
680.000000 86.228 167.5159
690.000000 86.226 168.0422
700.000000 86.227 168.5740
710.000000 86.233 169.1201
720.000000 86.242 169.6747
730.000000 86.255 170.2133
740.000000 86.270 170.7600
750.000000 86.290 171.3190
762.000000 86.317 171.9907
775.000000 86.354 172.7194
788.000000 86.397 173.4589
800.000000 86.441 174.1425
812.000000 86.492 174.8220
825.000000 86.553 175.5502
838.000000 86.621 176.2714
850.000000 86.692 176.9271
862.000000 86.768 177.5676
875.000000 86.855 178.2559
885.000000 86.927 178.7747
900.000000 87.042 179.5222
912.000000 87.140 -179.9030
925.000000 87.252 -179.3095
938.000000 87.370 -178.7505
950.000000 87.484 -178.2652
962.000000 87.602 -177.8094
975.000000 87.732 -177.3471
988.000000 87.865 -176.9267
1000.000000 87.992 -176.5785
1015.000000 88.153 -176.1961
1030.000000 88.317 -175.8608
1044.000000 88.470 -175.5902
1060.000000 88.647 -175.3423
1075.000000 88.812 -175.1660
1090.000000 88.977 -175.0430
1106.000000 89.150 -174.9597
1120.000000 89.300 -174.9223
1138.000000 89.489 -174.9216
1150.000000 89.613 -174.9515
1172.000000 89.835 -175.0502
1180.000000 89.914 -175.0944
1206.000000 90.162 -175.2654
1220.000000 90.293 -175.3708
1241.000000 90.486 -175.5423
1250.000000 90.568 -175.6213
1265.000000 90.704 -175.7542
1280.000000 90.840 -175.8894
1315.000000 91.155 -176.2388
1320.000000 91.200 -176.2934
1340.000000 91.380 -176.5271
1360.000000 91.561 -176.7911
1380.000000 91.743 -177.0873
1400.000000 91.923 -177.4190
1430.000000 92.191 -177.9870
1450.000000 92.367 -178.4138
1475.000000 92.583 -179.0023
1500.000000 92.794 -179.6418
1525.000000 92.999 179.6623
1550.000000 93.196 178.9182
1575.000000 93.386 178.1349
1600.000000 93.566 177.3147
1625.000000 93.738 176.4602
1650.000000 93.901 175.5771
1675.000000 94.053 174.6688
1700.000000 94.196 173.7442
1725.000000 94.329 172.8102
1750.000000 94.452 171.8707
1775.000000 94.564 170.9315
1800.000000 94.667 169.9995
1825.000000 94.761 169.0818
1850.000000 94.845 168.1808
1875.000000 94.919 167.3025
1900.000000 94.986 166.4519
1925.000000 95.045 165.6300
1950.000000 95.097 164.8420
1975.000000 95.143 164.0910
2000.000000 95.182 163.3785
2030.000000 95.223 162.5759
2060.000000 95.256 161.8325
2090.000000 95.285 161.1537
2120.000000 95.309 160.5351
2140.000000 95.324 160.1559
2180.000000 95.351 159.4788
2200.000000 95.364 159.1786
2240.000000 95.390 158.6498
2270.000000 95.410 158.3107
2300.000000 95.432 158.0128
2330.000000 95.455 157.7485
2360.000000 95.480 157.5158
2400.000000 95.516 157.2549
2430.000000 95.545 157.0945
2470.000000 95.588 156.9198
2500.000000 95.623 156.8092
2540.000000 95.675 156.6822
2580.000000 95.732 156.5719
2620.000000 95.793 156.4700
2650.000000 95.841 156.3950
2690.000000 95.909 156.2922
2720.000000 95.962 156.2089
2760.000000 96.034 156.0838
2800.000000 96.110 155.9397
2850.000000 96.205 155.7261
2900.000000 96.300 155.4670
2950.000000 96.392 155.1603
3000.000000 96.480 154.8008
3040.000000 96.545 154.4765
3070.000000 96.591 154.2137
3110.000000 96.645 153.8414
3150.000000 96.693 153.4488
3200.000000 96.740 152.9366
3250.000000 96.772 152.4179
3300.000000 96.789 151.9105
3350.000000 96.792 151.4336
3400.000000 96.780 151.0065
3450.000000 96.757 150.6480
3500.000000 96.724 150.3734
3550.000000 96.688 150.1854
3600.000000 96.651 150.0735
3650.000000 96.618 150.0106
3700.000000 96.590 149.9567
3750.000000 96.562 149.8752
3820.000000 96.513 149.6885
3870.000000 96.463 149.5227
3950.000000 96.348 149.2834
4000.000000 96.254 149.1987
4060.000000 96.120 149.2102
4120.000000 95.969 149.3795
4180.000000 95.805 149.7265
4250.000000 95.604 150.3718
4310.000000 95.430 151.1375
4370.000000 95.258 152.1003
4440.000000 95.068 153.4682
4500.000000 94.919 154.8406
4550.000000 94.811 156.1127
4620.000000 94.688 158.0516
4680.000000 94.614 159.8067
4750.000000 94.563 161.8869
4820.000000 94.546 163.9326
4870.000000 94.549 165.3481
4940.000000 94.569 167.2640
5000.000000 94.597 168.8631
5080.000000 94.649 170.9607
5150.000000 94.709 172.7672
5220.000000 94.786 174.5412
5300.000000 94.895 176.5091
5380.000000 95.026 178.3821
5450.000000 95.158 179.9195
5520.000000 95.305 -178.6609
5600.000000 95.487 -177.2062
5700.000000 95.729 -175.6655
5800.000000 95.978 -174.4420
5900.000000 96.229 -173.5298
6000.000000 96.479 -172.9591
6080.000000 96.674 -172.7972
6150.000000 96.833 -172.8991
6220.000000 96.972 -173.2302
6300.000000 97.095 -173.8580
