* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Jan 16, 2025 7:42:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tri Draco R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 90.407 -146.9954
20.600000 90.433 -147.4850
20.900000 90.456 -148.0455
21.200001 90.476 -148.6224
21.400000 90.488 -149.0037
21.799999 90.514 -149.7428
22.000000 90.528 -150.1008
22.400000 90.557 -150.8071
22.700001 90.575 -151.3372
23.000000 90.586 -151.8645
23.299999 90.588 -152.3758
23.600000 90.583 -152.8564
24.000000 90.577 -153.4420
24.299999 90.581 -153.8540
24.700001 90.606 -154.4054
25.000000 90.639 -154.8392
25.400000 90.691 -155.4386
25.799999 90.742 -156.0199
26.200001 90.777 -156.5324
26.500000 90.788 -156.8585
26.900000 90.781 -157.2284
27.200001 90.760 -157.4783
27.600000 90.718 -157.8111
28.000000 90.675 -158.1823
28.500000 90.654 -158.7593
29.000000 90.688 -159.4935
29.500000 90.770 -160.3164
30.000000 90.862 -161.0536
30.400000 90.919 -161.4703
30.700001 90.942 -161.6616
31.100000 90.942 -161.7822
31.500000 90.910 -161.8122
32.000000 90.839 -161.8406
32.500000 90.772 -161.9936
33.000000 90.749 -162.4110
33.500000 90.780 -163.1600
34.000000 90.833 -164.1239
34.500000 90.867 -165.0238
35.000000 90.869 -165.6151
35.500000 90.852 -165.8848
36.000000 90.832 -166.0352
36.500000 90.813 -166.2800
37.000000 90.793 -166.6741
37.500000 90.780 -167.1365
38.200001 90.785 -167.7324
38.700001 90.799 -168.0793
39.500000 90.809 -168.5197
40.000000 90.800 -168.7703
40.599998 90.782 -169.0971
41.200001 90.767 -169.4367
41.799999 90.775 -169.7546
42.500000 90.814 -170.1559
43.099998 90.839 -170.5783
43.700001 90.832 -171.0121
44.400002 90.795 -171.4700
45.000000 90.763 -171.9104
45.500000 90.739 -172.3423
46.200001 90.705 -172.8704
46.799999 90.696 -173.0961
47.500000 90.730 -173.2448
48.200001 90.772 -173.5539
48.700001 90.777 -173.8413
49.400002 90.756 -174.1480
50.000000 90.741 -174.3188
50.799999 90.736 -174.6455
51.500000 90.716 -175.0338
52.200001 90.684 -175.3430
53.000000 90.671 -175.6013
53.799999 90.691 -175.9861
54.500000 90.704 -176.4407
55.200001 90.694 -176.7987
56.000000 90.676 -176.9821
57.000000 90.663 -177.2193
58.000000 90.632 -177.6392
59.000000 90.618 -178.1009
60.000000 90.618 -178.6376
60.799999 90.604 -178.9616
61.500000 90.585 -179.1542
62.200001 90.560 -179.3311
63.000000 90.529 -179.4974
64.000000 90.523 -179.6793
65.000000 90.542 -179.9834
66.000000 90.542 179.7160
67.000000 90.527 179.5449
68.000000 90.516 179.2921
69.000000 90.499 178.8423
70.000000 90.473 178.4549
71.000000 90.459 178.1853
72.000000 90.446 177.9056
73.000000 90.430 177.6417
74.000000 90.418 177.3747
75.000000 90.400 177.1160
76.199997 90.382 176.8638
77.500000 90.370 176.5497
78.800003 90.349 176.2265
80.000000 90.330 175.9453
81.199997 90.306 175.6971
82.500000 90.271 175.4605
83.800003 90.242 175.1530
85.000000 90.230 174.8482
86.199997 90.226 174.5762
87.500000 90.212 174.3070
88.500000 90.194 174.0944
90.000000 90.162 173.7851
91.199997 90.142 173.5685
92.500000 90.128 173.3240
93.800003 90.112 173.0463
95.000000 90.091 172.8190
96.199997 90.072 172.6404
97.500000 90.055 172.4509
98.800003 90.037 172.2144
100.000000 90.018 171.9890
101.500000 89.998 171.7554
103.000000 89.973 171.5298
104.400002 89.945 171.3081
106.000000 89.917 171.0640
107.500000 89.894 170.8171
109.000000 89.870 170.5795
110.599998 89.846 170.3615
112.000000 89.825 170.1664
113.800003 89.796 169.9077
115.000000 89.778 169.7463
117.199997 89.744 169.4524
118.000000 89.731 169.3285
120.599998 89.693 168.9607
122.000000 89.669 168.8249
124.099998 89.633 168.5876
125.000000 89.619 168.4833
126.500000 89.596 168.3027
128.000000 89.573 168.1370
131.500000 89.516 167.7740
132.000000 89.508 167.7161
134.000000 89.475 167.4879
136.000000 89.442 167.2664
138.000000 89.414 167.0481
140.000000 89.385 166.8434
143.000000 89.337 166.5676
145.000000 89.308 166.4055
147.500000 89.273 166.1960
150.000000 89.233 165.9699
152.500000 89.193 165.7641
155.000000 89.155 165.5944
157.500000 89.117 165.4376
160.000000 89.082 165.2419
162.500000 89.053 165.0587
165.000000 89.022 164.9200
167.500000 88.983 164.6902
170.000000 88.945 164.4939
172.500000 88.910 164.3137
175.000000 88.874 164.1443
177.500000 88.841 163.9885
180.000000 88.807 163.8315
182.500000 88.765 163.6659
185.000000 88.721 163.5235
187.500000 88.679 163.3845
190.000000 88.642 163.2655
192.500000 88.610 163.1554
195.000000 88.575 163.0565
197.500000 88.540 162.9352
200.000000 88.506 162.7955
203.000000 88.461 162.6598
206.000000 88.418 162.5375
209.000000 88.376 162.4067
212.000000 88.335 162.3215
214.000000 88.307 162.3109
218.000000 88.256 162.1940
220.000000 88.231 162.1037
224.000000 88.193 161.8990
227.000000 88.166 161.7821
230.000000 88.130 161.7086
233.000000 88.093 161.5953
236.000000 88.061 161.4778
240.000000 88.017 161.3363
243.000000 87.976 161.2411
247.000000 87.920 161.1313
250.000000 87.878 161.0412
254.000000 87.825 160.9442
258.000000 87.773 160.8633
262.000000 87.722 160.8006
265.000000 87.687 160.7525
269.000000 87.640 160.6913
272.000000 87.606 160.6508
276.000000 87.561 160.6025
280.000000 87.515 160.5500
285.000000 87.453 160.5106
290.000000 87.396 160.4542
295.000000 87.337 160.4060
300.000000 87.275 160.4199
304.000000 87.229 160.4111
307.000000 87.196 160.4043
311.000000 87.152 160.4059
315.000000 87.108 160.4223
320.000000 87.056 160.4536
325.000000 87.006 160.5051
330.000000 86.956 160.5517
335.000000 86.907 160.5960
340.000000 86.859 160.6512
345.000000 86.812 160.7164
350.000000 86.768 160.7978
355.000000 86.725 160.8921
360.000000 86.684 160.9776
365.000000 86.646 161.0428
370.000000 86.607 161.0992
375.000000 86.568 161.1595
382.000000 86.516 161.2696
387.000000 86.479 161.3483
395.000000 86.419 161.4651
400.000000 86.382 161.5410
406.000000 86.337 161.6461
412.000000 86.291 161.7542
418.000000 86.245 161.8607
425.000000 86.197 162.0078
431.000000 86.157 162.1390
437.000000 86.115 162.2794
444.000000 86.067 162.4480
450.000000 86.027 162.5982
455.000000 85.995 162.7333
462.000000 85.952 162.9336
468.000000 85.916 163.1067
475.000000 85.875 163.3248
482.000000 85.835 163.5509
487.000000 85.807 163.7125
494.000000 85.771 163.9483
500.000000 85.742 164.1523
508.000000 85.703 164.4200
515.000000 85.667 164.6614
522.000000 85.634 164.9094
530.000000 85.601 165.2101
538.000000 85.570 165.5214
545.000000 85.545 165.7909
552.000000 85.521 166.0544
560.000000 85.494 166.3552
570.000000 85.461 166.7527
580.000000 85.430 167.1611
590.000000 85.399 167.5759
600.000000 85.374 168.0159
608.000000 85.355 168.3671
615.000000 85.340 168.6722
622.000000 85.325 168.9862
630.000000 85.310 169.3643
640.000000 85.293 169.8411
650.000000 85.281 170.3281
660.000000 85.271 170.8309
670.000000 85.264 171.3370
680.000000 85.260 171.8402
690.000000 85.259 172.3601
700.000000 85.262 172.8949
710.000000 85.267 173.4365
720.000000 85.275 173.9913
730.000000 85.287 174.5380
740.000000 85.304 175.0910
750.000000 85.324 175.6529
762.000000 85.352 176.3328
775.000000 85.389 177.0793
788.000000 85.431 177.8158
800.000000 85.476 178.5002
812.000000 85.526 179.1907
825.000000 85.588 179.9418
838.000000 85.656 -179.3104
850.000000 85.726 -178.6466
862.000000 85.801 -177.9874
875.000000 85.889 -177.2758
885.000000 85.960 -176.7414
900.000000 86.074 -175.9554
912.000000 86.172 -175.3486
925.000000 86.284 -174.7197
938.000000 86.403 -174.1200
950.000000 86.516 -173.5965
962.000000 86.633 -173.1025
975.000000 86.765 -172.5995
988.000000 86.902 -172.1295
1000.000000 87.030 -171.7291
1015.000000 87.195 -171.2746
1030.000000 87.362 -170.8809
1044.000000 87.520 -170.5621
1060.000000 87.703 -170.2504
1075.000000 87.876 -170.0134
1090.000000 88.048 -169.8282
1106.000000 88.231 -169.6769
1120.000000 88.389 -169.5818
1138.000000 88.592 -169.5102
1150.000000 88.726 -169.4912
1172.000000 88.969 -169.5107
1180.000000 89.057 -169.5354
1206.000000 89.335 -169.6720
1220.000000 89.483 -169.7764
1241.000000 89.700 -169.9688
1250.000000 89.792 -170.0622
1265.000000 89.943 -170.2303
1280.000000 90.093 -170.4140
1315.000000 90.434 -170.9083
1320.000000 90.482 -170.9836
1340.000000 90.672 -171.2985
1360.000000 90.859 -171.6420
1380.000000 91.045 -172.0068
1400.000000 91.227 -172.3930
1430.000000 91.496 -173.0167
1450.000000 91.674 -173.4583
1475.000000 91.893 -174.0397
1500.000000 92.108 -174.6612
1525.000000 92.318 -175.3246
1550.000000 92.524 -176.0272
1575.000000 92.725 -176.7672
1600.000000 92.921 -177.5418
1625.000000 93.111 -178.3513
1650.000000 93.294 -179.1940
1675.000000 93.471 179.9307
1700.000000 93.641 179.0212
1725.000000 93.803 178.0849
1750.000000 93.957 177.1293
1775.000000 94.102 176.1569
1800.000000 94.239 175.1667
1825.000000 94.366 174.1657
1850.000000 94.486 173.1605
1875.000000 94.596 172.1562
1900.000000 94.697 171.1537
1925.000000 94.790 170.1611
1950.000000 94.875 169.1826
1975.000000 94.951 168.2213
2000.000000 95.020 167.2805
2030.000000 95.093 166.1800
2060.000000 95.157 165.1187
2090.000000 95.212 164.0995
2120.000000 95.259 163.1244
2140.000000 95.287 162.5012
2180.000000 95.336 161.3199
2200.000000 95.357 160.7618
2240.000000 95.393 159.7095
2270.000000 95.416 158.9742
2300.000000 95.437 158.2813
2330.000000 95.457 157.6284
2360.000000 95.476 157.0105
2400.000000 95.500 156.2374
2430.000000 95.517 155.6912
2470.000000 95.539 155.0076
2500.000000 95.555 154.5238
2540.000000 95.578 153.9073
2580.000000 95.601 153.3192
2620.000000 95.626 152.7508
2650.000000 95.644 152.3333
2690.000000 95.669 151.7805
2720.000000 95.687 151.3664
2760.000000 95.711 150.8137
2800.000000 95.732 150.2561
2850.000000 95.755 149.5456
2900.000000 95.771 148.8116
2950.000000 95.780 148.0536
3000.000000 95.779 147.2720
3040.000000 95.769 146.6269
3070.000000 95.755 146.1359
3110.000000 95.727 145.4776
3150.000000 95.687 144.8209
3200.000000 95.619 144.0137
3250.000000 95.528 143.2424
3300.000000 95.414 142.5334
3350.000000 95.277 141.9185
3400.000000 95.116 141.4321
3450.000000 94.935 141.1136
3500.000000 94.737 141.0063
3550.000000 94.530 141.1394
3600.000000 94.325 141.5215
3650.000000 94.130 142.1313
3700.000000 93.951 142.9202
3750.000000 93.791 143.8416
3820.000000 93.598 145.3005
3870.000000 93.483 146.4339
3950.000000 93.339 148.3305
4000.000000 93.272 149.5211
4060.000000 93.210 150.9160
4120.000000 93.162 152.2614
4180.000000 93.123 153.5562
4250.000000 93.081 155.0170
4310.000000 93.045 156.2499
4370.000000 93.009 157.4869
4440.000000 92.967 158.9571
4500.000000 92.933 160.2529
4550.000000 92.906 161.3593
4620.000000 92.872 162.9517
4680.000000 92.848 164.3604
4750.000000 92.827 166.0544
4820.000000 92.815 167.8026
4870.000000 92.813 169.0822
4940.000000 92.822 170.9150
5000.000000 92.841 172.5170
5080.000000 92.887 174.6764
5150.000000 92.945 176.5687
5220.000000 93.020 178.4455
5300.000000 93.129 -179.4491
5380.000000 93.261 -177.4105
5450.000000 93.395 -175.7009
5520.000000 93.546 -174.0795
5600.000000 93.737 -172.3581
5700.000000 94.001 -170.4420
5800.000000 94.288 -168.8345
5900.000000 94.590 -167.5914
6000.000000 94.899 -166.7655
6080.000000 95.141 -166.4350
6150.000000 95.342 -166.4028
