* Measurement data measured by REW V5.30
* Source: EXCL: Qudelix 5K (Qudelix-5K USB DAC/MIC 48KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Jul 14, 2024 12:38:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tripowin Mele L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 91.980 -146.8857
20.600000 92.003 -147.6439
20.900000 92.028 -148.3988
21.200001 92.056 -149.1216
21.400000 92.075 -149.6075
21.799999 92.110 -150.6315
22.000000 92.125 -151.1744
22.400000 92.144 -152.2988
22.700001 92.153 -153.1441
23.000000 92.161 -153.9672
23.299999 92.172 -154.7602
23.600000 92.187 -155.5270
24.000000 92.213 -156.5244
24.299999 92.233 -157.2604
24.700001 92.252 -158.2207
25.000000 92.258 -158.9157
25.400000 92.258 -159.7995
25.799999 92.253 -160.6416
26.200001 92.250 -161.4690
26.500000 92.251 -162.0993
26.900000 92.259 -162.9665
27.200001 92.267 -163.6322
27.600000 92.279 -164.5115
28.000000 92.288 -165.3360
28.500000 92.295 -166.2315
29.000000 92.298 -166.9748
29.500000 92.299 -167.6481
30.000000 92.297 -168.3713
30.400000 92.291 -169.0444
30.700001 92.285 -169.6128
31.100000 92.276 -170.4394
31.500000 92.268 -171.3087
32.000000 92.263 -172.3836
32.500000 92.262 -173.3765
33.000000 92.259 -174.2508
33.500000 92.249 -175.0136
34.000000 92.228 -175.7021
34.500000 92.201 -176.3662
35.000000 92.177 -177.0509
35.500000 92.162 -177.7754
36.000000 92.158 -178.5233
36.500000 92.157 -179.2561
37.000000 92.151 -179.9477
37.500000 92.134 179.3953
38.200001 92.090 178.4772
38.700001 92.055 177.7928
39.500000 92.021 176.6573
40.000000 92.021 175.9613
40.599998 92.029 175.1935
41.200001 92.023 174.5196
41.799999 91.987 173.9093
42.500000 91.909 173.2306
43.099998 91.845 172.6696
43.700001 91.824 172.0811
44.400002 91.857 171.2370
45.000000 91.882 170.3960
45.500000 91.870 169.7439
46.200001 91.804 169.0879
46.799999 91.741 168.7066
47.500000 91.692 168.1932
48.200001 91.656 167.4897
48.700001 91.625 166.9773
49.400002 91.584 166.3892
50.000000 91.566 165.9352
50.799999 91.554 165.1512
51.500000 91.520 164.3752
52.200001 91.471 163.7365
53.000000 91.427 163.0812
53.799999 91.389 162.3327
54.500000 91.362 161.7119
55.200001 91.339 161.2219
56.000000 91.283 160.9424
57.000000 91.197 160.9402
58.000000 91.176 160.0566
59.000000 91.119 158.3282
60.000000 91.059 157.3383
60.799999 91.039 156.9655
61.500000 91.008 156.6046
62.200001 90.963 156.1560
63.000000 90.913 155.5486
64.000000 90.849 154.8112
65.000000 90.779 154.2520
66.000000 90.718 153.7226
67.000000 90.669 153.1218
68.000000 90.623 152.5206
69.000000 90.577 151.9366
70.000000 90.529 151.3457
71.000000 90.475 150.7645
72.000000 90.416 150.2168
73.000000 90.362 149.6905
74.000000 90.315 149.1032
75.000000 90.258 148.4968
76.199997 90.185 147.8708
77.500000 90.115 147.2628
78.800003 90.039 146.6548
80.000000 89.962 146.0185
81.199997 89.901 145.4198
82.500000 89.854 144.8203
83.800003 89.785 144.2354
85.000000 89.710 143.7462
86.199997 89.644 143.2539
87.500000 89.574 142.7212
88.500000 89.521 142.3757
90.000000 89.436 141.8339
91.199997 89.363 141.3947
92.500000 89.308 140.8357
93.800003 89.263 140.2549
95.000000 89.208 139.8147
96.199997 89.141 139.4546
97.500000 89.071 139.0045
98.800003 88.996 138.4645
100.000000 88.928 137.9634
101.500000 88.859 137.3974
103.000000 88.794 137.0229
104.400002 88.722 136.6567
106.000000 88.642 136.1595
107.500000 88.577 135.6993
109.000000 88.511 135.2791
110.599998 88.446 134.8542
112.000000 88.381 134.4606
113.800003 88.293 133.9415
115.000000 88.232 133.6058
117.199997 88.101 133.1579
118.000000 88.048 133.0784
120.599998 87.917 132.7323
122.000000 87.893 132.1368
124.099998 87.828 131.4723
125.000000 87.787 131.2683
126.500000 87.715 130.9297
128.000000 87.642 130.5811
131.500000 87.497 129.8105
132.000000 87.477 129.7043
134.000000 87.404 129.2687
136.000000 87.324 128.8489
138.000000 87.238 128.4629
140.000000 87.156 128.0850
143.000000 87.023 127.5516
145.000000 86.947 127.2565
147.500000 86.861 126.8069
150.000000 86.791 126.4790
152.500000 86.694 126.2043
155.000000 86.580 125.8186
157.500000 86.483 125.5474
160.000000 86.376 125.1070
162.500000 86.282 124.8115
165.000000 86.232 124.5881
167.500000 86.167 124.2135
170.000000 86.092 123.8372
172.500000 86.007 123.6420
175.000000 85.908 123.2711
177.500000 85.829 122.9132
180.000000 85.770 122.5403
182.500000 85.691 122.0960
185.000000 85.611 121.8680
187.500000 85.537 121.6666
190.000000 85.450 121.3220
192.500000 85.386 121.0179
195.000000 85.336 120.8230
197.500000 85.273 120.7409
200.000000 85.218 120.5572
203.000000 85.127 120.3288
206.000000 84.997 120.0972
209.000000 84.942 119.7255
212.000000 84.895 119.4471
214.000000 84.842 119.1857
218.000000 84.727 118.8238
220.000000 84.682 118.7229
224.000000 84.587 118.5751
227.000000 84.507 118.2231
230.000000 84.433 117.8351
233.000000 84.362 117.7728
236.000000 84.299 117.7419
240.000000 84.223 117.2173
243.000000 84.144 116.6507
247.000000 84.094 116.7462
250.000000 84.051 116.6688
254.000000 83.969 116.5662
258.000000 83.892 116.4297
262.000000 83.804 116.0877
265.000000 83.737 115.8062
269.000000 83.670 115.6470
272.000000 83.627 115.6566
276.000000 83.565 115.4999
280.000000 83.492 115.2829
285.000000 83.408 114.9887
290.000000 83.328 114.7050
295.000000 83.248 114.5270
300.000000 83.167 114.2550
304.000000 83.104 114.0020
307.000000 83.059 113.8401
311.000000 82.998 113.6749
315.000000 82.942 113.5455
320.000000 82.872 113.3679
325.000000 82.798 113.1513
330.000000 82.729 112.9189
335.000000 82.668 112.7020
340.000000 82.610 112.5404
345.000000 82.549 112.4544
350.000000 82.478 112.3671
355.000000 82.404 112.1919
360.000000 82.344 111.9983
365.000000 82.292 111.8436
370.000000 82.243 111.7000
375.000000 82.194 111.5161
382.000000 82.125 111.3197
387.000000 82.079 111.2057
395.000000 82.005 110.9671
400.000000 81.962 110.8315
406.000000 81.908 110.6808
412.000000 81.855 110.5861
418.000000 81.806 110.4594
425.000000 81.747 110.2388
431.000000 81.703 110.0964
437.000000 81.658 109.9508
444.000000 81.601 109.8367
450.000000 81.553 109.7148
455.000000 81.513 109.5983
462.000000 81.465 109.4697
468.000000 81.432 109.3689
475.000000 81.392 109.2847
482.000000 81.350 109.1777
487.000000 81.321 109.0809
494.000000 81.281 108.9585
500.000000 81.250 108.8946
508.000000 81.211 108.8081
515.000000 81.178 108.7073
522.000000 81.146 108.5931
530.000000 81.111 108.4952
538.000000 81.076 108.4065
545.000000 81.046 108.3199
552.000000 81.016 108.2470
560.000000 80.984 108.1588
570.000000 80.951 108.0746
580.000000 80.925 107.9838
590.000000 80.900 107.9076
600.000000 80.876 107.8604
608.000000 80.856 107.8245
615.000000 80.841 107.8062
622.000000 80.825 107.7769
630.000000 80.808 107.7403
640.000000 80.791 107.6885
650.000000 80.777 107.6661
660.000000 80.765 107.6408
670.000000 80.755 107.6130
680.000000 80.746 107.6011
690.000000 80.740 107.6115
700.000000 80.739 107.6361
710.000000 80.740 107.6799
720.000000 80.741 107.7117
730.000000 80.746 107.7286
740.000000 80.755 107.7575
750.000000 80.764 107.8033
762.000000 80.779 107.8778
775.000000 80.802 107.9492
788.000000 80.828 108.0023
800.000000 80.854 108.0582
812.000000 80.885 108.1322
825.000000 80.917 108.2192
838.000000 80.953 108.3284
850.000000 80.993 108.4641
862.000000 81.044 108.6601
875.000000 81.130 108.8801
885.000000 81.212 108.8927
900.000000 81.317 108.6696
912.000000 81.377 108.4193
925.000000 81.425 108.1578
938.000000 81.462 107.9864
950.000000 81.496 107.9760
962.000000 81.545 108.0813
975.000000 81.618 108.2153
988.000000 81.702 108.3088
1000.000000 81.787 108.3317
1015.000000 81.902 108.2544
1030.000000 82.021 108.1311
1044.000000 82.134 107.9897
1060.000000 82.263 107.7716
1075.000000 82.384 107.5061
1090.000000 82.503 107.2007
1106.000000 82.631 106.8429
1120.000000 82.741 106.5048
1138.000000 82.879 106.0447
1150.000000 82.970 105.7102
1172.000000 83.133 105.0591
1180.000000 83.191 104.8139
1206.000000 83.377 104.0151
1220.000000 83.474 103.5621
1241.000000 83.615 102.8525
1250.000000 83.675 102.5513
1265.000000 83.775 102.0558
1280.000000 83.873 101.5668
1315.000000 84.096 100.4201
1320.000000 84.127 100.2544
1340.000000 84.250 99.6005
1360.000000 84.375 98.9510
1380.000000 84.501 98.3031
1400.000000 84.628 97.6572
1430.000000 84.821 96.6763
1450.000000 84.952 96.0296
1475.000000 85.118 95.2172
1500.000000 85.287 94.3698
1525.000000 85.459 93.4962
1550.000000 85.634 92.6040
1575.000000 85.812 91.6662
1600.000000 85.991 90.6724
1625.000000 86.168 89.6330
1650.000000 86.341 88.5598
1675.000000 86.510 87.4349
1700.000000 86.674 86.2751
1725.000000 86.834 85.0881
1750.000000 86.989 83.8799
1775.000000 87.139 82.6615
1800.000000 87.286 81.4365
1825.000000 87.429 80.2021
1850.000000 87.569 78.9622
1875.000000 87.707 77.7246
1900.000000 87.842 76.4854
1925.000000 87.974 75.2382
1950.000000 88.105 73.9789
1975.000000 88.235 72.7085
2000.000000 88.363 71.4199
2030.000000 88.512 69.8646
2060.000000 88.658 68.2839
2090.000000 88.800 66.6698
2120.000000 88.939 65.0318
2140.000000 89.028 63.9307
2180.000000 89.199 61.6968
2200.000000 89.280 60.5612
2240.000000 89.435 58.2603
2270.000000 89.543 56.5179
2300.000000 89.643 54.7634
2330.000000 89.736 53.0018
2360.000000 89.820 51.2305
2400.000000 89.919 48.8632
2430.000000 89.984 47.0905
2470.000000 90.057 44.7454
2500.000000 90.102 42.9955
2540.000000 90.149 40.6803
2580.000000 90.182 38.4014
2620.000000 90.202 36.1668
2650.000000 90.208 34.5265
2690.000000 90.207 32.3879
2720.000000 90.199 30.8191
2760.000000 90.179 28.7792
2800.000000 90.148 26.8075
2850.000000 90.098 24.4485
2900.000000 90.037 22.2139
2950.000000 89.967 20.1134
3000.000000 89.893 18.1396
3040.000000 89.830 16.6401
3070.000000 89.781 15.5635
3110.000000 89.715 14.1933
3150.000000 89.648 12.8900
3200.000000 89.564 11.3498
3250.000000 89.482 9.9273
3300.000000 89.404 8.6316
3350.000000 89.328 7.4346
3400.000000 89.257 6.3108
3450.000000 89.190 5.2498
3500.000000 89.130 4.2432
3550.000000 89.074 3.2893
3600.000000 89.023 2.3778
3650.000000 88.978 1.5035
3700.000000 88.939 0.6605
3750.000000 88.904 -0.1608
3820.000000 88.861 -1.2844
3870.000000 88.835 -2.0794
3950.000000 88.800 -3.3445
4000.000000 88.781 -4.1386
4060.000000 88.759 -5.1021
4120.000000 88.739 -6.0866
4180.000000 88.718 -7.0900
4250.000000 88.687 -8.2865
4310.000000 88.656 -9.3190
4370.000000 88.618 -10.3583
4440.000000 88.565 -11.5771
4500.000000 88.511 -12.6110
4550.000000 88.461 -13.4676
4620.000000 88.380 -14.6587
4680.000000 88.299 -15.6699
4750.000000 88.190 -16.8336
4820.000000 88.064 -17.9517
4870.000000 87.963 -18.7131
4940.000000 87.806 -19.7352
5000.000000 87.659 -20.5680
5080.000000 87.446 -21.5695
5150.000000 87.248 -22.3086
5220.000000 87.042 -22.9083
5300.000000 86.802 -23.4124
5380.000000 86.559 -23.7300
5450.000000 86.345 -23.8599
5520.000000 86.131 -23.8433
5600.000000 85.884 -23.6257
5700.000000 85.571 -22.8290
5800.000000 85.368 -21.1236
5900.000000 85.381 -20.1617
6000.000000 85.290 -20.5675
6080.000000 85.102 -20.6306
6150.000000 84.912 -20.3236
6220.000000 84.718 -19.7396
6300.000000 84.501 -18.7639
6400.000000 84.252 -17.0894
6500.000000 84.052 -14.9393
