* Measurement data measured by REW V5.30
* Source: EXCL: Qudelix 5K (Qudelix-5K USB DAC/MIC 48KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Jul 14, 2024 12:40:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tripowin Mele R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 91.867 -151.9427
20.600000 91.878 -152.6335
20.900000 91.893 -153.3282
21.200001 91.913 -154.0035
21.400000 91.927 -154.4615
21.799999 91.951 -155.4281
22.000000 91.958 -155.9387
22.400000 91.961 -156.9897
22.700001 91.956 -157.7736
23.000000 91.948 -158.5299
23.299999 91.945 -159.2505
23.600000 91.949 -159.9404
24.000000 91.967 -160.8361
24.299999 91.987 -161.5073
24.700001 92.016 -162.4140
25.000000 92.032 -163.1001
25.400000 92.041 -164.0085
25.799999 92.035 -164.8898
26.200001 92.020 -165.7266
26.500000 92.007 -166.3195
26.900000 91.994 -167.0675
27.200001 91.993 -167.6067
27.600000 92.001 -168.3191
28.000000 92.016 -169.0429
28.500000 92.026 -169.9522
29.000000 92.012 -170.7996
29.500000 91.980 -171.5348
30.000000 91.950 -172.2248
30.400000 91.937 -172.8455
30.700001 91.932 -173.3867
31.100000 91.926 -174.1926
31.500000 91.917 -175.0204
32.000000 91.906 -175.9495
32.500000 91.905 -176.7095
33.000000 91.917 -177.3864
33.500000 91.924 -178.0906
34.000000 91.910 -178.8438
34.500000 91.878 -179.6035
35.000000 91.841 179.6569
35.500000 91.811 178.9315
36.000000 91.787 178.2268
36.500000 91.765 177.5744
37.000000 91.747 176.9874
37.500000 91.736 176.4284
38.200001 91.728 175.5869
38.700001 91.719 174.9271
39.500000 91.687 173.8783
40.000000 91.659 173.2687
40.599998 91.624 172.5379
41.200001 91.583 171.7482
41.799999 91.531 170.9523
42.500000 91.475 170.2062
43.099998 91.456 169.7589
43.700001 91.461 169.3535
44.400002 91.458 168.8141
45.000000 91.427 168.3521
45.500000 91.392 167.9963
46.200001 91.352 167.4398
46.799999 91.330 166.8004
47.500000 91.303 165.9094
48.200001 91.265 165.0781
48.700001 91.235 164.6194
49.400002 91.199 164.1538
50.000000 91.172 163.8028
50.799999 91.134 163.2068
51.500000 91.094 162.5346
52.200001 91.046 161.8507
53.000000 90.987 161.2173
53.799999 90.931 160.6204
54.500000 90.876 159.9610
55.200001 90.833 159.2899
56.000000 90.859 158.6178
57.000000 90.941 157.5713
58.000000 90.848 156.6590
59.000000 90.667 156.3671
60.000000 90.571 155.8474
60.799999 90.532 155.2490
61.500000 90.506 154.8225
62.200001 90.473 154.4608
63.000000 90.421 154.0538
64.000000 90.363 153.4894
65.000000 90.315 152.8522
66.000000 90.262 152.2367
67.000000 90.206 151.6541
68.000000 90.152 151.1334
69.000000 90.099 150.6178
70.000000 90.034 150.0529
71.000000 89.971 149.4953
72.000000 89.919 148.9392
73.000000 89.864 148.4110
74.000000 89.807 147.9436
75.000000 89.749 147.5000
76.199997 89.678 146.9686
77.500000 89.606 146.3757
78.800003 89.535 145.7551
80.000000 89.465 145.2116
81.199997 89.401 144.7253
82.500000 89.341 144.1472
83.800003 89.269 143.5386
85.000000 89.197 143.0340
86.199997 89.127 142.5890
87.500000 89.056 142.1328
88.500000 89.005 141.7953
90.000000 88.933 141.3312
91.199997 88.877 140.9780
92.500000 88.811 140.5098
93.800003 88.747 140.0206
95.000000 88.694 139.5144
96.199997 88.626 138.9828
97.500000 88.545 138.5225
98.800003 88.469 138.2174
100.000000 88.389 137.8965
101.500000 88.291 137.4810
103.000000 88.233 137.0158
104.400002 88.169 136.5887
106.000000 88.102 136.0991
107.500000 88.040 135.6769
109.000000 87.976 135.3214
110.599998 87.898 134.9255
112.000000 87.826 134.6371
113.800003 87.743 134.2934
115.000000 87.693 133.9894
117.199997 87.585 133.3147
118.000000 87.539 133.0153
120.599998 87.404 132.1323
122.000000 87.362 132.0925
124.099998 87.281 131.8547
125.000000 87.242 131.6743
126.500000 87.174 131.3679
128.000000 87.103 131.0740
131.500000 86.947 130.3478
132.000000 86.926 130.2614
134.000000 86.837 129.9397
136.000000 86.749 129.6334
138.000000 86.672 129.3368
140.000000 86.599 129.0367
143.000000 86.470 128.6101
145.000000 86.393 128.3883
147.500000 86.314 128.0475
150.000000 86.258 127.7191
152.500000 86.181 127.4415
155.000000 86.056 127.0348
157.500000 85.950 126.6688
160.000000 85.854 126.4272
162.500000 85.761 126.3223
165.000000 85.696 125.9682
167.500000 85.633 125.6256
170.000000 85.571 125.4221
172.500000 85.508 125.2314
175.000000 85.415 124.8700
177.500000 85.326 124.6448
180.000000 85.242 124.4811
182.500000 85.165 124.2479
185.000000 85.090 123.9389
187.500000 85.024 123.9142
190.000000 84.955 123.8986
192.500000 84.891 123.6546
195.000000 84.830 123.2656
197.500000 84.764 122.8907
200.000000 84.710 122.6921
203.000000 84.649 122.4774
206.000000 84.565 122.2113
209.000000 84.492 121.9796
212.000000 84.411 121.7930
214.000000 84.352 121.6858
218.000000 84.257 121.4091
220.000000 84.216 121.2239
224.000000 84.119 120.9618
227.000000 84.057 120.8327
230.000000 83.983 120.6723
233.000000 83.907 120.4322
236.000000 83.840 120.2784
240.000000 83.746 120.2213
243.000000 83.681 120.3373
247.000000 83.604 119.8894
250.000000 83.543 119.5083
254.000000 83.461 119.2666
258.000000 83.386 119.1279
262.000000 83.312 118.9847
265.000000 83.262 118.8881
269.000000 83.190 118.7380
272.000000 83.134 118.6421
276.000000 83.056 118.5473
280.000000 82.982 118.4593
285.000000 82.904 118.2714
290.000000 82.836 118.1495
295.000000 82.759 118.0912
300.000000 82.693 117.8726
304.000000 82.644 117.6794
307.000000 82.601 117.5909
311.000000 82.544 117.4567
315.000000 82.490 117.3229
320.000000 82.420 117.2000
325.000000 82.353 117.0746
330.000000 82.291 116.9438
335.000000 82.234 116.7944
340.000000 82.176 116.7145
345.000000 82.106 116.6787
350.000000 82.034 116.6095
355.000000 81.974 116.4735
360.000000 81.921 116.2968
365.000000 81.873 116.1717
370.000000 81.827 116.0790
375.000000 81.778 116.0119
382.000000 81.713 115.9427
387.000000 81.672 115.8345
395.000000 81.597 115.6887
400.000000 81.546 115.5572
406.000000 81.496 115.4234
412.000000 81.454 115.3940
418.000000 81.403 115.3511
425.000000 81.346 115.2741
431.000000 81.303 115.2122
437.000000 81.260 115.1725
444.000000 81.211 115.0738
450.000000 81.175 115.0197
455.000000 81.145 115.0084
462.000000 81.103 114.9717
468.000000 81.067 114.9085
475.000000 81.021 114.8344
482.000000 80.980 114.7883
487.000000 80.953 114.7760
494.000000 80.918 114.7634
500.000000 80.888 114.7300
508.000000 80.851 114.6880
515.000000 80.818 114.6604
522.000000 80.785 114.6460
530.000000 80.754 114.6390
538.000000 80.726 114.6254
545.000000 80.699 114.6107
552.000000 80.671 114.6058
560.000000 80.644 114.5822
570.000000 80.616 114.5807
580.000000 80.588 114.6053
590.000000 80.561 114.6252
600.000000 80.535 114.6623
608.000000 80.517 114.6924
615.000000 80.504 114.7088
622.000000 80.493 114.7193
630.000000 80.479 114.7374
640.000000 80.461 114.7835
650.000000 80.447 114.8588
660.000000 80.437 114.9424
670.000000 80.429 115.0157
680.000000 80.423 115.1002
690.000000 80.418 115.1933
700.000000 80.416 115.2991
710.000000 80.415 115.4010
720.000000 80.416 115.5262
730.000000 80.421 115.6592
740.000000 80.428 115.7855
750.000000 80.439 115.8989
762.000000 80.457 116.0847
775.000000 80.486 116.2928
788.000000 80.525 116.4781
800.000000 80.572 116.6034
812.000000 80.618 116.6245
825.000000 80.649 116.5627
838.000000 80.666 116.5837
850.000000 80.684 116.7175
862.000000 80.713 116.9120
875.000000 80.753 117.1396
885.000000 80.788 117.3107
900.000000 80.845 117.5441
912.000000 80.897 117.7213
925.000000 80.957 117.9212
938.000000 81.019 118.1308
950.000000 81.080 118.3572
962.000000 81.146 118.6186
975.000000 81.227 118.9458
988.000000 81.321 119.2919
1000.000000 81.425 119.6116
1015.000000 81.586 119.9651
1030.000000 81.772 120.1422
1044.000000 81.954 120.0831
1060.000000 82.151 119.7837
1075.000000 82.317 119.3633
1090.000000 82.467 118.8800
1106.000000 82.608 118.3558
1120.000000 82.724 117.9076
1138.000000 82.867 117.3333
1150.000000 82.958 116.9632
1172.000000 83.123 116.2974
1180.000000 83.182 116.0564
1206.000000 83.371 115.2960
1220.000000 83.471 114.8973
1241.000000 83.620 114.2867
1250.000000 83.684 114.0222
1265.000000 83.789 113.5852
1280.000000 83.896 113.1384
1315.000000 84.146 112.0609
1320.000000 84.182 111.9034
1340.000000 84.326 111.2797
1360.000000 84.471 110.6552
1380.000000 84.618 109.9965
1400.000000 84.766 109.3184
1430.000000 84.984 108.2532
1450.000000 85.129 107.5190
1475.000000 85.307 106.5570
1500.000000 85.482 105.5560
1525.000000 85.654 104.5203
1550.000000 85.821 103.4573
1575.000000 85.982 102.3760
1600.000000 86.140 101.2777
1625.000000 86.294 100.1641
1650.000000 86.444 99.0492
1675.000000 86.593 97.9299
1700.000000 86.741 96.8059
1725.000000 86.888 95.6864
1750.000000 87.035 94.5704
1775.000000 87.181 93.4478
1800.000000 87.327 92.3223
1825.000000 87.472 91.1872
1850.000000 87.617 90.0365
1875.000000 87.763 88.8696
1900.000000 87.908 87.6863
1925.000000 88.053 86.4825
1950.000000 88.196 85.2523
1975.000000 88.338 83.9929
2000.000000 88.479 82.7054
2030.000000 88.646 81.1216
2060.000000 88.810 79.4999
2090.000000 88.968 77.8378
2120.000000 89.123 76.1328
2140.000000 89.224 74.9755
2180.000000 89.416 72.6226
2200.000000 89.507 71.4233
2240.000000 89.680 68.9903
2270.000000 89.801 67.1371
2300.000000 89.912 65.2619
2330.000000 90.015 63.3791
2360.000000 90.109 61.5015
2400.000000 90.219 59.0001
2430.000000 90.290 57.1164
2470.000000 90.368 54.6092
2500.000000 90.415 52.7416
2540.000000 90.461 50.2679
2580.000000 90.490 47.8337
2620.000000 90.504 45.4497
2650.000000 90.504 43.6993
2690.000000 90.492 41.4280
2720.000000 90.474 39.7733
2760.000000 90.440 37.6342
2800.000000 90.395 35.5849
2850.000000 90.325 33.1529
2900.000000 90.244 30.8643
2950.000000 90.155 28.7113
3000.000000 90.060 26.6954
3040.000000 89.981 25.1816
3070.000000 89.922 24.0999
3110.000000 89.842 22.7256
3150.000000 89.762 21.4271
3200.000000 89.665 19.9043
3250.000000 89.571 18.4817
3300.000000 89.481 17.1527
3350.000000 89.396 15.9098
3400.000000 89.319 14.7420
3450.000000 89.248 13.6384
3500.000000 89.184 12.5930
3550.000000 89.127 11.5750
3600.000000 89.076 10.5647
3650.000000 89.033 9.5803
3700.000000 88.997 8.6292
3750.000000 88.967 7.6953
3820.000000 88.936 6.4009
3870.000000 88.922 5.4729
3950.000000 88.908 3.9702
4000.000000 88.905 3.0103
4060.000000 88.906 1.8318
4120.000000 88.910 0.6150
4180.000000 88.915 -0.6476
4250.000000 88.919 -2.1773
4310.000000 88.920 -3.5385
4370.000000 88.915 -4.9432
4440.000000 88.899 -6.6317
4500.000000 88.875 -8.1102
4550.000000 88.848 -9.3618
4620.000000 88.795 -11.1420
4680.000000 88.735 -12.6863
4750.000000 88.645 -14.4911
4820.000000 88.530 -16.2697
4870.000000 88.434 -17.5062
4940.000000 88.278 -19.1682
5000.000000 88.127 -20.5054
5080.000000 87.902 -22.1396
5150.000000 87.685 -23.4143
5220.000000 87.450 -24.5244
5300.000000 87.165 -25.5742
5380.000000 86.864 -26.3762
5450.000000 86.586 -26.8521
5520.000000 86.291 -27.0772
5600.000000 85.920 -26.8984
5700.000000 85.420 -25.1826
5800.000000 85.277 -20.7292
5900.000000 85.754 -19.0016
6000.000000 85.894 -21.0085
6080.000000 85.750 -21.9220
6150.000000 85.599 -22.0021
6220.000000 85.470 -21.7003
6300.000000 85.361 -21.1238
6400.000000 85.273 -20.2549
6500.000000 85.227 -19.3462
