* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Jan 20, 2025 2:07:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Hola R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 95.125 -145.5703
20.600000 95.136 -146.2526
20.900000 95.147 -146.9783
21.200001 95.159 -147.6967
21.400000 95.169 -148.1705
21.799999 95.189 -149.1009
22.000000 95.200 -149.5537
22.400000 95.222 -150.4268
22.700001 95.237 -151.0527
23.000000 95.251 -151.6595
23.299999 95.263 -152.2563
23.600000 95.271 -152.8519
24.000000 95.277 -153.6554
24.299999 95.278 -154.2678
24.700001 95.276 -155.0943
25.000000 95.275 -155.7166
25.400000 95.277 -156.5404
25.799999 95.283 -157.3482
26.200001 95.292 -158.1308
26.500000 95.300 -158.6956
26.900000 95.308 -159.4098
27.200001 95.311 -159.9096
27.600000 95.310 -160.5226
28.000000 95.305 -161.0837
28.500000 95.301 -161.7611
29.000000 95.301 -162.4904
29.500000 95.299 -163.3098
30.000000 95.289 -164.1628
30.400000 95.276 -164.7987
30.700001 95.268 -165.2240
31.100000 95.262 -165.7266
31.500000 95.263 -166.1894
32.000000 95.268 -166.7747
32.500000 95.268 -167.3940
33.000000 95.258 -168.0253
33.500000 95.246 -168.6470
34.000000 95.238 -169.2667
34.500000 95.230 -169.8908
35.000000 95.216 -170.4921
35.500000 95.194 -171.0316
36.000000 95.169 -171.5069
36.500000 95.145 -171.9648
37.000000 95.127 -172.4604
37.500000 95.111 -173.0078
38.200001 95.092 -173.7914
38.700001 95.080 -174.3073
39.500000 95.064 -175.0609
40.000000 95.050 -175.5292
40.599998 95.022 -176.0998
41.200001 94.989 -176.6473
41.799999 94.962 -177.1450
42.500000 94.946 -177.6689
43.099998 94.940 -178.1029
43.700001 94.929 -178.5724
44.400002 94.891 -179.1886
45.000000 94.836 -179.7031
45.500000 94.787 179.9325
46.200001 94.744 179.4702
46.799999 94.730 179.0076
47.500000 94.713 178.4036
48.200001 94.683 177.8885
48.700001 94.661 177.5924
49.400002 94.630 177.1963
50.000000 94.597 176.8503
50.799999 94.550 176.4378
51.500000 94.522 176.0991
52.200001 94.505 175.6989
53.000000 94.479 175.1597
53.799999 94.437 174.6320
54.500000 94.390 174.2642
55.200001 94.346 173.9885
56.000000 94.304 173.6915
57.000000 94.263 173.2097
58.000000 94.238 172.6143
59.000000 94.218 172.0238
60.000000 94.164 171.6297
60.799999 94.100 171.4510
61.500000 94.047 171.2286
62.200001 94.000 170.8684
63.000000 93.958 170.3865
64.000000 93.920 169.8884
65.000000 93.879 169.5457
66.000000 93.825 169.3357
67.000000 93.786 169.1147
68.000000 93.751 168.7183
69.000000 93.687 168.3184
70.000000 93.611 168.0367
71.000000 93.545 167.7520
72.000000 93.498 167.4192
73.000000 93.464 167.0353
74.000000 93.421 166.6863
75.000000 93.373 166.4307
76.199997 93.318 166.1584
77.500000 93.267 165.8524
78.800003 93.216 165.5106
80.000000 93.162 165.1601
81.199997 93.101 164.9564
82.500000 93.043 164.7736
83.800003 92.971 164.3768
85.000000 92.914 164.0511
86.199997 92.868 163.8198
87.500000 92.805 163.6933
88.500000 92.760 163.5914
90.000000 92.702 163.2908
91.199997 92.647 163.0872
92.500000 92.589 162.9831
93.800003 92.534 162.8231
95.000000 92.484 162.6251
96.199997 92.431 162.4732
97.500000 92.376 162.3930
98.800003 92.327 162.2887
100.000000 92.275 162.1353
101.500000 92.207 161.8766
103.000000 92.147 161.6497
104.400002 92.090 161.5728
106.000000 92.021 161.4586
107.500000 91.964 161.3187
109.000000 91.907 161.2095
110.599998 91.843 161.0903
112.000000 91.789 161.0062
113.800003 91.724 160.9291
115.000000 91.681 160.8760
117.199997 91.604 160.7957
118.000000 91.580 160.7673
120.599998 91.499 160.6515
122.000000 91.441 160.5891
124.099998 91.360 160.5210
125.000000 91.329 160.4914
126.500000 91.278 160.4385
128.000000 91.226 160.3991
131.500000 91.111 160.3564
132.000000 91.095 160.3498
134.000000 91.030 160.3233
136.000000 90.967 160.3101
138.000000 90.904 160.3339
140.000000 90.838 160.3351
143.000000 90.750 160.2935
145.000000 90.698 160.2771
147.500000 90.624 160.2669
150.000000 90.543 160.2589
152.500000 90.481 160.3777
155.000000 90.415 160.4673
157.500000 90.346 160.5069
160.000000 90.284 160.6168
162.500000 90.218 160.7139
165.000000 90.151 160.8008
167.500000 90.083 160.8852
170.000000 90.016 161.0099
172.500000 89.948 161.2059
175.000000 89.876 161.3755
177.500000 89.818 161.5201
180.000000 89.767 161.8149
182.500000 89.731 162.1589
185.000000 89.708 162.3053
187.500000 89.690 162.4266
190.000000 89.671 162.5515
192.500000 89.644 162.5917
195.000000 89.591 162.6000
197.500000 89.529 162.6669
200.000000 89.483 162.7010
203.000000 89.430 162.7775
206.000000 89.370 162.9171
209.000000 89.309 163.0822
212.000000 89.250 163.2803
214.000000 89.211 163.3840
218.000000 89.146 163.5640
220.000000 89.110 163.6214
224.000000 89.035 163.7740
227.000000 88.993 164.1346
230.000000 88.957 164.4977
233.000000 88.924 164.8374
236.000000 88.883 165.1984
240.000000 88.818 165.5433
243.000000 88.806 165.6021
247.000000 88.796 165.7681
250.000000 88.767 165.9224
254.000000 88.721 166.1145
258.000000 88.676 166.2529
262.000000 88.630 166.3613
265.000000 88.594 166.5065
269.000000 88.549 166.7983
272.000000 88.521 166.9949
276.000000 88.480 167.1990
280.000000 88.441 167.4172
285.000000 88.393 167.7020
290.000000 88.343 167.9568
295.000000 88.300 168.2953
300.000000 88.245 168.6266
304.000000 88.213 168.9076
307.000000 88.194 169.1659
311.000000 88.156 169.3744
315.000000 88.112 169.5744
320.000000 88.080 169.9653
325.000000 88.061 170.3361
330.000000 88.038 170.6879
335.000000 88.007 170.9735
340.000000 87.975 171.2526
345.000000 87.936 171.5073
350.000000 87.882 171.7818
355.000000 87.842 172.0359
360.000000 87.820 172.3252
365.000000 87.805 172.6487
370.000000 87.788 172.9323
375.000000 87.763 173.2253
382.000000 87.714 173.7458
387.000000 87.688 174.1588
395.000000 87.654 174.5601
400.000000 87.626 174.8331
406.000000 87.599 175.2188
412.000000 87.578 175.5880
418.000000 87.549 175.9300
425.000000 87.521 176.2962
431.000000 87.502 176.6593
437.000000 87.483 177.0146
444.000000 87.462 177.4105
450.000000 87.447 177.7357
455.000000 87.436 178.0091
462.000000 87.415 178.4328
468.000000 87.393 178.7720
475.000000 87.369 179.1767
482.000000 87.352 179.6151
487.000000 87.342 179.8924
494.000000 87.325 -179.7307
500.000000 87.308 -179.4039
508.000000 87.291 -178.9665
515.000000 87.280 -178.5677
522.000000 87.269 -178.1761
530.000000 87.255 -177.7395
538.000000 87.241 -177.2906
545.000000 87.229 -176.8681
552.000000 87.218 -176.4500
560.000000 87.206 -176.0175
570.000000 87.192 -175.4832
580.000000 87.179 -174.9166
590.000000 87.170 -174.3472
600.000000 87.162 -173.7746
608.000000 87.155 -173.3179
615.000000 87.151 -172.9254
622.000000 87.148 -172.5352
630.000000 87.145 -172.0829
640.000000 87.141 -171.5063
650.000000 87.140 -170.9191
660.000000 87.141 -170.3505
670.000000 87.143 -169.8023
680.000000 87.148 -169.2427
690.000000 87.157 -168.6580
700.000000 87.163 -168.0844
710.000000 87.170 -167.4967
720.000000 87.180 -166.8856
730.000000 87.194 -166.2977
740.000000 87.209 -165.7189
750.000000 87.226 -165.1458
762.000000 87.249 -164.4517
775.000000 87.279 -163.6795
788.000000 87.310 -162.8913
800.000000 87.340 -162.1834
812.000000 87.378 -161.4796
825.000000 87.423 -160.7242
838.000000 87.471 -159.9782
850.000000 87.520 -159.3045
862.000000 87.573 -158.6341
875.000000 87.635 -157.9151
885.000000 87.687 -157.3661
900.000000 87.769 -156.5533
912.000000 87.839 -155.9205
925.000000 87.918 -155.2702
938.000000 88.001 -154.6464
950.000000 88.081 -154.0855
962.000000 88.163 -153.5451
975.000000 88.254 -153.0007
988.000000 88.347 -152.4873
1000.000000 88.437 -152.0374
1015.000000 88.554 -151.5062
1030.000000 88.670 -151.0372
1044.000000 88.780 -150.6467
1060.000000 88.907 -150.2381
1075.000000 89.024 -149.8949
1090.000000 89.139 -149.5932
1106.000000 89.259 -149.3169
1120.000000 89.364 -149.1075
1138.000000 89.498 -148.8794
1150.000000 89.584 -148.7468
1172.000000 89.737 -148.5546
1180.000000 89.792 -148.4953
1206.000000 89.964 -148.3471
1220.000000 90.053 -148.2878
1241.000000 90.180 -148.2278
1250.000000 90.233 -148.2055
1265.000000 90.321 -148.1753
1280.000000 90.406 -148.1582
1315.000000 90.597 -148.1521
1320.000000 90.623 -148.1520
1340.000000 90.727 -148.1440
1360.000000 90.828 -148.1459
1380.000000 90.927 -148.1700
1400.000000 91.024 -148.2059
1430.000000 91.165 -148.2640
1450.000000 91.256 -148.3145
1475.000000 91.367 -148.3971
1500.000000 91.475 -148.4855
1525.000000 91.580 -148.5817
1550.000000 91.683 -148.6852
1575.000000 91.782 -148.7946
1600.000000 91.879 -148.9092
1625.000000 91.973 -149.0227
1650.000000 92.066 -149.1375
1675.000000 92.157 -149.2581
1700.000000 92.245 -149.3826
1725.000000 92.334 -149.5107
1750.000000 92.421 -149.6373
1775.000000 92.508 -149.7696
1800.000000 92.594 -149.9103
1825.000000 92.680 -150.0576
1850.000000 92.766 -150.2080
1875.000000 92.850 -150.3671
1900.000000 92.934 -150.5379
1925.000000 93.018 -150.7186
1950.000000 93.101 -150.9054
1975.000000 93.183 -151.1006
2000.000000 93.265 -151.3113
2030.000000 93.361 -151.5834
2060.000000 93.456 -151.8721
2090.000000 93.550 -152.1732
2120.000000 93.643 -152.4863
2140.000000 93.703 -152.7064
2180.000000 93.821 -153.1737
2200.000000 93.879 -153.4162
2240.000000 93.993 -153.9206
2270.000000 94.074 -154.3198
2300.000000 94.154 -154.7370
2330.000000 94.230 -155.1662
2360.000000 94.305 -155.6049
2400.000000 94.400 -156.2082
2430.000000 94.468 -156.6751
2470.000000 94.553 -157.3164
2500.000000 94.614 -157.8079
2540.000000 94.689 -158.4702
2580.000000 94.759 -159.1443
2620.000000 94.824 -159.8325
2650.000000 94.869 -160.3553
2690.000000 94.924 -161.0521
2720.000000 94.962 -161.5735
2760.000000 95.008 -162.2708
2800.000000 95.048 -162.9709
2850.000000 95.091 -163.8407
2900.000000 95.126 -164.6943
2950.000000 95.154 -165.5380
3000.000000 95.173 -166.3671
3040.000000 95.185 -167.0149
3070.000000 95.191 -167.4916
3110.000000 95.194 -168.1169
3150.000000 95.192 -168.7250
3200.000000 95.182 -169.4381
3250.000000 95.168 -170.0743
3300.000000 95.153 -170.6253
3350.000000 95.144 -171.0996
3400.000000 95.149 -171.5309
3450.000000 95.169 -171.9829
3500.000000 95.198 -172.5136
3550.000000 95.226 -173.1424
3600.000000 95.248 -173.8456
3650.000000 95.259 -174.5816
3700.000000 95.263 -175.3222
3750.000000 95.260 -176.0555
3820.000000 95.248 -177.0774
3870.000000 95.235 -177.8041
3950.000000 95.209 -178.9652
4000.000000 95.190 -179.6969
4060.000000 95.163 179.4074
4120.000000 95.129 178.4869
4180.000000 95.090 177.5464
4250.000000 95.033 176.4189
4310.000000 94.973 175.4181
4370.000000 94.898 174.4026
4440.000000 94.790 173.2329
4500.000000 94.679 172.2836
4550.000000 94.574 171.5599
4620.000000 94.417 170.6728
4680.000000 94.282 170.0218
4750.000000 94.128 169.3438
4820.000000 93.974 168.7000
4870.000000 93.862 168.2515
4940.000000 93.701 167.6503
5000.000000 93.556 167.1727
5080.000000 93.354 166.6071
5150.000000 93.168 166.1909
5220.000000 92.976 165.8602
5300.000000 92.752 165.6058
5380.000000 92.525 165.4900
5450.000000 92.326 165.4973
5520.000000 92.129 165.6023
5600.000000 91.909 165.8455
5700.000000 91.645 166.3312
5800.000000 91.398 166.9994
