* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Nov 14, 2024 11:06:01 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Red (50ohm) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.522 -136.0513
20.600000 86.564 -136.9217
20.900000 86.609 -137.8371
21.200001 86.652 -138.7338
21.400000 86.678 -139.3213
21.799999 86.728 -140.4710
22.000000 86.752 -141.0320
22.400000 86.802 -142.1307
22.700001 86.843 -142.9501
23.000000 86.889 -143.7877
23.299999 86.936 -144.6607
23.600000 86.981 -145.5739
24.000000 87.030 -146.8292
24.299999 87.054 -147.7633
24.700001 87.073 -148.9474
25.000000 87.083 -149.7748
25.400000 87.097 -150.8158
25.799999 87.118 -151.8362
26.200001 87.142 -152.8794
26.500000 87.160 -153.6782
26.900000 87.180 -154.7367
27.200001 87.193 -155.5015
27.600000 87.211 -156.4615
28.000000 87.230 -157.3567
28.500000 87.254 -158.4143
29.000000 87.273 -159.4329
29.500000 87.288 -160.4319
30.000000 87.302 -161.4426
30.400000 87.313 -162.2811
30.700001 87.319 -162.9265
31.100000 87.322 -163.7883
31.500000 87.320 -164.6207
32.000000 87.315 -165.5950
32.500000 87.311 -166.5201
33.000000 87.306 -167.4406
33.500000 87.299 -168.3657
34.000000 87.296 -169.2843
34.500000 87.305 -170.2201
35.000000 87.323 -171.2212
35.500000 87.334 -172.2799
36.000000 87.328 -173.3031
36.500000 87.310 -174.1932
37.000000 87.295 -174.9509
37.500000 87.293 -175.6753
38.200001 87.295 -176.7867
38.700001 87.285 -177.6264
39.500000 87.252 -178.8954
40.000000 87.234 -179.6419
40.599998 87.220 179.4409
41.200001 87.208 178.4883
41.799999 87.190 177.5687
42.500000 87.164 176.6096
43.099998 87.134 175.8486
43.700001 87.086 175.0994
44.400002 87.013 174.2793
45.000000 86.966 173.6227
45.500000 86.953 173.0133
46.200001 86.954 171.9381
46.799999 86.934 170.9140
47.500000 86.884 169.8644
48.200001 86.837 169.0154
48.700001 86.817 168.4505
49.400002 86.799 167.6469
50.000000 86.785 166.9109
50.799999 86.735 165.8214
51.500000 86.650 164.8943
52.200001 86.561 164.1630
53.000000 86.503 163.4797
53.799999 86.474 162.7264
54.500000 86.435 161.9329
55.200001 86.367 161.0695
56.000000 86.276 160.2324
57.000000 86.211 159.4321
58.000000 86.120 158.4292
59.000000 85.949 157.6392
60.000000 85.903 156.8012
60.799999 85.921 155.6936
61.500000 85.898 154.8732
62.200001 85.853 154.4007
63.000000 85.799 153.9190
64.000000 85.710 153.0291
65.000000 85.617 152.1533
66.000000 85.535 151.3577
67.000000 85.446 150.5945
68.000000 85.374 149.8460
69.000000 85.302 149.0278
70.000000 85.197 148.2901
71.000000 85.092 147.6231
72.000000 85.006 146.8730
73.000000 84.919 146.1284
74.000000 84.825 145.4584
75.000000 84.734 144.8176
76.199997 84.631 144.0431
77.500000 84.501 143.2457
78.800003 84.377 142.4054
80.000000 84.257 141.6143
81.199997 84.115 140.9249
82.500000 83.965 140.0823
83.800003 83.867 139.4129
85.000000 83.795 138.9605
86.199997 83.679 138.4409
87.500000 83.536 137.8010
88.500000 83.435 137.3282
90.000000 83.274 136.7250
91.199997 83.154 136.3219
92.500000 83.053 135.8157
93.800003 82.958 135.1916
95.000000 82.855 134.5674
96.199997 82.734 134.0072
97.500000 82.612 133.6114
98.800003 82.479 133.2780
100.000000 82.298 132.8317
101.500000 82.090 132.1370
103.000000 81.993 131.6851
104.400002 81.906 131.5027
106.000000 81.743 131.3107
107.500000 81.581 130.9229
109.000000 81.451 130.5139
110.599998 81.314 130.0357
112.000000 81.171 129.7147
113.800003 80.986 129.5095
115.000000 80.867 129.3070
117.199997 80.653 128.8438
118.000000 80.576 128.7449
120.599998 80.351 128.3117
122.000000 80.227 128.0866
124.099998 80.029 127.9808
125.000000 79.945 127.9760
126.500000 79.808 127.9327
128.000000 79.669 127.8880
131.500000 79.373 127.6684
132.000000 79.329 127.6402
134.000000 79.144 127.6129
136.000000 78.958 127.5163
138.000000 78.783 127.4782
140.000000 78.617 127.5228
143.000000 78.403 127.7360
145.000000 78.261 127.8927
147.500000 78.070 128.0493
150.000000 77.860 127.9238
152.500000 77.696 128.0042
155.000000 77.474 128.5315
157.500000 77.285 128.9219
160.000000 77.188 129.3543
162.500000 77.008 129.8864
165.000000 76.746 130.3831
167.500000 76.594 130.8807
170.000000 76.439 131.1524
172.500000 76.245 131.2741
175.000000 76.066 131.8924
177.500000 75.884 132.0777
180.000000 75.747 132.7540
182.500000 75.704 133.5826
185.000000 75.533 134.4380
187.500000 75.435 135.6279
190.000000 75.403 135.8865
192.500000 75.266 135.8869
195.000000 75.093 136.3410
197.500000 74.986 136.9940
200.000000 74.966 137.6096
203.000000 74.935 138.5180
206.000000 74.833 138.9197
209.000000 74.703 139.6960
212.000000 74.564 140.6369
214.000000 74.476 141.1640
218.000000 74.369 142.6482
220.000000 74.346 143.4011
224.000000 74.227 144.4177
227.000000 74.124 145.0193
230.000000 74.089 145.5970
233.000000 74.095 146.0395
236.000000 74.118 146.2091
240.000000 74.120 147.4329
243.000000 74.040 148.5519
247.000000 73.844 149.1703
250.000000 73.779 149.7987
254.000000 73.759 150.7907
258.000000 73.752 151.4366
262.000000 73.740 151.4693
265.000000 73.719 151.3692
269.000000 73.711 151.7570
272.000000 73.717 152.4879
276.000000 73.709 153.5241
280.000000 73.659 154.1490
285.000000 73.587 154.7615
290.000000 73.577 155.3530
295.000000 73.547 156.0247
300.000000 73.501 156.3248
304.000000 73.456 156.6363
307.000000 73.447 157.0935
311.000000 73.453 157.6556
315.000000 73.443 157.9375
320.000000 73.393 158.4725
325.000000 73.344 159.0312
330.000000 73.319 159.2706
335.000000 73.298 159.4793
340.000000 73.293 160.0300
345.000000 73.277 160.5845
350.000000 73.237 161.1364
355.000000 73.185 161.8421
360.000000 73.168 161.9965
365.000000 73.182 162.2010
370.000000 73.189 162.6703
375.000000 73.179 163.1194
382.000000 73.127 163.7626
387.000000 73.105 164.1462
395.000000 73.088 164.5785
400.000000 73.066 164.9307
406.000000 73.043 165.4219
412.000000 73.030 165.7432
418.000000 73.017 166.1340
425.000000 73.000 166.4789
431.000000 72.977 166.8380
437.000000 72.953 167.1802
444.000000 72.921 167.5775
450.000000 72.896 167.9301
455.000000 72.879 168.2225
462.000000 72.852 168.6614
468.000000 72.837 168.9932
475.000000 72.822 169.4568
482.000000 72.790 169.9362
487.000000 72.770 170.2496
494.000000 72.753 170.6714
500.000000 72.746 171.0443
508.000000 72.738 171.5107
515.000000 72.729 171.8334
522.000000 72.717 172.1630
530.000000 72.690 172.6054
538.000000 72.661 173.0949
545.000000 72.644 173.5358
552.000000 72.629 173.9016
560.000000 72.611 174.3512
570.000000 72.594 174.9437
580.000000 72.577 175.5027
590.000000 72.547 176.0751
600.000000 72.515 176.7006
608.000000 72.505 177.1304
615.000000 72.507 177.4613
622.000000 72.503 177.7889
630.000000 72.488 178.2426
640.000000 72.474 178.8399
650.000000 72.465 179.3485
660.000000 72.451 179.8864
670.000000 72.435 -179.5116
680.000000 72.433 -178.9044
690.000000 72.435 -178.3550
700.000000 72.430 -177.8209
710.000000 72.426 -177.2262
720.000000 72.427 -176.6024
730.000000 72.422 -176.0549
740.000000 72.416 -175.5366
750.000000 72.416 -174.9093
762.000000 72.423 -174.1849
775.000000 72.441 -173.4453
788.000000 72.463 -172.6911
800.000000 72.485 -171.9790
812.000000 72.504 -171.2778
825.000000 72.532 -170.5099
838.000000 72.567 -169.7583
850.000000 72.598 -169.0740
862.000000 72.631 -168.3815
875.000000 72.677 -167.6466
885.000000 72.717 -167.1035
900.000000 72.783 -166.3314
912.000000 72.837 -165.7252
925.000000 72.902 -165.0417
938.000000 72.970 -164.4040
950.000000 73.032 -163.8459
962.000000 73.098 -163.3176
975.000000 73.173 -162.7880
988.000000 73.250 -162.3021
1000.000000 73.323 -161.8522
1015.000000 73.418 -161.3143
1030.000000 73.513 -160.8080
1044.000000 73.599 -160.3903
1060.000000 73.697 -159.9791
1075.000000 73.791 -159.6155
1090.000000 73.883 -159.3001
1106.000000 73.977 -159.0560
1120.000000 74.056 -158.8401
1138.000000 74.154 -158.5734
1150.000000 74.218 -158.4249
1172.000000 74.331 -158.1826
1180.000000 74.371 -158.1003
1206.000000 74.497 -157.8600
1220.000000 74.563 -157.7467
1241.000000 74.653 -157.5498
1250.000000 74.689 -157.4650
1265.000000 74.747 -157.3349
1280.000000 74.805 -157.2036
1315.000000 74.930 -156.8885
1320.000000 74.948 -156.8356
1340.000000 75.020 -156.6017
1360.000000 75.096 -156.3811
1380.000000 75.171 -156.1659
1400.000000 75.246 -155.9459
1430.000000 75.367 -155.6136
1450.000000 75.450 -155.4192
1475.000000 75.555 -155.2155
1500.000000 75.661 -155.0393
1525.000000 75.772 -154.9208
1550.000000 75.879 -154.8424
1575.000000 75.979 -154.7900
1600.000000 76.079 -154.7814
1625.000000 76.173 -154.7815
1650.000000 76.259 -154.7812
1675.000000 76.338 -154.7877
1700.000000 76.417 -154.7851
1725.000000 76.494 -154.7831
1750.000000 76.568 -154.7511
1775.000000 76.642 -154.7195
1800.000000 76.715 -154.6804
1825.000000 76.788 -154.6366
1850.000000 76.862 -154.5867
1875.000000 76.937 -154.5336
1900.000000 77.013 -154.4742
1925.000000 77.089 -154.4161
1950.000000 77.166 -154.3693
1975.000000 77.247 -154.3222
2000.000000 77.329 -154.2813
2030.000000 77.428 -154.2479
2060.000000 77.530 -154.2032
2090.000000 77.632 -154.1781
2120.000000 77.737 -154.1871
2140.000000 77.808 -154.2120
2180.000000 77.952 -154.2826
2200.000000 78.025 -154.3215
2240.000000 78.169 -154.4203
2270.000000 78.277 -154.5298
2300.000000 78.387 -154.6686
2330.000000 78.498 -154.8413
2360.000000 78.608 -155.0387
2400.000000 78.754 -155.3322
2430.000000 78.863 -155.5772
2470.000000 79.007 -155.9413
2500.000000 79.115 -156.2341
2540.000000 79.257 -156.6744
2580.000000 79.396 -157.1614
2620.000000 79.535 -157.6943
2650.000000 79.636 -158.1225
2690.000000 79.766 -158.7283
2720.000000 79.862 -159.2116
2760.000000 79.989 -159.8850
2800.000000 80.109 -160.6076
2850.000000 80.254 -161.5882
2900.000000 80.390 -162.6320
2950.000000 80.517 -163.7458
3000.000000 80.631 -164.9033
3040.000000 80.712 -165.8559
3070.000000 80.767 -166.5924
3110.000000 80.835 -167.5921
3150.000000 80.893 -168.6108
3200.000000 80.953 -169.9023
3250.000000 81.000 -171.1969
3300.000000 81.033 -172.4907
3350.000000 81.054 -173.7802
3400.000000 81.064 -175.0601
3450.000000 81.063 -176.3248
3500.000000 81.050 -177.5718
3550.000000 81.026 -178.7888
3600.000000 80.993 -179.9672
3650.000000 80.950 178.8930
3700.000000 80.897 177.7889
3750.000000 80.837 176.7179
3820.000000 80.742 175.2970
3870.000000 80.667 174.3300
3950.000000 80.535 172.8800
4000.000000 80.448 172.0348
4060.000000 80.337 171.0630
4120.000000 80.221 170.1503
4180.000000 80.100 169.2966
4250.000000 79.955 168.3742
4310.000000 79.830 167.6543
4370.000000 79.700 166.9930
4440.000000 79.546 166.2882
4500.000000 79.411 165.7400
4550.000000 79.298 165.3277
4620.000000 79.143 164.8056
4680.000000 79.008 164.3904
4750.000000 78.849 163.9691
4820.000000 78.691 163.6396
4870.000000 78.580 163.4454
4940.000000 78.426 163.2193
5000.000000 78.295 163.0750
5080.000000 78.123 162.9418
5150.000000 77.977 162.8767
5220.000000 77.835 162.8546
5300.000000 77.673 162.8695
5380.000000 77.512 162.9552
5450.000000 77.373 163.1176
5520.000000 77.238 163.3654
5600.000000 77.091 163.7325
5700.000000 76.925 164.3061
5800.000000 76.782 164.9948
5900.000000 76.663 165.7827
6000.000000 76.567 166.6483
