* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Nov 14, 2024 11:00:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Zero Red L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 90.285 -129.7876
20.600000 90.331 -130.5488
20.900000 90.384 -131.3696
21.200001 90.439 -132.2020
21.400000 90.476 -132.7645
21.799999 90.543 -133.8995
22.000000 90.573 -134.4627
22.400000 90.621 -135.5536
22.700001 90.650 -136.3270
23.000000 90.676 -137.0628
23.299999 90.703 -137.7743
23.600000 90.731 -138.4790
24.000000 90.772 -139.4308
24.299999 90.804 -140.1566
24.700001 90.848 -141.1251
25.000000 90.881 -141.8378
25.400000 90.926 -142.7590
25.799999 90.973 -143.6530
26.200001 91.017 -144.5345
26.500000 91.047 -145.1911
26.900000 91.078 -146.0532
27.200001 91.096 -146.6810
27.600000 91.116 -147.4855
28.000000 91.134 -148.2583
28.500000 91.160 -149.2050
29.000000 91.185 -150.1513
29.500000 91.208 -151.0913
30.000000 91.228 -152.0061
30.400000 91.243 -152.7132
30.700001 91.254 -153.2283
31.100000 91.269 -153.8933
31.500000 91.283 -154.5317
32.000000 91.301 -155.2976
32.500000 91.319 -156.0521
33.000000 91.333 -156.8248
33.500000 91.341 -157.6198
34.000000 91.344 -158.4146
34.500000 91.348 -159.1918
35.000000 91.357 -159.9613
35.500000 91.367 -160.7386
36.000000 91.371 -161.5111
36.500000 91.365 -162.2404
37.000000 91.355 -162.9074
37.500000 91.351 -163.5438
38.200001 91.359 -164.4855
38.700001 91.365 -165.2041
39.500000 91.363 -166.2856
40.000000 91.355 -166.8629
40.599998 91.343 -167.5094
41.200001 91.327 -168.1963
41.799999 91.308 -168.9497
42.500000 91.295 -169.8632
43.099998 91.296 -170.6255
43.700001 91.298 -171.3164
44.400002 91.286 -171.9731
45.000000 91.264 -172.4491
45.500000 91.243 -172.8733
46.200001 91.211 -173.5990
46.799999 91.187 -174.2849
47.500000 91.177 -175.0206
48.200001 91.184 -175.6837
48.700001 91.181 -176.1549
49.400002 91.145 -176.7845
50.000000 91.099 -177.2388
50.799999 91.062 -177.8195
51.500000 91.058 -178.4895
52.200001 91.040 -179.2534
53.000000 90.996 -179.9821
53.799999 90.962 179.4135
54.500000 90.942 178.8445
55.200001 90.920 178.2700
56.000000 90.891 177.6535
57.000000 90.850 176.9134
58.000000 90.837 176.2754
59.000000 90.860 175.4948
60.000000 90.808 174.6125
60.799999 90.717 174.1032
61.500000 90.650 173.7143
62.200001 90.603 173.2742
63.000000 90.562 172.7675
64.000000 90.516 172.2109
65.000000 90.465 171.6229
66.000000 90.412 170.9687
67.000000 90.364 170.3502
68.000000 90.311 169.7954
69.000000 90.247 169.2493
70.000000 90.185 168.7109
71.000000 90.133 168.1875
72.000000 90.088 167.6506
73.000000 90.040 167.1113
74.000000 89.986 166.6178
75.000000 89.927 166.1653
76.199997 89.853 165.6083
77.500000 89.775 165.0139
78.800003 89.698 164.4790
80.000000 89.623 163.9189
81.199997 89.542 163.3953
82.500000 89.461 163.0053
83.800003 89.387 162.5509
85.000000 89.313 162.0084
86.199997 89.231 161.5284
87.500000 89.140 161.1418
88.500000 89.079 160.8619
90.000000 88.993 160.4292
91.199997 88.924 160.0941
92.500000 88.846 159.7083
93.800003 88.766 159.3544
95.000000 88.694 159.0176
96.199997 88.619 158.6684
97.500000 88.535 158.3090
98.800003 88.443 158.0338
100.000000 88.340 157.8773
101.500000 88.215 157.6768
103.000000 88.136 157.2025
104.400002 88.066 156.8432
106.000000 87.976 156.5621
107.500000 87.883 156.2690
109.000000 87.786 156.0351
110.599998 87.678 155.8330
112.000000 87.589 155.7100
113.800003 87.480 155.5580
115.000000 87.403 155.4360
117.199997 87.259 155.1722
118.000000 87.206 155.0792
120.599998 87.042 154.8260
122.000000 86.955 154.7403
124.099998 86.824 154.6544
125.000000 86.770 154.6392
126.500000 86.682 154.6352
128.000000 86.593 154.6256
131.500000 86.384 154.6144
132.000000 86.355 154.6198
134.000000 86.237 154.6737
136.000000 86.117 154.7495
138.000000 86.012 154.8640
140.000000 85.896 154.9856
143.000000 85.717 155.1862
145.000000 85.629 155.2573
147.500000 85.513 155.4877
150.000000 85.387 155.7469
152.500000 85.285 156.0409
155.000000 85.138 156.4204
157.500000 85.002 156.7055
160.000000 84.859 157.0021
162.500000 84.730 157.3594
165.000000 84.652 157.8946
167.500000 84.554 158.3351
170.000000 84.471 158.8051
172.500000 84.383 159.2593
175.000000 84.300 159.6241
177.500000 84.218 159.9960
180.000000 84.134 160.5173
182.500000 84.080 161.1257
185.000000 84.027 161.8385
187.500000 83.954 162.4006
190.000000 83.880 162.9003
192.500000 83.813 163.4699
195.000000 83.752 164.0266
197.500000 83.696 164.5913
200.000000 83.643 165.1940
203.000000 83.580 165.7634
206.000000 83.538 166.2702
209.000000 83.506 167.0999
212.000000 83.437 167.6963
214.000000 83.398 168.1238
218.000000 83.361 169.2219
220.000000 83.360 169.7813
224.000000 83.366 170.6705
227.000000 83.367 171.2338
230.000000 83.365 171.7053
233.000000 83.362 172.2506
236.000000 83.369 172.9587
240.000000 83.390 173.8115
243.000000 83.406 174.2942
247.000000 83.417 174.7697
250.000000 83.437 175.1909
254.000000 83.466 175.7189
258.000000 83.488 176.0956
262.000000 83.505 176.4334
265.000000 83.517 176.6974
269.000000 83.531 177.0909
272.000000 83.540 177.3971
276.000000 83.549 177.7547
280.000000 83.561 178.1623
285.000000 83.582 178.6611
290.000000 83.608 179.0366
295.000000 83.643 179.4059
300.000000 83.665 179.8179
304.000000 83.675 -179.9357
307.000000 83.687 -179.7739
311.000000 83.705 -179.5391
315.000000 83.724 -179.2904
320.000000 83.739 -179.0077
325.000000 83.750 -178.7206
330.000000 83.764 -178.3919
335.000000 83.787 -178.1770
340.000000 83.810 -177.9617
345.000000 83.817 -177.7310
350.000000 83.818 -177.4307
355.000000 83.821 -177.1928
360.000000 83.834 -176.9034
365.000000 83.852 -176.6387
370.000000 83.868 -176.4120
375.000000 83.886 -176.1798
382.000000 83.910 -175.8441
387.000000 83.931 -175.6763
395.000000 83.949 -175.4299
400.000000 83.954 -175.2761
406.000000 83.961 -175.0905
412.000000 83.974 -174.9166
418.000000 83.980 -174.7344
425.000000 83.978 -174.4903
431.000000 83.979 -174.2392
437.000000 83.983 -174.0043
444.000000 83.989 -173.7212
450.000000 83.995 -173.4459
455.000000 84.004 -173.2326
462.000000 84.019 -173.0044
468.000000 84.031 -172.8171
475.000000 84.047 -172.5852
482.000000 84.060 -172.3680
487.000000 84.067 -172.2335
494.000000 84.074 -172.0518
500.000000 84.078 -171.8813
508.000000 84.078 -171.6349
515.000000 84.079 -171.4026
522.000000 84.082 -171.1744
530.000000 84.086 -170.9100
538.000000 84.089 -170.6542
545.000000 84.091 -170.4261
552.000000 84.092 -170.1975
560.000000 84.095 -169.9164
570.000000 84.099 -169.5687
580.000000 84.101 -169.2280
590.000000 84.104 -168.8873
600.000000 84.110 -168.5361
608.000000 84.114 -168.2461
615.000000 84.116 -167.9977
622.000000 84.118 -167.7512
630.000000 84.122 -167.4601
640.000000 84.128 -167.0878
650.000000 84.134 -166.7020
660.000000 84.140 -166.3033
670.000000 84.146 -165.8949
680.000000 84.153 -165.4890
690.000000 84.163 -165.0773
700.000000 84.174 -164.6543
710.000000 84.186 -164.2337
720.000000 84.200 -163.8191
730.000000 84.216 -163.3946
740.000000 84.233 -162.9645
750.000000 84.251 -162.5286
762.000000 84.274 -161.9955
775.000000 84.302 -161.4200
788.000000 84.334 -160.8363
800.000000 84.366 -160.2977
812.000000 84.400 -159.7610
825.000000 84.442 -159.1634
838.000000 84.486 -158.5728
850.000000 84.531 -158.0372
862.000000 84.579 -157.5065
875.000000 84.637 -156.9396
885.000000 84.684 -156.5127
900.000000 84.757 -155.8816
912.000000 84.818 -155.3887
925.000000 84.889 -154.8826
938.000000 84.963 -154.3995
950.000000 85.036 -153.9643
962.000000 85.111 -153.5479
975.000000 85.194 -153.1267
988.000000 85.279 -152.7399
1000.000000 85.358 -152.4111
1015.000000 85.459 -152.0370
1030.000000 85.562 -151.6999
1044.000000 85.658 -151.4112
1060.000000 85.765 -151.1232
1075.000000 85.866 -150.8978
1090.000000 85.965 -150.7152
1106.000000 86.068 -150.5598
1120.000000 86.155 -150.4475
1138.000000 86.264 -150.3257
1150.000000 86.334 -150.2615
1172.000000 86.456 -150.1744
1180.000000 86.499 -150.1494
1206.000000 86.628 -150.0932
1220.000000 86.694 -150.0661
1241.000000 86.789 -150.0314
1250.000000 86.829 -150.0156
1265.000000 86.893 -149.9848
1280.000000 86.954 -149.9491
1315.000000 87.090 -149.8331
1320.000000 87.109 -149.8121
1340.000000 87.186 -149.7201
1360.000000 87.263 -149.6151
1380.000000 87.342 -149.4980
1400.000000 87.422 -149.3772
1430.000000 87.547 -149.2069
1450.000000 87.633 -149.0998
1475.000000 87.743 -149.0007
1500.000000 87.857 -148.9440
1525.000000 87.970 -148.9335
1550.000000 88.081 -148.9658
1575.000000 88.186 -149.0376
1600.000000 88.288 -149.1342
1625.000000 88.385 -149.2431
1650.000000 88.477 -149.3598
1675.000000 88.562 -149.4746
1700.000000 88.644 -149.5804
1725.000000 88.723 -149.6776
1750.000000 88.800 -149.7632
1775.000000 88.876 -149.8347
1800.000000 88.952 -149.8970
1825.000000 89.028 -149.9495
1850.000000 89.104 -149.9944
1875.000000 89.181 -150.0331
1900.000000 89.258 -150.0671
1925.000000 89.336 -150.1002
1950.000000 89.416 -150.1354
1975.000000 89.497 -150.1762
2000.000000 89.580 -150.2226
2030.000000 89.680 -150.2845
2060.000000 89.782 -150.3549
2090.000000 89.885 -150.4410
2120.000000 89.989 -150.5448
2140.000000 90.059 -150.6209
2180.000000 90.200 -150.7962
2200.000000 90.272 -150.8968
2240.000000 90.418 -151.1270
2270.000000 90.527 -151.3273
2300.000000 90.635 -151.5538
2330.000000 90.743 -151.8015
2360.000000 90.851 -152.0638
2400.000000 90.994 -152.4449
2430.000000 91.102 -152.7573
2470.000000 91.246 -153.2092
2500.000000 91.354 -153.5820
2540.000000 91.494 -154.1231
2580.000000 91.631 -154.7063
2620.000000 91.765 -155.3266
2650.000000 91.863 -155.8193
2690.000000 91.991 -156.5128
2720.000000 92.085 -157.0609
2760.000000 92.207 -157.8274
2800.000000 92.324 -158.6344
2850.000000 92.463 -159.7034
2900.000000 92.592 -160.8348
2950.000000 92.711 -162.0254
3000.000000 92.817 -163.2652
3040.000000 92.892 -164.2856
3070.000000 92.942 -165.0637
3110.000000 93.003 -166.1135
3150.000000 93.055 -167.1745
3200.000000 93.108 -168.5105
3250.000000 93.148 -169.8501
3300.000000 93.175 -171.1837
3350.000000 93.189 -172.5071
3400.000000 93.192 -173.8154
3450.000000 93.183 -175.1021
3500.000000 93.164 -176.3631
3550.000000 93.134 -177.5933
3600.000000 93.095 -178.7892
3650.000000 93.048 -179.9470
3700.000000 92.993 178.9377
3750.000000 92.930 177.8654
3820.000000 92.831 176.4359
3870.000000 92.754 175.4683
3950.000000 92.619 174.0117
4000.000000 92.530 173.1584
4060.000000 92.418 172.1899
4120.000000 92.301 171.2807
4180.000000 92.180 170.4345
4250.000000 92.036 169.5237
4310.000000 91.909 168.8052
4370.000000 91.780 168.1389
4440.000000 91.627 167.4337
4500.000000 91.494 166.8901
4550.000000 91.384 166.4760
4620.000000 91.229 165.9506
4680.000000 91.096 165.5463
4750.000000 90.939 165.1337
4820.000000 90.783 164.7951
4870.000000 90.673 164.5938
4940.000000 90.522 164.3620
5000.000000 90.393 164.2070
5080.000000 90.225 164.0585
5150.000000 90.081 163.9755
5220.000000 89.937 163.9371
5300.000000 89.774 163.9589
5380.000000 89.613 164.0635
5450.000000 89.476 164.2318
5520.000000 89.343 164.4722
