* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Nov 14, 2024 11:09:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Zero Red R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 90.041 -128.8979
20.600000 90.084 -129.6888
20.900000 90.127 -130.5349
21.200001 90.168 -131.3773
21.400000 90.193 -131.9367
21.799999 90.240 -133.0489
22.000000 90.262 -133.5980
22.400000 90.304 -134.6679
22.700001 90.336 -135.4382
23.000000 90.371 -136.1834
23.299999 90.411 -136.9166
23.600000 90.456 -137.6563
24.000000 90.520 -138.6792
24.299999 90.565 -139.4761
24.700001 90.614 -140.5479
25.000000 90.642 -141.3226
25.400000 90.670 -142.2672
25.799999 90.696 -143.0924
26.200001 90.729 -143.8301
26.500000 90.759 -144.3639
26.900000 90.803 -145.0900
27.200001 90.833 -145.6518
27.600000 90.864 -146.4041
28.000000 90.885 -147.1318
28.500000 90.908 -148.0061
29.000000 90.935 -148.9125
29.500000 90.960 -149.9207
30.000000 90.975 -150.9991
30.400000 90.980 -151.8402
30.700001 90.984 -152.4273
31.100000 90.995 -153.1459
31.500000 91.015 -153.8127
32.000000 91.043 -154.6156
32.500000 91.065 -155.3954
33.000000 91.075 -156.1344
33.500000 91.079 -156.8402
34.000000 91.086 -157.5607
34.500000 91.095 -158.3336
35.000000 91.102 -159.1427
35.500000 91.107 -159.9378
36.000000 91.114 -160.6881
36.500000 91.125 -161.4052
37.000000 91.137 -162.1158
37.500000 91.144 -162.8257
38.200001 91.143 -163.7794
38.700001 91.141 -164.4134
39.500000 91.138 -165.3843
40.000000 91.134 -165.9873
40.599998 91.124 -166.6985
41.200001 91.111 -167.3937
41.799999 91.099 -168.1018
42.500000 91.086 -168.9563
43.099998 91.074 -169.6660
43.700001 91.067 -170.3310
44.400002 91.066 -171.0982
45.000000 91.062 -171.7773
45.500000 91.051 -172.3381
46.200001 91.029 -173.0727
46.799999 91.010 -173.6524
47.500000 90.992 -174.2974
48.200001 90.978 -174.9363
48.700001 90.969 -175.3964
49.400002 90.959 -176.0450
50.000000 90.953 -176.6071
50.799999 90.939 -177.3696
51.500000 90.911 -178.0217
52.200001 90.868 -178.6307
53.000000 90.820 -179.3041
53.799999 90.785 179.9991
54.500000 90.763 179.3723
55.200001 90.740 178.7495
56.000000 90.702 178.0665
57.000000 90.648 177.3685
58.000000 90.628 177.0024
59.000000 90.645 176.5778
60.000000 90.605 175.6259
60.799999 90.517 174.7648
61.500000 90.449 174.1598
62.200001 90.408 173.6954
63.000000 90.375 173.2728
64.000000 90.328 172.7319
65.000000 90.273 172.0252
66.000000 90.221 171.2961
67.000000 90.170 170.6870
68.000000 90.109 170.1264
69.000000 90.048 169.5289
70.000000 89.997 168.9629
71.000000 89.951 168.4899
72.000000 89.900 167.9926
73.000000 89.837 167.4076
74.000000 89.771 166.8326
75.000000 89.712 166.3351
76.199997 89.648 165.8058
77.500000 89.572 165.2253
78.800003 89.484 164.6606
80.000000 89.413 164.1415
81.199997 89.348 163.6071
82.500000 89.277 163.1432
83.800003 89.191 162.6597
85.000000 89.097 162.1775
86.199997 89.020 161.6870
87.500000 88.947 161.2170
88.500000 88.883 160.8705
90.000000 88.781 160.3320
91.199997 88.704 159.9273
92.500000 88.611 159.5745
93.800003 88.513 159.2476
95.000000 88.428 158.9476
96.199997 88.348 158.6112
97.500000 88.256 158.2836
98.800003 88.170 158.0393
100.000000 88.087 157.7502
101.500000 87.975 157.2912
103.000000 87.865 156.9752
104.400002 87.778 156.7681
106.000000 87.672 156.4958
107.500000 87.567 156.2769
109.000000 87.470 156.0565
110.599998 87.366 155.8242
112.000000 87.261 155.6279
113.800003 87.127 155.3853
115.000000 87.043 155.2449
117.199997 86.886 154.9882
118.000000 86.831 154.9092
120.599998 86.660 154.8064
122.000000 86.566 154.7644
124.099998 86.426 154.7222
125.000000 86.365 154.7145
126.500000 86.262 154.6976
128.000000 86.159 154.6949
131.500000 85.931 154.8668
132.000000 85.898 154.9017
134.000000 85.760 155.0590
136.000000 85.630 155.2165
138.000000 85.513 155.3569
140.000000 85.387 155.5232
143.000000 85.196 155.8430
145.000000 85.095 156.0947
147.500000 84.961 156.4834
150.000000 84.829 156.9532
152.500000 84.720 157.3746
155.000000 84.557 157.7652
157.500000 84.426 158.3306
160.000000 84.338 159.1359
162.500000 84.234 159.8261
165.000000 84.099 160.1681
167.500000 83.977 160.5902
170.000000 83.878 161.1879
172.500000 83.774 161.9020
175.000000 83.686 162.6811
177.500000 83.610 163.4107
180.000000 83.540 164.0665
182.500000 83.473 164.7527
185.000000 83.383 165.6163
187.500000 83.315 166.4418
190.000000 83.271 167.4380
192.500000 83.234 168.3631
195.000000 83.209 169.1536
197.500000 83.197 169.9706
200.000000 83.188 170.6258
203.000000 83.189 171.1848
206.000000 83.214 171.8000
209.000000 83.225 172.3986
212.000000 83.243 173.3092
214.000000 83.264 173.8792
218.000000 83.278 174.7699
220.000000 83.263 175.1808
224.000000 83.260 175.8927
227.000000 83.281 176.4445
230.000000 83.303 177.0249
233.000000 83.323 177.4688
236.000000 83.341 177.7589
240.000000 83.417 178.2811
243.000000 83.473 178.7623
247.000000 83.495 179.5658
250.000000 83.517 -179.9310
254.000000 83.556 -179.4043
258.000000 83.599 -178.9411
262.000000 83.644 -178.5399
265.000000 83.676 -178.2593
269.000000 83.714 -177.9051
272.000000 83.740 -177.6646
276.000000 83.777 -177.3621
280.000000 83.822 -177.0228
285.000000 83.874 -176.6488
290.000000 83.922 -176.4111
295.000000 83.973 -176.2354
300.000000 84.015 -175.9885
304.000000 84.052 -175.7868
307.000000 84.079 -175.6471
311.000000 84.110 -175.4517
315.000000 84.137 -175.2823
320.000000 84.167 -175.1474
325.000000 84.201 -174.9902
330.000000 84.241 -174.8186
335.000000 84.275 -174.6405
340.000000 84.295 -174.4752
345.000000 84.317 -174.4377
350.000000 84.345 -174.4012
355.000000 84.375 -174.3546
360.000000 84.401 -174.2625
365.000000 84.420 -174.2132
370.000000 84.434 -174.1416
375.000000 84.443 -174.0425
382.000000 84.455 -173.8817
387.000000 84.465 -173.7903
395.000000 84.485 -173.6288
400.000000 84.507 -173.5382
406.000000 84.528 -173.4505
412.000000 84.531 -173.4022
418.000000 84.537 -173.3533
425.000000 84.544 -173.2518
431.000000 84.546 -173.1580
437.000000 84.549 -173.0791
444.000000 84.556 -172.9670
450.000000 84.558 -172.8638
455.000000 84.556 -172.7786
462.000000 84.553 -172.6887
468.000000 84.552 -172.6130
475.000000 84.549 -172.4999
482.000000 84.543 -172.3570
487.000000 84.538 -172.2531
494.000000 84.531 -172.1209
500.000000 84.525 -171.9875
508.000000 84.520 -171.7931
515.000000 84.513 -171.6215
522.000000 84.504 -171.4368
530.000000 84.495 -171.2023
538.000000 84.488 -170.9785
545.000000 84.486 -170.7783
552.000000 84.485 -170.5756
560.000000 84.479 -170.3278
570.000000 84.471 -170.0058
580.000000 84.462 -169.7122
590.000000 84.454 -169.4103
600.000000 84.449 -169.0760
608.000000 84.444 -168.8108
615.000000 84.441 -168.5762
622.000000 84.440 -168.3329
630.000000 84.436 -168.0532
640.000000 84.434 -167.6950
650.000000 84.432 -167.3153
660.000000 84.430 -166.9420
670.000000 84.430 -166.5571
680.000000 84.432 -166.1600
690.000000 84.435 -165.7572
700.000000 84.439 -165.3418
710.000000 84.443 -164.9290
720.000000 84.449 -164.5090
730.000000 84.457 -164.0747
740.000000 84.467 -163.6299
750.000000 84.477 -163.1937
762.000000 84.493 -162.6593
775.000000 84.515 -162.0674
788.000000 84.541 -161.4634
800.000000 84.569 -160.9113
812.000000 84.599 -160.3643
825.000000 84.635 -159.7587
838.000000 84.675 -159.1511
850.000000 84.717 -158.6013
862.000000 84.761 -158.0649
875.000000 84.814 -157.4755
885.000000 84.858 -157.0284
900.000000 84.928 -156.3908
912.000000 84.987 -155.8925
925.000000 85.057 -155.3668
938.000000 85.129 -154.8630
950.000000 85.198 -154.4213
962.000000 85.269 -153.9955
975.000000 85.349 -153.5631
988.000000 85.431 -153.1645
1000.000000 85.510 -152.8166
1015.000000 85.610 -152.4220
1030.000000 85.711 -152.0736
1044.000000 85.804 -151.7798
1060.000000 85.910 -151.4868
1075.000000 86.009 -151.2452
1090.000000 86.106 -151.0389
1106.000000 86.206 -150.8518
1120.000000 86.292 -150.7190
1138.000000 86.399 -150.5768
1150.000000 86.468 -150.4951
1172.000000 86.589 -150.3781
1180.000000 86.631 -150.3451
1206.000000 86.763 -150.2490
1220.000000 86.829 -150.2024
1241.000000 86.926 -150.1326
1250.000000 86.966 -150.0996
1265.000000 87.031 -150.0395
1280.000000 87.094 -149.9747
1315.000000 87.239 -149.8075
1320.000000 87.260 -149.7812
1340.000000 87.342 -149.6697
1360.000000 87.425 -149.5463
1380.000000 87.511 -149.4209
1400.000000 87.600 -149.3043
1430.000000 87.739 -149.1527
1450.000000 87.833 -149.0799
1475.000000 87.952 -149.0353
1500.000000 88.071 -149.0472
1525.000000 88.188 -149.1038
1550.000000 88.299 -149.2080
1575.000000 88.404 -149.3459
1600.000000 88.502 -149.5005
1625.000000 88.592 -149.6625
1650.000000 88.678 -149.8212
1675.000000 88.759 -149.9675
1700.000000 88.836 -150.0999
1725.000000 88.910 -150.2152
1750.000000 88.982 -150.3102
1775.000000 89.054 -150.3929
1800.000000 89.126 -150.4687
1825.000000 89.198 -150.5299
1850.000000 89.271 -150.5789
1875.000000 89.344 -150.6245
1900.000000 89.418 -150.6672
1925.000000 89.493 -150.7071
1950.000000 89.570 -150.7495
1975.000000 89.648 -150.7965
2000.000000 89.728 -150.8464
2030.000000 89.825 -150.9155
2060.000000 89.924 -150.9987
2090.000000 90.024 -151.0949
2120.000000 90.125 -151.2040
2140.000000 90.193 -151.2862
2180.000000 90.331 -151.4719
2200.000000 90.400 -151.5788
2240.000000 90.541 -151.8210
2270.000000 90.646 -152.0282
2300.000000 90.752 -152.2596
2330.000000 90.857 -152.5146
2360.000000 90.962 -152.7936
2400.000000 91.101 -153.2030
2430.000000 91.203 -153.5358
2470.000000 91.338 -154.0064
2500.000000 91.437 -154.3813
2540.000000 91.568 -154.9147
2580.000000 91.697 -155.4826
2620.000000 91.824 -156.0889
2650.000000 91.917 -156.5685
2690.000000 92.039 -157.2462
2720.000000 92.129 -157.7829
2760.000000 92.245 -158.5358
2800.000000 92.356 -159.3310
2850.000000 92.487 -160.3810
2900.000000 92.607 -161.4932
2950.000000 92.716 -162.6558
3000.000000 92.812 -163.8628
3040.000000 92.880 -164.8509
3070.000000 92.925 -165.5986
3110.000000 92.978 -166.6024
3150.000000 93.023 -167.6132
3200.000000 93.070 -168.8848
3250.000000 93.105 -170.1577
3300.000000 93.128 -171.4206
3350.000000 93.139 -172.6732
3400.000000 93.140 -173.9104
3450.000000 93.130 -175.1278
3500.000000 93.110 -176.3184
3550.000000 93.081 -177.4811
3600.000000 93.044 -178.6109
3650.000000 92.998 -179.7037
3700.000000 92.946 179.2402
3750.000000 92.888 178.2194
3820.000000 92.795 176.8514
3870.000000 92.722 175.9203
3950.000000 92.595 174.5182
4000.000000 92.510 173.6937
4060.000000 92.404 172.7534
4120.000000 92.293 171.8681
4180.000000 92.177 171.0381
4250.000000 92.036 170.1396
4310.000000 91.912 169.4318
4370.000000 91.785 168.7825
4440.000000 91.636 168.0971
4500.000000 91.507 167.5645
4550.000000 91.400 167.1530
4620.000000 91.247 166.6263
4680.000000 91.115 166.2369
4750.000000 90.963 165.8462
4820.000000 90.812 165.5030
4870.000000 90.704 165.2842
4940.000000 90.552 165.0205
5000.000000 90.420 164.8395
5080.000000 90.243 164.6700
5150.000000 90.086 164.6066
5220.000000 89.931 164.6367
5300.000000 89.760 164.7876
5380.000000 89.599 165.0417
5450.000000 89.470 165.3295
5520.000000 89.350 165.6643
