* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -35.0 dBFS with no timing reference
* Dated: Jan 8, 2025 11:06:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiiO JF11 L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 75.963 -72.1866
20.600000 76.096 -72.5463
20.900000 76.253 -72.9025
21.200001 76.416 -73.2816
21.400000 76.524 -73.5684
21.799999 76.728 -74.2341
22.000000 76.821 -74.5988
22.400000 76.986 -75.3289
22.700001 77.099 -75.8286
23.000000 77.210 -76.2664
23.299999 77.328 -76.6545
23.600000 77.456 -77.0280
24.000000 77.639 -77.5722
24.299999 77.777 -78.0442
24.700001 77.950 -78.7468
25.000000 78.066 -79.2910
25.400000 78.206 -79.9780
25.799999 78.338 -80.5869
26.200001 78.472 -81.1350
26.500000 78.577 -81.5355
26.900000 78.720 -82.0881
27.200001 78.827 -82.5230
27.600000 78.966 -83.1221
28.000000 79.102 -83.7336
28.500000 79.269 -84.5243
29.000000 79.435 -85.3632
29.500000 79.595 -86.2177
30.000000 79.752 -86.9880
30.400000 79.881 -87.4818
30.700001 79.983 -87.7763
31.100000 80.129 -88.1030
31.500000 80.281 -88.4186
32.000000 80.467 -88.8929
32.500000 80.631 -89.4907
33.000000 80.768 -90.1579
33.500000 80.890 -90.8063
34.000000 81.014 -91.3941
34.500000 81.148 -91.9476
35.000000 81.281 -92.5119
35.500000 81.398 -93.0916
36.000000 81.494 -93.6532
36.500000 81.584 -94.1785
37.000000 81.688 -94.6999
37.500000 81.816 -95.2742
38.200001 82.023 -96.1950
38.700001 82.165 -96.8730
39.500000 82.354 -97.8592
40.000000 82.452 -98.4276
40.599998 82.567 -99.1359
41.200001 82.694 -99.8879
41.799999 82.841 -100.6104
42.500000 83.031 -101.3454
43.099998 83.179 -101.9299
43.700001 83.280 -102.5190
44.400002 83.343 -103.1952
45.000000 83.394 -103.7934
45.500000 83.460 -104.3692
46.200001 83.588 -105.2978
46.799999 83.711 -106.0723
47.500000 83.849 -106.8185
48.200001 83.971 -107.4616
48.700001 84.045 -107.9215
49.400002 84.138 -108.6087
50.000000 84.218 -109.2593
50.799999 84.323 -110.1380
51.500000 84.412 -110.7435
52.200001 84.522 -111.2241
53.000000 84.661 -111.9505
53.799999 84.770 -112.9275
54.500000 84.840 -113.7777
55.200001 84.915 -114.5523
56.000000 85.007 -115.3878
57.000000 85.119 -116.3401
58.000000 85.217 -117.2402
59.000000 85.295 -118.1062
60.000000 85.385 -118.9547
60.799999 85.471 -119.7113
61.500000 85.547 -120.4221
62.200001 85.615 -121.1356
63.000000 85.677 -121.8993
64.000000 85.742 -122.7347
65.000000 85.806 -123.5517
66.000000 85.871 -124.4041
67.000000 85.943 -125.2611
68.000000 86.011 -126.1284
69.000000 86.064 -126.9498
70.000000 86.114 -127.7516
71.000000 86.168 -128.5286
72.000000 86.222 -129.2123
73.000000 86.272 -129.8826
74.000000 86.306 -130.6589
75.000000 86.328 -131.4649
76.199997 86.366 -132.3331
77.500000 86.417 -133.2528
78.800003 86.452 -134.1206
80.000000 86.483 -134.8389
81.199997 86.509 -135.5719
82.500000 86.526 -136.3611
83.800003 86.548 -137.1665
85.000000 86.569 -137.8962
86.199997 86.590 -138.5486
87.500000 86.606 -139.2125
88.500000 86.618 -139.6948
90.000000 86.639 -140.4457
91.199997 86.651 -141.0245
92.500000 86.655 -141.6160
93.800003 86.658 -142.2103
95.000000 86.655 -142.6613
96.199997 86.611 -142.8948
97.500000 86.571 -143.0828
98.800003 86.608 -143.8403
100.000000 86.648 -144.6474
101.500000 86.664 -145.2464
103.000000 86.657 -145.8171
104.400002 86.658 -146.3477
106.000000 86.656 -146.8613
107.500000 86.650 -147.2755
109.000000 86.645 -147.5467
110.599998 86.638 -147.9505
112.000000 86.630 -148.3836
113.800003 86.634 -148.9021
115.000000 86.627 -149.2402
117.199997 86.606 -149.7967
118.000000 86.597 -149.9423
120.599998 86.570 -150.4146
122.000000 86.565 -150.7593
124.099998 86.560 -151.1669
125.000000 86.558 -151.3227
126.500000 86.548 -151.5635
128.000000 86.536 -151.7978
131.500000 86.509 -152.3507
132.000000 86.506 -152.4281
134.000000 86.499 -152.7235
136.000000 86.491 -152.9820
138.000000 86.479 -153.1858
140.000000 86.464 -153.3944
143.000000 86.455 -153.7045
145.000000 86.458 -153.9214
147.500000 86.460 -154.1840
150.000000 86.435 -154.3960
152.500000 86.413 -154.5008
155.000000 86.400 -154.6035
157.500000 86.393 -154.7873
160.000000 86.390 -154.9178
162.500000 86.385 -155.0303
165.000000 86.377 -155.1457
167.500000 86.370 -155.2551
170.000000 86.364 -155.3216
172.500000 86.360 -155.3712
175.000000 86.357 -155.4268
177.500000 86.353 -155.4857
180.000000 86.347 -155.5611
182.500000 86.346 -155.6038
185.000000 86.351 -155.6269
187.500000 86.359 -155.6431
190.000000 86.366 -155.6379
192.500000 86.370 -155.6215
195.000000 86.371 -155.6524
197.500000 86.375 -155.7012
200.000000 86.379 -155.7025
203.000000 86.384 -155.6861
206.000000 86.394 -155.6456
209.000000 86.403 -155.6404
212.000000 86.412 -155.6429
214.000000 86.418 -155.6300
218.000000 86.430 -155.5674
220.000000 86.438 -155.5416
224.000000 86.459 -155.4783
227.000000 86.474 -155.4496
230.000000 86.488 -155.4396
233.000000 86.504 -155.4062
236.000000 86.518 -155.3734
240.000000 86.536 -155.3473
243.000000 86.553 -155.3136
247.000000 86.578 -155.2811
250.000000 86.597 -155.2536
254.000000 86.625 -155.2138
258.000000 86.651 -155.1961
262.000000 86.677 -155.1736
265.000000 86.696 -155.1509
269.000000 86.723 -155.1156
272.000000 86.745 -155.1099
276.000000 86.773 -155.1086
280.000000 86.803 -155.1064
285.000000 86.843 -155.1344
290.000000 86.888 -155.1802
295.000000 86.939 -155.2508
300.000000 86.991 -155.4318
304.000000 87.029 -155.7026
307.000000 87.054 -155.9755
311.000000 87.074 -156.4969
315.000000 87.055 -157.2070
320.000000 86.930 -158.0569
325.000000 86.714 -158.1070
330.000000 86.542 -156.9904
335.000000 86.514 -155.5653
340.000000 86.582 -154.5674
345.000000 86.671 -154.0201
350.000000 86.751 -153.7249
355.000000 86.814 -153.5628
360.000000 86.860 -153.4781
365.000000 86.892 -153.3705
370.000000 86.913 -153.2365
375.000000 86.926 -153.0626
382.000000 86.942 -152.6581
387.000000 86.963 -152.2177
395.000000 87.048 -151.2444
400.000000 87.161 -150.6725
406.000000 87.346 -150.5241
412.000000 87.489 -151.1460
418.000000 87.523 -151.8966
425.000000 87.487 -152.2621
431.000000 87.456 -152.1870
437.000000 87.446 -151.9343
444.000000 87.462 -151.5787
450.000000 87.490 -151.2721
455.000000 87.521 -151.0266
462.000000 87.572 -150.7042
468.000000 87.622 -150.4474
475.000000 87.683 -150.1764
482.000000 87.746 -149.9436
487.000000 87.793 -149.7985
494.000000 87.861 -149.6189
500.000000 87.922 -149.4841
508.000000 88.002 -149.3220
515.000000 88.072 -149.2106
522.000000 88.140 -149.1242
530.000000 88.218 -149.0533
538.000000 88.297 -148.9979
545.000000 88.368 -148.9827
552.000000 88.438 -148.9960
560.000000 88.515 -149.0241
570.000000 88.607 -149.0850
580.000000 88.699 -149.1789
590.000000 88.784 -149.3183
600.000000 88.864 -149.4793
608.000000 88.924 -149.6230
615.000000 88.973 -149.7604
622.000000 89.020 -149.9062
630.000000 89.071 -150.0876
640.000000 89.132 -150.3250
650.000000 89.189 -150.5726
660.000000 89.238 -150.8450
670.000000 89.279 -151.1131
680.000000 89.313 -151.3681
690.000000 89.342 -151.6228
700.000000 89.363 -151.8612
710.000000 89.377 -152.0694
720.000000 89.387 -152.2437
730.000000 89.393 -152.3739
740.000000 89.398 -152.4785
750.000000 89.401 -152.5491
762.000000 89.405 -152.5801
775.000000 89.409 -152.5589
788.000000 89.416 -152.4847
800.000000 89.427 -152.3714
812.000000 89.442 -152.2467
825.000000 89.462 -152.1011
838.000000 89.488 -151.9293
850.000000 89.521 -151.7567
862.000000 89.564 -151.6208
875.000000 89.618 -151.5877
885.000000 89.657 -151.6763
900.000000 89.690 -151.9651
912.000000 89.674 -152.2300
925.000000 89.619 -152.2751
938.000000 89.567 -151.9433
950.000000 89.543 -151.4807
962.000000 89.540 -150.9668
975.000000 89.559 -150.3924
988.000000 89.597 -149.8554
1000.000000 89.641 -149.4144
1015.000000 89.702 -148.9086
1030.000000 89.767 -148.4284
1044.000000 89.833 -148.0044
1060.000000 89.916 -147.5582
1075.000000 89.998 -147.1758
1090.000000 90.083 -146.8116
1106.000000 90.179 -146.4579
1120.000000 90.266 -146.1808
1138.000000 90.382 -145.8562
1150.000000 90.463 -145.6700
1172.000000 90.614 -145.3948
1180.000000 90.670 -145.3173
1206.000000 90.848 -145.1633
1220.000000 90.940 -145.1049
1241.000000 91.084 -145.0312
1250.000000 91.148 -145.0251
1265.000000 91.255 -145.0556
1280.000000 91.359 -145.1303
1315.000000 91.590 -145.4548
1320.000000 91.622 -145.5160
1340.000000 91.743 -145.7900
1360.000000 91.857 -146.1011
1380.000000 91.962 -146.4433
1400.000000 92.060 -146.8055
1430.000000 92.193 -147.3646
1450.000000 92.273 -147.7493
1475.000000 92.363 -148.2107
1500.000000 92.444 -148.6559
1525.000000 92.517 -149.0900
1550.000000 92.584 -149.5000
1575.000000 92.645 -149.8762
1600.000000 92.701 -150.2105
1625.000000 92.756 -150.5155
1650.000000 92.810 -150.7958
1675.000000 92.863 -151.0436
1700.000000 92.917 -151.2625
1725.000000 92.972 -151.4544
1750.000000 93.030 -151.6261
1775.000000 93.091 -151.7827
1800.000000 93.157 -151.9308
1825.000000 93.227 -152.0843
1850.000000 93.301 -152.2486
1875.000000 93.378 -152.4227
1900.000000 93.460 -152.6182
1925.000000 93.545 -152.8362
1950.000000 93.632 -153.0771
1975.000000 93.724 -153.3480
2000.000000 93.820 -153.6632
2030.000000 93.937 -154.1210
2060.000000 94.051 -154.6549
2090.000000 94.164 -155.2594
2120.000000 94.275 -155.9441
2140.000000 94.346 -156.4538
2180.000000 94.478 -157.5656
2200.000000 94.539 -158.1667
2240.000000 94.648 -159.4983
2270.000000 94.713 -160.5971
2300.000000 94.761 -161.7779
2330.000000 94.784 -163.0408
2360.000000 94.775 -164.3580
2400.000000 94.692 -166.0660
2430.000000 94.570 -167.0135
2470.000000 94.450 -167.2918
2500.000000 94.507 -167.8344
2540.000000 94.340 -170.5279
2580.000000 93.739 -169.1903
2620.000000 94.029 -163.8891
2650.000000 94.576 -164.4887
2690.000000 94.871 -167.8940
2720.000000 94.867 -170.1407
2760.000000 94.755 -172.3806
2800.000000 94.603 -174.0219
2850.000000 94.399 -175.5651
2900.000000 94.188 -176.7337
2950.000000 93.976 -177.6113
3000.000000 93.767 -178.2503
3040.000000 93.603 -178.6201
3070.000000 93.483 -178.8177
3110.000000 93.329 -178.9883
3150.000000 93.179 -179.0757
3200.000000 92.999 -179.0593
3250.000000 92.832 -178.9236
3300.000000 92.675 -178.6824
3350.000000 92.532 -178.3558
3400.000000 92.400 -177.9656
3450.000000 92.279 -177.5011
3500.000000 92.170 -176.9824
3550.000000 92.070 -176.3994
3600.000000 91.981 -175.7384
3650.000000 91.907 -174.9977
3700.000000 91.851 -174.1699
3750.000000 91.822 -173.2619
3820.000000 91.844 -171.9951
3870.000000 91.897 -171.2798
3950.000000 91.991 -170.5392
4000.000000 92.040 -170.1841
4060.000000 92.096 -169.7451
4120.000000 92.158 -169.2993
4180.000000 92.232 -168.8374
4250.000000 92.340 -168.3006
4310.000000 92.458 -167.8701
4370.000000 92.597 -167.5386
4440.000000 92.777 -167.2401
4500.000000 92.958 -166.9994
4550.000000 93.142 -166.8242
4620.000000 93.468 -166.8420
4680.000000 93.801 -167.3057
4750.000000 94.224 -168.5959
4820.000000 94.638 -170.7856
4870.000000 94.903 -172.8934
