* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -35.0 dBFS with no timing reference
* Dated: Jan 8, 2025 10:57:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiiO JF11 R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 84.269 -82.8058
20.600000 84.379 -83.4243
20.900000 84.497 -84.0658
21.200001 84.612 -84.6833
21.400000 84.689 -85.0859
21.799999 84.844 -85.8874
22.000000 84.923 -86.2921
22.400000 85.082 -87.1130
22.700001 85.202 -87.7341
23.000000 85.320 -88.3521
23.299999 85.437 -88.9595
23.600000 85.551 -89.5498
24.000000 85.699 -90.3034
24.299999 85.807 -90.8424
24.700001 85.948 -91.5329
25.000000 86.052 -92.0390
25.400000 86.188 -92.7138
25.799999 86.321 -93.3990
26.200001 86.447 -94.0918
26.500000 86.537 -94.6083
26.900000 86.652 -95.2826
27.200001 86.737 -95.7776
27.600000 86.850 -96.4355
28.000000 86.963 -97.1103
28.500000 87.100 -97.9936
29.000000 87.229 -98.8976
29.500000 87.350 -99.7671
30.000000 87.471 -100.5634
30.400000 87.571 -101.1509
30.700001 87.648 -101.5734
31.100000 87.751 -102.1249
31.500000 87.852 -102.6693
32.000000 87.974 -103.3415
32.500000 88.091 -104.0130
33.000000 88.206 -104.7089
33.500000 88.317 -105.4483
34.000000 88.423 -106.2134
34.500000 88.521 -106.9578
35.000000 88.617 -107.6481
35.500000 88.715 -108.2948
36.000000 88.815 -108.9363
36.500000 88.912 -109.6011
37.000000 89.006 -110.2903
37.500000 89.094 -110.9892
38.200001 89.210 -111.9437
38.700001 89.289 -112.5707
39.500000 89.418 -113.4541
40.000000 89.504 -113.9900
40.599998 89.607 -114.6920
41.200001 89.697 -115.4326
41.799999 89.778 -116.1221
42.500000 89.876 -116.8400
43.099998 89.964 -117.4526
43.700001 90.045 -118.0847
44.400002 90.133 -118.8202
45.000000 90.210 -119.4864
45.500000 90.273 -120.1015
46.200001 90.350 -121.0035
46.799999 90.407 -121.7178
47.500000 90.479 -122.4605
48.200001 90.558 -123.1770
48.700001 90.614 -123.6800
49.400002 90.689 -124.3474
50.000000 90.754 -124.9031
50.799999 90.833 -125.6766
51.500000 90.890 -126.3608
52.200001 90.945 -127.0135
53.000000 91.011 -127.7527
53.799999 91.074 -128.5053
54.500000 91.126 -129.1390
55.200001 91.180 -129.7478
56.000000 91.242 -130.4510
57.000000 91.308 -131.3182
58.000000 91.369 -132.1787
59.000000 91.429 -133.1322
60.000000 91.484 -134.0122
60.799999 91.536 -134.6012
61.500000 91.582 -135.1158
62.200001 91.618 -135.6513
63.000000 91.652 -136.2594
64.000000 91.697 -137.0229
65.000000 91.740 -137.7754
66.000000 91.783 -138.4733
67.000000 91.826 -139.1576
68.000000 91.864 -139.8123
69.000000 91.899 -140.4507
70.000000 91.928 -141.1404
71.000000 91.953 -141.8338
72.000000 91.982 -142.4721
73.000000 92.011 -143.0869
74.000000 92.035 -143.7010
75.000000 92.058 -144.3029
76.199997 92.085 -144.9904
77.500000 92.109 -145.7194
78.800003 92.129 -146.4388
80.000000 92.150 -147.0800
81.199997 92.167 -147.7001
82.500000 92.182 -148.3598
83.800003 92.199 -149.0091
85.000000 92.214 -149.5956
86.199997 92.224 -150.1649
87.500000 92.231 -150.7697
88.500000 92.236 -151.2207
90.000000 92.245 -151.8704
91.199997 92.252 -152.3860
92.500000 92.256 -152.9070
93.800003 92.260 -153.4063
95.000000 92.262 -153.8777
96.199997 92.264 -154.3449
97.500000 92.266 -154.8287
98.800003 92.266 -155.2842
100.000000 92.264 -155.6973
101.500000 92.264 -156.2395
103.000000 92.269 -156.7933
104.400002 92.264 -157.2298
106.000000 92.251 -157.6355
107.500000 92.242 -158.0446
109.000000 92.233 -158.4574
110.599998 92.225 -158.8843
112.000000 92.220 -159.2571
113.800003 92.214 -159.7401
115.000000 92.209 -160.0438
117.199997 92.197 -160.5810
118.000000 92.193 -160.7851
120.599998 92.181 -161.3959
122.000000 92.167 -161.6701
124.099998 92.149 -162.0583
125.000000 92.143 -162.2265
126.500000 92.134 -162.5147
128.000000 92.126 -162.7955
131.500000 92.100 -163.4049
132.000000 92.095 -163.4830
134.000000 92.079 -163.7891
136.000000 92.065 -164.1135
138.000000 92.052 -164.4220
140.000000 92.036 -164.6931
143.000000 92.018 -165.0895
145.000000 92.003 -165.3360
147.500000 91.983 -165.6397
150.000000 91.964 -165.9437
152.500000 91.945 -166.2232
155.000000 91.930 -166.4780
157.500000 91.914 -166.7199
160.000000 91.897 -166.9541
162.500000 91.880 -167.1699
165.000000 91.864 -167.3685
167.500000 91.849 -167.5604
170.000000 91.836 -167.7433
172.500000 91.822 -167.9093
175.000000 91.808 -168.0664
177.500000 91.794 -168.2059
180.000000 91.781 -168.3369
182.500000 91.769 -168.4887
185.000000 91.757 -168.6214
187.500000 91.745 -168.7435
190.000000 91.736 -168.8606
192.500000 91.725 -168.9728
195.000000 91.715 -169.0804
197.500000 91.705 -169.1732
200.000000 91.696 -169.2554
203.000000 91.687 -169.3596
206.000000 91.678 -169.4685
209.000000 91.669 -169.5491
212.000000 91.661 -169.6132
214.000000 91.656 -169.6554
218.000000 91.647 -169.7465
220.000000 91.643 -169.7935
224.000000 91.638 -169.8821
227.000000 91.635 -169.9405
230.000000 91.632 -169.9941
233.000000 91.627 -170.0456
236.000000 91.623 -170.0941
240.000000 91.618 -170.1555
243.000000 91.616 -170.1976
247.000000 91.617 -170.2445
250.000000 91.617 -170.2844
254.000000 91.618 -170.3327
258.000000 91.619 -170.3723
262.000000 91.621 -170.4226
265.000000 91.622 -170.4542
269.000000 91.625 -170.4927
272.000000 91.628 -170.5181
276.000000 91.631 -170.5508
280.000000 91.638 -170.5833
285.000000 91.646 -170.6260
290.000000 91.653 -170.6760
295.000000 91.660 -170.7303
300.000000 91.669 -170.7787
304.000000 91.676 -170.8304
307.000000 91.682 -170.8669
311.000000 91.690 -170.9115
315.000000 91.697 -170.9594
320.000000 91.708 -171.0176
325.000000 91.721 -171.0864
330.000000 91.733 -171.1852
335.000000 91.743 -171.3170
340.000000 91.746 -171.4689
345.000000 91.737 -171.5993
350.000000 91.724 -171.6574
355.000000 91.714 -171.6367
360.000000 91.711 -171.5798
365.000000 91.714 -171.5125
370.000000 91.722 -171.4297
375.000000 91.735 -171.3125
382.000000 91.776 -171.0676
387.000000 91.834 -170.9522
395.000000 91.941 -171.2496
400.000000 91.977 -171.6527
406.000000 91.984 -172.0895
412.000000 91.976 -172.4021
418.000000 91.971 -172.6465
425.000000 91.963 -172.8633
431.000000 91.954 -173.0204
437.000000 91.945 -173.1636
444.000000 91.932 -173.3065
450.000000 91.919 -173.4026
455.000000 91.910 -173.4617
462.000000 91.896 -173.5161
468.000000 91.885 -173.5457
475.000000 91.875 -173.5551
482.000000 91.868 -173.5453
487.000000 91.864 -173.5228
494.000000 91.862 -173.4710
500.000000 91.863 -173.4165
508.000000 91.870 -173.3342
515.000000 91.882 -173.2585
522.000000 91.900 -173.1857
530.000000 91.925 -173.1248
538.000000 91.956 -173.0981
545.000000 91.986 -173.1089
552.000000 92.019 -173.1461
560.000000 92.059 -173.2363
570.000000 92.107 -173.4283
580.000000 92.149 -173.6992
590.000000 92.182 -174.0164
600.000000 92.206 -174.3273
608.000000 92.220 -174.5780
615.000000 92.232 -174.7953
622.000000 92.244 -175.0127
630.000000 92.256 -175.2731
640.000000 92.268 -175.6305
650.000000 92.275 -176.0106
660.000000 92.275 -176.4037
670.000000 92.268 -176.8023
680.000000 92.255 -177.1875
690.000000 92.236 -177.5646
700.000000 92.210 -177.9350
710.000000 92.178 -178.2899
720.000000 92.141 -178.6145
730.000000 92.103 -178.9058
740.000000 92.062 -179.1752
750.000000 92.018 -179.4190
762.000000 91.964 -179.6813
775.000000 91.902 -179.9611
788.000000 91.831 179.8002
800.000000 91.763 179.6414
812.000000 91.695 179.5093
825.000000 91.617 179.3800
838.000000 91.533 179.3127
850.000000 91.448 179.3287
862.000000 91.365 179.4372
875.000000 91.282 179.6409
885.000000 91.225 179.8430
900.000000 91.150 -179.8146
912.000000 91.096 -179.5356
925.000000 91.044 -179.2178
938.000000 90.999 -178.8788
950.000000 90.962 -178.5559
962.000000 90.930 -178.2298
975.000000 90.899 -177.8805
988.000000 90.871 -177.5253
1000.000000 90.850 -177.1941
1015.000000 90.830 -176.7904
1030.000000 90.817 -176.3859
1044.000000 90.810 -176.0212
1060.000000 90.805 -175.6302
1075.000000 90.806 -175.2729
1090.000000 90.808 -174.9332
1106.000000 90.812 -174.5935
1120.000000 90.818 -174.3120
1138.000000 90.829 -173.9814
1150.000000 90.838 -173.7733
1172.000000 90.858 -173.4060
1180.000000 90.866 -173.2857
1206.000000 90.891 -172.9406
1220.000000 90.904 -172.7884
1241.000000 90.922 -172.5893
1250.000000 90.929 -172.5080
1265.000000 90.939 -172.3790
1280.000000 90.949 -172.2648
1315.000000 90.965 -172.0374
1320.000000 90.967 -172.0082
1340.000000 90.972 -171.9022
1360.000000 90.972 -171.8032
1380.000000 90.966 -171.6958
1400.000000 90.957 -171.5628
1430.000000 90.941 -171.3287
1450.000000 90.928 -171.1635
1475.000000 90.907 -170.9374
1500.000000 90.885 -170.6644
1525.000000 90.863 -170.3542
1550.000000 90.842 -170.0175
1575.000000 90.819 -169.6364
1600.000000 90.797 -169.1975
1625.000000 90.779 -168.7177
1650.000000 90.767 -168.1908
1675.000000 90.761 -167.6151
1700.000000 90.761 -167.0280
1725.000000 90.767 -166.4248
1750.000000 90.781 -165.7825
1775.000000 90.806 -165.1150
1800.000000 90.840 -164.4411
1825.000000 90.884 -163.7726
1850.000000 90.938 -163.1230
1875.000000 91.000 -162.4830
1900.000000 91.073 -161.8638
1925.000000 91.155 -161.2794
1950.000000 91.244 -160.7291
1975.000000 91.342 -160.2182
2000.000000 91.448 -159.7605
2030.000000 91.585 -159.2970
2060.000000 91.727 -158.9128
2090.000000 91.878 -158.6046
2120.000000 92.039 -158.4025
2140.000000 92.149 -158.3467
2180.000000 92.369 -158.4137
2200.000000 92.479 -158.5244
2240.000000 92.694 -158.9360
2270.000000 92.847 -159.3986
2300.000000 92.994 -159.9973
2330.000000 93.129 -160.7631
2360.000000 93.248 -161.7238
2400.000000 93.357 -163.3915
2430.000000 93.362 -165.0009
2470.000000 93.131 -167.2208
2500.000000 92.725 -167.2561
2540.000000 92.539 -162.6735
2580.000000 93.065 -160.4405
2620.000000 93.540 -161.2439
2650.000000 93.795 -162.7361
2690.000000 93.951 -165.0571
2720.000000 93.979 -166.5728
2760.000000 93.964 -168.2735
2800.000000 93.915 -169.7151
2850.000000 93.827 -171.2269
2900.000000 93.716 -172.5040
2950.000000 93.588 -173.5600
3000.000000 93.447 -174.4126
3040.000000 93.331 -174.9443
3070.000000 93.244 -175.2699
3110.000000 93.127 -175.6107
3150.000000 93.012 -175.8528
3200.000000 92.873 -176.0370
3250.000000 92.740 -176.1045
3300.000000 92.613 -176.0556
3350.000000 92.498 -175.9030
3400.000000 92.393 -175.6808
3450.000000 92.297 -175.3834
3500.000000 92.214 -175.0253
3550.000000 92.141 -174.6293
3600.000000 92.079 -174.1830
3650.000000 92.032 -173.6847
3700.000000 92.001 -173.1818
3750.000000 91.981 -172.6943
3820.000000 91.971 -171.9855
3870.000000 91.979 -171.4966
3950.000000 92.015 -170.7062
4000.000000 92.060 -170.2131
4060.000000 92.138 -169.6930
4120.000000 92.236 -169.3198
4180.000000 92.345 -169.0717
4250.000000 92.485 -168.9117
4310.000000 92.620 -168.8657
4370.000000 92.775 -168.9100
4440.000000 92.987 -169.2497
4500.000000 93.175 -169.8232
4550.000000 93.338 -170.4642
4620.000000 93.568 -171.7428
4680.000000 93.751 -173.1602
4750.000000 93.945 -175.1663
4820.000000 94.113 -177.6108
4870.000000 94.201 -179.6661
4940.000000 94.250 177.1253
