* Measurement data measured by REW V5.30
* Source: EXCL: Qudelix 5K (Qudelix-5K USB DAC/MIC 48KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -35.0 dBFS with no timing reference
* Dated: Jun 30, 2024 8:46:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HZSound Bell Rhyme L5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 72.705 -81.6025
20.600000 72.831 -82.2221
20.900000 72.977 -83.0011
21.200001 73.116 -83.7870
21.400000 73.199 -84.2468
21.799999 73.346 -84.9166
22.000000 73.412 -85.1270
22.400000 73.528 -85.3875
22.700001 73.599 -85.5250
23.000000 73.656 -85.6502
23.299999 73.708 -85.7568
23.600000 73.774 -85.8390
24.000000 73.921 -85.9811
24.299999 74.088 -86.2258
24.700001 74.363 -86.8892
25.000000 74.572 -87.6388
25.400000 74.799 -88.7827
25.799999 74.941 -89.7648
26.200001 75.016 -90.3148
26.500000 75.058 -90.4275
26.900000 75.131 -90.3621
27.200001 75.209 -90.3328
27.600000 75.333 -90.5210
28.000000 75.460 -91.0169
28.500000 75.602 -91.9072
29.000000 75.732 -92.8305
29.500000 75.870 -93.6218
30.000000 76.029 -94.2844
30.400000 76.166 -94.7862
30.700001 76.263 -95.1716
31.100000 76.368 -95.6760
31.500000 76.433 -96.0823
32.000000 76.477 -96.2952
32.500000 76.543 -96.2246
33.000000 76.686 -96.2691
33.500000 76.884 -96.8112
34.000000 77.062 -97.7348
34.500000 77.181 -98.5590
35.000000 77.263 -99.0121
35.500000 77.338 -99.3327
36.000000 77.390 -99.9073
36.500000 77.401 -100.7549
37.000000 77.407 -101.5503
37.500000 77.487 -102.0602
38.200001 77.744 -102.4610
38.700001 77.932 -102.6366
39.500000 78.120 -102.6818
40.000000 78.208 -102.9428
40.599998 78.312 -103.9955
41.200001 78.402 -105.3557
41.799999 78.527 -105.9283
42.500000 78.774 -105.4389
43.099998 78.931 -104.9461
43.700001 78.887 -104.6292
44.400002 78.714 -104.2331
45.000000 78.720 -104.5013
45.500000 78.860 -105.5942
46.200001 79.079 -107.5446
46.799999 79.223 -108.3124
47.500000 79.401 -108.2118
48.200001 79.551 -108.4379
48.700001 79.602 -108.9531
49.400002 79.683 -109.5731
50.000000 79.873 -109.9352
50.799999 80.202 -110.7610
51.500000 80.356 -111.6350
52.200001 80.367 -112.1439
53.000000 80.347 -112.4384
53.799999 80.382 -112.8694
54.500000 80.460 -113.3312
55.200001 80.550 -113.7754
56.000000 80.624 -114.2040
57.000000 80.697 -114.5463
58.000000 80.824 -114.9657
59.000000 80.955 -115.4376
60.000000 81.074 -115.7954
60.799999 81.175 -116.2947
61.500000 81.263 -116.9030
62.200001 81.349 -117.4894
63.000000 81.438 -117.9991
64.000000 81.528 -118.4888
65.000000 81.630 -119.1461
66.000000 81.739 -120.0083
67.000000 81.816 -120.7480
68.000000 81.874 -121.4651
69.000000 81.947 -122.3306
70.000000 82.039 -122.8600
71.000000 82.142 -122.6731
72.000000 82.292 -122.3891
73.000000 82.465 -123.1224
74.000000 82.524 -124.3518
75.000000 82.521 -124.8295
76.199997 82.594 -125.0667
77.500000 82.719 -125.4977
78.800003 82.855 -125.6670
80.000000 82.974 -125.9443
81.199997 83.059 -126.5955
82.500000 83.113 -127.3208
83.800003 83.183 -128.1000
85.000000 83.282 -128.7466
86.199997 83.376 -129.3263
87.500000 83.430 -129.7884
88.500000 83.488 -130.1366
90.000000 83.601 -130.8662
91.199997 83.691 -131.3313
92.500000 83.757 -131.6854
93.800003 83.783 -131.7262
95.000000 83.841 -132.0141
96.199997 83.917 -132.8417
97.500000 84.014 -133.6040
98.800003 84.113 -134.0189
100.000000 84.161 -134.3387
101.500000 84.194 -134.8542
103.000000 84.268 -135.4858
104.400002 84.367 -136.0766
106.000000 84.456 -136.6121
107.500000 84.522 -137.1162
109.000000 84.589 -137.6701
110.599998 84.668 -138.1973
112.000000 84.740 -138.6413
113.800003 84.806 -139.2751
115.000000 84.849 -139.7019
117.199997 84.943 -140.5286
118.000000 84.970 -140.7813
120.599998 85.078 -141.5296
122.000000 85.166 -142.1203
124.099998 85.258 -142.6966
125.000000 85.284 -142.8665
126.500000 85.328 -143.2204
128.000000 85.373 -143.6704
131.500000 85.487 -144.7363
132.000000 85.508 -144.8862
134.000000 85.588 -145.4203
136.000000 85.651 -145.9284
138.000000 85.709 -146.4467
140.000000 85.770 -146.9803
143.000000 85.858 -147.7701
145.000000 85.921 -148.3020
147.500000 86.001 -148.9901
150.000000 86.081 -149.6660
152.500000 86.145 -150.3453
155.000000 86.206 -150.9558
157.500000 86.266 -151.5831
160.000000 86.332 -152.1346
162.500000 86.402 -152.6718
165.000000 86.466 -153.3187
167.500000 86.526 -154.0119
170.000000 86.575 -154.5837
172.500000 86.626 -155.1350
175.000000 86.686 -155.6576
177.500000 86.749 -156.1769
180.000000 86.800 -156.7395
182.500000 86.842 -157.2774
185.000000 86.886 -157.8027
187.500000 86.934 -158.3328
190.000000 86.985 -158.8796
192.500000 87.034 -159.4051
195.000000 87.079 -159.9240
197.500000 87.121 -160.3951
200.000000 87.162 -160.8884
203.000000 87.207 -161.5840
206.000000 87.260 -162.2584
209.000000 87.314 -162.7997
212.000000 87.359 -163.3266
214.000000 87.386 -163.7024
218.000000 87.438 -164.4911
220.000000 87.463 -164.8856
224.000000 87.520 -165.6339
227.000000 87.567 -166.2061
230.000000 87.614 -166.7816
233.000000 87.655 -167.3493
236.000000 87.685 -167.9082
240.000000 87.726 -168.6239
243.000000 87.759 -169.1586
247.000000 87.805 -169.8668
250.000000 87.831 -170.4437
254.000000 87.863 -171.2341
258.000000 87.903 -171.9141
262.000000 87.935 -172.5955
265.000000 87.957 -173.1447
269.000000 87.981 -173.8497
272.000000 87.995 -174.3503
276.000000 88.010 -175.0437
280.000000 88.025 -175.7255
285.000000 88.037 -176.5220
290.000000 88.037 -177.3100
295.000000 88.029 -178.0607
300.000000 88.024 -178.7076
304.000000 88.022 -179.1542
307.000000 88.022 -179.4657
311.000000 88.020 -179.8558
315.000000 88.019 179.7755
320.000000 88.024 179.2988
325.000000 88.032 178.8589
330.000000 88.041 178.4506
335.000000 88.059 178.0298
340.000000 88.075 177.5736
345.000000 88.088 177.0920
350.000000 88.099 176.6092
355.000000 88.101 176.1276
360.000000 88.095 175.6264
365.000000 88.079 175.0815
370.000000 88.049 174.5686
375.000000 88.005 174.1871
382.000000 87.926 173.9925
387.000000 87.880 174.0734
395.000000 87.861 174.5304
400.000000 87.890 174.8549
406.000000 87.953 175.1339
412.000000 88.037 175.3095
418.000000 88.133 175.3279
425.000000 88.255 175.1360
431.000000 88.358 174.8568
437.000000 88.449 174.5196
444.000000 88.549 174.0709
450.000000 88.629 173.6383
455.000000 88.691 173.2582
462.000000 88.770 172.7218
468.000000 88.836 172.2665
475.000000 88.901 171.6934
482.000000 88.957 171.1208
487.000000 88.999 170.7540
494.000000 89.057 170.2448
500.000000 89.104 169.7937
508.000000 89.162 169.1712
515.000000 89.211 168.6526
522.000000 89.261 168.1616
530.000000 89.316 167.5872
538.000000 89.370 166.9983
545.000000 89.414 166.4871
552.000000 89.457 165.9739
560.000000 89.507 165.3895
570.000000 89.564 164.6751
580.000000 89.617 163.9312
590.000000 89.667 163.1817
600.000000 89.709 162.4670
608.000000 89.742 161.8977
615.000000 89.773 161.4055
622.000000 89.803 160.9076
630.000000 89.834 160.3315
640.000000 89.867 159.6143
650.000000 89.893 158.8936
660.000000 89.912 158.1861
670.000000 89.928 157.4948
680.000000 89.943 156.8126
690.000000 89.950 156.1299
700.000000 89.948 155.4777
710.000000 89.943 154.8780
720.000000 89.935 154.2931
730.000000 89.923 153.7370
740.000000 89.910 153.2109
750.000000 89.896 152.7329
762.000000 89.878 152.2189
775.000000 89.860 151.6880
788.000000 89.844 151.2030
800.000000 89.831 150.7827
812.000000 89.820 150.3729
825.000000 89.812 149.9469
838.000000 89.806 149.5102
850.000000 89.800 149.1182
862.000000 89.795 148.6730
875.000000 89.774 148.0822
885.000000 89.737 147.6198
900.000000 89.655 147.1468
912.000000 89.589 147.0206
925.000000 89.538 147.0237
938.000000 89.502 147.0410
950.000000 89.475 147.0785
962.000000 89.455 147.1493
975.000000 89.441 147.2371
988.000000 89.433 147.3128
1000.000000 89.429 147.3760
1015.000000 89.425 147.4697
1030.000000 89.425 147.5855
1044.000000 89.429 147.7240
1060.000000 89.440 147.8970
1075.000000 89.458 148.0422
1090.000000 89.482 148.1766
1106.000000 89.510 148.3294
1120.000000 89.537 148.4650
1138.000000 89.579 148.6428
1150.000000 89.611 148.7527
1172.000000 89.675 148.9233
1180.000000 89.700 148.9704
1206.000000 89.783 149.0752
1220.000000 89.826 149.1254
1241.000000 89.896 149.1812
1250.000000 89.928 149.1837
1265.000000 89.979 149.1635
1280.000000 90.028 149.1214
1315.000000 90.143 148.9752
1320.000000 90.158 148.9464
1340.000000 90.214 148.8101
1360.000000 90.265 148.6635
1380.000000 90.311 148.5126
1400.000000 90.350 148.3594
1430.000000 90.403 148.1324
1450.000000 90.427 147.9724
1475.000000 90.448 147.8288
1500.000000 90.466 147.7187
1525.000000 90.476 147.6726
1550.000000 90.484 147.6777
1575.000000 90.488 147.7622
1600.000000 90.494 147.9179
1625.000000 90.500 148.1448
1650.000000 90.510 148.4437
1675.000000 90.524 148.8302
1700.000000 90.547 149.2916
1725.000000 90.578 149.8001
1750.000000 90.621 150.3799
1775.000000 90.677 150.9771
1800.000000 90.743 151.6173
1825.000000 90.824 152.2620
1850.000000 90.918 152.8975
1875.000000 91.027 153.5068
1900.000000 91.147 154.0742
1925.000000 91.278 154.6045
1950.000000 91.418 155.0919
1975.000000 91.571 155.5284
2000.000000 91.733 155.8797
2030.000000 91.934 156.1845
2060.000000 92.139 156.3922
2090.000000 92.354 156.5056
2120.000000 92.574 156.4523
2140.000000 92.718 156.3483
2180.000000 93.009 155.9675
2200.000000 93.150 155.6603
2240.000000 93.411 154.9088
2270.000000 93.598 154.2901
2300.000000 93.788 153.5757
2330.000000 93.972 152.6589
2360.000000 94.136 151.5571
2400.000000 94.310 149.8981
2430.000000 94.405 148.5859
2470.000000 94.492 146.7975
2500.000000 94.524 145.4545
2540.000000 94.530 143.7313
2580.000000 94.497 142.0743
2620.000000 94.427 140.5427
2650.000000 94.352 139.4791
2690.000000 94.226 138.2076
2720.000000 94.115 137.3598
2760.000000 93.946 136.4016
2800.000000 93.759 135.6659
2850.000000 93.512 135.0349
2900.000000 93.255 134.6970
2950.000000 92.995 134.6419
3000.000000 92.738 134.8480
3040.000000 92.539 135.1956
3070.000000 92.396 135.5363
3110.000000 92.212 136.0778
3150.000000 92.034 136.7398
3200.000000 91.829 137.7115
3250.000000 91.640 138.7881
3300.000000 91.462 139.9763
3350.000000 91.295 141.2433
3400.000000 91.134 142.5840
3450.000000 90.984 144.0073
3500.000000 90.844 145.4913
3550.000000 90.712 147.0341
3600.000000 90.587 148.6338
3650.000000 90.471 150.3317
3700.000000 90.373 152.1052
3750.000000 90.289 153.8797
3820.000000 90.192 156.4064
3870.000000 90.142 158.2321
3950.000000 90.089 161.0335
4000.000000 90.057 162.7192
4060.000000 90.023 164.8080
4120.000000 90.012 166.9113
4180.000000 90.019 168.8701
4250.000000 90.018 171.0070
4310.000000 90.011 172.8367
4370.000000 90.007 174.6739
4440.000000 90.013 176.7589
4500.000000 90.018 178.4118
4550.000000 90.013 179.7224
4620.000000 89.987 -178.4864
4680.000000 89.943 -176.9916
4750.000000 89.858 -175.1144
4820.000000 89.761 -172.9809
4870.000000 89.694 -171.3283
4940.000000 89.603 -168.8286
5000.000000 89.541 -166.3859
5080.000000 89.539 -162.7228
5150.000000 89.653 -159.5541
5220.000000 89.857 -156.8797
5300.000000 90.144 -154.6949
5380.000000 90.422 -153.5256
5450.000000 90.614 -153.2309
5520.000000 90.724 -153.4725
5600.000000 90.729 -154.1405
5700.000000 90.535 -155.1393
