* Measurement data measured by REW V5.30
* Source: EXCL: Qudelix 5K (Qudelix-5K USB DAC/MIC 48KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -35.0 dBFS with no timing reference
* Dated: Jun 30, 2024 8:50:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HZSound Bell Rhyme R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 68.760 -64.9978
20.600000 68.579 -60.7715
20.900000 68.548 -58.0306
21.200001 68.596 -57.5717
21.400000 68.631 -58.2076
21.799999 68.723 -60.3075
22.000000 68.828 -61.2091
22.400000 69.276 -62.1506
22.700001 69.825 -62.4513
23.000000 70.459 -62.9901
23.299999 71.043 -64.0761
23.600000 71.467 -65.6675
24.000000 71.698 -68.0749
24.299999 71.636 -69.6448
24.700001 71.364 -70.9422
25.000000 71.138 -71.2833
25.400000 70.947 -71.2890
25.799999 70.904 -71.2789
26.200001 70.926 -71.2051
26.500000 70.944 -70.7633
26.900000 71.002 -69.1987
27.200001 71.128 -67.4152
27.600000 71.442 -65.1296
28.000000 71.845 -64.0644
28.500000 72.240 -65.0014
29.000000 72.356 -67.3830
29.500000 72.257 -69.3821
30.000000 72.147 -69.6949
30.400000 72.174 -68.6406
30.700001 72.286 -67.4024
31.100000 72.536 -65.7535
31.500000 72.834 -64.7357
32.000000 73.154 -64.8612
32.500000 73.344 -66.2381
33.000000 73.489 -67.9709
33.500000 73.776 -69.5436
34.000000 74.213 -71.2129
34.500000 74.535 -72.8914
35.000000 74.504 -73.2619
35.500000 74.257 -71.0000
36.000000 74.243 -67.7565
36.500000 74.556 -68.1821
37.000000 74.720 -74.1990
37.500000 74.318 -82.8979
38.200001 72.994 -88.3055
38.700001 72.819 -81.2716
39.500000 74.944 -70.0227
40.000000 76.057 -69.8439
40.599998 76.511 -71.4086
41.200001 76.466 -72.0174
41.799999 76.408 -72.2611
42.500000 76.457 -73.0363
43.099998 76.626 -73.3866
43.700001 76.926 -73.5991
44.400002 77.180 -74.1983
45.000000 77.231 -74.1333
45.500000 77.314 -73.5276
46.200001 77.576 -73.4054
46.799999 77.694 -74.3097
47.500000 77.604 -74.6421
48.200001 77.584 -73.7218
48.700001 77.698 -73.3718
49.400002 77.930 -73.9691
50.000000 78.169 -75.2793
50.799999 78.413 -78.0774
51.500000 78.321 -80.0706
52.200001 78.157 -79.5608
53.000000 78.426 -78.0885
53.799999 78.852 -78.7074
54.500000 79.085 -79.1095
55.200001 79.296 -78.5913
56.000000 79.270 -77.0543
57.000000 79.031 -70.7826
58.000000 79.530 -69.8536
59.000000 79.282 -80.0709
60.000000 78.548 -85.1509
60.799999 79.061 -83.1071
61.500000 79.796 -82.4313
62.200001 80.181 -82.6283
63.000000 80.310 -82.4605
64.000000 80.517 -82.7066
65.000000 80.785 -84.1595
66.000000 80.876 -85.2635
67.000000 80.819 -85.2949
68.000000 80.873 -84.7078
69.000000 81.200 -84.4810
70.000000 81.501 -85.6375
71.000000 81.494 -86.5303
72.000000 81.554 -86.3474
73.000000 81.793 -87.0981
74.000000 81.931 -88.2092
75.000000 81.949 -89.2500
76.199997 81.831 -90.4214
77.500000 82.094 -90.6063
78.800003 82.499 -91.1889
80.000000 82.658 -90.9343
81.199997 82.804 -90.8728
82.500000 82.969 -91.3841
83.800003 83.134 -92.1010
85.000000 83.275 -92.7889
86.199997 83.361 -93.1669
87.500000 83.418 -93.5414
88.500000 83.489 -93.8838
90.000000 83.623 -94.2446
91.199997 83.712 -94.6466
92.500000 83.815 -95.2266
93.800003 83.871 -95.8946
95.000000 83.830 -96.7339
96.199997 83.878 -97.0816
97.500000 84.106 -97.4395
98.800003 84.249 -97.9637
100.000000 84.319 -98.2112
101.500000 84.440 -98.4889
103.000000 84.561 -98.8963
104.400002 84.654 -99.3881
106.000000 84.772 -99.9312
107.500000 84.861 -100.4020
109.000000 84.953 -100.7359
110.599998 85.056 -101.1228
112.000000 85.124 -101.5679
113.800003 85.203 -101.9309
115.000000 85.263 -102.1665
117.199997 85.394 -103.0493
118.000000 85.427 -103.1993
120.599998 85.544 -103.6517
122.000000 85.613 -104.4376
124.099998 85.698 -105.2090
125.000000 85.744 -105.3615
126.500000 85.822 -105.5744
128.000000 85.890 -105.8744
131.500000 85.991 -107.3104
132.000000 85.972 -107.5088
134.000000 85.861 -108.1084
136.000000 85.976 -108.0407
138.000000 86.176 -108.2193
140.000000 86.294 -108.9495
143.000000 86.378 -109.6971
145.000000 86.447 -110.0993
147.500000 86.528 -110.4708
150.000000 86.594 -111.0489
152.500000 86.738 -111.7044
155.000000 86.799 -112.1847
157.500000 86.798 -112.6739
160.000000 86.847 -112.9758
162.500000 86.884 -113.1505
165.000000 86.934 -113.5926
167.500000 86.999 -114.0214
170.000000 87.044 -114.3237
172.500000 87.081 -114.5613
175.000000 87.118 -115.0540
177.500000 87.168 -115.4996
180.000000 87.221 -115.8114
182.500000 87.268 -116.1702
185.000000 87.313 -116.5155
187.500000 87.356 -116.8229
190.000000 87.396 -117.2750
192.500000 87.433 -117.7059
195.000000 87.454 -117.8228
197.500000 87.476 -117.9698
200.000000 87.507 -118.2259
203.000000 87.540 -118.5192
206.000000 87.568 -118.7877
209.000000 87.606 -119.0707
212.000000 87.646 -119.3284
214.000000 87.661 -119.4921
218.000000 87.691 -119.8399
220.000000 87.708 -120.0453
224.000000 87.751 -120.4509
227.000000 87.798 -120.7016
230.000000 87.839 -121.0442
233.000000 87.837 -121.2372
236.000000 87.834 -121.4349
240.000000 87.848 -121.7420
243.000000 87.865 -121.9804
247.000000 87.885 -122.3768
250.000000 87.893 -122.5936
254.000000 87.908 -122.6459
258.000000 87.924 -122.7921
262.000000 87.935 -122.8924
265.000000 87.932 -122.8905
269.000000 87.924 -122.9465
272.000000 87.916 -123.3015
276.000000 87.899 -123.6254
280.000000 87.880 -123.7343
285.000000 87.874 -123.9810
290.000000 87.864 -124.0661
295.000000 87.831 -123.7642
300.000000 87.824 -123.6182
304.000000 87.826 -123.4314
307.000000 87.818 -123.2947
311.000000 87.806 -123.2598
315.000000 87.795 -123.1580
320.000000 87.784 -122.9514
325.000000 87.780 -122.7172
330.000000 87.795 -122.4917
335.000000 87.807 -122.2776
340.000000 87.827 -122.0467
345.000000 87.851 -121.8757
350.000000 87.862 -121.5172
355.000000 87.875 -121.1558
360.000000 87.886 -120.9029
365.000000 87.904 -120.6380
370.000000 87.949 -120.0544
375.000000 87.990 -119.5588
382.000000 88.068 -119.0183
387.000000 88.151 -118.6826
395.000000 88.302 -118.4738
400.000000 88.390 -118.6626
406.000000 88.462 -118.9057
412.000000 88.493 -119.1325
418.000000 88.494 -119.4650
425.000000 88.485 -119.6367
431.000000 88.476 -119.5875
437.000000 88.464 -119.4584
444.000000 88.458 -119.2142
450.000000 88.463 -118.9925
455.000000 88.477 -118.8230
462.000000 88.500 -118.5672
468.000000 88.519 -118.2810
475.000000 88.541 -117.9945
482.000000 88.556 -117.7555
487.000000 88.567 -117.6168
494.000000 88.590 -117.4360
500.000000 88.612 -117.2591
508.000000 88.645 -117.0499
515.000000 88.675 -116.9071
522.000000 88.696 -116.6265
530.000000 88.717 -116.2973
538.000000 88.746 -116.0825
545.000000 88.767 -115.8771
552.000000 88.786 -115.6585
560.000000 88.808 -115.4536
570.000000 88.834 -115.2881
580.000000 88.865 -115.0864
590.000000 88.899 -114.8928
600.000000 88.934 -114.6832
608.000000 88.960 -114.4876
615.000000 88.979 -114.3545
622.000000 88.995 -114.2448
630.000000 89.014 -114.1561
640.000000 89.031 -114.0063
650.000000 89.040 -113.8451
660.000000 89.043 -113.7345
670.000000 89.044 -113.6306
680.000000 89.047 -113.5223
690.000000 89.045 -113.4110
700.000000 89.039 -113.2634
710.000000 89.026 -113.0901
720.000000 89.007 -112.8244
730.000000 88.990 -112.5423
740.000000 88.981 -112.2373
750.000000 88.975 -111.9541
762.000000 88.963 -111.7267
775.000000 88.958 -111.4564
788.000000 88.955 -111.2044
800.000000 88.934 -111.0587
812.000000 88.896 -110.9173
825.000000 88.837 -110.6974
838.000000 88.779 -110.3383
850.000000 88.723 -109.9038
862.000000 88.669 -109.4002
875.000000 88.619 -108.7423
885.000000 88.583 -108.2591
900.000000 88.533 -107.5821
912.000000 88.498 -106.9990
925.000000 88.462 -106.3573
938.000000 88.425 -105.7238
950.000000 88.392 -105.1300
962.000000 88.364 -104.5230
975.000000 88.335 -103.8599
988.000000 88.308 -103.2005
1000.000000 88.284 -102.5622
1015.000000 88.254 -101.7131
1030.000000 88.226 -100.8737
1044.000000 88.202 -100.0826
1060.000000 88.178 -99.1525
1075.000000 88.168 -98.2479
1090.000000 88.170 -97.3626
1106.000000 88.173 -96.4533
1120.000000 88.174 -95.6880
1138.000000 88.177 -94.6974
1150.000000 88.185 -94.0288
1172.000000 88.203 -92.8443
1180.000000 88.215 -92.4535
1206.000000 88.258 -91.1844
1220.000000 88.279 -90.4914
1241.000000 88.301 -89.5649
1250.000000 88.312 -89.2151
1265.000000 88.336 -88.6630
1280.000000 88.360 -88.0775
1315.000000 88.397 -86.6446
1320.000000 88.403 -86.4612
1340.000000 88.421 -85.8410
1360.000000 88.429 -85.3260
1380.000000 88.422 -84.9246
1400.000000 88.406 -84.2962
1430.000000 88.382 -83.3493
1450.000000 88.371 -82.7902
1475.000000 88.302 -82.0073
1500.000000 88.238 -81.3415
1525.000000 88.164 -80.5407
1550.000000 88.064 -79.4631
1575.000000 87.978 -78.5312
1600.000000 87.884 -77.5170
1625.000000 87.771 -76.2896
1650.000000 87.673 -74.9248
1675.000000 87.572 -73.4606
1700.000000 87.476 -71.8841
1725.000000 87.397 -70.1624
1750.000000 87.327 -68.3921
1775.000000 87.260 -66.4830
1800.000000 87.222 -64.4165
1825.000000 87.226 -62.3380
1850.000000 87.239 -60.3235
1875.000000 87.249 -58.2916
1900.000000 87.292 -56.2474
1925.000000 87.366 -54.2217
1950.000000 87.452 -52.2014
1975.000000 87.547 -50.1013
2000.000000 87.665 -48.0572
2030.000000 87.830 -45.7050
2060.000000 88.028 -43.4429
2090.000000 88.249 -41.4228
2120.000000 88.486 -39.6176
2140.000000 88.648 -38.4888
2180.000000 88.969 -36.4626
2200.000000 89.126 -35.5319
2240.000000 89.446 -33.6532
2270.000000 89.716 -32.2053
2300.000000 90.020 -30.9406
2330.000000 90.340 -29.9908
2360.000000 90.655 -29.3110
2400.000000 91.054 -28.7444
2430.000000 91.341 -28.4932
2470.000000 91.717 -28.3477
2500.000000 91.991 -28.4067
2540.000000 92.342 -28.7664
2580.000000 92.662 -29.4275
2620.000000 92.947 -30.2551
2650.000000 93.140 -31.0029
2690.000000 93.363 -32.1423
2720.000000 93.504 -33.0616
2760.000000 93.662 -34.3563
2800.000000 93.778 -35.7190
2850.000000 93.871 -37.4063
2900.000000 93.906 -39.0332
2950.000000 93.887 -40.5285
3000.000000 93.821 -41.8763
3040.000000 93.737 -42.8098
3070.000000 93.660 -43.4072
3110.000000 93.546 -44.0633
3150.000000 93.423 -44.5858
3200.000000 93.258 -45.0667
3250.000000 93.086 -45.3565
3300.000000 92.911 -45.4862
3350.000000 92.730 -45.4842
3400.000000 92.548 -45.3016
3450.000000 92.376 -44.9770
3500.000000 92.209 -44.5979
3550.000000 92.039 -44.1164
3600.000000 91.873 -43.5017
3650.000000 91.717 -42.7650
3700.000000 91.573 -41.9293
3750.000000 91.444 -41.0287
3820.000000 91.289 -39.7331
3870.000000 91.192 -38.7710
3950.000000 91.064 -37.2255
4000.000000 90.998 -36.2686
4060.000000 90.933 -35.1756
4120.000000 90.875 -34.1559
4180.000000 90.818 -33.1774
4250.000000 90.761 -32.0046
4310.000000 90.722 -31.0316
4370.000000 90.697 -30.0879
4440.000000 90.689 -29.0933
4500.000000 90.695 -28.3708
4550.000000 90.708 -27.8616
4620.000000 90.725 -27.3392
4680.000000 90.729 -27.0104
4750.000000 90.712 -26.7611
4820.000000 90.664 -26.5366
