* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Jan 25, 2025 5:35:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: JBL Flex (Bare EQ Off) L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.276 20.8158
20.600000 86.351 19.4697
20.900000 86.432 18.0040
21.200001 86.509 16.5409
21.400000 86.560 15.5798
21.799999 86.660 13.7045
22.000000 86.711 12.7906
22.400000 86.816 10.9965
22.700001 86.895 9.6617
23.000000 86.973 8.3204
23.299999 87.048 6.9659
23.600000 87.116 5.6009
24.000000 87.198 3.7819
24.299999 87.253 2.4336
24.700001 87.322 0.6710
25.000000 87.373 -0.6241
25.400000 87.443 -2.3239
25.799999 87.515 -4.0045
26.200001 87.589 -5.6716
26.500000 87.644 -6.9117
26.900000 87.718 -8.5480
27.200001 87.773 -9.7616
27.600000 87.846 -11.3640
28.000000 87.916 -12.9531
28.500000 87.994 -14.9261
29.000000 88.062 -16.8856
29.500000 88.121 -18.8321
30.000000 88.180 -20.7712
30.400000 88.233 -22.3227
30.700001 88.276 -23.4877
31.100000 88.337 -25.0405
31.500000 88.402 -26.5853
32.000000 88.479 -28.4914
32.500000 88.549 -30.3662
33.000000 88.609 -32.2291
33.500000 88.657 -34.1096
34.000000 88.695 -36.0101
34.500000 88.727 -37.8959
35.000000 88.764 -39.7338
35.500000 88.819 -41.5439
36.000000 88.891 -43.3852
36.500000 88.966 -45.2759
37.000000 89.031 -47.1499
37.500000 89.087 -48.9154
38.200001 89.169 -51.2106
38.700001 89.232 -52.8653
39.500000 89.305 -55.7012
40.000000 89.329 -57.5131
40.599998 89.364 -59.6475
41.200001 89.423 -61.7866
41.799999 89.489 -63.9582
42.500000 89.541 -66.4056
43.099998 89.564 -68.3525
43.700001 89.584 -70.2355
44.400002 89.617 -72.4751
45.000000 89.663 -74.4579
45.500000 89.715 -76.1692
46.200001 89.788 -78.6698
46.799999 89.823 -80.8144
47.500000 89.839 -83.1391
48.200001 89.876 -85.3496
48.700001 89.922 -87.0169
49.400002 89.983 -89.5122
50.000000 90.013 -91.6262
50.799999 90.043 -94.2080
51.500000 90.080 -96.3726
52.200001 90.115 -98.5970
53.000000 90.151 -101.2019
53.799999 90.193 -103.8629
54.500000 90.228 -106.2198
55.200001 90.253 -108.5095
56.000000 90.281 -111.0152
57.000000 90.320 -114.1567
58.000000 90.344 -117.3461
59.000000 90.365 -120.4568
60.000000 90.399 -123.5569
60.799999 90.429 -126.1456
61.500000 90.442 -128.4886
62.200001 90.443 -130.7989
63.000000 90.450 -133.3254
64.000000 90.485 -136.4750
65.000000 90.512 -139.6938
66.000000 90.530 -142.8407
67.000000 90.556 -146.0158
68.000000 90.572 -149.2067
69.000000 90.578 -152.3062
70.000000 90.576 -155.3819
71.000000 90.565 -158.4570
72.000000 90.557 -161.5588
73.000000 90.551 -164.7052
74.000000 90.542 -167.8048
75.000000 90.536 -170.8319
76.199997 90.531 -174.4857
77.500000 90.523 -178.5315
78.800003 90.506 177.4847
80.000000 90.484 173.9384
81.199997 90.455 170.3604
82.500000 90.413 166.4176
83.800003 90.388 162.5189
85.000000 90.356 158.9427
86.199997 90.307 155.3912
87.500000 90.262 151.5467
88.500000 90.238 148.6600
90.000000 90.197 144.4044
91.199997 90.157 140.9135
92.500000 90.111 136.9680
93.800003 90.045 133.0786
95.000000 89.970 129.7789
96.199997 89.895 126.5406
97.500000 89.810 122.8661
98.800003 89.742 119.1573
100.000000 89.685 115.7842
101.500000 89.591 111.5917
103.000000 89.504 107.4497
104.400002 89.433 103.6378
106.000000 89.337 99.3352
107.500000 89.240 95.3715
109.000000 89.139 91.4746
110.599998 89.032 87.3305
112.000000 88.940 83.7292
113.800003 88.819 79.1589
115.000000 88.742 76.0909
117.199997 88.609 70.5221
118.000000 88.561 68.5421
120.599998 88.397 62.2209
122.000000 88.296 58.8870
124.099998 88.156 53.8559
125.000000 88.100 51.7029
126.500000 88.014 48.1586
128.000000 87.935 44.6967
131.500000 87.746 36.8552
132.000000 87.722 35.7426
134.000000 87.629 31.3730
136.000000 87.536 27.1132
138.000000 87.459 22.6763
140.000000 87.381 18.1519
143.000000 87.307 11.6446
145.000000 87.279 7.4162
147.500000 87.244 2.0774
150.000000 87.223 -3.1182
152.500000 87.206 -8.5754
155.000000 87.190 -13.9036
157.500000 87.188 -19.1075
160.000000 87.198 -24.6129
162.500000 87.249 -30.2015
165.000000 87.293 -35.8492
167.500000 87.335 -41.3255
170.000000 87.377 -46.8350
172.500000 87.435 -52.4258
175.000000 87.522 -58.0720
177.500000 87.609 -63.7463
180.000000 87.680 -69.4589
182.500000 87.764 -75.3801
185.000000 87.850 -81.3643
187.500000 87.924 -87.2350
190.000000 87.998 -92.9960
192.500000 88.095 -99.1024
195.000000 88.192 -105.3177
197.500000 88.277 -111.4194
200.000000 88.353 -117.6675
203.000000 88.450 -125.1147
206.000000 88.542 -132.5978
209.000000 88.620 -140.2462
212.000000 88.684 -147.8049
214.000000 88.742 -152.8439
218.000000 88.873 -162.7599
220.000000 88.906 -167.7311
224.000000 88.952 -177.8932
227.000000 89.018 174.3710
230.000000 89.094 166.6087
233.000000 89.168 158.9343
236.000000 89.255 151.2068
240.000000 89.367 140.9230
243.000000 89.388 133.2896
247.000000 89.412 123.0471
250.000000 89.447 115.4155
254.000000 89.512 105.2538
258.000000 89.583 94.9884
262.000000 89.656 84.6827
265.000000 89.702 76.9308
269.000000 89.759 66.7551
272.000000 89.808 59.0929
276.000000 89.866 48.7868
280.000000 89.898 38.5858
285.000000 89.956 25.6960
290.000000 90.048 12.7213
295.000000 90.074 -0.3173
300.000000 90.029 -13.1666
304.000000 89.994 -23.2845
307.000000 89.992 -30.5466
311.000000 90.006 -39.7157
315.000000 90.039 -48.5703
320.000000 90.123 -59.3270
325.000000 90.243 -69.3131
330.000000 90.347 -78.6893
335.000000 90.394 -87.8102
340.000000 90.395 -96.9258
345.000000 90.392 -106.1494
350.000000 90.418 -115.2588
355.000000 90.456 -124.4403
360.000000 90.497 -133.6908
365.000000 90.528 -142.3984
370.000000 90.562 -151.0728
375.000000 90.607 -159.8196
382.000000 90.680 -171.9705
387.000000 90.739 179.3906
395.000000 90.839 165.5144
400.000000 90.908 156.8456
406.000000 90.993 146.5544
412.000000 91.099 136.2749
418.000000 91.215 125.8743
425.000000 91.338 114.0571
431.000000 91.444 103.9253
437.000000 91.562 93.6786
444.000000 91.702 81.7188
450.000000 91.813 71.5074
455.000000 91.910 63.0171
462.000000 92.060 51.1184
468.000000 92.200 40.8660
475.000000 92.357 28.8518
482.000000 92.493 16.8781
487.000000 92.587 8.3019
494.000000 92.723 -3.8373
500.000000 92.837 -14.2684
508.000000 92.969 -28.1957
515.000000 93.065 -40.3795
522.000000 93.137 -52.5793
530.000000 93.191 -66.4412
538.000000 93.222 -80.1906
545.000000 93.235 -92.1149
552.000000 93.227 -103.9568
560.000000 93.199 -117.3784
570.000000 93.142 -133.9297
580.000000 93.077 -150.3113
590.000000 93.013 -166.3470
600.000000 92.942 177.9757
608.000000 92.879 165.5581
615.000000 92.829 154.7610
622.000000 92.782 144.0270
630.000000 92.727 131.8320
640.000000 92.660 116.7695
650.000000 92.589 101.9244
660.000000 92.524 87.1796
670.000000 92.477 72.5916
680.000000 92.425 58.1368
690.000000 92.374 43.8203
700.000000 92.324 29.6366
710.000000 92.274 15.5000
720.000000 92.231 1.5061
730.000000 92.190 -12.3123
740.000000 92.151 -26.0503
750.000000 92.119 -39.6931
762.000000 92.091 -55.9895
775.000000 92.070 -73.4470
788.000000 92.056 -90.7321
800.000000 92.045 -106.6102
812.000000 92.043 -122.3304
825.000000 92.049 -139.1595
838.000000 92.058 -155.9218
850.000000 92.079 -171.3624
862.000000 92.112 173.2506
875.000000 92.147 156.5314
885.000000 92.156 143.6752
900.000000 92.133 124.5740
912.000000 92.097 109.5426
925.000000 92.051 93.4955
938.000000 92.012 77.7598
950.000000 92.002 63.4000
962.000000 92.019 49.1672
975.000000 92.051 33.8042
988.000000 92.085 18.4271
1000.000000 92.119 4.2714
1015.000000 92.157 -13.3062
1030.000000 92.204 -30.7101
1044.000000 92.254 -46.8468
1060.000000 92.316 -65.2371
1075.000000 92.378 -82.3862
1090.000000 92.435 -99.4453
1106.000000 92.501 -117.4946
1120.000000 92.573 -133.2554
1138.000000 92.656 -153.3838
1150.000000 92.703 -166.6941
1172.000000 92.795 169.0869
1180.000000 92.825 160.3462
1206.000000 92.914 131.9590
1220.000000 92.974 116.8286
1241.000000 93.063 94.3169
1250.000000 93.098 84.7158
1265.000000 93.148 68.8369
1280.000000 93.186 53.0864
1315.000000 93.298 16.6289
1320.000000 93.315 11.4814
1340.000000 93.368 -8.9993
1360.000000 93.409 -29.3179
1380.000000 93.455 -49.4587
1400.000000 93.507 -69.4207
1430.000000 93.573 -98.9287
1450.000000 93.613 -118.3359
1475.000000 93.670 -142.3503
1500.000000 93.732 -166.1157
1525.000000 93.799 170.3960
1550.000000 93.872 147.1929
1575.000000 93.947 124.2397
1600.000000 94.028 101.5708
1625.000000 94.118 79.1641
1650.000000 94.216 56.9775
1675.000000 94.315 35.0398
1700.000000 94.420 13.3062
1725.000000 94.535 -8.2336
1750.000000 94.659 -29.5398
1775.000000 94.790 -50.6621
1800.000000 94.929 -71.6035
1825.000000 95.079 -92.4058
1850.000000 95.238 -113.0762
1875.000000 95.404 -133.5405
1900.000000 95.572 -153.9082
1925.000000 95.750 -174.1616
1950.000000 95.930 165.7651
1975.000000 96.103 145.8037
2000.000000 96.276 125.9421
2030.000000 96.477 102.2944
2060.000000 96.669 78.8491
2090.000000 96.873 55.4558
2120.000000 97.082 32.3435
2140.000000 97.210 17.0625
2180.000000 97.453 -13.3018
2200.000000 97.569 -28.3411
2240.000000 97.795 -58.2388
2270.000000 97.956 -80.5598
2300.000000 98.107 -102.6731
2330.000000 98.245 -124.5283
2360.000000 98.373 -146.1597
2400.000000 98.525 -174.8450
2430.000000 98.629 163.8660
2470.000000 98.746 135.8052
2500.000000 98.820 114.9575
2540.000000 98.894 87.4668
2580.000000 98.926 60.3521
2620.000000 98.924 33.6638
2650.000000 98.925 13.8069
2690.000000 98.920 -12.5317
2720.000000 98.902 -31.9297
2760.000000 98.845 -57.3340
2800.000000 98.752 -82.3989
2850.000000 98.590 -113.1631
2900.000000 98.392 -143.2104
2950.000000 98.165 -172.5884
3000.000000 97.907 158.7739
3040.000000 97.680 136.4331
3070.000000 97.500 119.9644
3110.000000 97.255 98.4119
3150.000000 97.012 77.3647
3200.000000 96.722 51.6548
3250.000000 96.439 26.4758
3300.000000 96.142 1.8818
3350.000000 95.827 -22.0867
3400.000000 95.509 -45.4360
3450.000000 95.193 -68.1311
3500.000000 94.884 -90.2349
3550.000000 94.579 -111.7852
3600.000000 94.285 -132.7825
3650.000000 94.002 -153.1707
3700.000000 93.725 -173.0190
3750.000000 93.458 167.6140
3820.000000 93.110 141.2915
3870.000000 92.860 123.0981
3950.000000 92.461 94.9509
4000.000000 92.229 78.0051
4060.000000 91.960 58.2969
4120.000000 91.696 39.2153
4180.000000 91.428 20.8213
4250.000000 91.127 0.3525
4310.000000 90.893 -16.3760
4370.000000 90.700 -32.3589
4440.000000 90.514 -50.1572
4500.000000 90.396 -64.6504
4550.000000 90.337 -76.1978
4620.000000 90.332 -91.7246
4680.000000 90.410 -104.4902
4750.000000 90.603 -118.9131
4820.000000 90.906 -133.0371
4870.000000 91.186 -143.0098
4940.000000 91.639 -156.9961
5000.000000 92.052 -169.1768
5080.000000 92.602 174.3608
5150.000000 93.050 159.8892
5220.000000 93.435 145.4707
5300.000000 93.774 129.2129
5380.000000 94.001 113.3701
5450.000000 94.116 100.0791
5520.000000 94.174 87.4185
5600.000000 94.175 73.7368
5700.000000 94.092 57.9463
