* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Jan 25, 2025 5:39:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: JBL Flex (Bare EQ Off) R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 87.898 15.0747
20.600000 87.956 13.7318
20.900000 88.021 12.2773
21.200001 88.089 10.8071
21.400000 88.135 9.8188
21.799999 88.226 7.8267
22.000000 88.271 6.8305
22.400000 88.356 4.8637
22.700001 88.416 3.4275
23.000000 88.475 2.0281
23.299999 88.534 0.6551
23.600000 88.593 -0.7098
24.000000 88.672 -2.5471
24.299999 88.728 -3.9475
24.700001 88.796 -5.8316
25.000000 88.843 -7.2363
25.400000 88.902 -9.0672
25.799999 88.963 -10.8364
26.200001 89.027 -12.5566
26.500000 89.076 -13.8309
26.900000 89.139 -15.5255
27.200001 89.181 -16.7957
27.600000 89.231 -18.4819
28.000000 89.274 -20.1511
28.500000 89.328 -22.2145
29.000000 89.390 -24.2721
29.500000 89.460 -26.3427
30.000000 89.531 -28.4265
30.400000 89.585 -30.0941
30.700001 89.620 -31.3385
31.100000 89.659 -32.9782
31.500000 89.687 -34.5811
32.000000 89.715 -36.5165
32.500000 89.746 -38.3883
33.000000 89.789 -40.2500
33.500000 89.842 -42.1581
34.000000 89.898 -44.1228
34.500000 89.948 -46.1098
35.000000 89.990 -48.0832
35.500000 90.024 -50.0305
36.000000 90.050 -51.9421
36.500000 90.069 -53.7953
37.000000 90.090 -55.5870
37.500000 90.124 -57.3710
38.200001 90.190 -60.0013
38.700001 90.232 -61.9811
39.500000 90.278 -65.0985
40.000000 90.304 -66.9345
40.599998 90.338 -69.0838
41.200001 90.367 -71.2511
41.799999 90.386 -73.4302
42.500000 90.408 -75.9483
43.099998 90.436 -78.0882
43.700001 90.470 -80.2051
44.400002 90.512 -82.6476
45.000000 90.544 -84.7748
45.500000 90.560 -86.5877
46.200001 90.566 -89.0909
46.799999 90.573 -91.1157
47.500000 90.609 -93.4152
48.200001 90.661 -95.8249
48.700001 90.688 -97.6216
49.400002 90.704 -100.1295
50.000000 90.708 -102.1931
50.799999 90.716 -104.8360
51.500000 90.724 -107.1371
52.200001 90.723 -109.4709
53.000000 90.714 -112.1320
53.799999 90.713 -114.7785
54.500000 90.722 -117.1458
55.200001 90.729 -119.5786
56.000000 90.732 -122.3812
57.000000 90.744 -125.7844
58.000000 90.776 -129.0314
59.000000 90.801 -132.3474
60.000000 90.789 -135.7157
60.799999 90.780 -138.3269
61.500000 90.783 -140.5766
62.200001 90.786 -142.8057
63.000000 90.785 -145.3543
64.000000 90.766 -148.6457
65.000000 90.727 -151.9662
66.000000 90.700 -155.2845
67.000000 90.679 -158.6543
68.000000 90.656 -161.8668
69.000000 90.646 -164.9470
70.000000 90.638 -168.0718
71.000000 90.628 -171.2818
72.000000 90.608 -174.5379
73.000000 90.577 -177.7177
74.000000 90.547 179.1794
75.000000 90.518 176.0597
76.199997 90.470 172.2955
77.500000 90.414 168.2016
78.800003 90.361 164.0938
80.000000 90.314 160.3593
81.199997 90.264 156.6436
82.500000 90.202 152.6566
83.800003 90.127 148.6809
85.000000 90.053 145.0504
86.199997 89.984 141.4468
87.500000 89.900 137.5628
88.500000 89.851 134.5921
90.000000 89.798 130.1526
91.199997 89.722 126.6284
92.500000 89.605 122.7501
93.800003 89.507 118.9103
95.000000 89.428 115.3893
96.199997 89.336 111.9161
97.500000 89.243 108.2104
98.800003 89.160 104.5143
100.000000 89.074 101.0979
101.500000 88.951 96.8401
103.000000 88.828 92.6915
104.400002 88.725 88.8786
106.000000 88.609 84.4844
107.500000 88.497 80.4142
109.000000 88.376 76.4018
110.599998 88.236 72.1311
112.000000 88.114 68.4479
113.800003 87.966 63.8406
115.000000 87.867 60.7951
117.199997 87.688 55.1526
118.000000 87.623 53.0665
120.599998 87.406 46.5136
122.000000 87.294 43.2388
124.099998 87.133 38.3040
125.000000 87.068 36.1834
126.500000 86.963 32.6902
128.000000 86.858 29.2168
131.500000 86.617 21.2118
132.000000 86.585 20.0743
134.000000 86.461 15.5486
136.000000 86.346 11.1398
138.000000 86.245 6.7734
140.000000 86.154 2.4200
143.000000 86.036 -4.0216
145.000000 85.974 -8.3190
147.500000 85.899 -13.8539
150.000000 85.827 -19.4303
152.500000 85.770 -24.7715
155.000000 85.738 -30.0845
157.500000 85.744 -35.6106
160.000000 85.783 -41.1741
162.500000 85.803 -46.4567
165.000000 85.784 -51.8040
167.500000 85.787 -57.3266
170.000000 85.830 -62.9844
172.500000 85.890 -68.7434
175.000000 85.942 -74.5458
177.500000 85.986 -80.3823
180.000000 86.036 -85.9883
182.500000 86.103 -91.8884
185.000000 86.171 -97.9332
187.500000 86.223 -103.7784
190.000000 86.274 -109.7635
192.500000 86.310 -115.8677
195.000000 86.334 -122.0074
197.500000 86.388 -128.0217
200.000000 86.486 -134.2117
203.000000 86.578 -141.6713
206.000000 86.651 -149.0020
209.000000 86.721 -156.3214
212.000000 86.759 -163.8685
214.000000 86.803 -169.1572
218.000000 86.960 -179.3139
220.000000 87.032 175.6051
224.000000 87.101 165.2815
227.000000 87.114 157.4926
230.000000 87.148 149.7964
233.000000 87.192 142.1722
236.000000 87.247 134.3973
240.000000 87.305 123.9951
243.000000 87.297 116.4952
247.000000 87.303 106.3290
250.000000 87.336 98.5584
254.000000 87.389 88.1783
258.000000 87.429 77.9020
262.000000 87.461 67.7798
265.000000 87.469 59.9138
269.000000 87.490 49.4810
272.000000 87.511 41.8074
276.000000 87.522 31.3240
280.000000 87.512 20.8281
285.000000 87.520 8.0944
290.000000 87.543 -4.9110
295.000000 87.527 -18.0399
300.000000 87.440 -30.8259
304.000000 87.338 -40.8539
307.000000 87.267 -48.0890
311.000000 87.209 -57.3492
315.000000 87.199 -66.2368
320.000000 87.237 -76.7591
325.000000 87.305 -86.5007
330.000000 87.355 -95.5156
335.000000 87.343 -104.1904
340.000000 87.298 -113.0331
345.000000 87.306 -122.0137
350.000000 87.330 -130.9856
355.000000 87.345 -139.8640
360.000000 87.382 -148.9683
365.000000 87.432 -157.3986
370.000000 87.489 -165.6089
375.000000 87.541 -174.1215
382.000000 87.612 173.9227
387.000000 87.665 165.3904
395.000000 87.791 151.7874
400.000000 87.875 143.0813
406.000000 87.974 132.8945
412.000000 88.081 122.7440
418.000000 88.204 112.4507
425.000000 88.345 100.6165
431.000000 88.462 90.4819
437.000000 88.550 80.3535
444.000000 88.670 68.5371
450.000000 88.817 58.3529
455.000000 88.937 49.7625
462.000000 89.096 37.7017
468.000000 89.238 27.4160
475.000000 89.392 15.4137
482.000000 89.533 3.4229
487.000000 89.640 -5.1647
494.000000 89.788 -17.2546
500.000000 89.908 -27.6469
508.000000 90.057 -41.7072
515.000000 90.153 -53.9727
522.000000 90.221 -66.1785
530.000000 90.280 -80.0720
538.000000 90.308 -93.9454
545.000000 90.318 -106.0166
552.000000 90.318 -117.9213
560.000000 90.302 -131.3242
570.000000 90.257 -147.7891
580.000000 90.183 -164.0736
590.000000 90.102 179.7809
600.000000 90.026 163.9431
608.000000 89.970 151.4895
615.000000 89.920 140.7046
622.000000 89.874 129.9819
630.000000 89.829 117.8680
640.000000 89.771 102.9088
650.000000 89.719 88.0394
660.000000 89.676 73.3350
670.000000 89.639 58.8232
680.000000 89.602 44.3621
690.000000 89.580 29.9773
700.000000 89.560 15.7488
710.000000 89.548 1.6583
720.000000 89.541 -12.3170
730.000000 89.537 -26.2812
740.000000 89.534 -40.1760
750.000000 89.543 -53.9963
762.000000 89.560 -70.4822
775.000000 89.569 -88.2302
788.000000 89.572 -105.8156
800.000000 89.577 -121.8718
812.000000 89.576 -137.7535
825.000000 89.580 -154.8993
838.000000 89.605 -171.9419
850.000000 89.640 172.4980
862.000000 89.679 157.0891
875.000000 89.722 140.4202
885.000000 89.754 127.6396
900.000000 89.802 108.6036
912.000000 89.843 93.4886
925.000000 89.892 77.1976
938.000000 89.948 60.9828
950.000000 89.997 46.1249
962.000000 90.044 31.3275
975.000000 90.095 15.4067
988.000000 90.147 -0.3529
1000.000000 90.193 -14.7845
1015.000000 90.249 -32.7465
1030.000000 90.309 -50.5900
1044.000000 90.380 -67.1877
1060.000000 90.470 -85.9902
1075.000000 90.551 -103.4670
1090.000000 90.625 -120.8213
1106.000000 90.705 -139.2485
1120.000000 90.782 -155.2712
1138.000000 90.884 -175.7432
1150.000000 90.959 170.6812
1172.000000 91.096 146.0713
1180.000000 91.139 137.1638
1206.000000 91.299 108.4082
1220.000000 91.394 93.0332
1241.000000 91.526 70.0811
1250.000000 91.577 60.2964
1265.000000 91.664 44.0417
1280.000000 91.756 27.8772
1315.000000 91.961 -9.3279
1320.000000 91.990 -14.5967
1340.000000 92.108 -35.5828
1360.000000 92.224 -56.4209
1380.000000 92.339 -77.0620
1400.000000 92.452 -97.5542
1430.000000 92.635 -128.0078
1450.000000 92.753 -148.1104
1475.000000 92.894 -173.0334
1500.000000 93.045 162.3074
1525.000000 93.198 137.9995
1550.000000 93.345 113.8340
1575.000000 93.500 89.8503
1600.000000 93.653 66.1836
1625.000000 93.812 42.7097
1650.000000 93.978 19.3882
1675.000000 94.147 -3.7034
1700.000000 94.321 -26.5566
1725.000000 94.497 -49.2500
1750.000000 94.672 -71.8208
1775.000000 94.848 -94.2205
1800.000000 95.027 -116.4453
1825.000000 95.207 -138.5129
1850.000000 95.386 -160.4539
1875.000000 95.565 177.7695
1900.000000 95.744 156.1794
1925.000000 95.918 134.7317
1950.000000 96.087 113.3914
1975.000000 96.254 92.2021
2000.000000 96.416 71.1328
2030.000000 96.606 46.0398
2060.000000 96.778 21.1565
2090.000000 96.934 -3.4583
2120.000000 97.082 -27.8540
2140.000000 97.179 -44.0098
2180.000000 97.362 -76.0439
2200.000000 97.448 -91.9233
2240.000000 97.609 -123.3486
2270.000000 97.722 -146.6782
2300.000000 97.828 -169.7966
2330.000000 97.923 167.3132
2360.000000 98.009 144.6221
2400.000000 98.113 114.6716
2430.000000 98.183 92.4177
2470.000000 98.257 63.1458
2500.000000 98.298 41.4197
2540.000000 98.336 12.7139
2580.000000 98.357 -15.5986
2620.000000 98.360 -43.5498
2650.000000 98.342 -64.2881
2690.000000 98.298 -91.5906
2720.000000 98.251 -111.8193
2760.000000 98.169 -138.4614
2800.000000 98.066 -164.6655
2850.000000 97.899 163.1362
2900.000000 97.688 131.6450
2950.000000 97.452 100.8704
3000.000000 97.189 70.8625
3040.000000 96.973 47.3499
3070.000000 96.811 30.0403
3110.000000 96.599 7.3367
3150.000000 96.402 -15.0403
3200.000000 96.150 -42.5127
3250.000000 95.863 -69.4341
3300.000000 95.557 -95.7285
3350.000000 95.245 -121.3271
3400.000000 94.939 -146.2891
3450.000000 94.636 -170.6582
3500.000000 94.334 165.6084
3550.000000 94.038 142.4375
3600.000000 93.762 119.7437
3650.000000 93.503 97.5410
3700.000000 93.254 75.9170
3750.000000 93.008 54.7507
3820.000000 92.682 25.7920
3870.000000 92.451 5.6602
3950.000000 92.087 -25.6094
4000.000000 91.858 -44.5767
4060.000000 91.581 -66.7114
4120.000000 91.314 -88.2139
4180.000000 91.065 -109.1538
4250.000000 90.771 -132.8003
4310.000000 90.519 -152.4785
4370.000000 90.275 -171.5962
4440.000000 89.991 166.8765
4500.000000 89.742 149.1245
4550.000000 89.539 134.8848
4620.000000 89.288 115.6694
4680.000000 89.098 99.7314
4750.000000 88.870 81.8652
4820.000000 88.657 64.8550
4870.000000 88.531 53.1890
4940.000000 88.391 37.4883
5000.000000 88.299 24.6396
5080.000000 88.233 8.3516
5150.000000 88.226 -5.1133
5220.000000 88.295 -17.8545
5300.000000 88.501 -31.9761
5380.000000 88.799 -45.9390
5450.000000 89.111 -58.0674
5520.000000 89.423 -70.2471
5600.000000 89.733 -84.0513
5700.000000 90.050 -100.7017
