* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Jan 25, 2025 5:26:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: JBL Flex (Foam EQ Off) L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 89.252 11.7532
20.600000 89.308 10.3763
20.900000 89.370 8.8935
21.200001 89.432 7.4034
21.400000 89.473 6.4057
21.799999 89.552 4.4014
22.000000 89.589 3.4014
22.400000 89.659 1.4304
22.700001 89.710 -0.0070
23.000000 89.761 -1.4061
23.299999 89.814 -2.7769
23.600000 89.870 -4.1361
24.000000 89.946 -5.9577
24.299999 90.000 -7.3396
24.700001 90.066 -9.1934
25.000000 90.111 -10.5760
25.400000 90.165 -12.3878
25.799999 90.218 -14.1575
26.200001 90.275 -15.9004
26.500000 90.319 -17.2043
26.900000 90.378 -18.9499
27.200001 90.419 -20.2622
27.600000 90.468 -22.0003
28.000000 90.510 -23.7051
28.500000 90.558 -25.7755
29.000000 90.607 -27.7994
29.500000 90.660 -29.8193
30.000000 90.713 -31.8581
30.400000 90.752 -33.4944
30.700001 90.780 -34.7145
31.100000 90.815 -36.3231
31.500000 90.852 -37.9120
32.000000 90.898 -39.8887
32.500000 90.944 -41.8738
33.000000 90.985 -43.8619
33.500000 91.019 -45.8266
34.000000 91.051 -47.7557
34.500000 91.085 -49.6680
35.000000 91.120 -51.5899
35.500000 91.153 -53.5183
36.000000 91.183 -55.4220
36.500000 91.217 -57.2793
37.000000 91.253 -59.1014
37.500000 91.289 -60.9119
38.200001 91.326 -63.4319
38.700001 91.344 -65.2199
39.500000 91.380 -68.1636
40.000000 91.406 -70.1076
40.599998 91.430 -72.4608
41.200001 91.450 -74.6698
41.799999 91.486 -76.7032
42.500000 91.545 -79.0653
43.099998 91.581 -81.2022
43.700001 91.589 -83.3556
44.400002 91.587 -85.7512
45.000000 91.601 -87.7587
45.500000 91.620 -89.4765
46.200001 91.641 -91.9507
46.799999 91.653 -94.0578
47.500000 91.673 -96.4655
48.200001 91.703 -98.8621
48.700001 91.723 -100.5667
49.400002 91.743 -102.9133
50.000000 91.756 -104.8986
50.799999 91.773 -107.5753
51.500000 91.784 -109.9504
52.200001 91.791 -112.3139
53.000000 91.794 -114.9847
53.799999 91.791 -117.6353
54.500000 91.789 -119.9482
55.200001 91.794 -122.2753
56.000000 91.808 -124.9656
57.000000 91.816 -128.3324
58.000000 91.811 -131.6375
59.000000 91.810 -134.8714
60.000000 91.819 -138.0858
60.799999 91.820 -140.6604
61.500000 91.814 -142.9265
62.200001 91.805 -145.2237
63.000000 91.797 -147.8751
64.000000 91.789 -151.1470
65.000000 91.779 -154.3455
66.000000 91.763 -157.5284
67.000000 91.747 -160.7141
68.000000 91.733 -163.9116
69.000000 91.712 -167.1475
70.000000 91.678 -170.3742
71.000000 91.650 -173.5369
72.000000 91.627 -176.6602
73.000000 91.598 -179.7751
74.000000 91.562 177.1180
75.000000 91.527 174.0113
76.199997 91.487 170.2773
77.500000 91.442 166.2137
78.800003 91.396 162.1784
80.000000 91.356 158.5287
81.199997 91.310 154.8757
82.500000 91.246 150.8985
83.800003 91.175 146.9395
85.000000 91.107 143.2900
86.199997 91.038 139.6684
87.500000 90.969 135.8307
88.500000 90.923 132.8704
90.000000 90.844 128.3750
91.199997 90.769 124.8343
92.500000 90.687 121.0699
93.800003 90.605 117.3303
95.000000 90.523 113.8653
96.199997 90.437 110.3667
97.500000 90.347 106.6109
98.800003 90.261 102.9428
100.000000 90.173 99.5856
101.500000 90.058 95.3846
103.000000 89.944 91.2362
104.400002 89.836 87.4452
106.000000 89.712 83.1229
107.500000 89.594 79.0967
109.000000 89.473 75.1164
110.599998 89.344 70.8798
112.000000 89.232 67.2140
113.800003 89.088 62.5958
115.000000 88.993 59.5349
117.199997 88.817 53.9532
118.000000 88.754 51.9390
120.599998 88.556 45.5208
122.000000 88.448 42.1902
124.099998 88.289 37.2115
125.000000 88.222 35.0843
126.500000 88.116 31.5547
128.000000 88.014 28.0582
131.500000 87.788 20.0684
132.000000 87.757 18.9443
134.000000 87.639 14.4639
136.000000 87.530 10.0093
138.000000 87.431 5.6027
140.000000 87.342 1.2809
143.000000 87.236 -5.1874
145.000000 87.168 -9.4796
147.500000 87.093 -14.8567
150.000000 87.034 -20.2328
152.500000 87.001 -25.6046
155.000000 86.978 -30.9369
157.500000 86.965 -36.2883
160.000000 86.960 -41.6935
162.500000 86.976 -47.1612
165.000000 87.004 -52.6582
167.500000 87.031 -58.1694
170.000000 87.062 -63.7740
172.500000 87.106 -69.4419
175.000000 87.162 -75.1068
177.500000 87.223 -80.8075
180.000000 87.286 -86.5732
182.500000 87.344 -92.3613
185.000000 87.407 -98.1924
187.500000 87.475 -104.0669
190.000000 87.545 -110.0067
192.500000 87.619 -115.9854
195.000000 87.691 -122.0198
197.500000 87.760 -128.0943
200.000000 87.828 -134.1758
203.000000 87.910 -141.5091
206.000000 88.000 -148.9153
209.000000 88.089 -156.3911
212.000000 88.171 -163.9054
214.000000 88.221 -168.9065
218.000000 88.313 -178.9479
220.000000 88.360 176.0027
224.000000 88.455 165.8940
227.000000 88.525 158.2610
230.000000 88.595 150.6268
233.000000 88.659 142.9722
236.000000 88.715 135.2604
240.000000 88.784 124.9357
243.000000 88.837 117.1802
247.000000 88.902 106.8594
250.000000 88.944 99.1062
254.000000 88.996 88.7220
258.000000 89.045 78.3321
262.000000 89.092 67.9570
265.000000 89.122 60.1769
269.000000 89.156 49.7872
272.000000 89.178 41.9965
276.000000 89.204 31.6501
280.000000 89.229 21.3276
285.000000 89.255 8.4217
290.000000 89.276 -4.5165
295.000000 89.298 -17.4496
300.000000 89.314 -30.3589
304.000000 89.320 -40.6540
307.000000 89.327 -48.3689
311.000000 89.331 -58.7097
315.000000 89.328 -69.0062
320.000000 89.337 -81.7336
325.000000 89.369 -94.5834
330.000000 89.367 -107.5991
335.000000 89.301 -120.4928
340.000000 89.200 -132.9681
345.000000 89.115 -144.8738
350.000000 89.072 -156.2095
355.000000 89.082 -166.9911
360.000000 89.143 -177.1201
365.000000 89.228 173.4211
370.000000 89.294 164.5125
375.000000 89.318 155.8525
382.000000 89.322 143.4237
387.000000 89.351 134.3975
395.000000 89.430 120.2639
400.000000 89.487 111.4524
406.000000 89.564 100.9091
412.000000 89.649 90.3782
418.000000 89.741 79.8506
425.000000 89.850 67.5920
431.000000 89.946 57.0701
437.000000 90.048 46.5358
444.000000 90.171 34.2812
450.000000 90.281 23.7583
455.000000 90.375 14.9807
462.000000 90.510 2.6959
468.000000 90.628 -7.8623
475.000000 90.763 -20.2135
482.000000 90.897 -32.6345
487.000000 90.992 -41.5302
494.000000 91.120 -54.0021
500.000000 91.221 -64.7262
508.000000 91.338 -79.0596
515.000000 91.418 -91.6025
522.000000 91.479 -104.1257
530.000000 91.522 -118.3770
538.000000 91.538 -132.5654
545.000000 91.533 -144.9128
552.000000 91.513 -157.1477
560.000000 91.475 -170.9456
570.000000 91.407 172.1077
580.000000 91.328 155.4193
590.000000 91.248 138.9736
600.000000 91.169 122.7994
608.000000 91.108 110.0035
615.000000 91.059 98.8865
622.000000 91.015 87.8557
630.000000 90.963 75.3535
640.000000 90.900 59.8878
650.000000 90.848 44.5886
660.000000 90.802 29.4363
670.000000 90.760 14.3781
680.000000 90.720 -0.5845
690.000000 90.685 -15.4119
700.000000 90.656 -30.1201
710.000000 90.631 -44.7285
720.000000 90.609 -59.2606
730.000000 90.589 -73.7179
740.000000 90.572 -88.0507
750.000000 90.557 -102.3047
762.000000 90.545 -119.3071
775.000000 90.534 -137.5607
788.000000 90.529 -155.6445
800.000000 90.526 -172.2102
812.000000 90.527 171.3688
825.000000 90.535 153.6886
838.000000 90.549 136.1211
850.000000 90.573 120.0092
862.000000 90.603 103.9526
875.000000 90.634 86.5691
885.000000 90.645 73.2095
900.000000 90.637 53.3418
912.000000 90.612 37.6296
925.000000 90.579 20.8785
938.000000 90.563 4.4285
950.000000 90.569 -10.5894
962.000000 90.591 -25.5465
975.000000 90.628 -41.7085
988.000000 90.671 -57.7814
1000.000000 90.709 -72.5225
1015.000000 90.762 -90.8398
1030.000000 90.827 -109.0845
1044.000000 90.895 -126.0239
1060.000000 90.976 -145.2607
1075.000000 91.054 -163.1909
1090.000000 91.136 178.9819
1106.000000 91.225 160.0591
1120.000000 91.301 143.5879
1138.000000 91.397 122.5508
1150.000000 91.464 108.6174
1172.000000 91.584 83.2146
1180.000000 91.628 74.0164
1206.000000 91.768 44.3557
1220.000000 91.843 28.5388
1241.000000 91.961 5.0012
1250.000000 92.011 -5.0430
1265.000000 92.090 -21.6909
1280.000000 92.166 -38.2336
1315.000000 92.343 -76.4966
1320.000000 92.368 -81.9221
1340.000000 92.472 -103.5039
1360.000000 92.579 -124.8772
1380.000000 92.685 -146.1016
1400.000000 92.787 -167.1460
1430.000000 92.944 161.6604
1450.000000 93.050 141.0493
1475.000000 93.191 115.5098
1500.000000 93.324 90.2229
1525.000000 93.456 65.1758
1550.000000 93.591 40.4062
1575.000000 93.732 15.8418
1600.000000 93.874 -8.4956
1625.000000 94.017 -32.5723
1650.000000 94.164 -56.4260
1675.000000 94.320 -80.0889
1700.000000 94.479 -103.5537
1725.000000 94.637 -126.8142
1750.000000 94.795 -149.9197
1775.000000 94.955 -172.8635
1800.000000 95.120 164.4619
1825.000000 95.288 141.9441
1850.000000 95.459 119.5093
1875.000000 95.630 97.3259
1900.000000 95.796 75.2595
1925.000000 95.967 53.3145
1950.000000 96.139 31.5647
1975.000000 96.305 9.9827
2000.000000 96.466 -11.4639
2030.000000 96.643 -36.9644
2060.000000 96.810 -62.2881
2090.000000 96.992 -87.4966
2120.000000 97.177 -112.3853
2140.000000 97.289 -128.8274
2180.000000 97.504 -161.4619
2200.000000 97.609 -177.6211
2240.000000 97.810 150.2976
2270.000000 97.956 126.3701
2300.000000 98.092 102.6760
2330.000000 98.219 79.2593
2360.000000 98.333 56.0774
2400.000000 98.470 25.3572
2430.000000 98.570 2.5374
2470.000000 98.689 -27.5488
2500.000000 98.763 -49.9172
2540.000000 98.833 -79.4199
2580.000000 98.865 -108.5413
2620.000000 98.870 -137.2439
2650.000000 98.877 -158.6045
2690.000000 98.881 173.0527
2720.000000 98.872 152.1533
2760.000000 98.827 124.7573
2800.000000 98.747 97.7085
2850.000000 98.602 64.4636
2900.000000 98.418 31.9529
2950.000000 98.202 0.1189
3000.000000 97.956 -30.9773
3040.000000 97.738 -55.2805
3070.000000 97.565 -73.2263
3110.000000 97.332 -96.7368
3150.000000 97.101 -119.7219
3200.000000 96.828 -147.8813
3250.000000 96.560 -175.5188
3300.000000 96.279 157.4307
3350.000000 95.981 131.0459
3400.000000 95.681 105.2688
3450.000000 95.382 80.1365
3500.000000 95.089 55.6118
3550.000000 94.802 31.6953
3600.000000 94.519 8.3569
3650.000000 94.238 -14.5068
3700.000000 93.969 -36.7866
3750.000000 93.709 -58.5332
3820.000000 93.376 -88.1914
3870.000000 93.134 -108.7529
3950.000000 92.747 -140.7012
4000.000000 92.521 -160.0215
4060.000000 92.263 177.4375
4120.000000 92.011 155.5464
4180.000000 91.755 134.3267
4250.000000 91.464 110.5181
4310.000000 91.233 90.9653
4370.000000 91.039 72.1924
4440.000000 90.854 51.1880
4500.000000 90.741 33.8638
4550.000000 90.684 19.9424
4620.000000 90.672 1.1328
4680.000000 90.737 -14.4233
4750.000000 90.915 -32.0854
4820.000000 91.204 -49.4272
4870.000000 91.472 -61.6860
4940.000000 91.908 -78.8472
5000.000000 92.312 -93.7246
5080.000000 92.857 -113.7803
5150.000000 93.305 -131.4092
5220.000000 93.696 -149.0181
5300.000000 94.045 -168.9932
5380.000000 94.271 171.3853
5450.000000 94.374 154.6680
5520.000000 94.406 138.4331
5600.000000 94.355 120.5601
