* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Jan 25, 2025 5:11:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: JBL Flex (Foam EQ Off) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 93.278 6.1893
20.600000 93.333 4.7348
20.900000 93.394 3.1582
21.200001 93.457 1.5677
21.400000 93.498 0.5026
21.799999 93.581 -1.6319
22.000000 93.620 -2.6946
22.400000 93.695 -4.7916
22.700001 93.747 -6.3305
23.000000 93.798 -7.8413
23.299999 93.847 -9.3327
23.600000 93.895 -10.8168
24.000000 93.957 -12.8015
24.299999 94.002 -14.2979
24.700001 94.058 -16.2930
25.000000 94.098 -17.7752
25.400000 94.152 -19.7122
25.799999 94.207 -21.5950
26.200001 94.265 -23.4344
26.500000 94.309 -24.8017
26.900000 94.364 -26.6294
27.200001 94.401 -28.0100
27.600000 94.442 -29.8556
28.000000 94.477 -31.6857
28.500000 94.523 -33.9295
29.000000 94.586 -36.1512
29.500000 94.665 -38.4166
30.000000 94.741 -40.7461
30.400000 94.784 -42.6095
30.700001 94.803 -43.9682
31.100000 94.816 -45.6969
31.500000 94.823 -47.3355
32.000000 94.838 -49.3344
32.500000 94.862 -51.3813
33.000000 94.888 -53.5028
33.500000 94.909 -55.6273
34.000000 94.930 -57.6805
34.500000 94.960 -59.6672
35.000000 94.998 -61.6556
35.500000 95.035 -63.6911
36.000000 95.062 -65.7540
36.500000 95.082 -67.7963
37.000000 95.103 -69.8007
37.500000 95.127 -71.7875
38.200001 95.157 -74.5629
38.700001 95.173 -76.5214
39.500000 95.196 -79.6113
40.000000 95.213 -81.5558
40.599998 95.229 -83.9082
41.200001 95.241 -86.2267
41.799999 95.259 -88.4995
42.500000 95.295 -91.1879
43.099998 95.324 -93.5613
43.700001 95.341 -95.9304
44.400002 95.351 -98.6049
45.000000 95.356 -100.8366
45.500000 95.357 -102.6846
46.200001 95.356 -105.2859
46.799999 95.360 -107.5541
47.500000 95.367 -110.2330
48.200001 95.371 -112.8343
48.700001 95.375 -114.5979
49.400002 95.387 -117.0044
50.000000 95.394 -119.1190
50.799999 95.386 -122.0625
51.500000 95.369 -124.6852
52.200001 95.355 -127.2950
53.000000 95.342 -130.2037
53.799999 95.329 -132.9955
54.500000 95.322 -135.4085
55.200001 95.319 -137.8758
56.000000 95.314 -140.7594
57.000000 95.300 -144.3571
58.000000 95.269 -147.8370
59.000000 95.238 -151.2463
60.000000 95.217 -154.7687
60.799999 95.201 -157.6117
61.500000 95.190 -160.0440
62.200001 95.177 -162.4370
63.000000 95.152 -165.1559
64.000000 95.114 -168.6022
65.000000 95.079 -172.1781
66.000000 95.040 -175.6850
67.000000 95.009 -178.9612
68.000000 94.987 177.7398
69.000000 94.948 174.2755
70.000000 94.898 170.8436
71.000000 94.852 167.5385
72.000000 94.809 164.2382
73.000000 94.757 160.8759
74.000000 94.696 157.5294
75.000000 94.631 154.2365
76.199997 94.555 150.2639
77.500000 94.483 145.9541
78.800003 94.413 141.7067
80.000000 94.336 137.8489
81.199997 94.253 133.9697
82.500000 94.160 129.7253
83.800003 94.076 125.4855
85.000000 93.997 121.6843
86.199997 93.907 117.9779
87.500000 93.796 113.8900
88.500000 93.715 110.6884
90.000000 93.591 105.9363
91.199997 93.485 102.2943
92.500000 93.370 98.3076
93.800003 93.253 94.2519
95.000000 93.160 90.5260
96.199997 93.070 86.9093
97.500000 92.962 83.1402
98.800003 92.847 79.3667
100.000000 92.729 75.7948
101.500000 92.568 71.3303
103.000000 92.415 66.8703
104.400002 92.282 62.8345
106.000000 92.138 58.3779
107.500000 91.992 54.1723
109.000000 91.833 49.9876
110.599998 91.668 45.4920
112.000000 91.528 41.6521
113.800003 91.355 36.8612
115.000000 91.238 33.6728
117.199997 91.023 27.8387
118.000000 90.946 25.7400
120.599998 90.696 19.0252
122.000000 90.564 15.4830
124.099998 90.366 10.2139
125.000000 90.283 7.9825
126.500000 90.150 4.3246
128.000000 90.024 0.7307
131.500000 89.741 -7.7493
132.000000 89.705 -8.9518
134.000000 89.563 -13.6729
136.000000 89.417 -18.3020
138.000000 89.279 -22.9365
140.000000 89.148 -27.5469
143.000000 88.998 -34.3705
145.000000 88.898 -38.8037
147.500000 88.756 -44.5012
150.000000 88.653 -50.2087
152.500000 88.614 -55.5153
155.000000 88.548 -61.2806
157.500000 88.482 -67.2939
160.000000 88.443 -73.0247
162.500000 88.426 -78.3378
165.000000 88.459 -83.9456
167.500000 88.472 -89.6815
170.000000 88.452 -95.5124
172.500000 88.437 -101.3806
175.000000 88.442 -107.4507
177.500000 88.461 -113.6094
180.000000 88.494 -119.4553
182.500000 88.544 -125.2930
185.000000 88.563 -131.3316
187.500000 88.575 -137.4705
190.000000 88.625 -143.9377
192.500000 88.693 -150.6844
195.000000 88.722 -156.9715
197.500000 88.775 -162.6404
200.000000 88.845 -168.6164
203.000000 88.876 -176.3116
206.000000 88.874 176.0082
209.000000 88.914 168.2245
212.000000 88.980 160.1693
214.000000 89.015 154.8977
218.000000 89.066 144.4197
220.000000 89.091 139.1492
224.000000 89.121 128.4069
227.000000 89.140 120.3129
230.000000 89.161 112.3229
233.000000 89.182 104.0184
236.000000 89.212 95.1049
240.000000 89.192 84.0972
243.000000 89.180 77.0313
247.000000 89.201 66.7568
250.000000 89.197 58.7781
254.000000 89.159 48.0688
258.000000 89.107 37.3497
262.000000 89.084 26.4780
265.000000 89.062 18.3125
269.000000 89.029 7.5936
272.000000 89.004 -0.2928
276.000000 88.956 -10.8651
280.000000 88.878 -21.5212
285.000000 88.809 -34.6997
290.000000 88.777 -47.9478
295.000000 88.672 -61.2160
300.000000 88.491 -74.3557
304.000000 88.342 -84.3904
307.000000 88.241 -91.5705
311.000000 88.126 -100.8192
315.000000 88.048 -109.7049
320.000000 88.005 -120.3165
325.000000 88.048 -130.2603
330.000000 88.104 -139.5022
335.000000 88.084 -148.4253
340.000000 87.976 -157.4043
345.000000 87.916 -166.5514
350.000000 87.937 -175.5586
355.000000 87.931 175.7378
360.000000 87.904 167.0247
365.000000 87.914 157.9598
370.000000 87.939 148.9708
375.000000 87.976 140.1633
382.000000 88.016 127.8433
387.000000 88.049 119.0762
395.000000 88.115 104.8730
400.000000 88.159 96.0688
406.000000 88.192 85.5139
412.000000 88.247 74.7793
418.000000 88.315 64.2367
425.000000 88.405 52.0767
431.000000 88.489 41.6895
437.000000 88.566 31.3164
444.000000 88.639 18.9441
450.000000 88.721 8.2676
455.000000 88.794 -0.3925
462.000000 88.890 -12.5209
468.000000 88.955 -22.9960
475.000000 89.030 -35.2986
482.000000 89.134 -47.6599
487.000000 89.203 -56.4413
494.000000 89.290 -68.8130
500.000000 89.363 -79.5054
508.000000 89.432 -93.7268
515.000000 89.458 -106.2534
522.000000 89.471 -118.7125
530.000000 89.461 -132.8457
538.000000 89.421 -146.9095
545.000000 89.368 -159.1349
552.000000 89.296 -171.2450
560.000000 89.185 175.1271
570.000000 89.044 158.4131
580.000000 88.909 142.0023
590.000000 88.760 125.8688
600.000000 88.602 110.0073
608.000000 88.487 97.4788
615.000000 88.391 86.6753
622.000000 88.295 75.9526
630.000000 88.194 63.7152
640.000000 88.083 48.5973
650.000000 87.973 33.7233
660.000000 87.865 19.0477
670.000000 87.783 4.5063
680.000000 87.710 -9.8472
690.000000 87.640 -24.2317
700.000000 87.583 -38.5100
710.000000 87.541 -52.6465
720.000000 87.508 -66.6761
730.000000 87.475 -80.6547
740.000000 87.449 -94.5952
750.000000 87.438 -108.4386
762.000000 87.434 -125.0010
775.000000 87.427 -142.8262
788.000000 87.411 -160.4755
800.000000 87.397 -176.6648
812.000000 87.378 167.2404
825.000000 87.362 149.9462
838.000000 87.369 132.8364
850.000000 87.390 117.1870
862.000000 87.408 101.5823
875.000000 87.429 84.6803
885.000000 87.450 71.7819
900.000000 87.484 52.6407
912.000000 87.513 37.3988
925.000000 87.542 20.9519
938.000000 87.580 4.5795
950.000000 87.618 -10.4009
962.000000 87.653 -25.3044
975.000000 87.693 -41.3809
988.000000 87.732 -57.3831
1000.000000 87.774 -72.0703
1015.000000 87.829 -90.2424
1030.000000 87.889 -108.3140
1044.000000 87.940 -124.9810
1060.000000 87.997 -143.9319
1075.000000 88.071 -161.5977
1090.000000 88.150 -179.1899
1106.000000 88.227 162.0559
1120.000000 88.292 145.8494
1138.000000 88.375 125.2744
1150.000000 88.434 111.6353
1172.000000 88.549 86.6912
1180.000000 88.594 77.6555
1206.000000 88.750 48.5974
1220.000000 88.832 33.0864
1241.000000 88.968 9.9873
1250.000000 89.029 0.1548
1265.000000 89.123 -16.1182
1280.000000 89.216 -32.3757
1315.000000 89.448 -69.8479
1320.000000 89.483 -75.1589
1340.000000 89.621 -96.3071
1360.000000 89.764 -117.2883
1380.000000 89.910 -138.1377
1400.000000 90.058 -158.8457
1430.000000 90.282 170.3711
1450.000000 90.433 150.0515
1475.000000 90.628 124.8242
1500.000000 90.831 99.7742
1525.000000 91.043 74.9685
1550.000000 91.257 50.4170
1575.000000 91.471 26.0613
1600.000000 91.686 1.8691
1625.000000 91.908 -22.1826
1650.000000 92.130 -46.0696
1675.000000 92.348 -69.7327
1700.000000 92.569 -93.1973
1725.000000 92.787 -116.5344
1750.000000 93.004 -139.7473
1775.000000 93.221 -162.7939
1800.000000 93.435 174.3379
1825.000000 93.648 151.6560
1850.000000 93.859 129.1016
1875.000000 94.065 106.6855
1900.000000 94.269 84.4451
1925.000000 94.463 62.3933
1950.000000 94.647 40.4521
1975.000000 94.828 18.6379
2000.000000 95.006 -3.0132
2030.000000 95.216 -28.7944
2060.000000 95.411 -54.3435
2090.000000 95.592 -79.5854
2120.000000 95.757 -104.6179
2140.000000 95.864 -121.2217
2180.000000 96.074 -154.0918
2200.000000 96.175 -170.3804
2240.000000 96.371 157.3589
2270.000000 96.511 133.4185
2300.000000 96.645 109.6890
2330.000000 96.769 86.1833
2360.000000 96.881 62.8721
2400.000000 97.019 32.0957
2430.000000 97.115 9.2285
2470.000000 97.225 -20.8550
2500.000000 97.295 -43.1978
2540.000000 97.373 -72.7385
2580.000000 97.427 -101.9121
2620.000000 97.461 -130.6726
2650.000000 97.473 -152.0078
2690.000000 97.462 179.7847
2720.000000 97.437 158.8994
2760.000000 97.384 131.4238
2800.000000 97.309 104.3892
2850.000000 97.174 71.1628
2900.000000 96.991 38.6616
2950.000000 96.786 6.9021
3000.000000 96.558 -24.0737
3040.000000 96.374 -48.3760
3070.000000 96.241 -66.2981
3110.000000 96.068 -89.8232
3150.000000 95.896 -112.9868
3200.000000 95.661 -141.4810
3250.000000 95.398 -169.4775
3300.000000 95.125 163.1614
3350.000000 94.841 136.5815
3400.000000 94.566 110.6257
3450.000000 94.293 85.2397
3500.000000 94.021 60.4751
3550.000000 93.751 36.2715
3600.000000 93.493 12.5859
3650.000000 93.248 -10.5654
3700.000000 93.006 -33.1880
3750.000000 92.768 -55.3521
3820.000000 92.456 -85.6387
3870.000000 92.237 -106.7012
3950.000000 91.897 -139.4048
4000.000000 91.703 -159.2979
4060.000000 91.465 177.3340
4120.000000 91.217 154.5352
4180.000000 90.969 132.3057
4250.000000 90.666 107.2031
4310.000000 90.407 86.3418
4370.000000 90.144 66.1030
4440.000000 89.836 43.3276
4500.000000 89.581 24.5386
4550.000000 89.385 9.3213
4620.000000 89.131 -11.3579
4680.000000 88.911 -28.5796
4750.000000 88.625 -47.8721
4820.000000 88.343 -66.2285
4870.000000 88.162 -78.8091
4940.000000 87.940 -95.7041
5000.000000 87.767 -109.5742
5080.000000 87.578 -127.1406
5150.000000 87.469 -141.5698
5220.000000 87.433 -155.3350
5300.000000 87.472 -170.5532
5380.000000 87.582 174.7349
5450.000000 87.732 162.2715
5520.000000 87.931 150.0522
5600.000000 88.184 136.1372
