* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Jan 25, 2025 4:51:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: JBL TuneFlex (FoamHEQ) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.019 78.8506
20.600000 86.200 77.9688
20.900000 86.415 76.9889
21.200001 86.643 75.9421
21.400000 86.799 75.1959
21.799999 87.106 73.5941
22.000000 87.252 72.7607
22.400000 87.527 71.1157
22.700001 87.722 69.9648
23.000000 87.917 68.9036
23.299999 88.123 67.8972
23.600000 88.343 66.8766
24.000000 88.649 65.3830
24.299999 88.874 64.1400
24.700001 89.150 62.3957
25.000000 89.337 61.1103
25.400000 89.574 59.5098
25.799999 89.817 57.9949
26.200001 90.070 56.4050
26.500000 90.256 55.0775
26.900000 90.482 53.1234
27.200001 90.629 51.5857
27.600000 90.815 49.5534
28.000000 91.022 47.5685
28.500000 91.346 44.9604
29.000000 91.704 41.9456
29.500000 92.001 38.6197
30.000000 92.180 35.4730
30.400000 92.261 33.3801
30.700001 92.316 32.0720
31.100000 92.415 30.5064
31.500000 92.557 28.8784
32.000000 92.767 26.4867
32.500000 92.967 23.7781
33.000000 93.137 21.0613
33.500000 93.282 18.5371
34.000000 93.401 16.1952
34.500000 93.487 13.9587
35.000000 93.546 11.7895
35.500000 93.606 9.6412
36.000000 93.691 7.4159
36.500000 93.794 5.0582
37.000000 93.884 2.6674
37.500000 93.943 0.4537
38.200001 93.999 -2.1376
38.700001 94.059 -3.7905
39.500000 94.206 -6.6866
40.000000 94.297 -8.7270
40.599998 94.376 -11.1524
41.200001 94.426 -13.3014
41.799999 94.470 -15.1962
42.500000 94.524 -17.3935
43.099998 94.568 -19.3905
43.700001 94.620 -21.3801
44.400002 94.721 -23.5751
45.000000 94.839 -25.4502
45.500000 94.934 -27.0957
46.200001 95.024 -29.5066
46.799999 95.065 -31.5763
47.500000 95.109 -33.9383
48.200001 95.178 -36.2829
48.700001 95.239 -37.9720
49.400002 95.326 -40.3451
50.000000 95.388 -42.3411
50.799999 95.463 -44.9127
51.500000 95.535 -47.1542
52.200001 95.612 -49.4545
53.000000 95.697 -52.1178
53.799999 95.785 -54.8158
54.500000 95.857 -57.2338
55.200001 95.921 -59.6402
56.000000 95.991 -62.2972
57.000000 96.083 -65.5557
58.000000 96.167 -68.8848
59.000000 96.240 -72.3375
60.000000 96.305 -75.8004
60.799999 96.358 -78.5432
61.500000 96.397 -80.9722
62.200001 96.424 -83.4025
63.000000 96.450 -86.1104
64.000000 96.483 -89.4195
65.000000 96.495 -92.7358
66.000000 96.487 -96.0227
67.000000 96.502 -99.3062
68.000000 96.528 -102.6766
69.000000 96.516 -106.0228
70.000000 96.476 -109.2258
71.000000 96.443 -112.3819
72.000000 96.410 -115.5094
73.000000 96.372 -118.5584
74.000000 96.329 -121.5973
75.000000 96.284 -124.6381
76.199997 96.229 -128.2300
77.500000 96.164 -132.0727
78.800003 96.096 -135.8041
80.000000 96.033 -139.0955
81.199997 95.965 -142.3121
82.500000 95.879 -145.8790
83.800003 95.801 -149.4184
85.000000 95.737 -152.6599
86.199997 95.664 -155.8465
87.500000 95.580 -159.2031
88.500000 95.518 -161.6958
90.000000 95.425 -165.4992
91.199997 95.348 -168.5672
92.500000 95.276 -171.8018
93.800003 95.195 -174.9290
95.000000 95.107 -177.8215
96.199997 95.019 179.1790
97.500000 94.937 175.9399
98.800003 94.858 172.8053
100.000000 94.780 169.9303
101.500000 94.676 166.2842
103.000000 94.570 162.7448
104.400002 94.471 159.5240
106.000000 94.355 155.8005
107.500000 94.245 152.3391
109.000000 94.138 148.9660
110.599998 94.025 145.3632
112.000000 93.918 142.2198
113.800003 93.769 138.2404
115.000000 93.671 135.6042
117.199997 93.505 130.8522
118.000000 93.447 129.1561
120.599998 93.249 123.6798
122.000000 93.132 120.7564
124.099998 92.955 116.4061
125.000000 92.882 114.5620
126.500000 92.762 111.5645
128.000000 92.643 108.6821
131.500000 92.374 102.1252
132.000000 92.337 101.1945
134.000000 92.182 97.4845
136.000000 92.025 93.8329
138.000000 91.886 90.2878
140.000000 91.759 86.7704
143.000000 91.580 81.6270
145.000000 91.469 78.2720
147.500000 91.342 74.1775
150.000000 91.240 69.9852
152.500000 91.141 65.7920
155.000000 91.055 61.6678
157.500000 90.993 57.5498
160.000000 90.937 53.4857
162.500000 90.888 49.4237
165.000000 90.857 45.3471
167.500000 90.829 41.2283
170.000000 90.810 37.0955
172.500000 90.809 32.9006
175.000000 90.822 28.6250
177.500000 90.846 24.3662
180.000000 90.869 20.0815
182.500000 90.881 15.7915
185.000000 90.905 11.4157
187.500000 90.939 7.0157
190.000000 90.981 2.5518
192.500000 91.022 -1.9811
195.000000 91.057 -6.5294
197.500000 91.092 -11.1052
200.000000 91.127 -15.6975
203.000000 91.173 -21.2831
206.000000 91.223 -26.9019
209.000000 91.276 -32.5787
212.000000 91.326 -38.3091
214.000000 91.355 -42.1260
218.000000 91.408 -49.7676
220.000000 91.433 -53.6280
224.000000 91.488 -61.4025
227.000000 91.528 -67.2848
230.000000 91.561 -73.1971
233.000000 91.584 -79.0836
236.000000 91.608 -85.0073
240.000000 91.638 -92.9592
243.000000 91.656 -98.9406
247.000000 91.667 -106.8794
250.000000 91.665 -112.8002
254.000000 91.660 -120.7444
258.000000 91.652 -128.7511
262.000000 91.647 -136.6687
265.000000 91.636 -142.5741
269.000000 91.615 -150.4662
272.000000 91.602 -156.3710
276.000000 91.577 -164.2709
280.000000 91.546 -172.0760
285.000000 91.530 178.2139
290.000000 91.517 168.2353
295.000000 91.448 158.1647
300.000000 91.320 148.4343
304.000000 91.211 141.0497
307.000000 91.139 135.7826
311.000000 91.068 129.1248
315.000000 91.037 122.8710
320.000000 91.047 115.5686
325.000000 91.083 108.9990
330.000000 91.089 103.1265
335.000000 91.041 97.4426
340.000000 90.962 91.4975
345.000000 90.905 85.4238
350.000000 90.875 79.5933
355.000000 90.840 73.8980
360.000000 90.796 68.2533
365.000000 90.748 62.6562
370.000000 90.723 57.1660
375.000000 90.721 51.7626
382.000000 90.706 44.2343
387.000000 90.693 38.9019
395.000000 90.705 30.4581
400.000000 90.720 25.2355
406.000000 90.742 18.9834
412.000000 90.773 12.7405
418.000000 90.811 6.5104
425.000000 90.855 -0.6677
431.000000 90.901 -6.7999
437.000000 90.957 -12.9610
444.000000 91.025 -20.0426
450.000000 91.093 -26.1583
455.000000 91.152 -31.2848
462.000000 91.236 -38.4355
468.000000 91.311 -44.6041
475.000000 91.391 -51.8002
482.000000 91.476 -59.0266
487.000000 91.539 -64.2245
494.000000 91.620 -71.5330
500.000000 91.681 -77.8384
508.000000 91.746 -86.3056
515.000000 91.781 -93.7258
522.000000 91.797 -101.1113
530.000000 91.796 -109.4789
538.000000 91.769 -117.7831
545.000000 91.730 -124.9785
552.000000 91.677 -132.0603
560.000000 91.596 -139.9924
570.000000 91.481 -149.5985
580.000000 91.348 -158.9341
590.000000 91.204 -167.9874
600.000000 91.063 -176.7722
608.000000 90.950 176.3646
615.000000 90.857 170.4708
622.000000 90.770 164.6538
630.000000 90.672 158.0940
640.000000 90.559 150.0823
650.000000 90.461 142.2451
660.000000 90.370 134.5491
670.000000 90.281 126.9646
680.000000 90.194 119.5061
690.000000 90.116 112.2031
700.000000 90.047 105.0540
710.000000 89.987 98.0049
720.000000 89.933 91.0352
730.000000 89.883 84.1359
740.000000 89.841 77.3494
750.000000 89.807 70.6276
762.000000 89.776 62.6508
775.000000 89.751 54.1484
788.000000 89.737 45.7872
800.000000 89.731 38.1626
812.000000 89.729 30.6350
825.000000 89.735 22.5504
838.000000 89.748 14.5454
850.000000 89.765 7.2083
862.000000 89.780 -0.1228
875.000000 89.782 -8.0649
885.000000 89.762 -14.1017
900.000000 89.710 -22.8113
912.000000 89.676 -29.5117
925.000000 89.661 -36.6364
938.000000 89.653 -43.6847
950.000000 89.643 -50.0752
962.000000 89.633 -56.3481
975.000000 89.633 -63.0505
988.000000 89.640 -69.6405
1000.000000 89.649 -75.6207
1015.000000 89.666 -82.9788
1030.000000 89.693 -90.2288
1044.000000 89.725 -96.8950
1060.000000 89.766 -104.3867
1075.000000 89.810 -111.3010
1090.000000 89.857 -118.1121
1106.000000 89.905 -125.2815
1120.000000 89.941 -131.4487
1138.000000 89.990 -139.2118
1150.000000 90.026 -144.2854
1172.000000 90.094 -153.4312
1180.000000 90.120 -156.7118
1206.000000 90.201 -167.1492
1220.000000 90.247 -172.6018
1241.000000 90.324 179.3998
1250.000000 90.358 176.0161
1265.000000 90.412 170.4663
1280.000000 90.467 165.0221
1315.000000 90.603 152.6614
1320.000000 90.624 150.9364
1340.000000 90.709 144.1412
1360.000000 90.797 137.5312
1380.000000 90.885 131.0645
1400.000000 90.969 124.7881
1430.000000 91.099 115.7306
1450.000000 91.186 109.8494
1475.000000 91.296 102.7151
1500.000000 91.403 95.8387
1525.000000 91.512 89.1951
1550.000000 91.626 82.8162
1575.000000 91.745 76.6490
1600.000000 91.868 70.7203
1625.000000 91.996 65.0557
1650.000000 92.128 59.5983
1675.000000 92.269 54.3452
1700.000000 92.415 49.2777
1725.000000 92.559 44.3845
1750.000000 92.700 39.6409
1775.000000 92.842 35.0613
1800.000000 92.986 30.7332
1825.000000 93.132 26.5625
1850.000000 93.282 22.4923
1875.000000 93.434 18.6495
1900.000000 93.585 14.9141
1925.000000 93.738 11.2969
1950.000000 93.893 7.8806
1975.000000 94.047 4.6265
2000.000000 94.197 1.4832
2030.000000 94.361 -2.0999
2060.000000 94.513 -5.4736
2090.000000 94.678 -8.7080
2120.000000 94.842 -11.6904
2140.000000 94.939 -13.5439
2180.000000 95.118 -16.9835
2200.000000 95.202 -18.5438
2240.000000 95.364 -21.4260
2270.000000 95.479 -23.4493
2300.000000 95.585 -25.2626
2330.000000 95.680 -26.8058
2360.000000 95.766 -28.1302
2400.000000 95.864 -29.6932
2430.000000 95.931 -30.6443
2470.000000 96.004 -31.5872
2500.000000 96.042 -32.0925
2540.000000 96.062 -32.4642
2580.000000 96.039 -32.4363
2620.000000 95.987 -31.9275
2650.000000 95.951 -31.3544
2690.000000 95.895 -30.4659
2720.000000 95.838 -29.4800
2760.000000 95.729 -27.7252
2800.000000 95.583 -25.6013
2850.000000 95.354 -22.3140
2900.000000 95.089 -18.2556
2950.000000 94.796 -13.5001
3000.000000 94.471 -7.9860
3040.000000 94.190 -2.9840
3070.000000 93.970 1.0911
3110.000000 93.675 6.9802
3150.000000 93.383 13.4110
3200.000000 93.032 22.0496
3250.000000 92.686 31.2012
3300.000000 92.327 40.9604
3350.000000 91.961 51.4078
3400.000000 91.594 62.4762
3450.000000 91.229 74.1844
3500.000000 90.865 86.5621
3550.000000 90.515 99.6279
3600.000000 90.183 113.2515
3650.000000 89.859 127.3263
3700.000000 89.544 141.9501
3750.000000 89.237 157.1534
3820.000000 88.844 179.2769
3870.000000 88.569 -164.3893
3950.000000 88.132 -137.2798
4000.000000 87.871 -119.7056
4060.000000 87.561 -97.9441
4120.000000 87.264 -75.4689
4180.000000 86.976 -52.3135
4250.000000 86.656 -24.4681
4310.000000 86.393 0.3313
4370.000000 86.170 25.9966
4440.000000 85.960 56.8745
4500.000000 85.831 83.9824
4550.000000 85.758 107.1448
4620.000000 85.730 140.3918
4680.000000 85.794 169.6067
4750.000000 85.985 -155.9208
4820.000000 86.281 -121.3955
4870.000000 86.541 -96.6827
4940.000000 86.954 -62.0805
5000.000000 87.342 -32.6032
5080.000000 87.874 6.1190
5150.000000 88.300 39.6605
5220.000000 88.665 73.1316
5300.000000 88.984 111.3053
5380.000000 89.166 149.5978
5450.000000 89.209 -176.3644
5520.000000 89.169 -141.6494
5600.000000 89.031 -101.2794
5700.000000 88.706 -49.4605
5800.000000 88.249 4.3579
