* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Jan 25, 2025 4:59:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: JBL TuneFlex (FoamHEQ) R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 88.730 58.1740
20.600000 88.883 57.1067
20.900000 89.054 55.9373
21.200001 89.230 54.7415
21.400000 89.349 53.9292
21.799999 89.589 52.2667
22.000000 89.710 51.4198
22.400000 89.950 49.7138
22.700001 90.127 48.4399
23.000000 90.301 47.1786
23.299999 90.474 45.9243
23.600000 90.646 44.6604
24.000000 90.875 42.9225
24.299999 91.044 41.5601
24.700001 91.262 39.6664
25.000000 91.418 38.2111
25.400000 91.620 36.2709
25.799999 91.823 34.3647
26.200001 92.032 32.4813
26.500000 92.193 31.0518
26.900000 92.406 29.0780
27.200001 92.556 27.5356
27.600000 92.734 25.4210
28.000000 92.885 23.2996
28.500000 93.053 20.7156
29.000000 93.226 18.1884
29.500000 93.418 15.5960
30.000000 93.613 12.8555
30.400000 93.752 10.5934
30.700001 93.841 8.9052
31.100000 93.942 6.7172
31.500000 94.030 4.6176
32.000000 94.131 2.0638
32.500000 94.226 -0.5032
33.000000 94.311 -3.1149
33.500000 94.383 -5.7188
34.000000 94.449 -8.2566
34.500000 94.512 -10.7190
35.000000 94.564 -13.1222
35.500000 94.598 -15.4616
36.000000 94.617 -17.7227
36.500000 94.631 -19.9274
37.000000 94.650 -22.1326
37.500000 94.672 -24.3689
38.200001 94.700 -27.4618
38.700001 94.716 -29.5444
39.500000 94.741 -32.6415
40.000000 94.751 -34.5011
40.599998 94.752 -36.6936
41.200001 94.751 -38.8466
41.799999 94.764 -41.0038
42.500000 94.794 -43.5791
43.099998 94.816 -45.7719
43.700001 94.829 -47.8510
44.400002 94.843 -50.1270
45.000000 94.859 -52.0439
45.500000 94.873 -53.6635
46.200001 94.894 -55.9627
46.799999 94.919 -57.9445
47.500000 94.955 -60.2644
48.200001 94.994 -62.5745
48.700001 95.019 -64.1989
49.400002 95.048 -66.4342
50.000000 95.069 -68.3355
50.799999 95.092 -70.8784
51.500000 95.120 -73.1283
52.200001 95.160 -75.4377
53.000000 95.206 -78.1387
53.799999 95.237 -80.7898
54.500000 95.261 -83.0396
55.200001 95.286 -85.3085
56.000000 95.310 -87.9756
57.000000 95.330 -91.3475
58.000000 95.347 -94.7390
59.000000 95.359 -98.1220
60.000000 95.368 -101.4300
60.799999 95.369 -104.0586
61.500000 95.364 -106.3858
62.200001 95.356 -108.7460
63.000000 95.342 -111.4555
64.000000 95.314 -114.7886
65.000000 95.271 -118.0486
66.000000 95.222 -121.3029
67.000000 95.174 -124.5612
68.000000 95.120 -127.7448
69.000000 95.055 -130.8562
70.000000 94.983 -133.9635
71.000000 94.911 -137.0509
72.000000 94.838 -140.0675
73.000000 94.756 -143.0083
74.000000 94.669 -145.9152
75.000000 94.581 -148.8228
76.199997 94.470 -152.2692
77.500000 94.352 -155.9413
78.800003 94.233 -159.5614
80.000000 94.120 -162.7944
81.199997 94.006 -165.9683
82.500000 93.879 -169.3670
83.800003 93.751 -172.7004
85.000000 93.630 -175.7308
86.199997 93.509 -178.7151
87.500000 93.380 178.1012
88.500000 93.282 175.6450
90.000000 93.138 171.9466
91.199997 93.025 169.0581
92.500000 92.905 166.0007
93.800003 92.787 162.9446
95.000000 92.678 160.1096
96.199997 92.565 157.2780
97.500000 92.443 154.2563
98.800003 92.326 151.3077
100.000000 92.218 148.5931
101.500000 92.075 145.1829
103.000000 91.929 141.8222
104.400002 91.792 138.7096
106.000000 91.635 135.2096
107.500000 91.494 131.9884
109.000000 91.353 128.7926
110.599998 91.199 125.3760
112.000000 91.065 122.4074
113.800003 90.890 118.6448
115.000000 90.771 116.1277
117.199997 90.555 111.5773
118.000000 90.478 109.9331
120.599998 90.219 104.6737
122.000000 90.083 101.9807
124.099998 89.878 97.9825
125.000000 89.792 96.2794
126.500000 89.648 93.4567
128.000000 89.505 90.6778
131.500000 89.174 84.5623
132.000000 89.128 83.6701
134.000000 88.947 80.0905
136.000000 88.773 76.6256
138.000000 88.612 73.2813
140.000000 88.455 69.9999
143.000000 88.236 65.1316
145.000000 88.103 61.9286
147.500000 87.954 57.9308
150.000000 87.815 54.0158
152.500000 87.692 50.1229
155.000000 87.581 46.2452
157.500000 87.489 42.3737
160.000000 87.411 38.5202
162.500000 87.349 34.6339
165.000000 87.298 30.7370
167.500000 87.250 26.8265
170.000000 87.214 22.8336
172.500000 87.197 18.7973
175.000000 87.188 14.7321
177.500000 87.186 10.6275
180.000000 87.184 6.4965
182.500000 87.192 2.3267
185.000000 87.211 -1.8794
187.500000 87.231 -6.1256
190.000000 87.248 -10.4646
192.500000 87.261 -14.8245
195.000000 87.276 -19.1722
197.500000 87.302 -23.6039
200.000000 87.335 -28.1163
203.000000 87.371 -33.5465
206.000000 87.407 -39.0303
209.000000 87.444 -44.5945
212.000000 87.481 -50.2096
214.000000 87.503 -53.9592
218.000000 87.536 -61.5295
220.000000 87.548 -65.3600
224.000000 87.575 -73.0601
227.000000 87.592 -78.8623
230.000000 87.603 -84.6832
233.000000 87.606 -90.5328
236.000000 87.600 -96.4423
240.000000 87.586 -104.3218
243.000000 87.566 -110.2305
247.000000 87.535 -118.1146
250.000000 87.504 -123.9786
254.000000 87.452 -131.7595
258.000000 87.390 -139.5392
262.000000 87.325 -147.3083
265.000000 87.269 -153.0823
269.000000 87.196 -160.7032
272.000000 87.146 -166.4161
276.000000 87.071 -174.0840
280.000000 86.984 178.3831
285.000000 86.903 169.0957
290.000000 86.834 159.6205
295.000000 86.714 150.0665
300.000000 86.541 140.8748
304.000000 86.398 133.9284
307.000000 86.302 128.9973
311.000000 86.203 122.7816
315.000000 86.148 116.9528
320.000000 86.138 110.2377
325.000000 86.170 104.1650
330.000000 86.191 98.6810
335.000000 86.163 93.4916
340.000000 86.107 88.1743
345.000000 86.071 82.6796
350.000000 86.059 77.2758
355.000000 86.049 72.0090
360.000000 86.042 66.7314
365.000000 86.042 61.4631
370.000000 86.054 56.2103
375.000000 86.076 50.9938
382.000000 86.087 43.7363
387.000000 86.102 38.5588
395.000000 86.151 30.3397
400.000000 86.182 25.2389
406.000000 86.225 19.1490
412.000000 86.275 13.0954
418.000000 86.329 7.0436
425.000000 86.392 0.0162
431.000000 86.453 -5.9996
437.000000 86.517 -12.0193
444.000000 86.594 -18.9992
450.000000 86.664 -24.9603
455.000000 86.723 -29.9312
462.000000 86.809 -36.8876
468.000000 86.889 -42.8585
475.000000 86.983 -49.8462
482.000000 87.075 -56.8725
487.000000 87.139 -61.9163
494.000000 87.226 -69.0110
500.000000 87.293 -75.1183
508.000000 87.366 -83.3221
515.000000 87.415 -90.5328
522.000000 87.445 -97.6842
530.000000 87.453 -105.7969
538.000000 87.435 -113.8823
545.000000 87.398 -120.8807
552.000000 87.342 -127.7371
560.000000 87.261 -135.3645
570.000000 87.141 -144.6333
580.000000 87.012 -153.6051
590.000000 86.887 -162.2427
600.000000 86.763 -170.6154
608.000000 86.666 -177.1748
615.000000 86.587 177.2076
622.000000 86.517 171.7002
630.000000 86.441 165.5051
640.000000 86.359 157.8932
650.000000 86.291 150.4491
660.000000 86.227 143.1628
670.000000 86.172 135.9463
680.000000 86.132 128.8462
690.000000 86.101 121.8943
700.000000 86.075 115.0516
710.000000 86.058 108.3235
720.000000 86.055 101.6465
730.000000 86.063 95.0137
740.000000 86.079 88.4878
750.000000 86.101 82.0083
762.000000 86.138 74.2562
775.000000 86.186 65.9182
788.000000 86.230 57.6285
800.000000 86.261 50.0524
812.000000 86.292 42.6273
825.000000 86.324 34.7554
838.000000 86.359 27.0941
850.000000 86.406 20.1355
862.000000 86.460 13.2383
875.000000 86.524 5.8093
885.000000 86.569 0.1031
900.000000 86.641 -8.3270
912.000000 86.706 -14.9431
925.000000 86.777 -22.0197
938.000000 86.843 -29.0013
950.000000 86.902 -35.3545
962.000000 86.963 -41.6587
975.000000 87.035 -48.4039
988.000000 87.103 -55.0304
1000.000000 87.160 -61.0548
1015.000000 87.230 -68.4620
1030.000000 87.312 -75.7545
1044.000000 87.389 -82.4130
1060.000000 87.476 -89.8276
1075.000000 87.565 -96.6501
1090.000000 87.667 -103.3541
1106.000000 87.774 -110.4127
1120.000000 87.859 -116.5120
1138.000000 87.968 -124.1843
1150.000000 88.050 -129.1973
1172.000000 88.215 -138.2189
1180.000000 88.275 -141.4310
1206.000000 88.476 -151.7083
1220.000000 88.593 -157.1284
1241.000000 88.771 -165.0988
1250.000000 88.845 -168.4868
1265.000000 88.964 -174.0575
1280.000000 89.087 -179.5032
1315.000000 89.402 168.1223
1320.000000 89.447 166.3840
1340.000000 89.625 159.4924
1360.000000 89.805 152.7085
1380.000000 89.987 146.0900
1400.000000 90.171 139.6360
1430.000000 90.436 130.1644
1450.000000 90.611 124.0129
1475.000000 90.840 116.5544
1500.000000 91.058 109.2538
1525.000000 91.268 102.0673
1550.000000 91.480 95.1514
1575.000000 91.695 88.4761
1600.000000 91.900 82.0276
1625.000000 92.105 75.7380
1650.000000 92.310 69.5848
1675.000000 92.501 63.6019
1700.000000 92.681 57.7891
1725.000000 92.862 52.2052
1750.000000 93.045 46.8583
1775.000000 93.223 41.6648
1800.000000 93.390 36.6125
1825.000000 93.547 31.6674
1850.000000 93.697 26.9730
1875.000000 93.852 22.5402
1900.000000 94.006 18.2576
1925.000000 94.145 14.0842
1950.000000 94.276 10.1245
1975.000000 94.407 6.4052
2000.000000 94.528 2.8412
2030.000000 94.644 -1.2913
2060.000000 94.748 -5.2426
2090.000000 94.862 -8.8900
2120.000000 94.984 -12.1389
2140.000000 95.056 -14.1353
2180.000000 95.182 -17.9690
2200.000000 95.237 -19.7646
2240.000000 95.342 -22.9421
2270.000000 95.425 -25.0735
2300.000000 95.494 -26.9840
2330.000000 95.549 -28.6672
2360.000000 95.599 -30.1282
2400.000000 95.659 -31.7469
2430.000000 95.704 -32.6699
2470.000000 95.734 -33.6173
2500.000000 95.739 -34.1012
2540.000000 95.736 -34.3655
2580.000000 95.705 -34.2285
2620.000000 95.642 -33.7788
2650.000000 95.589 -33.3229
2690.000000 95.516 -32.4562
2720.000000 95.450 -31.3962
2760.000000 95.330 -29.5679
2800.000000 95.170 -27.4172
2850.000000 94.935 -24.0132
2900.000000 94.672 -19.8060
2950.000000 94.366 -15.0413
3000.000000 94.038 -9.4369
3040.000000 93.778 -4.2068
3070.000000 93.591 0.0457
3110.000000 93.346 5.9867
3150.000000 93.095 12.1462
3200.000000 92.764 20.3007
3250.000000 92.417 29.2404
3300.000000 92.065 39.0210
3350.000000 91.706 49.3500
3400.000000 91.344 60.1239
3450.000000 90.982 71.6729
3500.000000 90.637 84.0602
3550.000000 90.305 96.9862
3600.000000 89.976 110.3477
3650.000000 89.671 124.3701
3700.000000 89.383 138.9603
3750.000000 89.091 153.9368
3820.000000 88.710 175.5261
3870.000000 88.448 -168.4031
3950.000000 88.069 -141.5702
4000.000000 87.836 -124.4163
4060.000000 87.551 -103.3566
4120.000000 87.280 -81.5540
4180.000000 87.007 -59.1134
4250.000000 86.685 -32.5035
4310.000000 86.397 -9.0298
4370.000000 86.119 15.3744
4440.000000 85.839 44.7825
4500.000000 85.608 70.3196
4550.000000 85.402 91.8419
4620.000000 85.107 122.8538
4680.000000 84.865 150.4146
4750.000000 84.602 -176.9829
4820.000000 84.351 -143.9382
4870.000000 84.173 -119.8277
4940.000000 83.938 -84.7690
5000.000000 83.775 -53.9321
5080.000000 83.607 -12.2772
5150.000000 83.516 24.7479
5220.000000 83.479 62.5222
5300.000000 83.514 106.7191
5380.000000 83.614 151.3749
5450.000000 83.750 -169.4729
5520.000000 83.927 -130.2602
5600.000000 84.142 -85.3350
5700.000000 84.337 -29.7734
5800.000000 84.400 26.0323
