* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Aug 21, 2024 8:30:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Block (Bare) L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 58.969 -55.0861
20.600000 59.180 -54.5509
20.900000 59.404 -54.7539
21.200001 59.597 -55.6019
21.400000 59.705 -56.3740
21.799999 59.892 -58.0867
22.000000 59.981 -58.9403
22.400000 60.149 -60.5603
22.700001 60.246 -61.6467
23.000000 60.292 -62.5034
23.299999 60.280 -62.9532
23.600000 60.234 -62.8339
24.000000 60.209 -61.7914
24.299999 60.286 -60.6913
24.700001 60.546 -59.6550
25.000000 60.809 -59.6199
25.400000 61.133 -60.5180
25.799999 61.357 -61.7699
26.200001 61.513 -62.4490
26.500000 61.657 -62.3277
26.900000 61.973 -61.6925
27.200001 62.295 -61.4001
27.600000 62.721 -61.8232
28.000000 62.988 -63.0406
28.500000 62.983 -64.3649
29.000000 62.772 -63.7293
29.500000 62.795 -61.1212
30.000000 63.257 -59.1522
30.400000 63.741 -59.3853
30.700001 64.032 -60.4286
31.100000 64.251 -62.1614
31.500000 64.305 -63.4262
32.000000 64.299 -63.8429
32.500000 64.347 -63.7130
33.000000 64.401 -64.0631
33.500000 64.351 -64.7744
34.000000 64.259 -65.0003
34.500000 64.319 -64.5631
35.000000 64.599 -64.3081
35.500000 64.942 -64.7730
36.000000 65.177 -65.4136
36.500000 65.307 -65.4046
37.000000 65.453 -64.7160
37.500000 65.686 -64.1768
38.200001 66.040 -64.7737
38.700001 66.228 -65.7690
39.500000 66.490 -67.0478
40.000000 66.679 -67.6576
40.599998 66.874 -68.5035
41.200001 66.966 -69.3029
41.799999 66.974 -69.6263
42.500000 66.985 -69.1697
43.099998 67.081 -68.2579
43.700001 67.307 -67.2854
44.400002 67.731 -66.8811
45.000000 68.129 -67.6751
45.500000 68.392 -69.0357
46.200001 68.572 -71.2103
46.799999 68.586 -72.5367
47.500000 68.594 -72.9815
48.200001 68.741 -72.6234
48.700001 68.930 -72.3008
49.400002 69.211 -72.0307
50.000000 69.396 -71.9006
50.799999 69.590 -71.8845
51.500000 69.787 -72.4498
52.200001 69.990 -73.6146
53.000000 70.153 -74.5363
53.799999 70.310 -74.2960
54.500000 70.509 -74.0575
55.200001 70.736 -74.2670
56.000000 71.127 -74.1856
57.000000 71.875 -74.2578
58.000000 72.179 -75.5808
59.000000 71.875 -75.4168
60.000000 71.734 -75.1216
60.799999 71.789 -76.2912
61.500000 71.884 -77.2229
62.200001 72.038 -77.6718
63.000000 72.230 -77.9546
64.000000 72.451 -78.2969
65.000000 72.689 -79.0682
66.000000 72.917 -79.8461
67.000000 73.168 -80.4006
68.000000 73.351 -80.9749
69.000000 73.532 -81.2612
70.000000 73.776 -81.9569
71.000000 73.942 -82.7041
72.000000 74.087 -82.8826
73.000000 74.253 -83.3827
74.000000 74.376 -84.2545
75.000000 74.507 -84.9068
76.199997 74.701 -85.2727
77.500000 74.928 -85.4348
78.800003 75.142 -86.3150
80.000000 75.328 -87.1824
81.199997 75.474 -87.7208
82.500000 75.603 -88.3169
83.800003 75.796 -89.3838
85.000000 75.996 -90.1411
86.199997 76.178 -90.6775
87.500000 76.354 -91.4057
88.500000 76.468 -91.9320
90.000000 76.625 -92.4795
91.199997 76.767 -93.0386
92.500000 76.930 -93.9357
93.800003 77.079 -94.8436
95.000000 77.221 -95.4800
96.199997 77.349 -96.1581
97.500000 77.483 -97.0857
98.800003 77.644 -98.0617
100.000000 77.805 -98.7772
101.500000 77.961 -99.7900
103.000000 78.080 -100.8314
104.400002 78.206 -101.6620
106.000000 78.335 -102.4347
107.500000 78.467 -103.2258
109.000000 78.622 -104.2325
110.599998 78.801 -105.2898
112.000000 78.900 -105.8468
113.800003 78.966 -106.3793
115.000000 79.024 -106.7822
117.199997 79.227 -108.0335
118.000000 79.315 -108.2445
120.599998 79.527 -109.0143
122.000000 79.563 -110.5889
124.099998 79.657 -112.3509
125.000000 79.705 -112.8560
126.500000 79.787 -113.6241
128.000000 79.876 -114.3453
131.500000 80.048 -116.0659
132.000000 80.071 -116.3417
134.000000 80.174 -117.4959
136.000000 80.285 -118.4223
138.000000 80.352 -119.1887
140.000000 80.423 -120.2836
143.000000 80.564 -121.8413
145.000000 80.646 -122.6598
147.500000 80.749 -123.7610
150.000000 80.826 -124.9722
152.500000 80.912 -126.0482
155.000000 80.988 -126.9211
157.500000 81.046 -128.0546
160.000000 81.117 -129.1801
162.500000 81.201 -130.2379
165.000000 81.287 -131.3276
167.500000 81.337 -132.3101
170.000000 81.401 -133.4074
172.500000 81.488 -134.8887
175.000000 81.529 -135.4882
177.500000 81.517 -136.1561
180.000000 81.531 -137.0148
182.500000 81.568 -137.7858
185.000000 81.603 -138.5836
187.500000 81.619 -139.4323
190.000000 81.638 -140.2578
192.500000 81.667 -141.0621
195.000000 81.690 -141.8854
197.500000 81.707 -142.7071
200.000000 81.727 -143.4862
203.000000 81.754 -144.3479
206.000000 81.787 -145.3143
209.000000 81.812 -146.2469
212.000000 81.820 -147.1039
214.000000 81.817 -147.6001
218.000000 81.830 -148.4834
220.000000 81.831 -148.8801
224.000000 81.810 -149.9132
227.000000 81.803 -150.7259
230.000000 81.807 -151.4239
233.000000 81.817 -152.1779
236.000000 81.824 -152.8599
240.000000 81.812 -153.6938
243.000000 81.797 -154.3596
247.000000 81.784 -155.1388
250.000000 81.772 -155.7121
254.000000 81.751 -156.5121
258.000000 81.726 -157.3136
262.000000 81.701 -158.0332
265.000000 81.687 -158.5456
269.000000 81.680 -159.2289
272.000000 81.665 -159.7431
276.000000 81.627 -160.4616
280.000000 81.603 -161.1756
285.000000 81.592 -161.7701
290.000000 81.554 -162.4048
295.000000 81.520 -163.1296
300.000000 81.480 -163.8503
304.000000 81.440 -164.4306
307.000000 81.412 -164.8310
311.000000 81.378 -165.2935
315.000000 81.340 -165.7998
320.000000 81.276 -166.4728
325.000000 81.206 -167.0016
330.000000 81.138 -167.3909
335.000000 81.076 -167.8427
340.000000 81.011 -168.2754
345.000000 80.945 -168.6165
350.000000 80.878 -168.8442
355.000000 80.817 -169.0132
360.000000 80.768 -169.1784
365.000000 80.726 -169.2969
370.000000 80.684 -169.3253
375.000000 80.642 -169.3396
382.000000 80.595 -169.5017
387.000000 80.566 -169.6275
395.000000 80.536 -169.6713
400.000000 80.523 -169.7298
406.000000 80.505 -169.7768
412.000000 80.495 -169.8472
418.000000 80.488 -169.9622
425.000000 80.469 -170.1136
431.000000 80.452 -170.2580
437.000000 80.439 -170.4411
444.000000 80.425 -170.6071
450.000000 80.414 -170.7241
455.000000 80.400 -170.8405
462.000000 80.378 -170.9884
468.000000 80.363 -171.0519
475.000000 80.351 -171.1416
482.000000 80.335 -171.2657
487.000000 80.320 -171.3701
494.000000 80.301 -171.4697
500.000000 80.286 -171.4922
508.000000 80.271 -171.4884
515.000000 80.262 -171.5319
522.000000 80.250 -171.6090
530.000000 80.239 -171.6937
538.000000 80.228 -171.7375
545.000000 80.217 -171.7485
552.000000 80.210 -171.7758
560.000000 80.209 -171.7769
570.000000 80.204 -171.7905
580.000000 80.195 -171.8635
590.000000 80.195 -171.8800
600.000000 80.198 -171.9130
608.000000 80.200 -171.9702
615.000000 80.201 -172.0222
622.000000 80.203 -172.0622
630.000000 80.203 -172.1216
640.000000 80.195 -172.1634
650.000000 80.191 -172.1566
660.000000 80.195 -172.0700
670.000000 80.200 -171.9301
680.000000 80.196 -171.7696
690.000000 80.187 -171.6286
700.000000 80.180 -171.4668
710.000000 80.176 -171.2979
720.000000 80.172 -171.1211
730.000000 80.168 -170.9402
740.000000 80.167 -170.7142
750.000000 80.166 -170.4871
762.000000 80.166 -170.2669
775.000000 80.167 -170.0348
788.000000 80.172 -169.7150
800.000000 80.183 -169.4313
812.000000 80.197 -169.1254
825.000000 80.222 -168.7997
838.000000 80.252 -168.6013
850.000000 80.272 -168.4881
862.000000 80.275 -168.4539
875.000000 80.259 -168.4101
885.000000 80.238 -168.2354
900.000000 80.202 -167.8502
912.000000 80.187 -167.5404
925.000000 80.181 -167.1947
938.000000 80.171 -166.8097
950.000000 80.161 -166.4338
962.000000 80.156 -166.0242
975.000000 80.154 -165.5726
988.000000 80.148 -165.0950
1000.000000 80.144 -164.6548
1015.000000 80.146 -164.1176
1030.000000 80.155 -163.5057
1044.000000 80.167 -162.9530
1060.000000 80.180 -162.4163
1075.000000 80.187 -161.9724
1090.000000 80.199 -161.6138
1106.000000 80.224 -161.2604
1120.000000 80.249 -160.9375
1138.000000 80.281 -160.4746
1150.000000 80.306 -160.1785
1172.000000 80.359 -159.7157
1180.000000 80.378 -159.5474
1206.000000 80.452 -159.0092
1220.000000 80.500 -158.7578
1241.000000 80.566 -158.4509
1250.000000 80.591 -158.3223
1265.000000 80.636 -158.1095
1280.000000 80.688 -157.9113
1315.000000 80.795 -157.4531
1320.000000 80.810 -157.4011
1340.000000 80.868 -157.2682
1360.000000 80.913 -157.1655
1380.000000 80.953 -157.0093
1400.000000 80.991 -156.8112
1430.000000 81.049 -156.5189
1450.000000 81.092 -156.2685
1475.000000 81.146 -155.9154
1500.000000 81.192 -155.5552
1525.000000 81.255 -155.1872
1550.000000 81.336 -154.8252
1575.000000 81.404 -154.4504
1600.000000 81.473 -154.1521
1625.000000 81.547 -153.9098
1650.000000 81.621 -153.6284
1675.000000 81.703 -153.3969
1700.000000 81.777 -153.2407
1725.000000 81.838 -153.1417
1750.000000 81.907 -153.0511
1775.000000 81.970 -153.0085
1800.000000 82.003 -153.0014
1825.000000 82.026 -152.8800
1850.000000 82.045 -152.6293
1875.000000 82.054 -152.2739
1900.000000 82.062 -151.8218
1925.000000 82.075 -151.2909
1950.000000 82.090 -150.6407
1975.000000 82.109 -149.8818
2000.000000 82.152 -148.9690
2030.000000 82.233 -147.8038
2060.000000 82.336 -146.6998
2090.000000 82.465 -145.6438
2120.000000 82.635 -144.5003
2140.000000 82.770 -143.7356
2180.000000 83.054 -142.3359
2200.000000 83.205 -141.7067
2240.000000 83.530 -140.5914
2270.000000 83.783 -139.9508
2300.000000 84.052 -139.4439
2330.000000 84.345 -138.9469
2360.000000 84.653 -138.5969
2400.000000 85.073 -138.3924
2430.000000 85.406 -138.3879
2470.000000 85.857 -138.6660
2500.000000 86.185 -139.1480
2540.000000 86.617 -139.9904
2580.000000 87.061 -141.0232
2620.000000 87.493 -142.3554
2650.000000 87.804 -143.5776
2690.000000 88.190 -145.5325
2720.000000 88.448 -147.2134
2760.000000 88.760 -149.5959
2800.000000 89.039 -152.0796
2850.000000 89.333 -155.4234
2900.000000 89.556 -158.9364
2950.000000 89.728 -162.3897
3000.000000 89.837 -165.8744
3040.000000 89.875 -168.7268
3070.000000 89.879 -170.7855
3110.000000 89.848 -173.3533
3150.000000 89.778 -175.7830
3200.000000 89.665 -178.6300
3250.000000 89.527 178.7521
3300.000000 89.360 176.2571
3350.000000 89.166 174.0441
3400.000000 88.964 172.0504
3450.000000 88.749 170.1832
3500.000000 88.529 168.5759
3550.000000 88.323 167.2680
3600.000000 88.114 165.9767
3650.000000 87.903 164.7183
3700.000000 87.701 163.7747
3750.000000 87.508 163.0155
3820.000000 87.244 162.1312
3870.000000 87.080 161.5945
3950.000000 86.833 160.4529
4000.000000 86.674 159.6264
4060.000000 86.466 158.7818
4120.000000 86.240 158.0084
4180.000000 86.007 157.3222
4250.000000 85.761 156.8965
4310.000000 85.560 156.5013
4370.000000 85.346 155.8723
4440.000000 85.069 155.1960
4500.000000 84.802 154.9050
4550.000000 84.550 154.7740
4620.000000 84.187 154.9346
4680.000000 83.912 155.5772
4750.000000 83.638 156.5576
4820.000000 83.395 157.3154
4870.000000 83.228 157.8354
4940.000000 82.989 158.8270
5000.000000 82.764 159.8410
5080.000000 82.433 161.5428
5150.000000 82.140 163.7183
