* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Aug 21, 2024 8:52:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Block (Bare) R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 63.610 -64.2471
20.600000 63.752 -63.9490
20.900000 63.965 -63.7168
21.200001 64.231 -63.7751
21.400000 64.421 -64.0452
21.799999 64.778 -65.1384
22.000000 64.928 -65.8931
22.400000 65.144 -67.5410
22.700001 65.239 -68.6634
23.000000 65.295 -69.5314
23.299999 65.338 -70.1049
23.600000 65.389 -70.4372
24.000000 65.480 -70.6858
24.299999 65.556 -70.8303
24.700001 65.653 -70.9876
25.000000 65.718 -71.0254
25.400000 65.815 -70.9096
25.799999 65.950 -70.6693
26.200001 66.135 -70.4824
26.500000 66.295 -70.4598
26.900000 66.511 -70.5793
27.200001 66.666 -70.7248
27.600000 66.860 -70.9367
28.000000 67.039 -71.2135
28.500000 67.217 -71.8099
29.000000 67.295 -72.6409
29.500000 67.272 -73.2298
30.000000 67.260 -73.0772
30.400000 67.366 -72.5166
30.700001 67.539 -72.1246
31.100000 67.856 -72.0012
31.500000 68.186 -72.4733
32.000000 68.486 -73.5648
32.500000 68.614 -74.5264
33.000000 68.629 -74.8792
33.500000 68.641 -74.7234
34.000000 68.717 -74.5407
34.500000 68.859 -74.7126
35.000000 69.035 -75.2779
35.500000 69.217 -76.0588
36.000000 69.386 -76.8289
36.500000 69.537 -77.3657
37.000000 69.692 -77.5234
37.500000 69.887 -77.3809
38.200001 70.225 -77.2905
38.700001 70.433 -77.6104
39.500000 70.585 -78.3929
40.000000 70.619 -78.7607
40.599998 70.704 -79.2553
41.200001 70.847 -79.9744
41.799999 71.018 -80.4854
42.500000 71.279 -80.3659
43.099998 71.529 -80.2211
43.700001 71.675 -80.4589
44.400002 71.669 -80.6132
45.000000 71.697 -80.4303
45.500000 71.838 -80.6687
46.200001 72.095 -82.1447
46.799999 72.261 -83.5909
47.500000 72.477 -84.3157
48.200001 72.760 -84.2517
48.700001 72.920 -83.8178
49.400002 73.080 -82.3406
50.000000 73.284 -80.9487
50.799999 73.621 -81.3004
51.500000 73.762 -83.4349
52.200001 73.798 -85.2099
53.000000 73.921 -86.0967
53.799999 74.050 -86.6326
54.500000 74.129 -86.8847
55.200001 74.283 -87.1458
56.000000 74.506 -87.7182
57.000000 74.695 -88.3203
58.000000 74.714 -90.1447
59.000000 74.507 -92.4806
60.000000 74.718 -92.1853
60.799999 75.221 -91.5133
61.500000 75.536 -91.2011
62.200001 75.680 -90.8050
63.000000 75.770 -90.6861
64.000000 75.875 -91.7848
65.000000 76.012 -93.2405
66.000000 76.216 -94.1146
67.000000 76.428 -94.3901
68.000000 76.603 -94.4718
69.000000 76.725 -94.8897
70.000000 76.823 -95.4402
71.000000 76.978 -96.0063
72.000000 77.173 -96.9312
73.000000 77.364 -98.1439
74.000000 77.513 -99.1787
75.000000 77.624 -99.5540
76.199997 77.807 -99.9697
77.500000 78.048 -100.9657
78.800003 78.289 -101.7450
80.000000 78.421 -102.3789
81.199997 78.507 -102.9519
82.500000 78.650 -103.5525
83.800003 78.817 -104.5909
85.000000 78.948 -105.7485
86.199997 79.067 -106.5362
87.500000 79.208 -107.1703
88.500000 79.317 -107.8822
90.000000 79.488 -108.7522
91.199997 79.640 -109.3357
92.500000 79.767 -110.2582
93.800003 79.852 -111.2543
95.000000 79.919 -111.9538
96.199997 79.993 -112.6588
97.500000 80.097 -113.5421
98.800003 80.236 -114.4529
100.000000 80.391 -115.2486
101.500000 80.568 -116.2575
103.000000 80.654 -117.1728
104.400002 80.723 -117.8309
106.000000 80.841 -118.7211
107.500000 80.951 -119.6116
109.000000 81.048 -120.4681
110.599998 81.142 -121.4095
112.000000 81.211 -122.2463
113.800003 81.304 -123.2573
115.000000 81.378 -123.9631
117.199997 81.498 -125.0622
118.000000 81.527 -125.4246
120.599998 81.655 -126.9340
122.000000 81.738 -127.8030
124.099998 81.843 -128.9573
125.000000 81.883 -129.4222
126.500000 81.950 -130.2066
128.000000 82.012 -130.9363
131.500000 82.108 -132.5579
132.000000 82.124 -132.8168
134.000000 82.201 -133.8471
136.000000 82.275 -134.9216
138.000000 82.333 -135.9548
140.000000 82.391 -136.8576
143.000000 82.466 -138.2526
145.000000 82.521 -139.1143
147.500000 82.572 -140.2406
150.000000 82.634 -141.5484
152.500000 82.701 -142.6621
155.000000 82.744 -143.3549
157.500000 82.785 -144.1801
160.000000 82.877 -144.9498
162.500000 82.944 -145.8400
165.000000 82.907 -147.2667
167.500000 82.899 -148.2505
170.000000 82.923 -149.1397
172.500000 82.939 -149.9271
175.000000 82.940 -150.9430
177.500000 82.945 -152.0367
180.000000 82.958 -152.6666
182.500000 83.013 -153.3785
185.000000 83.116 -154.1559
187.500000 83.119 -154.5851
190.000000 83.073 -155.3167
192.500000 83.102 -156.0056
195.000000 83.116 -156.2140
197.500000 83.053 -156.6057
200.000000 82.912 -157.2125
203.000000 82.829 -158.4202
206.000000 82.969 -159.6193
209.000000 83.021 -160.6413
212.000000 83.037 -161.3472
214.000000 83.032 -161.7905
218.000000 82.995 -162.5408
220.000000 83.005 -163.0642
224.000000 83.019 -163.9112
227.000000 82.997 -164.4688
230.000000 82.980 -165.1077
233.000000 83.008 -165.7981
236.000000 83.106 -166.3897
240.000000 83.226 -166.7589
243.000000 83.194 -166.8140
247.000000 82.990 -167.8284
250.000000 82.914 -168.6613
254.000000 82.878 -169.4737
258.000000 82.865 -170.1102
262.000000 82.837 -170.6553
265.000000 82.821 -171.1056
269.000000 82.809 -171.7309
272.000000 82.788 -172.1718
276.000000 82.766 -172.7214
280.000000 82.756 -173.1924
285.000000 82.729 -173.8232
290.000000 82.706 -174.4536
295.000000 82.703 -174.7923
300.000000 82.671 -175.4082
304.000000 82.645 -176.0799
307.000000 82.611 -176.4128
311.000000 82.566 -176.8452
315.000000 82.536 -177.3232
320.000000 82.527 -177.9130
325.000000 82.506 -178.3672
330.000000 82.448 -178.7195
335.000000 82.398 -179.1418
340.000000 82.336 -179.6121
345.000000 82.267 -179.8435
350.000000 82.219 179.9232
355.000000 82.182 -179.9377
360.000000 82.157 179.8404
365.000000 82.136 179.2609
370.000000 82.107 178.7987
375.000000 82.054 178.7700
382.000000 82.018 178.9246
387.000000 82.008 178.6307
395.000000 81.998 178.2576
400.000000 81.969 178.3047
406.000000 81.946 178.1031
412.000000 81.990 177.7983
418.000000 82.021 177.6028
425.000000 82.027 177.6228
431.000000 82.016 177.5425
437.000000 82.016 177.3011
444.000000 82.022 176.8609
450.000000 82.029 176.5240
455.000000 82.039 176.3130
462.000000 82.034 176.1587
468.000000 82.036 175.9504
475.000000 82.053 175.6566
482.000000 82.046 175.4183
487.000000 82.035 175.2490
494.000000 82.027 174.9896
500.000000 82.023 174.8010
508.000000 82.018 174.4891
515.000000 82.013 174.2329
522.000000 82.013 174.0958
530.000000 82.010 173.9532
538.000000 82.013 173.7101
545.000000 82.017 173.4768
552.000000 82.015 173.3057
560.000000 82.010 173.1950
570.000000 82.010 173.0834
580.000000 82.033 173.1166
590.000000 82.055 173.2357
600.000000 82.082 173.2958
608.000000 82.098 173.3533
615.000000 82.105 173.3920
622.000000 82.113 173.4341
630.000000 82.124 173.4968
640.000000 82.138 173.4576
650.000000 82.147 173.5402
660.000000 82.155 173.6829
670.000000 82.165 173.7446
680.000000 82.176 173.8352
690.000000 82.188 173.9784
700.000000 82.199 174.1078
710.000000 82.210 174.2495
720.000000 82.217 174.4254
730.000000 82.220 174.6125
740.000000 82.230 174.7655
750.000000 82.243 174.8943
762.000000 82.261 175.0596
775.000000 82.268 175.1501
788.000000 82.267 175.2479
800.000000 82.271 175.5748
812.000000 82.264 175.9002
825.000000 82.256 176.2208
838.000000 82.255 176.5779
850.000000 82.258 176.9363
862.000000 82.265 177.3278
875.000000 82.278 177.6371
885.000000 82.289 177.8884
900.000000 82.295 178.2905
912.000000 82.294 178.5806
925.000000 82.298 178.8572
938.000000 82.301 179.0489
950.000000 82.302 179.1767
962.000000 82.308 179.2583
975.000000 82.316 179.3228
988.000000 82.326 179.3115
1000.000000 82.329 179.3305
1015.000000 82.335 179.4103
1030.000000 82.350 179.5330
1044.000000 82.364 179.6492
1060.000000 82.386 179.8243
1075.000000 82.404 179.9843
1090.000000 82.429 -179.8709
1106.000000 82.462 -179.7563
1120.000000 82.497 -179.6355
1138.000000 82.547 -179.4310
1150.000000 82.582 -179.2874
1172.000000 82.650 -179.1241
1180.000000 82.679 -179.0997
1206.000000 82.786 -178.9785
1220.000000 82.840 -178.8730
1241.000000 82.918 -178.7969
1250.000000 82.957 -178.8269
1265.000000 83.022 -178.9168
1280.000000 83.085 -179.0303
1315.000000 83.209 -179.2992
1320.000000 83.222 -179.3214
1340.000000 83.277 -179.4715
1360.000000 83.337 -179.7200
1380.000000 83.391 -179.9942
1400.000000 83.435 179.7500
1430.000000 83.490 179.5081
1450.000000 83.527 179.3580
1475.000000 83.563 179.0650
1500.000000 83.604 178.8465
1525.000000 83.645 178.7164
1550.000000 83.677 178.6462
1575.000000 83.716 178.5679
1600.000000 83.746 178.5054
1625.000000 83.775 178.4458
1650.000000 83.809 178.3572
1675.000000 83.848 178.2941
1700.000000 83.882 178.2227
1725.000000 83.906 178.1774
1750.000000 83.924 178.2377
1775.000000 83.941 178.3243
1800.000000 83.954 178.4397
1825.000000 83.970 178.6239
1850.000000 83.988 178.8832
1875.000000 84.005 179.2537
1900.000000 84.028 179.7898
1925.000000 84.058 -179.5420
1950.000000 84.110 -178.8247
1975.000000 84.190 -178.1062
2000.000000 84.292 -177.3370
2030.000000 84.456 -176.4066
2060.000000 84.657 -175.6167
2090.000000 84.869 -174.9226
2120.000000 85.094 -174.3392
2140.000000 85.264 -174.0574
2180.000000 85.617 -173.8136
2200.000000 85.794 -173.7814
2240.000000 86.166 -173.8512
2270.000000 86.452 -174.1003
2300.000000 86.735 -174.4619
2330.000000 87.021 -175.0085
2360.000000 87.297 -175.7775
2400.000000 87.650 -176.9497
2430.000000 87.901 -178.0199
2470.000000 88.204 -179.6018
2500.000000 88.427 179.1703
2540.000000 88.704 177.3510
2580.000000 88.962 175.4741
2620.000000 89.199 173.4671
2650.000000 89.349 171.8790
2690.000000 89.526 169.6064
2720.000000 89.647 167.8547
2760.000000 89.782 165.5072
2800.000000 89.884 163.1501
2850.000000 89.964 160.2405
2900.000000 90.012 157.4089
2950.000000 90.027 154.5552
3000.000000 89.995 151.7659
3040.000000 89.945 149.5865
3070.000000 89.892 148.0273
3110.000000 89.805 146.0490
3150.000000 89.709 144.1345
3200.000000 89.568 141.8285
3250.000000 89.399 139.6959
3300.000000 89.215 137.7831
3350.000000 89.022 136.1329
3400.000000 88.830 134.5988
3450.000000 88.632 133.1896
3500.000000 88.422 131.9399
3550.000000 88.205 130.8333
3600.000000 87.991 129.8351
3650.000000 87.788 128.9781
3700.000000 87.596 128.2246
3750.000000 87.405 127.6016
3820.000000 87.150 126.8462
3870.000000 86.978 126.3506
3950.000000 86.720 125.5854
4000.000000 86.562 125.1113
4060.000000 86.366 124.5570
4120.000000 86.164 124.0146
4180.000000 85.956 123.4706
4250.000000 85.690 122.9355
4310.000000 85.444 122.5036
4370.000000 85.185 122.2131
4440.000000 84.873 122.1269
4500.000000 84.600 122.2213
4550.000000 84.367 122.4238
4620.000000 84.035 122.9389
4680.000000 83.757 123.5927
4750.000000 83.437 124.5394
4820.000000 83.113 125.6696
4870.000000 82.883 126.6240
4940.000000 82.555 128.2176
5000.000000 82.258 129.8268
5080.000000 81.833 132.6733
5150.000000 81.493 136.3471
5220.000000 81.273 141.0176
5300.000000 81.245 147.2829
5380.000000 81.532 153.6973
5450.000000 82.004 158.7156
5520.000000 82.630 162.9138
5600.000000 83.497 166.5194
5700.000000 84.699 168.9949
5800.000000 85.971 169.3936
