* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Sep 16, 2024 8:09:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MD Block (Donut Foam) L5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 69.977 -59.5170
20.600000 70.136 -59.6194
20.900000 70.315 -59.8398
21.200001 70.479 -60.1324
21.400000 70.573 -60.3221
21.799999 70.725 -60.5745
22.000000 70.788 -60.6071
22.400000 70.909 -60.5008
22.700001 71.013 -60.3628
23.000000 71.140 -60.2987
23.299999 71.290 -60.4138
23.600000 71.458 -60.7646
24.000000 71.692 -61.5572
24.299999 71.859 -62.2666
24.700001 72.064 -63.0933
25.000000 72.209 -63.4629
25.400000 72.408 -63.5344
25.799999 72.628 -63.2801
26.200001 72.857 -63.0568
26.500000 73.006 -63.1090
26.900000 73.132 -63.5532
27.200001 73.151 -64.0806
27.600000 73.085 -64.7746
28.000000 72.971 -65.1572
28.500000 72.914 -65.0418
29.000000 73.084 -64.6932
29.500000 73.463 -64.7307
30.000000 73.916 -65.2261
30.400000 74.258 -65.6952
30.700001 74.489 -65.9745
31.100000 74.761 -66.2430
31.500000 74.994 -66.4914
32.000000 75.215 -66.9285
32.500000 75.356 -67.4680
33.000000 75.459 -67.8986
33.500000 75.596 -68.1368
34.000000 75.807 -68.3544
34.500000 76.057 -68.7205
35.000000 76.284 -69.1474
35.500000 76.459 -69.4065
36.000000 76.600 -69.4164
36.500000 76.736 -69.3255
37.000000 76.877 -69.3197
37.500000 77.030 -69.4566
38.200001 77.290 -69.8625
38.700001 77.509 -70.3463
39.500000 77.851 -71.4780
40.000000 78.023 -72.3537
40.599998 78.160 -73.5981
41.200001 78.176 -74.9165
41.799999 78.067 -75.6129
42.500000 78.000 -74.7207
43.099998 78.237 -73.3155
43.700001 78.679 -72.8971
44.400002 79.121 -73.6991
45.000000 79.351 -74.2775
45.500000 79.512 -74.4225
46.200001 79.731 -74.8301
46.799999 79.833 -75.5564
47.500000 79.879 -75.9773
48.200001 80.053 -75.7725
48.700001 80.277 -75.8501
49.400002 80.580 -76.5736
50.000000 80.750 -77.2593
50.799999 80.919 -77.6978
51.500000 81.075 -77.8873
52.200001 81.243 -78.0863
53.000000 81.463 -78.4303
53.799999 81.679 -79.1711
54.500000 81.803 -80.0274
55.200001 81.870 -80.7766
56.000000 81.919 -81.3703
57.000000 82.038 -81.6745
58.000000 82.335 -81.8979
59.000000 82.694 -82.4882
60.000000 82.962 -83.1997
60.799999 83.103 -83.8875
61.500000 83.211 -84.5454
62.200001 83.351 -85.1722
63.000000 83.543 -85.7521
64.000000 83.778 -86.0356
65.000000 84.012 -86.3880
66.000000 84.183 -87.3817
67.000000 84.325 -88.2709
68.000000 84.519 -88.9927
69.000000 84.719 -89.7553
70.000000 84.918 -90.4860
71.000000 85.104 -91.2641
72.000000 85.272 -91.9810
73.000000 85.441 -92.7662
74.000000 85.588 -93.5912
75.000000 85.734 -94.1812
76.199997 85.927 -94.8778
77.500000 86.129 -95.7168
78.800003 86.342 -96.6289
80.000000 86.527 -97.4706
81.199997 86.703 -98.3970
82.500000 86.864 -99.4952
83.800003 87.032 -100.5127
85.000000 87.202 -101.4196
86.199997 87.361 -102.3240
87.500000 87.531 -103.2556
88.500000 87.671 -104.0216
90.000000 87.859 -105.1281
91.199997 87.994 -105.9787
92.500000 88.120 -106.9995
93.800003 88.248 -107.9013
95.000000 88.387 -108.7168
96.199997 88.521 -109.6648
97.500000 88.644 -110.7321
98.800003 88.760 -111.6881
100.000000 88.869 -112.4994
101.500000 89.003 -113.5545
103.000000 89.140 -114.6544
104.400002 89.265 -115.6620
106.000000 89.398 -116.8424
107.500000 89.517 -117.9177
109.000000 89.633 -118.9595
110.599998 89.754 -120.0546
112.000000 89.849 -121.0223
113.800003 89.966 -122.2641
115.000000 90.045 -123.0268
117.199997 90.190 -124.3527
118.000000 90.243 -124.5952
120.599998 90.394 -125.6241
122.000000 90.457 -127.2564
124.099998 90.581 -129.0776
125.000000 90.628 -129.7098
126.500000 90.698 -130.7516
128.000000 90.764 -131.7078
131.500000 90.917 -133.8639
132.000000 90.939 -134.1700
134.000000 91.022 -135.4061
136.000000 91.095 -136.5868
138.000000 91.160 -137.7699
140.000000 91.225 -138.9887
143.000000 91.317 -140.7627
145.000000 91.374 -141.8549
147.500000 91.437 -143.1823
150.000000 91.501 -144.5235
152.500000 91.562 -145.8818
155.000000 91.608 -147.2275
157.500000 91.649 -148.5771
160.000000 91.688 -149.8659
162.500000 91.726 -151.0907
165.000000 91.763 -152.2482
167.500000 91.794 -153.4184
170.000000 91.814 -154.6012
172.500000 91.835 -155.7648
175.000000 91.857 -156.8956
177.500000 91.872 -158.0205
180.000000 91.886 -159.1232
182.500000 91.901 -160.1741
185.000000 91.912 -161.2038
187.500000 91.920 -162.2135
190.000000 91.922 -163.2023
192.500000 91.921 -164.1925
195.000000 91.917 -165.1647
197.500000 91.916 -166.1022
200.000000 91.918 -167.0224
203.000000 91.916 -168.1025
206.000000 91.909 -169.1441
209.000000 91.899 -170.1728
212.000000 91.887 -171.2188
214.000000 91.872 -171.8974
218.000000 91.841 -173.1791
220.000000 91.828 -173.8024
224.000000 91.805 -175.0593
227.000000 91.785 -175.9892
230.000000 91.759 -176.8981
233.000000 91.733 -177.7776
236.000000 91.708 -178.6357
240.000000 91.670 -179.7436
243.000000 91.636 179.4438
247.000000 91.592 178.3821
250.000000 91.559 177.6041
254.000000 91.510 176.5917
258.000000 91.457 175.6434
262.000000 91.403 174.7418
265.000000 91.365 174.0850
269.000000 91.315 173.2189
272.000000 91.276 172.5668
276.000000 91.226 171.6975
280.000000 91.175 170.8200
285.000000 91.108 169.7787
290.000000 91.030 168.8017
295.000000 90.945 167.8465
300.000000 90.865 166.9230
304.000000 90.803 166.2250
307.000000 90.748 165.7379
311.000000 90.670 165.1342
315.000000 90.593 164.5455
320.000000 90.492 163.8434
325.000000 90.393 163.2043
330.000000 90.297 162.6225
335.000000 90.199 162.1231
340.000000 90.102 161.6966
345.000000 90.011 161.3590
350.000000 89.929 161.0965
355.000000 89.857 160.8370
360.000000 89.792 160.5898
365.000000 89.730 160.3653
370.000000 89.673 160.1620
375.000000 89.624 159.9485
382.000000 89.568 159.6243
387.000000 89.532 159.3905
395.000000 89.484 159.0752
400.000000 89.456 158.8332
406.000000 89.428 158.4830
412.000000 89.398 158.1595
418.000000 89.368 157.8080
425.000000 89.337 157.3863
431.000000 89.308 157.0250
437.000000 89.280 156.6570
444.000000 89.250 156.2591
450.000000 89.226 155.8893
455.000000 89.201 155.5616
462.000000 89.164 155.1276
468.000000 89.134 154.7659
475.000000 89.099 154.3445
482.000000 89.062 153.9572
487.000000 89.035 153.6944
494.000000 89.001 153.3041
500.000000 88.970 152.9671
508.000000 88.924 152.5423
515.000000 88.884 152.1614
522.000000 88.847 151.8115
530.000000 88.807 151.4134
538.000000 88.767 151.0259
545.000000 88.733 150.6724
552.000000 88.698 150.3180
560.000000 88.657 149.9163
570.000000 88.608 149.4155
580.000000 88.561 148.9293
590.000000 88.508 148.4651
600.000000 88.454 148.0612
608.000000 88.410 147.7723
615.000000 88.374 147.5423
622.000000 88.341 147.3209
630.000000 88.302 147.0663
640.000000 88.249 146.7743
650.000000 88.191 146.4883
660.000000 88.130 146.2250
670.000000 88.065 145.9833
680.000000 87.998 145.7408
690.000000 87.926 145.5408
700.000000 87.852 145.3931
710.000000 87.778 145.2963
720.000000 87.703 145.2375
730.000000 87.634 145.1865
740.000000 87.567 145.1458
750.000000 87.500 145.1731
762.000000 87.420 145.2726
775.000000 87.345 145.3761
788.000000 87.273 145.4734
800.000000 87.208 145.6077
812.000000 87.152 145.7109
825.000000 87.098 145.8267
838.000000 87.051 145.9209
850.000000 87.008 145.9119
862.000000 86.956 145.8092
875.000000 86.866 145.6443
885.000000 86.777 145.6003
900.000000 86.645 145.8224
912.000000 86.548 146.2002
925.000000 86.463 146.6693
938.000000 86.391 147.1134
950.000000 86.332 147.5081
962.000000 86.283 147.8853
975.000000 86.234 148.2465
988.000000 86.187 148.5908
1000.000000 86.143 148.8828
1015.000000 86.085 149.1669
1030.000000 86.029 149.3743
1044.000000 85.983 149.5738
1060.000000 85.935 149.8353
1075.000000 85.895 150.1083
1090.000000 85.859 150.3583
1106.000000 85.824 150.5824
1120.000000 85.799 150.7771
1138.000000 85.770 151.0196
1150.000000 85.751 151.1638
1172.000000 85.724 151.3548
1180.000000 85.717 151.4009
1206.000000 85.690 151.5424
1220.000000 85.675 151.6115
1241.000000 85.651 151.6122
1250.000000 85.637 151.5886
1265.000000 85.608 151.5580
1280.000000 85.578 151.5048
1315.000000 85.489 151.3094
1320.000000 85.472 151.2725
1340.000000 85.391 151.1024
1360.000000 85.307 150.9547
1380.000000 85.212 150.8287
1400.000000 85.101 150.7658
1430.000000 84.918 150.8613
1450.000000 84.786 150.9802
1475.000000 84.600 151.2558
1500.000000 84.412 151.6838
1525.000000 84.219 152.2481
1550.000000 84.019 152.9585
1575.000000 83.826 153.9112
1600.000000 83.646 155.0145
1625.000000 83.472 156.2332
1650.000000 83.308 157.6087
1675.000000 83.153 159.1205
1700.000000 83.015 160.7062
1725.000000 82.900 162.3722
1750.000000 82.805 164.1826
1775.000000 82.725 166.0466
1800.000000 82.656 167.9197
1825.000000 82.609 169.8517
1850.000000 82.579 171.9005
1875.000000 82.560 174.0697
1900.000000 82.568 176.2573
1925.000000 82.604 178.4485
1950.000000 82.661 -179.2805
1975.000000 82.752 -176.9883
2000.000000 82.873 -174.7333
2030.000000 83.055 -172.0933
2060.000000 83.280 -169.6165
2090.000000 83.540 -167.2688
2120.000000 83.823 -165.0835
2140.000000 84.028 -163.7417
2180.000000 84.464 -161.4127
2200.000000 84.690 -160.3633
2240.000000 85.159 -158.4714
2270.000000 85.524 -157.2996
2300.000000 85.895 -156.3814
2330.000000 86.261 -155.5942
2360.000000 86.621 -154.9292
2400.000000 87.108 -154.4251
2430.000000 87.465 -154.3018
2470.000000 87.934 -154.2883
2500.000000 88.281 -154.4284
2540.000000 88.726 -154.8460
2580.000000 89.159 -155.5600
2620.000000 89.570 -156.5056
2650.000000 89.859 -157.3364
2690.000000 90.215 -158.6294
2720.000000 90.452 -159.7436
2760.000000 90.740 -161.3834
2800.000000 90.990 -163.1215
2850.000000 91.240 -165.3509
2900.000000 91.449 -167.6254
2950.000000 91.599 -169.9129
3000.000000 91.689 -172.1505
3040.000000 91.734 -173.8821
3070.000000 91.748 -175.1309
3110.000000 91.737 -176.6922
3150.000000 91.708 -178.1474
3200.000000 91.634 -179.8301
3250.000000 91.540 178.6790
3300.000000 91.437 177.3232
3350.000000 91.309 175.9577
3400.000000 91.159 174.5248
3450.000000 91.011 173.0511
3500.000000 90.864 171.6583
3550.000000 90.708 170.4075
3600.000000 90.551 169.4245
3650.000000 90.400 168.5837
3700.000000 90.255 167.6549
3750.000000 90.118 166.6356
3820.000000 89.920 165.4427
3870.000000 89.788 164.7996
3950.000000 89.581 163.8681
4000.000000 89.471 163.3555
4060.000000 89.347 162.7446
4120.000000 89.204 161.9187
4180.000000 89.052 160.9565
4250.000000 88.871 159.8110
4310.000000 88.680 158.8393
4370.000000 88.486 158.1151
4440.000000 88.239 157.5737
4500.000000 88.018 157.2552
4550.000000 87.828 156.9962
4620.000000 87.545 156.5876
4680.000000 87.302 156.3385
4750.000000 87.044 156.3813
4820.000000 86.798 156.6058
4870.000000 86.629 156.7925
4940.000000 86.392 156.9973
5000.000000 86.168 157.0321
5080.000000 85.784 157.0580
5150.000000 85.363 157.4675
5220.000000 84.956 158.8676
5300.000000 84.605 161.6782
5380.000000 84.424 164.9106
5450.000000 84.364 167.4797
5520.000000 84.343 169.6815
5600.000000 84.316 172.0595
5700.000000 84.289 175.4668
