* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Sep 16, 2024 8:13:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MD Block (Donut Foam) R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 73.405 -62.8749
20.600000 73.559 -63.4487
20.900000 73.710 -64.0966
21.200001 73.838 -64.6489
21.400000 73.913 -64.9010
21.799999 74.065 -65.0643
22.000000 74.153 -65.0009
22.400000 74.369 -64.7748
22.700001 74.558 -64.7123
23.000000 74.749 -64.8695
23.299999 74.917 -65.2595
23.600000 75.042 -65.8013
24.000000 75.138 -66.5245
24.299999 75.176 -66.9147
24.700001 75.230 -67.1657
25.000000 75.305 -67.2445
25.400000 75.469 -67.4467
25.799999 75.686 -67.9395
26.200001 75.911 -68.6560
26.500000 76.069 -69.1659
26.900000 76.264 -69.5574
27.200001 76.415 -69.5533
27.600000 76.640 -69.2410
28.000000 76.896 -68.8739
28.500000 77.212 -68.8355
29.000000 77.447 -69.4674
29.500000 77.567 -70.4760
30.000000 77.614 -71.3342
30.400000 77.661 -71.6713
30.700001 77.733 -71.7239
31.100000 77.888 -71.6712
31.500000 78.091 -71.6797
32.000000 78.349 -71.9627
32.500000 78.546 -72.4715
33.000000 78.677 -72.9525
33.500000 78.795 -73.2523
34.000000 78.957 -73.4664
34.500000 79.167 -73.8044
35.000000 79.378 -74.3300
35.500000 79.537 -74.8697
36.000000 79.634 -75.1753
36.500000 79.706 -75.1617
37.000000 79.806 -75.0076
37.500000 79.963 -75.0174
38.200001 80.245 -75.5623
38.700001 80.451 -76.1508
39.500000 80.750 -76.8595
40.000000 80.923 -77.0460
40.599998 81.131 -77.1809
41.200001 81.336 -77.5022
41.799999 81.516 -78.1218
42.500000 81.672 -78.9097
43.099998 81.799 -79.3186
43.700001 81.969 -79.5726
44.400002 82.195 -80.0496
45.000000 82.353 -80.5610
45.500000 82.454 -80.8491
46.200001 82.599 -80.9937
46.799999 82.746 -81.1217
47.500000 82.923 -81.4494
48.200001 83.104 -81.8858
48.700001 83.239 -82.2467
49.400002 83.420 -82.8073
50.000000 83.551 -83.2247
50.799999 83.702 -83.5257
51.500000 83.847 -83.7166
52.200001 84.009 -84.1718
53.000000 84.177 -84.9885
53.799999 84.328 -85.5501
54.500000 84.484 -85.6885
55.200001 84.637 -85.8357
56.000000 84.748 -86.1053
57.000000 84.904 -86.5090
58.000000 85.196 -87.6457
59.000000 85.480 -89.0127
60.000000 85.699 -89.7586
60.799999 85.842 -90.1323
61.500000 85.964 -90.4870
62.200001 86.095 -90.9509
63.000000 86.236 -91.5365
64.000000 86.405 -92.1328
65.000000 86.589 -92.8334
66.000000 86.753 -93.5641
67.000000 86.919 -94.0301
68.000000 87.094 -94.5772
69.000000 87.263 -95.3150
70.000000 87.439 -96.1007
71.000000 87.608 -96.8231
72.000000 87.761 -97.4410
73.000000 87.899 -97.9768
74.000000 88.041 -98.5134
75.000000 88.194 -99.2598
76.199997 88.369 -100.3363
77.500000 88.549 -101.3575
78.800003 88.711 -102.1534
80.000000 88.858 -102.8902
81.199997 89.013 -103.7714
82.500000 89.178 -104.7787
83.800003 89.321 -105.6423
85.000000 89.449 -106.3290
86.199997 89.584 -107.1289
87.500000 89.722 -108.0805
88.500000 89.830 -108.7741
90.000000 89.996 -109.7807
91.199997 90.116 -110.5375
92.500000 90.231 -111.3793
93.800003 90.353 -112.2259
95.000000 90.477 -112.9937
96.199997 90.584 -113.8109
97.500000 90.676 -114.7360
98.800003 90.764 -115.6675
100.000000 90.846 -116.5027
101.500000 90.951 -117.4577
103.000000 91.062 -118.3635
104.400002 91.160 -119.1979
106.000000 91.262 -120.1915
107.500000 91.351 -121.1406
109.000000 91.434 -122.0990
110.599998 91.518 -123.0932
112.000000 91.593 -123.9453
113.800003 91.688 -125.0252
115.000000 91.746 -125.7015
117.199997 91.839 -126.9035
118.000000 91.850 -127.2525
120.599998 91.892 -128.4072
122.000000 92.002 -129.4511
124.099998 92.118 -130.8109
125.000000 92.147 -131.3087
126.500000 92.193 -132.0594
128.000000 92.237 -132.7719
131.500000 92.340 -134.5409
132.000000 92.352 -134.7814
134.000000 92.395 -135.7333
136.000000 92.430 -136.7064
138.000000 92.465 -137.6767
140.000000 92.497 -138.5793
143.000000 92.543 -139.8494
145.000000 92.572 -140.7034
147.500000 92.603 -141.7602
150.000000 92.634 -142.8313
152.500000 92.657 -143.8085
155.000000 92.671 -144.7077
157.500000 92.681 -145.6270
160.000000 92.689 -146.5306
162.500000 92.696 -147.3797
165.000000 92.698 -148.2067
167.500000 92.702 -149.0248
170.000000 92.701 -149.8354
172.500000 92.695 -150.6253
175.000000 92.686 -151.3865
177.500000 92.677 -152.1434
180.000000 92.664 -152.8595
182.500000 92.646 -153.5570
185.000000 92.629 -154.2419
187.500000 92.614 -154.9121
190.000000 92.597 -155.5779
192.500000 92.577 -156.2173
195.000000 92.553 -156.8206
197.500000 92.529 -157.3824
200.000000 92.504 -157.9256
203.000000 92.477 -158.5758
206.000000 92.450 -159.2119
209.000000 92.421 -159.8381
212.000000 92.389 -160.4320
214.000000 92.364 -160.8018
218.000000 92.314 -161.5681
220.000000 92.290 -161.9572
224.000000 92.243 -162.6646
227.000000 92.210 -163.1655
230.000000 92.173 -163.6702
233.000000 92.132 -164.1917
236.000000 92.091 -164.6859
240.000000 92.029 -165.2830
243.000000 91.981 -165.7352
247.000000 91.918 -166.2581
250.000000 91.876 -166.5966
254.000000 91.823 -167.1018
258.000000 91.769 -167.6438
262.000000 91.710 -168.1647
265.000000 91.660 -168.5355
269.000000 91.595 -169.0194
272.000000 91.549 -169.3775
276.000000 91.484 -169.8147
280.000000 91.417 -170.2275
285.000000 91.332 -170.7838
290.000000 91.240 -171.2700
295.000000 91.144 -171.7192
300.000000 91.043 -172.1483
304.000000 90.962 -172.4456
307.000000 90.899 -172.6505
311.000000 90.808 -172.8989
315.000000 90.714 -173.0879
320.000000 90.602 -173.2097
325.000000 90.495 -173.2699
330.000000 90.392 -173.2643
335.000000 90.294 -173.1845
340.000000 90.202 -173.0852
345.000000 90.122 -172.9638
350.000000 90.059 -172.8156
355.000000 90.007 -172.6509
360.000000 89.963 -172.4883
365.000000 89.925 -172.3746
370.000000 89.888 -172.2799
375.000000 89.857 -172.1837
382.000000 89.824 -172.0659
387.000000 89.800 -172.0074
395.000000 89.767 -171.9648
400.000000 89.752 -171.9268
406.000000 89.738 -171.8953
412.000000 89.722 -171.8868
418.000000 89.705 -171.9071
425.000000 89.688 -171.9577
431.000000 89.671 -172.0183
437.000000 89.651 -172.1086
444.000000 89.628 -172.1978
450.000000 89.603 -172.2651
455.000000 89.579 -172.3415
462.000000 89.542 -172.4613
468.000000 89.511 -172.5249
475.000000 89.472 -172.6168
482.000000 89.433 -172.6897
487.000000 89.405 -172.7306
494.000000 89.368 -172.8014
500.000000 89.338 -172.8674
508.000000 89.297 -172.9126
515.000000 89.262 -172.9292
522.000000 89.225 -172.9459
530.000000 89.182 -172.9689
538.000000 89.142 -172.9933
545.000000 89.110 -173.0061
552.000000 89.079 -173.0080
560.000000 89.041 -173.0167
570.000000 88.991 -173.0680
580.000000 88.947 -173.1322
590.000000 88.901 -173.1787
600.000000 88.858 -173.2205
608.000000 88.823 -173.2710
615.000000 88.790 -173.3168
622.000000 88.755 -173.3659
630.000000 88.713 -173.4468
640.000000 88.655 -173.5151
650.000000 88.592 -173.5129
660.000000 88.529 -173.4607
670.000000 88.467 -173.3582
680.000000 88.408 -173.1633
690.000000 88.348 -172.9009
700.000000 88.287 -172.6615
710.000000 88.229 -172.4155
720.000000 88.174 -172.1084
730.000000 88.122 -171.8100
740.000000 88.077 -171.5362
750.000000 88.035 -171.2683
762.000000 87.981 -170.9899
775.000000 87.916 -170.7500
788.000000 87.844 -170.5257
800.000000 87.764 -170.2760
812.000000 87.678 -169.9270
825.000000 87.593 -169.4484
838.000000 87.513 -168.9528
850.000000 87.441 -168.5124
862.000000 87.370 -168.0507
875.000000 87.295 -167.5168
885.000000 87.241 -167.0938
900.000000 87.162 -166.4462
912.000000 87.099 -165.9245
925.000000 87.033 -165.3560
938.000000 86.972 -164.7417
950.000000 86.917 -164.1479
962.000000 86.860 -163.5588
975.000000 86.801 -162.9062
988.000000 86.746 -162.2074
1000.000000 86.700 -161.5673
1015.000000 86.646 -160.7532
1030.000000 86.600 -159.9561
1044.000000 86.560 -159.2456
1060.000000 86.523 -158.4340
1075.000000 86.488 -157.6909
1090.000000 86.447 -157.0139
1106.000000 86.408 -156.4125
1120.000000 86.383 -155.9669
1138.000000 86.357 -155.3908
1150.000000 86.342 -155.0147
1172.000000 86.316 -154.3756
1180.000000 86.308 -154.1520
1206.000000 86.285 -153.5688
1220.000000 86.272 -153.3164
1241.000000 86.251 -152.9242
1250.000000 86.241 -152.7586
1265.000000 86.219 -152.5097
1280.000000 86.195 -152.2918
1315.000000 86.118 -151.8999
1320.000000 86.104 -151.8519
1340.000000 86.046 -151.6400
1360.000000 85.971 -151.4416
1380.000000 85.879 -151.2469
1400.000000 85.778 -151.0492
1430.000000 85.607 -150.5704
1450.000000 85.486 -150.1345
1475.000000 85.334 -149.4687
1500.000000 85.171 -148.6863
1525.000000 85.007 -147.7478
1550.000000 84.844 -146.6013
1575.000000 84.692 -145.3190
1600.000000 84.547 -143.8978
1625.000000 84.420 -142.4207
1650.000000 84.305 -140.8284
1675.000000 84.207 -139.0871
1700.000000 84.131 -137.2952
1725.000000 84.074 -135.5045
1750.000000 84.036 -133.6091
1775.000000 84.024 -131.6637
1800.000000 84.030 -129.6284
1825.000000 84.061 -127.6421
1850.000000 84.113 -125.7286
1875.000000 84.177 -123.7870
1900.000000 84.263 -121.7903
1925.000000 84.374 -119.8371
1950.000000 84.511 -117.9264
1975.000000 84.677 -116.0989
2000.000000 84.873 -114.3382
2030.000000 85.146 -112.3052
2060.000000 85.440 -110.4864
2090.000000 85.752 -108.8831
2120.000000 86.100 -107.4974
2140.000000 86.344 -106.7542
2180.000000 86.822 -105.6988
2200.000000 87.059 -105.3157
2240.000000 87.540 -104.8151
2270.000000 87.896 -104.7009
2300.000000 88.236 -104.8244
2330.000000 88.561 -105.1032
2360.000000 88.878 -105.4877
2400.000000 89.283 -106.2733
2430.000000 89.573 -107.0452
2470.000000 89.933 -108.2136
2500.000000 90.181 -109.1890
2540.000000 90.485 -110.6354
2580.000000 90.761 -112.1955
2620.000000 91.011 -113.8421
2650.000000 91.182 -115.1557
2690.000000 91.387 -117.0135
2720.000000 91.520 -118.4509
2760.000000 91.671 -120.3940
2800.000000 91.805 -122.3687
2850.000000 91.938 -124.9070
2900.000000 92.024 -127.4601
2950.000000 92.067 -129.9926
3000.000000 92.071 -132.4158
3040.000000 92.052 -134.2455
3070.000000 92.025 -135.6109
3110.000000 91.975 -137.3936
3150.000000 91.905 -139.0805
3200.000000 91.792 -141.1093
3250.000000 91.670 -143.0053
3300.000000 91.542 -144.6938
3350.000000 91.409 -146.2793
3400.000000 91.272 -147.7963
3450.000000 91.127 -149.2465
3500.000000 90.970 -150.5505
3550.000000 90.805 -151.7179
3600.000000 90.636 -152.7519
3650.000000 90.473 -153.6927
3700.000000 90.319 -154.5986
3750.000000 90.178 -155.4465
3820.000000 89.980 -156.5963
3870.000000 89.843 -157.3669
3950.000000 89.630 -158.6139
4000.000000 89.503 -159.4009
4060.000000 89.353 -160.3435
4120.000000 89.203 -161.3565
4180.000000 89.047 -162.4460
4250.000000 88.835 -163.7033
4310.000000 88.631 -164.6978
4370.000000 88.421 -165.5668
4440.000000 88.163 -166.5433
4500.000000 87.935 -167.3089
4550.000000 87.737 -167.8941
4620.000000 87.447 -168.5201
4680.000000 87.194 -168.9175
4750.000000 86.904 -169.2544
4820.000000 86.616 -169.5034
4870.000000 86.405 -169.6946
