* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Aug 21, 2024 7:53:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Block (Foam) L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 75.398 -75.4589
20.600000 75.510 -75.9493
20.900000 75.634 -76.4978
21.200001 75.755 -77.0450
21.400000 75.834 -77.3881
21.799999 75.991 -77.9800
22.000000 76.073 -78.2227
22.400000 76.246 -78.6267
22.700001 76.381 -78.8962
23.000000 76.514 -79.1644
23.299999 76.639 -79.4365
23.600000 76.754 -79.7052
24.000000 76.895 -80.0517
24.299999 76.996 -80.3202
24.700001 77.132 -80.7430
25.000000 77.234 -81.1358
25.400000 77.364 -81.7435
25.799999 77.487 -82.3532
26.200001 77.610 -82.8435
26.500000 77.714 -83.0993
26.900000 77.878 -83.3369
27.200001 78.018 -83.5094
27.600000 78.210 -83.8299
28.000000 78.383 -84.2812
28.500000 78.544 -84.9155
29.000000 78.653 -85.4353
29.500000 78.759 -85.7990
30.000000 78.895 -86.1839
30.400000 79.021 -86.6267
30.700001 79.113 -87.0337
31.100000 79.222 -87.5928
31.500000 79.314 -88.0590
32.000000 79.423 -88.4320
32.500000 79.543 -88.6744
33.000000 79.674 -88.9681
33.500000 79.799 -89.3594
34.000000 79.916 -89.7430
34.500000 80.043 -90.0274
35.000000 80.190 -90.2437
35.500000 80.350 -90.4822
36.000000 80.506 -90.7901
36.500000 80.650 -91.1654
37.000000 80.786 -91.6020
37.500000 80.915 -92.0836
38.200001 81.085 -92.7139
38.700001 81.204 -93.0376
39.500000 81.397 -93.3953
40.000000 81.507 -93.6580
40.599998 81.613 -94.0910
41.200001 81.695 -94.5976
41.799999 81.784 -95.0988
42.500000 81.937 -95.6963
43.099998 82.104 -96.2868
43.700001 82.262 -96.8326
44.400002 82.412 -97.0630
45.000000 82.545 -96.9639
45.500000 82.665 -97.0308
46.200001 82.793 -97.6946
46.799999 82.858 -98.4872
47.500000 82.989 -99.2312
48.200001 83.206 -99.8413
48.700001 83.330 -99.9655
49.400002 83.434 -99.0173
50.000000 83.569 -97.5203
50.799999 83.845 -97.1161
51.500000 83.966 -99.0161
52.200001 83.945 -101.3078
53.000000 84.002 -102.6719
53.799999 84.215 -103.1288
54.500000 84.386 -103.4550
55.200001 84.492 -103.8545
56.000000 84.586 -104.3763
57.000000 84.737 -104.9111
58.000000 84.863 -105.1085
59.000000 84.946 -104.9998
60.000000 85.129 -105.5654
60.799999 85.302 -106.6742
61.500000 85.425 -107.4946
62.200001 85.528 -107.9307
63.000000 85.633 -108.2395
64.000000 85.747 -108.8489
65.000000 85.863 -109.6440
66.000000 86.010 -110.3500
67.000000 86.170 -111.0209
68.000000 86.302 -111.6358
69.000000 86.423 -112.1967
70.000000 86.548 -112.9347
71.000000 86.673 -113.7318
72.000000 86.805 -114.4192
73.000000 86.919 -115.0286
74.000000 87.018 -115.6179
75.000000 87.128 -116.3037
76.199997 87.266 -117.1009
77.500000 87.403 -117.7978
78.800003 87.529 -118.7659
80.000000 87.643 -119.8267
81.199997 87.769 -120.5471
82.500000 87.913 -121.1524
83.800003 88.035 -121.8998
85.000000 88.134 -122.6765
86.199997 88.226 -123.4646
87.500000 88.321 -124.2253
88.500000 88.398 -124.8145
90.000000 88.508 -125.7668
91.199997 88.615 -126.4776
92.500000 88.734 -127.3826
93.800003 88.821 -128.1833
95.000000 88.893 -128.8484
96.199997 88.962 -129.5663
97.500000 89.046 -130.3747
98.800003 89.138 -131.2248
100.000000 89.220 -131.9906
101.500000 89.311 -132.8796
103.000000 89.386 -133.6901
104.400002 89.444 -134.4518
106.000000 89.515 -135.3400
107.500000 89.585 -136.2254
109.000000 89.665 -137.1111
110.599998 89.743 -138.0101
112.000000 89.798 -138.7538
113.800003 89.866 -139.7064
115.000000 89.910 -140.3475
117.199997 89.987 -141.5341
118.000000 90.013 -141.9688
120.599998 90.094 -143.2821
122.000000 90.140 -143.9712
124.099998 90.208 -145.0201
125.000000 90.231 -145.4632
126.500000 90.265 -146.2146
128.000000 90.298 -146.9849
131.500000 90.375 -148.6174
132.000000 90.386 -148.8329
134.000000 90.427 -149.7247
136.000000 90.461 -150.7070
138.000000 90.486 -151.6419
140.000000 90.520 -152.4900
143.000000 90.567 -153.7222
145.000000 90.592 -154.5743
147.500000 90.605 -155.6019
150.000000 90.611 -156.6383
152.500000 90.622 -157.7396
155.000000 90.662 -158.5804
157.500000 90.695 -159.4797
160.000000 90.744 -160.4416
162.500000 90.776 -161.3032
165.000000 90.737 -162.2037
167.500000 90.716 -163.1499
170.000000 90.716 -164.1960
172.500000 90.719 -164.9434
175.000000 90.714 -165.4912
177.500000 90.707 -166.0954
180.000000 90.681 -166.7478
182.500000 90.674 -167.2281
185.000000 90.646 -167.7795
187.500000 90.614 -168.8433
190.000000 90.625 -169.6456
192.500000 90.642 -170.3560
195.000000 90.638 -170.9763
197.500000 90.624 -171.4225
200.000000 90.604 -171.9917
203.000000 90.598 -172.9260
206.000000 90.572 -173.7656
209.000000 90.529 -174.5127
212.000000 90.503 -175.1812
214.000000 90.486 -175.6094
218.000000 90.447 -176.3586
220.000000 90.430 -176.7333
224.000000 90.401 -177.6466
227.000000 90.386 -178.3083
230.000000 90.363 -178.9280
233.000000 90.334 -179.5840
236.000000 90.296 179.7306
240.000000 90.281 178.9535
243.000000 90.285 178.5964
247.000000 90.221 178.0168
250.000000 90.173 177.4886
254.000000 90.125 176.8019
258.000000 90.085 176.2089
262.000000 90.038 175.5744
265.000000 90.003 175.1173
269.000000 89.954 174.5134
272.000000 89.915 174.0474
276.000000 89.867 173.5348
280.000000 89.827 173.0606
285.000000 89.773 172.4100
290.000000 89.726 171.7280
295.000000 89.680 171.0264
300.000000 89.610 170.4105
304.000000 89.539 169.8469
307.000000 89.493 169.5407
311.000000 89.440 169.1870
315.000000 89.381 168.8032
320.000000 89.298 168.2778
325.000000 89.219 167.8648
330.000000 89.144 167.4457
335.000000 89.077 167.0428
340.000000 89.007 166.6777
345.000000 88.918 166.4629
350.000000 88.832 166.2909
355.000000 88.759 166.2629
360.000000 88.689 166.2590
365.000000 88.624 166.2686
370.000000 88.575 166.3000
375.000000 88.528 166.1780
382.000000 88.471 166.0964
387.000000 88.447 166.0124
395.000000 88.428 166.0299
400.000000 88.443 165.9938
406.000000 88.448 165.8233
412.000000 88.415 165.6356
418.000000 88.390 165.3796
425.000000 88.361 165.2109
431.000000 88.337 165.0682
437.000000 88.322 164.8718
444.000000 88.300 164.6191
450.000000 88.276 164.2971
455.000000 88.259 164.0308
462.000000 88.244 163.7863
468.000000 88.235 163.5453
475.000000 88.216 163.2227
482.000000 88.187 162.9629
487.000000 88.165 162.8024
494.000000 88.132 162.5912
500.000000 88.108 162.4363
508.000000 88.082 162.2896
515.000000 88.065 162.2182
522.000000 88.049 162.2422
530.000000 88.024 162.2735
538.000000 87.999 162.2411
545.000000 87.978 162.2228
552.000000 87.953 162.2202
560.000000 87.922 162.2210
570.000000 87.893 162.2302
580.000000 87.865 162.2155
590.000000 87.829 162.2094
600.000000 87.788 162.2497
608.000000 87.755 162.2401
615.000000 87.728 162.2175
622.000000 87.702 162.2123
630.000000 87.675 162.2172
640.000000 87.635 162.2206
650.000000 87.588 162.2774
660.000000 87.535 162.3520
670.000000 87.479 162.4554
680.000000 87.417 162.5470
690.000000 87.351 162.6885
700.000000 87.292 162.8503
710.000000 87.234 163.0526
720.000000 87.172 163.3502
730.000000 87.115 163.6697
740.000000 87.064 163.9888
750.000000 87.014 164.3294
762.000000 86.953 164.7896
775.000000 86.891 165.2968
788.000000 86.847 165.8539
800.000000 86.816 166.3813
812.000000 86.788 166.7648
825.000000 86.759 167.0387
838.000000 86.724 167.1008
850.000000 86.688 166.9498
862.000000 86.646 166.7099
875.000000 86.574 166.4144
885.000000 86.496 166.2817
900.000000 86.377 166.3305
912.000000 86.292 166.5521
925.000000 86.216 166.8439
938.000000 86.154 167.0983
950.000000 86.108 167.3609
962.000000 86.067 167.6403
975.000000 86.019 167.8806
988.000000 85.975 168.0908
1000.000000 85.939 168.3187
1015.000000 85.896 168.5741
1030.000000 85.854 168.8427
1044.000000 85.818 169.1349
1060.000000 85.784 169.4302
1075.000000 85.753 169.6851
1090.000000 85.729 169.9408
1106.000000 85.705 170.1951
1120.000000 85.686 170.4030
1138.000000 85.665 170.6577
1150.000000 85.652 170.8197
1172.000000 85.637 171.0598
1180.000000 85.633 171.1235
1206.000000 85.612 171.3207
1220.000000 85.594 171.3829
1241.000000 85.571 171.4218
1250.000000 85.562 171.4311
1265.000000 85.540 171.3986
1280.000000 85.510 171.3185
1315.000000 85.417 171.1890
1320.000000 85.401 171.1723
1340.000000 85.329 171.0601
1360.000000 85.249 170.8732
1380.000000 85.150 170.7690
1400.000000 85.034 170.7542
1430.000000 84.850 170.8734
1450.000000 84.717 171.0882
1475.000000 84.539 171.3781
1500.000000 84.351 171.7927
1525.000000 84.161 172.4446
1550.000000 83.972 173.2626
1575.000000 83.784 174.2939
1600.000000 83.607 175.4921
1625.000000 83.440 176.7740
1650.000000 83.286 178.1805
1675.000000 83.155 179.7686
1700.000000 83.044 -178.5236
1725.000000 82.957 -176.8256
1750.000000 82.884 -175.0548
1775.000000 82.832 -173.1710
1800.000000 82.805 -171.2710
1825.000000 82.798 -169.3411
1850.000000 82.807 -167.3962
1875.000000 82.838 -165.4251
1900.000000 82.891 -163.4229
1925.000000 82.956 -161.4176
1950.000000 83.043 -159.4242
1975.000000 83.160 -157.4444
2000.000000 83.310 -155.4895
2030.000000 83.530 -153.2387
2060.000000 83.780 -151.1423
2090.000000 84.058 -149.1950
2120.000000 84.352 -147.4921
2140.000000 84.564 -146.4921
2180.000000 85.006 -144.8566
2200.000000 85.228 -144.1672
2240.000000 85.683 -143.0032
2270.000000 86.034 -142.3504
2300.000000 86.383 -141.8880
2330.000000 86.724 -141.6370
2360.000000 87.059 -141.5714
2400.000000 87.493 -141.7191
2430.000000 87.801 -142.0113
2470.000000 88.190 -142.6262
2500.000000 88.469 -143.1694
2540.000000 88.827 -144.0372
2580.000000 89.171 -145.0534
2620.000000 89.493 -146.2256
2650.000000 89.710 -147.2430
2690.000000 89.968 -148.8029
2720.000000 90.148 -149.9966
2760.000000 90.367 -151.6146
2800.000000 90.561 -153.2924
2850.000000 90.758 -155.5151
2900.000000 90.904 -157.7585
2950.000000 91.006 -160.0096
3000.000000 91.059 -162.2077
3040.000000 91.075 -163.9372
3070.000000 91.071 -165.1804
3110.000000 91.045 -166.7536
3150.000000 91.008 -168.2488
3200.000000 90.941 -170.0306
3250.000000 90.852 -171.6833
3300.000000 90.746 -173.1760
3350.000000 90.625 -174.4494
3400.000000 90.498 -175.6015
3450.000000 90.366 -176.6060
3500.000000 90.230 -177.4604
3550.000000 90.091 -178.2313
3600.000000 89.952 -178.9493
3650.000000 89.819 -179.6000
3700.000000 89.687 179.8413
3750.000000 89.550 179.4024
3820.000000 89.363 179.0189
3870.000000 89.258 178.8477
3950.000000 89.141 178.3452
4000.000000 89.064 177.7818
4060.000000 88.934 177.0388
4120.000000 88.777 176.3730
4180.000000 88.612 175.7271
4250.000000 88.389 175.0831
4310.000000 88.184 174.6008
4370.000000 87.988 174.1904
4440.000000 87.747 173.6694
4500.000000 87.511 173.2430
4550.000000 87.286 173.0007
4620.000000 86.953 172.9994
4680.000000 86.683 173.2573
4750.000000 86.390 173.6222
4820.000000 86.099 173.8214
4870.000000 85.872 173.9173
4940.000000 85.523 174.2360
5000.000000 85.204 174.5658
5080.000000 84.707 175.1232
5150.000000 84.187 176.2682
5220.000000 83.652 178.4365
5300.000000 83.112 -177.9384
5380.000000 82.725 -173.4809
5450.000000 82.531 -169.3432
5520.000000 82.442 -165.3793
5600.000000 82.412 -161.2284
5700.000000 82.403 -155.9851
5800.000000 82.521 -149.7881
