* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Aug 21, 2024 8:37:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Block (Foam) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 81.933 -80.9312
20.600000 82.041 -81.3577
20.900000 82.164 -81.7690
21.200001 82.293 -82.1636
21.400000 82.380 -82.4430
21.799999 82.550 -83.0945
22.000000 82.628 -83.4725
22.400000 82.762 -84.2894
22.700001 82.841 -84.8869
23.000000 82.911 -85.4101
23.299999 82.983 -85.8343
23.600000 83.070 -86.1764
24.000000 83.219 -86.5925
24.299999 83.348 -86.9394
24.700001 83.525 -87.4760
25.000000 83.646 -87.8928
25.400000 83.783 -88.3626
25.799999 83.903 -88.6594
26.200001 84.026 -88.8309
26.500000 84.132 -88.9798
26.900000 84.286 -89.3557
27.200001 84.402 -89.8174
27.600000 84.540 -90.6127
28.000000 84.654 -91.4269
28.500000 84.783 -92.1515
29.000000 84.944 -92.4325
29.500000 85.159 -92.5322
30.000000 85.389 -92.8369
30.400000 85.541 -93.3324
30.700001 85.620 -93.8064
31.100000 85.680 -94.4634
31.500000 85.712 -95.0434
32.000000 85.759 -95.6245
32.500000 85.854 -96.1695
33.000000 85.987 -96.8036
33.500000 86.123 -97.4667
34.000000 86.239 -97.9776
34.500000 86.345 -98.2615
35.000000 86.455 -98.4734
35.500000 86.569 -98.8547
36.000000 86.666 -99.4826
36.500000 86.742 -100.1936
37.000000 86.820 -100.7584
37.500000 86.935 -101.1032
38.200001 87.163 -101.4705
38.700001 87.330 -101.8454
39.500000 87.522 -102.5945
40.000000 87.600 -103.0197
40.599998 87.693 -103.4567
41.200001 87.817 -103.9156
41.799999 87.968 -104.4881
42.500000 88.134 -105.2740
43.099998 88.236 -105.9067
43.700001 88.300 -106.3497
44.400002 88.370 -106.5809
45.000000 88.466 -106.7165
45.500000 88.574 -106.9697
46.200001 88.734 -107.6553
46.799999 88.848 -108.4120
47.500000 88.959 -109.2131
48.200001 89.074 -109.8172
48.700001 89.161 -110.1458
49.400002 89.285 -110.4886
50.000000 89.394 -110.7419
50.799999 89.538 -111.2331
51.500000 89.645 -111.8354
52.200001 89.740 -112.4334
53.000000 89.854 -113.0416
53.799999 89.965 -113.6375
54.500000 90.057 -114.1450
55.200001 90.160 -114.6788
56.000000 90.285 -115.3607
57.000000 90.432 -116.1099
58.000000 90.575 -116.7169
59.000000 90.692 -117.4253
60.000000 90.789 -118.1743
60.799999 90.878 -118.8028
61.500000 90.967 -119.3897
62.200001 91.060 -119.9617
63.000000 91.167 -120.5458
64.000000 91.290 -121.1755
65.000000 91.411 -121.8272
66.000000 91.530 -122.6601
67.000000 91.637 -123.5043
68.000000 91.747 -124.2320
69.000000 91.855 -124.9804
70.000000 91.954 -125.7504
71.000000 92.049 -126.4443
72.000000 92.141 -127.0276
73.000000 92.228 -127.6252
74.000000 92.303 -128.3058
75.000000 92.378 -128.9906
76.199997 92.480 -129.7898
77.500000 92.583 -130.6272
78.800003 92.680 -131.5069
80.000000 92.772 -132.3799
81.199997 92.869 -133.2082
82.500000 92.969 -134.0823
83.800003 93.051 -134.9890
85.000000 93.121 -135.7819
86.199997 93.198 -136.5362
87.500000 93.282 -137.3860
88.500000 93.340 -138.0704
90.000000 93.413 -139.0751
91.199997 93.474 -139.8178
92.500000 93.543 -140.6350
93.800003 93.605 -141.4458
95.000000 93.656 -142.2021
96.199997 93.704 -142.9921
97.500000 93.755 -143.7918
98.800003 93.809 -144.4812
100.000000 93.857 -145.1883
101.500000 93.906 -146.1690
103.000000 93.956 -147.1030
104.400002 94.000 -147.9543
106.000000 94.044 -148.9215
107.500000 94.083 -149.7753
109.000000 94.119 -150.6058
110.599998 94.157 -151.4854
112.000000 94.184 -152.2298
113.800003 94.211 -153.1829
115.000000 94.228 -153.8246
117.199997 94.263 -154.9944
118.000000 94.276 -155.4165
120.599998 94.313 -156.7481
122.000000 94.327 -157.4213
124.099998 94.337 -158.4244
125.000000 94.340 -158.8594
126.500000 94.347 -159.5705
128.000000 94.359 -160.2613
131.500000 94.374 -161.8730
132.000000 94.375 -162.1000
134.000000 94.379 -162.9714
136.000000 94.378 -163.8113
138.000000 94.375 -164.6770
140.000000 94.370 -165.5159
143.000000 94.356 -166.7234
145.000000 94.347 -167.4856
147.500000 94.331 -168.4097
150.000000 94.313 -169.3126
152.500000 94.294 -170.1969
155.000000 94.269 -171.0511
157.500000 94.243 -171.9202
160.000000 94.219 -172.7322
162.500000 94.191 -173.5258
165.000000 94.161 -174.2741
167.500000 94.125 -174.9848
170.000000 94.089 -175.7021
172.500000 94.056 -176.4046
175.000000 94.021 -177.0900
177.500000 93.979 -177.7652
180.000000 93.940 -178.4171
182.500000 93.907 -179.0216
185.000000 93.871 -179.5931
187.500000 93.831 179.8513
190.000000 93.788 179.2937
192.500000 93.747 178.7187
195.000000 93.707 178.1774
197.500000 93.667 177.6649
200.000000 93.629 177.1513
203.000000 93.584 176.5696
206.000000 93.532 176.0484
209.000000 93.477 175.5067
212.000000 93.424 174.9489
214.000000 93.390 174.5982
218.000000 93.318 173.9448
220.000000 93.284 173.6260
224.000000 93.219 172.9727
227.000000 93.168 172.4970
230.000000 93.117 172.0476
233.000000 93.064 171.6128
236.000000 93.012 171.1887
240.000000 92.941 170.6373
243.000000 92.889 170.2501
247.000000 92.815 169.7791
250.000000 92.759 169.4484
254.000000 92.690 169.0367
258.000000 92.622 168.6151
262.000000 92.551 168.1862
265.000000 92.499 167.8782
269.000000 92.431 167.4655
272.000000 92.379 167.1733
276.000000 92.308 166.7947
280.000000 92.236 166.4081
285.000000 92.147 165.9602
290.000000 92.054 165.5819
295.000000 91.954 165.2086
300.000000 91.854 164.8558
304.000000 91.771 164.5986
307.000000 91.705 164.4281
311.000000 91.617 164.2574
315.000000 91.531 164.1247
320.000000 91.426 164.0215
325.000000 91.322 164.0052
330.000000 91.224 164.0554
335.000000 91.134 164.1595
340.000000 91.053 164.3116
345.000000 90.983 164.4973
350.000000 90.923 164.6905
355.000000 90.876 164.8635
360.000000 90.838 165.0281
365.000000 90.805 165.2023
370.000000 90.775 165.3542
375.000000 90.749 165.4623
382.000000 90.722 165.5616
387.000000 90.707 165.5982
395.000000 90.682 165.6539
400.000000 90.670 165.6522
406.000000 90.656 165.6130
412.000000 90.644 165.5684
418.000000 90.629 165.4818
425.000000 90.613 165.3570
431.000000 90.596 165.2393
437.000000 90.576 165.0983
444.000000 90.555 164.9180
450.000000 90.537 164.7663
455.000000 90.519 164.6416
462.000000 90.493 164.4609
468.000000 90.470 164.3021
475.000000 90.438 164.1234
482.000000 90.402 163.9664
487.000000 90.379 163.8613
494.000000 90.351 163.7068
500.000000 90.326 163.5743
508.000000 90.287 163.4003
515.000000 90.252 163.2574
522.000000 90.221 163.1297
530.000000 90.187 162.9877
538.000000 90.151 162.8327
545.000000 90.121 162.6861
552.000000 90.089 162.5215
560.000000 90.049 162.3486
570.000000 90.001 162.1976
580.000000 89.960 162.0855
590.000000 89.922 162.0007
600.000000 89.880 161.9707
608.000000 89.843 161.9575
615.000000 89.811 161.9331
622.000000 89.778 161.8816
630.000000 89.738 161.7980
640.000000 89.682 161.6937
650.000000 89.624 161.6169
660.000000 89.561 161.5955
670.000000 89.492 161.5855
680.000000 89.421 161.6174
690.000000 89.353 161.7039
700.000000 89.288 161.8110
710.000000 89.223 161.9291
720.000000 89.160 162.0485
730.000000 89.101 162.1686
740.000000 89.041 162.2773
750.000000 88.975 162.4188
762.000000 88.897 162.6156
775.000000 88.820 162.8184
788.000000 88.740 163.0376
800.000000 88.662 163.2418
812.000000 88.575 163.4164
825.000000 88.475 163.6939
838.000000 88.379 164.0818
850.000000 88.299 164.4881
862.000000 88.227 164.9317
875.000000 88.150 165.3836
885.000000 88.093 165.6966
900.000000 88.011 166.2065
912.000000 87.944 166.6628
925.000000 87.874 167.1397
938.000000 87.804 167.5791
950.000000 87.737 167.9626
962.000000 87.674 168.3256
975.000000 87.611 168.6917
988.000000 87.550 169.0737
1000.000000 87.501 169.4274
1015.000000 87.445 169.8491
1030.000000 87.392 170.2628
1044.000000 87.345 170.6540
1060.000000 87.295 171.1191
1075.000000 87.251 171.5520
1090.000000 87.213 171.9492
1106.000000 87.178 172.3538
1120.000000 87.151 172.7036
1138.000000 87.118 173.1223
1150.000000 87.097 173.3788
1172.000000 87.063 173.7864
1180.000000 87.053 173.9164
1206.000000 87.022 174.3036
1220.000000 87.004 174.4650
1241.000000 86.967 174.6234
1250.000000 86.946 174.6832
1265.000000 86.908 174.7838
1280.000000 86.869 174.8634
1315.000000 86.757 175.0093
1320.000000 86.737 175.0240
1340.000000 86.647 175.0504
1360.000000 86.551 175.0988
1380.000000 86.442 175.1914
1400.000000 86.316 175.3484
1430.000000 86.114 175.7697
1450.000000 85.968 176.1451
1475.000000 85.771 176.7643
1500.000000 85.576 177.5747
1525.000000 85.381 178.5909
1550.000000 85.191 179.7897
1575.000000 85.019 -178.8454
1600.000000 84.863 -177.3548
1625.000000 84.721 -175.7379
1650.000000 84.594 -173.9902
1675.000000 84.489 -172.1594
1700.000000 84.408 -170.2736
1725.000000 84.353 -168.2792
1750.000000 84.324 -166.2380
1775.000000 84.317 -164.2293
1800.000000 84.329 -162.2252
1825.000000 84.368 -160.2345
1850.000000 84.427 -158.2213
1875.000000 84.497 -156.2050
1900.000000 84.586 -154.2449
1925.000000 84.700 -152.2985
1950.000000 84.845 -150.3863
1975.000000 85.014 -148.5412
2000.000000 85.198 -146.7273
2030.000000 85.457 -144.7431
2060.000000 85.756 -143.0130
2090.000000 86.068 -141.5130
2120.000000 86.386 -140.2390
2140.000000 86.604 -139.5374
2180.000000 87.054 -138.4959
2200.000000 87.280 -138.0806
2240.000000 87.722 -137.4959
2270.000000 88.045 -137.3535
2300.000000 88.345 -137.3586
2330.000000 88.638 -137.4659
2360.000000 88.926 -137.7340
2400.000000 89.290 -138.3611
2430.000000 89.538 -138.9810
2470.000000 89.837 -139.8870
2500.000000 90.047 -140.6033
2540.000000 90.300 -141.6342
2580.000000 90.536 -142.7286
2620.000000 90.760 -143.8905
2650.000000 90.911 -144.8233
2690.000000 91.091 -146.0907
2720.000000 91.209 -147.1202
2760.000000 91.348 -148.6095
2800.000000 91.468 -150.0539
2850.000000 91.581 -151.8780
2900.000000 91.658 -153.6737
2950.000000 91.705 -155.5142
3000.000000 91.717 -157.3238
3040.000000 91.703 -158.7013
3070.000000 91.675 -159.6892
3110.000000 91.626 -160.9247
3150.000000 91.575 -162.0849
3200.000000 91.489 -163.4946
3250.000000 91.381 -164.8476
3300.000000 91.259 -166.0502
3350.000000 91.118 -167.1066
3400.000000 90.967 -167.9963
3450.000000 90.820 -168.7607
3500.000000 90.670 -169.4464
3550.000000 90.512 -170.0181
3600.000000 90.351 -170.4605
3650.000000 90.192 -170.8021
3700.000000 90.048 -171.0694
3750.000000 89.912 -171.2841
3820.000000 89.729 -171.4366
3870.000000 89.606 -171.5443
3950.000000 89.415 -171.7490
4000.000000 89.299 -171.8817
4060.000000 89.164 -172.0843
4120.000000 89.017 -172.3504
4180.000000 88.856 -172.6574
4250.000000 88.655 -172.9501
4310.000000 88.461 -173.1581
4370.000000 88.259 -173.3026
4440.000000 88.007 -173.3701
4500.000000 87.777 -173.2971
4550.000000 87.577 -173.1672
4620.000000 87.292 -172.8224
4680.000000 87.044 -172.4122
4750.000000 86.757 -171.7512
4820.000000 86.476 -171.0615
4870.000000 86.268 -170.5894
4940.000000 85.947 -169.8910
5000.000000 85.630 -169.1145
5080.000000 85.150 -167.4947
5150.000000 84.690 -165.2190
5220.000000 84.286 -161.9022
5300.000000 83.986 -157.1406
5380.000000 83.888 -152.0664
5450.000000 83.936 -147.8739
5520.000000 84.082 -143.9240
5600.000000 84.357 -139.7163
5700.000000 84.849 -135.0257
