* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 17, 2023 6:32:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NiceHCK EB2S Pro 2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 89.862 -95.2828
20.299999 89.999 -95.8951
20.600000 90.126 -96.5271
20.900000 90.246 -97.1557
21.200001 90.363 -97.7838
21.400000 90.438 -98.2083
21.799999 90.579 -99.0686
22.000000 90.643 -99.4910
22.400000 90.758 -100.2678
22.700001 90.841 -100.7606
23.000000 90.930 -101.1848
23.299999 91.030 -101.5871
23.600000 91.141 -102.0292
24.000000 91.290 -102.7512
24.299999 91.389 -103.3819
24.700001 91.490 -104.2365
25.000000 91.546 -104.7971
25.400000 91.609 -105.3561
25.799999 91.683 -105.7244
26.200001 91.779 -106.0188
26.500000 91.862 -106.2601
26.900000 91.974 -106.6405
27.200001 92.056 -106.9542
27.600000 92.162 -107.3781
28.000000 92.268 -107.8095
28.500000 92.403 -108.4217
29.000000 92.524 -109.1513
29.500000 92.614 -109.8973
30.000000 92.682 -110.4983
30.400000 92.740 -110.8439
30.700001 92.795 -111.0649
31.100000 92.885 -111.3920
31.500000 92.983 -111.8297
32.000000 93.097 -112.5451
32.500000 93.182 -113.3301
33.000000 93.242 -114.0188
33.500000 93.301 -114.5326
34.000000 93.380 -114.9387
34.500000 93.481 -115.3854
35.000000 93.586 -115.9652
35.500000 93.674 -116.6285
36.000000 93.739 -117.2362
36.500000 93.798 -117.6967
37.000000 93.871 -118.0530
37.500000 93.960 -118.4320
38.200001 94.083 -119.1194
38.700001 94.151 -119.6452
39.500000 94.240 -120.3450
40.000000 94.299 -120.7069
40.599998 94.375 -121.1478
41.200001 94.449 -121.6203
41.799999 94.519 -122.1052
42.500000 94.594 -122.6730
43.099998 94.652 -123.1385
43.700001 94.708 -123.5480
44.400002 94.785 -123.9819
45.000000 94.859 -124.3978
45.500000 94.917 -124.7896
46.200001 94.989 -125.3391
46.799999 95.048 -125.7787
47.500000 95.117 -126.3033
48.200001 95.173 -126.8318
48.700001 95.207 -127.1542
49.400002 95.262 -127.5184
50.000000 95.320 -127.8334
50.799999 95.400 -128.3505
51.500000 95.458 -128.8328
52.200001 95.511 -129.2785
53.000000 95.573 -129.7582
53.799999 95.634 -130.2345
54.500000 95.687 -130.6496
55.200001 95.736 -131.0530
56.000000 95.790 -131.4900
57.000000 95.858 -132.0190
58.000000 95.922 -132.5385
59.000000 95.984 -133.0450
60.000000 96.043 -133.5562
60.799999 96.088 -133.9547
61.500000 96.126 -134.2922
62.200001 96.165 -134.6260
63.000000 96.209 -135.0019
64.000000 96.263 -135.4558
65.000000 96.317 -135.8993
66.000000 96.369 -136.3363
67.000000 96.418 -136.7633
68.000000 96.463 -137.1765
69.000000 96.507 -137.5595
70.000000 96.554 -137.9406
71.000000 96.599 -138.3404
72.000000 96.642 -138.7354
73.000000 96.684 -139.1316
74.000000 96.721 -139.5071
75.000000 96.758 -139.8458
76.199997 96.804 -140.2431
77.500000 96.855 -140.6410
78.800003 96.908 -141.0610
80.000000 96.951 -141.4652
81.199997 96.989 -141.8736
82.500000 97.022 -142.2741
83.800003 97.059 -142.6281
85.000000 97.095 -142.9645
86.199997 97.135 -143.2969
87.500000 97.178 -143.7086
88.500000 97.206 -144.0372
90.000000 97.239 -144.4781
91.199997 97.268 -144.7549
92.500000 97.302 -145.0687
93.800003 97.333 -145.3699
95.000000 97.364 -145.6222
96.199997 97.399 -145.8990
97.500000 97.431 -146.2381
98.800003 97.459 -146.5360
100.000000 97.485 -146.7902
101.500000 97.516 -147.0844
103.000000 97.550 -147.3798
104.400002 97.581 -147.7020
106.000000 97.615 -148.0566
107.500000 97.650 -148.4139
109.000000 97.681 -148.7446
110.599998 97.713 -149.0536
112.000000 97.739 -149.3102
113.800003 97.766 -149.6434
115.000000 97.782 -149.8547
117.199997 97.818 -150.2321
118.000000 97.833 -150.3888
120.599998 97.865 -150.9036
122.000000 97.879 -151.0695
124.099998 97.910 -151.3018
125.000000 97.924 -151.4202
126.500000 97.946 -151.6503
128.000000 97.962 -151.8764
131.500000 98.002 -152.3401
132.000000 98.007 -152.4111
134.000000 98.029 -152.6611
136.000000 98.058 -152.9311
138.000000 98.081 -153.2375
140.000000 98.099 -153.5181
143.000000 98.137 -153.8798
145.000000 98.167 -154.1133
147.500000 98.196 -154.3703
150.000000 98.215 -154.5997
152.500000 98.234 -154.8714
155.000000 98.259 -155.1452
157.500000 98.283 -155.3974
160.000000 98.299 -155.6368
162.500000 98.319 -155.8682
165.000000 98.346 -156.1664
167.500000 98.372 -156.4162
170.000000 98.393 -156.6277
172.500000 98.411 -156.8117
175.000000 98.436 -157.0089
177.500000 98.462 -157.2453
180.000000 98.480 -157.4497
182.500000 98.499 -157.6298
185.000000 98.515 -157.8253
187.500000 98.532 -157.9854
190.000000 98.553 -158.1647
192.500000 98.576 -158.3740
195.000000 98.598 -158.5742
197.500000 98.614 -158.7446
200.000000 98.624 -158.8815
203.000000 98.639 -159.0436
206.000000 98.661 -159.2485
209.000000 98.683 -159.4402
212.000000 98.702 -159.6284
214.000000 98.713 -159.7485
218.000000 98.733 -159.9781
220.000000 98.747 -160.1002
224.000000 98.775 -160.3759
227.000000 98.796 -160.5445
230.000000 98.815 -160.6879
233.000000 98.831 -160.8346
236.000000 98.845 -161.0011
240.000000 98.863 -161.2392
243.000000 98.879 -161.4008
247.000000 98.904 -161.5994
250.000000 98.924 -161.7367
254.000000 98.945 -161.9617
258.000000 98.962 -162.2004
262.000000 98.979 -162.4047
265.000000 98.995 -162.5580
269.000000 99.018 -162.7874
272.000000 99.032 -162.9774
276.000000 99.044 -163.2580
280.000000 99.056 -163.5125
285.000000 99.076 -163.7819
290.000000 99.087 -164.1114
295.000000 99.090 -164.4873
300.000000 99.088 -164.8542
304.000000 99.078 -165.1350
307.000000 99.066 -165.3736
311.000000 99.045 -165.7098
315.000000 99.012 -166.0196
320.000000 98.952 -166.3198
325.000000 98.877 -166.4341
330.000000 98.789 -166.3311
335.000000 98.714 -166.0573
340.000000 98.662 -165.6076
345.000000 98.638 -165.0109
350.000000 98.641 -164.4106
355.000000 98.668 -163.8882
360.000000 98.712 -163.4499
365.000000 98.764 -163.0749
370.000000 98.829 -162.7687
375.000000 98.898 -162.5740
382.000000 98.988 -162.4333
387.000000 99.048 -162.4214
395.000000 99.135 -162.4102
400.000000 99.191 -162.3417
406.000000 99.265 -162.3021
412.000000 99.336 -162.3626
418.000000 99.402 -162.5645
425.000000 99.458 -162.8334
431.000000 99.496 -162.9900
437.000000 99.538 -163.0875
444.000000 99.591 -163.1638
450.000000 99.635 -163.2012
455.000000 99.671 -163.2406
462.000000 99.721 -163.3353
468.000000 99.766 -163.4329
475.000000 99.815 -163.5713
482.000000 99.858 -163.7402
487.000000 99.891 -163.8441
494.000000 99.944 -163.9320
500.000000 99.991 -164.0449
508.000000 100.050 -164.2165
515.000000 100.099 -164.3501
522.000000 100.149 -164.5117
530.000000 100.205 -164.7590
538.000000 100.260 -164.9984
545.000000 100.308 -165.2004
552.000000 100.357 -165.4140
560.000000 100.409 -165.6738
570.000000 100.469 -166.0294
580.000000 100.528 -166.4203
590.000000 100.587 -166.8185
600.000000 100.644 -167.2271
608.000000 100.685 -167.5712
615.000000 100.719 -167.8931
622.000000 100.751 -168.2218
630.000000 100.785 -168.5889
640.000000 100.823 -169.0782
650.000000 100.856 -169.5667
660.000000 100.885 -170.0634
670.000000 100.908 -170.5689
680.000000 100.929 -171.0749
690.000000 100.945 -171.5544
700.000000 100.955 -172.0477
710.000000 100.959 -172.5515
720.000000 100.960 -173.0442
730.000000 100.956 -173.5380
740.000000 100.942 -174.0099
750.000000 100.924 -174.4172
762.000000 100.903 -174.8519
775.000000 100.879 -175.3015
788.000000 100.848 -175.7096
800.000000 100.820 -176.0423
812.000000 100.794 -176.3332
825.000000 100.772 -176.6108
838.000000 100.757 -176.8943
850.000000 100.749 -177.2067
862.000000 100.734 -177.6246
875.000000 100.693 -178.1138
885.000000 100.644 -178.4185
900.000000 100.557 -178.7083
912.000000 100.488 -178.7437
925.000000 100.430 -178.6548
938.000000 100.392 -178.5453
950.000000 100.369 -178.4486
962.000000 100.351 -178.3645
975.000000 100.337 -178.2724
988.000000 100.327 -178.1747
1000.000000 100.322 -178.0784
1015.000000 100.323 -177.9714
1030.000000 100.329 -177.8828
1044.000000 100.337 -177.8078
1060.000000 100.351 -177.7342
1075.000000 100.370 -177.6705
1090.000000 100.393 -177.6387
1106.000000 100.423 -177.6303
1120.000000 100.453 -177.6537
1138.000000 100.498 -177.7303
1150.000000 100.528 -177.8096
1172.000000 100.584 -178.0269
1180.000000 100.602 -178.1251
1206.000000 100.655 -178.4198
1220.000000 100.687 -178.5682
1241.000000 100.742 -178.8810
1250.000000 100.764 -179.0503
1265.000000 100.802 -179.3602
1280.000000 100.837 -179.7050
1315.000000 100.903 179.3638
1320.000000 100.911 179.2209
1340.000000 100.937 178.6220
1360.000000 100.954 177.9887
1380.000000 100.960 177.3469
1400.000000 100.961 176.6889
1430.000000 100.947 175.6222
1450.000000 100.922 174.9277
1475.000000 100.876 174.0865
1500.000000 100.820 173.2707
1525.000000 100.750 172.4732
1550.000000 100.667 171.7133
1575.000000 100.570 171.0052
1600.000000 100.461 170.3578
1625.000000 100.341 169.7960
1650.000000 100.214 169.3496
1675.000000 100.086 168.9781
1700.000000 99.950 168.6811
1725.000000 99.812 168.4929
1750.000000 99.676 168.3692
1775.000000 99.537 168.3054
1800.000000 99.394 168.3614
1825.000000 99.254 168.5278
1850.000000 99.121 168.7772
1875.000000 98.993 169.0749
1900.000000 98.872 169.4109
1925.000000 98.759 169.7999
1950.000000 98.653 170.2555
1975.000000 98.553 170.7716
2000.000000 98.462 171.3423
2030.000000 98.364 172.0513
2060.000000 98.272 172.8206
2090.000000 98.192 173.6744
2120.000000 98.130 174.5848
2140.000000 98.099 175.1975
2180.000000 98.053 176.4259
2200.000000 98.039 177.0410
2240.000000 98.023 178.2962
2270.000000 98.032 179.2545
2300.000000 98.054 -179.8222
2330.000000 98.084 -178.9142
2360.000000 98.130 -177.9882
2400.000000 98.221 -176.7977
2430.000000 98.306 -176.0071
2470.000000 98.436 -175.0534
2500.000000 98.546 -174.4357
2540.000000 98.705 -173.7497
2580.000000 98.871 -173.2189
2620.000000 99.044 -172.8135
2650.000000 99.181 -172.6100
2690.000000 99.366 -172.4992
2720.000000 99.509 -172.5304
2760.000000 99.696 -172.7620
2800.000000 99.872 -173.1181
2850.000000 100.071 -173.7599
2900.000000 100.244 -174.6022
2950.000000 100.397 -175.6397
3000.000000 100.511 -176.8563
3040.000000 100.576 -177.8994
3070.000000 100.607 -178.7149
3110.000000 100.621 -179.7979
3150.000000 100.610 179.1697
3200.000000 100.568 177.9707
3250.000000 100.496 176.8639
3300.000000 100.390 175.9102
3350.000000 100.257 175.2404
3400.000000 100.120 174.9225
3450.000000 100.011 174.9268
3500.000000 99.956 175.0254
3550.000000 99.935 174.8777
3600.000000 99.894 174.4927
3650.000000 99.819 174.1314
3700.000000 99.724 173.9348
3750.000000 99.628 173.9346
3820.000000 99.514 174.1811
3870.000000 99.452 174.4464
3950.000000 99.383 175.0078
4000.000000 99.366 175.3351
4060.000000 99.363 175.6246
4120.000000 99.369 175.8637
4180.000000 99.382 176.1079
4250.000000 99.415 176.3730
4310.000000 99.453 176.5497
4370.000000 99.504 176.7522
4440.000000 99.599 176.9521
4500.000000 99.702 177.0244
4550.000000 99.797 177.0238
4620.000000 99.956 176.8811
4680.000000 100.121 176.5618
4750.000000 100.340 175.8403
4820.000000 100.570 174.6573
4870.000000 100.729 173.5263
4940.000000 100.938 171.6118
5000.000000 101.108 169.6163
5080.000000 101.305 166.3076
