* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 17, 2023 6:18:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NiceHCK EB2S Pro 4 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 90.227 -99.2230
20.299999 90.347 -99.8128
20.600000 90.464 -100.4329
20.900000 90.576 -101.0881
21.200001 90.679 -101.7742
21.400000 90.741 -102.2394
21.799999 90.847 -103.1447
22.000000 90.891 -103.5620
22.400000 90.970 -104.2827
22.700001 91.030 -104.7180
23.000000 91.095 -105.0856
23.299999 91.168 -105.4207
23.600000 91.247 -105.7526
24.000000 91.356 -106.2034
24.299999 91.437 -106.5312
24.700001 91.547 -106.9280
25.000000 91.638 -107.2048
25.400000 91.776 -107.6129
25.799999 91.923 -108.1549
26.200001 92.061 -108.8644
26.500000 92.148 -109.4658
26.900000 92.236 -110.2571
27.200001 92.288 -110.7826
27.600000 92.354 -111.3680
28.000000 92.425 -111.8724
28.500000 92.523 -112.5027
29.000000 92.612 -113.1574
29.500000 92.690 -113.7449
30.000000 92.775 -114.2336
30.400000 92.857 -114.6287
30.700001 92.923 -114.9764
31.100000 93.007 -115.5212
31.500000 93.075 -116.1104
32.000000 93.141 -116.7876
32.500000 93.203 -117.3379
33.000000 93.278 -117.8303
33.500000 93.358 -118.3569
34.000000 93.431 -118.9056
34.500000 93.496 -119.3947
35.000000 93.566 -119.7989
35.500000 93.651 -120.1970
36.000000 93.743 -120.6818
36.500000 93.825 -121.2550
37.000000 93.887 -121.8263
37.500000 93.939 -122.3078
38.200001 94.019 -122.8384
38.700001 94.088 -123.2145
39.500000 94.197 -123.9136
40.000000 94.255 -124.3591
40.599998 94.323 -124.8445
41.200001 94.396 -125.3068
41.799999 94.470 -125.7981
42.500000 94.549 -126.3856
43.099998 94.613 -126.8495
43.700001 94.681 -127.2943
44.400002 94.762 -127.8604
45.000000 94.821 -128.3785
45.500000 94.860 -128.7852
46.200001 94.910 -129.2706
46.799999 94.957 -129.6361
47.500000 95.015 -130.0632
48.200001 95.072 -130.5067
48.700001 95.111 -130.8248
49.400002 95.164 -131.2652
50.000000 95.208 -131.6404
50.799999 95.267 -132.1427
51.500000 95.316 -132.5780
52.200001 95.365 -132.9971
53.000000 95.422 -133.4619
53.799999 95.480 -133.9305
54.500000 95.528 -134.3385
55.200001 95.574 -134.7322
56.000000 95.626 -135.1705
57.000000 95.687 -135.7095
58.000000 95.744 -136.2124
59.000000 95.804 -136.7180
60.000000 95.857 -137.2619
60.799999 95.892 -137.6580
61.500000 95.925 -137.9695
62.200001 95.961 -138.2869
63.000000 96.001 -138.6623
64.000000 96.049 -139.1171
65.000000 96.096 -139.5683
66.000000 96.140 -140.0028
67.000000 96.185 -140.4199
68.000000 96.229 -140.8255
69.000000 96.275 -141.2321
70.000000 96.317 -141.6663
71.000000 96.352 -142.0727
72.000000 96.388 -142.4449
73.000000 96.424 -142.8232
74.000000 96.458 -143.1942
75.000000 96.492 -143.5524
76.199997 96.535 -143.9779
77.500000 96.580 -144.4548
78.800003 96.618 -144.9108
80.000000 96.655 -145.2936
81.199997 96.689 -145.6817
82.500000 96.723 -146.0761
83.800003 96.759 -146.4656
85.000000 96.789 -146.8432
86.199997 96.817 -147.2058
87.500000 96.849 -147.5799
88.500000 96.876 -147.8607
90.000000 96.914 -148.2977
91.199997 96.937 -148.6198
92.500000 96.962 -148.9102
93.800003 96.989 -149.2207
95.000000 97.011 -149.5360
96.199997 97.029 -149.8375
97.500000 97.052 -150.1396
98.800003 97.079 -150.4621
100.000000 97.100 -150.7454
101.500000 97.128 -151.0606
103.000000 97.155 -151.3750
104.400002 97.179 -151.6692
106.000000 97.205 -152.0353
107.500000 97.229 -152.3697
109.000000 97.251 -152.6797
110.599998 97.275 -152.9677
112.000000 97.294 -153.2184
113.800003 97.317 -153.5529
115.000000 97.330 -153.7891
117.199997 97.357 -154.2129
118.000000 97.368 -154.3604
120.599998 97.400 -154.8073
122.000000 97.414 -155.0088
124.099998 97.431 -155.3284
125.000000 97.437 -155.4755
126.500000 97.446 -155.7081
128.000000 97.462 -155.9276
131.500000 97.506 -156.4929
132.000000 97.511 -156.5707
134.000000 97.524 -156.8523
136.000000 97.538 -157.1100
138.000000 97.554 -157.3779
140.000000 97.572 -157.6407
143.000000 97.594 -157.9922
145.000000 97.606 -158.2197
147.500000 97.618 -158.5306
150.000000 97.634 -158.8138
152.500000 97.655 -159.0949
155.000000 97.672 -159.3551
157.500000 97.686 -159.6113
160.000000 97.699 -159.8729
162.500000 97.713 -160.1186
165.000000 97.726 -160.3563
167.500000 97.738 -160.6013
170.000000 97.748 -160.8378
172.500000 97.759 -161.0511
175.000000 97.769 -161.2569
177.500000 97.778 -161.4648
180.000000 97.786 -161.6684
182.500000 97.796 -161.8754
185.000000 97.805 -162.0723
187.500000 97.816 -162.2425
190.000000 97.827 -162.4116
192.500000 97.833 -162.5839
195.000000 97.837 -162.7467
197.500000 97.845 -162.9087
200.000000 97.854 -163.0711
203.000000 97.865 -163.2586
206.000000 97.870 -163.4462
209.000000 97.875 -163.6171
212.000000 97.884 -163.7990
214.000000 97.891 -163.9179
218.000000 97.904 -164.1340
220.000000 97.910 -164.2410
224.000000 97.920 -164.4558
227.000000 97.927 -164.6089
230.000000 97.934 -164.7570
233.000000 97.939 -164.9096
236.000000 97.944 -165.0712
240.000000 97.953 -165.2896
243.000000 97.958 -165.4366
247.000000 97.964 -165.6420
250.000000 97.968 -165.8137
254.000000 97.969 -166.0074
258.000000 97.967 -166.2070
262.000000 97.967 -166.4177
265.000000 97.969 -166.5649
269.000000 97.970 -166.7551
272.000000 97.968 -166.9091
276.000000 97.960 -167.1367
280.000000 97.945 -167.3795
285.000000 97.922 -167.6412
290.000000 97.890 -167.8620
295.000000 97.851 -168.1062
300.000000 97.802 -168.3070
304.000000 97.752 -168.4425
307.000000 97.708 -168.5144
311.000000 97.639 -168.5312
315.000000 97.563 -168.3994
320.000000 97.465 -168.0117
325.000000 97.382 -167.3643
330.000000 97.336 -166.5118
335.000000 97.336 -165.5909
340.000000 97.375 -164.7145
345.000000 97.445 -163.9707
350.000000 97.536 -163.3810
355.000000 97.637 -162.9529
360.000000 97.740 -162.6654
365.000000 97.839 -162.5074
370.000000 97.933 -162.4773
375.000000 98.019 -162.5289
382.000000 98.121 -162.6618
387.000000 98.184 -162.7854
395.000000 98.274 -162.9851
400.000000 98.323 -163.0987
406.000000 98.378 -163.2337
412.000000 98.430 -163.3680
418.000000 98.480 -163.5136
425.000000 98.537 -163.6629
431.000000 98.582 -163.7791
437.000000 98.625 -163.9042
444.000000 98.673 -164.0634
450.000000 98.712 -164.1931
455.000000 98.745 -164.3000
462.000000 98.792 -164.4532
468.000000 98.832 -164.5873
475.000000 98.878 -164.7448
482.000000 98.923 -164.9065
487.000000 98.954 -165.0234
494.000000 98.996 -165.1794
500.000000 99.031 -165.3094
508.000000 99.079 -165.5027
515.000000 99.119 -165.6906
522.000000 99.158 -165.8565
530.000000 99.205 -166.0360
538.000000 99.255 -166.2577
545.000000 99.298 -166.4824
552.000000 99.337 -166.7197
560.000000 99.379 -166.9823
570.000000 99.429 -167.2663
580.000000 99.479 -167.5241
590.000000 99.525 -167.8417
600.000000 99.574 -168.2442
608.000000 99.617 -168.5788
615.000000 99.652 -168.8613
622.000000 99.683 -169.1612
630.000000 99.710 -169.5185
640.000000 99.733 -169.9474
650.000000 99.751 -170.3620
660.000000 99.768 -170.7506
670.000000 99.782 -171.1310
680.000000 99.796 -171.5036
690.000000 99.809 -171.8638
700.000000 99.822 -172.2224
710.000000 99.832 -172.5926
720.000000 99.836 -172.9745
730.000000 99.839 -173.3293
740.000000 99.845 -173.6961
750.000000 99.846 -174.1322
762.000000 99.828 -174.6778
775.000000 99.789 -175.1679
788.000000 99.745 -175.5084
800.000000 99.710 -175.7334
812.000000 99.679 -175.9207
825.000000 99.649 -176.0967
838.000000 99.622 -176.2531
850.000000 99.599 -176.3682
862.000000 99.579 -176.4570
875.000000 99.564 -176.5616
885.000000 99.552 -176.6584
900.000000 99.529 -176.8098
912.000000 99.507 -176.8829
925.000000 99.484 -176.9188
938.000000 99.463 -176.9111
950.000000 99.449 -176.8583
962.000000 99.442 -176.8030
975.000000 99.439 -176.7780
988.000000 99.438 -176.7736
1000.000000 99.442 -176.7650
1015.000000 99.450 -176.7121
1030.000000 99.460 -176.6323
1044.000000 99.475 -176.5941
1060.000000 99.499 -176.5594
1075.000000 99.525 -176.5460
1090.000000 99.552 -176.5630
1106.000000 99.582 -176.5856
1120.000000 99.610 -176.6038
1138.000000 99.653 -176.6428
1150.000000 99.686 -176.7007
1172.000000 99.748 -176.8730
1180.000000 99.772 -176.9590
1206.000000 99.851 -177.2845
1220.000000 99.894 -177.4948
1241.000000 99.957 -177.8799
1250.000000 99.982 -178.0632
1265.000000 100.023 -178.3940
1280.000000 100.061 -178.7638
1315.000000 100.137 -179.7483
1320.000000 100.146 -179.9004
1340.000000 100.177 179.4780
1360.000000 100.202 178.8245
1380.000000 100.218 178.1327
1400.000000 100.226 177.4232
1430.000000 100.219 176.2894
1450.000000 100.199 175.5280
1475.000000 100.157 174.6093
1500.000000 100.104 173.7191
1525.000000 100.037 172.8448
1550.000000 99.955 172.0083
1575.000000 99.858 171.2614
1600.000000 99.756 170.5760
1625.000000 99.643 169.9247
1650.000000 99.520 169.3502
1675.000000 99.387 168.8431
1700.000000 99.242 168.4336
1725.000000 99.091 168.1476
1750.000000 98.940 167.9281
1775.000000 98.789 167.7815
1800.000000 98.640 167.7531
1825.000000 98.495 167.8077
1850.000000 98.349 167.9358
1875.000000 98.206 168.1665
1900.000000 98.072 168.4960
1925.000000 97.947 168.8871
1950.000000 97.831 169.3107
1975.000000 97.719 169.7661
2000.000000 97.611 170.2760
2030.000000 97.491 170.9741
2060.000000 97.385 171.7469
2090.000000 97.295 172.5660
2120.000000 97.219 173.3894
2140.000000 97.173 173.9502
2180.000000 97.095 175.0801
2200.000000 97.058 175.6550
2240.000000 97.001 176.9192
2270.000000 96.979 177.8742
2300.000000 96.969 178.8147
2330.000000 96.967 179.7316
2360.000000 96.971 -179.3142
2400.000000 97.004 -177.9810
2430.000000 97.049 -177.0296
2470.000000 97.131 -175.8215
2500.000000 97.209 -174.9769
2540.000000 97.330 -173.9467
2580.000000 97.473 -173.0707
2620.000000 97.623 -172.3727
2650.000000 97.742 -171.9408
2690.000000 97.900 -171.5177
2720.000000 98.019 -171.2721
2760.000000 98.179 -171.0724
2800.000000 98.333 -171.0378
2850.000000 98.505 -171.1080
2900.000000 98.675 -171.2461
2950.000000 98.838 -171.5709
3000.000000 98.984 -172.0218
3040.000000 99.090 -172.4576
3070.000000 99.162 -172.8269
3110.000000 99.246 -173.3743
3150.000000 99.317 -173.9618
3200.000000 99.379 -174.7318
3250.000000 99.418 -175.4131
3300.000000 99.456 -176.0020
3350.000000 99.503 -176.6264
3400.000000 99.541 -177.3680
3450.000000 99.550 -178.1232
3500.000000 99.532 -178.8566
3550.000000 99.491 -179.4988
3600.000000 99.439 179.9832
3650.000000 99.377 179.5822
3700.000000 99.313 179.3175
3750.000000 99.250 179.1392
3820.000000 99.175 179.0142
3870.000000 99.132 179.0203
3950.000000 99.087 179.1337
4000.000000 99.071 179.2343
4060.000000 99.065 179.3485
4120.000000 99.067 179.4666
4180.000000 99.078 179.5887
4250.000000 99.105 179.7650
4310.000000 99.145 179.9158
4370.000000 99.200 -179.9304
4440.000000 99.296 -179.7657
4500.000000 99.414 -179.7514
4550.000000 99.528 -179.9242
4620.000000 99.696 179.5919
4680.000000 99.836 179.0089
4750.000000 99.997 178.2558
4820.000000 100.179 177.3615
4870.000000 100.331 176.5517
4940.000000 100.568 175.0123
5000.000000 100.776 173.2040
