* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -32.0 dBFS with no timing reference
* Dated: Dec 11, 2024 3:14:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NiceHCK Yuandao L6
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 75.175 -62.3144
20.600000 75.311 -62.8878
20.900000 75.464 -63.4784
21.200001 75.618 -64.0058
21.400000 75.721 -64.3089
21.799999 75.926 -64.7897
22.000000 76.028 -64.9715
22.400000 76.226 -65.2492
22.700001 76.371 -65.4261
23.000000 76.513 -65.6285
23.299999 76.652 -65.9016
23.600000 76.785 -66.2720
24.000000 76.950 -66.9017
24.299999 77.064 -67.4189
24.700001 77.212 -68.0548
25.000000 77.331 -68.4392
25.400000 77.514 -68.8379
25.799999 77.727 -69.2107
26.200001 77.947 -69.6793
26.500000 78.099 -70.1146
26.900000 78.263 -70.7449
27.200001 78.355 -71.1842
27.600000 78.451 -71.6429
28.000000 78.540 -71.9445
28.500000 78.670 -72.2065
29.000000 78.830 -72.4982
29.500000 79.006 -72.8968
30.000000 79.186 -73.4006
30.400000 79.326 -73.8598
30.700001 79.427 -74.2139
31.100000 79.555 -74.6504
31.500000 79.685 -74.9938
32.000000 79.871 -75.2897
32.500000 80.090 -75.5744
33.000000 80.314 -76.0061
33.500000 80.498 -76.5587
34.000000 80.629 -77.0491
34.500000 80.736 -77.3669
35.000000 80.861 -77.6131
35.500000 81.013 -77.9606
36.000000 81.174 -78.4310
36.500000 81.330 -78.8895
37.000000 81.482 -79.2379
37.500000 81.632 -79.5281
38.200001 81.825 -80.0420
38.700001 81.947 -80.5202
39.500000 82.134 -81.3622
40.000000 82.252 -81.8618
40.599998 82.377 -82.3018
41.200001 82.490 -82.4687
41.799999 82.630 -82.5342
42.500000 82.853 -82.9860
43.099998 83.066 -83.8089
43.700001 83.261 -84.6961
44.400002 83.451 -85.3434
45.000000 83.587 -85.5451
45.500000 83.689 -85.6722
46.200001 83.828 -86.1433
46.799999 83.947 -86.8627
47.500000 84.094 -87.7072
48.200001 84.260 -88.2408
48.700001 84.378 -88.5108
49.400002 84.509 -88.9472
50.000000 84.591 -89.3905
50.799999 84.734 -89.9931
51.500000 84.919 -90.5730
52.200001 85.096 -91.1416
53.000000 85.237 -91.5793
53.799999 85.359 -91.8973
54.500000 85.501 -92.3299
55.200001 85.661 -92.9443
56.000000 85.809 -93.5859
57.000000 85.947 -94.0559
58.000000 86.137 -95.0176
59.000000 86.315 -96.4899
60.000000 86.446 -97.0913
60.799999 86.553 -97.1440
61.500000 86.648 -97.4488
62.200001 86.747 -98.0950
63.000000 86.883 -98.9622
64.000000 87.086 -99.7159
65.000000 87.261 -100.1496
66.000000 87.361 -100.5423
67.000000 87.464 -101.0196
68.000000 87.618 -101.6667
69.000000 87.784 -102.4315
70.000000 87.903 -103.3005
71.000000 87.976 -104.1365
72.000000 88.065 -104.8192
73.000000 88.185 -105.4786
74.000000 88.298 -106.2080
75.000000 88.393 -106.9393
76.199997 88.511 -107.8253
77.500000 88.637 -108.7472
78.800003 88.771 -109.6480
80.000000 88.892 -110.4741
81.199997 89.004 -111.1867
82.500000 89.103 -112.0164
83.800003 89.198 -112.9219
85.000000 89.287 -113.6990
86.199997 89.371 -114.3155
87.500000 89.470 -115.0777
88.500000 89.540 -115.7469
90.000000 89.626 -116.7359
91.199997 89.694 -117.5601
92.500000 89.777 -118.3882
93.800003 89.844 -119.0445
95.000000 89.895 -119.7077
96.199997 89.958 -120.4341
97.500000 90.050 -121.1322
98.800003 90.117 -121.8505
100.000000 90.148 -122.4575
101.500000 90.218 -123.1132
103.000000 90.302 -123.7965
104.400002 90.355 -124.4755
106.000000 90.410 -125.2226
107.500000 90.461 -125.9065
109.000000 90.510 -126.5951
110.599998 90.568 -127.3021
112.000000 90.615 -127.9282
113.800003 90.669 -128.7118
115.000000 90.704 -129.1920
117.199997 90.771 -130.0777
118.000000 90.801 -130.3956
120.599998 90.883 -131.3898
122.000000 90.892 -131.8961
124.099998 90.916 -132.5709
125.000000 90.933 -132.8673
126.500000 90.964 -133.4176
128.000000 90.995 -133.9315
131.500000 91.077 -135.0478
132.000000 91.085 -135.2089
134.000000 91.116 -135.8296
136.000000 91.147 -136.3879
138.000000 91.165 -136.9914
140.000000 91.188 -137.5936
143.000000 91.245 -138.3823
145.000000 91.271 -138.8550
147.500000 91.290 -139.6013
150.000000 91.324 -140.2171
152.500000 91.329 -140.5388
155.000000 91.348 -141.0672
157.500000 91.375 -141.8528
160.000000 91.405 -142.6187
162.500000 91.434 -142.9418
165.000000 91.470 -143.3257
167.500000 91.499 -143.6960
170.000000 91.525 -144.1930
172.500000 91.552 -144.6683
175.000000 91.571 -145.0701
177.500000 91.593 -145.4846
180.000000 91.618 -145.9924
182.500000 91.639 -146.5223
185.000000 91.650 -146.7506
187.500000 91.683 -146.9941
190.000000 91.693 -147.4602
192.500000 91.672 -147.8647
195.000000 91.657 -148.2269
197.500000 91.651 -148.5433
200.000000 91.668 -148.8410
203.000000 91.701 -149.3022
206.000000 91.741 -149.7236
209.000000 91.776 -150.0188
212.000000 91.803 -150.1365
214.000000 91.816 -150.2269
218.000000 91.837 -150.8429
220.000000 91.837 -151.1109
224.000000 91.826 -151.5538
227.000000 91.835 -151.9277
230.000000 91.849 -152.2410
233.000000 91.855 -152.4430
236.000000 91.839 -152.4279
240.000000 91.827 -152.5717
243.000000 91.883 -153.0866
247.000000 91.938 -153.6379
250.000000 91.944 -153.9254
254.000000 91.947 -154.2048
258.000000 91.955 -154.4827
262.000000 91.973 -154.7701
265.000000 91.982 -154.9305
269.000000 91.989 -155.0437
272.000000 91.996 -155.1694
276.000000 92.000 -155.3146
280.000000 92.017 -155.3766
285.000000 92.068 -155.1629
290.000000 92.193 -155.0043
295.000000 92.360 -155.6685
300.000000 92.451 -156.8558
304.000000 92.440 -157.7712
307.000000 92.417 -158.4333
311.000000 92.393 -159.0226
315.000000 92.370 -159.3963
320.000000 92.340 -159.7166
325.000000 92.307 -160.1298
330.000000 92.272 -160.6111
335.000000 92.257 -161.0215
340.000000 92.241 -161.4159
345.000000 92.212 -161.7591
350.000000 92.184 -161.9825
355.000000 92.150 -162.2440
360.000000 92.090 -162.5328
365.000000 92.047 -162.6991
370.000000 92.007 -162.8251
375.000000 91.959 -162.9274
382.000000 91.890 -162.9812
387.000000 91.843 -162.8746
395.000000 91.773 -162.5937
400.000000 91.742 -162.4704
406.000000 91.711 -162.2374
412.000000 91.683 -161.9244
418.000000 91.653 -161.5916
425.000000 91.620 -161.2549
431.000000 91.600 -160.7287
437.000000 91.590 -160.1613
444.000000 91.595 -159.5071
450.000000 91.617 -158.7819
455.000000 91.654 -158.1798
462.000000 91.742 -157.3499
468.000000 91.843 -156.7315
475.000000 91.978 -156.2791
482.000000 92.119 -156.0150
487.000000 92.231 -155.8740
494.000000 92.402 -155.7513
500.000000 92.544 -155.9375
508.000000 92.699 -156.2324
515.000000 92.813 -156.5442
522.000000 92.916 -156.9449
530.000000 93.019 -157.4423
538.000000 93.111 -157.9305
545.000000 93.183 -158.3553
552.000000 93.254 -158.7948
560.000000 93.320 -159.2723
570.000000 93.388 -159.8300
580.000000 93.460 -160.3529
590.000000 93.524 -160.9218
600.000000 93.579 -161.5098
608.000000 93.619 -161.9404
615.000000 93.655 -162.2898
622.000000 93.690 -162.6204
630.000000 93.727 -163.0382
640.000000 93.774 -163.5560
650.000000 93.818 -164.0906
660.000000 93.851 -164.6207
670.000000 93.877 -165.1741
680.000000 93.899 -165.7066
690.000000 93.916 -166.2129
700.000000 93.931 -166.7177
710.000000 93.945 -167.2070
720.000000 93.950 -167.7044
730.000000 93.945 -168.1667
740.000000 93.941 -168.5914
750.000000 93.937 -169.0083
762.000000 93.928 -169.4785
775.000000 93.919 -169.9044
788.000000 93.905 -170.2906
800.000000 93.889 -170.6438
812.000000 93.876 -170.9324
825.000000 93.869 -171.1556
838.000000 93.866 -171.4010
850.000000 93.873 -171.6153
862.000000 93.893 -171.8627
875.000000 93.916 -172.3095
885.000000 93.916 -172.8176
900.000000 93.869 -173.4816
912.000000 93.814 -173.7969
925.000000 93.752 -173.9794
938.000000 93.703 -173.9992
950.000000 93.669 -173.9227
962.000000 93.645 -173.8385
975.000000 93.634 -173.7402
988.000000 93.632 -173.6734
1000.000000 93.630 -173.6367
1015.000000 93.631 -173.6234
1030.000000 93.643 -173.5829
1044.000000 93.658 -173.4595
1060.000000 93.683 -173.3367
1075.000000 93.715 -173.3433
1090.000000 93.749 -173.3422
1106.000000 93.788 -173.3193
1120.000000 93.822 -173.3616
1138.000000 93.877 -173.4489
1150.000000 93.921 -173.4632
1172.000000 94.001 -173.5550
1180.000000 94.028 -173.6037
1206.000000 94.108 -173.8583
1220.000000 94.157 -174.0659
1241.000000 94.251 -174.3675
1250.000000 94.294 -174.5070
1265.000000 94.367 -174.8452
1280.000000 94.434 -175.2785
1315.000000 94.574 -176.2487
1320.000000 94.592 -176.3944
1340.000000 94.659 -176.9842
1360.000000 94.721 -177.6688
1380.000000 94.783 -178.4337
1400.000000 94.841 -179.2214
1430.000000 94.908 179.4954
1450.000000 94.931 178.6168
1475.000000 94.954 177.4246
1500.000000 94.958 176.1828
1525.000000 94.945 174.9362
1550.000000 94.916 173.7154
1575.000000 94.864 172.5300
1600.000000 94.792 171.3427
1625.000000 94.707 170.1805
1650.000000 94.601 169.0826
1675.000000 94.482 168.0313
1700.000000 94.356 167.1148
1725.000000 94.217 166.3192
1750.000000 94.062 165.6005
1775.000000 93.906 164.9983
1800.000000 93.744 164.5109
1825.000000 93.575 164.1367
1850.000000 93.407 163.8456
1875.000000 93.244 163.6543
1900.000000 93.076 163.5697
1925.000000 92.914 163.6070
1950.000000 92.761 163.7416
1975.000000 92.615 163.9604
2000.000000 92.476 164.2498
2030.000000 92.319 164.7239
2060.000000 92.182 165.3226
2090.000000 92.059 165.9080
2120.000000 91.949 166.4962
2140.000000 91.885 166.9423
2180.000000 91.783 167.9238
2200.000000 91.741 168.4145
2240.000000 91.675 169.4448
2270.000000 91.656 170.2162
2300.000000 91.660 170.9193
2330.000000 91.676 171.4809
2360.000000 91.701 171.9502
2400.000000 91.732 172.2468
2430.000000 91.696 172.2128
2470.000000 91.541 173.1240
2500.000000 91.560 174.8580
2540.000000 91.784 176.0610
2580.000000 91.961 176.1744
2620.000000 92.086 176.2691
2650.000000 92.187 176.3230
2690.000000 92.329 176.1706
2720.000000 92.429 175.8878
2760.000000 92.541 175.3448
2800.000000 92.631 174.6857
2850.000000 92.714 173.7349
2900.000000 92.760 172.7379
2950.000000 92.775 171.7172
3000.000000 92.760 170.6898
3040.000000 92.729 169.8943
3070.000000 92.698 169.3254
3110.000000 92.646 168.6046
3150.000000 92.580 167.9362
3200.000000 92.483 167.1518
3250.000000 92.368 166.4605
3300.000000 92.240 165.9158
3350.000000 92.105 165.4927
3400.000000 91.969 165.1917
3450.000000 91.832 164.9992
3500.000000 91.697 164.8978
3550.000000 91.563 164.8791
3600.000000 91.431 164.9511
3650.000000 91.302 165.1114
3700.000000 91.177 165.3581
3750.000000 91.059 165.6920
3820.000000 90.910 166.3051
3870.000000 90.817 166.8078
3950.000000 90.689 167.6817
4000.000000 90.620 168.3098
4060.000000 90.555 169.1542
4120.000000 90.521 170.0788
4180.000000 90.519 170.9197
4250.000000 90.534 171.7439
4310.000000 90.551 172.3961
4370.000000 90.574 173.0585
4440.000000 90.616 173.8492
4500.000000 90.670 174.5725
4550.000000 90.736 175.1482
4620.000000 90.851 175.8683
4680.000000 90.972 176.3918
4750.000000 91.137 176.8882
4820.000000 91.329 177.2143
4870.000000 91.479 177.3246
4940.000000 91.708 177.2716
5000.000000 91.916 177.0177
5080.000000 92.206 176.3937
5150.000000 92.476 175.5545
5220.000000 92.765 174.3415
5300.000000 93.094 172.3203
