* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -32.0 dBFS with no timing reference
* Dated: Dec 11, 2024 3:04:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NiceHCK Yuandao R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 74.828 -64.9912
20.600000 74.943 -65.2182
20.900000 75.082 -65.3646
21.200001 75.240 -65.4786
21.400000 75.354 -65.5880
21.799999 75.591 -65.9992
22.000000 75.704 -66.3221
22.400000 75.895 -67.1494
22.700001 75.998 -67.8099
23.000000 76.070 -68.3715
23.299999 76.128 -68.7447
23.600000 76.196 -68.9125
24.000000 76.338 -68.9525
24.299999 76.489 -69.0183
24.700001 76.728 -69.3679
25.000000 76.904 -69.8501
25.400000 77.098 -70.6275
25.799999 77.234 -71.2720
26.200001 77.339 -71.5667
26.500000 77.423 -71.5809
26.900000 77.567 -71.5582
27.200001 77.693 -71.7043
27.600000 77.851 -72.2697
28.000000 77.960 -73.1616
28.500000 78.021 -74.2452
29.000000 78.076 -74.7752
29.500000 78.233 -74.7946
30.000000 78.509 -74.8763
30.400000 78.753 -75.2548
30.700001 78.910 -75.6824
31.100000 79.067 -76.2598
31.500000 79.176 -76.6550
32.000000 79.300 -76.8363
32.500000 79.462 -76.9505
33.000000 79.662 -77.3478
33.500000 79.860 -78.0704
34.000000 80.028 -78.8685
34.500000 80.172 -79.4804
35.000000 80.307 -79.8373
35.500000 80.439 -80.0460
36.000000 80.566 -80.2445
36.500000 80.687 -80.5092
37.000000 80.814 -80.8615
37.500000 80.956 -81.2924
38.200001 81.176 -81.8960
38.700001 81.334 -82.1626
39.500000 81.582 -82.2907
40.000000 81.718 -82.4843
40.599998 81.814 -83.0716
41.200001 81.832 -83.7869
41.799999 81.867 -84.2322
42.500000 82.079 -84.5805
43.099998 82.362 -85.1657
43.700001 82.602 -85.8386
44.400002 82.770 -86.0014
45.000000 82.890 -85.5836
45.500000 83.006 -85.2869
46.200001 83.158 -85.4704
46.799999 83.254 -86.0613
47.500000 83.360 -86.8566
48.200001 83.499 -87.6740
48.700001 83.608 -88.2986
49.400002 83.745 -89.1336
50.000000 83.846 -89.7044
50.799999 83.978 -90.3384
51.500000 84.089 -90.9520
52.200001 84.192 -91.5974
53.000000 84.318 -92.2396
53.799999 84.456 -92.7674
54.500000 84.573 -93.0882
55.200001 84.701 -93.2745
56.000000 84.883 -93.5574
57.000000 85.127 -94.2479
58.000000 85.313 -94.9784
59.000000 85.432 -95.3642
60.000000 85.556 -95.7135
60.799999 85.668 -96.2812
61.500000 85.761 -96.7809
62.200001 85.865 -97.0838
63.000000 86.010 -97.3597
64.000000 86.177 -98.0738
65.000000 86.288 -99.0636
66.000000 86.394 -99.8943
67.000000 86.533 -100.5110
68.000000 86.695 -101.1267
69.000000 86.856 -101.8705
70.000000 86.997 -102.5099
71.000000 87.126 -102.9293
72.000000 87.233 -103.4171
73.000000 87.314 -104.0860
74.000000 87.397 -104.7515
75.000000 87.502 -105.3071
76.199997 87.638 -105.9217
77.500000 87.776 -106.6382
78.800003 87.902 -107.4448
80.000000 88.017 -108.2507
81.199997 88.145 -109.0287
82.500000 88.272 -109.7299
83.800003 88.357 -110.3950
85.000000 88.438 -111.1899
86.199997 88.547 -111.9692
87.500000 88.672 -112.6472
88.500000 88.760 -113.0965
90.000000 88.895 -113.8316
91.199997 88.969 -114.4762
92.500000 89.029 -115.1258
93.800003 89.111 -115.8045
95.000000 89.199 -116.4298
96.199997 89.279 -117.0142
97.500000 89.357 -117.6168
98.800003 89.427 -118.2739
100.000000 89.486 -118.8917
101.500000 89.558 -119.5716
103.000000 89.628 -120.2314
104.400002 89.696 -120.9031
106.000000 89.768 -121.6607
107.500000 89.838 -122.3335
109.000000 89.909 -122.9613
110.599998 89.977 -123.5788
112.000000 90.030 -124.1288
113.800003 90.095 -124.8613
115.000000 90.138 -125.3455
117.199997 90.213 -126.1805
118.000000 90.237 -126.4704
120.599998 90.314 -127.4117
122.000000 90.361 -127.9658
124.099998 90.431 -128.7841
125.000000 90.459 -129.1124
126.500000 90.503 -129.6421
128.000000 90.543 -130.1688
131.500000 90.626 -131.2524
132.000000 90.638 -131.3987
134.000000 90.682 -131.9765
136.000000 90.727 -132.5776
138.000000 90.765 -133.1952
140.000000 90.802 -133.8043
143.000000 90.873 -134.6941
145.000000 90.916 -135.1798
147.500000 90.962 -135.7845
150.000000 91.014 -136.4167
152.500000 91.053 -136.9708
155.000000 91.087 -137.5560
157.500000 91.118 -138.1369
160.000000 91.141 -138.7161
162.500000 91.173 -139.2237
165.000000 91.223 -139.6082
167.500000 91.257 -140.1091
170.000000 91.286 -140.6852
172.500000 91.320 -141.1718
175.000000 91.354 -141.6782
177.500000 91.382 -142.1564
180.000000 91.404 -142.5775
182.500000 91.420 -142.9870
185.000000 91.439 -143.3409
187.500000 91.467 -143.6808
190.000000 91.500 -144.0591
192.500000 91.528 -144.4082
195.000000 91.552 -144.6859
197.500000 91.587 -145.0321
200.000000 91.622 -145.5607
203.000000 91.629 -146.0879
206.000000 91.628 -146.5336
209.000000 91.643 -146.9221
212.000000 91.663 -147.2064
214.000000 91.689 -147.4466
218.000000 91.766 -147.9342
220.000000 91.787 -148.2127
224.000000 91.802 -148.7984
227.000000 91.827 -149.0531
230.000000 91.852 -149.3856
233.000000 91.878 -149.8063
236.000000 91.904 -150.1956
240.000000 91.932 -150.6115
243.000000 91.949 -150.9552
247.000000 91.988 -151.5051
250.000000 92.025 -151.9031
254.000000 92.069 -152.3133
258.000000 92.115 -152.7944
262.000000 92.156 -153.2128
265.000000 92.187 -153.6310
269.000000 92.232 -154.3890
272.000000 92.266 -154.9803
276.000000 92.323 -155.8259
280.000000 92.384 -156.7705
285.000000 92.448 -158.4008
290.000000 92.480 -160.6519
295.000000 92.377 -163.9353
300.000000 91.898 -167.6601
304.000000 91.170 -168.9811
307.000000 90.577 -167.6560
311.000000 90.070 -163.2466
315.000000 90.039 -158.7136
320.000000 90.339 -155.4563
325.000000 90.672 -154.1768
330.000000 90.926 -153.9127
335.000000 91.087 -154.1055
340.000000 91.184 -154.4033
345.000000 91.248 -154.7077
350.000000 91.295 -154.9591
355.000000 91.332 -155.1820
360.000000 91.354 -155.3207
365.000000 91.366 -155.5532
370.000000 91.366 -155.7436
375.000000 91.360 -155.8927
382.000000 91.336 -155.9807
387.000000 91.302 -155.8140
395.000000 91.238 -155.5255
400.000000 91.220 -155.1805
406.000000 91.185 -154.7772
412.000000 91.151 -154.3582
418.000000 91.140 -153.6229
425.000000 91.137 -152.5399
431.000000 91.172 -151.5364
437.000000 91.233 -150.5741
444.000000 91.327 -149.4260
450.000000 91.438 -148.4205
455.000000 91.567 -147.6533
462.000000 91.784 -146.7175
468.000000 91.993 -146.1102
475.000000 92.263 -145.7153
482.000000 92.539 -145.6533
487.000000 92.726 -145.8696
494.000000 92.977 -146.3761
500.000000 93.169 -146.9622
508.000000 93.379 -147.9537
515.000000 93.533 -148.8556
522.000000 93.658 -149.7320
530.000000 93.764 -150.6861
538.000000 93.857 -151.6223
545.000000 93.933 -152.3995
552.000000 93.999 -153.1466
560.000000 94.059 -153.9653
570.000000 94.120 -154.8934
580.000000 94.171 -155.6653
590.000000 94.218 -156.4255
600.000000 94.261 -157.1456
608.000000 94.289 -157.6740
615.000000 94.318 -158.1175
622.000000 94.348 -158.5682
630.000000 94.377 -159.0957
640.000000 94.413 -159.6965
650.000000 94.444 -160.2857
660.000000 94.474 -160.8806
670.000000 94.502 -161.5043
680.000000 94.524 -162.0686
690.000000 94.546 -162.6131
700.000000 94.568 -163.1525
710.000000 94.583 -163.6782
720.000000 94.594 -164.1652
730.000000 94.603 -164.6376
740.000000 94.608 -165.1279
750.000000 94.618 -165.6071
762.000000 94.633 -166.1535
775.000000 94.642 -166.7444
788.000000 94.641 -167.3848
800.000000 94.632 -167.9611
812.000000 94.613 -168.5126
825.000000 94.587 -169.0742
838.000000 94.554 -169.5243
850.000000 94.518 -169.8555
862.000000 94.491 -170.0792
875.000000 94.470 -170.3142
885.000000 94.457 -170.4982
900.000000 94.445 -170.7653
912.000000 94.436 -170.9353
925.000000 94.423 -171.1017
938.000000 94.416 -171.2821
950.000000 94.411 -171.4192
962.000000 94.402 -171.5494
975.000000 94.398 -171.6418
988.000000 94.397 -171.7160
1000.000000 94.395 -171.8078
1015.000000 94.400 -171.9322
1030.000000 94.407 -172.0581
1044.000000 94.413 -172.0885
1060.000000 94.432 -172.1700
1075.000000 94.458 -172.2526
1090.000000 94.486 -172.2818
1106.000000 94.522 -172.3015
1120.000000 94.556 -172.3574
1138.000000 94.604 -172.4638
1150.000000 94.639 -172.5610
1172.000000 94.707 -172.7947
1180.000000 94.730 -172.8653
1206.000000 94.827 -173.1338
1220.000000 94.883 -173.3794
1241.000000 94.968 -173.7573
1250.000000 95.008 -173.9274
1265.000000 95.072 -174.2624
1280.000000 95.135 -174.6740
1315.000000 95.286 -175.7504
1320.000000 95.305 -175.9143
1340.000000 95.376 -176.6235
1360.000000 95.441 -177.4080
1380.000000 95.498 -178.2478
1400.000000 95.549 -179.1297
1430.000000 95.617 179.5320
1450.000000 95.650 178.5552
1475.000000 95.672 177.2708
1500.000000 95.676 175.9229
1525.000000 95.661 174.5670
1550.000000 95.620 173.2535
1575.000000 95.558 171.9747
1600.000000 95.482 170.7198
1625.000000 95.386 169.5411
1650.000000 95.278 168.4221
1675.000000 95.163 167.3342
1700.000000 95.027 166.3534
1725.000000 94.878 165.5130
1750.000000 94.737 164.7743
1775.000000 94.586 163.9936
1800.000000 94.416 163.5513
1825.000000 94.249 163.2267
1850.000000 94.085 162.8583
1875.000000 93.917 162.5892
1900.000000 93.748 162.4897
1925.000000 93.589 162.4589
1950.000000 93.446 162.4476
1975.000000 93.299 162.5334
2000.000000 93.157 162.7068
2030.000000 93.005 163.0785
2060.000000 92.877 163.4995
2090.000000 92.752 163.9101
2120.000000 92.633 164.4230
2140.000000 92.569 164.7762
2180.000000 92.471 165.3879
2200.000000 92.419 165.7013
2240.000000 92.324 166.4138
2270.000000 92.278 166.9815
2300.000000 92.254 167.5424
2330.000000 92.239 168.0447
2360.000000 92.240 168.5142
2400.000000 92.266 168.9215
2430.000000 92.287 169.0370
2470.000000 92.291 168.9376
2500.000000 92.257 168.6953
2540.000000 92.117 168.5389
2580.000000 91.935 169.6689
2620.000000 91.978 171.6392
2650.000000 92.132 172.3787
2690.000000 92.315 172.4185
2720.000000 92.408 172.1863
2760.000000 92.501 171.7832
2800.000000 92.573 171.2506
2850.000000 92.618 170.4238
2900.000000 92.623 169.6627
2950.000000 92.608 168.9216
3000.000000 92.576 168.1864
3040.000000 92.535 167.5858
3070.000000 92.494 167.1454
3110.000000 92.423 166.6123
3150.000000 92.342 166.1680
3200.000000 92.234 165.6667
3250.000000 92.114 165.2360
3300.000000 91.987 164.9417
3350.000000 91.855 164.7588
3400.000000 91.722 164.6764
3450.000000 91.587 164.6742
3500.000000 91.452 164.7214
3550.000000 91.320 164.8844
3600.000000 91.197 165.1815
3650.000000 91.079 165.5468
3700.000000 90.962 166.0123
3750.000000 90.858 166.5089
3820.000000 90.742 167.3029
3870.000000 90.667 167.8952
3950.000000 90.551 168.9348
4000.000000 90.489 169.6625
4060.000000 90.437 170.6339
4120.000000 90.413 171.6446
4180.000000 90.424 172.5588
4250.000000 90.457 173.4925
4310.000000 90.481 174.2227
4370.000000 90.504 175.0364
4440.000000 90.566 176.0434
4500.000000 90.648 176.8527
4550.000000 90.724 177.4545
4620.000000 90.848 178.3243
4680.000000 90.989 178.9749
4750.000000 91.175 179.5368
4820.000000 91.382 179.9800
4870.000000 91.549 -179.8185
4940.000000 91.806 -179.7727
5000.000000 92.034 -179.9608
5080.000000 92.361 179.5364
5150.000000 92.671 178.6869
5220.000000 92.980 177.3963
