* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Oct 3, 2024 8:08:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sweet Melody Super Bass L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 60.006 119.8874
20.600000 60.270 118.5960
20.900000 60.617 117.7063
21.200001 61.012 117.4341
21.400000 61.279 117.5179
21.799999 61.746 117.9550
22.000000 61.908 118.1698
22.400000 62.025 118.4395
22.700001 61.924 118.5123
23.000000 61.700 118.4983
23.299999 61.431 118.3457
23.600000 61.208 117.9142
24.000000 61.108 116.6786
24.299999 61.206 115.3343
24.700001 61.499 113.6210
25.000000 61.775 112.9730
25.400000 62.166 113.5188
25.799999 62.590 115.4933
26.200001 63.048 117.8523
26.500000 63.376 119.1299
26.900000 63.703 119.6989
27.200001 63.828 119.4086
27.600000 63.856 118.7411
28.000000 63.841 118.6277
28.500000 64.020 119.8982
29.000000 64.525 121.8131
29.500000 65.115 122.9021
30.000000 65.473 122.8865
30.400000 65.508 122.5021
30.700001 65.413 122.2665
31.100000 65.211 122.2775
31.500000 65.065 122.7790
32.000000 65.182 123.7066
32.500000 65.674 123.8039
33.000000 66.269 122.1609
33.500000 66.604 119.3008
34.000000 66.533 116.9107
34.500000 66.260 116.6878
35.000000 66.254 118.4181
35.500000 66.687 119.5050
36.000000 67.184 118.4594
36.500000 67.362 116.7119
37.000000 67.215 116.4838
37.500000 67.047 118.4097
38.200001 67.137 121.2296
38.700001 67.211 121.4480
39.500000 67.077 121.2158
40.000000 67.088 121.9052
40.599998 67.360 122.3271
41.200001 67.720 121.2266
41.799999 68.025 119.0088
42.500000 68.291 115.8321
43.099998 68.343 113.6385
43.700001 68.237 113.7674
44.400002 68.338 117.7806
45.000000 68.872 121.5282
45.500000 69.416 122.7961
46.200001 69.932 122.3830
46.799999 70.154 121.7605
47.500000 70.389 121.3100
48.200001 70.617 120.5252
48.700001 70.692 120.1483
49.400002 70.747 121.0416
50.000000 70.939 122.7823
50.799999 71.366 123.5120
51.500000 71.545 121.9573
52.200001 71.464 120.2037
53.000000 71.409 119.4696
53.799999 71.587 119.4703
54.500000 71.788 119.8827
55.200001 71.953 120.7753
56.000000 72.075 121.3473
57.000000 72.199 120.1269
58.000000 72.780 116.2222
59.000000 73.376 111.1625
60.000000 73.320 111.5486
60.799999 73.262 115.6060
61.500000 73.332 117.5031
62.200001 73.359 117.2494
63.000000 73.447 116.5710
64.000000 73.801 116.5776
65.000000 74.074 117.0228
66.000000 74.243 117.5378
67.000000 74.491 117.5181
68.000000 74.752 117.2070
69.000000 74.903 117.0976
70.000000 75.017 117.1528
71.000000 75.170 117.0403
72.000000 75.313 116.8595
73.000000 75.441 116.6857
74.000000 75.614 116.3434
75.000000 75.809 115.9663
76.199997 76.017 116.0461
77.500000 76.276 116.0649
78.800003 76.564 115.8172
80.000000 76.811 115.5950
81.199997 76.963 115.3674
82.500000 77.143 115.3032
83.800003 77.379 115.0618
85.000000 77.603 114.6278
86.199997 77.855 114.2883
87.500000 78.116 114.0102
88.500000 78.252 113.7276
90.000000 78.419 113.2547
91.199997 78.590 113.1478
92.500000 78.797 113.1334
93.800003 78.991 112.8515
95.000000 79.153 112.6169
96.199997 79.334 112.4040
97.500000 79.549 111.8289
98.800003 79.756 111.5016
100.000000 79.908 111.6699
101.500000 80.080 111.6179
103.000000 80.288 110.7286
104.400002 80.494 110.1500
106.000000 80.724 109.7446
107.500000 80.941 109.3398
109.000000 81.138 108.8891
110.599998 81.329 108.4421
112.000000 81.526 108.1266
113.800003 81.772 107.7177
115.000000 81.921 107.3602
117.199997 82.198 106.6864
118.000000 82.299 106.4737
120.599998 82.583 105.6008
122.000000 82.733 105.1367
124.099998 82.973 104.4856
125.000000 83.079 104.1895
126.500000 83.252 103.6804
128.000000 83.413 103.1898
131.500000 83.788 102.1102
132.000000 83.839 101.9525
134.000000 84.044 101.2767
136.000000 84.251 100.5631
138.000000 84.447 99.8914
140.000000 84.638 99.2566
143.000000 84.936 98.0651
145.000000 85.126 97.4110
147.500000 85.352 96.6888
150.000000 85.595 95.8245
152.500000 85.849 94.9466
155.000000 86.023 93.8925
157.500000 86.173 92.9088
160.000000 86.321 91.9267
162.500000 86.490 90.9540
165.000000 86.728 90.0712
167.500000 86.924 89.1173
170.000000 87.093 88.1046
172.500000 87.263 87.1960
175.000000 87.453 86.2881
177.500000 87.621 85.3216
180.000000 87.741 84.2234
182.500000 87.853 82.9415
185.000000 88.000 81.9520
187.500000 88.161 81.2406
190.000000 88.318 80.6613
192.500000 88.469 80.0488
195.000000 88.609 79.0723
197.500000 88.750 77.8903
200.000000 88.900 76.8421
203.000000 89.068 75.5340
206.000000 89.136 74.2912
209.000000 89.209 73.1333
212.000000 89.316 72.0526
214.000000 89.392 71.3468
218.000000 89.525 69.9740
220.000000 89.587 69.2587
224.000000 89.707 67.8280
227.000000 89.790 66.8988
230.000000 89.884 65.9745
233.000000 89.959 64.9141
236.000000 90.009 63.9680
240.000000 90.130 62.8588
243.000000 90.226 62.0770
247.000000 90.290 60.5818
250.000000 90.343 59.5592
254.000000 90.434 58.3505
258.000000 90.514 57.1953
262.000000 90.579 56.0532
265.000000 90.625 55.1850
269.000000 90.682 54.0235
272.000000 90.721 53.2041
276.000000 90.774 52.1654
280.000000 90.828 51.1103
285.000000 90.878 49.8071
290.000000 90.913 48.4920
295.000000 90.933 47.3466
300.000000 90.951 46.1636
304.000000 90.974 45.1335
307.000000 91.000 44.3971
311.000000 91.033 43.4621
315.000000 91.042 42.5746
320.000000 91.036 41.4808
325.000000 91.035 40.4095
330.000000 91.042 39.4130
335.000000 91.024 38.4804
340.000000 91.000 37.6062
345.000000 90.979 36.7108
350.000000 90.957 35.9816
355.000000 90.935 35.3285
360.000000 90.923 34.7098
365.000000 90.913 34.1071
370.000000 90.894 33.4772
375.000000 90.878 32.8963
382.000000 90.865 32.2035
387.000000 90.855 31.7122
395.000000 90.837 30.9096
400.000000 90.832 30.3847
406.000000 90.833 29.7973
412.000000 90.848 29.2397
418.000000 90.855 28.7086
425.000000 90.820 28.2254
431.000000 90.805 27.6471
437.000000 90.813 27.0852
444.000000 90.812 26.4849
450.000000 90.804 25.9434
455.000000 90.799 25.4780
462.000000 90.799 24.8900
468.000000 90.796 24.3459
475.000000 90.780 23.6981
482.000000 90.760 23.0754
487.000000 90.744 22.5947
494.000000 90.715 21.9431
500.000000 90.681 21.3978
508.000000 90.618 20.6577
515.000000 90.545 20.0102
522.000000 90.452 19.3727
530.000000 90.305 18.6989
538.000000 90.091 18.1909
545.000000 89.828 18.1422
552.000000 89.490 18.9744
560.000000 89.131 22.2441
570.000000 89.415 29.9791
580.000000 90.639 32.6214
590.000000 91.458 28.0858
600.000000 91.581 23.1021
608.000000 91.422 20.4094
615.000000 91.193 18.9713
622.000000 90.909 18.4743
630.000000 90.589 19.6452
640.000000 90.630 24.2297
650.000000 91.501 26.9413
660.000000 92.284 23.1987
670.000000 92.450 18.1002
680.000000 92.307 14.5681
690.000000 92.105 12.3266
700.000000 91.915 10.7956
710.000000 91.750 9.6452
720.000000 91.605 8.7496
730.000000 91.473 8.0241
740.000000 91.355 7.3998
750.000000 91.244 6.8567
762.000000 91.122 6.2988
775.000000 91.001 5.7846
788.000000 90.895 5.3492
800.000000 90.807 5.0002
812.000000 90.727 4.6904
825.000000 90.652 4.3358
838.000000 90.588 3.9424
850.000000 90.540 3.5470
862.000000 90.496 3.0433
875.000000 90.428 2.3018
885.000000 90.346 1.6706
900.000000 90.176 0.9827
912.000000 90.028 0.7305
925.000000 89.880 0.6862
938.000000 89.758 0.7819
950.000000 89.666 0.8978
962.000000 89.588 0.9864
975.000000 89.509 1.0374
988.000000 89.435 1.0964
1000.000000 89.371 1.1352
1015.000000 89.291 1.1961
1030.000000 89.209 1.2644
1044.000000 89.139 1.3451
1060.000000 89.067 1.4535
1075.000000 89.003 1.5732
1090.000000 88.940 1.6937
1106.000000 88.874 1.7860
1120.000000 88.819 1.8650
1138.000000 88.753 1.9732
1150.000000 88.711 2.0234
1172.000000 88.632 2.0789
1180.000000 88.603 2.0900
1206.000000 88.505 2.1370
1220.000000 88.446 2.1592
1241.000000 88.351 2.1865
1250.000000 88.309 2.2027
1265.000000 88.236 2.2317
1280.000000 88.160 2.2821
1315.000000 87.970 2.5025
1320.000000 87.939 2.5384
1340.000000 87.811 2.7137
1360.000000 87.674 2.9681
1380.000000 87.530 3.3015
1400.000000 87.386 3.7365
1430.000000 87.163 4.5531
1450.000000 87.011 5.2832
1475.000000 86.828 6.3688
1500.000000 86.659 7.6378
1525.000000 86.501 9.0404
1550.000000 86.356 10.6208
1575.000000 86.235 12.4169
1600.000000 86.145 14.3877
1625.000000 86.085 16.4832
1650.000000 86.063 18.6889
1675.000000 86.077 20.9152
1700.000000 86.134 23.1527
1725.000000 86.233 25.3799
1750.000000 86.369 27.5566
1775.000000 86.538 29.6174
1800.000000 86.740 31.5727
1825.000000 86.971 33.4060
1850.000000 87.230 35.0527
1875.000000 87.517 36.5336
1900.000000 87.826 37.7898
1925.000000 88.145 38.7817
1950.000000 88.466 39.5869
1975.000000 88.799 40.2048
2000.000000 89.140 40.6143
2030.000000 89.544 40.8182
2060.000000 89.938 40.7490
2090.000000 90.326 40.4753
2120.000000 90.704 39.9665
2140.000000 90.951 39.4731
2180.000000 91.413 38.1751
2200.000000 91.631 37.4045
2240.000000 92.041 35.6116
2270.000000 92.320 34.0204
2300.000000 92.561 32.2597
2330.000000 92.767 30.4135
2360.000000 92.941 28.4983
2400.000000 93.120 25.8557
2430.000000 93.213 23.8654
2470.000000 93.291 21.2314
2500.000000 93.313 19.2890
2540.000000 93.296 16.8080
2580.000000 93.234 14.4979
2620.000000 93.135 12.3930
2650.000000 93.043 10.9496
2690.000000 92.898 9.2276
2720.000000 92.779 8.0821
2760.000000 92.608 6.7319
2800.000000 92.429 5.5932
2850.000000 92.200 4.4277
2900.000000 91.966 3.5352
2950.000000 91.731 2.9615
3000.000000 91.526 2.7225
3040.000000 91.384 2.5554
3070.000000 91.280 2.4562
3110.000000 91.147 2.3909
3150.000000 91.019 2.3822
3200.000000 90.867 2.4822
3250.000000 90.727 2.6990
3300.000000 90.604 3.0089
3350.000000 90.498 3.3873
3400.000000 90.408 3.8078
3450.000000 90.333 4.2666
3500.000000 90.271 4.7676
3550.000000 90.226 5.3038
3600.000000 90.200 5.8509
3650.000000 90.190 6.3926
3700.000000 90.196 6.9144
3750.000000 90.216 7.4074
3820.000000 90.268 8.0380
3870.000000 90.321 8.4462
3950.000000 90.435 8.9853
4000.000000 90.524 9.2294
4060.000000 90.643 9.4235
4120.000000 90.778 9.5150
4180.000000 90.930 9.4674
4250.000000 91.130 9.1729
4310.000000 91.308 8.6777
4370.000000 91.487 7.9772
4440.000000 91.694 6.9158
4500.000000 91.875 5.7631
4550.000000 92.022 4.5801
4620.000000 92.206 2.5715
4680.000000 92.331 0.5427
4750.000000 92.428 -2.1260
4820.000000 92.457 -5.0549
4870.000000 92.431 -7.2316
4940.000000 92.327 -10.2988
5000.000000 92.178 -12.8777
5080.000000 91.898 -16.1405
5150.000000 91.584 -18.7142
5220.000000 91.220 -20.9448
5300.000000 90.759 -23.0373
5380.000000 90.267 -24.6251
5450.000000 89.827 -25.5891
5520.000000 89.393 -26.1996
5600.000000 88.910 -26.5434
5700.000000 88.330 -26.4830
5800.000000 87.789 -25.9200
5900.000000 87.301 -24.9615
6000.000000 86.869 -23.7350
6080.000000 86.561 -22.5848
6150.000000 86.324 -21.4553
6220.000000 86.120 -20.2462
6300.000000 85.929 -18.8142
6400.000000 85.760 -17.0198
6500.000000 85.668 -15.3096
6600.000000 85.655 -13.7882
6700.000000 85.722 -12.6062
6800.000000 85.859 -11.9001
6900.000000 86.060 -11.7719
7000.000000 86.320 -12.4021
