* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Oct 3, 2024 8:15:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sweet Melody Super Bass R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 64.125 112.5201
20.600000 64.177 112.5197
20.900000 64.193 112.9674
21.200001 64.202 113.8867
21.400000 64.232 114.6579
21.799999 64.406 116.0558
22.000000 64.550 116.4267
22.400000 64.894 116.1424
22.700001 65.134 115.1040
23.000000 65.308 113.6944
23.299999 65.402 112.3401
23.600000 65.432 111.4342
24.000000 65.453 111.2870
24.299999 65.521 111.8647
24.700001 65.730 112.8764
25.000000 65.948 113.3030
25.400000 66.226 113.0737
25.799999 66.404 112.1553
26.200001 66.471 111.1399
26.500000 66.490 110.6299
26.900000 66.556 110.3815
27.200001 66.672 110.3536
27.600000 66.897 110.1764
28.000000 67.120 109.7031
28.500000 67.270 109.1627
29.000000 67.274 109.6045
29.500000 67.305 111.2872
30.000000 67.527 113.0019
30.400000 67.814 113.3055
30.700001 68.028 112.6996
31.100000 68.243 111.0601
31.500000 68.354 109.0857
32.000000 68.393 107.1627
32.500000 68.441 106.4424
33.000000 68.583 106.6662
33.500000 68.790 107.0736
34.000000 68.976 107.1324
34.500000 69.088 106.7451
35.000000 69.148 106.0226
35.500000 69.218 105.0780
36.000000 69.343 104.0342
36.500000 69.511 103.1312
37.000000 69.681 102.7294
37.500000 69.827 103.1281
38.200001 70.037 104.8166
38.700001 70.237 105.9574
39.500000 70.590 105.9511
40.000000 70.760 104.9304
40.599998 70.909 103.8477
41.200001 71.086 103.8821
41.799999 71.354 104.8377
42.500000 71.659 105.8409
43.099998 71.750 106.2067
43.700001 71.689 106.4439
44.400002 71.625 106.5280
45.000000 71.689 105.9374
45.500000 71.805 105.0600
46.200001 72.033 104.0394
46.799999 72.280 103.5464
47.500000 72.490 102.9669
48.200001 72.492 102.6257
48.700001 72.476 102.6842
49.400002 72.649 102.1743
50.000000 72.910 100.4612
50.799999 73.078 98.4804
51.500000 73.112 99.6305
52.200001 73.307 102.4237
53.000000 73.616 103.6866
53.799999 73.743 102.7414
54.500000 73.803 102.1641
55.200001 73.969 102.3048
56.000000 74.160 102.1415
57.000000 74.218 101.5171
58.000000 74.719 100.8908
59.000000 75.427 98.2439
60.000000 75.389 97.5495
60.799999 75.169 99.9333
61.500000 75.154 101.3302
62.200001 75.215 101.0030
63.000000 75.315 100.1524
64.000000 75.561 100.1214
65.000000 75.815 100.4935
66.000000 75.965 100.5376
67.000000 76.028 100.4347
68.000000 76.123 100.5181
69.000000 76.293 100.4254
70.000000 76.467 100.1606
71.000000 76.629 99.8866
72.000000 76.787 99.4707
73.000000 76.946 98.9418
74.000000 77.105 98.4990
75.000000 77.254 98.2618
76.199997 77.407 98.2322
77.500000 77.584 98.3333
78.800003 77.799 98.4127
80.000000 77.948 98.5075
81.199997 78.036 98.1476
82.500000 78.131 97.2793
83.800003 78.341 97.1408
85.000000 78.592 97.1023
86.199997 78.766 96.6023
87.500000 78.896 96.2788
88.500000 79.014 96.2746
90.000000 79.222 96.0658
91.199997 79.390 95.8215
92.500000 79.564 95.6086
93.800003 79.730 95.3643
95.000000 79.886 95.0249
96.199997 80.008 94.6190
97.500000 80.126 94.2813
98.800003 80.251 94.1132
100.000000 80.373 94.0751
101.500000 80.540 93.6838
103.000000 80.740 93.0269
104.400002 80.956 92.3739
106.000000 81.148 92.0253
107.500000 81.305 92.0232
109.000000 81.444 91.7607
110.599998 81.588 91.2840
112.000000 81.722 90.9298
113.800003 81.900 90.5211
115.000000 82.023 90.2061
117.199997 82.235 89.6537
118.000000 82.309 89.4518
120.599998 82.557 88.6138
122.000000 82.691 88.2174
124.099998 82.891 87.7224
125.000000 82.972 87.4831
126.500000 83.106 87.0658
128.000000 83.235 86.6655
131.500000 83.530 85.6960
132.000000 83.571 85.5551
134.000000 83.730 85.0031
136.000000 83.898 84.4274
138.000000 84.062 83.8045
140.000000 84.214 83.1576
143.000000 84.451 82.2891
145.000000 84.601 81.7328
147.500000 84.772 80.9998
150.000000 84.916 80.1650
152.500000 85.082 79.1746
155.000000 85.267 78.6502
157.500000 85.437 78.0232
160.000000 85.626 77.4925
162.500000 85.788 76.8504
165.000000 85.886 75.8227
167.500000 86.005 75.0325
170.000000 86.152 74.2925
172.500000 86.299 73.4840
175.000000 86.428 72.6913
177.500000 86.540 72.1510
180.000000 86.650 71.3653
182.500000 86.764 70.4966
185.000000 86.872 69.6144
187.500000 86.986 68.6813
190.000000 87.111 67.9714
192.500000 87.231 67.2158
195.000000 87.335 66.5237
197.500000 87.442 65.7851
200.000000 87.554 64.9504
203.000000 87.665 64.0261
206.000000 87.728 63.5047
209.000000 87.811 62.8572
212.000000 87.890 62.1162
214.000000 87.936 61.6313
218.000000 88.065 60.4756
220.000000 88.144 59.9262
224.000000 88.252 59.0303
227.000000 88.313 58.2716
230.000000 88.390 57.4006
233.000000 88.453 56.4750
236.000000 88.494 55.5552
240.000000 88.617 54.7830
243.000000 88.721 54.5121
247.000000 88.750 53.4870
250.000000 88.780 52.6346
254.000000 88.842 51.6622
258.000000 88.918 50.7696
262.000000 88.985 49.9079
265.000000 89.029 49.2560
269.000000 89.083 48.4025
272.000000 89.115 47.8070
276.000000 89.162 47.0226
280.000000 89.210 46.2275
285.000000 89.268 45.2691
290.000000 89.327 44.2900
295.000000 89.370 43.2265
300.000000 89.396 42.3490
304.000000 89.425 41.7697
307.000000 89.450 41.2726
311.000000 89.488 40.5778
315.000000 89.519 39.9090
320.000000 89.549 39.0865
325.000000 89.571 38.2911
330.000000 89.578 37.5168
335.000000 89.588 36.7785
340.000000 89.590 36.0549
345.000000 89.587 35.2729
350.000000 89.594 34.6462
355.000000 89.589 34.0269
360.000000 89.576 33.4298
365.000000 89.567 32.9033
370.000000 89.572 32.4238
375.000000 89.587 32.0257
382.000000 89.595 31.4816
387.000000 89.597 31.1285
395.000000 89.595 30.5784
400.000000 89.603 30.1818
406.000000 89.618 29.6964
412.000000 89.600 29.3666
418.000000 89.594 29.0035
425.000000 89.652 28.4168
431.000000 89.685 28.0455
437.000000 89.703 27.6866
444.000000 89.708 27.2568
450.000000 89.713 26.8584
455.000000 89.721 26.4795
462.000000 89.724 26.0031
468.000000 89.715 25.7110
475.000000 89.685 25.5689
482.000000 89.652 25.7565
487.000000 89.674 26.1874
494.000000 89.827 26.7602
500.000000 90.024 26.4588
508.000000 90.201 25.1264
515.000000 90.253 23.9375
522.000000 90.264 23.0041
530.000000 90.263 22.1663
538.000000 90.265 21.4770
545.000000 90.268 20.9348
552.000000 90.272 20.4202
560.000000 90.279 19.8801
570.000000 90.290 19.1969
580.000000 90.303 18.5091
590.000000 90.312 17.8090
600.000000 90.317 17.1161
608.000000 90.319 16.5773
615.000000 90.320 16.0972
622.000000 90.321 15.6167
630.000000 90.321 15.1227
640.000000 90.328 14.5586
650.000000 90.357 13.9715
660.000000 90.388 13.1331
670.000000 90.371 12.0856
680.000000 90.318 11.2264
690.000000 90.262 10.5757
700.000000 90.215 9.9890
710.000000 90.174 9.4349
720.000000 90.134 8.9171
730.000000 90.093 8.4182
740.000000 90.049 7.9524
750.000000 90.009 7.4934
762.000000 89.967 6.9175
775.000000 89.913 6.3226
788.000000 89.859 5.7431
800.000000 89.806 5.1530
812.000000 89.740 4.5744
825.000000 89.660 4.0422
838.000000 89.580 3.6060
850.000000 89.513 3.2584
862.000000 89.450 2.9149
875.000000 89.383 2.5410
885.000000 89.329 2.2622
900.000000 89.241 1.8324
912.000000 89.167 1.5230
925.000000 89.086 1.2150
938.000000 89.006 0.9476
950.000000 88.934 0.7268
962.000000 88.866 0.5139
975.000000 88.793 0.2999
988.000000 88.715 0.1089
1000.000000 88.645 -0.0329
1015.000000 88.562 -0.1812
1030.000000 88.472 -0.3489
1044.000000 88.388 -0.4996
1060.000000 88.302 -0.6209
1075.000000 88.224 -0.7145
1090.000000 88.143 -0.8305
1106.000000 88.056 -0.9586
1120.000000 87.982 -1.0716
1138.000000 87.889 -1.1939
1150.000000 87.832 -1.2976
1172.000000 87.717 -1.5305
1180.000000 87.672 -1.6239
1206.000000 87.519 -1.9273
1220.000000 87.431 -2.1004
1241.000000 87.288 -2.4162
1250.000000 87.221 -2.5431
1265.000000 87.105 -2.7217
1280.000000 86.983 -2.8867
1315.000000 86.663 -3.3024
1320.000000 86.612 -3.3515
1340.000000 86.397 -3.5019
1360.000000 86.165 -3.5722
1380.000000 85.914 -3.5593
1400.000000 85.635 -3.4078
1430.000000 85.187 -2.7895
1450.000000 84.869 -2.2080
1475.000000 84.447 -1.1167
1500.000000 84.015 0.4349
1525.000000 83.567 2.5344
1550.000000 83.139 5.2952
1575.000000 82.759 8.5157
1600.000000 82.427 12.2882
1625.000000 82.159 16.6326
1650.000000 82.002 21.4316
1675.000000 81.966 26.3803
1700.000000 82.040 31.3828
1725.000000 82.229 36.3297
1750.000000 82.534 40.9108
1775.000000 82.923 44.9870
1800.000000 83.374 48.6216
1825.000000 83.870 51.7069
1850.000000 84.389 54.2893
1875.000000 84.921 56.4637
1900.000000 85.458 58.2525
1925.000000 86.000 59.6602
1950.000000 86.541 60.7007
1975.000000 87.081 61.4399
2000.000000 87.613 61.8454
2030.000000 88.218 61.9241
2060.000000 88.796 61.7568
2090.000000 89.364 61.3488
2120.000000 89.922 60.5986
2140.000000 90.278 59.8967
2180.000000 90.940 58.1910
2200.000000 91.257 57.2024
2240.000000 91.853 54.8741
2270.000000 92.257 52.8628
2300.000000 92.622 50.6922
2330.000000 92.954 48.3534
2360.000000 93.245 45.8473
2400.000000 93.558 42.3263
2430.000000 93.735 39.6441
2470.000000 93.906 36.0843
2500.000000 93.986 33.4385
2540.000000 94.027 30.0195
2580.000000 94.004 26.8128
2620.000000 93.929 23.8374
2650.000000 93.842 21.7827
2690.000000 93.696 19.3018
2720.000000 93.569 17.6276
2760.000000 93.381 15.6637
2800.000000 93.183 13.9692
2850.000000 92.926 12.1617
2900.000000 92.660 10.6729
2950.000000 92.374 9.4921
3000.000000 92.087 8.9362
3040.000000 91.912 8.7562
3070.000000 91.799 8.5663
3110.000000 91.650 8.3401
3150.000000 91.510 8.2040
3200.000000 91.347 8.0620
3250.000000 91.187 8.0380
3300.000000 91.041 8.1475
3350.000000 90.910 8.3522
3400.000000 90.796 8.6426
3450.000000 90.701 8.9959
3500.000000 90.624 9.3984
3550.000000 90.563 9.8258
3600.000000 90.520 10.2725
3650.000000 90.493 10.7140
3700.000000 90.480 11.1548
3750.000000 90.484 11.5996
3820.000000 90.518 12.1819
3870.000000 90.561 12.5536
3950.000000 90.665 13.0505
4000.000000 90.750 13.2417
4060.000000 90.864 13.3521
4120.000000 90.994 13.3324
4180.000000 91.135 13.1753
4250.000000 91.321 12.7847
4310.000000 91.488 12.2120
4370.000000 91.660 11.4276
4440.000000 91.855 10.1984
4500.000000 92.015 8.9172
4550.000000 92.142 7.6524
4620.000000 92.296 5.5680
4680.000000 92.398 3.5231
4750.000000 92.471 0.8384
4820.000000 92.480 -2.0904
4870.000000 92.443 -4.2795
4940.000000 92.318 -7.4055
5000.000000 92.145 -10.0032
5080.000000 91.835 -13.2245
5150.000000 91.502 -15.7759
5220.000000 91.116 -18.0308
5300.000000 90.621 -20.1181
5380.000000 90.095 -21.6276
5450.000000 89.630 -22.5069
5520.000000 89.170 -23.0363
5600.000000 88.655 -23.2621
5700.000000 88.035 -23.0008
5800.000000 87.461 -22.1744
5900.000000 86.944 -20.9349
6000.000000 86.487 -19.3714
6080.000000 86.171 -17.9303
6150.000000 85.929 -16.5715
6220.000000 85.720 -15.1455
6300.000000 85.523 -13.4519
6400.000000 85.348 -11.2923
6500.000000 85.252 -9.1853
6600.000000 85.232 -7.1979
6700.000000 85.298 -5.4055
6800.000000 85.456 -3.9557
6900.000000 85.702 -3.0169
