* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Oct 3, 2024 8:28:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sweet Melody SB (Foam) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 76.527 106.8526
20.600000 76.634 106.4328
20.900000 76.760 106.0284
21.200001 76.897 105.6375
21.400000 76.991 105.3641
21.799999 77.174 104.7668
22.000000 77.259 104.4537
22.400000 77.412 103.8628
22.700001 77.518 103.4996
23.000000 77.626 103.2140
23.299999 77.747 102.9651
23.600000 77.884 102.6821
24.000000 78.079 102.1419
24.299999 78.221 101.5947
24.700001 78.382 100.7654
25.000000 78.479 100.1764
25.400000 78.588 99.5701
25.799999 78.702 99.1942
26.200001 78.840 98.9293
26.500000 78.957 98.6982
26.900000 79.111 98.2701
27.200001 79.213 97.8790
27.600000 79.323 97.3694
28.000000 79.415 96.9877
28.500000 79.542 96.7141
29.000000 79.710 96.4650
29.500000 79.901 96.0185
30.000000 80.075 95.4115
30.400000 80.192 94.9692
30.700001 80.273 94.7307
31.100000 80.385 94.5335
31.500000 80.510 94.3872
32.000000 80.676 94.1071
32.500000 80.826 93.6668
33.000000 80.951 93.1720
33.500000 81.072 92.7043
34.000000 81.209 92.2003
34.500000 81.353 91.5872
35.000000 81.478 90.9662
35.500000 81.584 90.5525
36.000000 81.692 90.4303
36.500000 81.819 90.4314
37.000000 81.952 90.2959
37.500000 82.065 89.8833
38.200001 82.180 88.8866
38.700001 82.251 88.0329
39.500000 82.403 87.0109
40.000000 82.558 86.9129
40.599998 82.823 87.2115
41.200001 83.103 87.3989
41.799999 83.278 87.2029
42.500000 83.317 86.8111
43.099998 83.330 86.4459
43.700001 83.417 85.7482
44.400002 83.583 84.4644
45.000000 83.729 83.4471
45.500000 83.850 82.8468
46.200001 84.003 82.1554
46.799999 84.080 81.5728
47.500000 84.110 81.2357
48.200001 84.173 81.4209
48.700001 84.263 81.5873
49.400002 84.396 81.4915
50.000000 84.470 81.1513
50.799999 84.544 80.6508
51.500000 84.652 80.2097
52.200001 84.798 79.7127
53.000000 84.949 79.2025
53.799999 85.052 78.8771
54.500000 85.126 78.6374
55.200001 85.216 78.2441
56.000000 85.340 77.5549
57.000000 85.489 76.7280
58.000000 85.640 76.3117
59.000000 85.812 75.9591
60.000000 85.959 75.3570
60.799999 86.044 74.8992
61.500000 86.124 74.6297
62.200001 86.232 74.3846
63.000000 86.372 74.0162
64.000000 86.511 73.5342
65.000000 86.607 73.1356
66.000000 86.705 72.6031
67.000000 86.829 71.8806
68.000000 86.963 71.2927
69.000000 87.089 70.9714
70.000000 87.196 70.5944
71.000000 87.289 69.9987
72.000000 87.386 69.3473
73.000000 87.485 68.8401
74.000000 87.585 68.5247
75.000000 87.697 68.1950
76.199997 87.826 67.6100
77.500000 87.938 66.9960
78.800003 88.048 66.3954
80.000000 88.150 65.8365
81.199997 88.260 65.3655
82.500000 88.381 64.7877
83.800003 88.501 64.1654
85.000000 88.607 63.6818
86.199997 88.706 63.2229
87.500000 88.810 62.6354
88.500000 88.890 62.2027
90.000000 89.008 61.6293
91.199997 89.100 61.1281
92.500000 89.197 60.5680
93.800003 89.289 60.0292
95.000000 89.364 59.5281
96.199997 89.437 59.0346
97.500000 89.528 58.4878
98.800003 89.625 57.9233
100.000000 89.708 57.4376
101.500000 89.803 56.8296
103.000000 89.894 56.2310
104.400002 89.982 55.7199
106.000000 90.079 55.1210
107.500000 90.163 54.5465
109.000000 90.244 53.9620
110.599998 90.333 53.3350
112.000000 90.412 52.8045
113.800003 90.506 52.1309
115.000000 90.565 51.6853
117.199997 90.671 50.8708
118.000000 90.710 50.5734
120.599998 90.832 49.6492
122.000000 90.895 49.1624
124.099998 90.988 48.4188
125.000000 91.027 48.0978
126.500000 91.090 47.5653
128.000000 91.150 47.0448
131.500000 91.286 45.8282
132.000000 91.306 45.6612
134.000000 91.380 45.0166
136.000000 91.452 44.3663
138.000000 91.524 43.6929
140.000000 91.591 43.0340
143.000000 91.684 42.0596
145.000000 91.746 41.4121
147.500000 91.818 40.6159
150.000000 91.887 39.8501
152.500000 91.955 39.0729
155.000000 92.020 38.3088
157.500000 92.082 37.5494
160.000000 92.140 36.8077
162.500000 92.195 36.0994
165.000000 92.250 35.3869
167.500000 92.302 34.6700
170.000000 92.350 33.9692
172.500000 92.394 33.2753
175.000000 92.437 32.5974
177.500000 92.479 31.9296
180.000000 92.519 31.2680
182.500000 92.558 30.6166
185.000000 92.594 29.9643
187.500000 92.628 29.3206
190.000000 92.660 28.6873
192.500000 92.689 28.0648
195.000000 92.718 27.4486
197.500000 92.745 26.8469
200.000000 92.771 26.2644
203.000000 92.799 25.5760
206.000000 92.826 24.8955
209.000000 92.851 24.2163
212.000000 92.874 23.5516
214.000000 92.887 23.1165
218.000000 92.914 22.2649
220.000000 92.926 21.8523
224.000000 92.948 21.0354
227.000000 92.963 20.4248
230.000000 92.978 19.8177
233.000000 92.992 19.2178
236.000000 93.003 18.6397
240.000000 93.015 17.8702
243.000000 93.022 17.3013
247.000000 93.030 16.5704
250.000000 93.035 16.0313
254.000000 93.040 15.3185
258.000000 93.043 14.6241
262.000000 93.043 13.9564
265.000000 93.042 13.4646
269.000000 93.040 12.8234
272.000000 93.039 12.3461
276.000000 93.037 11.7196
280.000000 93.035 11.1068
285.000000 93.029 10.3579
290.000000 93.022 9.6168
295.000000 93.013 8.8903
300.000000 93.003 8.1779
304.000000 92.995 7.6136
307.000000 92.988 7.1909
311.000000 92.978 6.6373
315.000000 92.966 6.0915
320.000000 92.949 5.4093
325.000000 92.929 4.7295
330.000000 92.907 4.0651
335.000000 92.884 3.4072
340.000000 92.860 2.7628
345.000000 92.831 2.1294
350.000000 92.799 1.5093
355.000000 92.764 0.9053
360.000000 92.728 0.3126
365.000000 92.691 -0.2693
370.000000 92.650 -0.8377
375.000000 92.607 -1.3902
382.000000 92.543 -2.1306
387.000000 92.495 -2.6309
395.000000 92.416 -3.4110
400.000000 92.363 -3.8687
406.000000 92.298 -4.3781
412.000000 92.231 -4.8492
418.000000 92.164 -5.2926
425.000000 92.087 -5.7639
431.000000 92.024 -6.1358
437.000000 91.963 -6.4861
444.000000 91.895 -6.8772
450.000000 91.841 -7.2031
455.000000 91.797 -7.4757
462.000000 91.737 -7.8758
468.000000 91.685 -8.2370
475.000000 91.621 -8.6910
482.000000 91.552 -9.1611
487.000000 91.499 -9.5058
494.000000 91.420 -10.0021
500.000000 91.345 -10.4407
508.000000 91.230 -11.0377
515.000000 91.111 -11.5743
522.000000 90.968 -12.1135
530.000000 90.762 -12.7045
538.000000 90.486 -13.1760
545.000000 90.156 -13.2102
552.000000 89.736 -12.2369
560.000000 89.310 -8.4839
570.000000 89.586 -0.7084
580.000000 90.625 1.1242
590.000000 91.207 -2.7007
600.000000 91.231 -6.4828
608.000000 91.050 -8.5008
615.000000 90.811 -9.5279
622.000000 90.517 -9.7058
630.000000 90.186 -8.2551
640.000000 90.210 -3.5406
650.000000 90.988 -1.0895
660.000000 91.620 -4.5125
670.000000 91.693 -8.8030
680.000000 91.508 -11.6171
690.000000 91.278 -13.2949
700.000000 91.064 -14.3636
710.000000 90.871 -15.0916
720.000000 90.696 -15.6213
730.000000 90.535 -16.0277
740.000000 90.384 -16.3369
750.000000 90.240 -16.5671
762.000000 90.078 -16.7669
775.000000 89.914 -16.9026
788.000000 89.760 -16.9721
800.000000 89.623 -16.9808
812.000000 89.496 -16.9593
825.000000 89.367 -16.9159
838.000000 89.244 -16.8540
850.000000 89.138 -16.8055
862.000000 89.036 -16.8076
875.000000 88.919 -16.8787
885.000000 88.818 -16.9542
900.000000 88.641 -16.9662
912.000000 88.492 -16.7901
925.000000 88.338 -16.4310
938.000000 88.202 -15.9649
950.000000 88.093 -15.4881
962.000000 87.998 -15.0189
975.000000 87.904 -14.5467
988.000000 87.815 -14.0941
1000.000000 87.737 -13.6705
1015.000000 87.644 -13.1498
1030.000000 87.555 -12.6273
1044.000000 87.475 -12.1309
1060.000000 87.390 -11.5613
1075.000000 87.315 -11.0263
1090.000000 87.247 -10.4953
1106.000000 87.178 -9.9586
1120.000000 87.118 -9.4965
1138.000000 87.046 -8.8979
1150.000000 86.998 -8.5082
1172.000000 86.914 -7.8245
1180.000000 86.883 -7.5800
1206.000000 86.779 -6.7696
1220.000000 86.724 -6.3072
1241.000000 86.645 -5.6217
1250.000000 86.612 -5.3334
1265.000000 86.555 -4.8503
1280.000000 86.498 -4.3615
1315.000000 86.359 -3.1396
1320.000000 86.339 -2.9513
1340.000000 86.265 -2.1908
1360.000000 86.190 -1.4173
1380.000000 86.115 -0.5978
1400.000000 86.042 0.2541
1430.000000 85.935 1.6097
1450.000000 85.868 2.5915
1475.000000 85.791 3.9186
1500.000000 85.726 5.3219
1525.000000 85.674 6.8069
1550.000000 85.638 8.3657
1575.000000 85.623 9.9779
1600.000000 85.630 11.6201
1625.000000 85.654 13.2639
1650.000000 85.694 14.9323
1675.000000 85.757 16.6438
1700.000000 85.845 18.3339
1725.000000 85.955 19.9782
1750.000000 86.087 21.5841
1775.000000 86.245 23.1257
1800.000000 86.425 24.5518
1825.000000 86.619 25.8507
1850.000000 86.826 27.0469
1875.000000 87.048 28.1387
1900.000000 87.285 29.1109
1925.000000 87.536 29.9283
1950.000000 87.794 30.5728
1975.000000 88.055 31.0641
2000.000000 88.319 31.4178
2030.000000 88.637 31.6175
2060.000000 88.945 31.5962
2090.000000 89.249 31.4141
2120.000000 89.546 31.0151
2140.000000 89.735 30.6312
2180.000000 90.086 29.6611
2200.000000 90.250 29.0949
2240.000000 90.555 27.7846
2270.000000 90.761 26.6433
2300.000000 90.940 25.3991
2330.000000 91.093 24.0919
2360.000000 91.221 22.7421
2400.000000 91.355 20.9092
2430.000000 91.426 19.5253
2470.000000 91.488 17.7255
2500.000000 91.511 16.4019
2540.000000 91.509 14.7092
2580.000000 91.478 13.1497
2620.000000 91.423 11.7179
2650.000000 91.366 10.7421
2690.000000 91.279 9.5873
2720.000000 91.209 8.8103
2760.000000 91.107 7.8878
2800.000000 90.998 7.1000
2850.000000 90.858 6.2720
2900.000000 90.710 5.6127
2950.000000 90.553 5.1976
3000.000000 90.421 5.0360
3040.000000 90.331 4.9201
3070.000000 90.266 4.8603
3110.000000 90.183 4.8183
3150.000000 90.103 4.8213
3200.000000 90.012 4.9103
3250.000000 89.930 5.0621
3300.000000 89.860 5.2751
3350.000000 89.802 5.5469
3400.000000 89.757 5.8584
3450.000000 89.727 6.1830
3500.000000 89.710 6.5162
3550.000000 89.706 6.8562
3600.000000 89.715 7.1859
3650.000000 89.738 7.4976
3700.000000 89.774 7.7787
3750.000000 89.825 8.0074
3820.000000 89.913 8.2216
3870.000000 89.989 8.2917
3950.000000 90.127 8.2224
4000.000000 90.220 8.0698
4060.000000 90.339 7.7632
4120.000000 90.466 7.3115
4180.000000 90.594 6.6864
4250.000000 90.742 5.7409
4310.000000 90.860 4.7572
4370.000000 90.975 3.6332
4440.000000 91.100 2.0804
4500.000000 91.192 0.5114
4550.000000 91.247 -0.9535
4620.000000 91.290 -3.1636
4680.000000 91.293 -5.1904
4750.000000 91.255 -7.6887
4820.000000 91.160 -10.3225
4870.000000 91.050 -12.2184
4940.000000 90.839 -14.7756
5000.000000 90.615 -16.8242
5080.000000 90.265 -19.3091
5150.000000 89.916 -21.2095
5220.000000 89.537 -22.8270
5300.000000 89.075 -24.3125
5380.000000 88.594 -25.3550
5450.000000 88.176 -25.9252
5520.000000 87.768 -26.2421
5600.000000 87.313 -26.3522
5700.000000 86.764 -26.1081
5800.000000 86.249 -25.4549
5900.000000 85.784 -24.5159
6000.000000 85.365 -23.3904
6080.000000 85.065 -22.3780
6150.000000 84.828 -21.4365
6220.000000 84.617 -20.4674
6300.000000 84.409 -19.3704
6400.000000 84.194 -18.0814
