* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Oct 3, 2024 8:22:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sweet Melody SB (Foam) R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 77.464 105.9717
20.600000 77.568 105.6818
20.900000 77.702 105.4525
21.200001 77.860 105.2327
21.400000 77.976 105.0445
21.799999 78.213 104.4899
22.000000 78.324 104.1190
22.400000 78.516 103.2589
22.700001 78.628 102.6059
23.000000 78.718 102.0309
23.299999 78.800 101.5761
23.600000 78.885 101.2365
24.000000 79.021 100.8780
24.299999 79.139 100.5979
24.700001 79.307 100.1269
25.000000 79.429 99.6977
25.400000 79.573 99.0848
25.799999 79.698 98.5130
26.200001 79.819 98.0279
26.500000 79.917 97.6994
26.900000 80.063 97.2350
27.200001 80.182 96.8212
27.600000 80.341 96.1661
28.000000 80.488 95.4556
28.500000 80.646 94.6776
29.000000 80.790 94.1998
29.500000 80.945 94.0034
30.000000 81.122 93.8630
30.400000 81.266 93.6433
30.700001 81.365 93.3816
31.100000 81.478 92.9335
31.500000 81.571 92.4397
32.000000 81.678 91.8460
32.500000 81.796 91.2875
33.000000 81.933 90.7071
33.500000 82.074 90.0873
34.000000 82.199 89.5070
34.500000 82.302 89.0793
35.000000 82.397 88.8382
35.500000 82.502 88.6851
36.000000 82.623 88.4634
36.500000 82.752 88.0919
37.000000 82.882 87.6168
37.500000 83.012 87.1347
38.200001 83.202 86.5135
38.700001 83.334 86.0722
39.500000 83.522 85.3162
40.000000 83.630 84.7773
40.599998 83.752 84.0349
41.200001 83.849 83.3556
41.799999 83.929 83.0375
42.500000 84.046 83.0809
43.099998 84.156 82.9962
43.700001 84.227 82.5948
44.400002 84.283 81.9766
45.000000 84.390 81.3558
45.500000 84.530 80.6633
46.200001 84.720 79.6572
46.799999 84.847 79.2266
47.500000 84.993 79.2206
48.200001 85.140 79.0788
48.700001 85.223 78.7380
49.400002 85.327 78.1129
50.000000 85.437 77.5249
50.799999 85.586 76.7149
51.500000 85.677 76.2656
52.200001 85.760 76.1394
53.000000 85.868 75.9617
53.799999 85.968 75.5529
54.500000 86.060 75.1294
55.200001 86.164 74.6891
56.000000 86.276 74.2879
57.000000 86.408 73.9057
58.000000 86.480 72.9290
59.000000 86.457 71.8997
60.000000 86.592 71.5823
60.799999 86.820 71.2777
61.500000 86.980 70.9517
62.200001 87.082 70.7519
63.000000 87.168 70.4935
64.000000 87.272 69.8109
65.000000 87.385 69.1042
66.000000 87.503 68.6433
67.000000 87.614 68.2821
68.000000 87.739 67.7489
69.000000 87.857 67.0564
70.000000 87.943 66.5104
71.000000 88.021 66.0932
72.000000 88.117 65.6297
73.000000 88.235 65.1187
74.000000 88.344 64.6141
75.000000 88.430 64.1043
76.199997 88.523 63.4887
77.500000 88.644 62.8836
78.800003 88.762 62.1884
80.000000 88.862 61.5124
81.199997 88.962 60.9691
82.500000 89.062 60.4774
83.800003 89.156 59.8895
85.000000 89.246 59.2284
86.199997 89.339 58.5800
87.500000 89.445 57.9948
88.500000 89.518 57.5834
90.000000 89.608 56.9753
91.199997 89.691 56.4569
92.500000 89.788 55.8844
93.800003 89.879 55.3707
95.000000 89.954 54.8705
96.199997 90.019 54.3319
97.500000 90.096 53.7531
98.800003 90.183 53.2384
100.000000 90.254 52.8610
101.500000 90.339 52.3799
103.000000 90.426 51.6370
104.400002 90.493 50.9834
106.000000 90.575 50.3482
107.500000 90.654 49.7691
109.000000 90.735 49.2164
110.599998 90.820 48.5659
112.000000 90.887 48.0010
113.800003 90.968 47.3191
115.000000 91.020 46.8852
117.199997 91.113 46.0790
118.000000 91.145 45.7601
120.599998 91.250 44.7379
122.000000 91.307 44.2407
124.099998 91.387 43.4777
125.000000 91.421 43.1514
126.500000 91.476 42.6209
128.000000 91.528 42.1034
131.500000 91.645 40.9244
132.000000 91.661 40.7543
134.000000 91.728 40.0684
136.000000 91.794 39.3848
138.000000 91.853 38.7020
140.000000 91.907 38.0277
143.000000 91.983 37.0857
145.000000 92.036 36.5019
147.500000 92.100 35.7008
150.000000 92.157 34.8987
152.500000 92.220 34.1694
155.000000 92.267 33.4029
157.500000 92.320 32.6528
160.000000 92.382 31.9852
162.500000 92.438 31.3887
165.000000 92.470 30.5195
167.500000 92.504 29.7158
170.000000 92.549 29.0020
172.500000 92.588 28.3791
175.000000 92.614 27.7275
177.500000 92.642 27.1074
180.000000 92.685 26.5558
182.500000 92.714 25.9447
185.000000 92.728 25.2863
187.500000 92.758 24.6075
190.000000 92.797 24.0072
192.500000 92.816 23.4177
195.000000 92.828 22.6866
197.500000 92.854 22.0604
200.000000 92.879 21.5339
203.000000 92.883 20.9135
206.000000 92.907 20.2795
209.000000 92.939 19.6035
212.000000 92.953 18.9067
214.000000 92.958 18.4881
218.000000 92.973 17.6509
220.000000 92.980 17.2312
224.000000 92.984 16.5051
227.000000 92.993 15.9494
230.000000 93.013 15.3379
233.000000 93.030 14.7725
236.000000 93.046 14.3396
240.000000 93.063 13.7486
243.000000 93.069 13.2950
247.000000 93.057 12.3450
250.000000 93.058 11.6852
254.000000 93.063 10.9609
258.000000 93.069 10.2486
262.000000 93.072 9.5987
265.000000 93.072 9.1293
269.000000 93.073 8.4760
272.000000 93.073 7.9802
276.000000 93.070 7.3419
280.000000 93.067 6.7243
285.000000 93.055 5.9400
290.000000 93.044 5.1578
295.000000 93.034 4.2935
300.000000 93.022 3.5167
304.000000 93.011 2.9657
307.000000 93.000 2.5415
311.000000 92.981 1.9463
315.000000 92.958 1.3793
320.000000 92.932 0.7300
325.000000 92.904 0.0345
330.000000 92.871 -0.6785
335.000000 92.830 -1.3632
340.000000 92.795 -2.0744
345.000000 92.762 -2.6808
350.000000 92.720 -3.2464
355.000000 92.667 -3.8090
360.000000 92.616 -4.3968
365.000000 92.568 -4.9975
370.000000 92.520 -5.5330
375.000000 92.468 -5.9984
382.000000 92.397 -6.5916
387.000000 92.348 -6.9905
395.000000 92.265 -7.5992
400.000000 92.221 -7.9405
406.000000 92.177 -8.3101
412.000000 92.121 -8.8452
418.000000 92.076 -9.3466
425.000000 92.042 -9.6978
431.000000 91.999 -10.1403
437.000000 91.953 -10.6134
444.000000 91.896 -11.1768
450.000000 91.834 -11.6109
455.000000 91.774 -11.9240
462.000000 91.680 -12.3430
468.000000 91.589 -12.6113
475.000000 91.473 -12.6511
482.000000 91.383 -12.1262
487.000000 91.392 -11.4926
494.000000 91.534 -11.1548
500.000000 91.661 -11.8476
508.000000 91.706 -13.3231
515.000000 91.663 -14.4144
522.000000 91.594 -15.2527
530.000000 91.506 -15.9857
538.000000 91.423 -16.6531
545.000000 91.353 -17.1987
552.000000 91.283 -17.7002
560.000000 91.203 -18.2668
570.000000 91.106 -18.9161
580.000000 91.008 -19.5416
590.000000 90.905 -20.1552
600.000000 90.800 -20.7516
608.000000 90.723 -21.2227
615.000000 90.659 -21.6800
622.000000 90.584 -22.2459
630.000000 90.464 -22.9332
640.000000 90.286 -23.4697
650.000000 90.124 -23.7417
660.000000 89.984 -23.9688
670.000000 89.855 -24.1843
680.000000 89.725 -24.3768
690.000000 89.596 -24.5643
700.000000 89.468 -24.7321
710.000000 89.342 -24.8647
720.000000 89.217 -24.9867
730.000000 89.095 -25.0877
740.000000 88.976 -25.1554
750.000000 88.858 -25.2239
762.000000 88.719 -25.3141
775.000000 88.570 -25.3626
788.000000 88.421 -25.3378
800.000000 88.280 -25.3274
812.000000 88.136 -25.2875
825.000000 87.982 -25.1941
838.000000 87.834 -25.0499
850.000000 87.703 -24.8921
862.000000 87.577 -24.7279
875.000000 87.443 -24.5483
885.000000 87.341 -24.3971
900.000000 87.190 -24.1561
912.000000 87.070 -23.9511
925.000000 86.941 -23.7224
938.000000 86.814 -23.4378
950.000000 86.695 -23.1833
962.000000 86.578 -22.9456
975.000000 86.455 -22.6917
988.000000 86.331 -22.4286
1000.000000 86.219 -22.1508
1015.000000 86.080 -21.7478
1030.000000 85.942 -21.3153
1044.000000 85.812 -20.8959
1060.000000 85.666 -20.4118
1075.000000 85.533 -19.9380
1090.000000 85.401 -19.4666
1106.000000 85.263 -18.9748
1120.000000 85.146 -18.5261
1138.000000 84.994 -17.9216
1150.000000 84.888 -17.5024
1172.000000 84.693 -16.7618
1180.000000 84.620 -16.4932
1206.000000 84.383 -15.5448
1220.000000 84.253 -15.0104
1241.000000 84.048 -14.1079
1250.000000 83.959 -13.7023
1265.000000 83.814 -13.0449
1280.000000 83.665 -12.3673
1315.000000 83.304 -10.4712
1320.000000 83.252 -10.1767
1340.000000 83.043 -8.9294
1360.000000 82.830 -7.5312
1380.000000 82.620 -5.9873
1400.000000 82.421 -4.2982
1430.000000 82.136 -1.5031
1450.000000 81.957 0.5254
1475.000000 81.759 3.2986
1500.000000 81.593 6.2885
1525.000000 81.458 9.4911
1550.000000 81.366 12.8926
1575.000000 81.329 16.4181
1600.000000 81.351 20.0283
1625.000000 81.426 23.6888
1650.000000 81.565 27.3370
1675.000000 81.772 30.8606
1700.000000 82.028 34.1673
1725.000000 82.331 37.2899
1750.000000 82.676 40.1160
1775.000000 83.048 42.6460
1800.000000 83.444 44.9347
1825.000000 83.864 46.9197
1850.000000 84.298 48.6067
1875.000000 84.739 50.0044
1900.000000 85.184 51.1459
1925.000000 85.632 51.9958
1950.000000 86.070 52.5601
1975.000000 86.497 52.9427
2000.000000 86.918 53.1374
2030.000000 87.407 53.0683
2060.000000 87.874 52.8047
2090.000000 88.331 52.3480
2120.000000 88.774 51.6172
2140.000000 89.054 50.9814
2180.000000 89.576 49.4688
2200.000000 89.821 48.6085
2240.000000 90.274 46.6586
2270.000000 90.574 45.0199
2300.000000 90.839 43.3007
2330.000000 91.077 41.5262
2360.000000 91.286 39.6725
2400.000000 91.514 37.1191
2430.000000 91.644 35.1848
2470.000000 91.771 32.6649
2500.000000 91.837 30.8096
2540.000000 91.880 28.4176
2580.000000 91.882 26.2001
2620.000000 91.852 24.1367
2650.000000 91.811 22.7011
2690.000000 91.734 20.9482
2720.000000 91.665 19.7483
2760.000000 91.557 18.3155
2800.000000 91.441 17.0589
2850.000000 91.286 15.6802
2900.000000 91.113 14.4936
2950.000000 90.908 13.6495
3000.000000 90.733 13.4180
3040.000000 90.644 13.2292
3070.000000 90.580 13.0356
3110.000000 90.497 12.8149
3150.000000 90.416 12.6103
3200.000000 90.312 12.4218
3250.000000 90.213 12.3559
3300.000000 90.127 12.3850
3350.000000 90.052 12.4758
3400.000000 89.989 12.6285
3450.000000 89.940 12.8176
3500.000000 89.903 13.0404
3550.000000 89.879 13.2960
3600.000000 89.870 13.5690
3650.000000 89.877 13.8212
3700.000000 89.896 14.0374
3750.000000 89.923 14.2389
3820.000000 89.984 14.4923
3870.000000 90.044 14.6301
3950.000000 90.168 14.7111
4000.000000 90.260 14.6334
4060.000000 90.377 14.3940
4120.000000 90.499 14.0304
4180.000000 90.627 13.5387
4250.000000 90.789 12.7787
4310.000000 90.930 11.8824
4370.000000 91.064 10.7729
4440.000000 91.199 9.2405
4500.000000 91.302 7.7672
4550.000000 91.376 6.3872
4620.000000 91.451 4.2255
4680.000000 91.482 2.2091
4750.000000 91.474 -0.3405
4820.000000 91.403 -3.0199
4870.000000 91.312 -4.9247
4940.000000 91.136 -7.5381
5000.000000 90.940 -9.6833
5080.000000 90.620 -12.3270
5150.000000 90.292 -14.3916
5220.000000 89.927 -16.1680
5300.000000 89.480 -17.7799
5380.000000 89.020 -18.9742
5450.000000 88.617 -19.7066
5520.000000 88.218 -20.1919
5600.000000 87.771 -20.4459
5700.000000 87.234 -20.3350
5800.000000 86.738 -19.8333
5900.000000 86.291 -19.0595
6000.000000 85.893 -18.0940
6080.000000 85.610 -17.2251
6150.000000 85.391 -16.4239
6220.000000 85.197 -15.6151
6300.000000 85.009 -14.7139
6400.000000 84.821 -13.6849
