* Measurement data measured by REW V5.30
* Source: EXCL: Qudelix 5K (Qudelix-5K USB DAC/MIC 48KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Jun 30, 2024 8:28:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: TGXear Serratus L5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 68.372 122.9115
20.600000 68.453 124.7469
20.900000 68.666 126.3124
21.200001 68.945 126.9620
21.400000 69.124 126.8452
21.799999 69.399 125.6619
22.000000 69.491 124.8354
22.400000 69.624 123.2685
22.700001 69.739 122.4548
23.000000 69.917 122.0204
23.299999 70.177 121.8525
23.600000 70.507 121.7651
24.000000 70.975 121.5268
24.299999 71.282 121.2220
24.700001 71.555 120.7937
25.000000 71.638 120.5985
25.400000 71.602 120.6360
25.799999 71.451 120.9529
26.200001 71.257 121.2792
26.500000 71.122 121.3384
26.900000 71.002 121.0281
27.200001 70.988 120.5078
27.600000 71.111 119.5104
28.000000 71.396 118.2376
28.500000 71.881 116.3734
29.000000 72.323 114.5739
29.500000 72.609 113.4920
30.000000 72.797 113.4840
30.400000 72.970 113.9105
30.700001 73.134 114.1006
31.100000 73.365 113.8430
31.500000 73.550 113.0246
32.000000 73.673 111.8430
32.500000 73.756 111.1578
33.000000 73.938 110.8044
33.500000 74.231 109.9775
34.000000 74.514 108.4575
34.500000 74.699 106.9525
35.000000 74.826 106.2544
35.500000 74.980 106.3367
36.000000 75.163 106.4815
36.500000 75.298 106.1843
37.000000 75.353 105.5597
37.500000 75.407 104.9037
38.200001 75.640 103.9554
38.700001 75.883 103.2611
39.500000 76.205 103.0032
40.000000 76.363 103.5082
40.599998 76.552 103.8267
41.200001 76.692 102.9154
41.799999 76.761 101.0284
42.500000 76.875 98.6647
43.099998 77.066 96.7395
43.700001 77.228 94.9284
44.400002 77.273 93.7675
45.000000 77.324 94.0724
45.500000 77.487 94.6850
46.200001 77.816 94.8037
46.799999 78.025 94.2003
47.500000 78.175 93.4009
48.200001 78.377 92.3060
48.700001 78.564 91.0403
49.400002 78.795 89.0579
50.000000 78.933 87.9867
50.799999 79.067 87.8647
51.500000 79.166 88.2110
52.200001 79.267 88.0657
53.000000 79.409 86.8896
53.799999 79.557 85.3312
54.500000 79.682 84.5300
55.200001 79.802 84.3145
56.000000 79.903 84.0877
57.000000 79.989 83.0840
58.000000 80.196 81.4029
59.000000 80.543 79.7279
60.000000 80.793 78.4735
60.799999 80.825 77.9035
61.500000 80.821 77.6364
62.200001 80.882 77.2001
63.000000 81.011 76.2707
64.000000 81.136 75.1230
65.000000 81.254 74.2093
66.000000 81.394 73.0005
67.000000 81.539 72.1396
68.000000 81.665 71.4489
69.000000 81.668 70.6472
70.000000 81.761 69.9917
71.000000 82.018 68.6685
72.000000 82.201 67.3535
73.000000 82.300 66.7672
74.000000 82.382 66.3640
75.000000 82.486 65.6939
76.199997 82.589 64.4891
77.500000 82.660 63.3155
78.800003 82.730 62.2580
80.000000 82.819 61.3842
81.199997 82.917 60.5214
82.500000 83.025 59.4680
83.800003 83.141 58.2853
85.000000 83.253 57.3710
86.199997 83.342 56.4466
87.500000 83.410 55.5269
88.500000 83.486 55.0457
90.000000 83.599 54.1421
91.199997 83.661 53.1773
92.500000 83.730 51.9306
93.800003 83.814 50.9750
95.000000 83.918 50.2349
96.199997 83.972 49.5313
97.500000 83.997 48.6863
98.800003 84.023 47.7053
100.000000 84.075 46.9213
101.500000 84.145 46.0406
103.000000 84.190 45.2797
104.400002 84.233 44.5136
106.000000 84.324 43.4789
107.500000 84.421 42.6264
109.000000 84.486 41.8769
110.599998 84.521 40.9626
112.000000 84.558 40.2009
113.800003 84.644 39.2841
115.000000 84.695 38.5814
117.199997 84.752 37.2191
118.000000 84.772 36.8310
120.599998 84.843 35.8828
122.000000 84.880 35.1466
124.099998 84.925 33.9582
125.000000 84.942 33.5397
126.500000 84.962 32.8917
128.000000 84.991 32.2520
131.500000 85.079 30.6718
132.000000 85.098 30.4432
134.000000 85.175 29.6276
136.000000 85.214 28.8221
138.000000 85.227 28.0130
140.000000 85.246 27.1003
143.000000 85.309 25.7421
145.000000 85.349 25.0217
147.500000 85.395 24.1271
150.000000 85.435 23.1339
152.500000 85.468 22.2832
155.000000 85.508 21.4620
157.500000 85.539 20.5646
160.000000 85.570 19.8007
162.500000 85.600 18.9401
165.000000 85.633 17.9794
167.500000 85.666 17.1414
170.000000 85.698 16.4504
172.500000 85.720 15.6835
175.000000 85.742 14.9436
177.500000 85.768 14.1277
180.000000 85.789 13.3861
182.500000 85.801 12.7352
185.000000 85.815 12.0504
187.500000 85.838 11.2986
190.000000 85.854 10.5922
192.500000 85.872 9.9354
195.000000 85.883 9.3516
197.500000 85.892 8.7651
200.000000 85.903 8.1868
203.000000 85.926 7.3953
206.000000 85.951 6.5972
209.000000 85.962 5.8993
212.000000 85.982 5.1927
214.000000 85.997 4.7289
218.000000 86.018 3.8421
220.000000 86.025 3.4360
224.000000 86.034 2.5616
227.000000 86.040 1.9375
230.000000 86.043 1.3974
233.000000 86.049 0.8617
236.000000 86.055 0.2818
240.000000 86.057 -0.3684
243.000000 86.061 -0.7163
247.000000 86.056 -1.1264
250.000000 86.066 -1.3587
254.000000 86.129 -1.5385
258.000000 86.254 -1.7193
262.000000 86.422 -2.3523
265.000000 86.536 -3.2814
269.000000 86.628 -4.8123
272.000000 86.645 -5.9353
276.000000 86.631 -7.2182
280.000000 86.608 -8.2600
285.000000 86.589 -9.3610
290.000000 86.578 -10.3763
295.000000 86.566 -11.3256
300.000000 86.563 -12.2337
304.000000 86.565 -12.9170
307.000000 86.558 -13.4660
311.000000 86.536 -14.2465
315.000000 86.516 -15.0581
320.000000 86.488 -15.9999
325.000000 86.449 -16.8098
330.000000 86.410 -17.5213
335.000000 86.364 -18.1560
340.000000 86.314 -18.5338
345.000000 86.271 -18.8816
350.000000 86.239 -19.2547
355.000000 86.220 -19.5625
360.000000 86.220 -19.9036
365.000000 86.233 -20.2306
370.000000 86.245 -20.4711
375.000000 86.256 -20.7589
382.000000 86.290 -21.3377
387.000000 86.314 -21.7408
395.000000 86.356 -22.3237
400.000000 86.390 -22.7326
406.000000 86.432 -23.1789
412.000000 86.465 -23.6640
418.000000 86.505 -24.1791
425.000000 86.545 -24.8321
431.000000 86.580 -25.3925
437.000000 86.620 -25.9171
444.000000 86.667 -26.6127
450.000000 86.700 -27.1541
455.000000 86.725 -27.5608
462.000000 86.764 -28.1676
468.000000 86.796 -28.7487
475.000000 86.846 -29.4859
482.000000 86.909 -30.1013
487.000000 86.948 -30.4234
494.000000 86.980 -31.1027
500.000000 86.994 -31.6042
508.000000 87.027 -32.2172
515.000000 87.061 -32.9144
522.000000 87.082 -33.5601
530.000000 87.104 -34.2258
538.000000 87.139 -34.9887
545.000000 87.180 -35.8234
552.000000 87.230 -36.4928
560.000000 87.283 -37.0682
570.000000 87.356 -37.8634
580.000000 87.417 -38.6392
590.000000 87.452 -39.5713
600.000000 87.503 -40.5094
608.000000 87.544 -41.2437
615.000000 87.574 -41.8971
622.000000 87.603 -42.5899
630.000000 87.637 -43.4286
640.000000 87.681 -44.3688
650.000000 87.715 -45.2003
660.000000 87.740 -46.1242
670.000000 87.765 -46.9962
680.000000 87.782 -47.8918
690.000000 87.790 -48.7679
700.000000 87.796 -49.6229
710.000000 87.798 -50.4532
720.000000 87.806 -51.2729
730.000000 87.813 -51.9627
740.000000 87.825 -52.6019
750.000000 87.830 -53.2524
762.000000 87.821 -54.1202
775.000000 87.815 -54.8347
788.000000 87.807 -55.4596
800.000000 87.836 -56.0950
812.000000 87.877 -56.6195
825.000000 87.914 -57.0781
838.000000 87.964 -57.8426
850.000000 87.998 -58.5323
862.000000 88.027 -59.3096
875.000000 88.057 -60.2386
885.000000 88.063 -60.9290
900.000000 88.041 -61.8788
912.000000 88.028 -62.3675
925.000000 88.035 -62.7879
938.000000 88.053 -63.2048
950.000000 88.071 -63.5087
962.000000 88.094 -63.8526
975.000000 88.135 -64.3443
988.000000 88.175 -64.7927
1000.000000 88.208 -65.2240
1015.000000 88.267 -65.7643
1030.000000 88.329 -66.1885
1044.000000 88.382 -66.6254
1060.000000 88.445 -67.1120
1075.000000 88.516 -67.5123
1090.000000 88.600 -67.9602
1106.000000 88.691 -68.4234
1120.000000 88.773 -68.8412
1138.000000 88.885 -69.4492
1150.000000 88.963 -69.8434
1172.000000 89.110 -70.6101
1180.000000 89.167 -70.9016
1206.000000 89.351 -71.8986
1220.000000 89.451 -72.4763
1241.000000 89.618 -73.4003
1250.000000 89.690 -73.8333
1265.000000 89.808 -74.5491
1280.000000 89.924 -75.2540
1315.000000 90.213 -77.0328
1320.000000 90.254 -77.3091
1340.000000 90.415 -78.4737
1360.000000 90.574 -79.6584
1380.000000 90.725 -80.8990
1400.000000 90.879 -82.2236
1430.000000 91.096 -84.3033
1450.000000 91.233 -85.7773
1475.000000 91.380 -87.6151
1500.000000 91.516 -89.5020
1525.000000 91.663 -91.4368
1550.000000 91.791 -93.5090
1575.000000 91.905 -95.5784
1600.000000 91.983 -97.5802
1625.000000 92.035 -99.5732
1650.000000 92.098 -101.5516
1675.000000 92.168 -103.4633
1700.000000 92.216 -105.4507
1725.000000 92.233 -107.3770
1750.000000 92.240 -109.1996
1775.000000 92.246 -110.9944
1800.000000 92.252 -112.6536
1825.000000 92.255 -114.2146
1850.000000 92.252 -115.7061
1875.000000 92.242 -117.1267
1900.000000 92.236 -118.4862
1925.000000 92.243 -119.7821
1950.000000 92.250 -121.0352
1975.000000 92.256 -122.2580
2000.000000 92.265 -123.4332
2030.000000 92.282 -124.7992
2060.000000 92.299 -126.1600
2090.000000 92.319 -127.4670
2120.000000 92.345 -128.7601
2140.000000 92.362 -129.6298
2180.000000 92.411 -131.3741
2200.000000 92.442 -132.2610
2240.000000 92.500 -134.0421
2270.000000 92.545 -135.3723
2300.000000 92.594 -136.7311
2330.000000 92.643 -138.1115
2360.000000 92.690 -139.5046
2400.000000 92.751 -141.4045
2430.000000 92.796 -142.8147
2470.000000 92.860 -144.7551
2500.000000 92.903 -146.2784
2540.000000 92.951 -148.3269
2580.000000 92.991 -150.4385
2620.000000 93.014 -152.6028
2650.000000 93.021 -154.2540
2690.000000 93.019 -156.5179
2720.000000 93.003 -158.3218
2760.000000 92.925 -160.9416
2800.000000 92.708 -163.3771
2850.000000 92.387 -164.2019
2900.000000 92.449 -164.4780
2950.000000 92.570 -166.5311
3000.000000 92.575 -168.9665
3040.000000 92.535 -170.8042
3070.000000 92.494 -172.1039
3110.000000 92.431 -173.7662
3150.000000 92.359 -175.3562
3200.000000 92.262 -177.2428
3250.000000 92.153 -179.0907
3300.000000 92.012 179.1785
3350.000000 91.853 177.8138
3400.000000 91.727 176.8203
3450.000000 91.655 175.8899
3500.000000 91.611 174.7538
3550.000000 91.556 173.4241
3600.000000 91.463 172.0628
3650.000000 91.328 170.9224
3700.000000 91.193 170.2016
3750.000000 91.096 169.7881
3820.000000 91.032 169.3787
3870.000000 91.031 169.0917
3950.000000 91.093 168.4254
4000.000000 91.151 167.8221
4060.000000 91.219 166.9840
4120.000000 91.293 166.1366
4180.000000 91.381 165.3041
4250.000000 91.512 164.2515
4310.000000 91.632 163.1960
4370.000000 91.755 162.0801
4440.000000 91.914 160.6830
4500.000000 92.066 159.3658
4550.000000 92.205 158.1425
4620.000000 92.413 156.1849
4680.000000 92.600 154.2623
4750.000000 92.821 151.6330
4820.000000 93.028 148.5767
4870.000000 93.164 146.1280
4940.000000 93.336 142.2846
5000.000000 93.444 138.5005
5080.000000 93.480 132.8420
5150.000000 93.392 127.5029
5220.000000 93.195 121.9386
5300.000000 92.807 115.2759
5380.000000 92.197 108.6210
5450.000000 91.481 103.0853
5520.000000 90.587 98.0504
5600.000000 89.355 93.2796
5700.000000 87.534 89.2795
5800.000000 85.429 87.9937
5900.000000 83.044 90.6024
